278_127215_000000_000000	"Oh, papa, I am so glad!"	"Oh, papa, I am so glad!"	false	0	0	
278_127215_000026_000005	The room in which he usually sat was surrounded by book-shelves carefully filled; nor was there a volume there which was not entitled to its place in such a collection, both by its intrinsic worth and exterior splendour: a pretty portable set of steps in one corner of the room showed that those even on the higher shelves were intended for use.	The room in which he usually sat was surrounded by book shelves carefully filled; nor was there a volume there which was not entitled to its place in such a collection, both by its intrinsic worth and exterior splendour: a pretty portable set of steps in one corner of the room showed that those even on the higher shelves were intended for use.	false	1045.01	1068.07	21.330854
278_127215_000026_000006	The chamber contained but two works of art:--the one, an admirable bust of Sir Robert Peel, by Power, declared the individual politics of our friend; and the other, a singularly long figure of a female devotee, by Millais, told equally plainly the school of art to which he was addicted.	The chamber contained but two works of art:--the one, an admirable bust of Sir Robert Peel, by Power, declared the individual politics of our friend; and the other, a singularly long figure of a female devotee, by Millais, told equally plainly the school of art to which he was addicted.	false	1069.04	1090.3	22.905178
278_127215_000026_000007	This picture was not hung, as pictures usually are, against the wall; there was no inch of wall vacant for such a purpose: it had a stand or desk erected for its own accommodation; and there on her pedestal, framed and glazed, stood the devotional lady looking intently at a lily as no lady ever looked before.	This picture was not hung, as pictures usually are, against the wall; there was no inch of wall vacant for such a purpose: it had a stand or desk erected for its own accommodation; and there on her pedestal, framed and glazed, stood the devotional lady looking intently at a lily as no lady ever looked before.	true	1090.58	1113.88	21.698492
278_127215_000027_000000	Our modern artists, whom we style Pre-Raphaelites, have delighted to go back, not only to the finish and peculiar manner, but also to the subjects of the early painters.	Our modern artists, whom we style Pre Raphaelites, have delighted to go back, not only to the finish and peculiar manner, but also to the subjects of the early painters.	true	1115.87	1127.32	23.768316
278_127215_000027_000001	It is impossible to give them too much praise for the elaborate perseverance with which they have equalled the minute perfections of the masters from whom they take their inspiration: nothing probably can exceed the painting of some of these latter-day pictures.	It is impossible to give them too much praise for the elaborate perseverance with which they have equalled the minute perfections of the masters from whom they take their inspiration: nothing probably can exceed the painting of some of these latter day pictures.	false	1127.75	1144.21	23.159426
278_127215_000027_000002	It is, however, singular into what faults they fall as regards their subjects: they are not quite content to take the old stock groups,--a Sebastian with his arrows, a Lucia with her eyes in a dish, a Lorenzo with a gridiron, or the Virgin with two children.	It is, however, singular into what faults they fall as regards their subjects: they are not quite content to take the old stock groups,--a Sebastian with his arrows, a Lucia with her eyes in a dish, a Lorenzo with a gridiron, or the Virgin with two children.	false	1144.82	1164.79	22.429853
278_127215_000027_000003	But they are anything but happy in their change.	But they are anything but happy in their change.	true	1165.07	1167.82	25.508516
278_127215_000027_000004	As a rule, no figure should be drawn in a position which it is impossible to suppose any figure should maintain.	As a rule, no figure should be drawn in a position which it is impossible to suppose any figure should maintain.	true	1168.25	1175.59	19
278_127215_000027_000005	The patient endurance of St Sebastian, the wild ecstasy of St John in the Wilderness, the maternal love of the Virgin, are feelings naturally portrayed by a fixed posture; but the lady with the stiff back and bent neck, who looks at her flower, and is still looking from hour to hour, gives us an idea of pain without grace, and abstraction without a cause.	The patient endurance of St Sebastian, the wild ecstasy of saint John in the Wilderness, the maternal love of the Virgin, are feelings naturally portrayed by a fixed posture; but the lady with the stiff back and bent neck, who looks at her flower, and is still looking from hour to hour, gives us an idea of pain without grace, and abstraction without a cause.	false	1176.35	1202.5	21.679373
278_127215_000028_000000	It was easy, from his rooms, to see that Tom Towers was a Sybarite, though by no means an idle one.	It was easy, from his rooms, to see that Tom Towers was a Sybarite, though by no means an idle one.	true	1203.08	1210.51	20.835863
278_127215_000028_000001	He was lingering over his last cup of tea, surrounded by an ocean of newspapers, through which he had been swimming, when John Bold's card was brought in by his tiger.	He was lingering over his last cup of tea, surrounded by an ocean of newspapers, through which he had been swimming, when john Bold's card was brought in by his tiger.	true	1210.82	1222.24	21.696983
278_127215_000028_000002	This tiger never knew that his master was at home, though he often knew that he was not, and thus Tom Towers was never invaded but by his own consent.	This tiger never knew that his master was at home, though he often knew that he was not, and thus Tom Towers was never invaded but by his own consent.	true	1222.52	1232.86	20.845259
278_127215_000028_000003	On this occasion, after twisting the card twice in his fingers, he signified to his attendant imp that he was visible; and the inner door was unbolted, and our friend announced.	On this occasion, after twisting the card twice in his fingers, he signified to his attendant imp that he was visible; and the inner door was unbolted, and our friend announced.	true	1233.44	1245.1	22.336065
278_127215_000029_000000	I have before said that he of _The Jupiter_ and John Bold were intimate.	I have before said that he of underscore The Jupiter underscore and john Bold were intimate.	false	1245.56	1250.38	19.983139
278_127215_000029_000001	There was no very great difference in their ages, for Towers was still considerably under forty; and when Bold had been attending the London hospitals, Towers, who was not then the great man that he had since become, had been much with him.	There was no very great difference in their ages, for Towers was still considerably under forty; and when Bold had been attending the London hospitals, Towers, who was not then the great man that he had since become, had been much with him.	true	1250.9	1266.22	22.6185
278_127215_000029_000002	Then they had often discussed together the objects of their ambition and future prospects; then Tom Towers was struggling hard to maintain himself, as a briefless barrister, by shorthand reporting for any of the papers that would engage him; then he had not dared to dream of writing leaders for _The Jupiter_, or canvassing the conduct of Cabinet ministers. Things had altered since that time: the briefless barrister was still briefless, but he now despised briefs: could he have been sure of a judge's seat, he would hardly have left his present career.	Then they had often discussed together the objects of their ambition and future prospects; then Tom Towers was struggling hard to maintain himself, as a briefless barrister, by shorthand reporting for any of the papers that would engage him; then he had not dared to dream of writing leaders for underscore The Jupiter underscore, or canvassing the conduct of Cabinet ministers. Things had altered since that time: the briefless barrister was still briefless, but he now despised briefs: could he have been sure of a judge's seat, he would hardly have left his present career.	false	1266.77	1305.37	22.115211
278_127215_000029_000003	It is true he wore no ermine, bore no outward marks of a world's respect; but with what a load of inward importance was he charged!	It is true he wore no ermine, bore no outward marks of a world's respect; but with what a load of inward importance was he charged!	true	1305.53	1315.03	22.011112
278_127215_000029_000004	It is true his name appeared in no large capitals; on no wall was chalked up "Tom Towers for ever;"--"Freedom of the Press and Tom Towers;" but what member of Parliament had half his power?	It is true his name appeared in no large capitals; on no wall was chalked up "Tom Towers for ever;"--"Freedom of the Press and Tom Towers;" but what member of Parliament had half his power?	true	1315.16	1329.16	21.896795
278_127215_000029_000005	It is true that in far-off provinces men did not talk daily of Tom Towers but they read _The Jupiter_, and acknowledged that without _The Jupiter_ life was not worth having.	It is true that in far off provinces men did not talk daily of Tom Towers but they read underscore The Jupiter underscore, and acknowledged that without underscore The Jupiter underscore life was not worth having.	false	1329.16	1340.7	22.395174
278_127215_000029_000006	This kind of hidden but still conscious glory suited the nature of the man.	This kind of hidden but still conscious glory suited the nature of the man.	true	1340.7	1345.06	20
278_127215_000029_000007	He loved to sit silent in a corner of his club and listen to the loud chattering of politicians, and to think how they all were in his power;--how he could smite the loudest of them, were it worth his while to raise his pen for such a purpose.	He loved to sit silent in a corner of his club and listen to the loud chattering of politicians, and to think how they all were in his power;--how he could smite the loudest of them, were it worth his while to raise his pen for such a purpose.	false	1345.46	1360.75	22.946411
278_127215_000029_000008	He loved to watch the great men of whom he daily wrote, and flatter himself that he was greater than any of them.	He loved to watch the great men of whom he daily wrote, and flatter himself that he was greater than any of them.	true	1361.15	1367.62	21
278_127215_000029_000009	Each of them was responsible to his country, each of them must answer if inquired into, each of them must endure abuse with good humour, and insolence without anger.	Each of them was responsible to his country, each of them must answer if inquired into, each of them must endure abuse with good humour, and insolence without anger.	true	1368.14	1379.92	21.028498
278_127215_000029_000010	But to whom was he, Tom Towers, responsible?	But to whom was he, Tom Towers, responsible?	true	1380.41	1383.61	22.105322
278_127215_000029_000011	No one could insult him; no one could inquire into him.	No one could insult him; no one could inquire into him.	true	1383.77	1388.17	24.032497
278_127215_000029_000012	He could speak out withering words, and no one could answer him: ministers courted him, though perhaps they knew not his name; bishops feared him; judges doubted their own verdicts unless he confirmed them; and generals, in their councils of war, did not consider more deeply what the enemy would do, than what _The Jupiter_ would say.	He could speak out withering words, and no one could answer him: ministers courted him, though perhaps they knew not his name; bishops feared him; judges doubted their own verdicts unless he confirmed them; and generals, in their councils of war, did not consider more deeply what the enemy would do, than what underscore The Jupiter underscore would say.	false	1388.39	1411.57	21.81643
278_127215_000029_000013	Tom Towers never boasted of _The Jupiter_; he scarcely ever named the paper even to the most intimate of his friends; he did not even wish to be spoken of as connected with it; but he did not the less value his privileges, or think the less of his own importance.	Tom Towers never boasted of underscore The Jupiter underscore; he scarcely ever named the paper even to the most intimate of his friends; he did not even wish to be spoken of as connected with it; but he did not the less value his privileges, or think the less of his own importance.	false	1412.99	1430.8	22.476084
278_127215_000029_000014	It is probable that Tom Towers considered himself the most powerful man in Europe; and so he walked on from day to day, studiously striving to look a man, but knowing within his breast that he was a god.	It is probable that Tom Towers considered himself the most powerful man in Europe; and so he walked on from day to day, studiously striving to look a man, but knowing within his breast that he was a god.	false	1431.35	1451.97	22.77586
