4335_15081_000000_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	0.84	2.1	19.862688
4335_15081_000018_000002	The tribe, however, still held its ground for a time, and, being all good Catholics, gave their missionary, Father Buteux, an urgent invitation to visit them in their own country.	The tribe, however, still held its ground for a time, and, being all good Catholics, gave their missionary, Father Buteux, an urgent invitation to visit them in their own country.	false	875.72	886.35	21.105522
4335_15081_000018_000003	Buteux, who had long been stationed at Three Rivers, was in ill health, and for years had rarely been free from some form of bodily suffering.	Buteux, who had long been stationed at Three Rivers, was in ill health, and for years had rarely been free from some form of bodily suffering.	false	886.35	894.55	19.169249
4335_15081_000018_000004	Nevertheless, he acceded to their request, and, before the opening of spring, made a remarkable journey on snow-shoes into the depths of this frozen wilderness. [ Iournal du Pere Iacques Buteux du Voyage qu'il a fait pour la Mission des Attikamegues.	Nevertheless, he acceded to their request, and, before the opening of spring, made a remarkable journey on snow shoes into the depths of this frozen wilderness. [ Iournal du Pere Iacques Buteux du Voyage qu'il a fait pour la Mission des Attikamegues.	false	895.16	905.46	19.58448
4335_15081_000018_000005	See Relation, 1651, 15.	See Relation, sixteen fifty one, fifteen.	false	905.46	905.76	-13
4335_15081_000018_000006	]	closing square bracket	false	905.76	905.91	-3
4335_15081_000018_000007	In the year following, he repeated the undertaking.	In the year following, he repeated the undertaking.	true	905.91	908.68	18.55095
4335_15081_000018_000008	With him were a large party of Atticamegues, and several Frenchmen.	With him were a large party of Atticamegues, and several Frenchmen.	true	909.14	913.27	21.332008
4335_15081_000018_000009	Game was exceedingly scarce, and they were forced by hunger to separate, a Huron convert and a Frenchman named Fontarabie remaining with the missionary.	Game was exceedingly scarce, and they were forced by hunger to separate, a Huron convert and a Frenchman named Fontarabie remaining with the missionary.	true	913.76	922.72	21
4335_15081_000018_000010	The snows had melted, and all the streams were swollen.	The snows had melted, and all the streams were swollen.	true	923.36	926.35	21.37958
4335_15081_000018_000011	The three travellers, in a small birch canoe, pushed their way up a turbulent river, where falls and rapids were so numerous, that many times daily they were forced to carry their bark vessel and their baggage through forests and thickets and over rocks and precipices. On the tenth of May, they made two such portages, and soon after, reaching a third fall, again lifted their canoe from the water.	The three travellers, in a small birch canoe, pushed their way up a turbulent river, where falls and rapids were so numerous, that many times daily they were forced to carry their bark vessel and their baggage through forests and thickets and over rocks and precipices. On the tenth of May, they made two such portages, and soon after, reaching a third fall, again lifted their canoe from the water.	false	927.14	950.53	20.748806
4335_15081_000018_000012	They toiled through the naked forest, among the wet, black trees, over tangled roots, green, spongy mosses, mouldering leaves, and rotten, prostrate trunks, while the cataract foamed amidst the rocks hard by.	They toiled through the naked forest, among the wet, black trees, over tangled roots, green, spongy mosses, mouldering leaves, and rotten, prostrate trunks, while the cataract foamed amidst the rocks hard by.	true	950.93	965.17	21.803396
4335_15081_000018_000013	The Indian led the way with the canoe on his head, while Buteux and the other Frenchman followed with the baggage.	The Indian led the way with the canoe on his head, while Buteux and the other Frenchman followed with the baggage.	true	966.29	972.37	20.26719
4335_15081_000018_000014	Suddenly they were set upon by a troop of Iroquois, who had crouched behind thickets, rocks, and fallen trees, to waylay them.	Suddenly they were set upon by a troop of Iroquois, who had crouched behind thickets, rocks, and fallen trees, to waylay them.	true	972.77	980.74	23.019655
4335_15081_000018_000015	The Huron was captured before he had time to fly. Buteux and the Frenchman tried to escape, but were instantly shot down, the Jesuit receiving two balls in the breast.	The Huron was captured before he had time to fly. Buteux and the Frenchman tried to escape, but were instantly shot down, the Jesuit receiving two balls in the breast.	false	981.11	991.6	18.916073
4335_15081_000018_000016	The Iroquois rushed upon them, mangled their bodies with tomahawks and swords, stripped them, and then flung them into the torrent.	The Iroquois rushed upon them, mangled their bodies with tomahawks and swords, stripped them, and then flung them into the torrent.	true	992.45	1000.68	20.402431
4335_15081_000018_000017	[ Ragueneau, Relation, 1652, 2, 3.	[ Ragueneau, Relation, sixteen fifty two, two, three.	false	1000.68	1005.24	16.085869
4335_15081_000018_000018	]	closing square bracket	false	1005.24	1009.2	20.192516
