54_121080_000000_000000	"What have you discovered?" asked Morrel.	"What have you discovered?" asked Morrel.	false	0	3.24	18.919874
54_121080_000071_000000	"Waiting for whom?" Bertuccio, without answering, pointed to Villefort with something of the gesture Macbeth uses to point out Banquo.	"Waiting for whom?" Bertuccio, without answering, pointed to Villefort with something of the gesture Macbeth uses to point out Banquo.	false	1131.65	1140.61	18.575891
54_121080_000071_000001	"Oh, oh," he at length muttered, "do you see?"	"Oh, oh," he at length muttered, "do you see?"	false	1140.98	1145.29	21.227654
54_121080_000072_000000	"What?	"What?	true	1146.08	1146.75	18.476284
54_121080_000072_000001	Who?"	Who?"	true	1146.75	1147.42	25.341745
54_121080_000073_000000	"Him!"	"Him!"	true	1147.7	1148.71	18.051767
54_121080_000074_000000	"Him!--M. de Villefort, the king's attorney?	"Him!--M. de Villefort, the king's attorney?	false	1149.35	1153.12	23.069443
54_121080_000074_000001	Certainly I see him."	Certainly I see him."	true	1153.19	1154.77	16.049173
54_121080_000075_000000	"Then I did not kill him?"	"Then I did not kill him?"	true	1155.02	1156.96	18.192564
54_121080_000076_000000	"Really, I think you are going mad, good Bertuccio," said the count.	"Really, I think you are going mad, good Bertuccio," said the count.	false	1157.33	1161.49	20.52588
54_121080_000077_000000	"Then he is not dead?"	"Then he is not dead?"	true	1162.52	1164.1	15
54_121080_000078_000000	"No; you see plainly he is not dead.	"No; you see plainly he is not dead.	true	1164.68	1167.85	23.126652
54_121080_000078_000001	Instead of striking between the sixth and seventh left ribs, as your countrymen do, you must have struck higher or lower, and life is very tenacious in these lawyers, or rather there is no truth in anything you have told me--it was a fright of the imagination, a dream of your fancy.	Instead of striking between the sixth and seventh left ribs, as your countrymen do, you must have struck higher or lower, and life is very tenacious in these lawyers, or rather there is no truth in anything you have told me-it was a fright of the imagination, a dream of your fancy.	false	1168.1	1186.29	20
54_121080_000078_000002	You went to sleep full of thoughts of vengeance; they weighed heavily upon your stomach; you had the nightmare--that's all.	You went to sleep full of thoughts of vengeance; they weighed heavily upon your stomach; you had the nightmare-that's all.	false	1186.29	1194.55	21.626463
54_121080_000078_000003	Come, calm yourself, and reckon them up--M. and Madame de Villefort, two; M. and Madame Danglars, four; M. de Chateau-Renaud, M. Debray, M. Morrel, seven; Major Bartolomeo Cavalcanti, eight."	Come, calm yourself, and reckon them up-M. and Madame de Villefort, two; m and Madame Danglars, four; m de Chateau Renaud, m Debray, m Morrel, seven; Major Bartolomeo Cavalcanti, eight."	false	1195.22	1216.12	20.342012
54_121080_000079_000000	"Eight!" repeated Bertuccio.	"Eight!" repeated Bertuccio.	true	1216.28	1218.31	22.1889
54_121080_000080_000000	"Stop!	"Stop!	true	1218.89	1219.83	21.226969
54_121080_000080_000001	You are in a shocking hurry to be off--you forget one of my guests.	You are in a shocking hurry to be off-you forget one of my guests.	true	1219.83	1224.28	22
54_121080_000080_000002	Lean a little to the left.	Lean a little to the left.	true	1224.77	1226.74	22.327452
54_121080_000080_000003	Stay! look at M. Andrea Cavalcanti, the young man in a black coat, looking at Murillo's Madonna; now he is turning." This time Bertuccio would have uttered an exclamation, had not a look from Monte Cristo silenced him.	Stay! look at m Andrea Cavalcanti, the young man in a black coat, looking at Murillo's Madonna; now he is turning." This time Bertuccio would have uttered an exclamation, had not a look from Monte Cristo silenced him.	false	1226.96	1244.65	20.963936
54_121080_000080_000004	"Benedetto?" he muttered; "fatality!"	"Benedetto?" he muttered; "fatality!"	true	1244.93	1251.6	19.579052
54_121080_000081_000000	"Half-past six o'clock has just struck, M. Bertuccio," said the count severely; "I ordered dinner at that hour, and I do not like to wait;" and he returned to his guests, while Bertuccio, leaning against the wall, succeeded in reaching the dining-room.	"Half past six o'clock has just struck, m Bertuccio," said the count severely; "I ordered dinner at that hour, and I do not like to wait;" and he returned to his guests, while Bertuccio, leaning against the wall, succeeded in reaching the dining room.	false	1251.6	1271.59	23.509762
54_121080_000081_000001	Five minutes afterwards the doors of the drawing-room were thrown open, and Bertuccio appearing said, with a violent effort, "The dinner waits."	Five minutes afterwards the doors of the drawing room were thrown open, and Bertuccio appearing said, with a violent effort, "The dinner waits."	true	1271.72	1282.24	21.225388
54_121080_000082_000000	The Count of Monte Cristo offered his arm to Madame de Villefort.	The Count of Monte Cristo offered his arm to Madame de Villefort.	true	1282.61	1286.7	20
54_121080_000082_000001	"M. de Villefort," he said, "will you conduct the Baroness Danglars?"	"M. de Villefort," he said, "will you conduct the Baroness Danglars?"	false	1286.7	1291.42	18.66698
54_121080_000083_000000	Villefort complied, and they passed on to the dining-room.	Villefort complied, and they passed on to the dining room.	false	1291.94	1298.28	20.45829
54_121080_000084_000000	Chapter 63.	Chapter sixty three.	false	1298.28	1300.74	22.263718
54_121080_000084_000001	The Dinner.	The Dinner.	false	1300.74	1303.86	-12
