2960_155151_000000_000000	[45] No. 574.	[forty five] no five hundred seventy four.	false	5.94	11.88	21.155968
2960_155151_000017_000007	He lived six years in this manner at the court of Frederick; but that monarch dying in 1670 he was left without a protector.	He lived six years in this manner at the court of Frederick; but that monarch dying in sixteen seventy he was left without a protector.	true	1306.62	1314.7	25.582277
2960_155151_000018_000000	As he had made more enemies than friends in Copenhagen, and had nothing to hope from the succeeding sovereign, he sought an asylum in another country.	As he had made more enemies than friends in Copenhagen, and had nothing to hope from the succeeding sovereign, he sought an asylum in another country.	false	1314.83	1325.22	22.742548
2960_155151_000018_000001	He went first to Saxony; but met so little encouragement, and encountered so much danger from the emissaries of the Inquisition, that he did not remain there many months.	He went first to Saxony; but met so little encouragement, and encountered so much danger from the emissaries of the Inquisition, that he did not remain there many months.	true	1325.22	1336.38	23.938467
2960_155151_000018_000002	Anticipating nothing but persecution in every country that acknowledged the spiritual authority of the pope, he appears to have taken the resolution to dwell in Turkey, and turn Mussulman.	Anticipating nothing but persecution in every country that acknowledged the spiritual authority of the pope, he appears to have taken the resolution to dwell in Turkey, and turn Mussulman.	false	1336.38	1348.1	24.457575
2960_155151_000018_000003	On his arrival at the Hungarian frontier, on his way to Constantinople, he was arrested on suspicion of being concerned in the conspiracy of the Counts Nadasdi and Frangipani, which had just been discovered.	On his arrival at the Hungarian frontier, on his way to Constantinople, he was arrested on suspicion of being concerned in the conspiracy of the Counts Nadasdi and Frangipani, which had just been discovered.	false	1348.1	1365.4	25.551521
2960_155151_000018_000004	In vain he protested his innocence, and divulged his real name and profession.	In vain he protested his innocence, and divulged his real name and profession.	true	1365.4	1371.31	22.197464
2960_155151_000018_000005	He was detained in prison, and a letter despatched to the Emperor Leopold, to know what should be done with him.	He was detained in prison, and a letter despatched to the Emperor Leopold, to know what should be done with him.	true	1371.47	1379.22	25.50992
2960_155151_000018_000006	The star of his fortunes was on the decline.	The star of his fortunes was on the decline.	false	1379.22	1382.34	21.127375
2960_155151_000018_000007	The letter reached Leopold at an unlucky moment.	The letter reached Leopold at an unlucky moment.	false	1382.34	1385.85	24.053995
2960_155151_000018_000008	The pope's nuncio was closeted with his majesty; and he no sooner heard the name of Joseph Francis Borri, than he demanded him as a prisoner of the Holy See.	The pope's nuncio was closeted with his majesty; and he no sooner heard the name of Joseph Francis Borri, than he demanded him as a prisoner of the Holy See.	false	1385.85	1397.37	22.16195
2960_155151_000018_000009	The request was complied with; and Borri, closely manacled, was sent under an escort of soldiers to the prison of the Inquisition at Rome.	The request was complied with; and Borri, closely manacled, was sent under an escort of soldiers to the prison of the Inquisition at Rome.	true	1397.37	1406.92	26.89833
2960_155151_000018_000010	He was too much of an impostor to be deeply tinged with fanaticism, and was not unwilling to make a public recantation of his heresies, if he could thereby save his life.	He was too much of an impostor to be deeply tinged with fanaticism, and was not unwilling to make a public recantation of his heresies, if he could thereby save his life.	true	1406.92	1418.3	24.098703
2960_155151_000018_000011	When the proposition was made to him, he accepted it with eagerness.	When the proposition was made to him, he accepted it with eagerness.	true	1418.3	1422.7	30.487173
2960_155151_000018_000012	His punishment was to be commuted into the hardly less severe one of perpetual imprisonment; but he was too happy to escape the clutch of the executioner at any price, and he made the _amende honorable_ in face of the assembled multitudes of Rome on the 27th of October 1672.	His punishment was to be commuted into the hardly less severe one of perpetual imprisonment; but he was too happy to escape the clutch of the executioner at any price, and he made the underscore amende honorable underscore in face of the assembled multitudes of Rome on the twenty seventh of october sixteen seventy two.	false	1422.92	1444.01	23.823376
2960_155151_000018_000013	He was then transferred to the prisons of the Castle of St. Angelo, where he remained till his death, twenty-three years afterwards.	He was then transferred to the prisons of the Castle of st Angelo, where he remained till his death, twenty three years afterwards.	false	1444.01	1452.8	22.830645
2960_155151_000018_000014	It is said that, towards the close of his life, considerable indulgence was granted him; that he was allowed to have a laboratory, and to cheer the solitude of his dungeon by searching for the philosopher's stone.	It is said that, towards the close of his life, considerable indulgence was granted him; that he was allowed to have a laboratory, and to cheer the solitude of his dungeon by searching for the philosopher's stone.	false	1452.8	1465.92	24.463062
2960_155151_000018_000015	Queen Christina, during her residence at Rome, frequently visited the old man, to converse with him upon chemistry and the doctrines of the Rosicrucians.	Queen Christina, during her residence at Rome, frequently visited the old man, to converse with him upon chemistry and the doctrines of the Rosicrucians.	true	1465.92	1476.34	24
2960_155151_000018_000016	She even obtained permission that he should leave his prison occasionally for a day or two, and reside in her palace, she being responsible for his return to captivity.	She even obtained permission that he should leave his prison occasionally for a day or two, and reside in her palace, she being responsible for his return to captivity.	true	1476.65	1487.87	24
2960_155151_000018_000017	She encouraged him to search for the great secret of the alchymists, and provided him with money for the purpose.	She encouraged him to search for the great secret of the alchymists, and provided him with money for the purpose.	true	1487.87	1495.3	27.324625
2960_155151_000018_000018	It may well be supposed that Borri benefited most by this acquaintance, and that Christina got nothing but experience.	It may well be supposed that Borri benefited most by this acquaintance, and that Christina got nothing but experience.	true	1495.43	1503.3	25.921816
2960_155151_000018_000019	It is not sure that she gained even that; for until her dying day she was convinced of the possibility of finding the philosopher's stone, and ready to assist any adventurer either zealous or impudent enough to pretend to it.	It is not sure that she gained even that; for until her dying day she was convinced of the possibility of finding the philosopher's stone, and ready to assist any adventurer either zealous or impudent enough to pretend to it.	false	1503.3	1519.74	24.589264
2960_155151_000019_000000	After Borri had been about eleven years in confinement, a small volume was published at Cologne, entitled _The Key of the Cabinet of the Chevalier Joseph Francis Borri, in which are contained many curious Letters upon Chemistry and other Sciences, written by him, together with a Memoir of his Life_.	After Borri had been about eleven years in confinement, a small volume was published at Cologne, entitled underscore The Key of the Cabinet of the Chevalier Joseph Francis Borri, in which are contained many curious Letters upon Chemistry and other Sciences, written by him, together with a Memoir of his Life underscore.	false	1519.74	1543.83	23.057062
2960_155151_000019_000001	This book contained a complete exposition of the Rosicrucian philosophy, and afforded materials to the Abbe de Villars for his interesting _Count de Gabalis_, which excited so much attention at the close of the seventeenth century.	This book contained a complete exposition of the Rosicrucian philosophy, and afforded materials to the Abbe de Villars for his interesting underscore Count de Gabalis underscore, which excited so much attention at the close of the seventeenth century.	false	1543.83	1561.02	25.939623
2960_155151_000020_000000	Borri lingered in the prison of St. Angelo till 1695, when he died, in his eightieth year.	Borri lingered in the prison of st Angelo till sixteen ninety five, when he died, in his eightieth year.	false	1561.02	1568.74	23.365234
2960_155151_000020_000001	Besides _The Key of the Cabinet_, written originally in Copenhagen, in 1666, for the edification of King Frederick III., he published a work upon alchymy and the secret sciences, under the title of _The Mission of Romulus to the Romans_.	Besides underscore The Key of the Cabinet underscore, written originally in Copenhagen, in sixteen sixty six, for the edification of King Frederick the third., he published a work upon alchymy and the secret sciences, under the title of underscore The Mission of Romulus to the romans underscore.	false	1568.74	1586.85	24.188362
2960_155151_000021_000000	INFERIOR ALCHYMISTS OF THE SEVENTEENTH CENTURY.	INFERIOR a l c h y m i s t s OF THE SEVENTEENTH CENTURY.	false	1586.85	1590.93	26.121222
2960_155151_000022_000000	Besides the pretenders to the philosopher's stone whose lives have been already narrated, this and the preceding century produced a great number of writers, who inundated literature with their books upon the subject.	Besides the pretenders to the philosopher's stone whose lives have been already narrated, this and the preceding century produced a great number of writers, who inundated literature with their books upon the subject.	true	1590.93	1605.64	23.685703
2960_155151_000022_000001	In fact, most of the learned men of that age had some faith in it.	In fact, most of the learned men of that age had some faith in it.	false	1605.64	1610.47	26.89783
2960_155151_000022_000002	Van Helmont, Borrichius, Kircher, Boerhaave, and a score of others, though not professed alchymists, were fond of the science, and countenanced its professors.	Van Helmont, Borrichius, Kircher, Boerhaave, and a score of others, though not professed alchymists, were fond of the science, and countenanced its professors.	false	1610.47	1621.48	26.371994
2960_155151_000022_000003	Helvetius, the grandfather of the celebrated philosopher of the same name, asserts that he saw an inferior metal turned into gold by a stranger, at the Hague, in 1666.	Helvetius, the grandfather of the celebrated philosopher of the same name, asserts that he saw an inferior metal turned into gold by a stranger, at the Hague, in sixteen sixty six.	false	1621.48	1634.6	24.84708
2960_155151_000022_000004	He says, that, sitting one day in his study, a man, who was dressed as a respectable burgher of North Holland, and very modest and simple in his appearance, called upon him, with the intention of dispelling his doubts relative to the philosopher's stone.	He says, that, sitting one day in his study, a man, who was dressed as a respectable burgher of North Holland, and very modest and simple in his appearance, called upon him, with the intention of dispelling his doubts relative to the philosopher's stone.	true	1634.6	1652.62	25.421402
2960_155151_000022_000005	He asked Helvetius if he thought he should know that rare gem if he saw it. To which Helvetius replied, that he certainly should not.	He asked Helvetius if he thought he should know that rare gem if he saw it. To which Helvetius replied, that he certainly should not.	false	1652.62	1661.82	24.53758
2960_155151_000022_000006	The burgher immediately drew from his pocket a small ivory box, containing three pieces of metal, of the colour of brimstone, and extremely heavy; and assured Helvetius, that of them he could make as much as twenty tons of gold.	The burgher immediately drew from his pocket a small ivory box, containing three pieces of metal, of the colour of brimstone, and extremely heavy; and assured Helvetius, that of them he could make as much as twenty tons of gold.	false	1661.82	1679.61	23.428385
2960_155151_000022_000007	Helvetius informs us, that he examined them very attentively; and seeing that they were very brittle, he took the opportunity to scrape off a small portion with his thumb-nail.	Helvetius informs us, that he examined them very attentively; and seeing that they were very brittle, he took the opportunity to scrape off a small portion with his thumb nail.	false	1679.61	1692.15	22.701561
2960_155151_000022_000008	He then returned them to the stranger, with an entreaty that he would perform the process of transmutation before him.	He then returned them to the stranger, with an entreaty that he would perform the process of transmutation before him.	false	1692.15	1699.82	21
2960_155151_000022_000009	The stranger replied, that he was not allowed to do so, and went away.	The stranger replied, that he was not allowed to do so, and went away.	true	1699.82	1705.01	19
2960_155151_000022_000010	After his departure, Helvetius procured a crucible and a portion of lead, into which, when in a state of fusion, he threw the stolen grain from the philosopher's stone.	After his departure, Helvetius procured a crucible and a portion of lead, into which, when in a state of fusion, he threw the stolen grain from the philosopher's stone.	true	1705.01	1717.31	21
2960_155151_000022_000011	He was disappointed to find that the grain evaporated altogether, leaving the lead in its original state.	He was disappointed to find that the grain evaporated altogether, leaving the lead in its original state.	true	1717.31	1724.71	25.03372
2960_155151_000023_000000	Some weeks afterwards, when he had almost forgotten the subject, he received another visit from the stranger.	Some weeks afterwards, when he had almost forgotten the subject, he received another visit from the stranger.	true	1724.71	1731.33	23.609053
2960_155151_000023_000001	He again entreated him to explain the processes by which he pretended to transmute lead.	He again entreated him to explain the processes by which he pretended to transmute lead.	false	1731.33	1737.33	19
2960_155151_000023_000002	The stranger at last consented, and informed him, that one grain was sufficient; but that it was necessary to envelope it in a ball of wax before throwing it on the molten metal; otherwise its extreme volatility would cause it to go off in vapour.	The stranger at last consented, and informed him, that one grain was sufficient; but that it was necessary to envelope it in a ball of wax before throwing it on the molten metal; otherwise its extreme volatility would cause it to go off in vapour.	false	1737.33	1756.96	24.65818
2960_155151_000023_000003	They tried the experiment, and succeeded to their heart's content.	They tried the experiment, and succeeded to their heart's content.	true	1756.96	1761.29	26.057789
2960_155151_000023_000004	Helvetius repeated the experiment alone, and converted six ounces of lead into very pure gold.	Helvetius repeated the experiment alone, and converted six ounces of lead into very pure gold.	true	1761.29	1769.3	24.094347
2960_155151_000024_000000	The fame of this event spread all over the Hague, and all the notable persons of the town flocked to the study of Helvetius to convince themselves of the fact.	The fame of this event spread all over the Hague, and all the notable persons of the town flocked to the study of Helvetius to convince themselves of the fact.	false	1769.3	1781.25	25.617678
2960_155151_000024_000001	Helvetius performed the experiment again, in the presence of the Prince of Orange, and several times afterwards, until he exhausted the whole of the powder he had received from the stranger, from whom it is necessary to state, he never received another visit; nor did he ever discover his name or condition.	Helvetius performed the experiment again, in the presence of the Prince of Orange, and several times afterwards, until he exhausted the whole of the powder he had received from the stranger, from whom it is necessary to state, he never received another visit; nor did he ever discover his name or condition.	false	1781.25	1803.48	24.275314
2960_155151_000024_000002	In the following year, Helvetius published his _Golden Calf_,[46] in which he detailed the above circumstances.	In the following year, Helvetius published his underscore Golden Calf underscore,[forty six] in which he detailed the above circumstances.	false	1803.48	1811.25	23.94828
2960_155151_000025_000000	[46] "Vitulus Aureus quem Mundus adorat et orat, in quo tractatur de naturae miraculo transmutandi metalla." _Hagae_, 1667.	[forty six] "Vitulus Aureus q u e m Mundus adorat et orat, in quo tractatur de naturae miraculo transmutandi metalla." underscore Hagae underscore, sixteen sixty seven.	false	1811.25	1811.36	-20
2960_155151_000026_000000	About the same time, the celebrated Father Kircher published his _Subterranean World_, in which he called the alchymists a congregation of knaves and impostors, and their science a delusion.	About the same time, the celebrated Father Kircher published his underscore Subterranean World underscore, in which he called the alchymists a congregation of knaves and impostors, and their science a delusion.	false	1811.36	1825.2	23.75345
2960_155151_000026_000001	He admitted that he had himself been a diligent labourer in the field, and had only come to this conclusion after mature consideration and repeated fruitless experiments.	He admitted that he had himself been a diligent labourer in the field, and had only come to this conclusion after mature consideration and repeated fruitless experiments.	false	1825.2	1839.13	24.223343
2960_155151_000026_000002	All the alchymists were in arms immediately, to refute this formidable antagonist.	All the alchymists were in arms immediately, to refute this formidable antagonist.	true	1839.17	1845.62	22.775137
2960_155151_000026_000003	One Solomon de Blauenstein was the first to grapple with him, and attempted to convict him of wilful misrepresentation, by recalling to his memory the transmutations by Sendivogius, before the Emperor Frederick III. and the Elector of Mayence, all performed within a recent period.	One Solomon de Blauenstein was the first to grapple with him, and attempted to convict him of wilful misrepresentation, by recalling to his memory the transmutations by Sendivogius, before the Emperor Frederick the third. and the Elector of Mayence, all performed within a recent period.	false	1845.62	1866.49	23
2960_155151_000026_000004	Zwelfer and Glauber also entered into the dispute, and attributed the enmity of Father Kircher to spite and jealousy against adepts who had been more successful than himself.	Zwelfer and Glauber also entered into the dispute, and attributed the enmity of Father Kircher to spite and jealousy against adepts who had been more successful than himself.	false	1866.49	1879.81	25.402655
2960_155151_000027_000000	It was also pretended that Gustavus Adolphus transmuted a quantity of quicksilver into pure gold.	It was also pretended that Gustavus Adolphus transmuted a quantity of quicksilver into pure gold.	true	1879.85	1887.94	26.041956
2960_155151_000027_000001	The learned Borrichius relates, that he saw coins which had been struck of this gold; and Lenglet du Fresnoy deposes to the same circumstance.	The learned Borrichius relates, that he saw coins which had been struck of this gold; and Lenglet du Fresnoy deposes to the same circumstance.	true	1888.13	1898.89	25.385529
2960_155151_000027_000002	In the _Travels of Monconis_ the story is told in the following manner: "A merchant of Lubeck, who carried on but little trade, but who knew how to change lead into very good gold, gave the King of Sweden a lingot which he had made, weighing at least one hundred pounds.	In the underscore Travels of Monconis underscore the story is told in the following manner: "A merchant of Lubeck, who carried on but little trade, but who knew how to change lead into very good gold, gave the King of Sweden a lingot which he had made, weighing at least one hundred pounds.	false	1899.14	1920.58	24.801914
2960_155151_000027_000003	The king immediately caused it to be coined into ducats; and because he knew positively that its origin was such as had been stated to him, he had his own arms graven upon the one side, and emblematical figures of Mercury and Venus on the other.	The king immediately caused it to be coined into ducats; and because he knew positively that its origin was such as had been stated to him, he had his own arms graven upon the one side, and emblematical figures of Mercury and Venus on the other.	false	1920.74	1939.42	24.433243
2960_155151_000027_000004	I (continued Monconis) have one of these ducats in my possession; and was credibly informed that, after the death of the Lubeck merchant, who had never appeared very rich, a sum of no less than one million seven hundred thousand crowns was found in his coffers."[47]	I (continued Monconis) have one of these ducats in my possession; and was credibly informed that, after the death of the Lubeck merchant, who had never appeared very rich, a sum of no less than one million seven hundred thousand crowns was found in his coffers."[forty seven]	false	1939.42	1958.73	23.373966
2960_155151_000028_000000	[47] _Voyages de Monconis_, tome ii.	[forty seven] underscore Voyages de Monconis underscore, tome ii.	false	1958.73	1958.85	2
2960_155151_000028_000001	p. 379.	p. three hundred seventy nine.	false	1958.85	1958.94	10
2960_155151_000029_000000	Such stories as these, confidently related by men high in station, tended to keep up the infatuation of the alchymists in every country of Europe. It is astonishing to see the number of works which were written upon the subject during the seventeenth century alone, and the number of clever men who sacrificed themselves to the delusion.	Such stories as these, confidently related by men high in station, tended to keep up the infatuation of the alchymists in every country of Europe. It is astonishing to see the number of works which were written upon the subject during the seventeenth century alone, and the number of clever men who sacrificed themselves to the delusion.	false	1958.94	1981.84	23.4076
2960_155151_000029_000001	Gabriel de Castaigne, a monk of the order of St. Francis, attracted so much notice in the reign of Louis XIII., that that monarch secured him in his household, and made him his Grand Almoner.	Gabriel de Castaigne, a monk of the order of saint Francis, attracted so much notice in the reign of Louis the thirteenth., that that monarch secured him in his household, and made him his Grand Almoner.	false	1982.54	1997.17	23.969973
2960_155151_000029_000002	He pretended to find the elixir of life, and Louis expected by his means to have enjoyed the crown for a century.	He pretended to find the elixir of life, and Louis expected by his means to have enjoyed the crown for a century.	true	1997.39	2006.02	22.198235
2960_155151_000029_000003	Van Helmont also pretended to have once performed with success the process of transmuting quicksilver, and was in consequence invited by the Emperor Rudolph II. to fix his residence at the court of Vienna.	Van Helmont also pretended to have once performed with success the process of transmuting quicksilver, and was in consequence invited by the Emperor Rudolph the second. to fix his residence at the court of Vienna.	true	2006.06	2022.35	24.786766
2960_155151_000029_000004	Glauber, the inventor of the salts which still bear his name, and who practised as a physician at Amsterdam about the middle of the seventeenth century, established a public school in that city for the study of alchymy, and gave lectures himself upon the science.	Glauber, the inventor of the salts which still bear his name, and who practised as a physician at Amsterdam about the middle of the seventeenth century, established a public school in that city for the study of alchymy, and gave lectures himself upon the science.	false	2022.35	2040.1	24.878906
2960_155151_000029_000005	John Joachim Becher of Spire acquired great reputation at the same period, and was convinced that much gold might be made out of flint-stones by a peculiar process, and the aid of that grand and incomprehensible substance the philosopher's stone.	john Joachim Becher of Spire acquired great reputation at the same period, and was convinced that much gold might be made out of flint stones by a peculiar process, and the aid of that grand and incomprehensible substance the philosopher's stone.	false	2040.38	2059.96	24.771946
2960_155151_000029_000006	He made a proposition to the Emperor Leopold of Austria to aid him in these experiments; but the hope of success was too remote, and the present expense too great, to tempt that monarch, and he therefore gave Becher much of his praise, but none of his money.	He made a proposition to the Emperor Leopold of Austria to aid him in these experiments; but the hope of success was too remote, and the present expense too great, to tempt that monarch, and he therefore gave Becher much of his praise, but none of his money.	false	2060.03	2077.98	25.23964
2960_155151_000029_000007	Becher afterwards tried the States-General of Holland with no better success.	Becher afterwards tried the States General of Holland with no better success.	false	2077.98	2083.45	24.116354
2960_155151_000030_000000	With regard to the innumerable tricks by which impostors persuaded the world that they had succeeded in making gold, and of which so many stories were current about this period, a very satisfactory report was read by M. Geoffroy the elder, at the sitting of the Royal Academy of Sciences at Paris, on the 15th of April, 1722.	With regard to the innumerable tricks by which impostors persuaded the world that they had succeeded in making gold, and of which so many stories were current about this period, a very satisfactory report was read by m Geoffroy the elder, at the sitting of the Royal Academy of Sciences at Paris, on the fifteenth of April, seventeen twenty two.	false	2083.85	2109.88	22.248688
2960_155151_000030_000001	As it relates principally to the alchymic cheats of the sixteenth and seventeenth centuries, the following abridgment of it may not be out of place in this portion of our history. The instances of successful transmutation were so numerous, and apparently so well authenticated, that nothing short of so able an exposure as that of M. Geoffroy could disabuse the public mind.	As it relates principally to the alchymic cheats of the sixteenth and seventeenth centuries, the following abridgment of it may not be out of place in this portion of our history. The instances of successful transmutation were so numerous, and apparently so well authenticated, that nothing short of so able an exposure as that of m Geoffroy could disabuse the public mind.	false	2109.89	2136.14	23.473759
2960_155151_000030_000002	The trick to which they oftenest had recourse was to use a double-bottomed crucible, the under surface being of iron or copper, and the upper one of wax, painted to resemble the same metal.	The trick to which they oftenest had recourse was to use a double bottomed crucible, the under surface being of iron or copper, and the upper one of wax, painted to resemble the same metal.	true	2136.14	2148.87	25.103054
2960_155151_000030_000003	Between the two they placed as much gold or silver dust as was necessary for their purpose.	Between the two they placed as much gold or silver dust as was necessary for their purpose.	true	2148.87	2155.42	23.931713
2960_155151_000030_000004	They then put in their lead, quicksilver, or other ingredients, and placed their pot upon the fire.	They then put in their lead, quicksilver, or other ingredients, and placed their pot upon the fire.	true	2155.58	2162.44	24.544073
2960_155151_000030_000005	Of course, when the experiment was concluded, they never failed to find a lump of gold at the bottom.	Of course, when the experiment was concluded, they never failed to find a lump of gold at the bottom.	false	2162.69	2168.86	25.187984
2960_155151_000030_000006	The same result was produced in many other ways.	The same result was produced in many other ways.	true	2169.08	2172.85	25.04291
2960_155151_000030_000007	Some of them used a hollow wand, filled with gold or silver dust, and stopped at the ends with wax or butter.	Some of them used a hollow wand, filled with gold or silver dust, and stopped at the ends with wax or butter.	true	2173.01	2180.58	24.002964
2960_155151_000030_000008	With this they stirred the boiling metal in their crucibles, taking care to accompany the operation with many ceremonies, to divert attention from the real purpose of the manoeuvre.	With this they stirred the boiling metal in their crucibles, taking care to accompany the operation with many ceremonies, to divert attention from the real purpose of the manoeuvre.	false	2180.58	2193.43	24.081892
2960_155151_000030_000009	They also drilled holes in lumps of lead, into which they poured molten gold, and carefully closed the aperture with the original metal.	They also drilled holes in lumps of lead, into which they poured molten gold, and carefully closed the aperture with the original metal.	false	2193.43	2202.46	24.446606
2960_155151_000030_000010	Sometimes they washed a piece of gold with quicksilver. When in this state, they found no difficulty in palming it off upon the uninitiated as an inferior metal, and very easily transmuted it into fine sonorous gold again with the aid of a little aquafortis.	Sometimes they washed a piece of gold with quicksilver. When in this state, they found no difficulty in palming it off upon the uninitiated as an inferior metal, and very easily transmuted it into fine sonorous gold again with the aid of a little aquafortis.	false	2202.68	2222.29	22.934084
2960_155151_000031_000000	Others imposed by means of nails, half iron and half gold or silver.	Others imposed by means of nails, half iron and half gold or silver.	false	2222.48	2228.2	22.22736
2960_155151_000031_000001	They pretended that they really transmuted the precious half from iron, by dipping it in a strong alcohol.	They pretended that they really transmuted the precious half from iron, by dipping it in a strong alcohol.	false	2228.2	2235.87	23.442165
2960_155151_000031_000002	M. Geoffroy produced several of these nails to the Academy of Sciences, and shewed how nicely the two parts were soldered together.	M. Geoffroy produced several of these nails to the Academy of Sciences, and shewed how nicely the two parts were soldered together.	true	2235.87	2244.41	23.329165
2960_155151_000031_000003	The golden or silver half was painted black to resemble iron, and the colour immediately disappeared when the nail was dipped into aquafortis.	The golden or silver half was painted black to resemble iron, and the colour immediately disappeared when the nail was dipped into aquafortis.	false	2244.41	2253.79	22.079073
2960_155151_000031_000004	A nail of this description was, for a long time, in the cabinet of the Grand Duke of Tuscany.	A nail of this description was, for a long time, in the cabinet of the Grand Duke of Tuscany.	true	2253.8	2260.57	25.973133
2960_155151_000031_000005	Such also, said M. Geoffroy, was the knife presented by a monk to Queen Elizabeth of England; the blade of which was half gold and half steel.	Such also, said m Geoffroy, was the knife presented by a monk to Queen Elizabeth of England; the blade of which was half gold and half steel.	false	2260.97	2273.08	21.134853
2960_155151_000031_000006	Nothing at one time was more common than to see coins, half gold and half silver, which had been operated upon by alchymists, for the same purposes of trickery.	Nothing at one time was more common than to see coins, half gold and half silver, which had been operated upon by alchymists, for the same purposes of trickery.	true	2273.45	2286.58	23.3838
2960_155151_000031_000007	In fact, says M. Geoffroy, in concluding his long report, there is every reason to believe that all the famous histories which have been handed down to us about the transmutation of metals into gold or silver, by means of the powder of projection or philosophical elixirs, are founded upon some successful deception of the kind above narrated.	In fact, says m Geoffroy, in concluding his long report, there is every reason to believe that all the famous histories which have been handed down to us about the transmutation of metals into gold or silver, by means of the powder of projection or philosophical elixirs, are founded upon some successful deception of the kind above narrated.	false	2287.04	2312.44	24.050114
2960_155151_000031_000008	These pretended philosophers invariably disappeared after the first or second experiment, or their powders or elixirs have failed to produce their effect, either because attention being excited they have found no opportunity to renew the trick without being discovered, or because they have not had sufficient gold dust for more than one trial.	These pretended philosophers invariably disappeared after the first or second experiment, or their powders or elixirs have failed to produce their effect, either because attention being excited they have found no opportunity to renew the trick without being discovered, or because they have not had sufficient gold dust for more than one trial.	false	2312.72	2410.83	23.70938
