8410_278220_000000_000000	CHAPTER XXIX.	CHAPTER twenty nine.	false	0.93	23.47	25.822495
8410_278220_000066_000002	He talked a great deal about you, when my father told him that you'd settled at Maudesley, and would have driven over to see you if he could have managed to spare the time, without losing his train.	He talked a great deal about you, when my father told him that you'd settled at Maudesley, and would have driven over to see you if he could have managed to spare the time, without losing his train.	true	850.13	858.1	21
8410_278220_000066_000003	You'll see him, wont you?"	You'll see him, wont you?"	true	858.11	859.45	25.405325
8410_278220_000067_000000	"Where is he?"	"Where is he?"	true	860.24	861.13	22.154022
8410_278220_000068_000000	"Here, in the station--in the waiting-room.	"Here, in the station-in the waiting room.	true	861.83	864.19	27.07694
8410_278220_000068_000001	He has been visiting in Warwickshire, and he lunched with my father _en passant_; he is going to Derby, and he's waiting for the down-train to take him on to the main line.	He has been visiting in Warwickshire, and he lunched with my father underscore en passant underscore; he is going to Derby, and he's waiting for the down train to take him on to the main line.	false	864.23	871.9	24.936205
8410_278220_000068_000002	You'll come and see him?"	You'll come and see him?"	true	871.97	873.25	26.72574
8410_278220_000069_000000	"Yes, I shall be very glad; I----"	"Yes, I shall be very glad; I----"	true	873.62	875.74	24.010563
8410_278220_000070_000000	Henry Dunbar stopped suddenly, with his hand upon his side.	Henry Dunbar stopped suddenly, with his hand upon his side.	true	876.35	879.255	27.080973
8410_278220_000070_000001	The bell had been ringing while Lovell and the banker had stood upon the platform talking.	The bell had been ringing while Lovell and the banker had stood upon the platform talking.	false	879.255	883.15	29.14886
8410_278220_000070_000002	The train came into the station at this moment.	The train came into the station at this moment.	true	883.16	885.49	27.762266
8410_278220_000071_000000	"I shan't be able to see Lord Herriston to-night," Mr. Dunbar said, hurriedly; "I must go by this train, or I shall lose a day.	"I shan't be able to see Lord Herriston to night," mr Dunbar said, hurriedly; "I must go by this train, or I shall lose a day.	true	886.07	892.39	23.651289
8410_278220_000071_000001	Good-bye, Lovell.	Good bye, Lovell.	true	892.46	893.56	25.559536
8410_278220_000071_000002	Make my best compliments to Herriston; tell him I have been very ill.	Make my best compliments to Herriston; tell him I have been very ill.	true	893.93	897.49	29.038242
8410_278220_000071_000003	Good-bye."	Good bye."	true	897.53	898.33	27.619114
8410_278220_000072_000000	"Your portmanteau's in the carriage, sir," the servant said, pointing to the open door of a first-class compartment.	"Your portmanteau's in the carriage, sir," the servant said, pointing to the open door of a first-class compartment.	false	899.36	904.75	23.28912
8410_278220_000072_000001	Henry Dunbar got into the carriage.	Henry Dunbar got into the carriage.	true	904.79	906.73	28.549763
8410_278220_000072_000002	At the moment of his doing so, an elderly gentleman came out of the waiting-room.	At the moment of his doing so, an elderly gentleman came out of the waiting room.	true	906.86	910.6	24.99372
8410_278220_000073_000000	"Is this my train, Lovell?" he asked.	"Is this my train, Lovell?" he asked.	true	911.18	914.29	27.50481
8410_278220_000074_000000	"No, my Lord.	"No, my Lord.	true	914.36	915.345	27.893057
8410_278220_000074_000001	Mr. Dunbar is here; he goes by this train.	mr Dunbar is here; he goes by this train.	true	915.345	918.19	24.066689
8410_278220_000074_000002	You'll have time to speak to him."	You'll have time to speak to him."	true	918.29	919.87	26.419224
8410_278220_000075_000000	The train was moving.	The train was moving.	true	920.87	922.15	30.057405
8410_278220_000075_000001	Lord Herriston was an active old fellow.	Lord Herriston was an active old fellow.	true	922.25	924.36	21.436264
8410_278220_000075_000002	He ran along the platform, looking into the carriages.	He ran along the platform, looking into the carriages.	true	924.36	927.1	25.268091
8410_278220_000075_000003	But the old man's sight was not as good as his legs were; he looked eagerly into the carriage-windows, but he only saw a confusion of flickering lamplight, and strange faces, and newspapers unfurled in the hands of wakeful travellers, and the heads of sleepy passengers rolling and jolting against the padded sides of the carriage.	But the old man's sight was not as good as his legs were; he looked eagerly into the carriage windows, but he only saw a confusion of flickering lamplight, and strange faces, and newspapers unfurled in the hands of wakeful travellers, and the heads of sleepy passengers rolling and jolting against the padded sides of the carriage.	true	927.41	943.48	25.831326
8410_278220_000076_000000	"My eyes are not what they used to be," he said, with a good-tempered laugh, when he went back to Arthur Lovell.	"My eyes are not what they used to be," he said, with a good tempered laugh, when he went back to Arthur Lovell.	true	944.3	950.41	21.859566
8410_278220_000076_000001	"I didn't succeed in getting a glimpse of my old friend Henry Dunbar."	"I didn't succeed in getting a glimpse of my old friend Henry Dunbar."	true	950.9	954.6	22
8410_278220_000077_000000	CHAPTER XXX.	CHAPTER thirty.	false	954.6	954.72	-20
8410_278220_000078_000000	STOPPED UPON THE WAY.	STOPPED UPON THE WAY.	false	954.72	954.96	-20
8410_278220_000079_000000	Mr. Dunbar leant back in the corner of his comfortable seat, with his eyes closed.	mr Dunbar leant back in the corner of his comfortable seat, with his eyes closed.	false	954.96	955.92	-20
8410_278220_000079_000001	But he was not asleep, he was only thinking; and every now and then he bent forward, and looked out of the window into the darkness of the night.	But he was not asleep, he was only thinking; and every now and then he bent forward, and looked out of the window into the darkness of the night.	false	955.92	956.76	100
8410_278220_000079_000002	He could only distinguish the faint outline of the landscape as the train swept on upon its way, past low meadows, where the snow lay white and stainless, unsullied by a passing footfall; and scanty patches of woodland, where the hardy firs looked black against the glittering whiteness of the ground.	He could only distinguish the faint outline of the landscape as the train swept on upon its way, past low meadows, where the snow lay white and stainless, unsullied by a passing footfall; and scanty patches of woodland, where the hardy firs looked black against the glittering whiteness of the ground.	false	956.76	963.15	18.39927
