7657_104717_000000_000000	From the painting by Henry Ulke, in the Treasury Department at Washington.	From the painting by Henry Ulke, in the Treasury Department at Washington.	false	0	0.9	25
7657_104717_000029_000004	The glimpses which we get of him during this stay abroad show him as the associate upon terms of equality with grown men of marked ability and exercising important functions.	The glimpses which we get of him during this stay abroad show him as the associate upon terms of equality with grown men of marked ability and exercising important functions.	true	1035.59	1045.42	15
7657_104717_000029_000005	He preferred diplomacy to dissipation, statesmen to mistresses, and in the midst of all the temptations of the gayest capital in the world, the chariness with which he sprinkled his wild oats amid the alluring gardens chiefly devoted to the culture of those cereals might well have brought a blush to the cheeks of some among his elders, at least if the tongue of slander wags not with gross untruth concerning the colleagues of John Adams.	He preferred diplomacy to dissipation, statesmen to mistresses, and in the midst of all the temptations of the gayest capital in the world, the chariness with which he sprinkled his wild oats amid the alluring gardens chiefly devoted to the culture of those cereals might well have brought a blush to the cheeks of some among his elders, at least if the tongue of slander wags not with gross untruth concerning the colleagues of john Adams.	false	1045.73	1071.49	17
7657_104717_000029_000006	But he was not in Europe to amuse himself, though at an age when amusement is natural and a tinge of sinfulness is so often pardoned; he was there with the definite and persistent purpose of steady improvement and acquisition. At his age most young men play the cards which a kind fortune puts into their hands, with the reckless intent only of immediate gain, (p.	But he was not in Europe to amuse himself, though at an age when amusement is natural and a tinge of sinfulness is so often pardoned; he was there with the definite and persistent purpose of steady improvement and acquisition. At his age most young men play the cards which a kind fortune puts into their hands, with the reckless intent only of immediate gain, (p.	false	1071.86	1092.57	19
7657_104717_000029_000007	015) but from the earliest moment when he began the game of life Adams coolly and wisely husbanded every card which came into his hand, with a steady view to probable future contingencies, and with the resolve to win in the long run.	o one five) but from the earliest moment when he began the game of life Adams coolly and wisely husbanded every card which came into his hand, with a steady view to probable future contingencies, and with the resolve to win in the long run.	false	1092.57	1106.32	18.982069
7657_104717_000029_000008	So now the resolution which he took in the present question illustrated the clearness of his mind and the strength of his character.	So now the resolution which he took in the present question illustrated the clearness of his mind and the strength of his character.	true	1106.87	1113.25	17
7657_104717_000029_000009	To go with his father to England would be to enjoy a life precisely fitted to his natural and acquired tastes, to mingle with the men who were making history, to be cognizant of the weightiest of public affairs, to profit by all that the grandest city in the world had to show.	To go with his father to England would be to enjoy a life precisely fitted to his natural and acquired tastes, to mingle with the men who were making history, to be cognizant of the weightiest of public affairs, to profit by all that the grandest city in the world had to show.	false	1113.74	1128.67	17
7657_104717_000029_000010	It was easy to be not only allured by the prospect but also to be deceived by its apparent advantages.	It was easy to be not only allured by the prospect but also to be deceived by its apparent advantages.	true	1129.13	1134.58	16
7657_104717_000029_000011	Adams, however, had the sense and courage to turn his back on it, and to go home to the meagre shores and small society of New England, there to become a boy again, to enter Harvard College, and come under all its at that time rigid and petty regulations.	Adams, however, had the sense and courage to turn his back on it, and to go home to the meagre shores and small society of New England, there to become a boy again, to enter Harvard College, and come under all its at that time rigid and petty regulations.	true	1134.68	1150.81	17
7657_104717_000029_000012	It almost seems a mistake, but it was not.	It almost seems a mistake, but it was not.	true	1150.91	1153.78	20.368969
7657_104717_000029_000013	Already he was too ripe and too wise to blunder.	Already he was too ripe and too wise to blunder.	true	1154	1157.2	16
7657_104717_000029_000014	He himself gives us his characteristic and sufficient reasons:--	He himself gives us his characteristic and sufficient reasons:--	true	1157.6	1161.3	16
7657_104717_000030_000000	"Were I now to go with my father probably my immediate satisfaction might be greater than it will be in returning (p.	"Were I now to go with my father probably my immediate satisfaction might be greater than it will be in returning (p.	false	1161.3	1167.48	16
7657_104717_000030_000001	016) to America.	o one six) to America.	false	1167.48	1168.45	17
7657_104717_000030_000002	After having been travelling for these seven years almost and all over Europe, and having been in the world and among company for three; to return to spend one or two years in the pale of a college, subjected to all the rules which I have so long been freed from; and afterwards not expect (however good an opinion I may have of myself) to bring myself into notice under three or four years more, if ever!	After having been travelling for these seven years almost and all over Europe, and having been in the world and among company for three; to return to spend one or two years in the pale of a college, subjected to all the rules which I have so long been freed from; and afterwards not expect (however good an opinion I may have of myself) to bring myself into notice under three or four years more, if ever!	false	1168.61	1191.43	17
7657_104717_000030_000003	It is really a prospect somewhat discouraging for a youth of my ambition, (for I have ambition though I hope its object is laudable).	It is really a prospect somewhat discouraging for a youth of my ambition, (for I have ambition though I hope its object is laudable).	false	1191.62	1198.93	16
7657_104717_000030_000004	But still	But still	true	1198.93	1200	21.655409
7657_104717_000031_000000	'Oh! how wretched Is that poor man, that hangs on Princes' favors,'	'Oh! how wretched Is that poor man, that hangs on Princes' favors,'	true	1200	1203.82	14
7657_104717_000032_000000	or on those of any body else.	or on those of any body else.	true	1203.98	1205.79	16.828033
7657_104717_000032_000001	I am determined that so long as I shall be able to get my own living in an honorable manner, I will depend upon no one.	I am determined that so long as I shall be able to get my own living in an honorable manner, I will depend upon no one.	true	1205.79	1212.46	10
7657_104717_000032_000002	My father has been so much taken up all his lifetime with the interests of the public, that his own fortune has suffered by it: so that his children will have to provide for themselves, which I shall never be able to do if I loiter away my precious time in Europe and shun going home until I am forced to it.	My father has been so much taken up all his lifetime with the interests of the public, that his own fortune has suffered by it: so that his children will have to provide for themselves, which I shall never be able to do if I loiter away my precious time in Europe and shun going home until I am forced to it.	true	1212.46	1228.78	16
7657_104717_000032_000003	With an ordinary share of common sense, which I hope I enjoy, at least in America I can live _independent_ and _free_; and rather than live otherwise I would wish to die before the time when I shall be left at my own discretion.	With an ordinary share of common sense, which I hope I enjoy, at least in America I can live underscore independent underscore and underscore free underscore; and rather than live otherwise I would wish to die before the time when I shall be left at my own discretion.	false	1229.27	1242.05	16
7657_104717_000032_000004	I have before me a striking example of the distressing and humiliating situation a person is reduced to by adopting a different line of conduct, and I am determined not to fall into the same error."	I have before me a striking example of the distressing and humiliating situation a person is reduced to by adopting a different line of conduct, and I am determined not to fall into the same error."	false	1242.05	1260.69	18.480392
