329_862_000000_000000	"The outlook is bad, Walter," Sir John Powis said.	"The outlook is bad, Walter," Sir john Powis said.	false	0	1.02	26.057562
329_862_000050_000000	All present joined in expressions of praise at the lad's coolness and presence of mind.	All present joined in expressions of praise at the lad's coolness and presence of mind.	true	1058	1064.59	22
329_862_000051_000000	"You are doing well, young sir," the English leader went on, "and have distinguished yourself on each occasion on which we have been engaged. I shall be proud when the time comes to bestow upon you myself the order of knighthood if our king does not take the matter off my hands."	"You are doing well, young sir," the English leader went on, "and have distinguished yourself on each occasion on which we have been engaged. I shall be proud when the time comes to bestow upon you myself the order of knighthood if our king does not take the matter off my hands."	true	1065.14	1083.43	17
329_862_000052_000000	A little later Robert of Artois died of his wounds and disappointment at the failure of his hopes.	A little later Robert of Artois died of his wounds and disappointment at the failure of his hopes.	false	1083.89	1091.08	19
329_862_000053_000000	In October King Edward himself set sail with a great army, and landing in Brittany early in November marched forward through the country and soon reduced Ploermel, Malestrail, Redon, and the rest of the province in the vicinity of Vannes, and then laid siege to that town.	In October King Edward himself set sail with a great army, and landing in Brittany early in November marched forward through the country and soon reduced Ploermel, Malestrail, Redon, and the rest of the province in the vicinity of Vannes, and then laid siege to that town.	false	1091.72	1110.04	17
329_862_000053_000001	As his force was far more than sufficient for the siege, the Earls of Norfolk and Warwick were despatched in the direction of Nantes to reconnoitre the country and clear it of any small bodies of the enemy they might encounter.	As his force was far more than sufficient for the siege, the Earls of Norfolk and Warwick were despatched in the direction of Nantes to reconnoitre the country and clear it of any small bodies of the enemy they might encounter.	false	1110.14	1125.87	20
329_862_000053_000002	In the meantime Edward opened negotiations with many of the Breton lords, who, seeing that such powerful aid had arrived for the cause of the Countess of Montford, were easily persuaded to change sides.	In the meantime Edward opened negotiations with many of the Breton lords, who, seeing that such powerful aid had arrived for the cause of the Countess of Montford, were easily persuaded to change sides.	true	1125.87	1139.54	21
329_862_000053_000003	Among them were the lords of Clisson, Moheac, Machecoul, Retz, and many others of less importance.	Among them were the lords of Clisson, Moheac, Machecoul, Retz, and many others of less importance.	false	1139.54	1148.77	26.299314
329_862_000054_000000	The Count of Valentinois, who commanded the garrison of Vannes, supported the siege with great courage and fortitude, knowing that Charles of Blois and the King of France were collecting a great army for his relief.	The Count of Valentinois, who commanded the garrison of Vannes, supported the siege with great courage and fortitude, knowing that Charles of Blois and the King of France were collecting a great army for his relief.	false	1149.14	1163.92	21.740623
329_862_000054_000001	Uniting their forces they advanced towards the town.	Uniting their forces they advanced towards the town.	true	1164.11	1167.55	20
329_862_000054_000002	Before the force of the French, 40,000 strong, the Earl of Norfolk had fallen back and rejoined the king, but even after this junction the French forces exceeded those of Edward fourfold.	Before the force of the French, forty thousand strong, the Earl of Norfolk had fallen back and rejoined the king, but even after this junction the French forces exceeded those of Edward fourfold.	true	1167.62	1180.69	21
329_862_000054_000003	They advanced towards Vannes and formed a large entrenched camp near that of the English, who thus, while still besieging Vannes, were themselves enclosed by a vastly superior force.	They advanced towards Vannes and formed a large entrenched camp near that of the English, who thus, while still besieging Vannes, were themselves enclosed by a vastly superior force.	false	1180.7	1193.44	15
329_862_000054_000004	The King of France himself arrived at the French camp.	The King of France himself arrived at the French camp.	true	1193.54	1196.58	18
329_862_000054_000005	The French, although so greatly superior, made no motion toward attacking the English, but appeared bent upon either starving them out or forcing them to attack the strongly entrenched position occupied by the French.	The French, although so greatly superior, made no motion toward attacking the English, but appeared bent upon either starving them out or forcing them to attack the strongly entrenched position occupied by the French.	true	1196.58	1209.76	19
329_862_000055_000000	Provisions were indeed running short in the English camp, and the arrival of supplies from England was cut off by a strong fleet under Don Louis, which cruised off the coast and captured all vessels arriving with stores.	Provisions were indeed running short in the English camp, and the arrival of supplies from England was cut off by a strong fleet under Don Louis, which cruised off the coast and captured all vessels arriving with stores.	false	1210.22	1224.67	19.726822
329_862_000055_000001	At this moment two legates, the Cardinal Bishop of Preneste and the Cardinal Bishop of Tusculum, arrived from the pope and strove to mediate between the two sovereigns and to bring about a cessation of hostilities, pointing out to them the scandal and desolation which their rivalry caused in Christendom, the waste of noble lives, the devastation of once happy provinces, and the effusion of innocent blood.	At this moment two legates, the Cardinal Bishop of Preneste and the Cardinal Bishop of Tusculum, arrived from the pope and strove to mediate between the two sovereigns and to bring about a cessation of hostilities, pointing out to them the scandal and desolation which their rivalry caused in Christendom, the waste of noble lives, the devastation of once happy provinces, and the effusion of innocent blood.	false	1224.77	1254.58	21
329_862_000055_000002	Going from camp to camp they exhorted, prayed, and reproached the rival sovereigns, urging that while Christians were shedding each other's blood in vain, the infidels were daily waxing bolder and more insolent.	Going from camp to camp they exhorted, prayed, and reproached the rival sovereigns, urging that while Christians were shedding each other's blood in vain, the infidels were daily waxing bolder and more insolent.	true	1254.74	1268.56	19
329_862_000055_000003	Their arguments would have been but of little use had either of the monarchs felt sure of victory.	Their arguments would have been but of little use had either of the monarchs felt sure of victory.	false	1268.69	1274.68	18
329_862_000055_000004	King Edward, however, felt that his position was growing desperate, for starvation was staring him in the face, and only by a victory over an immensely superior force in a strongly entrenched position could he extricate himself.	King Edward, however, felt that his position was growing desperate, for starvation was staring him in the face, and only by a victory over an immensely superior force in a strongly entrenched position could he extricate himself.	true	1274.84	1289.47	19
329_862_000055_000005	Upon the part of the French, however, circumstances were occurring which rendered them anxious for a release from their position, for they were not without their share of suffering.	Upon the part of the French, however, circumstances were occurring which rendered them anxious for a release from their position, for they were not without their share of suffering.	true	1289.63	1300.72	19
329_862_000055_000006	While the English army lay on a hill the French camp was pitched on low ground.	While the English army lay on a hill the French camp was pitched on low ground.	true	1300.82	1306.27	19
329_862_000055_000007	An unusually wet season had set in with bitterly cold wind.	An unusually wet season had set in with bitterly cold wind.	true	1306.37	1310.68	14
329_862_000055_000008	The rain was incessant, a pestilence had destroyed a vast number of their horses, and their encampment was flooded.	The rain was incessant, a pestilence had destroyed a vast number of their horses, and their encampment was flooded.	true	1310.78	1318.27	16
329_862_000055_000009	Their forces were therefore obligated to spread themselves over the neighbouring fields, and a sudden attack by the English might have been fatal.	Their forces were therefore obligated to spread themselves over the neighbouring fields, and a sudden attack by the English might have been fatal.	true	1318.4	1327.15	19
329_862_000056_000000	Thus distress pressed upon both commanders, and the pope's legates found their exertions at last crowned with success.	Thus distress pressed upon both commanders, and the pope's legates found their exertions at last crowned with success.	true	1327.37	1335.76	18
329_862_000056_000001	A suspension of hostilities was agreed to, and the Dukes of Burgundy and Bourbon on the one side and the Earls of Lancaster, Northampton, and Salisbury on the other, met as commissioners and agreed to a convention by which a general truce was to be made from the date of the treaty to the following Michaelmas, and to be prolonged from that day for the full term of three years.	A suspension of hostilities was agreed to, and the Dukes of Burgundy and Bourbon on the one side and the Earls of Lancaster, Northampton, and Salisbury on the other, met as commissioners and agreed to a convention by which a general truce was to be made from the date of the treaty to the following Michaelmas, and to be prolonged from that day for the full term of three years.	true	1336.16	1361.08	18
329_862_000056_000002	It was agreed that the truce should embrace not only the sovereigns, but all the adherents of each of them.	It was agreed that the truce should embrace not only the sovereigns, but all the adherents of each of them.	true	1361.57	1367.71	21.35616
329_862_000056_000003	The truce was to hold good in Brittany between all parties, and the city of Vannes was to be given into the hands of the cardinals to dispose of as they chose.	The truce was to hold good in Brittany between all parties, and the city of Vannes was to be given into the hands of the cardinals to dispose of as they chose.	false	1367.75	1377.91	17
329_862_000056_000004	It was specially provided that in the case of any of the adherents of either party in the Duchies of Gascony and Brittany waging war against each other, neither of the monarchs should either directly or indirectly meddle therewith, nor should the truce be at all broken thereby.	It was specially provided that in the case of any of the adherents of either party in the Duchies of Gascony and Brittany waging war against each other, neither of the monarchs should either directly or indirectly meddle therewith, nor should the truce be at all broken thereby.	false	1378.01	1396.39	17
329_862_000057_000000	Immediately the treaty was signed, on the 19th of January, 1343, the King of France dismissed his army, and Edward sailed for England with the greater part of his troops.	Immediately the treaty was signed, on the nineteenth of January, thirteen forty three, the King of France dismissed his army, and Edward sailed for England with the greater part of his troops.	false	1396.67	1408.38	22.531693
329_862_000057_000001	The Countess of Montford and her son accompanied him, and the possessions of her husband in Brittany were left to the guardianship of her partisans, with a small but choice body of English troops.	The Countess of Montford and her son accompanied him, and the possessions of her husband in Brittany were left to the guardianship of her partisans, with a small but choice body of English troops.	true	1408.38	1419.31	19
329_862_000058_000000	The towns which had fallen into their hands and still remained were Brest, Quimper-Corentin, Quimperle, Redon, and Guerande; Vannes was handed over to them by the cardinals, and Hennebon, of course, remained in their possession.	The towns which had fallen into their hands and still remained were Brest, Quimper Corentin, Quimperle, Redon, and Guerande; Vannes was handed over to them by the cardinals, and Hennebon, of course, remained in their possession.	false	1419.86	1434.58	22.142038
329_862_000059_000000	Walter returned to England with Sir Walter Manny, and on reaching London was received with delight by his old friends Geoffrey Ward and Giles Fletcher, who were never tired of listening to his tales of the wars. Dame Vernon also received him with great kindness, and congratulated him warmly upon the very favourable account which Sir Walter Manny had given of his zeal and gallantry.	Walter returned to England with Sir Walter Manny, and on reaching London was received with delight by his old friends Geoffrey Ward and Giles Fletcher, who were never tired of listening to his tales of the wars. Dame Vernon also received him with great kindness, and congratulated him warmly upon the very favourable account which Sir Walter Manny had given of his zeal and gallantry.	false	1434.77	1461.43	21
329_862_000060_000000	The time now for a while passed very quietly.	The time now for a while passed very quietly.	true	1461.74	1464.66	21
329_862_000060_000001	Walter and the other young squires practised diligently, under the instructions of Sir Walter, at knightly exercises.	Walter and the other young squires practised diligently, under the instructions of Sir Walter, at knightly exercises.	true	1464.66	1471.9	18
329_862_000060_000002	Walter learned to bear himself well on horseback and to tilt in the ring.	Walter learned to bear himself well on horseback and to tilt in the ring.	true	1472.12	1476.7	20.296513
329_862_000060_000003	He was already a skilful swordsman, but he spared no pains to improve himself with his weapons.	He was already a skilful swordsman, but he spared no pains to improve himself with his weapons.	true	1476.77	1483	21
329_862_000060_000004	The court was a gay one, and Walter, as a favoured esquire of one of the foremost knights there, was admitted to all that took place.	The court was a gay one, and Walter, as a favoured esquire of one of the foremost knights there, was admitted to all that took place.	true	1483.04	1490.95	17
329_862_000060_000005	His courtly education, of course, included dancing, and when he went down, as he often did, for a long chat with his old friends, Geoffrey often said, laughing, that he was growing such a fine gentleman that he hardly liked to sit in his presence; but although changed in manner, Walter continued to be, as before, a frank, manly young fellow, and free from the affectations which were so general among the young men of the court.	His courtly education, of course, included dancing, and when he went down, as he often did, for a long chat with his old friends, Geoffrey often said, laughing, that he was growing such a fine gentleman that he hardly liked to sit in his presence; but although changed in manner, Walter continued to be, as before, a frank, manly young fellow, and free from the affectations which were so general among the young men of the court.	false	1491.26	1532.64	22.425142
