1289_288044_000000_000000	Why were women put to death as witches?	Why were women put to death as witches?	false	0	5.76	16.156477
1289_288044_000046_000000	The Christian scholar whose article on Paul is printed in the _Britannica_, and from which we are now quoting, gives further expression to this uncertainty by adding that certain of Paul's epistles "have given rise to disputes which cannot easily be settled in the absence of collateral evidence...The pastoral epistles...have given rise to still graver questions, and are probably even _less_ defensible."	The Christian scholar whose article on Paul is printed in the underscore Britannica underscore, and from which we are now quoting, gives further expression to this uncertainty by adding that certain of Paul's epistles "have given rise to disputes which cannot easily be settled in the absence of collateral evidence...The pastoral epistles...have given rise to still graver questions, and are probably even underscore less underscore defensible."	false	964.7	986.53	23.613508
1289_288044_000047_000000	Let the reader remember that the above is not from a rationalist, but from the Rev.	Let the reader remember that the above is not from a rationalist, but from the Rev.	false	987.38	991.95	22.762684
1289_288044_000047_000001	Edwin Hatch, D. D., Vice-Principal, St. Mary Hall, Oxford, England.	Edwin Hatch, d d, Vice Principal, saint Mary Hall, Oxford, England.	true	991.95	996.9	28
1289_288044_000048_000000	Were we disposed to quote rationalist authorities, the argument against Paul would be far more decisive.	Were we disposed to quote rationalist authorities, the argument against Paul would be far more decisive.	false	996.9	1003.17	23.873837
1289_288044_000048_000001	But we are satisfied to rest the case on orthodox admissions alone.	But we are satisfied to rest the case on orthodox admissions alone.	true	1003.17	1007.32	22.905693
1289_288044_000049_000000	The strongest argument then of clergymen who have attempted an answer to our position is something like this:	The strongest argument then of clergymen who have attempted an answer to our position is something like this:	true	1008.35	1013.98	19
1289_288044_000050_000000	Jesus is historical because a man by the name of Paul says so, though we do not know much about Paul.	Jesus is historical because a man by the name of Paul says so, though we do not know much about Paul.	true	1014.41	1020.01	21.92167
1289_288044_000051_000000	It is just such evidence as the above that led Prof.	It is just such evidence as the above that led prof	false	1020.59	1023.93	32.824425
1289_288044_000051_000001	Goldwin Smith to exclaim: "Jesus has flown.	Goldwin Smith to exclaim: "Jesus has flown.	true	1023.93	1027.05	20.87943
1289_288044_000051_000002	I believe the legend of Jesus was made by many minds working under a great religious impulse--one man adding a parable, another an exhortation, another a miracle story;"--and George Eliot to write: "The materials for a real life of Christ do not exist."	I believe the legend of Jesus was made by many minds working under a great religious impulse-one man adding a parable, another an exhortation, another a miracle story;"--and George Eliot to write: "The materials for a real life of Christ do not exist."	true	1027.05	1042.09	22.772331
1289_288044_000052_000000	In the effort to untie the Jesus-knot by Paul, the church has increased the number of knots to two.	In the effort to untie the Jesus knot by Paul, the church has increased the number of knots to two.	true	1043.18	1048.72	24
1289_288044_000052_000001	In other words, the church has proceeded on the theory that two uncertainties make a certainty.	In other words, the church has proceeded on the theory that two uncertainties make a certainty.	true	1048.76	1054.06	22
1289_288044_000053_000000	We promised to square also with the facts of history our statement that the chief concern of the church, Jewish, Christian, or Mohammedan, is not righteousness, but orthodoxy.	We promised to square also with the facts of history our statement that the chief concern of the church, Jewish, Christian, or Mohammedan, is not righteousness, but orthodoxy.	false	1054.73	1069.05	24.850597
1289_288044_000054_000000	IX	IX	false	1069.05	1071.19	14.359655
1289_288044_000055_000000	Speaking in this city, Rev.	Speaking in this city, Rev.	true	1071.19	1073.19	27.262318
1289_288044_000055_000001	W. H. Wray Boyle of Lake Forest, declared that unbelief was responsible for the worst crimes in history.	w h Wray Boyle of Lake Forest, declared that unbelief was responsible for the worst crimes in history.	true	1073.19	1079.68	23
1289_288044_000055_000002	He mentioned the placing.	He mentioned the placing.	true	1079.99	1081.2	23.310566
1289_288044_000056_000000	--"of a nude woman on a pedestal in the city of Paris.	--"of a nude woman on a pedestal in the city of Paris.	true	1081.2	1084.15	14
1289_288044_000057_000000	--"the assassination of William McKinley.	--"the assassination of William McKinley.	true	1084.43	1086.82	15.116316
1289_288044_000058_000000	--"The same unbelief sent a murderer down the isle of a church in Denver to pluck the symbol of the sacrament from the hands of a priest and slay him at the altar."	--"The same unbelief sent a murderer down the isle of a church in Denver to pluck the symbol of the sacrament from the hands of a priest and slay him at the altar."	true	1087.43	1095.88	19
1289_288044_000059_000000	The story of a "nude woman," etc., is pure fiction, and that the two murders were caused by unbelief is mere assumption.	The story of a "nude woman," etc, is pure fiction, and that the two murders were caused by unbelief is mere assumption.	true	1096.7	1103.14	20
1289_288044_000059_000001	To help his creed, the preacher resorts to fable.	To help his creed, the preacher resorts to fable.	true	1103.21	1105.99	25.189371
1289_288044_000059_000002	We shall prove our position by quoting _facts_:	We shall prove our position by quoting underscore facts underscore:	false	1106.42	1109.31	31.005648
1289_288044_000060_000000	I. HYPATIA [Footnote: See Author's, The Martyrdom of Hypatia.] was dragged into a Christian church by monks in Alexandria, and before the altar she was stripped of her clothing and cut in pieces with oyster shells, and murdered.	I. HYPATIA [Footnote: See Author's, The Martyrdom of Hypatia.] was dragged into a Christian church by monks in Alexandria, and before the altar she was stripped of her clothing and cut in pieces with oyster shells, and murdered.	false	1109.31	1119.73	25.198526
1289_288044_000060_000001	Her innocent blood stained the hands of the clergy, who also handle the Holy Sacraments.	Her innocent blood stained the hands of the clergy, who also handle the Holy Sacraments.	true	1120.04	1124.92	21.464188
1289_288044_000060_000002	She was murdered not by a crazed individual but by the orders of the bishop of Alexandria.	She was murdered not by a crazed individual but by the orders of the bishop of Alexandria.	true	1125.05	1130.65	25.303112
1289_288044_000060_000003	How does the true story of Hypatia compare with the fable of "a nude woman placed on a pedestal in the city of Paris?" The Reverend must answer, or never tell an untruth again.	How does the true story of Hypatia compare with the fable of "a nude woman placed on a pedestal in the city of Paris?" The Reverend must answer, or never tell an untruth again.	true	1131.02	1140.82	23
1289_288044_000061_000000	Hypatia was murdered in church, and by the clergy, because she was not orthodox.	Hypatia was murdered in church, and by the clergy, because she was not orthodox.	true	1141.52	1146.09	25.989656
1289_288044_000062_000000	II.	two.	false	1146.09	1146.63	24.42335
1289_288044_000062_000001	POLTROT, the Protestant, in the 16th century assassinated Francois, the Catholic duke of Guise, in France, and the leaders of the church, instead of disclaiming responsibility for the act, publicly praised the assassin, and Theodore Beza, the colleague of Calvin, promised him a crown in heaven. (_De l'etat etc, P. 82._ Quoted by Jules Simon.)	p o l t r o t, the Protestant, in the sixteenth century assassinated Francois, the Catholic duke of Guise, in France, and the leaders of the church, instead of disclaiming responsibility for the act, publicly praised the assassin, and Theodore Beza, the colleague of Calvin, promised him a crown in heaven. (underscore De l'etat etc, p eighty two.underscore Quoted by Jules Simon.)	false	1146.63	1174.78	23.486254
1289_288044_000063_000000	III. JAMES CLEMENT, a Catholic, assassinated Henry III.	three. james CLEMENT, a Catholic, assassinated Henry the third.	true	1175.39	1180.2	24.087027
1289_288044_000063_000001	For this act the clergy placed his portrait on the altar in the churches between two great lighted candle-sticks.	For this act the clergy placed his portrait on the altar in the churches between two great lighted candle sticks.	true	1180.2	1186.51	25
1289_288044_000063_000002	Because he had killed a heretic prince, the Catholics presented the assassin's mother with a purse. (_Esprit de la Ligue I. III.	Because he had killed a heretic prince, the Catholics presented the assassin's mother with a purse. (underscore Esprit de la Ligue i three.	false	1186.52	1193.07	25.665976
1289_288044_000063_000003	P. 14._)	P. fourteen.underscore)	false	1193.07	1193.49	-20
1289_288044_000064_000000	If it was unbelief that inspired the murder of McKinley, what inspired the assassins of Hypatia and Henry III?	If it was unbelief that inspired the murder of McKinley, what inspired the assassins of Hypatia and Henry the third?	false	1193.49	1200.76	21
1289_288044_000065_000000	We read in the Bible that Gen.	We read in the Bible that Gen.	false	1201.58	1203.51	18.203718
1289_288044_000065_000001	Sisera, a heathen, having lost a battle, begged for shelter at the tent of Jael, a friendly woman, but of the Bible faith.	Sisera, a heathen, having lost a battle, begged for shelter at the tent of Jael, a friendly woman, but of the Bible faith.	true	1203.51	1211.53	24.153952
1289_288044_000065_000002	Jael assured the unfortunate stranger that he was safe in her tent.	Jael assured the unfortunate stranger that he was safe in her tent.	true	1211.6	1215.49	19.127745
1289_288044_000065_000003	The tired warrior fell asleep from great weariness. Then Jael picked a tent-peg and with a hammer in her hand "walked softly unto him, and smote the nail into his temples, and fastened it into the ground...So he died."	The tired warrior fell asleep from great weariness. Then Jael picked a tent peg and with a hammer in her hand "walked softly unto him, and smote the nail into his temples, and fastened it into the ground...So he died."	true	1215.92	1229.2	22.72269
1289_288044_000066_000000	The BIBLE calls this assassin "blessed above women." (_Judge IV. 18, etc._) She had killed a heretic.	The BIBLE calls this assassin "blessed above women." (underscore Judge i v. eighteen, etc underscore) She had killed a heretic.	false	1230.08	1238.47	23.785498
1289_288044_000067_000000	In each of the instances given above, the assassin is honored because he committed murder in the interest of the faith.	In each of the instances given above, the assassin is honored because he committed murder in the interest of the faith.	true	1239.11	1245.25	18
1289_288044_000067_000001	We ask this clergyman and his colleagues who are only too anxious to charge every act of violence to unbelief in their creeds--What about the crimes of _believers_?	We ask this clergyman and his colleagues who are only too anxious to charge every act of violence to unbelief in their creeds-What about the crimes of underscore believers underscore?	false	1245.29	1256.25	22.742851
1289_288044_000068_000000	*** END OF THE PROJECT GUTENBERG EBOOK, THE TRUTH ABOUT JESUS IS HE A MYTH?	asterisk asterisk asterisk END OF THE PROJECT GUTENBERG EBOOK, THE TRUTH ABOUT JESUS IS HE A MYTH?	false	1256.25	1277.88	25.659292
1289_288044_000068_000001	***	asterisk asterisk asterisk	false	1277.88	1283.67	23.689848
