258_121528_000000_000000	Thus did Ulysses sleep, and the young men slept beside him.	Thus did Ulysses sleep, and the young men slept beside him.	false	0	0.24	-20
258_121528_000030_000006	Listen and believe when I tell you that by the blessing of Mercury who gives grace and good name to the works of all men, there is no one living who would make a more handy servant than I should--to put fresh wood on the fire, chop fuel, carve, cook, pour out wine, and do all those services that poor men have to do for their betters."	Listen and believe when I tell you that by the blessing of Mercury who gives grace and good name to the works of all men, there is no one living who would make a more handy servant than I should-to put fresh wood on the fire, chop fuel, carve, cook, pour out wine, and do all those services that poor men have to do for their betters."	false	1025.54	1045.84	19.730242
258_121528_000031_000000	The swineherd was very much disturbed when he heard this.	The swineherd was very much disturbed when he heard this.	true	1047.14	1050.13	19
258_121528_000031_000001	"Heaven help me," he exclaimed, "what ever can have put such a notion as that into your head?	"Heaven help me," he exclaimed, "what ever can have put such a notion as that into your head?	true	1050.53	1056.01	20.451128
258_121528_000031_000002	If you go near the suitors you will be undone to a certainty, for their pride and insolence reach the very heavens.	If you go near the suitors you will be undone to a certainty, for their pride and insolence reach the very heavens.	true	1056.29	1063.24	20.146736
258_121528_000031_000003	They would never think of taking a man like you for a servant.	They would never think of taking a man like you for a servant.	true	1063.7	1066.75	20.3532
258_121528_000031_000004	Their servants are all young men, well dressed, wearing good cloaks and shirts, with well looking faces and their hair always tidy, the tables are kept quite clean and are loaded with bread, meat, and wine.	Their servants are all young men, well dressed, wearing good cloaks and shirts, with well looking faces and their hair always tidy, the tables are kept quite clean and are loaded with bread, meat, and wine.	true	1066.97	1078.69	19.426226
258_121528_000031_000005	Stay where you are, then; you are not in anybody's way; I do not mind your being here, no more do any of the others, and when Telemachus comes home he will give you a shirt and cloak and will send you wherever you want to go."	Stay where you are, then; you are not in anybody's way; I do not mind your being here, no more do any of the others, and when Telemachus comes home he will give you a shirt and cloak and will send you wherever you want to go."	true	1079.15	1093.15	19.400644
258_121528_000032_000000	Ulysses answered, "I hope you may be as dear to the gods as you are to me, for having saved me from going about and getting into trouble; there is nothing worse than being always on the tramp; still, when men have once got low down in the world they will go through a great deal on behalf of their miserable bellies.	Ulysses answered, "I hope you may be as dear to the gods as you are to me, for having saved me from going about and getting into trouble; there is nothing worse than being always on the tramp; still, when men have once got low down in the world they will go through a great deal on behalf of their miserable bellies.	true	1094.36	1113.04	20.88009
258_121528_000032_000001	Since, however, you press me to stay here and await the return of Telemachus, tell me about Ulysses' mother, and his father whom he left on the threshold of old age when he set out for Troy.	Since, however, you press me to stay here and await the return of Telemachus, tell me about Ulysses' mother, and his father whom he left on the threshold of old age when he set out for Troy.	false	1113.83	1125.1	20.032995
258_121528_000032_000002	Are they still living or are they already dead and in the house of Hades?"	Are they still living or are they already dead and in the house of Hades?"	true	1125.5	1129.72	19.522999
258_121528_000033_000000	"I will tell you all about them," replied Eumaeus, "Laertes is still living and prays heaven to let him depart peacefully in his own house, for he is terribly distressed about the absence of his son, and also about the death of his wife, which grieved him greatly and aged him more than anything else did.	"I will tell you all about them," replied Eumaeus, "Laertes is still living and prays heaven to let him depart peacefully in his own house, for he is terribly distressed about the absence of his son, and also about the death of his wife, which grieved him greatly and aged him more than anything else did.	false	1131.47	1148.29	20.284697
258_121528_000033_000001	She came to an unhappy end {133} through sorrow for her son: may no friend or neighbour who has dealt kindly by me come to such an end as she did.	She came to an unhappy end {one hundred thirty three} through sorrow for her son: may no friend or neighbour who has dealt kindly by me come to such an end as she did.	false	1149.05	1157.44	19
258_121528_000033_000002	As long as she was still living, though she was always grieving, I used to like seeing her and asking her how she did, for she brought me up along with her daughter Ctimene, the youngest of her children; we were boy and girl together, and she made little difference between us.	As long as she was still living, though she was always grieving, I used to like seeing her and asking her how she did, for she brought me up along with her daughter Ctimene, the youngest of her children; we were boy and girl together, and she made little difference between us.	false	1158.11	1173.94	20.09879
258_121528_000033_000003	When, however, we both grew up, they sent Ctimene to Same and received a splendid dowry for her.	When, however, we both grew up, they sent Ctimene to Same and received a splendid dowry for her.	false	1174.58	1180.78	20.356516
258_121528_000033_000004	As for me, my mistress gave me a good shirt and cloak with a pair of sandals for my feet, and sent me off into the country, but she was just as fond of me as ever. This is all over now.	As for me, my mistress gave me a good shirt and cloak with a pair of sandals for my feet, and sent me off into the country, but she was just as fond of me as ever. This is all over now.	false	1181.24	1192.96	19.812065
258_121528_000033_000005	Still it has pleased heaven to prosper my work in the situation which I now hold.	Still it has pleased heaven to prosper my work in the situation which I now hold.	true	1193.42	1198.12	19.215532
258_121528_000033_000006	I have enough to eat and drink, and can find something for any respectable stranger who comes here; but there is no getting a kind word or deed out of my mistress, for the house has fallen into the hands of wicked people.	I have enough to eat and drink, and can find something for any respectable stranger who comes here; but there is no getting a kind word or deed out of my mistress, for the house has fallen into the hands of wicked people.	false	1198.37	1211.23	20.818108
258_121528_000033_000007	Servants want sometimes to see their mistress and have a talk with her; they like to have something to eat and drink at the house, and something too to take back with them into the country.	Servants want sometimes to see their mistress and have a talk with her; they like to have something to eat and drink at the house, and something too to take back with them into the country.	true	1211.6	1220.95	20.756933
258_121528_000033_000008	This is what will keep servants in a good humour."	This is what will keep servants in a good humour."	true	1221.5	1224.31	19.586485
258_121528_000034_000000	Ulysses answered, "Then you must have been a very little fellow, Eumaeus, when you were taken so far away from your home and parents. Tell me, and tell me true, was the city in which your father and mother lived sacked and pillaged, or did some enemies carry you off when you were alone tending sheep or cattle, ship you off here, and sell you for whatever your master gave them?"	Ulysses answered, "Then you must have been a very little fellow, Eumaeus, when you were taken so far away from your home and parents. Tell me, and tell me true, was the city in which your father and mother lived sacked and pillaged, or did some enemies carry you off when you were alone tending sheep or cattle, ship you off here, and sell you for whatever your master gave them?"	true	1225.7	1247.44	20.910599
258_121528_000035_000000	"Stranger," replied Eumaeus, "as regards your question: sit still, make yourself comfortable, drink your wine, and listen to me.	"Stranger," replied Eumaeus, "as regards your question: sit still, make yourself comfortable, drink your wine, and listen to me.	true	1248.62	1256.68	20.285995
258_121528_000035_000001	The nights are now at their longest; there is plenty of time both for sleeping and sitting up talking together; you ought not to go to bed till bed time, too much sleep is as bad as too little; if any one of the others wishes to go to bed let him leave us and do so; he can then take my master's pigs out when he has done breakfast in the morning.	The nights are now at their longest; there is plenty of time both for sleeping and sitting up talking together; you ought not to go to bed till bed time, too much sleep is as bad as too little; if any one of the others wishes to go to bed let him leave us and do so; he can then take my master's pigs out when he has done breakfast in the morning.	false	1257.23	1276.45	21.080032
258_121528_000035_000002	We too will sit here eating and drinking in the hut, and telling one another stories about our misfortunes; for when a man has suffered much, and been buffeted about in the world, he takes pleasure in recalling the memory of sorrows that have long gone by.	We too will sit here eating and drinking in the hut, and telling one another stories about our misfortunes; for when a man has suffered much, and been buffeted about in the world, he takes pleasure in recalling the memory of sorrows that have long gone by.	true	1277.36	1291.39	21.29427
258_121528_000035_000003	As regards your question, then, my tale is as follows:	As regards your question, then, my tale is as follows:	true	1291.97	1295.92	21.609005
258_121528_000036_000000	"You may have heard of an island called Syra that lies over above Ortygia, {134} where the land begins to turn round and look in another direction.	"You may have heard of an island called Syra that lies over above Ortygia, {one hundred thirty four} where the land begins to turn round and look in another direction.	false	1296.86	1305.3	19.118793
258_121528_000036_000001	{135} It is not very thickly peopled, but the soil is good, with much pasture fit for cattle and sheep, and it abounds with wine and wheat.	{one hundred thirty five} It is not very thickly peopled, but the soil is good, with much pasture fit for cattle and sheep, and it abounds with wine and wheat.	false	1305.3	1315.33	19.343048
258_121528_000036_000002	Dearth never comes there, nor are the people plagued by any sickness, but when they grow old Apollo comes with Diana and kills them with his painless shafts.	Dearth never comes there, nor are the people plagued by any sickness, but when they grow old Apollo comes with Diana and kills them with his painless shafts.	false	1316	1325.41	21.742596
258_121528_000036_000003	It contains two communities, and the whole country is divided between these two.	It contains two communities, and the whole country is divided between these two.	true	1326.11	1331.26	21.239758
258_121528_000036_000004	My father Ctesius son of Ormenus, a man comparable to the gods, reigned over both.	My father Ctesius son of Ormenus, a man comparable to the gods, reigned over both.	false	1332.02	1338.31	19.28214
258_121528_000037_000000	"Now to this place there came some cunning traders from Phoenicia (for the Phoenicians are great mariners) in a ship which they had freighted with gewgaws of all kinds.	"Now to this place there came some cunning traders from Phoenicia (for the Phoenicians are great mariners) in a ship which they had freighted with gewgaws of all kinds.	true	1339.43	1349.14	19.765038
258_121528_000037_000001	There happened to be a Phoenician woman in my father's house, very tall and comely, and an excellent servant; these scoundrels got hold of her one day when she was washing near their ship, seduced her, and cajoled her in ways that no woman can resist, no matter how good she may be by nature.	There happened to be a Phoenician woman in my father's house, very tall and comely, and an excellent servant; these scoundrels got hold of her one day when she was washing near their ship, seduced her, and cajoled her in ways that no woman can resist, no matter how good she may be by nature.	false	1349.78	1366.78	20.022903
258_121528_000037_000002	The man who had seduced her asked her who she was and where she came from, and on this she told him her father's name.	The man who had seduced her asked her who she was and where she came from, and on this she told him her father's name.	false	1367.6	1374.43	20.013123
258_121528_000037_000003	'I come from Sidon,' said she, 'and am daughter to Arybas, a man rolling in wealth.	'I come from Sidon,' said she, 'and am daughter to Arybas, a man rolling in wealth.	false	1375.07	1380.1	20.933506
258_121528_000037_000004	One day as I was coming into the town from the country, some Taphian pirates seized me and took me here over the sea, where they sold me to the man who owns this house, and he gave them their price for me.'	One day as I was coming into the town from the country, some Taphian pirates seized me and took me here over the sea, where they sold me to the man who owns this house, and he gave them their price for me.'	false	1380.62	1391.65	18.270128
258_121528_000038_000000	"The man who had seduced her then said, 'Would you like to come along with us to see the house of your parents and your parents themselves? They are both alive and are said to be well off.'	"The man who had seduced her then said, 'Would you like to come along with us to see the house of your parents and your parents themselves? They are both alive and are said to be well off.'	true	1392.62	1402.27	21.193075
258_121528_000039_000000	"'I will do so gladly,' answered she, 'if you men will first swear me a solemn oath that you will do me no harm by the way.'	"'I will do so gladly,' answered she, 'if you men will first swear me a solemn oath that you will do me no harm by the way.'	true	1402.79	1409.83	19.242903
258_121528_000040_000000	"They all swore as she told them, and when they had completed their oath the woman said, 'Hush; and if any of your men meets me in the street or at the well, do not let him speak to me, for fear some one should go and tell my master, in which case he would suspect something.	"They all swore as she told them, and when they had completed their oath the woman said, 'Hush; and if any of your men meets me in the street or at the well, do not let him speak to me, for fear some one should go and tell my master, in which case he would suspect something.	false	1410.8	1426	19.75739
258_121528_000040_000001	He would put me in prison, and would have all of you murdered; keep your own counsel therefore; buy your merchandise as fast as you can, and send me word when you have done loading.	He would put me in prison, and would have all of you murdered; keep your own counsel therefore; buy your merchandise as fast as you can, and send me word when you have done loading.	false	1426.43	1436.56	19.791286
258_121528_000040_000002	I will bring as much gold as I can lay my hands on, and there is something else also that I can do towards paying my fare.	I will bring as much gold as I can lay my hands on, and there is something else also that I can do towards paying my fare.	true	1436.81	1443.07	20
258_121528_000040_000003	I am nurse to the son of the good man of the house, a funny little fellow just able to run about.	I am nurse to the son of the good man of the house, a funny little fellow just able to run about.	true	1443.59	1449.22	20.882774
258_121528_000040_000004	I will carry him off in your ship, and you will get a great deal of money for him if you take him and sell him in foreign parts.'	I will carry him off in your ship, and you will get a great deal of money for him if you take him and sell him in foreign parts.'	true	1449.53	1455.82	19
258_121528_000041_000000	"On this she went back to the house.	"On this she went back to the house.	true	1457.33	1459.24	20
258_121528_000041_000001	The Phoenicians stayed a whole year till they had loaded their ship with much precious merchandise, and then, when they had got freight enough, they sent to tell the woman.	The Phoenicians stayed a whole year till they had loaded their ship with much precious merchandise, and then, when they had got freight enough, they sent to tell the woman.	true	1459.37	1468.15	19.607353
258_121528_000041_000002	Their messenger, a very cunning fellow, came to my father's house bringing a necklace of gold with amber beads strung among it; and while my mother and the servants had it in their hands admiring it and bargaining about it, he made a sign quietly to the woman and then went back to the ship, whereon she took me by the hand and led me out of the house.	Their messenger, a very cunning fellow, came to my father's house bringing a necklace of gold with amber beads strung among it; and while my mother and the servants had it in their hands admiring it and bargaining about it, he made a sign quietly to the woman and then went back to the ship, whereon she took me by the hand and led me out of the house.	true	1468.7	1487.32	19.898499
258_121528_000041_000003	In the fore part of the house she saw the tables set with the cups of guests who had been feasting with my father, as being in attendance on him; these were now all gone to a meeting of the public assembly, so she snatched up three cups and carried them off in the bosom of her dress, while I followed her, for I knew no better.	In the fore part of the house she saw the tables set with the cups of guests who had been feasting with my father, as being in attendance on him; these were now all gone to a meeting of the public assembly, so she snatched up three cups and carried them off in the bosom of her dress, while I followed her, for I knew no better.	true	1487.9	1506.46	20.10057
258_121528_000041_000004	The sun was now set, and darkness was over all the land, so we hurried on as fast as we could till we reached the harbour, where the Phoenician ship was lying.	The sun was now set, and darkness was over all the land, so we hurried on as fast as we could till we reached the harbour, where the Phoenician ship was lying.	true	1507.16	1516	18.283714
258_121528_000041_000005	When they had got on board they sailed their ways over the sea, taking us with them, and Jove sent then a fair wind; six days did we sail both night and day, but on the seventh day Diana struck the woman and she fell heavily down into the ship's hold as though she were a sea gull alighting on the water; so they threw her overboard to the seals and fishes, and I was left all sorrowful and alone.	When they had got on board they sailed their ways over the sea, taking us with them, and Jove sent then a fair wind; six days did we sail both night and day, but on the seventh day Diana struck the woman and she fell heavily down into the ship's hold as though she were a sea gull alighting on the water; so they threw her overboard to the seals and fishes, and I was left all sorrowful and alone.	false	1516.37	1540.69	20.193262
258_121528_000041_000006	Presently the winds and waves took the ship to Ithaca, where Laertes gave sundry of his chattels for me, and thus it was that ever I came to set eyes upon this country."	Presently the winds and waves took the ship to Ithaca, where Laertes gave sundry of his chattels for me, and thus it was that ever I came to set eyes upon this country."	false	1541.21	1551.25	18.775906
258_121528_000042_000000	Ulysses answered, "Eumaeus, I have heard the story of your misfortunes with the most lively interest and pity, but Jove has given you good as well as evil, for in spite of everything you have a good master, who sees that you always have enough to eat and drink; and you lead a good life, whereas I am still going about begging my way from city to city."	Ulysses answered, "Eumaeus, I have heard the story of your misfortunes with the most lively interest and pity, but Jove has given you good as well as evil, for in spite of everything you have a good master, who sees that you always have enough to eat and drink; and you lead a good life, whereas I am still going about begging my way from city to city."	false	1553.09	1574.29	20.420773
258_121528_000043_000000	Thus did they converse, and they had only a very little time left for sleep, for it was soon daybreak.	Thus did they converse, and they had only a very little time left for sleep, for it was soon daybreak.	false	1575.23	1583.23	19.848543
258_121528_000043_000001	In the mean time Telemachus and his crew were nearing land, so they loosed the sails, took down the mast, and rowed the ship into the harbour.	In the mean time Telemachus and his crew were nearing land, so they loosed the sails, took down the mast, and rowed the ship into the harbour.	true	1583.51	1591.2	20
258_121528_000043_000002	{136} They cast out their mooring stones and made fast the hawsers; they then got out upon the sea shore, mixed their wine, and got dinner ready.	{one hundred thirty six} They cast out their mooring stones and made fast the hawsers; they then got out upon the sea shore, mixed their wine, and got dinner ready.	false	1591.2	1599.88	21.023033
258_121528_000043_000003	As soon as they had had enough to eat and drink Telemachus said, "Take the ship on to the town, but leave me here, for I want to look after the herdsmen on one of my farms. In the evening, when I have seen all I want, I will come down to the city, and to-morrow morning in return for your trouble I will give you all a good dinner with meat and wine." {137}	As soon as they had had enough to eat and drink Telemachus said, "Take the ship on to the town, but leave me here, for I want to look after the herdsmen on one of my farms. In the evening, when I have seen all I want, I will come down to the city, and to morrow morning in return for your trouble I will give you all a good dinner with meat and wine." {one hundred thirty seven}	false	1600.7	1622.25	20.882944
258_121528_000044_000000	Then Theoclymenus said, "And what, my dear young friend, is to become of me?	Then Theoclymenus said, "And what, my dear young friend, is to become of me?	true	1622.25	1627.06	21.043121
258_121528_000044_000001	To whose house, among all your chief men, am I to repair? or shall I go straight to your own house and to your mother?"	To whose house, among all your chief men, am I to repair? or shall I go straight to your own house and to your mother?"	false	1627.43	1633.66	21.438122
258_121528_000045_000000	"At any other time," replied Telemachus, "I should have bidden you go to my own house, for you would find no want of hospitality; at the present moment, however, you would not be comfortable there, for I shall be away, and my mother will not see you; she does not often show herself even to the suitors, but sits at her loom weaving in an upper chamber, out of their way; but I can tell you a man whose house you can go to--I mean Eurymachus the son of Polybus, who is held in the highest estimation by every one in Ithaca.	"At any other time," replied Telemachus, "I should have bidden you go to my own house, for you would find no want of hospitality; at the present moment, however, you would not be comfortable there, for I shall be away, and my mother will not see you; she does not often show herself even to the suitors, but sits at her loom weaving in an upper chamber, out of their way; but I can tell you a man whose house you can go to-I mean Eurymachus the son of Polybus, who is held in the highest estimation by every one in Ithaca.	false	1634.81	1665.76	19.980703
258_121528_000045_000001	He is much the best man and the most persistent wooer, of all those who are paying court to my mother and trying to take Ulysses' place.	He is much the best man and the most persistent wooer, of all those who are paying court to my mother and trying to take Ulysses' place.	true	1666.16	1673.65	19
258_121528_000045_000002	Jove, however, in heaven alone knows whether or no they will come to a bad end before the marriage takes place."	Jove, however, in heaven alone knows whether or no they will come to a bad end before the marriage takes place."	true	1674.41	1680.55	17
258_121528_000046_000000	As he was speaking a bird flew by upon his right hand--a hawk, Apollo's messenger.	As he was speaking a bird flew by upon his right hand-a hawk, Apollo's messenger.	true	1681.85	1687.57	20.972935
258_121528_000046_000001	It held a dove in its talons, and the feathers, as it tore them off, {138} fell to the ground midway between Telemachus and the ship.	It held a dove in its talons, and the feathers, as it tore them off, {one hundred thirty eight} fell to the ground midway between Telemachus and the ship.	false	1687.88	1695.1	19.309887
258_121528_000046_000002	On this Theoclymenus called him apart and caught him by the hand. "Telemachus," said he, "that bird did not fly on your right hand without having been sent there by some god.	On this Theoclymenus called him apart and caught him by the hand. "Telemachus," said he, "that bird did not fly on your right hand without having been sent there by some god.	false	1695.92	1706.35	19.578848
258_121528_000046_000003	As soon as I saw it I knew it was an omen; it means that you will remain powerful and that there will be no house in Ithaca more royal than your own."	As soon as I saw it I knew it was an omen; it means that you will remain powerful and that there will be no house in Ithaca more royal than your own."	false	1706.63	1714.87	19
258_121528_000047_000000	"I wish it may prove so," answered Telemachus.	"I wish it may prove so," answered Telemachus.	true	1716.17	1718.74	16
258_121528_000047_000001	"If it does, I will show you so much good will and give you so many presents that all who meet you will congratulate you."	"If it does, I will show you so much good will and give you so many presents that all who meet you will congratulate you."	true	1719.05	1726.06	19.599638
258_121528_000048_000000	Then he said to his friend Piraeus, "Piraeus, son of Clytius, you have throughout shown yourself the most willing to serve me of all those who have accompanied me to Pylos; I wish you would take this stranger to your own house and entertain him hospitably till I can come for him."	Then he said to his friend Piraeus, "Piraeus, son of Clytius, you have throughout shown yourself the most willing to serve me of all those who have accompanied me to Pylos; I wish you would take this stranger to your own house and entertain him hospitably till I can come for him."	false	1727.54	1744.48	20.194527
258_121528_000049_000000	And Piraeus answered, "Telemachus, you may stay away as long as you please, but I will look after him for you, and he shall find no lack of hospitality."	And Piraeus answered, "Telemachus, you may stay away as long as you please, but I will look after him for you, and he shall find no lack of hospitality."	true	1745.33	1754.05	21.314152
258_121528_000050_000000	As he spoke he went on board, and bade the others do so also and loose the hawsers, so they took their places in the ship.	As he spoke he went on board, and bade the others do so also and loose the hawsers, so they took their places in the ship.	false	1755.44	1763.26	20.612097
258_121528_000050_000001	But Telemachus bound on his sandals, and took a long and doughty spear with a head of sharpened bronze from the deck of the ship.	But Telemachus bound on his sandals, and took a long and doughty spear with a head of sharpened bronze from the deck of the ship.	true	1764.08	1771.12	22
258_121528_000050_000002	Then they loosed the hawsers, thrust the ship off from land, and made on towards the city as they had been told to do, while Telemachus strode on as fast as he could, till he reached the homestead where his countless herds of swine were feeding, and where dwelt the excellent swineherd, who was so devoted a servant to his master.	Then they loosed the hawsers, thrust the ship off from land, and made on towards the city as they had been told to do, while Telemachus strode on as fast as he could, till he reached the homestead where his countless herds of swine were feeding, and where dwelt the excellent swineherd, who was so devoted a servant to his master.	false	1771.73	1802.52	20.406828
