8028_233382_000000_000000	[274] Blackmailing appears to be the most serious risk which the invert runs.	[two hundred seventy four] Blackmailing appears to be the most serious risk which the invert runs.	false	0	2.28	22.25255
8028_233382_000026_000001	The incident took place in a small seafaring town in Scotland one evening before a Fair was to be held.	The incident took place in a small seafaring town in Scotland one evening before a Fair was to be held.	true	1084.61	1091.68	20
8028_233382_000026_000002	It occurred in a low public house where a number of very rough and mostly drunken men were assembled.	It occurred in a low public house where a number of very rough and mostly drunken men were assembled.	true	1092.29	1098.73	19
8028_233382_000026_000003	A blind man came in led by an extremely pretty but effeminate-looking youth of about 17, wearing a ragged kilt and with bare legs and feet.	A blind man came in led by an extremely pretty but effeminate looking youth of about seventeen, wearing a ragged kilt and with bare legs and feet.	true	1099.22	1109.35	22.133812
8028_233382_000026_000004	He had long, curling, fair hair which reached to his shoulders and on it an old bonnet was perched.	He had long, curling, fair hair which reached to his shoulders and on it an old bonnet was perched.	true	1109.66	1116.73	21.433905
8028_233382_000026_000005	He also wore an old velveteen shooting jacket.	He also wore an old velveteen shooting jacket.	true	1117.07	1120.45	20.121508
8028_233382_000026_000006	All eyes were turned on the pair and they were quickly offered drinks.	All eyes were turned on the pair and they were quickly offered drinks.	true	1120.94	1125.67	24
8028_233382_000026_000007	A remark was made by one man that he believed the youth was a lassie.	A remark was made by one man that he believed the youth was a lassie.	true	1125.98	1129.9	15
8028_233382_000026_000008	The boy said, 'I will show you I am a laddie,' and pulled up his kilt, exposing his genitals and then his posterior. Boisterous laughter greeted this indecent exposure and suggestion, and more drinks were provided.	The boy said, 'I will show you I am a laddie,' and pulled up his kilt, exposing his genitals and then his posterior. Boisterous laughter greeted this indecent exposure and suggestion, and more drinks were provided.	true	1130.36	1144.66	21.272003
8028_233382_000026_000009	The blind man then played his fiddle and the boy danced with frequent recurrences of the same indecencies.	The blind man then played his fiddle and the boy danced with frequent recurrences of the same indecencies.	false	1145.03	1151.35	18
8028_233382_000026_000010	He was seized, kissed, and caressed by quite a number of men, some of whom endeavored to masturbate him, which he resisted, but performed it for them.	He was seized, kissed, and caressed by quite a number of men, some of whom endeavored to masturbate him, which he resisted, but performed it for them.	true	1151.54	1160.62	21
8028_233382_000026_000011	After the closing time came, I and about ten or twelve men all occupied the same room; the old man continued to play, and the youth, stark naked, continued to dance and suggested we others should do so, and an erotic scene took place which was only closed to view by the 'boss' who was present putting out the lamp.	After the closing time came, I and about ten or twelve men all occupied the same room; the old man continued to play, and the youth, stark naked, continued to dance and suggested we others should do so, and an erotic scene took place which was only closed to view by the 'boss' who was present putting out the lamp.	false	1161.08	1182.1	22
8028_233382_000027_000000	"Two classes of tramps I have met openly declare their preference for homosexuality.	"Two classes of tramps I have met openly declare their preference for homosexuality.	true	1182.5	1187.83	18
8028_233382_000027_000001	They are men who have been in the army and sailors and seafaring men in general.	They are men who have been in the army and sailors and seafaring men in general.	true	1188.23	1193.11	18
8028_233382_000027_000002	It is said that 'Jack has a wife in every port,' but I believe from my experience that the wife in many cases is of the male sex, and this among those of all nationalities, as is the case with soldiers.	It is said that 'Jack has a wife in every port,' but I believe from my experience that the wife in many cases is of the male sex, and this among those of all nationalities, as is the case with soldiers.	false	1193.51	1208.74	23.021687
8028_233382_000027_000003	Among these also jealousy is more common than amongst ordinary tramps, and if you are 'dandy' to a soldier, if you make advances or receive them from a senior, trouble is likely to occur between them.	Among these also jealousy is more common than amongst ordinary tramps, and if you are 'dandy' to a soldier, if you make advances or receive them from a senior, trouble is likely to occur between them.	false	1209.17	1222.18	21
8028_233382_000028_000000	"I could give many instances of my own personal experiences to show that 'tramps' are looked upon by men in the country districts as legitimate, complacent, and purchaseable objects for homosexual lust."	"I could give many instances of my own personal experiences to show that 'tramps' are looked upon by men in the country districts as legitimate, complacent, and purchaseable objects for homosexual lust."	false	1222.67	1252.35	22.06101
