14_212_000000_000000	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	false	0	2.52	13.923377
14_212_000045_000000	"But I say, Miss Morland, I shall come and pay my respects at Fullerton before it is long, if not disagreeable."	"But I say, Miss Morland, I shall come and pay my respects at Fullerton before it is long, if not disagreeable."	true	976.67	983.5	20.669048
14_212_000046_000000	"Pray do.	"Pray do.	true	984.2	985.3	19.47997
14_212_000046_000001	My father and mother will be very glad to see you."	My father and mother will be very glad to see you."	true	985.52	988.06	18
14_212_000047_000000	"And I hope--I hope, Miss Morland, you will not be sorry to see me."	"And I hope-I hope, Miss Morland, you will not be sorry to see me."	true	988.85	993.79	20.111362
14_212_000048_000000	"Oh! dear, not at all.	"Oh! dear, not at all.	true	995.36	997.15	23.489225
14_212_000048_000001	There are very few people I am sorry to see. Company is always cheerful."	There are very few people I am sorry to see. Company is always cheerful."	true	997.4	1001.08	19
14_212_000049_000000	"That is just my way of thinking.	"That is just my way of thinking.	true	1003.46	1005.37	22.21671
14_212_000049_000001	Give me but a little cheerful company, let me only have the company of the people I love, let me only be where I like and with whom I like, and the devil take the rest, say I. And I am heartily glad to hear you say the same.	Give me but a little cheerful company, let me only have the company of the people I love, let me only be where I like and with whom I like, and the devil take the rest, say i And I am heartily glad to hear you say the same.	false	1005.68	1018.84	19.02436
14_212_000049_000002	But I have a notion, Miss Morland, you and I think pretty much alike upon most matters."	But I have a notion, Miss Morland, you and I think pretty much alike upon most matters."	false	1019.6	1024.87	22.312666
14_212_000050_000000	"Perhaps we may; but it is more than I ever thought of.	"Perhaps we may; but it is more than I ever thought of.	true	1026.53	1030.57	19.641617
14_212_000050_000001	And as to most matters, to say the truth, there are not many that I know my own mind about."	And as to most matters, to say the truth, there are not many that I know my own mind about."	true	1030.73	1035.82	20.662224
14_212_000051_000000	"By Jove, no more do I. It is not my way to bother my brains with what does not concern me.	"By Jove, no more do i It is not my way to bother my brains with what does not concern me.	true	1037.57	1042.57	19.527525
14_212_000051_000001	My notion of things is simple enough.	My notion of things is simple enough.	true	1043.06	1045.21	21.85083
14_212_000051_000002	Let me only have the girl I like, say I, with a comfortable house over my head, and what care I for all the rest?	Let me only have the girl I like, say I, with a comfortable house over my head, and what care I for all the rest?	true	1045.4	1051.72	19.990547
14_212_000051_000003	Fortune is nothing.	Fortune is nothing.	true	1051.94	1053.28	21.419788
14_212_000051_000004	I am sure of a good income of my own; and if she had not a penny, why, so much the better."	I am sure of a good income of my own; and if she had not a penny, why, so much the better."	false	1053.56	1059.19	20.516943
14_212_000052_000000	"Very true.	"Very true.	true	1060.49	1061.55	28.689137
14_212_000052_000001	I think like you there.	I think like you there.	true	1061.55	1062.94	23.816866
14_212_000052_000002	If there is a good fortune on one side, there can be no occasion for any on the other.	If there is a good fortune on one side, there can be no occasion for any on the other.	true	1063.28	1067.83	22
14_212_000052_000003	No matter which has it, so that there is enough.	No matter which has it, so that there is enough.	true	1068.41	1071.28	19.726444
14_212_000052_000004	I hate the idea of one great fortune looking out for another.	I hate the idea of one great fortune looking out for another.	true	1071.77	1075.15	18
14_212_000052_000005	And to marry for money I think the wickedest thing in existence.	And to marry for money I think the wickedest thing in existence.	true	1075.58	1079.02	22
14_212_000052_000006	Good day.	Good day.	true	1079.51	1080.37	19.775173
14_212_000052_000007	We shall be very glad to see you at Fullerton, whenever it is convenient." And away she went.	We shall be very glad to see you at Fullerton, whenever it is convenient." And away she went.	true	1080.89	1086.91	20.18059
14_212_000052_000008	It was not in the power of all his gallantry to detain her longer.	It was not in the power of all his gallantry to detain her longer.	true	1087.43	1091.11	21
14_212_000052_000009	With such news to communicate, and such a visit to prepare for, her departure was not to be delayed by anything in his nature to urge; and she hurried away, leaving him to the undivided consciousness of his own happy address, and her explicit encouragement.	With such news to communicate, and such a visit to prepare for, her departure was not to be delayed by anything in his nature to urge; and she hurried away, leaving him to the undivided consciousness of his own happy address, and her explicit encouragement.	true	1091.51	1106.68	21.54364
14_212_000053_000000	The agitation which she had herself experienced on first learning her brother's engagement made her expect to raise no inconsiderable emotion in Mr. and Mrs. Allen, by the communication of the wonderful event.	The agitation which she had herself experienced on first learning her brother's engagement made her expect to raise no inconsiderable emotion in mr and mrs Allen, by the communication of the wonderful event.	true	1108.73	1120.72	21
14_212_000053_000001	How great was her disappointment!	How great was her disappointment!	true	1121.42	1123.33	19.952385
14_212_000053_000002	The important affair, which many words of preparation ushered in, had been foreseen by them both ever since her brother's arrival; and all that they felt on the occasion was comprehended in a wish for the young people's happiness, with a remark, on the gentleman's side, in favour of Isabella's beauty, and on the lady's, of her great good luck.	The important affair, which many words of preparation ushered in, had been foreseen by them both ever since her brother's arrival; and all that they felt on the occasion was comprehended in a wish for the young people's happiness, with a remark, on the gentleman's side, in favour of Isabella's beauty, and on the lady's, of her great good luck.	false	1123.49	1143.55	20.088682
14_212_000053_000003	It was to Catherine the most surprising insensibility.	It was to Catherine the most surprising insensibility.	true	1145	1148.05	19.750437
14_212_000053_000004	The disclosure, however, of the great secret of James's going to Fullerton the day before, did raise some emotion in Mrs. Allen. She could not listen to that with perfect calmness, but repeatedly regretted the necessity of its concealment, wished she could have known his intention, wished she could have seen him before he went, as she should certainly have troubled him with her best regards to his father and mother, and her kind compliments to all the Skinners.	The disclosure, however, of the great secret of James's going to Fullerton the day before, did raise some emotion in mrs Allen. She could not listen to that with perfect calmness, but repeatedly regretted the necessity of its concealment, wished she could have known his intention, wished she could have seen him before he went, as she should certainly have troubled him with her best regards to his father and mother, and her kind compliments to all the Skinners.	false	1148.3	1178.7	19.589329
