868_131295_000000_000000	The claims of contemporary art cannot be ignored in any vital scheme of life.	The claims of contemporary art cannot be ignored in any vital scheme of life.	false	0	0.36	20.075512
868_131295_000019_000000	It would be interesting, had we time, to enter more fully than it is now possible into the laws of composition and detail formulated by the various flower-masters of this period, showing, as they would, the fundamental theories which governed Tokugawa decoration.	It would be interesting, had we time, to enter more fully than it is now possible into the laws of composition and detail formulated by the various flower masters of this period, showing, as they would, the fundamental theories which governed Tokugawa decoration.	false	985.82	1000.12	19
868_131295_000019_000001	We find them referring to the Leading Principle (Heaven), the Subordinate Principle (Earth), the Reconciling Principle (Man), and any flower arrangement which did not embody these principles was considered barren and dead. They also dwelt much on the importance of treating a flower in its three different aspects, the Formal, the Semi-Formal, and the Informal.	We find them referring to the Leading Principle (Heaven), the Subordinate Principle (Earth), the Reconciling Principle (Man), and any flower arrangement which did not embody these principles was considered barren and dead. They also dwelt much on the importance of treating a flower in its three different aspects, the Formal, the Semi Formal, and the Informal.	false	1000.85	1022.68	20.02963
868_131295_000019_000002	The first might be said to represent flowers in the stately costume of the ballroom, the second in the easy elegance of afternoon dress, the third in the charming deshabille of the boudoir.	The first might be said to represent flowers in the stately costume of the ballroom, the second in the easy elegance of afternoon dress, the third in the charming deshabille of the boudoir.	false	1023.59	1035.34	19.4602
868_131295_000020_000000	Our personal sympathies are with the flower-arrangements of the tea-master rather than with those of the flower-master.	Our personal sympathies are with the flower arrangements of the tea master rather than with those of the flower master.	false	1037.39	1043.08	16
868_131295_000020_000001	The former is art in its proper setting and appeals to us on account of its true intimacy with life.	The former is art in its proper setting and appeals to us on account of its true intimacy with life.	true	1043.72	1049.14	18
868_131295_000020_000002	We should like to call this school the Natural in contradistinction to the Naturalesque and Formalistic schools.	We should like to call this school the Natural in contradistinction to the Naturalesque and Formalistic schools.	false	1049.75	1055.62	17
868_131295_000020_000003	The tea-master deems his duty ended with the selection of the flowers, and leaves them to tell their own story.	The tea master deems his duty ended with the selection of the flowers, and leaves them to tell their own story.	true	1056.08	1062.82	21.142712
868_131295_000020_000004	Entering a tea-room in late winter, you may see a slender spray of wild cherries in combination with a budding camellia; it is an echo of departing winter coupled with the prophecy of spring.	Entering a tea room in late winter, you may see a slender spray of wild cherries in combination with a budding camellia; it is an echo of departing winter coupled with the prophecy of spring.	true	1063.34	1074.01	19.40589
868_131295_000020_000005	Again, if you go into a noon-tea on some irritatingly hot summer day, you may discover in the darkened coolness of the tokonoma a single lily in a hanging vase; dripping with dew, it seems to smile at the foolishness of life.	Again, if you go into a noon tea on some irritatingly hot summer day, you may discover in the darkened coolness of the tokonoma a single lily in a hanging vase; dripping with dew, it seems to smile at the foolishness of life.	true	1074.23	1088.23	20.124023
868_131295_000021_000000	A solo of flowers is interesting, but in a concerto with painting and sculpture the combination becomes entrancing.	A solo of flowers is interesting, but in a concerto with painting and sculpture the combination becomes entrancing.	true	1088.99	1097.35	19.928564
868_131295_000021_000001	Sekishiu once placed some water-plants in a flat receptacle to suggest the vegetation of lakes and marshes, and on the wall above he hung a painting by Soami of wild ducks flying in the air.	Sekishiu once placed some water plants in a flat receptacle to suggest the vegetation of lakes and marshes, and on the wall above he hung a painting by Soami of wild ducks flying in the air.	false	1097.93	1110.15	18.063643
868_131295_000021_000002	Shoha, another tea-master, combined a poem on the Beauty of Solitude by the Sea with a bronze incense burner in the form of a fisherman's hut and some wild flowers of the beach.	Shoha, another tea master, combined a poem on the Beauty of Solitude by the Sea with a bronze incense burner in the form of a fisherman's hut and some wild flowers of the beach.	false	1110.15	1120.6	19.735075
868_131295_000021_000003	One of the guests has recorded that he felt in the whole composition the breath of waning autumn.	One of the guests has recorded that he felt in the whole composition the breath of waning autumn.	true	1121.06	1126.3	20.879969
868_131295_000022_000000	Flower stories are endless.	Flower stories are endless.	true	1128.08	1129.78	22.081116
868_131295_000022_000001	We shall recount but one more.	We shall recount but one more.	true	1129.82	1131.61	20.236889
868_131295_000022_000002	In the sixteenth century the morning-glory was as yet a rare plant with us. Rikiu had an entire garden planted with it, which he cultivated with assiduous care.	In the sixteenth century the morning glory was as yet a rare plant with us. Rikiu had an entire garden planted with it, which he cultivated with assiduous care.	false	1132.01	1141.9	19.479403
868_131295_000022_000003	The fame of his convulvuli reached the ear of the Taiko, and he expressed a desire to see them, in consequence of which Rikiu invited him to a morning tea at his house.	The fame of his convulvuli reached the ear of the Taiko, and he expressed a desire to see them, in consequence of which Rikiu invited him to a morning tea at his house.	true	1143.08	1153.21	20.24681
868_131295_000022_000004	On the appointed day Taiko walked through the garden, but nowhere could he see any vestige of the convulvus.	On the appointed day Taiko walked through the garden, but nowhere could he see any vestige of the convulvus.	false	1154.33	1159.78	17
868_131295_000022_000005	The ground had been leveled and strewn with fine pebbles and sand.	The ground had been leveled and strewn with fine pebbles and sand.	true	1160.27	1163.5	16.593403
868_131295_000022_000006	With sullen anger the despot entered the tea-room, but a sight waited him there which completely restored his humour.	With sullen anger the despot entered the tea room, but a sight waited him there which completely restored his humour.	true	1163.84	1170.12	19
868_131295_000022_000007	On the tokonoma, in a rare bronze of Sung workmanship, lay a single morning-glory--the queen of the whole garden!	On the tokonoma, in a rare bronze of Sung workmanship, lay a single morning glory-the queen of the whole garden!	false	1170.12	1177.87	20.145262
868_131295_000023_000000	In such instances we see the full significance of the Flower Sacrifice. Perhaps the flowers appreciate the full significance of it.	In such instances we see the full significance of the Flower Sacrifice. Perhaps the flowers appreciate the full significance of it.	true	1179.74	1187.29	19.209446
868_131295_000023_000001	They are not cowards, like men.	They are not cowards, like men.	true	1187.93	1189.58	20.041803
868_131295_000023_000002	Some flowers glory in death--certainly the Japanese cherry blossoms do, as they freely surrender themselves to the winds. Anyone who has stood before the fragrant avalanche at Yoshino or Arashiyama must have realized this.	Some flowers glory in death-certainly the Japanese cherry blossoms do, as they freely surrender themselves to the winds. Anyone who has stood before the fragrant avalanche at Yoshino or Arashiyama must have realized this.	true	1189.58	1201.66	19
868_131295_000023_000003	For a moment they hover like bejewelled clouds and dance above the crystal streams; then, as they sail away on the laughing waters, they seem to say: "Farewell, O Spring! We are on to eternity."	For a moment they hover like bejewelled clouds and dance above the crystal streams; then, as they sail away on the laughing waters, they seem to say: "Farewell, O Spring! We are on to eternity."	false	1202.03	1223.49	19.813456
