4856_20410_000000_000000	"No," I answered, "it certainly would not."	"No," I answered, "it certainly would not."	false	0	1.32	24.624199
4856_20410_000057_000001	I recalled the word that sounded like "Pol'n," which Mr. Graves had used in speaking to the housekeeper. Apparently it was a Christian name of some kind; but why did Mr. Graves call the woman by her Christian name when Mr. Weiss addressed her formally as Mrs. Schallibaum?	I recalled the word that sounded like "Pol'n," which mr Graves had used in speaking to the housekeeper. Apparently it was a Christian name of some kind; but why did mr Graves call the woman by her Christian name when mr Weiss addressed her formally as mrs Schallibaum?	true	966.44	985.15	20.050787
4856_20410_000057_000002	And, as to the woman herself: what was the meaning of that curious disappearing squint?	And, as to the woman herself: what was the meaning of that curious disappearing squint?	true	985.97	991.51	22.069084
4856_20410_000057_000003	Physically it presented no mystery.	Physically it presented no mystery.	true	992.27	994.87	22.03616
4856_20410_000057_000004	The woman had an ordinary divergent squint, and, like many people, who suffer from this displacement, could, by a strong muscular effort, bring the eyes temporarily into their normal parallel position. I had detected the displacement when she had tried to maintain the effort too long, and the muscular control had given way.	The woman had an ordinary divergent squint, and, like many people, who suffer from this displacement, could, by a strong muscular effort, bring the eyes temporarily into their normal parallel position. I had detected the displacement when she had tried to maintain the effort too long, and the muscular control had given way.	false	995.12	1016.25	21.27459
4856_20410_000057_000005	But why had she done it?	But why had she done it?	true	1016.25	1017.88	17.836494
4856_20410_000057_000006	Was it only feminine vanity--mere sensitiveness respecting a slight personal disfigurement?	Was it only feminine vanity-mere sensitiveness respecting a slight personal disfigurement?	true	1017.92	1024.38	20.768845
4856_20410_000057_000007	It might be so; or there might be some further motive.	It might be so; or there might be some further motive.	false	1024.38	1028.52	18.416725
4856_20410_000057_000008	It was impossible to say.	It was impossible to say.	true	1028.52	1031.74	22.673882
4856_20410_000058_000000	Turning this question over, I suddenly remembered the peculiarity of Mr. Weiss's spectacles.	Turning this question over, I suddenly remembered the peculiarity of mr Weiss's spectacles.	false	1032.29	1037.95	18.29475
4856_20410_000058_000001	And here I met with a real poser.	And here I met with a real poser.	true	1038.23	1040.83	25
4856_20410_000058_000002	I had certainly seen through those spectacles as clearly as if they had been plain window-glass; and they had certainly given an inverted reflection of the candle-flame like that thrown from the surface of a concave lens.	I had certainly seen through those spectacles as clearly as if they had been plain window glass; and they had certainly given an inverted reflection of the candle flame like that thrown from the surface of a concave lens.	true	1041.41	1055.29	19.975908
4856_20410_000058_000003	Now they obviously could not be both flat and concave; but yet they had the properties peculiar to both flatness and concavity.	Now they obviously could not be both flat and concave; but yet they had the properties peculiar to both flatness and concavity.	true	1056.14	1066.09	21.545378
4856_20410_000058_000004	And there was a further difficulty.	And there was a further difficulty.	true	1066.73	1068.53	20.58139
4856_20410_000058_000005	If I could see objects unaltered through them, so could Mr. Weiss.	If I could see objects unaltered through them, so could mr Weiss.	true	1068.53	1073.17	24.288574
4856_20410_000058_000006	But the function of spectacles is to alter the appearances of objects, by magnification, reduction or compensating distortion.	But the function of spectacles is to alter the appearances of objects, by magnification, reduction or compensating distortion.	true	1073.78	1082.08	16
4856_20410_000058_000007	If they leave the appearances unchanged they are useless.	If they leave the appearances unchanged they are useless.	true	1082.69	1086.7	24.560078
4856_20410_000058_000008	I could make nothing of it.	I could make nothing of it.	true	1086.77	1088.35	19.503157
4856_20410_000058_000009	After puzzling over it for quite a long time, I had to give it up; which I did the less unwillingly inasmuch as the construction of Mr. Weiss's spectacles had no apparent bearing on the case.	After puzzling over it for quite a long time, I had to give it up; which I did the less unwillingly inasmuch as the construction of mr Weiss's spectacles had no apparent bearing on the case.	true	1089.8	1102.09	22
4856_20410_000059_000000	On arriving home, I looked anxiously at the message-book, and was relieved to find that there were no further visits to be made.	On arriving home, I looked anxiously at the message book, and was relieved to find that there were no further visits to be made.	true	1103.27	1110.67	19.961985
4856_20410_000059_000001	Having made up a mixture for Mr. Graves and handed it to the coachman, I raked the ashes of the surgery fire together and sat down to smoke a final pipe while I reflected once more on the singular and suspicious case in which I had become involved.	Having made up a mixture for mr Graves and handed it to the coachman, I raked the ashes of the surgery fire together and sat down to smoke a final pipe while I reflected once more on the singular and suspicious case in which I had become involved.	true	1111.7	1127.11	22
4856_20410_000059_000002	But fatigue soon put an end to my meditations; and having come to the conclusion that the circumstances demanded a further consultation with Thorndyke, I turned down the gas to a microscopic blue spark and betook myself to bed.	But fatigue soon put an end to my meditations; and having come to the conclusion that the circumstances demanded a further consultation with Thorndyke, I turned down the gas to a microscopic blue spark and betook myself to bed.	false	1127.81	1151.88	21.6925
