3852_175448_000000_000000	APPENDIX A.	APPENDIX a	false	0.39	22.245	20.022053
3852_175448_000017_000005	But of his main theses he proves none, and what evidence we have tells against them. At the Museum of La Plata I found that the authorities were practically a unit in regarding his remains of tertiary men and proto- men as being either the remains of tertiary American monkeys or of American Indians from strata that were long post-tertiary.	But of his main theses he proves none, and what evidence we have tells against them. At the Museum of La Plata I found that the authorities were practically a unit in regarding his remains of tertiary men and proto men as being either the remains of tertiary American monkeys or of American Indians from strata that were long post tertiary.	true	1315.82	1340.95	20.704771
3852_175448_000017_000006	The extraordinary discovery, due to that eminent scientist and public servant Doctor Moreno, of the remains of man associated with the remains of the great extinct South American fauna, of the mylodon, of a giant ungulate, of a huge cat like the lion, and of an extraordinary aberrant horse (of a wholly different genus from the modern horse) conclusively shows that in its later stages the South American fauna consisted largely of types that elsewhere had already disappeared and that these types persisted into what was geologically a very recent period only some tens of thousands of years ago, when savage man of practically a modern type had already appeared in South America.	The extraordinary discovery, due to that eminent scientist and public servant Doctor Moreno, of the remains of man associated with the remains of the great extinct South American fauna, of the mylodon, of a giant ungulate, of a huge cat like the lion, and of an extraordinary aberrant horse (of a wholly different genus from the modern horse) conclusively shows that in its later stages the South American fauna consisted largely of types that elsewhere had already disappeared and that these types persisted into what was geologically a very recent period only some tens of thousands of years ago, when savage man of practically a modern type had already appeared in South America.	false	1341.05	1388.23	20.308887
3852_175448_000017_000007	The evidence we have, so far as it goes, tends to show that the South American fauna always has been more archaic in type than the arctogeal fauna of the same chronological level.	The evidence we have, so far as it goes, tends to show that the South American fauna always has been more archaic in type than the arctogeal fauna of the same chronological level.	true	1388.72	1400.85	21
3852_175448_000018_000000	To loose generalizations, and to elaborate misinterpretations of paleontological records, the kind of work done by Mr. Haseman furnishes an invaluable antiscorbutic.	To loose generalizations, and to elaborate misinterpretations of paleontological records, the kind of work done by mr Haseman furnishes an invaluable antiscorbutic.	true	1400.85	1413.13	19.986383
3852_175448_000018_000001	To my mind, he has established a stronger presumption in favor of the theory he champions than has been established in favor of the theories of any of the learned and able scientific men from whose conclusions he dissents.	To my mind, he has established a stronger presumption in favor of the theory he champions than has been established in favor of the theories of any of the learned and able scientific men from whose conclusions he dissents.	true	1413.44	1427.26	19
3852_175448_000018_000002	Further research, careful, accurate, and long extended, can alone enable us to decide definitely in the matter; and this research, to be effective, must be undertaken by many men, each of whom shall in large measure possess Mr. Haseman's exceptional power of laborious work both in the field and in the study, his insight and accuracy of observation, and his determination to follow truth with inflexible rectitude wherever it may lead--one of the greatest among the many great qualities which lifted Huxley and Darwin above their fellows.	Further research, careful, accurate, and long extended, can alone enable us to decide definitely in the matter; and this research, to be effective, must be undertaken by many men, each of whom shall in large measure possess mr Haseman's exceptional power of laborious work both in the field and in the study, his insight and accuracy of observation, and his determination to follow truth with inflexible rectitude wherever it may lead-one of the greatest among the many great qualities which lifted Huxley and Darwin above their fellows.	true	1427.99	1467.33	21.189602
3852_175448_000019_000000	APPENDIX B.	APPENDIX b	false	1467.33	1467.54	-20
3852_175448_000020_000000	The Outfit for Travelling in the South American Wilderness	The Outfit for Travelling in the South American Wilderness	false	1467.54	1468.5	-20
3852_175448_000021_000000	South America includes so many different kinds of country that it is impossible to devise a scheme of equipment which shall suit all.	South America includes so many different kinds of country that it is impossible to devise a scheme of equipment which shall suit all.	false	1468.5	1476.03	18.08799
3852_175448_000021_000001	A hunting-trip in the pantanals, in the swamp country of the upper Paraguay, offers a simple problem.	A hunting trip in the pantanals, in the swamp country of the upper Paraguay, offers a simple problem.	false	1476.03	1476.03	
3852_175448_000021_000002	An exploring trip through an unknown tropical forest region, even if the work is chiefly done by river, offers a very difficult problem.	An exploring trip through an unknown tropical forest region, even if the work is chiefly done by river, offers a very difficult problem.	false	1476.03	1476.03	
3852_175448_000021_000003	All that I can pretend to do is to give a few hints as the results of our own experience.	All that I can pretend to do is to give a few hints as the results of our own experience.	false	1476.03	1476.03	
