5606_54667_000000_000000	XI.	XI.	false	8.97	9.39	3
5606_54667_000047_000005	That's the point--that's the point precisely."	That's the point-that's the point precisely."	true	997.68	1000.21	21.389229
5606_54667_000048_000000	"But the case could not happen--I am astonished you can imagine it possible.	"But the case could not happen-I am astonished you can imagine it possible.	true	1001.66	1007.02	25.381895
5606_54667_000048_000001	I have told you already, I am of age."	I have told you already, I am of age."	true	1007.03	1009.66	16
5606_54667_000049_000000	"Properly urged--very properly, indeed.	"Properly urged-very properly, indeed.	true	1010.27	1012.56	15
5606_54667_000049_000001	But you also told me, if you remember, when I first had the pleasure of seeing you, that your father, if he knew of this match, would stick at nothing to oppose it--_at nothing_--I recollect you said so.	But you also told me, if you remember, when I first had the pleasure of seeing you, that your father, if he knew of this match, would stick at nothing to oppose it-underscore at nothing underscore--I recollect you said so.	false	1012.56	1024.02	16
5606_54667_000049_000002	Now, knowing this, my dear Sir--though I have the most perfect confidence in _your_ honour, and _your_ resolution to fulfil your engagement--I can't have confidence in your being prepared beforehand to oppose all your father might do if he found us out; because you can't tell yourself what he might be up to, or what influence he might set to work over you.	Now, knowing this, my dear Sir-though I have the most perfect confidence in underscore your underscore honour, and underscore your underscore resolution to fulfil your engagement-I can't have confidence in your being prepared beforehand to oppose all your father might do if he found us out; because you can't tell yourself what he might be up to, or what influence he might set to work over you.	false	1024.02	1046.47	20
5606_54667_000049_000003	This sort of mess is not very probable, you will say; but if it's at all possible--and there's a year for it to be possible in--by George, Sir, I must guard against accidents, for my daughter's sake--I must indeed!"	This sort of mess is not very probable, you will say; but if it's at all possible-and there's a year for it to be possible in-by George, Sir, I must guard against accidents, for my daughter's sake-I must indeed!"	true	1046.63	1059.82	16
5606_54667_000050_000000	"In Heaven's name, Mr. Sherwin, pass over all these impossible difficulties of yours! and let me hear what you have finally to propose."	"In Heaven's name, mr Sherwin, pass over all these impossible difficulties of yours! and let me hear what you have finally to propose."	true	1060.52	1068.22	13
5606_54667_000051_000000	"Gently, my dear Sir! gently, gently, gently!	"Gently, my dear Sir! gently, gently, gently!	false	1068.77	1072.28	15
5606_54667_000051_000001	I propose to begin with: that you should marry my daughter--privately marry her--in a week's time.	I propose to begin with: that you should marry my daughter-privately marry her-in a week's time.	true	1072.28	1079.44	18
5606_54667_000051_000002	Now, pray compose yourself!" (I was looking at him in speechless astonishment.) "Take it easy; pray take it easy!	Now, pray compose yourself!" (I was looking at him in speechless astonishment.) "Take it easy; pray take it easy!	true	1079.44	1087.33	22.82317
5606_54667_000051_000003	Supposing, then, you marry her in this way, I make one stipulation.	Supposing, then, you marry her in this way, I make one stipulation.	true	1087.4	1091.77	15.997156
5606_54667_000051_000004	I require you to give me your word of honour to leave her at the church door; and for the space of one year never to attempt to see her, except in the presence of a third party.	I require you to give me your word of honour to leave her at the church door; and for the space of one year never to attempt to see her, except in the presence of a third party.	false	1092.05	1102.42	20
5606_54667_000051_000005	At the end of that time, I will engage to give her to you, as your wife in fact, as well as in name.	At the end of that time, I will engage to give her to you, as your wife in fact, as well as in name.	false	1102.67	1108.17	21.118298
5606_54667_000051_000006	There! what do you say to that--eh?"	There! what do you say to that-eh?"	true	1108.17	1110.82	23.37622
5606_54667_000052_000000	I was too astounded, too overwhelmed, to say anything at that moment; Mr. Sherwin went on:	I was too astounded, too overwhelmed, to say anything at that moment; mr Sherwin went on:	true	1111.76	1118.14	19
5606_54667_000053_000000	"This plan of mine, you see, reconciles everything.	"This plan of mine, you see, reconciles everything.	true	1118.33	1121.8	15
5606_54667_000053_000001	If any accident _does_ happen, and we are discovered, why your father can do nothing to stop the match, because the match will have been already made.	If any accident underscore does underscore happen, and we are discovered, why your father can do nothing to stop the match, because the match will have been already made.	false	1122.23	1130.89	17
5606_54667_000053_000002	And, at the same time, I secure a year's delay, for the formation of her constitution, and the finishing of her accomplishments, and so forth. Besides, what an opportunity this gives of sailing as near the wind as you choose, in breaking the thing, bit by bit, to your father, without fear of consequences, in case he should run rough after all.	And, at the same time, I secure a year's delay, for the formation of her constitution, and the finishing of her accomplishments, and so forth. Besides, what an opportunity this gives of sailing as near the wind as you choose, in breaking the thing, bit by bit, to your father, without fear of consequences, in case he should run rough after all.	true	1130.89	1150.42	15
5606_54667_000053_000003	Upon my honour, my dear Sir, I think I deserve some credit for hitting on this plan--it makes everything so right and straight, and suits of course the wishes of all parties!	Upon my honour, my dear Sir, I think I deserve some credit for hitting on this plan-it makes everything so right and straight, and suits of course the wishes of all parties!	false	1150.76	1161.1	15
5606_54667_000053_000004	I need hardly say that you shall have every facility for seeing Margaret, under the restrictions--under the restrictions, you understand.	I need hardly say that you shall have every facility for seeing Margaret, under the restrictions-under the restrictions, you understand.	true	1161.74	1169.53	15
5606_54667_000053_000005	People may talk about your visits; but having got the certificate, and knowing it's all safe and settled, I shan't care for that.	People may talk about your visits; but having got the certificate, and knowing it's all safe and settled, I shan't care for that.	false	1169.75	1176.28	18
5606_54667_000053_000006	Well, what do you say?	Well, what do you say?	true	1176.5	1178.17	22.99305
5606_54667_000053_000007	take time to think, if you wish it--only remember that I have the most perfect confidence in your honour, and that I act from a fatherly feeling for the interests of my dear girl!"	take time to think, if you wish it-only remember that I have the most perfect confidence in your honour, and that I act from a fatherly feeling for the interests of my dear girl!"	true	1178.17	1187.71	18
5606_54667_000053_000008	He stopped, out of breath from the extraordinary volubility of his long harangue.	He stopped, out of breath from the extraordinary volubility of his long harangue.	true	1188.38	1194.25	21.512869
5606_54667_000054_000000	Some men more experienced in the world, less mastered by love than I was, would, in my position, have recognised this proposal an unfair trial of self-restraint--perhaps, something like an unfair humiliation as well.	Some men more experienced in the world, less mastered by love than I was, would, in my position, have recognised this proposal an unfair trial of self restraint-perhaps, something like an unfair humiliation as well.	false	1194.86	1208.38	16
5606_54667_000054_000001	Others have detected the selfish motives which suggested it: the mean distrust of my honour, integrity, and firmness of purpose which it implied; and the equally mean anxiety on Sherwin's part to clench his profitable bargain at once, for fear it might be repented of.	Others have detected the selfish motives which suggested it: the mean distrust of my honour, integrity, and firmness of purpose which it implied; and the equally mean anxiety on Sherwin's part to clench his profitable bargain at once, for fear it might be repented of.	true	1209.05	1224.52	17
5606_54667_000054_000002	I discerned nothing of this.	I discerned nothing of this.	true	1224.77	1226.89	19.82314
5606_54667_000054_000003	As soon as I had recovered from the natural astonishment of the first few moments, I only saw in the strange plan proposed to me, a certainty of assuring--no matter with what sacrifice, what hazard, or what delay--the ultimate triumph of my love.	As soon as I had recovered from the natural astonishment of the first few moments, I only saw in the strange plan proposed to me, a certainty of assuring-no matter with what sacrifice, what hazard, or what delay-the ultimate triumph of my love.	true	1228.1	1242.64	18
5606_54667_000054_000004	When Mr. Sherwin had ceased speaking, I replied at once:	When mr Sherwin had ceased speaking, I replied at once:	true	1242.89	1246.96	22.076443
5606_54667_000055_000000	"I accept your conditions--I accept them with all my heart."	"I accept your conditions-I accept them with all my heart."	false	1247.24	1250.98	23.064417
5606_54667_000056_000000	He was hardly prepared for so complete and so sudden an acquiescence in his proposal, and looked absolutely startled by it, at first.	He was hardly prepared for so complete and so sudden an acquiescence in his proposal, and looked absolutely startled by it, at first.	true	1251.65	1259.83	20
5606_54667_000056_000001	But soon resuming his self-possession--his wily, "business-like" self-possession--he started up, and shook me vehemently by the hand.	But soon resuming his self possession-his wily, "business like" self possession-he started up, and shook me vehemently by the hand.	true	1260.02	1269.21	20
5606_54667_000057_000000	"Delighted--most delighted, my dear Sir, to find how soon we understand each other, and that we pull together so well.	"Delighted-most delighted, my dear Sir, to find how soon we understand each other, and that we pull together so well.	true	1269.21	1275.91	20.947199
5606_54667_000057_000001	We must have another glass; hang it, we really must! a toast, you know; a toast you can't help drinking--your wife!	We must have another glass; hang it, we really must! a toast, you know; a toast you can't help drinking-your wife!	true	1275.91	1282.08	17
5606_54667_000057_000002	Ha! ha!--I had you there!--my dear, dear Margaret, God bless her!"	Ha! ha!--I had you there!--my dear, dear Margaret, God bless her!"	false	1282.08	1286.26	20
5606_54667_000058_000000	"We may consider all difficulties finally settled then," I said, anxious to close my interview with Mr. Sherwin as speedily as possible.	"We may consider all difficulties finally settled then," I said, anxious to close my interview with mr Sherwin as speedily as possible.	true	1287.38	1295.53	19.255116
5606_54667_000059_000000	"Decidedly so.	"Decidedly so.	true	1295.9	1297.2	16.677063
5606_54667_000059_000001	Done, and double done, I may say.	Done, and double done, I may say.	true	1297.2	1299.55	17.492527
5606_54667_000059_000002	There will be a little insurance on your life, that I shall ask you to effect for dear Margaret's sake; and perhaps, a memorandum of agreement, engaging to settle a certain proportion of any property you may become possessed of, on her and her children.	There will be a little insurance on your life, that I shall ask you to effect for dear Margaret's sake; and perhaps, a memorandum of agreement, engaging to settle a certain proportion of any property you may become possessed of, on her and her children.	false	1299.89	1312.76	17
5606_54667_000059_000003	You see I am looking forward to my grandfather days already!	You see I am looking forward to my grandfather days already!	true	1312.76	1316.23	13
5606_54667_000059_000004	But this can wait for a future occasion--say in a day or two."	But this can wait for a future occasion-say in a day or two."	true	1316.3	1320.19	16
5606_54667_000060_000000	"Then I presume there will be no objection to my seeing Miss Sherwin now?"	"Then I presume there will be no objection to my seeing Miss Sherwin now?"	true	1321.4	1325.2	14
5606_54667_000061_000000	"None whatever---at once, if you like.	"None whatever---at once, if you like.	false	1325.39	1327.38	20
5606_54667_000061_000001	This way, my dear Sir; this way," and he led me across the passage, into the dining-room.	This way, my dear Sir; this way," and he led me across the passage, into the dining room.	false	1327.38	1332.61	21.444538
5606_54667_000062_000000	This apartment was furnished with less luxury, but with more bad taste (if possible) than the room we had just left.	This apartment was furnished with less luxury, but with more bad taste (if possible) than the room we had just left.	true	1332.65	1339.69	20.680033
5606_54667_000062_000001	Near the window sat Margaret--it was the same window at which I had seen her, on the evening when I wandered into the square, after our meeting in the omnibus.	Near the window sat Margaret-it was the same window at which I had seen her, on the evening when I wandered into the square, after our meeting in the omnibus.	false	1339.73	1347.61	15
5606_54667_000062_000002	The cage with the canary-bird hung in the same place.	The cage with the canary bird hung in the same place.	true	1347.86	1350.88	18.4706
5606_54667_000062_000003	I just noticed--with a momentary surprise--that Mrs. Sherwin was sitting far away from her daughter, at the other end of the room; and then placed myself by Margaret's side.	I just noticed-with a momentary surprise-that mrs Sherwin was sitting far away from her daughter, at the other end of the room; and then placed myself by Margaret's side.	false	1351.25	1361.74	21.09939
5606_54667_000062_000004	She was dressed in pale yellow--a colour which gave new splendour to her dark complexion and magnificently dark hair.	She was dressed in pale yellow-a colour which gave new splendour to her dark complexion and magnificently dark hair.	true	1361.74	1368.94	18
5606_54667_000062_000005	Once more, all my doubts, all my self-upbraidings vanished, and gave place to the exquisite sense of happiness, the glow of joy and hope and love which seemed to rush over my heart, the moment I looked at her.	Once more, all my doubts, all my self upbraidings vanished, and gave place to the exquisite sense of happiness, the glow of joy and hope and love which seemed to rush over my heart, the moment I looked at her.	true	1369.76	1382.2	20
5606_54667_000063_000000	After staying in the room about five minutes, Mr. Sherwin whispered to his wife, and left us.	After staying in the room about five minutes, mr Sherwin whispered to his wife, and left us.	true	1382.51	1388.05	20
5606_54667_000063_000001	Mrs. Sherwin still kept her place; but she said nothing, and hardly turned to look round at us more than once or twice. Perhaps she was occupied by her own thoughts; perhaps, from a motive of delicacy, she abstained even from an appearance of watching her daughter or watching me.	mrs Sherwin still kept her place; but she said nothing, and hardly turned to look round at us more than once or twice. Perhaps she was occupied by her own thoughts; perhaps, from a motive of delicacy, she abstained even from an appearance of watching her daughter or watching me.	true	1388.42	1404.7	20
5606_54667_000063_000002	Whatever feelings influenced her, I cared not to speculate on them.	Whatever feelings influenced her, I cared not to speculate on them.	true	1405.07	1408.75	21
5606_54667_000063_000003	It was enough that I had the privilege of speaking to Margaret uninterruptedly; of declaring my love at last, without hesitation and without reserve.	It was enough that I had the privilege of speaking to Margaret uninterruptedly; of declaring my love at last, without hesitation and without reserve.	true	1408.97	1416.91	18
5606_54667_000064_000000	How much I had to say to her, and how short a time seemed to be left me that evening to say it in!	How much I had to say to her, and how short a time seemed to be left me that evening to say it in!	false	1417.19	1422.79	14
5606_54667_000064_000001	How short a time to tell her all the thoughts of the past which she had created in me; all the self-sacrifice to which I had cheerfully consented for her sake; all the anticipations of future happiness which were concentrated in her, which drew their very breath of life, only from the prospect of her rewarding love!	How short a time to tell her all the thoughts of the past which she had created in me; all the self sacrifice to which I had cheerfully consented for her sake; all the anticipations of future happiness which were concentrated in her, which drew their very breath of life, only from the prospect of her rewarding love!	true	1423.34	1441	19.457142
5606_54667_000064_000002	She spoke but little; yet even that little it was a new delight to hear.	She spoke but little; yet even that little it was a new delight to hear.	true	1441.55	1446.07	22.256008
5606_54667_000064_000003	She smiled now; she let me take her hand, and made no attempt to withdraw it. The evening had closed in; the darkness was stealing fast upon us; the still, dead-still figure of Mrs. Sherwin, always in the same place and the same attitude, grew fainter and fainter to the eye, across the distance of the room--but no thought of time, no thought of home ever once crossed my mind.	She smiled now; she let me take her hand, and made no attempt to withdraw it. The evening had closed in; the darkness was stealing fast upon us; the still, dead still figure of mrs Sherwin, always in the same place and the same attitude, grew fainter and fainter to the eye, across the distance of the room-but no thought of time, no thought of home ever once crossed my mind.	true	1446.29	1470.43	20.029093
5606_54667_000064_000004	I could have sat at the window with Margaret the long night through; without an idea of numbering the hours as they passed.	I could have sat at the window with Margaret the long night through; without an idea of numbering the hours as they passed.	true	1470.83	1476.91	19
5606_54667_000065_000000	Ere long, however, Mr. Sherwin entered the room again, and effectually roused me by approaching and speaking to us.	Ere long, however, mr Sherwin entered the room again, and effectually roused me by approaching and speaking to us.	true	1477.61	1483.9	17
5606_54667_000065_000001	I saw that I had stayed long enough, and that we were not to be left together again, that night.	I saw that I had stayed long enough, and that we were not to be left together again, that night.	true	1484.27	1489.63	21.065016
5606_54667_000065_000002	So I rose and took my leave, having first fixed a time for seeing Margaret on the morrow.	So I rose and took my leave, having first fixed a time for seeing Margaret on the morrow.	false	1489.94	1495.63	20.966661
5606_54667_000065_000003	Mr. Sherwin accompanied me with great ceremony to the outer door.	mr Sherwin accompanied me with great ceremony to the outer door.	true	1495.88	1499.33	15
5606_54667_000065_000004	Just as I was leaving him, he touched me on the arm, and said in his most confidential tones:	Just as I was leaving him, he touched me on the arm, and said in his most confidential tones:	true	1499.33	1504.84	16
5606_54667_000066_000000	"Come an hour earlier, to-morrow; and we'll go and get the licence together.	"Come an hour earlier, to morrow; and we'll go and get the licence together.	false	1505.06	1508.8	17
5606_54667_000066_000001	No objection to that--eh?	No objection to that-eh?	false	1508.93	1510.86	19.92823
5606_54667_000066_000002	And the marriage, shall we say this day week?	And the marriage, shall we say this day week?	true	1510.86	1513.01	18.537878
5606_54667_000066_000003	Just as _you_ like, you know--don't let me seem to dictate. Ah! no objection to that, either, I see, and no objection on Margaret's side, I'll warrant!	Just as underscore you underscore like, you know-don't let me seem to dictate. Ah! no objection to that, either, I see, and no objection on Margaret's side, I'll warrant!	false	1513.01	1520.56	20
5606_54667_000066_000004	With respect to consents, in the marrying part of the business, there's complete mutuality--isn't there?	With respect to consents, in the marrying part of the business, there's complete mutuality-isn't there?	true	1520.6	1525.99	17
5606_54667_000066_000005	Good night: God bless you!"	Good night: God bless you!"	false	1526.15	1532.16	20.365595
