3094_136458_000000_000000	Partridge had scarce seen his master since the happy discovery.	Partridge had scarce seen his master since the happy discovery.	false	0	2.85	22.265583
3094_136458_000018_000000	In this situation were affairs when Mr Allworthy and his company arrived to complete the happiness of Mrs Miller, who no sooner saw Sophia than she guessed everything that had happened; and so great was her friendship to Jones, that it added not a few transports to those she felt on the happiness of her own daughter.	In this situation were affairs when Mr Allworthy and his company arrived to complete the happiness of Mrs Miller, who no sooner saw Sophia than she guessed everything that had happened; and so great was her friendship to Jones, that it added not a few transports to those she felt on the happiness of her own daughter.	true	1248.74	1269.13	19.92393
3094_136458_000019_000000	There have not, I believe, been many instances of a number of people met together, where every one was so perfectly happy as in this company.	There have not, I believe, been many instances of a number of people met together, where every one was so perfectly happy as in this company.	true	1271.03	1280.83	21.831955
3094_136458_000019_000001	Amongst whom the father of young Nightingale enjoyed the least perfect content; for, notwithstanding his affection for his son, notwithstanding the authority and the arguments of Allworthy, together with the other motive mentioned before, he could not so entirely be satisfied with his son's choice; and, perhaps, the presence of Sophia herself tended a little to aggravate and heighten his concern, as a thought now and then suggested itself that his son might have had that lady, or some other such.	Amongst whom the father of young Nightingale enjoyed the least perfect content; for, notwithstanding his affection for his son, notwithstanding the authority and the arguments of Allworthy, together with the other motive mentioned before, he could not so entirely be satisfied with his son's choice; and, perhaps, the presence of Sophia herself tended a little to aggravate and heighten his concern, as a thought now and then suggested itself that his son might have had that lady, or some other such.	true	1281.38	1318.99	21
3094_136458_000019_000002	Not that any of the charms which adorned either the person or mind of Sophia created the uneasiness; it was the contents of her father's coffers which set his heart a longing.	Not that any of the charms which adorned either the person or mind of Sophia created the uneasiness; it was the contents of her father's coffers which set his heart a longing.	true	1319.69	1331.83	19.461464
3094_136458_000019_000003	These were the charms which he could not bear to think his son had sacrificed to the daughter of Mrs Miller.	These were the charms which he could not bear to think his son had sacrificed to the daughter of Mrs Miller.	true	1333.16	1340.23	20
3094_136458_000020_000000	The brides were both very pretty women; but so totally were they eclipsed by the beauty of Sophia, that, had they not been two of the best-tempered girls in the world, it would have raised some envy in their breasts; for neither of their husbands could long keep his eyes from Sophia, who sat at the table like a queen receiving homage, or, rather, like a superior being receiving adoration from all around her. But it was an adoration which they gave, not which she exacted; for she was as much distinguished by her modesty and affability as by all her other perfections.	The brides were both very pretty women; but so totally were they eclipsed by the beauty of Sophia, that, had they not been two of the best tempered girls in the world, it would have raised some envy in their breasts; for neither of their husbands could long keep his eyes from Sophia, who sat at the table like a queen receiving homage, or, rather, like a superior being receiving adoration from all around her. But it was an adoration which they gave, not which she exacted; for she was as much distinguished by her modesty and affability as by all her other perfections.	false	1342.07	1382.92	20
3094_136458_000021_000000	The evening was spent in much true mirth.	The evening was spent in much true mirth.	true	1383.83	1386.67	17
3094_136458_000021_000001	All were happy, but those the most who had been most unhappy before.	All were happy, but those the most who had been most unhappy before.	false	1386.67	1391.86	18.95159
3094_136458_000021_000002	Their former sufferings and fears gave such a relish to their felicity as even love and fortune, in their fullest flow, could not have given without the advantage of such a comparison.	Their former sufferings and fears gave such a relish to their felicity as even love and fortune, in their fullest flow, could not have given without the advantage of such a comparison.	true	1392.11	1404.79	17
3094_136458_000021_000003	Yet, as great joy, especially after a sudden change and revolution of circumstances, is apt to be silent, and dwells rather in the heart than on the tongue, Jones and Sophia appeared the least merry of the whole company; which Western observed with great impatience, often crying out to them, "Why dost not talk, boy?	Yet, as great joy, especially after a sudden change and revolution of circumstances, is apt to be silent, and dwells rather in the heart than on the tongue, Jones and Sophia appeared the least merry of the whole company; which Western observed with great impatience, often crying out to them, "Why dost not talk, boy?	false	1405.43	1427.7	21
3094_136458_000021_000004	Why dost look so grave?	Why dost look so grave?	false	1427.7	1429.14	22.030283
3094_136458_000021_000005	Hast lost thy tongue, girl?	Hast lost thy tongue, girl?	false	1429.14	1431.49	22.960695
3094_136458_000021_000006	Drink another glass of wine; sha't drink another glass." And, the more to enliven her, he would sometimes sing a merry song, which bore some relation to matrimony and the loss of a maidenhead.	Drink another glass of wine; sha't drink another glass." And, the more to enliven her, he would sometimes sing a merry song, which bore some relation to matrimony and the loss of a maidenhead.	false	1431.68	1444.84	16
3094_136458_000021_000007	Nay, he would have proceeded so far on that topic as to have driven her out of the room, if Mr Allworthy had not checkt him, sometimes by looks, and once or twice by a "Fie!	Nay, he would have proceeded so far on that topic as to have driven her out of the room, if Mr Allworthy had not checkt him, sometimes by looks, and once or twice by a "Fie!	true	1445.06	1456.82	15
3094_136458_000021_000008	Mr Western!"	Mr Western!"	true	1456.82	1457.95	24.212488
3094_136458_000021_000009	He began, indeed, once to debate the matter, and assert his right to talk to his own daughter as he thought fit; but, as nobody seconded him, he was soon reduced to order.	He began, indeed, once to debate the matter, and assert his right to talk to his own daughter as he thought fit; but, as nobody seconded him, he was soon reduced to order.	true	1459.28	1470.64	21.354292
3094_136458_000022_000000	Notwithstanding this little restraint, he was so pleased with the chearfulness and good-humour of the company, that he insisted on their meeting the next day at his lodgings.	Notwithstanding this little restraint, he was so pleased with the chearfulness and good humour of the company, that he insisted on their meeting the next day at his lodgings.	true	1471.61	1483	18
3094_136458_000022_000001	They all did so; and the lovely Sophia, who was now in private become a bride too, officiated as the mistress of the ceremonies, or, in the polite phrase, did the honours of the table.	They all did so; and the lovely Sophia, who was now in private become a bride too, officiated as the mistress of the ceremonies, or, in the polite phrase, did the honours of the table.	false	1483.55	1496.98	15
3094_136458_000022_000002	She had that morning given her hand to Jones, in the chapel at Doctors'-Commons, where Mr Allworthy, Mr Western, and Mrs Miller, were the only persons present.	She had that morning given her hand to Jones, in the chapel at Doctors'-Commons, where Mr Allworthy, Mr Western, and Mrs Miller, were the only persons present.	true	1497.83	1508.56	12
3094_136458_000023_000000	Sophia had earnestly desired her father that no others of the company, who were that day to dine with him, should be acquainted with her marriage.	Sophia had earnestly desired her father that no others of the company, who were that day to dine with him, should be acquainted with her marriage.	true	1509.65	1519.27	16
3094_136458_000023_000001	The same secrecy was enjoined to Mrs Miller, and Jones undertook for Allworthy.	The same secrecy was enjoined to Mrs Miller, and Jones undertook for Allworthy.	true	1519.73	1525.27	15
3094_136458_000023_000002	This somewhat reconciled the delicacy of Sophia to the public entertainment which, in compliance with her father's will, she was obliged to go to, greatly against her own inclinations.	This somewhat reconciled the delicacy of Sophia to the public entertainment which, in compliance with her father's will, she was obliged to go to, greatly against her own inclinations.	false	1526.15	1539.04	17
3094_136458_000023_000003	In confidence of this secrecy she went through the day pretty well, till the squire, who was now advanced into the second bottle, could contain his joy no longer, but, filling out a bumper, drank a health to the bride.	In confidence of this secrecy she went through the day pretty well, till the squire, who was now advanced into the second bottle, could contain his joy no longer, but, filling out a bumper, drank a health to the bride.	true	1540.19	1556.02	20.91715
3094_136458_000023_000004	The health was immediately pledged by all present, to the great confusion of our poor blushing Sophia, and the great concern of Jones upon her account.	The health was immediately pledged by all present, to the great confusion of our poor blushing Sophia, and the great concern of Jones upon her account.	true	1556.36	1566.76	18
3094_136458_000023_000005	To say truth, there was not a person present made wiser by this discovery; for Mrs Miller had whispered it to her daughter, her daughter to her husband, her husband to his sister, and she to all the rest.	To say truth, there was not a person present made wiser by this discovery; for Mrs Miller had whispered it to her daughter, her daughter to her husband, her husband to his sister, and she to all the rest.	true	1567.34	1581.52	18.537163
3094_136458_000024_000000	Sophia now took the first opportunity of withdrawing with the ladies, and the squire sat in to his cups, in which he was, by degrees, deserted by all the company except the uncle of young Nightingale, who loved his bottle as well as Western himself.	Sophia now took the first opportunity of withdrawing with the ladies, and the squire sat in to his cups, in which he was, by degrees, deserted by all the company except the uncle of young Nightingale, who loved his bottle as well as Western himself.	true	1582.91	1599.55	19
3094_136458_000024_000001	These two, therefore, sat stoutly to it during the whole evening, and long after that happy hour which had surrendered the charming Sophia to the eager arms of her enraptured Jones.	These two, therefore, sat stoutly to it during the whole evening, and long after that happy hour which had surrendered the charming Sophia to the eager arms of her enraptured Jones.	true	1600.01	1612.72	20
3094_136458_000025_000000	Thus, reader, we have at length brought our history to a conclusion, in which, to our great pleasure, though contrary, perhaps, to thy expectation, Mr Jones appears to be the happiest of all humankind; for what happiness this world affords equal to the possession of such a woman as Sophia, I sincerely own I have never yet discovered.	Thus, reader, we have at length brought our history to a conclusion, in which, to our great pleasure, though contrary, perhaps, to thy expectation, Mr Jones appears to be the happiest of all humankind; for what happiness this world affords equal to the possession of such a woman as Sophia, I sincerely own I have never yet discovered.	true	1613.42	1637.92	21
3094_136458_000026_000000	As to the other persons who have made any considerable figure in this history, as some may desire to know a little more concerning them, we will proceed, in as few words as possible, to satisfy their curiosity.	As to the other persons who have made any considerable figure in this history, as some may desire to know a little more concerning them, we will proceed, in as few words as possible, to satisfy their curiosity.	true	1638.89	1653.34	15
3094_136458_000027_000000	Allworthy hath never yet been prevailed upon to see Blifil, but he hath yielded to the importunity of Jones, backed by Sophia, to settle L200 a-year upon him; to which Jones hath privately added a third. Upon this income he lives in one of the northern counties, about 200 miles distant from London, and lays up L200 a-year out of it, in order to purchase a seat in the next parliament from a neighbouring borough, which he has bargained for with an attourney there.	Allworthy hath never yet been prevailed upon to see Blifil, but he hath yielded to the importunity of Jones, backed by Sophia, to settle l two hundred a year upon him; to which Jones hath privately added a third. Upon this income he lives in one of the northern counties, about two hundred miles distant from London, and lays up l two hundred a year out of it, in order to purchase a seat in the next parliament from a neighbouring borough, which he has bargained for with an attourney there.	false	1654.52	1685.23	22.739824
3094_136458_000027_000001	He is also lately turned Methodist, in hopes of marrying a very rich widow of that sect, whose estate lies in that part of the kingdom.	He is also lately turned Methodist, in hopes of marrying a very rich widow of that sect, whose estate lies in that part of the kingdom.	true	1685.75	1694.68	20.021154
3094_136458_000028_000000	Square died soon after he writ the before-mentioned letter; and as to Thwackum, he continues at his vicarage.	Square died soon after he writ the before mentioned letter; and as to Thwackum, he continues at his vicarage.	true	1696.58	1704.34	24.05561
3094_136458_000028_000001	He hath made many fruitless attempts to regain the confidence of Allworthy, or to ingratiate himself with Jones, both of whom he flatters to their faces, and abuses behind their backs.	He hath made many fruitless attempts to regain the confidence of Allworthy, or to ingratiate himself with Jones, both of whom he flatters to their faces, and abuses behind their backs.	false	1704.71	1717.81	21.155655
3094_136458_000028_000002	But in his stead, Mr Allworthy hath lately taken Mr Abraham Adams into his house, of whom Sophia is grown immoderately fond, and declares he shall have the tuition of her children.	But in his stead, Mr Allworthy hath lately taken Mr Abraham Adams into his house, of whom Sophia is grown immoderately fond, and declares he shall have the tuition of her children.	true	1718.72	1731.7	19
3094_136458_000029_000000	Mrs Fitzpatrick is separated from her husband, and retains the little remains of her fortune.	Mrs Fitzpatrick is separated from her husband, and retains the little remains of her fortune.	true	1733.48	1740.04	23
3094_136458_000029_000001	She lives in reputation at the polite end of the town, and is so good an economist, that she spends three times the income of her fortune, without running into debt.	She lives in reputation at the polite end of the town, and is so good an economist, that she spends three times the income of her fortune, without running into debt.	true	1740.5	1752.34	23
3094_136458_000029_000002	She maintains a perfect intimacy with the lady of the Irish peer; and in acts of friendship to her repays all obligations she owes her husband.	She maintains a perfect intimacy with the lady of the Irish peer; and in acts of friendship to her repays all obligations she owes her husband.	true	1752.89	1763.17	23
3094_136458_000030_000000	Mrs Western was soon reconciled to her niece Sophia, and hath spent two months together with her in the country.	Mrs Western was soon reconciled to her niece Sophia, and hath spent two months together with her in the country.	true	1764.29	1771.12	18
3094_136458_000030_000001	Lady Bellaston made the latter a formal visit at her return to town, where she behaved to Jones as a perfect stranger, and, with great civility, wished him joy on his marriage.	Lady Bellaston made the latter a formal visit at her return to town, where she behaved to Jones as a perfect stranger, and, with great civility, wished him joy on his marriage.	false	1771.46	1784.82	20.831755
3094_136458_000031_000000	Mr Nightingale hath purchased an estate for his son in the neighbourhood of Jones, where the young gentleman, his lady, Mrs Miller, and her little daughter reside, and the most agreeable intercourse subsists between the two families.	Mr Nightingale hath purchased an estate for his son in the neighbourhood of Jones, where the young gentleman, his lady, Mrs Miller, and her little daughter reside, and the most agreeable intercourse subsists between the two families.	true	1784.82	1798.78	18
3094_136458_000032_000000	As to those of lower account, Mrs Waters returned into the country, had a pension of L60 a-year settled upon her by Mr Allworthy, and is married to Parson Supple, on whom, at the instance of Sophia, Western hath bestowed a considerable living.	As to those of lower account, Mrs Waters returned into the country, had a pension of l sixty a year settled upon her by Mr Allworthy, and is married to Parson Supple, on whom, at the instance of Sophia, Western hath bestowed a considerable living.	false	1799.75	1817.92	23
3094_136458_000033_000000	Black George, hearing the discovery that had been made, ran away, and was never since heard of; and Jones bestowed the money on his family, but not in equal proportions, for Molly had much the greatest share.	Black George, hearing the discovery that had been made, ran away, and was never since heard of; and Jones bestowed the money on his family, but not in equal proportions, for Molly had much the greatest share.	true	1818.95	1833.85	22.617281
3094_136458_000034_000000	As for Partridge, Jones hath settled L50 a-year on him; and he hath again set up a school, in which he meets with much better encouragement than formerly, and there is now a treaty of marriage on foot between him and Miss Molly Seagrim, which, through the mediation of Sophia, is likely to take effect.	As for Partridge, Jones hath settled l fifty a year on him; and he hath again set up a school, in which he meets with much better encouragement than formerly, and there is now a treaty of marriage on foot between him and Miss Molly Seagrim, which, through the mediation of Sophia, is likely to take effect.	false	1834.76	1856.35	21.59843
3094_136458_000035_000000	We now return to take leave of Mr Jones and Sophia, who, within two days after their marriage, attended Mr Western and Mr Allworthy into the country.	We now return to take leave of Mr Jones and Sophia, who, within two days after their marriage, attended Mr Western and Mr Allworthy into the country.	true	1857.83	1868.74	21
3094_136458_000035_000001	Western hath resigned his family seat, and the greater part of his estate, to his son-in-law, and hath retired to a lesser house of his in another part of the country, which is better for hunting.	Western hath resigned his family seat, and the greater part of his estate, to his son in law, and hath retired to a lesser house of his in another part of the country, which is better for hunting.	true	1869.95	1882.45	19.803759
3094_136458_000035_000002	Indeed, he is often as a visitant with Mr Jones, who, as well as his daughter, hath an infinite delight in doing everything in their power to please him.	Indeed, he is often as a visitant with Mr Jones, who, as well as his daughter, hath an infinite delight in doing everything in their power to please him.	true	1882.79	1892.11	18
3094_136458_000035_000003	And this desire of theirs is attended with such success, that the old gentleman declares he was never happy in his life till now.	And this desire of theirs is attended with such success, that the old gentleman declares he was never happy in his life till now.	true	1892.57	1902.1	19
3094_136458_000035_000004	He hath here a parlour and ante-chamber to himself, where he gets drunk with whom he pleases: and his daughter is still as ready as formerly to play to him whenever he desires it; for Jones hath assured her that, as, next to pleasing her, one of his highest satisfactions is to contribute to the happiness of the old man; so, the great duty which she expresses and performs to her father, renders her almost equally dear to him with the love which she bestows on himself.	He hath here a parlour and ante chamber to himself, where he gets drunk with whom he pleases: and his daughter is still as ready as formerly to play to him whenever he desires it; for Jones hath assured her that, as, next to pleasing her, one of his highest satisfactions is to contribute to the happiness of the old man; so, the great duty which she expresses and performs to her father, renders her almost equally dear to him with the love which she bestows on himself.	false	1902.98	1936.03	21
3094_136458_000036_000000	Sophia hath already produced him two fine children, a boy and a girl, of whom the old gentleman is so fond, that he spends much of his time in the nursery, where he declares the tattling of his little grand-daughter, who is above a year and a half old, is sweeter music than the finest cry of dogs in England.	Sophia hath already produced him two fine children, a boy and a girl, of whom the old gentleman is so fond, that he spends much of his time in the nursery, where he declares the tattling of his little grand daughter, who is above a year and a half old, is sweeter music than the finest cry of dogs in England.	false	1937.27	1958.86	21
3094_136458_000037_000000	Allworthy was likewise greatly liberal to Jones on the marriage, and hath omitted no instance of shewing his affection to him and his lady, who love him as a father.	Allworthy was likewise greatly liberal to Jones on the marriage, and hath omitted no instance of shewing his affection to him and his lady, who love him as a father.	false	1960.82	1972	20
3094_136458_000037_000001	Whatever in the nature of Jones had a tendency to vice, has been corrected by continual conversation with this good man, and by his union with the lovely and virtuous Sophia. He hath also, by reflection on his past follies, acquired a discretion and prudence very uncommon in one of his lively parts.	Whatever in the nature of Jones had a tendency to vice, has been corrected by continual conversation with this good man, and by his union with the lovely and virtuous Sophia. He hath also, by reflection on his past follies, acquired a discretion and prudence very uncommon in one of his lively parts.	false	1972.7	1995.43	22.327425
3094_136458_000038_000000	To conclude, as there are not to be found a worthier man and woman, than this fond couple, so neither can any be imagined more happy.	To conclude, as there are not to be found a worthier man and woman, than this fond couple, so neither can any be imagined more happy.	false	1996.52	2005.96	22.447247
3094_136458_000038_000001	They preserve the purest and tenderest affection for each other, an affection daily encreased and confirmed by mutual endearments and mutual esteem.	They preserve the purest and tenderest affection for each other, an affection daily encreased and confirmed by mutual endearments and mutual esteem.	true	2006.36	2017.87	20.636084
3094_136458_000038_000002	Nor is their conduct towards their relations and friends less amiable than towards one another.	Nor is their conduct towards their relations and friends less amiable than towards one another.	false	2018.06	2024.02	17
3094_136458_000038_000003	And such is their condescension, their indulgence, and their beneficence to those below them, that there is not a neighbour, a tenant, or a servant, who doth not most gratefully bless the day when Mr Jones was married to his Sophia.	And such is their condescension, their indulgence, and their beneficence to those below them, that there is not a neighbour, a tenant, or a servant, who doth not most gratefully bless the day when Mr Jones was married to his Sophia.	false	2024.24	2063.34	22.543133
