6341_64956_000002_000000	CHAPTER I.	CHAPTER one
6341_64956_000106_000001	But shall I tell her that it will add to your happiness if she will be your mamma?"	But shall I tell her that it will add to your happiness if she will be your mamma?"
6341_64956_000107_000000	"Yes, sir; and that I will call her mamma, and obey her and love her dearly.	"Yes, sir; and that I will call her mamma, and obey her and love her dearly.
6341_64956_000107_000001	Oh, papa, ask her very soon, won't you?"	Oh, papa, ask her very soon, won't you?"
6341_64956_000108_000000	"Perhaps; but don't set your heart too much on it, for she may not be quite so willing to take such a troublesome charge as Miss Stevens seems to be," he said, returning to his playful tone.	"Perhaps; but don't set your heart too much on it, for she may not be quite so willing to take such a troublesome charge as Miss Stevens seems to be," he said, returning to his playful tone.
6341_64956_000109_000000	Elsie looked troubled and anxious.	Elsie looked troubled and anxious.
6341_64956_000110_000000	"I hope she will, papa," she said; "I think she might be very glad to come and live with you; and in such a beautiful home, too."	"I hope she will, papa," she said; "I think she might be very glad to come and live with you; and in such a beautiful home, too."
6341_64956_000111_000000	"Ah! but everyone does not appreciate my society as highly as you do," he replied, laughing and pinching her cheek; "and besides, you forget about the troublesome little girl.	"Ah! but everyone does not appreciate my society as highly as you do," he replied, laughing and pinching her cheek; "and besides, you forget about the troublesome little girl.
6341_64956_000111_000001	I have heard ladies say they would not marry a man who had a child."	I have heard ladies say they would not marry a man who had a child."
6341_64956_000112_000000	"But Miss Rose loves me, papa; I am sure she does," she said, flushing, and the tears starting to her eyes.	"But Miss Rose loves me, papa; I am sure she does," she said, flushing, and the tears starting to her eyes.
6341_64956_000113_000000	"Yes, darling, I know she does," he answered soothingly.	"Yes, darling, I know she does," he answered soothingly.
6341_64956_000113_000001	"I am only afraid she loves you better than she does me."	"I am only afraid she loves you better than she does me."
6341_64956_000114_000000	A large party of equestrians were setting out from the hotel that evening soon after tea, and Elsie, in company with several other little girls, went out upon the veranda to watch them mount and ride away.	A large party of equestrians were setting out from the hotel that evening soon after tea, and Elsie, in company with several other little girls, went out upon the veranda to watch them mount and ride away.
6341_64956_000114_000001	She was absent but a few moments from the parlor, where she had left her father, but when she returned to it he was not there.	She was absent but a few moments from the parlor, where she had left her father, but when she returned to it he was not there.
6341_64956_000114_000002	Miss Rose, too, was gone, she found upon further search, and though she had not much difficulty in conjecturing why she had thus, for the first time, been left behind, she could not help feeling rather lonely and desolate.	Miss Rose, too, was gone, she found upon further search, and though she had not much difficulty in conjecturing why she had thus, for the first time, been left behind, she could not help feeling rather lonely and desolate.
6341_64956_000115_000000	She felt no disposition to renew the afternoon's conversation with Annie Hart, so she went quietly upstairs to their private parlor and sat down to amuse herself with a book until Chloe came in from eating her supper.	She felt no disposition to renew the afternoon's conversation with Annie Hart, so she went quietly upstairs to their private parlor and sat down to amuse herself with a book until Chloe came in from eating her supper.
6341_64956_000115_000001	Then the little girl brought a stool, and seating herself in the old posture with her head in her nurse's lap, she drew her mother's miniature from her bosom, and fixing her eyes lovingly upon it, said, as she had done hundreds of times before: "Now, mammy, please tell me about my dear, dear mamma."	Then the little girl brought a stool, and seating herself in the old posture with her head in her nurse's lap, she drew her mother's miniature from her bosom, and fixing her eyes lovingly upon it, said, as she had done hundreds of times before: "Now, mammy, please tell me about my dear, dear mamma."
