8643_298549_000000_000000	THE LORD OF CHATEAU NOIR	THE LORD OF CHATEAU NOIR	true	40.44	42.76	21.797203
8643_298549_000062_000003	His chin sank slowly upon his chest, and the ten candles gleamed upon the broad, white scalp.	His chin sank slowly upon his chest, and the ten candles gleamed upon the broad, white scalp.	true	1046.51	1054.2	24.632685
8643_298549_000063_000000	Suddenly a slight noise brought him to his feet.	Suddenly a slight noise brought him to his feet.	true	1054.2	1057.42	18.185286
8643_298549_000063_000001	For an instant it seemed to his dazed senses that one of the pictures opposite had walked from its frame.	For an instant it seemed to his dazed senses that one of the pictures opposite had walked from its frame.	false	1057.42	1064.79	23.835224
8643_298549_000063_000002	There, beside the table, and almost within arm's length of him, was standing a huge man, silent, motionless, with no sign of life save his fierce-glinting eyes.	There, beside the table, and almost within arm's length of him, was standing a huge man, silent, motionless, with no sign of life save his fierce glinting eyes.	true	1064.79	1077.63	20.692884
8643_298549_000063_000003	He was black-haired, olive-skinned, with a pointed tuft of black beard, and a great, fierce nose, towards which all his features seemed to run.	He was black haired, olive skinned, with a pointed tuft of black beard, and a great, fierce nose, towards which all his features seemed to run.	false	1077.63	1089.13	21.936394
8643_298549_000063_000004	His cheeks were wrinkled like a last year's apple, but his sweep of shoulder, and bony, corded hands, told of a strength which was unsapped by age.	His cheeks were wrinkled like a last year's apple, but his sweep of shoulder, and bony, corded hands, told of a strength which was unsapped by age.	true	1089.17	1100.43	23.649576
8643_298549_000063_000005	His arms were folded across his arching chest, and his mouth was set in a fixed smile.	His arms were folded across his arching chest, and his mouth was set in a fixed smile.	true	1100.43	1106.74	20
8643_298549_000064_000000	"Pray do not trouble yourself to look for your weapons," he said, as the Prussian cast a swift glance at the empty chair in which they had been laid.	"Pray do not trouble yourself to look for your weapons," he said, as the Prussian cast a swift glance at the empty chair in which they had been laid.	true	1106.78	1116.6	21.965267
8643_298549_000064_000001	"You have been, if you will allow me to say so, a little indiscreet to make yourself so much at home in a house every wall of which is honeycombed with secret passages.	"You have been, if you will allow me to say so, a little indiscreet to make yourself so much at home in a house every wall of which is honeycombed with secret passages.	true	1116.6	1128.37	22.185957
8643_298549_000064_000002	You will be amused to hear that forty men were watching you at your supper.	You will be amused to hear that forty men were watching you at your supper.	true	1128.41	1133.05	19.27731
8643_298549_000064_000003	Ah! what then?"	Ah! what then?"	true	1133.36	1134.78	22.368332
8643_298549_000065_000000	Captain Baumgarten had taken a step forward with clenched fists. The Frenchman held up tho revolver which he grasped in his right hand, while with the left he hurled the German back into his chair.	Captain Baumgarten had taken a step forward with clenched fists. The Frenchman held up tho revolver which he grasped in his right hand, while with the left he hurled the German back into his chair.	false	1134.78	1148.2	21.504433
8643_298549_000066_000000	"Pray keep your seat," said he.	"Pray keep your seat," said he.	false	1148.54	1150.59	24.328907
8643_298549_000066_000001	"You have no cause to trouble about your men.	"You have no cause to trouble about your men.	true	1150.59	1153.27	26
8643_298549_000066_000002	They have already been provided for.	They have already been provided for.	true	1153.31	1155.57	22.53127
8643_298549_000066_000003	It is astonishing with these stone floors how little one can hear what goes on beneath. You have been relieved of your command, and have now only to think of yourself.	It is astonishing with these stone floors how little one can hear what goes on beneath. You have been relieved of your command, and have now only to think of yourself.	true	1155.57	1166.81	19
8643_298549_000066_000004	May I ask what your name is?"	May I ask what your name is?"	true	1166.81	1168.61	16
8643_298549_000067_000000	"I am Captain Baumgarten of, the 24th Posen Regiment."	"I am Captain Baumgarten of, the twenty fourth Posen Regiment."	true	1168.61	1173.4	23.41074
8643_298549_000068_000000	"Your French is excellent, though you incline, like most of your countrymen, to turn the 'p' into a 'b.' I have been amused to hear them cry '_Avez bitie sur moi!_' You know, doubtless, who it is who addresses you."	"Your French is excellent, though you incline, like most of your countrymen, to turn the 'p' into a 'b.' I have been amused to hear them cry 'underscore Avez bitie sur moi!underscore' You know, doubtless, who it is who addresses you."	false	1173.4	1189.51	21.32336
8643_298549_000069_000000	"The Count of Chateau Noir."	"The Count of Chateau Noir."	true	1189.7	1191.69	27.783699
8643_298549_000070_000000	"Precisely.	"Precisely.	true	1191.69	1192.74	23.089787
8643_298549_000070_000001	It would have been a misfortune if you had visited my chateau and I had been unable to have a word with you.	It would have been a misfortune if you had visited my chateau and I had been unable to have a word with you.	true	1192.74	1199.89	19
8643_298549_000070_000002	I have had to do with many German soldiers, but never with an officer before.	I have had to do with many German soldiers, but never with an officer before.	true	1199.89	1204.99	15
8643_298549_000070_000003	I have much to talk to you about."	I have much to talk to you about."	true	1204.99	1207.42	23.080019
8643_298549_000071_000000	Captain Baumgarten sat still in his chair.	Captain Baumgarten sat still in his chair.	true	1207.49	1210.48	21.155504
8643_298549_000071_000001	Brave as he was, there was something in this man's manner which made his skin creep with apprehension.	Brave as he was, there was something in this man's manner which made his skin creep with apprehension.	true	1210.52	1217.34	22.42849
8643_298549_000071_000002	His eyes glanced to right and to left, but his weapons were gone, and in a struggle he saw that he was but a child to this gigantic adversary.	His eyes glanced to right and to left, but his weapons were gone, and in a struggle he saw that he was but a child to this gigantic adversary.	false	1217.34	1227.3	21.94847
8643_298549_000071_000003	The count had picked up the claret bottle and held it to the light.	The count had picked up the claret bottle and held it to the light.	true	1227.3	1231.39	27.098625
8643_298549_000072_000000	"Tut! tut!" said he.	"Tut! tut!" said he.	false	1231.39	1232.97	24.548416
8643_298549_000072_000001	"And was this the best that Pierre could do for you?	"And was this the best that Pierre could do for you?	true	1232.97	1236.02	18
8643_298549_000072_000002	I am ashamed to look you in the face, Captain Baumgarten.	I am ashamed to look you in the face, Captain Baumgarten.	true	1236.02	1239.39	27.683151
8643_298549_000072_000003	We must improve upon this."	We must improve upon this."	true	1239.39	1241.19	20
8643_298549_000073_000000	He blew a call upon a whistle which hung from his shooting-jacket. The old manservant was in the room in an instant.	He blew a call upon a whistle which hung from his shooting jacket. The old manservant was in the room in an instant.	false	1241.19	1249.74	20.660645
8643_298549_000074_000000	"Chambertin from bin 15!" he cried, and a minute later a grey bottle, streaked with cobwebs, was carried in as a nurse bears an infant. The count filled two glasses to the brim.	"Chambertin from bin fifteen!" he cried, and a minute later a grey bottle, streaked with cobwebs, was carried in as a nurse bears an infant. The count filled two glasses to the brim.	false	1249.74	1263.94	22.148144
8643_298549_000075_000000	"Drink!" said he.	"Drink!" said he.	true	1264.07	1265.71	26.240738
8643_298549_000075_000001	"It is the very best in my cellars, and not to be matched between Rouen and Paris.	"It is the very best in my cellars, and not to be matched between Rouen and Paris.	false	1265.71	1272.09	21.609264
8643_298549_000075_000002	Drink, sir, and be happy!	Drink, sir, and be happy!	true	1272.09	1274.17	23.693325
8643_298549_000075_000003	There are cold joints below.	There are cold joints below.	true	1274.17	1276.47	23.28079
8643_298549_000075_000004	There are two lobsters, fresh from Honfleur.	There are two lobsters, fresh from Honfleur.	false	1276.47	1280.07	22.962671
8643_298549_000075_000005	Will you not venture upon a second and more savoury supper?"	Will you not venture upon a second and more savoury supper?"	true	1280.07	1283.5	21.809431
8643_298549_000076_000000	The German officer shook his head.	The German officer shook his head.	true	1283.54	1285.8	20.939867
8643_298549_000076_000001	He drained the glass, however, and his host filled it once more, pressing him to give an order for this or that dainty.	He drained the glass, however, and his host filled it once more, pressing him to give an order for this or that dainty.	false	1285.8	1293.76	22.483414
8643_298549_000077_000000	"There is nothing in my house which is not at your disposal.	"There is nothing in my house which is not at your disposal.	true	1294.1	1297.48	21.154099
8643_298549_000077_000001	You have but to say the word.	You have but to say the word.	true	1297.48	1299.61	20.598335
8643_298549_000077_000002	Well, then, you will allow me to tell you a story while you drink your wine.	Well, then, you will allow me to tell you a story while you drink your wine.	true	1299.74	1304.32	20.077072
8643_298549_000077_000003	I have so longed to tell it to some German officer.	I have so longed to tell it to some German officer.	true	1304.51	1308.67	19.514877
8643_298549_000077_000004	It is about my son, my only child, Eustace, who was taken and died in escaping.	It is about my son, my only child, Eustace, who was taken and died in escaping.	true	1308.68	1314.77	20.095749
8643_298549_000077_000005	It is a curious little story, and I think that I can promise you that you will never forget it.	It is a curious little story, and I think that I can promise you that you will never forget it.	true	1314.77	1320.73	21.190508
8643_298549_000078_000000	"You must know, then, that my boy was in the artillery--a fine young fellow, Captain Baumgarten, and the pride of his mother.	"You must know, then, that my boy was in the artillery-a fine young fellow, Captain Baumgarten, and the pride of his mother.	true	1321.1	1328.84	20.979088
8643_298549_000078_000001	She died within a week of the news of his death reaching us.	She died within a week of the news of his death reaching us.	true	1328.84	1332.37	16
8643_298549_000078_000002	It was brought by a brother officer who was at his side throughout, and who escaped while my lad died.	It was brought by a brother officer who was at his side throughout, and who escaped while my lad died.	true	1332.5	1339.47	20.769104
8643_298549_000078_000003	I want to tell you all that he told me.	I want to tell you all that he told me.	true	1339.47	1342.36	23
8643_298549_000079_000000	"Eustace was taken at Weissenburg on the 4th of August.	"Eustace was taken at Weissenburg on the fourth of August.	true	1342.67	1347.26	23.68148
8643_298549_000079_000001	The prisoners were broken up into parties, and sent back into Germany by different routes.	The prisoners were broken up into parties, and sent back into Germany by different routes.	true	1347.26	1353.64	22
8643_298549_000079_000002	Eustace was taken upon the 5th to a village called Lauterburg, where he met with kindness from the German officer in command. This good colonel had the hungry lad to supper, offered him the best he had, opened a bottle of good wine, as I have tried to do for you, and gave him a cigar from his own case.	Eustace was taken upon the fifth to a village called Lauterburg, where he met with kindness from the German officer in command. This good colonel had the hungry lad to supper, offered him the best he had, opened a bottle of good wine, as I have tried to do for you, and gave him a cigar from his own case.	true	1353.65	1374.21	21.25771
8643_298549_000079_000003	Might I entreat you to take one from mine?"	Might I entreat you to take one from mine?"	false	1374.21	1377.26	20.149096
8643_298549_000080_000000	The German again shook his head.	The German again shook his head.	true	1377.26	1379.22	19.267303
8643_298549_000080_000001	His horror of his companion had increased as he sat watching the lips that smiled and the eyes that glared.	His horror of his companion had increased as he sat watching the lips that smiled and the eyes that glared.	false	1379.22	1387.2	21.985933
8643_298549_000081_000000	"The colonel, as I say, was good to my boy.	"The colonel, as I say, was good to my boy.	true	1387.2	1390.28	20.668262
8643_298549_000081_000001	But, unluckily, the prisoners were moved next day across the Rhine into Ettlingen. They were not equally fortunate there.	But, unluckily, the prisoners were moved next day across the Rhine into Ettlingen. They were not equally fortunate there.	true	1390.28	1398.13	22.706802
8643_298549_000081_000002	The officer who guarded them was a ruffian and a villain, Captain Baumgarten.	The officer who guarded them was a ruffian and a villain, Captain Baumgarten.	true	1398.17	1402.9	21.122019
8643_298549_000081_000003	He took a pleasure in humiliating and ill-treating the brave men who had fallen into his power.	He took a pleasure in humiliating and ill treating the brave men who had fallen into his power.	true	1402.9	1409.33	19
8643_298549_000081_000004	That night upon my son answering fiercely back to some taunt of his, he struck him in the eye, like this!"	That night upon my son answering fiercely back to some taunt of his, he struck him in the eye, like this!"	true	1409.33	1416.52	20
8643_298549_000082_000000	The crash of the blow rang through the hall.	The crash of the blow rang through the hall.	true	1416.83	1419.54	19.429104
8643_298549_000082_000001	The German's face fell forward, his hand up, and blood oozing through his fingers.	The German's face fell forward, his hand up, and blood oozing through his fingers.	false	1419.54	1425.24	21
8643_298549_000082_000002	The count settled down in his chair once more.	The count settled down in his chair once more.	false	1425.24	1428.56	20.383986
8643_298549_000083_000000	"My boy was disfigured by the blow, and this villain made his appearance the object of his jeers.	"My boy was disfigured by the blow, and this villain made his appearance the object of his jeers.	true	1428.56	1435.42	20
8643_298549_000083_000001	By the way, you look a little comical yourself at the present moment, captain, and your colonel would certainly say that you had been getting into mischief.	By the way, you look a little comical yourself at the present moment, captain, and your colonel would certainly say that you had been getting into mischief.	true	1435.58	1444.39	22.803555
8643_298549_000083_000002	To continue, however, my boy's youth and his destitution--for his pockets were empty--moved the pity of a kind-hearted major, and he advanced him ten Napoleons from his own pocket without security of any kind.	To continue, however, my boy's youth and his destitution-for his pockets were empty-moved the pity of a kind hearted major, and he advanced him ten Napoleons from his own pocket without security of any kind.	true	1444.58	1459.28	23.623941
8643_298549_000083_000003	Into your hands, Captain Baumgarten, I return these ten gold pieces, since I cannot learn the name of the lender.	Into your hands, Captain Baumgarten, I return these ten gold pieces, since I cannot learn the name of the lender.	true	1459.28	1466.97	21.127615
8643_298549_000083_000004	I am grateful from my heart for this kindness shown to my boy.	I am grateful from my heart for this kindness shown to my boy.	true	1466.97	1471.02	21
8643_298549_000084_000000	"The vile tyrant who commanded the escort accompanied the prisoners to Durlack, and from there to Carlsruhe.	"The vile tyrant who commanded the escort accompanied the prisoners to Durlack, and from there to Carlsruhe.	false	1471.02	1478.23	22.30216
8643_298549_000084_000001	He heaped every outrage upon my lad, because the spirit of the Chateau Noirs would not stoop to turn away his wrath by a feigned submission.	He heaped every outrage upon my lad, because the spirit of the Chateau Noirs would not stoop to turn away his wrath by a feigned submission.	true	1478.39	1488.03	20
8643_298549_000084_000002	Ay, this cowardly villain, whose heart's blood shall yet clot upon this hand, dared to strike my son with his open hand, to kick him, to tear hairs from his moustache-- to use him thus--and thus--and thus!"	Ay, this cowardly villain, whose heart's blood shall yet clot upon this hand, dared to strike my son with his open hand, to kick him, to tear hairs from his moustache- to use him thus-and thus-and thus!"	false	1488.03	1503.58	22.362686
8643_298549_000085_000000	The German writhed and struggled.	The German writhed and struggled.	true	1503.77	1506.42	20.434212
8643_298549_000085_000001	He was helpless in the hands of this huge giant whose blows were raining upon him.	He was helpless in the hands of this huge giant whose blows were raining upon him.	false	1506.42	1513.18	22.615446
8643_298549_000085_000002	When at last, blinded and half-senseless, he staggered to his feet, it was only to be hurled back again into the great oaken chair.	When at last, blinded and half senseless, he staggered to his feet, it was only to be hurled back again into the great oaken chair.	true	1513.18	1522.39	23.54069
8643_298549_000085_000003	He sobbed in his impotent anger and shame.	He sobbed in his impotent anger and shame.	true	1522.4	1525.99	20.751873
8643_298549_000086_000000	"My boy was frequently moved to tears by the humiliation of his position," continued the count.	"My boy was frequently moved to tears by the humiliation of his position," continued the count.	false	1526.06	1532.35	19.595604
8643_298549_000086_000001	"You will understand me when I say that it is a bitter thing to be helpless in the hands of an insolent and remorseless enemy.	"You will understand me when I say that it is a bitter thing to be helpless in the hands of an insolent and remorseless enemy.	true	1532.51	1541.38	22
8643_298549_000086_000002	On arriving at Carlsruhe, however, his face, which had been wounded by the brutality of his guard, was bound up by a young Bavarian subaltern who was touched by his appearance.	On arriving at Carlsruhe, however, his face, which had been wounded by the brutality of his guard, was bound up by a young Bavarian subaltern who was touched by his appearance.	false	1541.38	1553.76	23
8643_298549_000086_000003	I regret to see that your eye is bleeding so.	I regret to see that your eye is bleeding so.	true	1553.76	1556.89	21.56385
8643_298549_000086_000004	Will you permit me to bind it with my silk handkerchief?"	Will you permit me to bind it with my silk handkerchief?"	true	1557.14	1560.78	21.232777
8643_298549_000087_000000	He leaned forward, but the German dashed his hand aside.	He leaned forward, but the German dashed his hand aside.	false	1560.78	1564.72	20.258509
8643_298549_000088_000000	"I am in your power, you monster!" he cried; "I can endure your brutalities, but not your hypocrisy."	"I am in your power, you monster!" he cried; "I can endure your brutalities, but not your hypocrisy."	true	1564.72	1571.68	23.626247
8643_298549_000089_000000	The count shrugged his shoulders.	The count shrugged his shoulders.	true	1571.99	1573.78	18.546253
8643_298549_000090_000000	"I am taking things in their order, just as they occurred," said he. "I was under vow to tell it to the first German officer with whom I could talk _tete-a-tete_.	"I am taking things in their order, just as they occurred," said he. "I was under vow to tell it to the first German officer with whom I could talk underscore tete a tete underscore.	false	1573.88	1583.91	22.995508
8643_298549_000090_000001	Let me see, I had got as far as the young Bavarian at Carlsruhe.	Let me see, I had got as far as the young Bavarian at Carlsruhe.	true	1583.91	1588.82	20.182093
8643_298549_000090_000002	I regret extremely that you will not permit me to use such slight skill in surgery as I possess.	I regret extremely that you will not permit me to use such slight skill in surgery as I possess.	true	1588.82	1595.31	20
8643_298549_000090_000003	At Carlsruhe, my lad was shut up in the old caserne, where he remained for a fortnight. The worst pang of his captivity was that some unmannerly curs in the garrison would taunt him with his position as he sat by his window in the evening.	At Carlsruhe, my lad was shut up in the old caserne, where he remained for a fortnight. The worst pang of his captivity was that some unmannerly curs in the garrison would taunt him with his position as he sat by his window in the evening.	false	1595.31	1611.79	21.91885
8643_298549_000090_000004	That reminds me, captain, that you are not quite situated upon a bed of roses yourself, are you now?	That reminds me, captain, that you are not quite situated upon a bed of roses yourself, are you now?	true	1611.8	1618.44	22.910725
8643_298549_000090_000005	You came to trap a wolf, my man, and now the beast has you down with his fangs in your throat. A family man, too, I should judge, by that well-filled tunic.	You came to trap a wolf, my man, and now the beast has you down with his fangs in your throat. A family man, too, I should judge, by that well filled tunic.	false	1618.44	1629.46	21.747026
8643_298549_000090_000006	Well, a widow the more will make little matter, and they do not usually remain widows long.	Well, a widow the more will make little matter, and they do not usually remain widows long.	false	1629.46	1636.75	21.894924
8643_298549_000090_000007	Get back into the chair, you dog!	Get back into the chair, you dog!	true	1636.85	1639.57	21.94306
8643_298549_000091_000000	"Well, to continue my story--at the end of a fortnight my son and his friend escaped.	"Well, to continue my story-at the end of a fortnight my son and his friend escaped.	true	1640	1646.2	23.26736
8643_298549_000091_000001	I need not trouble you with the dangers which they ran, or with the privations which they endured.	I need not trouble you with the dangers which they ran, or with the privations which they endured.	true	1646.2	1652.23	19.222466
8643_298549_000091_000002	Suffice it that to disguise themselves they had to take the clothes of two peasants, whom they waylaid in a wood.	Suffice it that to disguise themselves they had to take the clothes of two peasants, whom they waylaid in a wood.	true	1652.23	1659.56	20.263315
8643_298549_000091_000003	Hiding by day and travelling by night, they had got as far into France as Remilly, and were within a mile--a single mile, captain--of crossing the German lines when a patrol of Uhlans came right upon them.	Hiding by day and travelling by night, they had got as far into France as Remilly, and were within a mile-a single mile, captain-of crossing the German lines when a patrol of Uhlans came right upon them.	true	1659.56	1674.3	20.751637
8643_298549_000091_000004	Ah! it was hard, was it not, when they had come so far and were so near to safety?"	Ah! it was hard, was it not, when they had come so far and were so near to safety?"	true	1674.3	1680.61	22.035803
8643_298549_000091_000005	The count blew a double call upon his whistle, and three hard-faced peasants entered the room.	The count blew a double call upon his whistle, and three hard faced peasants entered the room.	true	1680.68	1687.34	23.92559
8643_298549_000092_000000	"These must represent my Uhlans," said he.	"These must represent my Uhlans," said he.	true	1687.34	1691.19	24.853968
8643_298549_000092_000001	"Well, then, the captain in command, finding that these men were French soldiers in civilian dress within the German lines, proceeded to hang them without trial or ceremony.	"Well, then, the captain in command, finding that these men were French soldiers in civilian dress within the German lines, proceeded to hang them without trial or ceremony.	false	1691.19	1703.2	20.850082
8643_298549_000092_000002	I think, Jean, that the centre beam is the strongest."	I think, Jean, that the centre beam is the strongest."	true	1703.48	1706.85	19.593658
8643_298549_000093_000000	The unfortunate soldier was dragged from his chair to where a noosed rope had been flung over one of the huge oaken rafters which spanned the room.	The unfortunate soldier was dragged from his chair to where a noosed rope had been flung over one of the huge oaken rafters which spanned the room.	true	1706.85	1716.96	21.724785
8643_298549_000093_000001	The cord was slipped over his head, and he felt its harsh grip round his throat.	The cord was slipped over his head, and he felt its harsh grip round his throat.	false	1716.96	1722.94	23.231424
8643_298549_000093_000002	The three peasants seized the other end, and looked to the count for his orders.	The three peasants seized the other end, and looked to the count for his orders.	true	1722.94	1728.67	23
8643_298549_000093_000003	The officer, pale, but firm, folded his arms and stared defiantly at the man who tortured him.	The officer, pale, but firm, folded his arms and stared defiantly at the man who tortured him.	true	1728.67	1735.42	22.565208
8643_298549_000094_000000	"You are now face to face with death, and I perceive from your lips that you are praying.	"You are now face to face with death, and I perceive from your lips that you are praying.	false	1735.58	1741.53	22.350864
8643_298549_000094_000001	My son was also face to face with death, and he prayed, also.	My son was also face to face with death, and he prayed, also.	true	1741.53	1745.87	20.75019
8643_298549_000094_000002	It happened that a general officer came up, and he heard the lad praying for his mother, and it moved him so--he being himself a father--that he ordered his Uhlans away, and he remained with his aide-de-camp only, beside the condemned men.	It happened that a general officer came up, and he heard the lad praying for his mother, and it moved him so-he being himself a father-that he ordered his Uhlans away, and he remained with his aide de camp only, beside the condemned men.	false	1745.87	1760.62	19
8643_298549_000094_000003	And when he heard all the lad had to tell--that he was the only child of an old family, and that his mother was in failing health--he threw off the rope as I throw off this, and he kissed him on either cheek, as I kiss you, and he bade him go, as I bid you go, and may every kind wish of that noble general, though it could not stave off the fever which slew my son, descend now upon your head."	And when he heard all the lad had to tell-that he was the only child of an old family, and that his mother was in failing health-he threw off the rope as I throw off this, and he kissed him on either cheek, as I kiss you, and he bade him go, as I bid you go, and may every kind wish of that noble general, though it could not stave off the fever which slew my son, descend now upon your head."	false	1760.62	1787.8	20.613167
8643_298549_000095_000000	And so it was that Captain Baumgarten, disfigured, blinded, and bleeding, staggered out into the wind and the rain of that wild December dawn.	And so it was that Captain Baumgarten, disfigured, blinded, and bleeding, staggered out into the wind and the rain of that wild December dawn.	false	1787.81	1798.65	22.282095
8643_298549_000096_000000	THE STRIPED CHEST	THE STRIPED CHEST	false	1798.65	1799.43	7
8643_298549_000097_000000	"What do you make of her, Allardyce?" I asked.	"What do you make of her, Allardyce?" I asked.	false	1799.43	1801.56	22.30329
8643_298549_000098_000000	My second mate was standing beside me upon the poop, with his short, thick legs astretch, for the gale had left a considerable swell behind it, and our two quarter-boats nearly touched the water with every roll. He steadied his glass against the mizzen-shrouds, and he looked long and hard at this disconsolate stranger every time she came reeling up on to the crest of a roller and hung balanced for a few seconds before swooping down upon the other side.	My second mate was standing beside me upon the poop, with his short, thick legs astretch, for the gale had left a considerable swell behind it, and our two quarter boats nearly touched the water with every roll. He steadied his glass against the mizzen shrouds, and he looked long and hard at this disconsolate stranger every time she came reeling up on to the crest of a roller and hung balanced for a few seconds before swooping down upon the other side.	false	1801.56	1803.75	21.401602
8643_298549_000098_000001	She lay so low in the water that I could only catch an occasional glimpse of a pea-green line of bulwark. She was a brig, but her mainmast had been snapped short off some 10ft. above the deck, and no effort seemed to have been made to cut away the wreckage, which floated, sails and yards, like the broken wing of a wounded gull upon the water beside her.	She lay so low in the water that I could only catch an occasional glimpse of a pea green line of bulwark. She was a brig, but her mainmast had been snapped short off some ten feet. above the deck, and no effort seemed to have been made to cut away the wreckage, which floated, sails and yards, like the broken wing of a wounded gull upon the water beside her.	false	1803.75	1804.02	4
8643_298549_000098_000002	The foremast was still standing, but the foretopsail was flying loose, and the headsails were streaming out in long, white pennons in front of her.	The foremast was still standing, but the foretopsail was flying loose, and the headsails were streaming out in long, white pennons in front of her.	false	1804.02	1804.11	-1
8643_298549_000098_000003	Never have I seen a vessel which appeared to have gone through rougher handling.	Never have I seen a vessel which appeared to have gone through rougher handling.	false	1804.11	1804.17	9
8643_298549_000098_000004	But we could not be surprised at that, for there had been times during the last three days when it was a question whether our own barque would ever see land again.	But we could not be surprised at that, for there had been times during the last three days when it was a question whether our own barque would ever see land again.	false	1804.17	1804.29	19
8643_298549_000098_000005	For thirty-six hours we had kept her nose to it, and if the _Mary Sinclair_ had not been as good a seaboat as ever left the Clyde, we could not have gone through.	For thirty six hours we had kept her nose to it, and if the underscore Mary Sinclair underscore had not been as good a seaboat as ever left the Clyde, we could not have gone through.	false	1804.29	1804.44	9
8643_298549_000098_000006	And yet here we were at the end of it with the loss only of our gig and of part of the starboard bulwark. It did not astonish us, however, when the smother had cleared away, to find that others had been less lucky, and that this mutilated brig staggering about upon a blue sea and under a cloudless sky, had been left, like a blinded man after a lightning flash, to tell of the terror which is past.	And yet here we were at the end of it with the loss only of our gig and of part of the starboard bulwark. It did not astonish us, however, when the smother had cleared away, to find that others had been less lucky, and that this mutilated brig staggering about upon a blue sea and under a cloudless sky, had been left, like a blinded man after a lightning flash, to tell of the terror which is past.	false	1804.44	1804.74	7
8643_298549_000098_000007	Allardyce, who was a slow and methodical Scotchman, stared long and hard at the little craft, while our seamen lined the bulwark or clustered upon the fore shrouds to have a view of the stranger.	Allardyce, who was a slow and methodical Scotchman, stared long and hard at the little craft, while our seamen lined the bulwark or clustered upon the fore shrouds to have a view of the stranger.	false	1804.74	1805.31	28
8643_298549_000098_000008	In latitude 20 degrees and longitude 10 degrees, which were about our bearings, one becomes a little curious as to whom one meets, for one has left the main lines of Atlantic commerce to the north. For ten days we had been sailing over a solitary sea.	In latitude twenty degrees and longitude ten degrees, which were about our bearings, one becomes a little curious as to whom one meets, for one has left the main lines of Atlantic commerce to the north. For ten days we had been sailing over a solitary sea.	false	1805.31	1805.85	15
