3922_715_000002_000000	Chapter VIII.	Chapter eight.
3922_715_000090_000003	Maximov, hearing that Grushenka wanted to dance, squealed with delight, and ran skipping about in front of her, humming:	Maximov, hearing that Grushenka wanted to dance, squealed with delight, and ran skipping about in front of her, humming:
3922_715_000093_000001	Mitya, why don't they come?	Mitya, why don't they come?
3922_715_000093_000002	Let every one come ... to look on.	Let every one come ... to look on.
3922_715_000093_000003	Call them in, too, that were locked in....	Call them in, too, that were locked in....
3922_715_000093_000004	Why did you lock them in?	Why did you lock them in?
3922_715_000093_000005	Tell them I'm going to dance.	Tell them I'm going to dance.
3922_715_000093_000006	Let them look on, too...."	Let them look on, too...."
3922_715_000094_000000	Mitya walked with a drunken swagger to the locked door, and began knocking to the Poles with his fist.	Mitya walked with a drunken swagger to the locked door, and began knocking to the Poles with his fist.
3922_715_000095_000002	Come, she's going to dance.	Come, she's going to dance.
3922_715_000095_000003	She calls you."	She calls you."
3922_715_000097_000001	You're a little scoundrel, that's what you are."	You're a little scoundrel, that's what you are."
3922_715_000098_000001	He too was drunk.	He too was drunk.
3922_715_000099_000000	"Be quiet, boy!	"Be quiet, boy!
3922_715_000099_000001	If I call him a scoundrel, it doesn't mean that I called all Poland so.	If I call him a scoundrel, it doesn't mean that I called all Poland so.
3922_715_000099_000003	Be quiet, my pretty boy, eat a sweetmeat."	Be quiet, my pretty boy, eat a sweetmeat."
3922_715_000100_000001	As though they were not men.	As though they were not men.
3922_715_000100_000002	Why won't they make friends?" said Grushenka, and went forward to dance.	Why won't they make friends?" said Grushenka, and went forward to dance.
3922_715_000100_000003	The chorus broke into "Ah, my porch, my new porch!" Grushenka flung back her head, half opened her lips, smiled, waved her handkerchief, and suddenly, with a violent lurch, stood still in the middle of the room, looking bewildered.	The chorus broke into "Ah, my porch, my new porch!" Grushenka flung back her head, half opened her lips, smiled, waved her handkerchief, and suddenly, with a violent lurch, stood still in the middle of the room, looking bewildered.
3922_715_000101_000000	"I'm weak...." she said in an exhausted voice.	"I'm weak...." she said in an exhausted voice.
3922_715_000101_000001	"Forgive me....	"Forgive me....
3922_715_000101_000002	I'm weak, I can't....	I'm weak, I can't....
3922_715_000101_000003	I'm sorry."	I'm sorry."
3922_715_000102_000000	She bowed to the chorus, and then began bowing in all directions.	She bowed to the chorus, and then began bowing in all directions.
3922_715_000103_000000	"I'm sorry....	"I'm sorry....
3922_715_000103_000001	Forgive me...."	Forgive me...."
3922_715_000104_000000	"The lady's been drinking.	"The lady's been drinking.
3922_715_000104_000001	The pretty lady has been drinking," voices were heard saying.	The pretty lady has been drinking," voices were heard saying.
3922_715_000105_000000	"The lady's drunk too much," Maximov explained to the girls, giggling.	"The lady's drunk too much," Maximov explained to the girls, giggling.
3922_715_000106_000000	"Mitya, lead me away ... take me," said Grushenka helplessly.	"Mitya, lead me away ... take me," said Grushenka helplessly.
3922_715_000106_000001	Mitya pounced on her, snatched her up in his arms, and carried the precious burden through the curtains.	Mitya pounced on her, snatched her up in his arms, and carried the precious burden through the curtains.
3922_715_000107_000000	"Well, now I'll go," thought Kalganov, and walking out of the blue room, he closed the two halves of the door after him.	"Well, now I'll go," thought Kalganov, and walking out of the blue room, he closed the two halves of the door after him.
3922_715_000107_000002	Mitya laid Grushenka on the bed and kissed her on the lips.	Mitya laid Grushenka on the bed and kissed her on the lips.
3922_715_000108_000000	"Don't touch me...." she faltered, in an imploring voice.	"Don't touch me...." she faltered, in an imploring voice.
3922_715_000108_000001	"Don't touch me, till I'm yours....	"Don't touch me, till I'm yours....
3922_715_000108_000002	I've told you I'm yours, but don't touch me ... spare me....	I've told you I'm yours, but don't touch me ... spare me....
3922_715_000108_000003	With them here, with them close, you mustn't.	With them here, with them close, you mustn't.
3922_715_000108_000004	He's here.	He's here.
3922_715_000108_000005	It's nasty here...."	It's nasty here...."
3922_715_000109_000000	"I'll obey you!	"I'll obey you!
3922_715_000109_000001	I won't think of it ...	I won't think of it ...
3922_715_000109_000002	I worship you!" muttered Mitya. "Yes, it's nasty here, it's abominable."	I worship you!" muttered Mitya. "Yes, it's nasty here, it's abominable."
3922_715_000111_000000	"I know, though you're a brute, you're generous," Grushenka articulated with difficulty.	"I know, though you're a brute, you're generous," Grushenka articulated with difficulty.
3922_715_000111_000001	"It must be honorable ... it shall be honorable for the future ... and let us be honest, let us be good, not brutes, but good ... take me away, take me far away, do you hear?	"It must be honorable ... it shall be honorable for the future ... and let us be honest, let us be good, not brutes, but good ... take me away, take me far away, do you hear?
3922_715_000111_000002	I don't want it to be here, but far, far away...."	I don't want it to be here, but far, far away...."
3922_715_000112_000000	"Oh, yes, yes, it must be!" said Mitya, pressing her in his arms.	"Oh, yes, yes, it must be!" said Mitya, pressing her in his arms.
3922_715_000112_000001	"I'll take you and we'll fly away....	"I'll take you and we'll fly away....
3922_715_000112_000002	Oh, I'd give my whole life for one year only to know about that blood!"	Oh, I'd give my whole life for one year only to know about that blood!"
3922_715_000113_000000	"What blood?" asked Grushenka, bewildered.	"What blood?" asked Grushenka, bewildered.
3922_715_000114_000000	"Nothing," muttered Mitya, through his teeth.	"Nothing," muttered Mitya, through his teeth.
3922_715_000114_000001	"Grusha, you wanted to be honest, but I'm a thief.	"Grusha, you wanted to be honest, but I'm a thief.
3922_715_000114_000002	But I've stolen money from Katya....	But I've stolen money from Katya....
3922_715_000115_000000	"From Katya, from that young lady?	"From Katya, from that young lady?
3922_715_000115_000001	No, you didn't steal it.	No, you didn't steal it.
3922_715_000115_000003	Why make a fuss?	Why make a fuss?
3922_715_000115_000004	Now everything of mine is yours.	Now everything of mine is yours.
3922_715_000115_000005	What does money matter?	What does money matter?
3922_715_000115_000006	We shall waste it anyway....	We shall waste it anyway....
3922_715_000115_000007	Folks like us are bound to waste money.	Folks like us are bound to waste money.
3922_715_000115_000008	But we'd better go and work the land.	But we'd better go and work the land.
3922_715_000115_000009	I want to dig the earth with my own hands.	I want to dig the earth with my own hands.
3922_715_000115_000010	We must work, do you hear?	We must work, do you hear?
3922_715_000115_000012	I won't be your mistress, I'll be faithful to you, I'll be your slave, I'll work for you.	I won't be your mistress, I'll be faithful to you, I'll be your slave, I'll work for you.
3922_715_000115_000013	We'll go to the young lady and bow down to her together, so that she may forgive us, and then we'll go away.	We'll go to the young lady and bow down to her together, so that she may forgive us, and then we'll go away.
3922_715_000115_000014	And if she won't forgive us, we'll go, anyway.	And if she won't forgive us, we'll go, anyway.
3922_715_000115_000016	Don't love her any more.	Don't love her any more.
3922_715_000115_000017	If you love her, I shall strangle her....	If you love her, I shall strangle her....
3922_715_000115_000018	I'll put out both her eyes with a needle...."	I'll put out both her eyes with a needle...."
3922_715_000116_000000	"I love you.	"I love you.
3922_715_000116_000001	I love only you.	I love only you.
3922_715_000117_000000	"Why Siberia?	"Why Siberia?
3922_715_000117_000002	I don't care ... we'll work ... there's snow in Siberia....	I don't care ... we'll work ... there's snow in Siberia....
3922_715_000117_000003	I love driving in the snow ... and must have bells....	I love driving in the snow ... and must have bells....
3922_715_000117_000004	Do you hear, there's a bell ringing?	Do you hear, there's a bell ringing?
3922_715_000117_000005	Where is that bell ringing?	Where is that bell ringing?
3922_715_000117_000006	There are people coming....	There are people coming....
3922_715_000117_000007	Now it's stopped."	Now it's stopped."
3922_715_000118_000001	Mitya let his head sink on her breast.	Mitya let his head sink on her breast.
3922_715_000118_000003	Grushenka opened her eyes.	Grushenka opened her eyes.
3922_715_000119_000000	"What's the matter?	"What's the matter?
3922_715_000119_000002	Yes ... a bell ...	Yes ... a bell ...
3922_715_000119_000003	I've been asleep and dreamt I was driving over the snow with bells, and I dozed.	I've been asleep and dreamt I was driving over the snow with bells, and I dozed.
3922_715_000119_000005	And far, far away.	And far, far away.
3922_715_000120_000000	"Close to you," murmured Mitya, kissing her dress, her bosom, her hands. And suddenly he had a strange fancy: it seemed to him that she was looking straight before her, not at him, not into his face, but over his head, with an intent, almost uncanny fixity.	"Close to you," murmured Mitya, kissing her dress, her bosom, her hands. And suddenly he had a strange fancy: it seemed to him that she was looking straight before her, not at him, not into his face, but over his head, with an intent, almost uncanny fixity.
3922_715_000120_000001	An expression of wonder, almost of alarm, came suddenly into her face.	An expression of wonder, almost of alarm, came suddenly into her face.
3922_715_000122_000000	Mitya turned, and saw that some one had, in fact, parted the curtains and seemed to be watching them.	Mitya turned, and saw that some one had, in fact, parted the curtains and seemed to be watching them.
3922_715_000122_000001	And not one person alone, it seemed.	And not one person alone, it seemed.
3922_715_000123_000000	He jumped up and walked quickly to the intruder.	He jumped up and walked quickly to the intruder.
3922_715_000124_000000	"Here, come to us, come here," said a voice, speaking not loudly, but firmly and peremptorily.	"Here, come to us, come here," said a voice, speaking not loudly, but firmly and peremptorily.
3922_715_000125_000000	Mitya passed to the other side of the curtain and stood stock still.	Mitya passed to the other side of the curtain and stood stock still.
3922_715_000125_000001	The room was filled with people, but not those who had been there before.	The room was filled with people, but not those who had been there before.
3922_715_000125_000003	He recognized all those people instantly.	He recognized all those people instantly.
3922_715_000125_000005	And that "consumptive-looking" trim dandy, "who always has such polished boots"--that was the deputy prosecutor.	And that "consumptive looking" trim dandy, "who always has such polished boots"--that was the deputy prosecutor.
3922_715_000125_000006	"He has a chronometer worth four hundred roubles; he showed it to me." And that small young man in spectacles....	"He has a chronometer worth four hundred roubles; he showed it to me." And that small young man in spectacles....
3922_715_000125_000008	And this man--the inspector of police, Mavriky Mavrikyevitch, a man he knew well.	And this man-the inspector of police, Mavriky Mavrikyevitch, a man he knew well.
3922_715_000125_000009	And those fellows with the brass plates on, why are they here?	And those fellows with the brass plates on, why are they here?
3922_715_000125_000010	And those other two ... peasants.... And there at the door Kalganov with Trifon Borissovitch....	And those other two ... peasants.... And there at the door Kalganov with Trifon Borissovitch....
3922_715_000126_000000	"Gentlemen!	"Gentlemen!
3922_715_000126_000001	What's this for, gentlemen?" began Mitya, but suddenly, as though beside himself, not knowing what he was doing, he cried aloud, at the top of his voice:	What's this for, gentlemen?" began Mitya, but suddenly, as though beside himself, not knowing what he was doing, he cried aloud, at the top of his voice:
3922_715_000128_000000	The young man in spectacles moved forward suddenly, and stepping up to Mitya, began with dignity, though hurriedly:	The young man in spectacles moved forward suddenly, and stepping up to Mitya, began with dignity, though hurriedly:
3922_715_000129_000000	"We have to make ... in brief, I beg you to come this way, this way to the sofa....	"We have to make ... in brief, I beg you to come this way, this way to the sofa....
3922_715_000130_000000	"The old man!" cried Mitya frantically.	"The old man!" cried Mitya frantically.
3922_715_000131_000000	And he sank, almost fell, on a chair close by, as though he had been mown down by a scythe.	And he sank, almost fell, on a chair close by, as though he had been mown down by a scythe.
3922_715_000132_000000	"You understand?	"You understand?
3922_715_000132_000002	Monster and parricide!	Monster and parricide!
3922_715_000132_000003	Your father's blood cries out against you!" the old captain of police roared suddenly, stepping up to Mitya.	Your father's blood cries out against you!" the old captain of police roared suddenly, stepping up to Mitya.
3922_715_000133_000000	He was beside himself, crimson in the face and quivering all over.	He was beside himself, crimson in the face and quivering all over.
3922_715_000134_000000	"This is impossible!" cried the small young man.	"This is impossible!" cried the small young man.
3922_715_000134_000001	"Mihail Makarovitch, Mihail Makarovitch, this won't do!...	"Mihail Makarovitch, Mihail Makarovitch, this won't do!...
3922_715_000134_000002	I beg you'll allow me to speak.	I beg you'll allow me to speak.
3922_715_000135_000000	"This is delirium, gentlemen, raving delirium," cried the captain of police; "look at him: drunk, at this time of night, in the company of a disreputable woman, with the blood of his father on his hands....	"This is delirium, gentlemen, raving delirium," cried the captain of police; "look at him: drunk, at this time of night, in the company of a disreputable woman, with the blood of his father on his hands....
3922_715_000136_000000	"I beg you most earnestly, dear Mihail Makarovitch, to restrain your feelings," the prosecutor said in a rapid whisper to the old police captain, "or I shall be forced to resort to--"	"I beg you most earnestly, dear Mihail Makarovitch, to restrain your feelings," the prosecutor said in a rapid whisper to the old police captain, "or I shall be forced to resort to-"
3922_715_000137_000000	But the little lawyer did not allow him to finish.	But the little lawyer did not allow him to finish.
3922_715_000137_000001	He turned to Mitya, and delivered himself in a loud, firm, dignified voice:	He turned to Mitya, and delivered himself in a loud, firm, dignified voice:
3922_715_000139_000000	He said something more, and the prosecutor, too, put in something, but though Mitya heard them he did not understand them.	He said something more, and the prosecutor, too, put in something, but though Mitya heard them he did not understand them.
