3728_105398_000000_000000	Marguerite turned it over in her fingers, and then studied the engraving on the shield.	Marguerite turned it over in her fingers, and then studied the engraving on the shield.	false	3.03	8.28	22.621996
3728_105398_000072_000000	How could she imagine that a man who could love with so much intensity as Percy Blakeney had loved her from the first--how could such a man be the brainless idiot he chose to appear?	How could she imagine that a man who could love with so much intensity as Percy Blakeney had loved her from the first-how could such a man be the brainless idiot he chose to appear?	true	834.59	844.66	22.05975
3728_105398_000072_000001	She, at least, ought to have known that he was wearing a mask, and having found that out, she should have torn it from his face, whenever they were alone together.	She, at least, ought to have known that he was wearing a mask, and having found that out, she should have torn it from his face, whenever they were alone together.	true	844.79	853.36	22.28623
3728_105398_000073_000000	Her love for him had been paltry and weak, easily crushed by her own pride; and she, too, had worn a mask in assuming a contempt for him, whilst, as a matter of fact, she completely misunderstood him.	Her love for him had been paltry and weak, easily crushed by her own pride; and she, too, had worn a mask in assuming a contempt for him, whilst, as a matter of fact, she completely misunderstood him.	false	853.61	866.29	22.51773
3728_105398_000074_000000	But there was no time now to go over the past.	But there was no time now to go over the past.	true	866.54	869.43	22.19963
3728_105398_000074_000001	By her own blindness she had sinned; now she must repay, not by empty remorse, but by prompt and useful action.	By her own blindness she had sinned; now she must repay, not by empty remorse, but by prompt and useful action.	true	869.43	876.73	22.603888
3728_105398_000075_000000	Percy had started for Calais, utterly unconscious of the fact that his most relentless enemy was on his heels.	Percy had started for Calais, utterly unconscious of the fact that his most relentless enemy was on his heels.	true	876.95	883.57	23.254871
3728_105398_000075_000001	He had set sail early that morning from London Bridge.	He had set sail early that morning from London Bridge.	true	883.85	886.905	20.008698
3728_105398_000075_000002	Provided he had a favourable wind, he would no doubt be in France within twenty-four hours; no doubt he had reckoned on the wind and chosen this route.	Provided he had a favourable wind, he would no doubt be in France within twenty four hours; no doubt he had reckoned on the wind and chosen this route.	true	886.905	895.72	22.271736
3728_105398_000076_000000	Chauvelin, on the other hand, would post to Dover, charter a vessel there, and undoubtedly reach Calais much about the same time.	Chauvelin, on the other hand, would post to Dover, charter a vessel there, and undoubtedly reach Calais much about the same time.	true	896.42	903.76	22.293106
3728_105398_000076_000001	Once in Calais, Percy would meet all those who were eagerly waiting for the noble and brave Scarlet Pimpernel, who had come to rescue them from horrible and unmerited death.	Once in Calais, Percy would meet all those who were eagerly waiting for the noble and brave Scarlet Pimpernel, who had come to rescue them from horrible and unmerited death.	true	903.98	914.175	21.931477
3728_105398_000076_000002	With Chauvelin's eyes now fixed upon his every movement, Percy would thus not only be endangering his own life, but that of Suzanne's father, the old Comte de Tournay, and of those other fugitives who were waiting for him and trusting in him.	With Chauvelin's eyes now fixed upon his every movement, Percy would thus not only be endangering his own life, but that of Suzanne's father, the old Comte de Tournay, and of those other fugitives who were waiting for him and trusting in him.	true	914.175	927.58	21.388842
3728_105398_000076_000003	There was also Armand, who had gone to meet de Tournay, secure in the knowledge that the Scarlet Pimpernel was watching over his safety.	There was also Armand, who had gone to meet de Tournay, secure in the knowledge that the Scarlet Pimpernel was watching over his safety.	false	928.7	935.77	21.203726
3728_105398_000077_000000	All these lives and that of her husband, lay in Marguerite's hands; these she must save, if human pluck and ingenuity were equal to the task.	All these lives and that of her husband, lay in Marguerite's hands; these she must save, if human pluck and ingenuity were equal to the task.	false	936.11	946.6	21.685595
3728_105398_000078_000000	Unfortunately, she could not do all this quite alone.	Unfortunately, she could not do all this quite alone.	true	946.88	950.4	22.345015
3728_105398_000078_000001	Once in Calais she would not know where to find her husband, whilst Chauvelin, in stealing the papers at Dover, had obtained the whole itinerary.	Once in Calais she would not know where to find her husband, whilst Chauvelin, in stealing the papers at Dover, had obtained the whole itinerary.	true	950.4	958.78	22.985813
3728_105398_000078_000002	Above every thing, she wished to warn Percy.	Above every thing, she wished to warn Percy.	true	958.91	962.11	25.277357
3728_105398_000079_000000	She knew enough about him by now to understand that he would never abandon those who trusted in him, that he would not turn his back from danger, and leave the Comte de Tournay to fall into the bloodthirsty hands that knew of no mercy.	She knew enough about him by now to understand that he would never abandon those who trusted in him, that he would not turn his back from danger, and leave the Comte de Tournay to fall into the bloodthirsty hands that knew of no mercy.	true	962.75	975.82	23.265055
3728_105398_000079_000001	But if he were warned, he might form new plans, be more wary, more prudent.	But if he were warned, he might form new plans, be more wary, more prudent.	true	975.92	981.49	22.610401
3728_105398_000079_000002	Unconsciously, he might fall into a cunning trap, but--once warned--he might yet succeed.	Unconsciously, he might fall into a cunning trap, but-once warned-he might yet succeed.	true	981.56	987.73	23.957607
3728_105398_000080_000000	And if he failed--if indeed Fate, and Chauvelin, with all the resources at his command, proved too strong for the daring plotter after all--then at least she would be there by his side, to comfort, love and cherish, to cheat death perhaps at the last by making it seem sweet, if they died both together, locked in each other's arms, with the supreme happiness of knowing that passion had responded to passion, and that all misunderstandings were at an end.	And if he failed-if indeed Fate, and Chauvelin, with all the resources at his command, proved too strong for the daring plotter after all-then at least she would be there by his side, to comfort, love and cherish, to cheat death perhaps at the last by making it seem sweet, if they died both together, locked in each other's arms, with the supreme happiness of knowing that passion had responded to passion, and that all misunderstandings were at an end.	true	988.01	1015.84	23.267532
3728_105398_000081_000000	Her whole body stiffened as with a great and firm resolution.	Her whole body stiffened as with a great and firm resolution.	true	1016.72	1020.76	20.812016
3728_105398_000081_000001	This she meant to do, if God gave her wits and strength.	This she meant to do, if God gave her wits and strength.	true	1020.83	1024.24	22.305468
3728_105398_000081_000002	Her eyes lost their fixed look; they glowed with inward fire at the thought of meeting him again so soon, in the very midst of most deadly perils; they sparkled with the joy of sharing these dangers with him--of helping him perhaps--of being with him at the last--if she failed.	Her eyes lost their fixed look; they glowed with inward fire at the thought of meeting him again so soon, in the very midst of most deadly perils; they sparkled with the joy of sharing these dangers with him-of helping him perhaps-of being with him at the last-if she failed.	true	1024.24	1041.43	22.56192
3728_105398_000082_000000	The childlike sweet face had become hard and set, the curved mouth was closed tightly over her clenched teeth.	The childlike sweet face had become hard and set, the curved mouth was closed tightly over her clenched teeth.	true	1041.86	1049.04	23.380512
3728_105398_000082_000001	She meant to do or die, with him and for his sake.	She meant to do or die, with him and for his sake.	true	1049.04	1053.37	23.177492
3728_105398_000082_000002	A frown, which spoke of an iron will and unbending resolution, appeared between the two straight brows; already her plans were formed.	A frown, which spoke of an iron will and unbending resolution, appeared between the two straight brows; already her plans were formed.	true	1054.19	1062.9	22.209858
3728_105398_000082_000003	She would go and find Sir Andrew Ffoulkes first; he was Percy's best friend, and Marguerite remembered, with a thrill, with what blind enthusiasm the young man always spoke of his mysterious leader.	She would go and find Sir Andrew Ffoulkes first; he was Percy's best friend, and Marguerite remembered, with a thrill, with what blind enthusiasm the young man always spoke of his mysterious leader.	true	1062.9	1073.77	23.44036
3728_105398_000083_000000	He would help her where she needed help; her coach was ready.	He would help her where she needed help; her coach was ready.	true	1074.05	1077.36	22.2598
3728_105398_000083_000001	A change of raiment, and a farewell to little Suzanne, and she could be on her way.	A change of raiment, and a farewell to little Suzanne, and she could be on her way.	true	1077.36	1081.96	22.015364
3728_105398_000084_000000	Without haste, but without hesitation, she walked quietly into the house.	Without haste, but without hesitation, she walked quietly into the house.	false	1082.78	1100.43	20.67737
