3003_14274_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
3003_14274_000053_000001	Lieutenant Baldwin was close upon him then, his horse looking very small and slender by the side of the grand animal that was taking easy, swinging strides, apparently without effort and without speed, his tongue lolling at one side.	Lieutenant Baldwin was close upon him then, his horse looking very small and slender by the side of the grand animal that was taking easy, swinging strides, apparently without effort and without speed, his tongue lolling at one side.
3003_14274_000053_000002	But we could see that the pace was really terrific--that Lieutenant Baldwin was freely using the spur, and that his swift thoroughbred was stretched out like a greyhound, straining every muscle in his effort to keep up.	But we could see that the pace was really terrific-that Lieutenant Baldwin was freely using the spur, and that his swift thoroughbred was stretched out like a greyhound, straining every muscle in his effort to keep up.
3003_14274_000054_000000	My horse behaved very well--just whirling around a few times--but Faye was kept busy a minute or two by his, for the poor horse was awfully frightened, and lunged and reared and snorted; but I knew that he could not unseat Faye, so I rather enjoyed it, for you know I had wanted to go back a little!	My horse behaved very well-just whirling around a few times-but Faye was kept busy a minute or two by his, for the poor horse was awfully frightened, and lunged and reared and snorted; but I knew that he could not unseat Faye, so I rather enjoyed it, for you know I had wanted to go back a little!
3003_14274_000055_000000	Lieutenant Baldwin and the buffalo were soon far away, and when our horses had quieted down we recalled that shots had been fired in another direction, and looking about, we saw a pathetic sight.	Lieutenant Baldwin and the buffalo were soon far away, and when our horses had quieted down we recalled that shots had been fired in another direction, and looking about, we saw a pathetic sight.
3003_14274_000055_000001	Lieutenant Alden was on his horse, and facing him was an immense buffalo, standing perfectly still with chin drawn in and horns to the front, ready for battle.	Lieutenant Alden was on his horse, and facing him was an immense buffalo, standing perfectly still with chin drawn in and horns to the front, ready for battle.
3003_14274_000055_000002	It was plain to be seen that the poor horse was not enjoying the meeting, for every now and then he would try to back away, or give a jump sideways.	It was plain to be seen that the poor horse was not enjoying the meeting, for every now and then he would try to back away, or give a jump sideways.
3003_14274_000055_000003	The buffalo was wounded and unable to run, but he could still turn around fast enough to keep his head toward the horse, and this he did every time Lieutenant Alden tried to get an aim at his side.	The buffalo was wounded and unable to run, but he could still turn around fast enough to keep his head toward the horse, and this he did every time Lieutenant Alden tried to get an aim at his side.
3003_14274_000056_000000	There was no possibility of his killing him without assistance, and of course the poor beast could not be abandoned in such a helpless condition, so Faye decided to go over and worry him, while Lieutenant Alden got in the fatal shot.	There was no possibility of his killing him without assistance, and of course the poor beast could not be abandoned in such a helpless condition, so Faye decided to go over and worry him, while Lieutenant Alden got in the fatal shot.
3003_14274_000056_000001	As soon as Faye got there I put my fingers over my ears so that I would not hear the report of the pistol.	As soon as Faye got there I put my fingers over my ears so that I would not hear the report of the pistol.
3003_14274_000056_000002	After a while I looked across, and there was the buffalo still standing, and both Faye and Lieutenant Alden were beckoning for me to come to them.	After a while I looked across, and there was the buffalo still standing, and both Faye and Lieutenant Alden were beckoning for me to come to them.
3003_14274_000056_000004	I saw no glory in shooting a wounded animal, so I turned my horse back again, but had not gone far before I heard the pistol shot.	I saw no glory in shooting a wounded animal, so I turned my horse back again, but had not gone far before I heard the pistol shot.
3003_14274_000057_000001	They said he was a magnificent specimen--unusually large, and very black--what they call a blue skin--with a splendid head and beard.	They said he was a magnificent specimen-unusually large, and very black-what they call a blue skin-with a splendid head and beard.
3003_14274_000058_000000	Very soon after that Faye and I came on home, reaching the post about seven o'clock.	Very soon after that Faye and I came on home, reaching the post about seven o'clock.
3003_14274_000058_000002	But I got through the day very well, considering the very short time I have been riding--that is, really riding.	But I got through the day very well, considering the very short time I have been riding-that is, really riding.
3003_14274_000059_000000	The rest of the party did not come in until several hours later; but they brought the meat and skins of four buffalo, and the head of Lieutenant Alden's, which he will send East to be mounted.	The rest of the party did not come in until several hours later; but they brought the meat and skins of four buffalo, and the head of Lieutenant Alden's, which he will send East to be mounted.
3003_14274_000059_000001	The skin he intends to take to an Indian camp, to be tanned by the squaws. Lieutenant Baldwin followed his buffalo until he got in the position he wanted, and then killed him with one shot.	The skin he intends to take to an Indian camp, to be tanned by the squaws. Lieutenant Baldwin followed his buffalo until he got in the position he wanted, and then killed him with one shot.
3003_14274_000059_000002	Faye says that only a cool head and experience could have done that.	Faye says that only a cool head and experience could have done that.
3003_14274_000059_000003	Much depends upon the horse, too, for so many horses are afraid of a buffalo, and lunge sideways just at the critical moment.	Much depends upon the horse, too, for so many horses are afraid of a buffalo, and lunge sideways just at the critical moment.
3003_14274_000060_000000	Several experienced hunters tell marvelous tales of how they have stood within a few yards of a buffalo and fired shot after shot from a Springfield rifle, straight at his head, the balls producing no effect whatever, except, perhaps, a toss of the head and the flying out of a tuft of hair.	Several experienced hunters tell marvelous tales of how they have stood within a few yards of a buffalo and fired shot after shot from a Springfield rifle, straight at his head, the balls producing no effect whatever, except, perhaps, a toss of the head and the flying out of a tuft of hair.
3003_14274_000060_000001	Every time the ball would glance off from the thick skull. The wonderful mat of curly hair must break the force some, too.	Every time the ball would glance off from the thick skull. The wonderful mat of curly hair must break the force some, too.
3003_14274_000061_000000	FORT LYON, COLORADO TERRITORY, December, 1871.	FORT LYON, COLORADO TERRITORY, December, eighteen seventy one.
3003_14274_000062_000000	OUR first Christmas on the frontier was ever so pleasant, but it certainly was most vexatious not to have that box from home.	OUR first Christmas on the frontier was ever so pleasant, but it certainly was most vexatious not to have that box from home.
3003_14274_000062_000001	And I expect that it has been at Kit Carson for days, waiting to be brought down.	And I expect that it has been at Kit Carson for days, waiting to be brought down.
3003_14274_000062_000002	We had quite a little Christmas without it, however, for a number of things came from the girls, and several women of the garrison sent pretty little gifts to me.	We had quite a little Christmas without it, however, for a number of things came from the girls, and several women of the garrison sent pretty little gifts to me.
3003_14274_000062_000004	All the little presents were spread out on a table, and in a way to make them present as fine an appearance as possible.	All the little presents were spread out on a table, and in a way to make them present as fine an appearance as possible.
3003_14274_000062_000006	I did this to let everyone know that we had not been forgotten by home people.	I did this to let everyone know that we had not been forgotten by home people.
3003_14274_000063_000000	They have such a charming custom in the Army of going along the line Christmas morning and giving each other pleasant greetings and looking at the pretty things everyone has received.	They have such a charming custom in the Army of going along the line Christmas morning and giving each other pleasant greetings and looking at the pretty things everyone has received.
3003_14274_000063_000001	This is a rare treat out here, where we are so far from shops and beautiful Christmas displays. We all went to the bachelors' quarters, almost everyone taking over some little remembrance--homemade candy, cakes, or something of that sort.	This is a rare treat out here, where we are so far from shops and beautiful Christmas displays. We all went to the bachelors' quarters, almost everyone taking over some little remembrance-homemade candy, cakes, or something of that sort.
3003_14274_000064_000000	I had a splendid cake to send over that morning, and I will tell you just what happened to it.	I had a splendid cake to send over that morning, and I will tell you just what happened to it.
3003_14274_000064_000001	At home we always had a large fruit cake made for the holidays, long in advance, and I thought I would have one this year as near like it as possible.	At home we always had a large fruit cake made for the holidays, long in advance, and I thought I would have one this year as near like it as possible.
3003_14274_000064_000002	But it seemed that the only way to get it was to make it.	But it seemed that the only way to get it was to make it.
3003_14274_000064_000003	So, about four weeks ago, I commenced.	So, about four weeks ago, I commenced.
3003_14274_000065_000000	Well, for two long, tiresome days I worked over that cake, preparing with my own fingers every bit of the fruit, which I consider was a fine test of perseverance and staying qualities.	Well, for two long, tiresome days I worked over that cake, preparing with my own fingers every bit of the fruit, which I consider was a fine test of perseverance and staying qualities.
3003_14274_000065_000001	After the ingredients were all mixed together there seemed to be enough for a whole regiment, so we decided to make two cakes of it.	After the ingredients were all mixed together there seemed to be enough for a whole regiment, so we decided to make two cakes of it.
3003_14274_000065_000002	They looked lovely when baked, and just right, and smelled so good, too!	They looked lovely when baked, and just right, and smelled so good, too!
3003_14274_000065_000003	I wrapped them in nice white paper that had been wet with brandy, and put them carefully away--one in a stone jar, the other in a tin box--and felt that I had done a remarkably fine bit of housekeeping.	I wrapped them in nice white paper that had been wet with brandy, and put them carefully away-one in a stone jar, the other in a tin box-and felt that I had done a remarkably fine bit of housekeeping.
3003_14274_000065_000004	The bachelors have been exceedingly kind to me, and I rejoiced at having a nice cake to send them Christmas morning.	The bachelors have been exceedingly kind to me, and I rejoiced at having a nice cake to send them Christmas morning.
3003_14274_000065_000005	But alas!	But alas!
3003_14274_000065_000006	I forgot that the little house was fragrant with the odor of spice and fruit, and that there was a man about who was ever on the lookout for good things to eat.	I forgot that the little house was fragrant with the odor of spice and fruit, and that there was a man about who was ever on the lookout for good things to eat.
3003_14274_000065_000007	It is a shame that those cadets at West Point are so starved.	It is a shame that those cadets at West Point are so starved.
3003_14274_000065_000008	They seem to be simply famished for months after they graduate.	They seem to be simply famished for months after they graduate.
3003_14274_000066_000000	It so happened that there was choir practice that very evening, and that I was at the chapel an hour or so.	It so happened that there was choir practice that very evening, and that I was at the chapel an hour or so.
3003_14274_000066_000002	Before I was quite in the room they all stood up and began to praise the cake.	Before I was quite in the room they all stood up and began to praise the cake.
3003_14274_000066_000003	I think Faye was the first to mention it, saying it was a "great success"; then the others said "perfectly delicious," and so on, but at the same time assuring me that a large piece had been left for me.	I think Faye was the first to mention it, saying it was a "great success"; then the others said "perfectly delicious," and so on, but at the same time assuring me that a large piece had been left for me.
3003_14274_000067_000000	For one minute I stood still, not in the least grasping their meaning; but finally I suspected mischief, they all looked so serenely contented. So I passed on to the dining room, and there, on the table, was one of the precious cakes---at least what was left of it, the very small piece that had been so generously saved for me.	For one minute I stood still, not in the least grasping their meaning; but finally I suspected mischief, they all looked so serenely contented. So I passed on to the dining room, and there, on the table, was one of the precious cakes---at least what was left of it, the very small piece that had been so generously saved for me.
3003_14274_000067_000001	And there were plates with crumbs, and napkins, that told the rest of the sad tale--and there was wine and empty glasses, also.	And there were plates with crumbs, and napkins, that told the rest of the sad tale-and there was wine and empty glasses, also.
3003_14274_000067_000003	Their early Christmas had been a fine one.	Their early Christmas had been a fine one.
3003_14274_000067_000004	There was nothing for me to say or do--at least not just then--so I went back to the little living-room and forced myself to be halfway pleasant to the four men who were there, each one looking precisely like the cat after it had eaten the canary!	There was nothing for me to say or do-at least not just then-so I went back to the little living room and forced myself to be halfway pleasant to the four men who were there, each one looking precisely like the cat after it had eaten the canary!
3003_14274_000067_000005	The cake was scarcely cold, and must have been horribly sticky--and I remember wondering, as I sat there, which one would need the doctor first, and what the doctor would do if they were all seized with cramps at the same time.	The cake was scarcely cold, and must have been horribly sticky-and I remember wondering, as I sat there, which one would need the doctor first, and what the doctor would do if they were all seized with cramps at the same time.
3003_14274_000067_000006	But they were not ill--not in the least--which proved that the cake was well baked.	But they were not ill-not in the least-which proved that the cake was well baked.
3003_14274_000068_000001	We sang our Christmas music, and received many compliments.	We sang our Christmas music, and received many compliments.
3003_14274_000068_000003	Both General Phillips and Major Pierce have fine voices.	Both General Phillips and Major Pierce have fine voices.
3003_14274_000068_000004	One of the infantry sergeants plays the organ now, for it was quite too hard for me to sing and work those old pedals.	One of the infantry sergeants plays the organ now, for it was quite too hard for me to sing and work those old pedals.
3003_14274_000068_000005	Once I forgot them entirely, and everybody smiled--even the chaplain!	Once I forgot them entirely, and everybody smiled-even the chaplain!
3003_14274_000069_000000	From the chapel we--that is, the company officers and their wives--went to the company barracks to see the men's dinner tables.	From the chapel we-that is, the company officers and their wives-went to the company barracks to see the men's dinner tables.
3003_14274_000069_000001	When we entered the dining hall we found the entire company standing in two lines, one down each side, every man in his best inspection uniform, and every button shining.	When we entered the dining hall we found the entire company standing in two lines, one down each side, every man in his best inspection uniform, and every button shining.
3003_14274_000069_000002	With eyes to the front and hands down their sides they looked absurdly like wax figures waiting to be "wound up," and I did want so much to tell the little son of General Phillips to pinch one and make him jump.	With eyes to the front and hands down their sides they looked absurdly like wax figures waiting to be "wound up," and I did want so much to tell the little son of General Phillips to pinch one and make him jump.
3003_14274_000069_000003	He would have done it, too, and then put all the blame upon me, without loss of time.	He would have done it, too, and then put all the blame upon me, without loss of time.
3003_14274_000070_000000	The first sergeant came to meet us, and went around with us.	The first sergeant came to meet us, and went around with us.
3003_14274_000070_000001	There were three long tables, fairly groaning with things upon them: buffalo, antelope, boiled ham, several kinds of vegetables, pies, cakes, quantities of pickles, dried "apple-duff," and coffee, and in the center of each table, high up, was a huge cake thickly covered with icing. These were the cakes that Mrs. Phillips, Mrs. Barker, and I had sent over that morning.	There were three long tables, fairly groaning with things upon them: buffalo, antelope, boiled ham, several kinds of vegetables, pies, cakes, quantities of pickles, dried "apple duff," and coffee, and in the center of each table, high up, was a huge cake thickly covered with icing. These were the cakes that mrs Phillips, mrs Barker, and I had sent over that morning.
3003_14274_000070_000002	It is the custom in the regiment for the wives of the officers every Christmas to send the enlisted men of their husbands' companies large plum cakes, rich with fruit and sugar.	It is the custom in the regiment for the wives of the officers every Christmas to send the enlisted men of their husbands' companies large plum cakes, rich with fruit and sugar.
3003_14274_000071_000000	The hall was very prettily decorated with flags and accoutrements, but one missed the greens.	The hall was very prettily decorated with flags and accoutrements, but one missed the greens.
3003_14274_000071_000001	There are no evergreen trees here, only cottonwood.	There are no evergreen trees here, only cottonwood.
3003_14274_000071_000002	Before coming out, General Phillips said a few pleasant words to the men, wishing them a "Merry Christmas" for all of us. Judging from the laughing and shuffling of feet as soon as we got outside, the men were glad to be allowed to relax once more.	Before coming out, General Phillips said a few pleasant words to the men, wishing them a "Merry Christmas" for all of us. Judging from the laughing and shuffling of feet as soon as we got outside, the men were glad to be allowed to relax once more.
3003_14274_000072_000000	At six o'clock Faye and I, Lieutenant Baldwin, and Lieutenant Alden dined with Doctor and Mrs. Wilder.	At six o'clock Faye and I, Lieutenant Baldwin, and Lieutenant Alden dined with Doctor and mrs Wilder.
3003_14274_000072_000001	It was a beautiful little dinner, very delicious, and served in the daintiest manner possible.	It was a beautiful little dinner, very delicious, and served in the daintiest manner possible.
3003_14274_000072_000002	But out here one is never quite sure of what one is eating, for sometimes the most tempting dishes are made of almost nothing.	But out here one is never quite sure of what one is eating, for sometimes the most tempting dishes are made of almost nothing.
3003_14274_000072_000003	At holiday time, however, it seems that the post trader sends to St. Louis for turkeys, celery, canned oysters, and other things.	At holiday time, however, it seems that the post trader sends to saint Louis for turkeys, celery, canned oysters, and other things.
3003_14274_000072_000004	We have no fresh vegetables here, except potatoes, and have to depend upon canned stores in the commissary for a variety, and our meat consists entirely of beef, except now and then, when we may have a treat to buffalo or antelope.	We have no fresh vegetables here, except potatoes, and have to depend upon canned stores in the commissary for a variety, and our meat consists entirely of beef, except now and then, when we may have a treat to buffalo or antelope.
3003_14274_000073_000003	The music consisted of one violin with accordion accompaniment.	The music consisted of one violin with accordion accompaniment.
3003_14274_000073_000004	This would seem absurd in the East, but I can assure you that one accordion, when played well by a German, is an orchestra in itself.	This would seem absurd in the East, but I can assure you that one accordion, when played well by a German, is an orchestra in itself.
3003_14274_000073_000005	And Doos plays very well.	And Doos plays very well.
3003_14274_000073_000006	The girls East may have better music to dance by, and polished waxed floors to slip down upon, but they cannot have the excellent partners one has at an army post, and I choose the partners!	The girls East may have better music to dance by, and polished waxed floors to slip down upon, but they cannot have the excellent partners one has at an army post, and I choose the partners!
3003_14274_000074_000000	The officers are excellent dancers--every one of them--and when you are gliding around, your chin, or perhaps your nose, getting a scratch now and then from a gorgeous gold epaulet, you feel as light as a feather, and imagine yourself with a fairy prince.	The officers are excellent dancers-every one of them-and when you are gliding around, your chin, or perhaps your nose, getting a scratch now and then from a gorgeous gold epaulet, you feel as light as a feather, and imagine yourself with a fairy prince.
3003_14274_000074_000001	Of course the officers were in full-dress uniform Friday night, so I know just what I am talking about, scratches and all.	Of course the officers were in full dress uniform Friday night, so I know just what I am talking about, scratches and all.
3003_14274_000074_000002	Every woman appeared in her finest gown.	Every woman appeared in her finest gown.
3003_14274_000074_000003	I wore my nile-green silk, which I am afraid showed off my splendid coat of tan only too well.	I wore my nile green silk, which I am afraid showed off my splendid coat of tan only too well.
3003_14274_000075_000000	The party was given for Doctor and Mrs. Anderson, who are guests of General Bourke for a few days.	The party was given for Doctor and mrs Anderson, who are guests of General Bourke for a few days.
3003_14274_000075_000002	Mrs. Anderson was very handsome in an elegant gown of London-smoke silk.	mrs Anderson was very handsome in an elegant gown of London smoke silk.
3003_14274_000075_000003	I am to assist Mrs. Phillips in receiving New Year's day, and shall wear my pearl-colored Irish poplin.	I am to assist mrs Phillips in receiving New Year's day, and shall wear my pearl colored Irish poplin.
3003_14274_000075_000004	We are going out now for a little ride.	We are going out now for a little ride.
