5333_5097_000000_000000	END OF VOLUME ONE.	END OF VOLUME ONE.	false	1.05	16.305	18.581867
5333_5097_000050_000000	"And what did you mean by doing so at all, you self-willed scoundrel?" replied I; for I was in a towering passion,--to which, by the way, nothing contributes more than the having recently undergone a spice of personal fear, which, like a few drops of water flung on a glowing fire, is sure to inflame the ardour which it is insufficient to quench.	"And what did you mean by doing so at all, you self willed scoundrel?" replied I; for I was in a towering passion,--to which, by the way, nothing contributes more than the having recently undergone a spice of personal fear, which, like a few drops of water flung on a glowing fire, is sure to inflame the ardour which it is insufficient to quench.	false	1057.91	1079.62	17.68026
5333_5097_000051_000000	"What's your honour's wull?" replied Andrew, with impenetrable gravity.	"What's your honour's w u l l?" replied Andrew, with impenetrable gravity.	false	1079.81	1084.04	18.08515
5333_5097_000052_000000	"My will, you rascal?--I have been roaring to you this hour to ride slower, and you have never so much as answered me--Are you drunk or mad to behave so?"	"My will, you rascal?--I have been roaring to you this hour to ride slower, and you have never so much as answered me-Are you drunk or mad to behave so?"	true	1084.04	1094.13	16
5333_5097_000053_000000	"An it like your honour, I am something dull o' hearing; and I'll no deny but I might have maybe taen a stirrup-cup at parting frae the auld bigging whare I hae dwelt sae lang; and having naebody to pledge, nae doubt I was obliged to do mysell reason, or else leave the end o' the brandy stoup to thae papists--and that wad be a waste, as your honour kens."	"An it like your honour, I am something dull o' hearing; and I'll no deny but I might have maybe taen a stirrup cup at parting frae the auld bigging whare I hae dwelt sae lang; and having naebody to pledge, nae doubt I was obliged to do mysell reason, or else leave the end o' the brandy stoup to thae papists-and that wad be a waste, as your honour kens."	false	1094.13	1115.71	18.343426
5333_5097_000054_000000	This might be all very true,--and my circumstances required that I should be on good terms with my guide; I therefore satisfied myself with requiring of him to take his directions from me in future concerning the rate of travelling.	This might be all very true,--and my circumstances required that I should be on good terms with my guide; I therefore satisfied myself with requiring of him to take his directions from me in future concerning the rate of travelling.	false	1116.98	1129.54	16.907999
5333_5097_000055_000000	Andrew, emboldened by the mildness of my tone, elevated his own into the pedantic, conceited octave, which was familiar to him on most occasions.	Andrew, emboldened by the mildness of my tone, elevated his own into the pedantic, conceited octave, which was familiar to him on most occasions.	true	1130.03	1138.99	18.734354
5333_5097_000056_000000	"Your honour winna persuade me, and naebody shall persuade me, that it's either halesome or prudent to tak the night air on thae moors without a cordial o' clow-gilliflower water, or a tass of brandy or aquavitae, or sic-like creature-comfort.	"Your honour winna persuade me, and naebody shall persuade me, that it's either halesome or prudent to tak the night air on thae moors without a cordial o' clow gilliflower water, or a tass of brandy or aquavitae, or sic like creature comfort.	false	1139.72	1156.54	19.734692
5333_5097_000056_000001	I hae taen the bent ower the Otterscrape-rigg a hundred times, day and night, and never could find the way unless I had taen my morning; mair by token that I had whiles twa bits o' ankers o' brandy on ilk side o' me."--	I hae taen the bent ower the Otterscrape rigg a hundred times, day and night, and never could find the way unless I had taen my morning; mair by token that I had whiles t w a bits o' ankers o' brandy on ilk side o' me."--	false	1156.82	1170.64	18.181181
5333_5097_000057_000000	"In other words, Andrew," said I, "you were a smuggler--how does a man of your strict principles reconcile yourself to cheat the revenue?"	"In other words, Andrew," said I, "you were a smuggler-how does a man of your strict principles reconcile yourself to cheat the revenue?"	true	1171.28	1180.12	19.546642
5333_5097_000058_000000	"It's a mere spoiling o' the Egyptians," replied Andrew; "puir auld Scotland suffers eneugh by thae blackguard loons o' excisemen and gaugers, that hae come down on her like locusts since the sad and sorrowfu' Union; it's the part of a kind son to bring her a soup o' something that will keep up her auld heart,--and that will they nill they, the ill-fa'ard thieves!"	"It's a mere spoiling o' the Egyptians," replied Andrew; "puir auld Scotland suffers eneugh by thae blackguard loons o' excisemen and gaugers, that hae come down on her like locusts since the sad and sorrowfu' Union; it's the part of a kind son to bring her a soup o' something that will keep up her auld heart,--and that will they nill they, the ill fa'ard thieves!"	false	1180.22	1202.08	18.427692
5333_5097_000059_000000	Upon more particular inquiry, I found Andrew had frequently travelled these mountain-paths as a smuggler, both before and after his establishment at Osbaldistone Hall--a circumstance which was so far of importance to me, as it proved his capacity as a guide, notwithstanding the escapade of which he had been guilty at his outset, Even now, though travelling at a more moderate pace, the stirrup-cup, or whatever else had such an effect in stimulating Andrew's motions, seemed not totally to have lost its influence.	Upon more particular inquiry, I found Andrew had frequently travelled these mountain paths as a smuggler, both before and after his establishment at Osbaldistone Hall-a circumstance which was so far of importance to me, as it proved his capacity as a guide, notwithstanding the escapade of which he had been guilty at his outset, Even now, though travelling at a more moderate pace, the stirrup cup, or whatever else had such an effect in stimulating Andrew's motions, seemed not totally to have lost its influence.	true	1203.98	1234.21	18.629194
5333_5097_000059_000001	He often cast a nervous and startled look behind him; and whenever the road seemed at all practicable, showed symptoms of a desire to accelerate his pace, as if he feared some pursuit from the rear.	He often cast a nervous and startled look behind him; and whenever the road seemed at all practicable, showed symptoms of a desire to accelerate his pace, as if he feared some pursuit from the rear.	true	1235.24	1247.29	18.622192
5333_5097_000059_000002	These appearances of alarm gradually diminished as we reached the top of a high bleak ridge, which ran nearly east and west for about a mile, with a very steep descent on either side.	These appearances of alarm gradually diminished as we reached the top of a high bleak ridge, which ran nearly east and west for about a mile, with a very steep descent on either side.	false	1247.84	1257.37	15
5333_5097_000059_000003	The pale beams of the morning were now enlightening the horizon, when Andrew cast a look behind him, and not seeing the appearance of a living being on the moors which he had travelled, his hard features gradually unbent, as he first whistled, then sung, with much glee and little melody, the end of one of his native songs--	The pale beams of the morning were now enlightening the horizon, when Andrew cast a look behind him, and not seeing the appearance of a living being on the moors which he had travelled, his hard features gradually unbent, as he first whistled, then sung, with much glee and little melody, the end of one of his native songs-	false	1257.77	1276.9	16.868538
5333_5097_000060_000000	"Jenny, lass!	"Jenny, lass!	true	1277.48	1278.42	12.631287
5333_5097_000060_000001	I think I hae her Ower the muir amang the heather, All their clan shall never get her."	I think I hae her Ower the muir amang the heather, All their clan shall never get her."	false	1278.42	1287.52	18.520748
5333_5097_000061_000000	He patted at the same time the neck of the horse which had carried him so gallantly; and my attention being directed by that action to the animal, I instantly recognised a favourite mare of Thorncliff Osbaldistone.	He patted at the same time the neck of the horse which had carried him so gallantly; and my attention being directed by that action to the animal, I instantly recognised a favourite mare of Thorncliff Osbaldistone.	true	1288.49	1300.84	18.55932
5333_5097_000061_000001	"How is this, sir?" said I sternly; "that is Mr. Thorncliff's mare!"	"How is this, sir?" said I sternly; "that is mr Thorncliff's mare!"	true	1301.45	1306.57	19.471579
5333_5097_000062_000000	"I'll no say but she may aiblins hae been his honour's Squire Thorncliff's in her day--but she's mine now."	"I'll no say but she may aiblins hae been his honour's Squire Thorncliff's in her day-but she's mine now."	false	1307.39	1314.13	17
5333_5097_000063_000000	"You have stolen her, you rascal."	"You have stolen her, you rascal."	false	1314.65	1317.15	17
5333_5097_000064_000000	"Na, na, sir--nae man can wyte me wi' theft.	"Na, na, sir-nae man can wyte me wi' theft.	false	1317.15	1323.01	16.597385
5333_5097_000064_000001	The thing stands this gate, ye see.	The thing stands this gate, ye see.	true	1323.14	1325.74	19.426619
5333_5097_000064_000002	Squire Thorncliff borrowed ten punds o' me to gang to York Races--deil a boddle wad he pay me back again, and spake o' raddling my banes, as he ca'd it, when I asked him but for my ain back again;--now I think it will riddle him or he gets his horse ower the Border again--unless he pays me plack and bawbee, he sall never see a hair o' her tail.	Squire Thorncliff borrowed ten punds o' me to gang to York Races-deil a boddle wad he pay me back again, and spake o' raddling my banes, as he ca'd it, when I asked him but for my ain back again;--now I think it will riddle him or he gets his horse ower the Border again-unless he pays me plack and bawbee, he sall never see a hair o' her tail.	false	1325.74	1348.12	18.197346
5333_5097_000064_000003	I ken a canny chield at Loughmaben, a bit writer lad, that will put me in the way to sort him.	I ken a canny chield at Loughmaben, a bit writer lad, that will put me in the way to sort him.	false	1348.4	1354.81	20.383757
5333_5097_000064_000004	Steal the mear!	Steal the mear!	true	1354.82	1356.16	14
5333_5097_000064_000005	na, na, far be the sin o' theft frae Andrew Fairservice--I have just arrested her _jurisdictionis fandandy causey._ Thae are bonny writer words--amaist like the language o' huz gardeners and other learned men--it's a pity they're sae dear;--thae three words were a' that Andrew got for a lang law-plea and four ankers o' as gude brandy as was e'er coupit ower craig--Hech, sirs! but law's a dear thing."	na, na, far be the sin o' theft frae Andrew Fairservice-I have just arrested her underscore jurisdictionis fandandy causey.underscore Thae are bonny writer words-amaist like the language o' huz gardeners and other learned men-it's a pity they're sae dear;--thae three words were a' that Andrew got for a lang law plea and four ankers o' as gude brandy as was e'er coupit ower craig-Hech, sirs! but law's a dear thing."	false	1356.2	1381.57	18.590794
5333_5097_000065_000000	"You are likely to find it much dearer than you suppose, Andrew, if you proceed in this mode of paying yourself, without legal authority."	"You are likely to find it much dearer than you suppose, Andrew, if you proceed in this mode of paying yourself, without legal authority."	false	1383.05	1390.77	15
5333_5097_000066_000000	"Hout tout, we're in Scotland now (be praised for't!) and I can find baith friends and lawyers, and judges too, as weel as ony Osbaldistone o' them a'.	"Hout tout, we're in Scotland now (be praised for't!) and I can find baith friends and lawyers, and judges too, as weel as ony Osbaldistone o' them a'.	false	1390.77	1402.42	17.614246
5333_5097_000066_000001	My mither's mither's third cousin was cousin to the Provost o' Dumfries, and he winna see a drap o' her blude wranged.	My mither's mither's third cousin was cousin to the Provost o' Dumfries, and he winna see a drap o' her blude wranged.	false	1402.85	1409.82	20.74762
5333_5097_000066_000002	Hout awa!	Hout awa!	false	1409.82	1411.5	22.117374
5333_5097_000066_000003	the laws are indifferently administered here to a' men alike; it's no like on yon side, when a chield may be whuppit awa' wi' ane o' Clerk Jobson's warrants, afore he kens where he is.	the laws are indifferently administered here to a' men alike; it's no like on yon side, when a chield may be whuppit awa' wi' ane o' Clerk Jobson's warrants, afore he kens where he is.	false	1411.5	1423.96	18.217312
5333_5097_000066_000004	But they will hae little enough law amang them by and by, and that is ae grand reason that I hae gi'en them gude-day."	But they will hae little enough law amang them by and by, and that is ae grand reason that I hae gi'en them gude day."	false	1424.78	1431.01	17.7873
5333_5097_000067_000000	I was highly provoked at the achievement of Andrew, and considered it as a hard fate, which a second time threw me into collision with a person of such irregular practices.	I was highly provoked at the achievement of Andrew, and considered it as a hard fate, which a second time threw me into collision with a person of such irregular practices.	true	1432.55	1441.9	18.316307
5333_5097_000067_000001	I determined, however, to buy the mare of him, when he should reach the end of our journey, and send her back to my cousin at Osbaldistone Hall; and with this purpose of reparation I resolved to make my uncle acquainted from the next post-town.	I determined, however, to buy the mare of him, when he should reach the end of our journey, and send her back to my cousin at Osbaldistone Hall; and with this purpose of reparation I resolved to make my uncle acquainted from the next post town.	false	1442.45	1454.98	18.08309
5333_5097_000067_000002	It was needless, I thought, to quarrel with Andrew in the meantime, who had, after all, acted not very unnaturally for a person in his circumstances. I therefore smothered my resentment, and asked him what he meant by his last expressions, that there would be little law in Northumberland by and by?	It was needless, I thought, to quarrel with Andrew in the meantime, who had, after all, acted not very unnaturally for a person in his circumstances. I therefore smothered my resentment, and asked him what he meant by his last expressions, that there would be little law in Northumberland by and by?	true	1455.2	1470.31	17.19073
5333_5097_000068_000000	"Law!" said Andrew, "hout, ay--there will be club-law eneugh.	"Law!" said Andrew, "hout, ay-there will be club law eneugh.	false	1471.07	1475.76	17.603672
5333_5097_000068_000001	The priests and the Irish officers, and thae papist cattle that hae been sodgering abroad, because they durstna bide at hame, are a' fleeing thick in Northumberland e'enow; and thae corbies dinna gather without they smell carrion.	The priests and the Irish officers, and thae papist cattle that hae been sodgering abroad, because they durstna bide at hame, are a' fleeing thick in Northumberland e'enow; and thae corbies dinna gather without they smell carrion.	false	1475.76	1487.55	18.52424
5333_5097_000068_000002	As sure as ye live, his honour Sir Hildebrand is gaun to stick his horn in the bog--there's naething but gun and pistol, sword and dagger, amang them--and they'll be laying on, I'se warrant; for they're fearless fules the young Osbaldistone squires, aye craving your honour's pardon."	As sure as ye live, his honour Sir Hildebrand is gaun to stick his horn in the bog-there's naething but gun and pistol, sword and dagger, amang them-and they'll be laying on, I'se warrant; for they're fearless fules the young Osbaldistone squires, aye craving your honour's pardon."	false	1487.55	1503.42	17
5333_5097_000069_000000	This speech recalled to my memory some suspicions that I myself had entertained, that the Jacobites were on the eve of some desperate enterprise.	This speech recalled to my memory some suspicions that I myself had entertained, that the Jacobites were on the eve of some desperate enterprise.	false	1503.42	1511.11	17
5333_5097_000069_000001	But, conscious it did not become me to be a spy on my uncle's words and actions, I had rather avoided than availed myself of any opportunity which occurred of remarking upon the signs of the times.-- Andrew Fairservice felt no such restraint, and doubtless spoke very truly in stating his conviction that some desperate plots were in agitation, as a reason which determined his resolution to leave the Hall.	But, conscious it did not become me to be a spy on my uncle's words and actions, I had rather avoided than availed myself of any opportunity which occurred of remarking upon the signs of the times.-- Andrew Fairservice felt no such restraint, and doubtless spoke very truly in stating his conviction that some desperate plots were in agitation, as a reason which determined his resolution to leave the Hall.	false	1511.27	1534.59	18.496181
5333_5097_000070_000000	"The servants," he stated, "with the tenantry and others, had been all regularly enrolled and mustered, and they wanted me to take arms also. But I'll ride in nae siccan troop--they little ken'd Andrew that asked him.	"The servants," he stated, "with the tenantry and others, had been all regularly enrolled and mustered, and they wanted me to take arms also. But I'll ride in nae siccan troop-they little ken'd Andrew that asked him.	false	1534.59	1547.14	20.107996
5333_5097_000070_000001	I'll fight when I like mysell, but it sall neither be for the hure o' Babylon, nor any hure in England."	I'll fight when I like mysell, but it sall neither be for the hure o' Babylon, nor any hure in England."	false	1547.3	1558.05	18.633
