6510_62516_000000_000000	Chapter 9	Chapter nine	true	25.68	27.1	21.23363
6510_62516_000092_000000	"But you don't believe that he will make fire?"	"But you don't believe that he will make fire?"	true	995.87	998.26	18
6510_62516_000093_000000	"I shall believe it when the wood is blazing in the fireplace."	"I shall believe it when the wood is blazing in the fireplace."	true	998.54	1002.23	17.42308
6510_62516_000094_000000	"It will blaze, since my master has said so."	"It will blaze, since my master has said so."	true	1002.23	1005.22	20.142904
6510_62516_000095_000000	"We shall see!"	"We shall see!"	true	1005.26	1006.18	19.238777
6510_62516_000096_000000	Meanwhile, the sun had not reached the highest point in its course above the horizon.	Meanwhile, the sun had not reached the highest point in its course above the horizon.	true	1006.7	1011.19	16
6510_62516_000096_000001	The exploration, therefore, continued, and was usefully marked by a discovery which Herbert made of a tree whose fruit was edible.	The exploration, therefore, continued, and was usefully marked by a discovery which Herbert made of a tree whose fruit was edible.	true	1011.47	1020.25	20
6510_62516_000096_000002	This was the stone-pine, which produces an excellent almond, very much esteemed in the temperate regions of America and Europe.	This was the stone pine, which produces an excellent almond, very much esteemed in the temperate regions of America and Europe.	true	1020.68	1029.16	18
6510_62516_000096_000003	These almonds were in a perfect state of maturity, and Herbert described them to his companions, who feasted on them.	These almonds were in a perfect state of maturity, and Herbert described them to his companions, who feasted on them.	false	1029.2	1036.96	20.121023
6510_62516_000097_000000	"Come," said Pencroft, "sea-weed by way of bread, raw mussels for meat, and almonds for dessert, that's certainly a good dinner for those who have not a single match in their pocket!"	"Come," said Pencroft, "sea weed by way of bread, raw mussels for meat, and almonds for dessert, that's certainly a good dinner for those who have not a single match in their pocket!"	true	1037.3	1049.53	19.671879
6510_62516_000098_000000	"We mustn't complain," said Herbert.	"We mustn't complain," said Herbert.	true	1049.93	1052.41	22.937101
6510_62516_000099_000000	"I am not complaining, my boy," replied Pencroft, "only I repeat, that meat is a little too much economized in this sort of meal."	"I am not complaining, my boy," replied Pencroft, "only I repeat, that meat is a little too much economized in this sort of meal."	true	1052.54	1060.81	20.121294
6510_62516_000100_000000	"Top has found something!" cried Neb, who ran towards a thicket, in the midst of which the dog had disappeared, barking.	"Top has found something!" cried Neb, who ran towards a thicket, in the midst of which the dog had disappeared, barking.	true	1061.21	1068.34	20.953093
6510_62516_000100_000001	With Top's barking were mingled curious gruntings.	With Top's barking were mingled curious gruntings.	true	1069.04	1072.3	20.543882
6510_62516_000101_000000	The sailor and Herbert had followed Neb.	The sailor and Herbert had followed Neb.	true	1072.61	1074.97	18.285849
6510_62516_000101_000001	If there was game there this was not the time to discuss how it was to be cooked, but rather, how they were to get hold of it.	If there was game there this was not the time to discuss how it was to be cooked, but rather, how they were to get hold of it.	true	1074.98	1082.44	21.37867
6510_62516_000102_000000	The hunters had scarcely entered the bushes when they saw Top engaged in a struggle with an animal which he was holding by the ear.	The hunters had scarcely entered the bushes when they saw Top engaged in a struggle with an animal which he was holding by the ear.	true	1082.93	1090.48	20
6510_62516_000102_000001	This quadruped was a sort of pig nearly two feet and a half long, of a blackish brown color, lighter below, having hard scanty hair; its toes, then strongly fixed in the ground, seemed to be united by a membrane. Herbert recognized in this animal the capybara, that is to say, one of the largest members of the rodent order.	This quadruped was a sort of pig nearly two feet and a half long, of a blackish brown color, lighter below, having hard scanty hair; its toes, then strongly fixed in the ground, seemed to be united by a membrane. Herbert recognized in this animal the capybara, that is to say, one of the largest members of the rodent order.	false	1090.61	1114.69	20.206415
6510_62516_000103_000000	Meanwhile, the capybara did not struggle against the dog.	Meanwhile, the capybara did not struggle against the dog.	true	1114.94	1118.47	18.979788
6510_62516_000103_000001	It stupidly rolled its eyes, deeply buried in a thick bed of fat.	It stupidly rolled its eyes, deeply buried in a thick bed of fat.	true	1118.47	1122.79	21.630787
6510_62516_000103_000002	Perhaps it saw men for the first time.	Perhaps it saw men for the first time.	true	1122.98	1125.67	20.922834
6510_62516_000104_000000	However, Neb having tightened his grasp on his stick, was just going to fell the pig, when the latter, tearing itself from Top's teeth, by which it was only held by the tip of its ear, uttered a vigorous grunt, rushed upon Herbert, almost overthrew him, and disappeared in the wood.	However, Neb having tightened his grasp on his stick, was just going to fell the pig, when the latter, tearing itself from Top's teeth, by which it was only held by the tip of its ear, uttered a vigorous grunt, rushed upon Herbert, almost overthrew him, and disappeared in the wood.	true	1126.01	1145.05	20.733023
6510_62516_000105_000000	"The rascal!" cried Pencroft.	"The rascal!" cried Pencroft.	true	1145.12	1147.21	19.930647
6510_62516_000106_000000	All three directly darted after Top, but at the moment when they joined him the animal had disappeared under the waters of a large pond shaded by venerable pines.	All three directly darted after Top, but at the moment when they joined him the animal had disappeared under the waters of a large pond shaded by venerable pines.	true	1147.28	1158.34	20
6510_62516_000107_000000	Neb, Herbert, and Pencroft stopped, motionless.	Neb, Herbert, and Pencroft stopped, motionless.	true	1158.74	1162.39	22.311241
6510_62516_000107_000001	Top plunged into the water, but the capybara, hidden at the bottom of the pond, did not appear.	Top plunged into the water, but the capybara, hidden at the bottom of the pond, did not appear.	true	1162.79	1169.35	21.27783
6510_62516_000108_000000	"Let us wait," said the boy, "for he will soon come to the surface to breathe."	"Let us wait," said the boy, "for he will soon come to the surface to breathe."	true	1169.69	1174.02	20.44579
6510_62516_000109_000000	"Won't he drown?" asked Neb.	"Won't he drown?" asked Neb.	false	1174.02	1176.58	20.73073
6510_62516_000110_000000	"No," replied Herbert, "since he has webbed feet, and is almost an amphibious animal.	"No," replied Herbert, "since he has webbed feet, and is almost an amphibious animal.	false	1176.59	1182.16	19.108316
6510_62516_000110_000001	But watch him."	But watch him."	true	1182.16	1183.12	19.586966
6510_62516_000111_000000	Top remained in the water.	Top remained in the water.	true	1183.55	1184.94	14
6510_62516_000111_000001	Pencroft and his two companions went to different parts of the bank, so as to cut off the retreat of the capybara, which the dog was looking for beneath the water.	Pencroft and his two companions went to different parts of the bank, so as to cut off the retreat of the capybara, which the dog was looking for beneath the water.	false	1184.94	1195.15	20.281412
6510_62516_000112_000000	Herbert was not mistaken.	Herbert was not mistaken.	true	1195.15	1196.7	14
6510_62516_000112_000001	In a few minutes the animal appeared on the surface of the water.	In a few minutes the animal appeared on the surface of the water.	true	1196.7	1199.83	15
6510_62516_000112_000002	Top was upon it in a bound, and kept it from plunging again.	Top was upon it in a bound, and kept it from plunging again.	true	1199.84	1203.37	17.878822
6510_62516_000112_000003	An instant later the capybara, dragged to the bank, was killed by a blow from Neb's stick.	An instant later the capybara, dragged to the bank, was killed by a blow from Neb's stick.	true	1203.53	1209.57	20.927723
6510_62516_000113_000000	"Hurrah!" cried Pencroft, who was always ready with this cry of triumph.	"Hurrah!" cried Pencroft, who was always ready with this cry of triumph.	false	1209.57	1214.71	20.578606
6510_62516_000114_000000	"Give me but a good fire, and this pig shall be gnawed to the bones!"	"Give me but a good fire, and this pig shall be gnawed to the bones!"	true	1215.26	1219.57	19.401365
6510_62516_000115_000000	Pencroft hoisted the capybara on his shoulders, and judging by the height of the sun that it was about two o'clock, he gave the signal to return.	Pencroft hoisted the capybara on his shoulders, and judging by the height of the sun that it was about two o'clock, he gave the signal to return.	false	1219.76	1228.48	20.834566
6510_62516_000116_000000	Top's instinct was useful to the hunters, who, thanks to the intelligent animal, were enabled to discover the road by which they had come.	Top's instinct was useful to the hunters, who, thanks to the intelligent animal, were enabled to discover the road by which they had come.	false	1228.79	1237.36	20.699224
6510_62516_000116_000001	Half an hour later they arrived at the river.	Half an hour later they arrived at the river.	true	1237.58	1240.09	19.434256
6510_62516_000117_000000	Pencroft soon made a raft of wood, as he had done before, though if there was no fire it would be a useless task, and the raft following the current, they returned towards the Chimneys.	Pencroft soon made a raft of wood, as he had done before, though if there was no fire it would be a useless task, and the raft following the current, they returned towards the Chimneys.	true	1240.22	1251.46	20.686644
6510_62516_000118_000000	But the sailor had not gone fifty paces when he stopped, and again uttering a tremendous hurrah, pointed towards the angle of the cliff,--	But the sailor had not gone fifty paces when he stopped, and again uttering a tremendous hurrah, pointed towards the angle of the cliff,--	true	1252.07	1261	21.3909
6510_62516_000119_000000	"Herbert!	"Herbert!	true	1261.1	1261.88	24.52676
6510_62516_000119_000001	Neb! Look!" he shouted.	Neb! Look!" he shouted.	true	1261.88	1264.33	19.685139
6510_62516_000120_000000	Smoke was escaping and curling up among the rocks.	Smoke was escaping and curling up among the rocks.	true	1264.49	1268.64	21.85799
6510_62516_000121_000000	Chapter 10	Chapter ten	false	1268.64	1268.73	-20
6510_62516_000122_000000	In a few minutes the three hunters were before a crackling fire.	In a few minutes the three hunters were before a crackling fire.	false	1268.73	1269.3	-20
6510_62516_000122_000001	The captain and the reporter were there.	The captain and the reporter were there.	false	1269.3	1270.05	23
6510_62516_000122_000002	Pencroft looked from one to the other, his capybara in his hand, without saying a word.	Pencroft looked from one to the other, his capybara in his hand, without saying a word.	false	1270.05	1271.46	26
6510_62516_000123_000000	"Well, yes, my brave fellow," cried the reporter.	"Well, yes, my brave fellow," cried the reporter.	false	1271.46	1272.15	13
6510_62516_000124_000000	"Fire, real fire, which will roast this splendid pig perfectly, and we will have a feast presently!"	"Fire, real fire, which will roast this splendid pig perfectly, and we will have a feast presently!"	false	1272.15	1273.62	20.635386
