4846_18524_000000_000000	XXIII	twenty three	false	0.84	21.22	18.010117
4846_18524_000089_000002	"She hasn't any nonsense about her, if she is an earl's daughter."	"She hasn't any nonsense about her, if she is an earl's daughter."	true	904.07	907.93	14
4846_18524_000090_000000	"Earl's daughter," sniffed the little doctor, trying to slip a collar button into a refractory binding.	"Earl's daughter," sniffed the little doctor, trying to slip a collar button into a refractory binding.	true	909.08	914.65	17
4846_18524_000090_000001	"Dear me, now that's gone--no, 'tisn't--that's luck," as the button rolled off into a corner of the bureau-top where it was easily captured.	"Dear me, now that's gone-no, 'tisn't-that's luck," as the button rolled off into a corner of the bureau top where it was easily captured.	false	914.87	923.83	17.243603
4846_18524_000091_000000	"Let me do that for you, Adoniram," said Mother Fisher, coming up to help him.	"Let me do that for you, Adoniram," said Mother Fisher, coming up to help him.	true	924.11	929.14	14
4846_18524_000092_000000	"I guess you'll have to, wife, if it's done at all," he answered, resigning himself willingly to her hands; "the thing slips and slides like all possessed.	"I guess you'll have to, wife, if it's done at all," he answered, resigning himself willingly to her hands; "the thing slips and slides like all possessed.	true	929.75	938.86	16.373602
4846_18524_000092_000001	Well, now, I was going to say that I wouldn't hate a title so much, if there was a grain of common sense went along with it.	Well, now, I was going to say that I wouldn't hate a title so much, if there was a grain of common sense went along with it.	true	939.05	945.58	14
4846_18524_000092_000002	And that Mrs. Selwyn just saves the whole lot of English nobility, and makes 'em worth speaking to, in my opinion."	And that mrs Selwyn just saves the whole lot of English nobility, and makes 'em worth speaking to, in my opinion."	true	945.89	952	12
4846_18524_000093_000000	And after they had their dinner, and were scattered in groups in the bright sunshine, sitting on the wooden benches by the long tables, or taking photographs, or watching through the big glass some mountain climbers on one of the snowy spurs of the Matterhorn, "the good opportunity for a quiet talk" came about.	And after they had their dinner, and were scattered in groups in the bright sunshine, sitting on the wooden benches by the long tables, or taking photographs, or watching through the big glass some mountain climbers on one of the snowy spurs of the Matterhorn, "the good opportunity for a quiet talk" came about.	false	952.64	969.91	13
4846_18524_000094_000000	"Now," said Mother Fisher, with a great satisfaction in her voice, "may we sit down here on this bench, Mrs. Selwyn, and have that talk?"	"Now," said Mother Fisher, with a great satisfaction in her voice, "may we sit down here on this bench, mrs Selwyn, and have that talk?"	true	970.61	977.77	14
4846_18524_000095_000000	Tom's mother sat down well pleased, and folding her hands in her lap, this earl's daughter, mistress of a dozen languages, as well as mistress of herself on all occasions, began as simply and with as much directness as a child.	Tom's mother sat down well pleased, and folding her hands in her lap, this earl's daughter, mistress of a dozen languages, as well as mistress of herself on all occasions, began as simply and with as much directness as a child.	true	978.35	991.66	13
4846_18524_000096_000000	"Well, you know my father.	"Well, you know my father.	true	992.24	994.395	19.14805
4846_18524_000096_000001	Let me tell you, aside from the eccentricities, that are mere outside matters, and easily explained, if you understood the whole of his life, a kinder man never lived, nor a more reasonable one.	Let me tell you, aside from the eccentricities, that are mere outside matters, and easily explained, if you understood the whole of his life, a kinder man never lived, nor a more reasonable one.	true	994.395	1006.84	14
4846_18524_000096_000002	But it was a misfortune that he had to be left so much alone, as since my mother's death a dozen years ago has happened. It pained me much." A shadow passed over her brow, but it was gone again, and she smiled, and her eyes regained their old placid look.	But it was a misfortune that he had to be left so much alone, as since my mother's death a dozen years ago has happened. It pained me much." A shadow passed over her brow, but it was gone again, and she smiled, and her eyes regained their old placid look.	true	1007.93	1023.43	14
4846_18524_000096_000003	"I live in Australia with my husband, where my duty is, putting the boys as fast as they were old enough, and the little girls as well, into English schools.	"I live in Australia with my husband, where my duty is, putting the boys as fast as they were old enough, and the little girls as well, into English schools.	true	1023.71	1032.94	14
4846_18524_000096_000004	But Tom has always been with my father at the vacations, for he is his favourite, as of course was natural, for he is the eldest.	But Tom has always been with my father at the vacations, for he is his favourite, as of course was natural, for he is the eldest.	true	1033.22	1042.48	15
4846_18524_000096_000005	And though you might not believe it, Mrs. Fisher, my father was always passionately fond of the boy."	And though you might not believe it, mrs Fisher, my father was always passionately fond of the boy."	true	1042.73	1048.03	12
4846_18524_000097_000000	"I do believe it," said Mother Fisher, quietly, and she put her hand over the folded ones.	"I do believe it," said Mother Fisher, quietly, and she put her hand over the folded ones.	true	1048.37	1053.25	13
4846_18524_000097_000001	Mrs. Selwyn unclasped hers, soft and white, to draw within them the toil-worn one.	mrs Selwyn unclasped hers, soft and white, to draw within them the toil worn one.	true	1053.44	1059.67	15
4846_18524_000098_000000	"Now, that's comfortable," she said, with another little smile.	"Now, that's comfortable," she said, with another little smile.	true	1060.34	1063.27	12
4846_18524_000099_000000	"And here is where his eccentricity became the most dangerous to the peace of mind of our family," continued Mrs. Selwyn.	"And here is where his eccentricity became the most dangerous to the peace of mind of our family," continued mrs Selwyn.	true	1063.94	1071.04	12
4846_18524_000099_000001	"My father seemed never able to discover that he was doing the lad harm by all sorts of indulgence and familiarity with him, a sort of hail-fellow-well-met way that surprised me more than I can express, when I discovered it on my last return visit to my old home.	"My father seemed never able to discover that he was doing the lad harm by all sorts of indulgence and familiarity with him, a sort of hail fellow well met way that surprised me more than I can express, when I discovered it on my last return visit to my old home.	true	1071.23	1087.69	13
4846_18524_000099_000002	My father! who never tolerated anything but respect from all of us, who were accustomed to despotic government, I can assure you, was allowing Tom!--well, you were with him on the steamer," she broke off abruptly.	My father! who never tolerated anything but respect from all of us, who were accustomed to despotic government, I can assure you, was allowing Tom!--well, you were with him on the steamer," she broke off abruptly.	true	1087.82	1100.71	16.969997
4846_18524_000099_000003	The placid look was gone again in a flash.	The placid look was gone again in a flash.	true	1100.9	1103.38	14
4846_18524_000100_000000	"Yes," said Mother Fisher, her black eyes full of sympathy; "don't let that trouble you, dear Mrs. Selwyn; Tom was pure gold down underneath--we saw that--and the rest is past."	"Yes," said Mother Fisher, her black eyes full of sympathy; "don't let that trouble you, dear mrs Selwyn; Tom was pure gold down underneath-we saw that-and the rest is past."	true	1104.53	1114.57	17
4846_18524_000101_000000	"Ah,"--the placid look came back as quickly--"that is my only comfort--that you did.	"Ah,"--the placid look came back as quickly-"that is my only comfort-that you did.	true	1115.3	1121.1	17.015617
4846_18524_000101_000001	For father told the whole, not sparing himself. Now he sees things in the right light; he says because your young people taught it to him.	For father told the whole, not sparing himself. Now he sees things in the right light; he says because your young people taught it to him.	true	1121.1	1128.85	16
4846_18524_000101_000002	And he was cruelly disappointed because you couldn't come down to visit him in his home."	And he was cruelly disappointed because you couldn't come down to visit him in his home."	true	1129.16	1133.98	13
4846_18524_000102_000000	"We couldn't," said Mother Fisher, in a sorry voice, at seeing the other face.	"We couldn't," said Mother Fisher, in a sorry voice, at seeing the other face.	true	1134.44	1138.42	14
4846_18524_000103_000000	"I understand--quite," said Tom's mother, with a gentle pressure of the hand she held.	"I understand-quite," said Tom's mother, with a gentle pressure of the hand she held.	false	1139.03	1144.21	16
4846_18524_000103_000001	"And then the one pleasure he had was in picking out something for Polly."	"And then the one pleasure he had was in picking out something for Polly."	true	1144.31	1149.01	16
4846_18524_000104_000000	"Oh, if the little red leather case _had_ gone back to the poor old man!" ran through Mother Fisher's mind, possessing it at once.	"Oh, if the little red leather case underscore had underscore gone back to the poor old man!" ran through Mother Fisher's mind, possessing it at once.	false	1149.62	1156.63	16
4846_18524_000105_000000	"I don't think his judgment was good, Mrs. Fisher, in the selection," said Mrs. Selwyn, a small pink spot coming on either cheek; "but he loves Polly, and wanted to show it."	"I don't think his judgment was good, mrs Fisher, in the selection," said mrs Selwyn, a small pink spot coming on either cheek; "but he loves Polly, and wanted to show it."	false	1157.06	1166.77	15
4846_18524_000106_000000	"And he was so good to think of it," cried Mother Fisher, her heart warming more and more toward the little old earl.	"And he was so good to think of it," cried Mother Fisher, her heart warming more and more toward the little old earl.	false	1167.35	1173.13	12
4846_18524_000107_000000	"And as he couldn't be turned from it, and his health is precarious if he is excited, why, there was nothing to be done about it.	"And as he couldn't be turned from it, and his health is precarious if he is excited, why, there was nothing to be done about it.	true	1173.92	1180.84	16
4846_18524_000107_000001	And then he insisted that Tom and I come off for a bit of a run on the Continent, the other children being with him.	And then he insisted that Tom and I come off for a bit of a run on the Continent, the other children being with him.	true	1180.94	1186.9	12
4846_18524_000107_000002	And as my big boy"--here a loving smile went all over the plain face, making it absolutely beautiful--"had worried down deep in his heart over the past, till I was more troubled than I can tell you, why, we came.	And as my big boy"--here a loving smile went all over the plain face, making it absolutely beautiful-"had worried down deep in his heart over the past, till I was more troubled than I can tell you, why, we came.	true	1187.12	1201.69	17
4846_18524_000107_000003	And then God was good--for then we met you!	And then God was good-for then we met you!	true	1201.76	1204.21	11
4846_18524_000107_000004	Oh, Mrs. Fisher!"	Oh, mrs Fisher!"	true	1204.21	1205.56	16.859879
4846_18524_000108_000000	She drew her hands by a sudden movement away, and put them on Mother Fisher's shoulders.	She drew her hands by a sudden movement away, and put them on Mother Fisher's shoulders.	true	1206.05	1210.66	11
4846_18524_000108_000001	And then that British matron, rarely demonstrative with her own children, even, leaned over and kissed Polly's mother.	And then that British matron, rarely demonstrative with her own children, even, leaned over and kissed Polly's mother.	true	1210.79	1217.38	12
4846_18524_000109_000000	"I can't see why it's so warm up here," said Polly, racing over to their bench, followed by the others.	"I can't see why it's so warm up here," said Polly, racing over to their bench, followed by the others.	true	1217.84	1224.31	16
4846_18524_000109_000001	"Dear me, it's fairly hot." And she pulled off her jacket.	"Dear me, it's fairly hot." And she pulled off her jacket.	true	1224.53	1228.36	19.587156
4846_18524_000110_000000	"Don't do that, Polly," said her mother.	"Don't do that, Polly," said her mother.	true	1228.67	1230.79	17.881094
4846_18524_000111_000000	"Oh, Mamsie, it's so very hot," said Polly; but she thrust her arms into the sleeves and pulled it on again.	"Oh, Mamsie, it's so very hot," said Polly; but she thrust her arms into the sleeves and pulled it on again.	true	1230.98	1237.3	17
4846_18524_000112_000000	"I know; but you've been running," said Mrs. Fisher, "and have gotten all heated up."	"I know; but you've been running," said mrs Fisher, "and have gotten all heated up."	true	1237.67	1242.55	17
4846_18524_000113_000000	"Well, it's perfectly splendid to travel to places where we can run and race," said Polly, in satisfaction, throwing herself down on the rocks. The others all doing the same thing, Mr. King and the Parson and Mrs. Henderson found them, and pretty soon the group was a big one.	"Well, it's perfectly splendid to travel to places where we can run and race," said Polly, in satisfaction, throwing herself down on the rocks. The others all doing the same thing, mr King and the Parson and mrs Henderson found them, and pretty soon the group was a big one.	false	1243.25	1259.47	17
4846_18524_000113_000001	"Well, well, we are all here together, no--where is Mrs. Gray?" asked Mr. King, presently.	"Well, well, we are all here together, no-where is mrs Gray?" asked mr King, presently.	true	1259.69	1266.04	16.38482
4846_18524_000114_000000	"She is resting in the hotel," said Mother Fisher, "fast asleep I think by this time."	"She is resting in the hotel," said Mother Fisher, "fast asleep I think by this time."	false	1266.44	1271.2	17
4846_18524_000115_000000	"Yes," said Adela, "she is.	"Yes," said Adela, "she is.	true	1271.54	1273.23	13
4846_18524_000115_000001	I just peeked in on her, and she hasn't moved where you tucked her up on the lounge."	I just peeked in on her, and she hasn't moved where you tucked her up on the lounge."	true	1273.23	1277.76	11
4846_18524_000116_000000	"Grandpapa," asked Polly, suddenly, from the centre of the group, "what makes it so very warm up here, when we are all surrounded by snow?"	"Grandpapa," asked Polly, suddenly, from the centre of the group, "what makes it so very warm up here, when we are all surrounded by snow?"	false	1277.76	1285.18	17
4846_18524_000117_000000	"You ask me a hard thing," said old Mr. King.	"You ask me a hard thing," said old mr King.	false	1285.79	1288.24	14
4846_18524_000117_000001	"Well, for one thing, we are very near the Italian border; those peaks over there, you know,--follow my walking-stick as I point it,--are in sunny Italy."	"Well, for one thing, we are very near the Italian border; those peaks over there, you know,--follow my walking stick as I point it,--are in sunny Italy."	true	1288.31	1298.83	17.761097
4846_18524_000118_000000	"Well, it is just like sunny Italy up here," said Polly, "I think," blinking, and pulling her little cap over her eyes.	"Well, it is just like sunny Italy up here," said Polly, "I think," blinking, and pulling her little cap over her eyes.	true	1299.38	1307.17	17
4846_18524_000119_000000	"It's all the Italy you will get in the summer season," said Grandpapa. "You must wait for cold weather before I take one of you there."	"It's all the Italy you will get in the summer season," said Grandpapa. "You must wait for cold weather before I take one of you there."	false	1307.57	1323.78	14.967128
