2787_157400_000000_000000	"I cannot tell," John answered.	"I cannot tell," john answered.	false	2.55	4.41	21.592997
2787_157400_000075_000000	"Will you please take me back to my aunt?" said Joe.	"Will you please take me back to my aunt?" said Joe.	true	857.715	860.29	23.303923
2787_157400_000075_000001	As they passed from the supper-room they suddenly came upon John Harrington, who was wandering about in an unattached fashion, apparently looking for some one.	As they passed from the supper room they suddenly came upon john Harrington, who was wandering about in an unattached fashion, apparently looking for some one.	true	860.36	868.66	23.699385
2787_157400_000075_000002	He bowed and stared a little at seeing Joe on Vancouver's arm, but she gave him a look of such earnest entreaty that he turned and followed her at a distance to see what would happen.	He bowed and stared a little at seeing Joe on Vancouver's arm, but she gave him a look of such earnest entreaty that he turned and followed her at a distance to see what would happen.	true	868.94	878.89	22
2787_157400_000075_000003	Seeing her sit down by her aunt, he came up and spoke to her, almost thrusting Vancouver aside with his broad shoulders.	Seeing her sit down by her aunt, he came up and spoke to her, almost thrusting Vancouver aside with his broad shoulders.	true	879.32	885.94	20.76967
2787_157400_000075_000004	Vancouver, however, did not dispute the position, but turned on his heel and went away.	Vancouver, however, did not dispute the position, but turned on his heel and went away.	false	886.49	892.3	23.819355
2787_157400_000076_000000	"Oh, I am so glad," said Joe, with a sigh of relief.	"Oh, I am so glad," said Joe, with a sigh of relief.	true	892.97	896.08	19.146618
2787_157400_000076_000001	"I thought I should never get away from him!"	"I thought I should never get away from him!"	true	896.09	898.21	18.50624
2787_157400_000077_000000	It is amazing what a difference the common knowledge of a secret will make in the intimacy of two people.	It is amazing what a difference the common knowledge of a secret will make in the intimacy of two people.	true	899.39	905.02	21.942825
2787_157400_000078_000000	"I was rather taken aback at seeing you with him," said John.	"I was rather taken aback at seeing you with him," said john.	true	905.15	908.41	21
2787_157400_000078_000001	"Not that it can make any difference to you," he added quickly, "only you seemed so angry at him this morning."	"Not that it can make any difference to you," he added quickly, "only you seemed so angry at him this morning."	true	908.72	913.99	21.869864
2787_157400_000079_000000	"But it does"--Joe began, impulsively.	"But it does"--Joe began, impulsively.	true	914.18	916.905	22
2787_157400_000079_000001	"That is, I began by meaning to cut him, and then I thought it would be a mistake to make a scandal."	"That is, I began by meaning to cut him, and then I thought it would be a mistake to make a scandal."	true	916.905	923.055	24.861351
2787_157400_000080_000000	"Yes," said John, "it would be a great mistake.	"Yes," said john, "it would be a great mistake.	true	923.055	925.965	19.941555
2787_157400_000080_000001	Besides, I would not for all the world have you take a part in this thing.	Besides, I would not for all the world have you take a part in this thing.	true	925.965	930.225	25.619768
2787_157400_000080_000002	It would do no good, and it might do harm."	It would do no good, and it might do harm."	true	930.225	933.31	23.491928
2787_157400_000081_000000	"I think I have taken a part already," said Joe, somewhat hurt.	"I think I have taken a part already," said Joe, somewhat hurt.	true	933.32	937.09	26.756388
2787_157400_000082_000000	"Yes, I know.	"Yes, I know.	true	937.52	938.71	22.783007
2787_157400_000082_000001	I am very grateful, but I hope you will not think any more about it, nor allow it to influence you in any way."	I am very grateful, but I hope you will not think any more about it, nor allow it to influence you in any way."	true	938.9	944.83	21.952374
2787_157400_000083_000000	"But what is the use of friends if they do not take a part in one's quarrels?" asked Joe.	"But what is the use of friends if they do not take a part in one's quarrels?" asked Joe.	false	945.02	949.57	21.517925
2787_157400_000084_000000	John looked at her earnestly for a few seconds, and saw that she was perfectly sincere.	john looked at her earnestly for a few seconds, and saw that she was perfectly sincere.	true	949.61	954.49	21.58614
2787_157400_000084_000001	He had grown to like Josephine of late, and he was grateful to her for her friendship.	He had grown to like Josephine of late, and he was grateful to her for her friendship.	true	954.92	959.53	22.48305
2787_157400_000084_000002	Her manner that morning, when she told him of her discovery, had made a deep impression on him.	Her manner that morning, when she told him of her discovery, had made a deep impression on him.	true	959.54	964.57	24.459301
2787_157400_000085_000000	"My dear Miss Thorn," he said earnestly, in a low voice, "you are too good and kind, and I thank you very heartily for your friendship.	"My dear Miss Thorn," he said earnestly, in a low voice, "you are too good and kind, and I thank you very heartily for your friendship.	true	965	974.385	24.334654
2787_157400_000085_000001	But I think you were very wise not to cut Vancouver, and I hope you will not quarrel with anybody for any matter so trivial." The color came to Joe's face, but not for anger this time.	But I think you were very wise not to cut Vancouver, and I hope you will not quarrel with anybody for any matter so trivial." The color came to Joe's face, but not for anger this time.	true	974.385	985.09	22.918228
2787_157400_000086_000000	"Trivial!" she exclaimed.	"Trivial!" she exclaimed.	true	985.25	987.705	21.713629
2787_157400_000087_000000	"Yes, trivial," John repeated.	"Yes, trivial," john repeated.	true	987.705	990.06	25.091602
2787_157400_000087_000001	"Remember that it is the policy of that paper to abuse me, and that if Vancouver had not written the article, the editor could have found some one else easily enough who would have done it."	"Remember that it is the policy of that paper to abuse me, and that if Vancouver had not written the article, the editor could have found some one else easily enough who would have done it."	true	990.06	1000.99	24
2787_157400_000088_000000	"But it is such a dastardly thing!" said Joe.	"But it is such a dastardly thing!" said Joe.	true	1001.09	1004.17	19.251776
2787_157400_000088_000001	"He always says to every one that he has the greatest respect for you, and then he does a thing like this.	"He always says to every one that he has the greatest respect for you, and then he does a thing like this.	true	1004.3	1010.05	22.36955
2787_157400_000088_000002	If I were you I would kill him--I am sure I would."	If I were you I would kill him-I am sure I would."	true	1010.18	1013.62	25.779558
2787_157400_000089_000000	"That would not be the way to win an election nowadays," said John, laughing.	"That would not be the way to win an election nowadays," said john, laughing.	false	1014.38	1018.83	21
2787_157400_000090_000000	"Oh, I would not care about that," said Joe, hotly.	"Oh, I would not care about that," said Joe, hotly.	true	1018.83	1021.87	22
2787_157400_000090_000001	"But I dare say it is very silly of me," she added.	"But I dare say it is very silly of me," she added.	true	1022.06	1025.34	16.946861
2787_157400_000090_000002	"You do not seem to mind it at all."	"You do not seem to mind it at all."	true	1025.34	1027.18	20.290895
2787_157400_000091_000000	"It is not worth while to lose one's temper or one's soul for the iniquities of Mr. Pocock Vancouver," said John.	"It is not worth while to lose one's temper or one's soul for the iniquities of mr Pocock Vancouver," said john.	true	1027.18	1033.96	24
2787_157400_000091_000001	"The man may do me harm, but as I never expected his friendship or help, he neither falls nor rises in my estimation on that account.	"The man may do me harm, but as I never expected his friendship or help, he neither falls nor rises in my estimation on that account.	true	1034.21	1042.42	21.512629
2787_157400_000091_000002	Blessed are they who expect nothing!"	Blessed are they who expect nothing!"	false	1042.61	1044.91	30.495815
2787_157400_000092_000000	"Blessed indeed," said Joe.	"Blessed indeed," said Joe.	true	1045.46	1047.51	19.697666
2787_157400_000092_000001	"But one cannot help expecting men who have the reputation of being gentlemen to behave decently."	"But one cannot help expecting men who have the reputation of being gentlemen to behave decently."	true	1047.51	1053.05	21.709047
2787_157400_000093_000000	"Vancouver has a right to his political opinions, and a perfect right to express them in any way he sees fit," said John.	"Vancouver has a right to his political opinions, and a perfect right to express them in any way he sees fit," said john.	true	1053.05	1059.96	21.177425
2787_157400_000094_000000	"Oh, of course," said Joe, impatiently.	"Oh, of course," said Joe, impatiently.	false	1059.96	1062.48	21.944014
2787_157400_000094_000001	"This is a free country, and that sort of thing.	"This is a free country, and that sort of thing.	true	1062.48	1065.02	23.707247
2787_157400_000094_000002	But if he means to express political opinions he should not cry aloud at every tea-party in town that he is neutral and takes no active part in politics.	But if he means to express political opinions he should not cry aloud at every tea party in town that he is neutral and takes no active part in politics.	true	1065.02	1073.73	19
2787_157400_000094_000003	I think that writing violent articles in a newspaper is a very active part indeed.	I think that writing violent articles in a newspaper is a very active part indeed.	true	1073.73	1078.81	23.826702
2787_157400_000094_000004	And he should not go about saying that he has the highest reverence for a man, and then call him a lunatic and a charlatan in print, unless he is willing to sign his name to it, and take the consequences.	And he should not go about saying that he has the highest reverence for a man, and then call him a lunatic and a charlatan in print, unless he is willing to sign his name to it, and take the consequences.	true	1078.85	1090.27	21
2787_157400_000094_000005	Should he?	Should he?	true	1090.55	1091.35	35.206287
2787_157400_000094_000006	I think it is vile, and horrid, and abominable, and nasty, and I hate him."	I think it is vile, and horrid, and abominable, and nasty, and I hate him."	true	1091.72	1098.58	23.271643
2787_157400_000095_000000	"With the exception of the peroration to that speech," said John, who was very much amused, "I am afraid I must agree with you.	"With the exception of the peroration to that speech," said john, who was very much amused, "I am afraid I must agree with you.	false	1098.71	1105.74	22.634882
2787_157400_000095_000001	A man certainly ought not to do any of those things."	A man certainly ought not to do any of those things."	false	1105.74	1108.66	22.979042
2787_157400_000096_000000	"Then why do you defend him?" asked Joe, with flashing eyes.	"Then why do you defend him?" asked Joe, with flashing eyes.	true	1108.7	1112.95	20.909618
2787_157400_000097_000000	"Because, on general principles, I do not think a man is so much worse than his fellows because he does things they would very likely do in his place.	"Because, on general principles, I do not think a man is so much worse than his fellows because he does things they would very likely do in his place.	true	1113.08	1122.46	22.752604
2787_157400_000097_000001	There are things done every day, all over the world, quite as bad as that, and no one takes much notice of them.	There are things done every day, all over the world, quite as bad as that, and no one takes much notice of them.	true	1122.74	1130.14	22.012796
2787_157400_000097_000002	Almost every businessman is trying to get the better of some other business man by fair means or foul."	Almost every businessman is trying to get the better of some other business man by fair means or foul."	true	1130.36	1137.01	23.147842
2787_157400_000098_000000	"You do not seem to have a very exalted idea of humanity," said Joe.	"You do not seem to have a very exalted idea of humanity," said Joe.	true	1137.47	1142.44	20.852783
2787_157400_000099_000000	"A large part of humanity is sick," said John, "and it is as well to be prepared for the worst in any illness."	"A large part of humanity is sick," said john, "and it is as well to be prepared for the worst in any illness."	true	1143.02	1150.72	23.31664
2787_157400_000100_000000	"I wish you were not so tremendously calm, you know," said Joe, looking thoughtfully into John's face.	"I wish you were not so tremendously calm, you know," said Joe, looking thoughtfully into John's face.	true	1151.27	1158.43	23.474241
2787_157400_000100_000001	"I am afraid it will injure you."	"I am afraid it will injure you."	true	1158.83	1160.53	21.66999
2787_157400_000101_000000	"Why in the world should it injure me?" asked John, much astonished at the remark.	"Why in the world should it injure me?" asked john, much astonished at the remark.	true	1160.63	1165.24	24.480497
2787_157400_000102_000000	"I have a presentiment"--she checked herself suddenly.	"I have a presentiment"--she checked herself suddenly.	true	1165.24	1168.52	22.349943
2787_157400_000102_000001	"I do not like to tell you," she added.	"I do not like to tell you," she added.	true	1168.52	1170.88	23.43515
2787_157400_000103_000000	"I would like to hear what you think, if you will tell me," said John, gravely.	"I would like to hear what you think, if you will tell me," said john, gravely.	true	1170.88	1175.29	23.315613
2787_157400_000104_000000	"Well, do not be angry.	"Well, do not be angry.	true	1175.39	1177.69	25.787073
2787_157400_000104_000001	I have a presentiment that you will not be made senator.	I have a presentiment that you will not be made senator.	true	1178.06	1181.38	25.258211
2787_157400_000104_000002	Are you angry?"	Are you angry?"	true	1181.84	1183.12	33.266636
2787_157400_000105_000000	"No indeed.	"No indeed.	true	1183.7	1184.73	22.686295
2787_157400_000105_000001	But why?"	But why?"	true	1184.73	1185.61	24.081871
2787_157400_000106_000000	"Just for that very reason; you are too calm.	"Just for that very reason; you are too calm.	true	1186.22	1189.72	20.86689
2787_157400_000106_000001	You are not enough of a partisan.	You are not enough of a partisan.	true	1190	1191.7	22.289925
2787_157400_000106_000002	Every one is a partisan here."	Every one is a partisan here."	true	1191.98	1193.62	22.155325
2787_157400_000107_000000	John was silent, and his face was grave and thoughtful.	john was silent, and his face was grave and thoughtful.	true	1194.29	1198.51	23.445929
2787_157400_000107_000001	The remark was profound in its way, and showed a far deeper insight into political matters than he imagined Joe possessed.	The remark was profound in its way, and showed a far deeper insight into political matters than he imagined Joe possessed.	true	1198.85	1206.04	23.07409
2787_157400_000107_000002	He had long regarded Mrs. Wyndham as a woman of fine sense and judgment, and had often asked her opinion on important questions.	He had long regarded mrs Wyndham as a woman of fine sense and judgment, and had often asked her opinion on important questions.	true	1206.44	1213.93	21.135056
2787_157400_000107_000003	But in all his experience she had never said anything that seemed to strike so deeply at the root of things as this simple remark of Josephine's.	But in all his experience she had never said anything that seemed to strike so deeply at the root of things as this simple remark of Josephine's.	true	1214.3	1222.3	22
2787_157400_000108_000000	"I am afraid you are angry," said Joe, seeing that he was grave and silent.	"I am afraid you are angry," said Joe, seeing that he was grave and silent.	true	1222.43	1227.01	22.57829
2787_157400_000109_000000	"You have set me thinking, Miss Thorn," he answered.	"You have set me thinking, Miss Thorn," he answered.	true	1227.26	1231.24	22.877287
2787_157400_000110_000000	"You think I may be right?" she said.	"You think I may be right?" she said.	true	1231.52	1234.63	20.45076
2787_157400_000111_000000	"The idea is quite new to me, I think it is perhaps the best definition of the fact that I ever heard.	"The idea is quite new to me, I think it is perhaps the best definition of the fact that I ever heard.	true	1235.15	1240.84	22.977232
2787_157400_000111_000001	But it is not what ought to be."	But it is not what ought to be."	true	1240.94	1242.82	26.965048
2787_157400_000112_000000	"Of course not," Joe answered.	"Of course not," Joe answered.	true	1242.92	1244.74	24.3506
2787_157400_000112_000001	"Nothing is just what it ought to be.	"Nothing is just what it ought to be.	true	1244.87	1246.96	27.76268
2787_157400_000112_000002	But one has to take things as they are."	But one has to take things as they are."	true	1247.12	1249.51	22.470186
2787_157400_000113_000000	"And make them what they should be," added John, and the look of strong determination came into his face.	"And make them what they should be," added john, and the look of strong determination came into his face.	true	1249.85	1255.96	21.134634
2787_157400_000114_000000	"Ah, yes," said Joe, softly.	"Ah, yes," said Joe, softly.	true	1256.42	1259.23	23.335312
2787_157400_000114_000001	"Make things what they should be.	"Make things what they should be.	true	1259.39	1261.45	22.352224
2787_157400_000114_000002	That is the best thing a man can live for."	That is the best thing a man can live for."	false	1261.73	1264.42	26
2787_157400_000115_000000	"Perhaps we might go home, Joe," said Miss Schenectady, who had been conversing for a couple of hours with another old lady of literary tastes.	"Perhaps we might go home, Joe," said Miss Schenectady, who had been conversing for a couple of hours with another old lady of literary tastes.	true	1265.06	1273.45	21.428356
2787_157400_000116_000000	"Yes, Aunt Zoe," said Joe, rousing herself, "I think we might."	"Yes, Aunt Zoe," said Joe, rousing herself, "I think we might."	false	1273.85	1278.85	24.369312
2787_157400_000117_000000	"Shall I see you to-morrow night at Mrs. Wyndham's dinner?" asked John, as they parted.	"Shall I see you to morrow night at mrs Wyndham's dinner?" asked john, as they parted.	true	1278.95	1284.7	23.605724
2787_157400_000118_000000	"No, I refused.	"No, I refused.	true	1285.1	1287.13	24.332964
2787_157400_000118_000001	Good-night."	Good night."	true	1287.38	1288.15	25.906103
2787_157400_000119_000000	As Joe sat by her aunt's side in the deep dark carriage on the way home, her hands were cold and she trembled from head to foot.	As Joe sat by her aunt's side in the deep dark carriage on the way home, her hands were cold and she trembled from head to foot.	true	1288.34	1295.65	23.908287
2787_157400_000119_000001	And when at last she laid her head upon her pillow there were tears in her eyes and on her cheeks.	And when at last she laid her head upon her pillow there were tears in her eyes and on her cheeks.	false	1295.87	1309.71	24.323292
