5054_18527_000000_000000	XXVI	twenty six	false	2.4	24.96	18.492542
5054_18527_000080_000001	"Well, now, shall we turn him over to the _sergents de ville?"_	"Well, now, shall we turn him over to the underscore sergents de ville?"underscore	false	978.92	983.16	22.475033
5054_18527_000081_000000	"Turn him over?" repeated Mr. King.	"Turn him over?" repeated mr King.	true	983.16	985.57	20.86026
5054_18527_000081_000001	"I should say so," he added drily, "and give him the best recommendation for a long term, too.	"I should say so," he added drily, "and give him the best recommendation for a long term, too.	true	985.85	992.95	20.144638
5054_18527_000081_000002	What else is there to do, pray tell?"	What else is there to do, pray tell?"	true	993.2	995.23	19.69917
5054_18527_000082_000000	"Grandpapa," suddenly cried Phronsie, who hadn't taken her eyes from the man's face, "what are you going to do--where is he going?"	"Grandpapa," suddenly cried Phronsie, who hadn't taken her eyes from the man's face, "what are you going to do-where is he going?"	true	996.02	1004.26	20.53621
5054_18527_000083_000000	"We are going to hand him over to the police, child," answered old Mr. King, harshly.	"We are going to hand him over to the police, child," answered old mr King, harshly.	true	1004.75	1009.99	19.291386
5054_18527_000083_000001	"And as soon as possible, too."	"And as soon as possible, too."	true	1010.33	1012.18	20.76638
5054_18527_000084_000000	"Grandpapa, perhaps he's got some little children at home; ask him, Grandpapa, do."	"Grandpapa, perhaps he's got some little children at home; ask him, Grandpapa, do."	true	1012.79	1018.36	19.363297
5054_18527_000085_000000	"No, no, Phronsie," said Mr. King, hastily.	"No, no, Phronsie," said mr King, hastily.	true	1018.58	1021.96	20.029842
5054_18527_000085_000001	"Say no more, child; you don't understand.	"Say no more, child; you don't understand.	true	1022.21	1024.99	21.902863
5054_18527_000085_000002	We must call the _sergents de ville."_	We must call the underscore sergents de ville."underscore	false	1025.03	1027.59	22.951576
5054_18527_000086_000000	At the words _sergents de ville_ the man shivered from head to foot, and wrenched his hands free from the boys' grasp to tear open his poor coat, and show a bare breast, covered with little, apparently, but the skin drawn over the bones.	At the words underscore sergents de ville underscore the man shivered from head to foot, and wrenched his hands free from the boys' grasp to tear open his poor coat, and show a bare breast, covered with little, apparently, but the skin drawn over the bones.	false	1027.59	1043.08	21.208487
5054_18527_000086_000001	He didn't attempt to say anything.	He didn't attempt to say anything.	true	1043.57	1045.33	19
5054_18527_000087_000000	"Oh, my goodness!" exclaimed old Mr. King, starting backward and putting up his hands to his face to shut out the sight.	"Oh, my goodness!" exclaimed old mr King, starting backward and putting up his hands to his face to shut out the sight.	true	1045.76	1053.67	21.36835
5054_18527_000087_000001	"Cover it up, man--bless me--no need to ask him a question.	"Cover it up, man-bless me-no need to ask him a question.	true	1054.1	1058.02	22.38185
5054_18527_000087_000002	Why, the fellow is starving."	Why, the fellow is starving."	true	1058.24	1059.91	22.16764
5054_18527_000088_000000	His little children--four of them--his wife--all starving--hadn't a bit to eat since, he could scarcely say when, it seemed so very long ago since he had eaten last--it all came out in a torrent of words that choked him, and like the true Frenchman that he was, he gestured in a way that told the story with his face and his fingers, as well as with his tongue.	His little children-four of them-his wife-all starving-hadn't a bit to eat since, he could scarcely say when, it seemed so very long ago since he had eaten last-it all came out in a torrent of words that choked him, and like the true Frenchman that he was, he gestured in a way that told the story with his face and his fingers, as well as with his tongue.	true	1060.28	1084.96	20.352875
5054_18527_000089_000000	A _sergent de ville_ strolled by and looked curiously at the group, but as Mr. King met his eye coolly, and the party seemed intelligent and well able to take care of themselves, it wasn't necessary to tender his services--if they were talking to a worthless vagabond.	A underscore sergent de ville underscore strolled by and looked curiously at the group, but as mr King met his eye coolly, and the party seemed intelligent and well able to take care of themselves, it wasn't necessary to tender his services-if they were talking to a worthless vagabond.	false	1085.33	1102.81	21.152906
5054_18527_000090_000000	"Hum--hum--very bad case; very bad case, indeed!" Mr. King was exploding at intervals, while the torrent was rushing on in execrable French as far as accent went.	"Hum-hum-very bad case; very bad case, indeed!" mr King was exploding at intervals, while the torrent was rushing on in execrable French as far as accent went.	true	1104.26	1117.33	21.255753
5054_18527_000090_000001	No one else of the spellbound group could have spoken if there had been occasion for a word.	No one else of the spellbound group could have spoken if there had been occasion for a word.	true	1117.94	1122.61	19
5054_18527_000090_000002	Then he pulled out the pocket-book again, and taking out several franc notes of a good size, he pressed them between the man's dirty fingers.	Then he pulled out the pocket book again, and taking out several franc notes of a good size, he pressed them between the man's dirty fingers.	true	1123.16	1131.73	19.626373
5054_18527_000090_000003	"Go and get something to eat," was all he said, "and take care of the children."	"Go and get something to eat," was all he said, "and take care of the children."	false	1132.22	1148.22	16.696312
