8474_281188_000000_000000	This speech and plan were approved of by all, and they were soon ready.	This speech and plan were approved of by all, and they were soon ready.	false	0	3.45	22.689552
8474_281188_000039_000002	"I am not in the least amazed," said she to herself, "that this wicked man, who is my master's greatest enemy, would eat no salt with him, since he intends to assassinate him; but I will prevent him."	"I am not in the least amazed," said she to herself, "that this wicked man, who is my master's greatest enemy, would eat no salt with him, since he intends to assassinate him; but I will prevent him."	false	1063.94	1075.39	21.60315
8474_281188_000040_000000	Morgiana, while they were at supper, determined in her own mind to execute one of the boldest acts ever meditated.	Morgiana, while they were at supper, determined in her own mind to execute one of the boldest acts ever meditated.	false	1076.21	1083.54	21.801266
8474_281188_000041_000000	When Abdalla came for the dessert or fruit, and had put it with the wine and glasses before Ali Baba, Morgiana retired, dressed herself neatly, with a suitable head-dress like a dancer, girded her waist with a silver-gilt girdle, to which there hung a poniard with a hilt and guard of the same metal, and put a handsome mask on her face.	When Abdalla came for the dessert or fruit, and had put it with the wine and glasses before Ali Baba, Morgiana retired, dressed herself neatly, with a suitable head dress like a dancer, girded her waist with a silver gilt girdle, to which there hung a poniard with a hilt and guard of the same metal, and put a handsome mask on her face.	false	1083.54	1102.66	22.464415
8474_281188_000042_000000	When she had thus disguised herself, she said to Abdalla, "Take your tabor, and let us go and divert our master and his son's friend, as we do sometimes when he is alone."	When she had thus disguised herself, she said to Abdalla, "Take your tabor, and let us go and divert our master and his son's friend, as we do sometimes when he is alone."	false	1103.78	1113.4	21.683533
8474_281188_000043_000000	Abdalla took his tabor and played all the way into the hall before Morgiana, who, when she came to the door, made a low obeisance by way of asking leave to exhibit her skill, while Abdalla left off playing.	Abdalla took his tabor and played all the way into the hall before Morgiana, who, when she came to the door, made a low obeisance by way of asking leave to exhibit her skill, while Abdalla left off playing.	false	1114.67	1126.72	22.860197
8474_281188_000043_000001	"Come in, Morgiana," said Ali Baba, "and let Cogia Houssain see what you can do, that he may tell us what he thinks of your performance."	"Come in, Morgiana," said Ali Baba, "and let Cogia Houssain see what you can do, that he may tell us what he thinks of your performance."	false	1127.18	1134.43	20.933979
8474_281188_000044_000000	Cogia Houssain, who did not expect this diversion after supper, began to fear he should not be able to take advantage of the opportunity he thought he had found; but hoped, if he now missed his aim to secure it another time, by keeping up a friendly correspondence with the father and son; therefore, though he could have wished Ali Baba would have declined the dance, he pretended to be obliged to him for it, and had the complaisance to express his satisfaction at what he saw, which pleased his host.	Cogia Houssain, who did not expect this diversion after supper, began to fear he should not be able to take advantage of the opportunity he thought he had found; but hoped, if he now missed his aim to secure it another time, by keeping up a friendly correspondence with the father and son; therefore, though he could have wished Ali Baba would have declined the dance, he pretended to be obliged to him for it, and had the complaisance to express his satisfaction at what he saw, which pleased his host.	false	1135.34	1163.2	22.134052
8474_281188_000045_000000	As soon as Abdalla saw that Ali Baba and Cogia Houssain had done talking, he began to play on the tabor, and accompanied it with an air, to which Morgiana, who was an excellent performer, danced in such a manner as would have created admiration in any company.	As soon as Abdalla saw that Ali Baba and Cogia Houssain had done talking, he began to play on the tabor, and accompanied it with an air, to which Morgiana, who was an excellent performer, danced in such a manner as would have created admiration in any company.	false	1164.44	1179.55	23.409388
8474_281188_000046_000000	After she had danced several dances with much grace, she drew the poniard, and holding it in her hand, began a dance, in which she outdid herself, by the many different figures, light movements, and the surprising leaps and wonderful exertions with which she accompanied it.	After she had danced several dances with much grace, she drew the poniard, and holding it in her hand, began a dance, in which she outdid herself, by the many different figures, light movements, and the surprising leaps and wonderful exertions with which she accompanied it.	false	1180.22	1195.27	23.662788
8474_281188_000046_000001	Sometimes she presented the poniard to one breast, sometimes to another, and oftentimes seemed to strike her own.	Sometimes she presented the poniard to one breast, sometimes to another, and oftentimes seemed to strike her own.	true	1195.73	1202.35	24.075762
8474_281188_000046_000002	At last she snatched the tabor from Abdalla with her left hand, and holding the dagger in her right, presented the other side of the tabor, after the manner of those who get a livelihood by dancing, and solicit the liberality of the spectators.	At last she snatched the tabor from Abdalla with her left hand, and holding the dagger in her right, presented the other side of the tabor, after the manner of those who get a livelihood by dancing, and solicit the liberality of the spectators.	false	1202.84	1216.69	22.50731
8474_281188_000047_000000	Ali Baba put a piece of gold into the tabor, as did also his son; and Cogia Houssain, seeing that she was coming to him, had pulled his purse out of his bosom to make her a present; but while he was putting his hand into it, Morgiana, with a courage and resolution worthy of herself, plunged the poniard into his heart.	Ali Baba put a piece of gold into the tabor, as did also his son; and Cogia Houssain, seeing that she was coming to him, had pulled his purse out of his bosom to make her a present; but while he was putting his hand into it, Morgiana, with a courage and resolution worthy of herself, plunged the poniard into his heart.	false	1217.63	1236.64	22.232634
8474_281188_000048_000000	Ali Baba and his son, shocked at this action, cried out aloud. "Unhappy woman!" exclaimed Ali Baba, "what have you done, to ruin me and my family?"	Ali Baba and his son, shocked at this action, cried out aloud. "Unhappy woman!" exclaimed Ali Baba, "what have you done, to ruin me and my family?"	true	1237.73	1246.9	23.395306
8474_281188_000048_000001	"It was to preserve, not to ruin you," answered Morgiana; "for see here," continued she, opening the pretended Cogia Houssain's garment, and showing the dagger, "what an enemy you had entertained!	"It was to preserve, not to ruin you," answered Morgiana; "for see here," continued she, opening the pretended Cogia Houssain's garment, and showing the dagger, "what an enemy you had entertained!	false	1247.09	1259.68	22.814892
8474_281188_000048_000002	Look well at him, and you will find him to be both the fictitious oil merchant, and the captain of the gang of forty robbers.	Look well at him, and you will find him to be both the fictitious oil merchant, and the captain of the gang of forty robbers.	true	1259.78	1266.31	20
8474_281188_000048_000003	Remember, too, that he would eat no salt with you; and what would you have more to persuade you of his wicked design? Before I saw him, I suspected him as soon as you told me you had such a guest.	Remember, too, that he would eat no salt with you; and what would you have more to persuade you of his wicked design? Before I saw him, I suspected him as soon as you told me you had such a guest.	true	1266.56	1277.41	22.837076
8474_281188_000048_000004	I knew him, and you now find that my suspicion was not groundless."	I knew him, and you now find that my suspicion was not groundless."	true	1277.69	1282.86	20.67954
8474_281188_000049_000000	Ali Baba, who immediately felt the new obligation he had to Morgiana for saving his life a second time, embraced her: "Morgiana," said he, "I gave you your liberty, and then promised you that my gratitude should not stop there, but that I would soon give you higher proofs of its sincerity, which I now do by making you my daughter-in-law." Then addressing himself to his son, he said: "I believe you, son, to be so dutiful a child, that you will not refuse Morgiana for your wife.	Ali Baba, who immediately felt the new obligation he had to Morgiana for saving his life a second time, embraced her: "Morgiana," said he, "I gave you your liberty, and then promised you that my gratitude should not stop there, but that I would soon give you higher proofs of its sincerity, which I now do by making you my daughter in law." Then addressing himself to his son, he said: "I believe you, son, to be so dutiful a child, that you will not refuse Morgiana for your wife.	false	1282.86	1311.01	22.765291
8474_281188_000049_000001	You see that Cogia Houssain sought your friendship with a treacherous design to take away my life; and if he had succeeded, there is no doubt but he would have sacrificed you also to his revenge.	You see that Cogia Houssain sought your friendship with a treacherous design to take away my life; and if he had succeeded, there is no doubt but he would have sacrificed you also to his revenge.	false	1311.17	1321.72	22.65263
8474_281188_000049_000002	Consider, that by marrying Morgiana you marry the preserver of my family and your own."	Consider, that by marrying Morgiana you marry the preserver of my family and your own."	true	1322.18	1327.27	22
8474_281188_000050_000000	The son, far from showing any dislike, readily consented to the marriage; not only because he would not disobey his father, but also because it was agreeable to his inclination.	The son, far from showing any dislike, readily consented to the marriage; not only because he would not disobey his father, but also because it was agreeable to his inclination.	true	1328.27	1338.16	22.709719
8474_281188_000050_000001	After this they thought of burying the captain of the robbers with his comrades, and did it so privately that nobody discovered their bones till many years after, when no one had any concern in the publication of this remarkable history.	After this they thought of burying the captain of the robbers with his comrades, and did it so privately that nobody discovered their bones till many years after, when no one had any concern in the publication of this remarkable history.	true	1338.95	1351.42	21.932364
8474_281188_000050_000002	A few days afterward Ali Baba celebrated the nuptials of his son and Morgiana with great solemnity, a sumptuous feast, and the usual dancing and spectacles; and had the satisfaction to see that his friends and neighbors, whom he invited, had no knowledge of the true motives of the marriage; but that those who were not unacquainted with Morgiana's good qualities, commended his generosity and goodness of heart.	A few days afterward Ali Baba celebrated the nuptials of his son and Morgiana with great solemnity, a sumptuous feast, and the usual dancing and spectacles; and had the satisfaction to see that his friends and neighbors, whom he invited, had no knowledge of the true motives of the marriage; but that those who were not unacquainted with Morgiana's good qualities, commended his generosity and goodness of heart.	true	1352.51	1376.26	22.212889
8474_281188_000050_000003	Ali Baba did not visit the robbers' cave for a whole year, as he supposed the other two might be alive.	Ali Baba did not visit the robbers' cave for a whole year, as he supposed the other two might be alive.	true	1377.77	1383.73	22.636518
8474_281188_000051_000000	At the year's end, when he found they had not made any attempt to disturb him, he had the curiosity to make another journey.	At the year's end, when he found they had not made any attempt to disturb him, he had the curiosity to make another journey.	true	1384.22	1390.42	22.703346
8474_281188_000051_000001	He mounted his horse, and when he came to the cave he alighted, tied his horse to a tree, then approaching the entrance, and pronouncing the words, "Open, Sesame!" the door opened.	He mounted his horse, and when he came to the cave he alighted, tied his horse to a tree, then approaching the entrance, and pronouncing the words, "Open, Sesame!" the door opened.	true	1390.73	1401.01	23.196997
8474_281188_000051_000002	He entered the cavern and by the condition he found things in, judged that nobody had been there since the captain had fetched the goods for his shop.	He entered the cavern and by the condition he found things in, judged that nobody had been there since the captain had fetched the goods for his shop.	true	1401.38	1408.84	21.289614
8474_281188_000051_000003	From this time he believed he was the only person in the world who had the secret of opening the cave, and that all the treasure was at his sole disposal.	From this time he believed he was the only person in the world who had the secret of opening the cave, and that all the treasure was at his sole disposal.	true	1409.42	1417.09	20.039295
8474_281188_000051_000004	He put as much gold into his saddle-bag as his horse could carry, and returned to town.	He put as much gold into his saddle bag as his horse could carry, and returned to town.	true	1417.46	1422.28	23.708748
8474_281188_000051_000005	Some years later he carried his son to the cave and taught him the secret, which descended to his posterity, who, using their good- fortune with moderation, lived in honor and splendor.	Some years later he carried his son to the cave and taught him the secret, which descended to his posterity, who, using their good fortune with moderation, lived in honor and splendor.	false	1423.01	1446.24	21.984613
