1734_142311_000000_000000	'No,' said he.	'No,' said he.	false	0	0.99	21.227058
1734_142311_000047_000003	Those that have lived there all their lives, are used to soaking in the stagnant waters.	Those that have lived there all their lives, are used to soaking in the stagnant waters.	false	961.13	965.74	9
1734_142311_000047_000004	They labour on, from day to day, in the great solitude of steaming fields--never speaking or lifting up their poor, bent, downcast heads.	They labour on, from day to day, in the great solitude of steaming fields-never speaking or lifting up their poor, bent, downcast heads.	true	966.2	975.37	14
1734_142311_000047_000005	The hard spade-work robs their brain of life; the sameness of their toil deadens their imagination; they don't care to meet to talk over thoughts and speculations, even of the weakest, wildest kind, after their work is done; they go home brutishly tired, poor creatures! caring for nothing but food and rest.	The hard spade work robs their brain of life; the sameness of their toil deadens their imagination; they don't care to meet to talk over thoughts and speculations, even of the weakest, wildest kind, after their work is done; they go home brutishly tired, poor creatures! caring for nothing but food and rest.	false	975.77	996.52	14
1734_142311_000047_000006	You could not stir them up into any companionship, which you get in a town as plentiful as the air you breathe, whether it be good or bad--and that I don't know; but I do know, that you of all men are not one to bear a life among such labourers.	You could not stir them up into any companionship, which you get in a town as plentiful as the air you breathe, whether it be good or bad-and that I don't know; but I do know, that you of all men are not one to bear a life among such labourers.	true	996.8	1011.93	14
1734_142311_000047_000007	What would be peace to them would be eternal fretting to you.	What would be peace to them would be eternal fretting to you.	false	1011.93	1016.11	17
1734_142311_000047_000008	Think no more of it, Nicholas, I beg.	Think no more of it, Nicholas, I beg.	true	1016.45	1018.96	16
1734_142311_000047_000009	Besides, you could never pay to get mother and children all there--that's one good thing.'	Besides, you could never pay to get mother and children all there-that's one good thing.'	true	1019.33	1024.54	14
1734_142311_000048_000000	'I've reckoned for that.	'I've reckoned for that.	true	1025.27	1026.56	21.832087
1734_142311_000048_000001	One house mun do for us a', and the furniture o' t'other would go a good way.	One house mun do for us a', and the furniture o' t'other would go a good way.	false	1026.56	1031.2	10
1734_142311_000048_000002	And men theer mun have their families to keep--mappen six or seven childer.	And men theer mun have their families to keep-mappen six or seven childer.	true	1031.24	1035.73	12
1734_142311_000048_000003	God help 'em!' said he, more convinced by his own presentation of the facts than by all Margaret had said, and suddenly renouncing the idea, which had but recently formed itself in a brain worn out by the day's fatigue and anxiety.	God help 'em!' said he, more convinced by his own presentation of the facts than by all Margaret had said, and suddenly renouncing the idea, which had but recently formed itself in a brain worn out by the day's fatigue and anxiety.	false	1036.01	1050.25	12
1734_142311_000048_000004	'God help 'em!	'God help 'em!	true	1050.56	1051.6	15
1734_142311_000048_000005	North an' South have each getten their own troubles.	North an' South have each getten their own troubles.	true	1051.91	1054.54	13
1734_142311_000048_000006	If work's sure and steady theer, labour's paid at starvation prices; while here we'n rucks o' money coming in one quarter, and ne'er a farthing th' next.	If work's sure and steady theer, labour's paid at starvation prices; while here we'n rucks o' money coming in one quarter, and ne'er a farthing t h' next.	false	1054.79	1064.16	16
1734_142311_000048_000007	For sure, th' world is in a confusion that passes me or any other man to understand; it needs fettling, and who's to fettle it, if it's as yon folks say, and there's nought but what we see?'	For sure, t h' world is in a confusion that passes me or any other man to understand; it needs fettling, and who's to fettle it, if it's as yon folks say, and there's nought but what we see?'	false	1064.16	1076.71	15
1734_142311_000049_000000	Mr. Hale was busy cutting bread and butter; Margaret was glad of this, for she saw that Higgins was better left to himself: that if her father began to speak ever so mildly on the subject of Higgins's thoughts, the latter would consider himself challenged to an argument, and would feel himself bound to maintain his own ground.	mr Hale was busy cutting bread and butter; Margaret was glad of this, for she saw that Higgins was better left to himself: that if her father began to speak ever so mildly on the subject of Higgins's thoughts, the latter would consider himself challenged to an argument, and would feel himself bound to maintain his own ground.	true	1077.38	1096.3	12
1734_142311_000049_000001	She and her father kept up an indifferent conversation until Higgins, scarcely aware whether he ate or not, had made a very substantial meal.	She and her father kept up an indifferent conversation until Higgins, scarcely aware whether he ate or not, had made a very substantial meal.	true	1096.94	1104.94	12
1734_142311_000049_000002	Then he pushed his chair away from the table, and tried to take an interest in what they were saying; but it was of no use; and he fell back into dreamy gloom.	Then he pushed his chair away from the table, and tried to take an interest in what they were saying; but it was of no use; and he fell back into dreamy gloom.	true	1105.37	1113.88	14
1734_142311_000049_000003	Suddenly, Margaret said (she had been thinking of it for some time, but the words had stuck in her throat), 'Higgins, have you been to Marlborough Mills to seek for work?'	Suddenly, Margaret said (she had been thinking of it for some time, but the words had stuck in her throat), 'Higgins, have you been to Marlborough Mills to seek for work?'	true	1114.55	1126	17.405645
1734_142311_000050_000000	'Thornton's?' asked he.	'Thornton's?' asked he.	true	1126.64	1127.94	15
1734_142311_000050_000001	'Ay, I've been at Thornton's.'	'Ay, I've been at Thornton's.'	false	1127.94	1129.87	15.81344
1734_142311_000051_000000	'And what did he say?'	'And what did he say?'	true	1130.78	1132.06	18.469126
1734_142311_000052_000000	'Such a chap as me is not like to see the measter.	'Such a chap as me is not like to see the measter.	true	1132.82	1135.53	12
1734_142311_000052_000001	Th' o'erlooker bid me go and be d---- d.'	t h' o'erlooker bid me go and be d---- d.'	false	1135.53	1139.58	18.522377
1734_142311_000053_000000	'I wish you had seen Mr. Thornton,' said Mr. Hale. 'He might not have given you work, but he would not have used such language.'	'I wish you had seen mr Thornton,' said mr Hale. 'He might not have given you work, but he would not have used such language.'	true	1139.58	1146.28	12
1734_142311_000054_000000	'As to th' language, I'm welly used to it; it dunnot matter to me.	'As to t h' language, I'm welly used to it; it dunnot matter to me.	false	1147.7	1151.22	15
1734_142311_000054_000001	I'm not nesh mysel' when I'm put out.	I'm not nesh mysel' when I'm put out.	false	1151.22	1153.54	12
1734_142311_000054_000002	It were th' fact that I were na wanted theer, no more nor ony other place, as I minded.'	It were t h' fact that I were na wanted theer, no more nor ony other place, as I minded.'	false	1153.73	1159.6	15
1734_142311_000055_000000	'But I wish you had seen Mr. Thornton,' repeated Margaret. 'Would you go again--it's a good deal to ask, I know--but would you go to-morrow and try him?	'But I wish you had seen mr Thornton,' repeated Margaret. 'Would you go again-it's a good deal to ask, I know-but would you go to morrow and try him?	true	1160.63	1170.4	18
1734_142311_000055_000001	I should be so glad if you would.'	I should be so glad if you would.'	true	1170.56	1172.68	15
1734_142311_000056_000000	'I'm afraid it would be of no use,' said Mr. Hale, in a low voice.	'I'm afraid it would be of no use,' said mr Hale, in a low voice.	true	1173.89	1177.42	8
1734_142311_000056_000001	'It would be better to let me speak to him.' Margaret still looked at Higgins for his answer.	'It would be better to let me speak to him.' Margaret still looked at Higgins for his answer.	true	1177.67	1182.91	19.53399
1734_142311_000056_000002	Those grave soft eyes of hers were difficult to resist.	Those grave soft eyes of hers were difficult to resist.	true	1183.34	1187.35	14
1734_142311_000056_000003	He gave a great sigh.	He gave a great sigh.	true	1187.57	1189.21	14
1734_142311_000057_000000	'It would tax my pride above a bit; if it were for mysel', I could stand a deal o' clemming first; I'd sooner knock him down than ask a favour from him.	'It would tax my pride above a bit; if it were for mysel', I could stand a deal o' clemming first; I'd sooner knock him down than ask a favour from him.	false	1190.39	1199.11	15
1734_142311_000057_000001	I'd a deal sooner be flogged mysel'; but yo're not a common wench, axing yo'r pardon, nor yet have yo' common ways about yo'.	I'd a deal sooner be flogged mysel'; but yo're not a common wench, axing yo'r pardon, nor yet have yo' common ways about yo'.	false	1199.36	1207.38	16.034412
1734_142311_000057_000002	I'll e'en make a wry face, and go at it to-morrow.	I'll e'en make a wry face, and go at it to morrow.	false	1207.38	1210.53	16
1734_142311_000057_000003	Dunna yo' think that he'll do it.	Dunna yo' think that he'll do it.	false	1210.53	1213.06	21.269648
1734_142311_000057_000004	That man has it in him to be burnt at the stake afore he'll give in.	That man has it in him to be burnt at the stake afore he'll give in.	false	1213.1	1216.66	10
1734_142311_000057_000005	I do it for yo'r sake, Miss Hale, and it's first time in my life as e'er I give way to a woman.	I do it for yo'r sake, Miss Hale, and it's first time in my life as e'er I give way to a woman.	false	1217.09	1222.75	13
1734_142311_000057_000006	Neither my wife nor Bess could e'er say that much again me.'	Neither my wife nor Bess could e'er say that much again me.'	true	1223.18	1226.83	13
1734_142311_000058_000000	'All the more do I thank you,' said Margaret, smiling.	'All the more do I thank you,' said Margaret, smiling.	false	1227.47	1230.52	12
1734_142311_000058_000001	'Though I don't believe you: I believe you have just given way to wife and daughter as much as most men.'	'Though I don't believe you: I believe you have just given way to wife and daughter as much as most men.'	false	1230.92	1236.01	10
1734_142311_000059_000000	'And as to Mr. Thornton,' said Mr. Hale, 'I'll give you a note to him, which, I think I may venture to say, will ensure you a hearing.'	'And as to mr Thornton,' said mr Hale, 'I'll give you a note to him, which, I think I may venture to say, will ensure you a hearing.'	true	1236.56	1243.78	12
1734_142311_000060_000000	'I thank yo' kindly, sir, but I'd as lief stand on my own bottom.	'I thank yo' kindly, sir, but I'd as lief stand on my own bottom.	false	1244.45	1247.62	13
1734_142311_000060_000001	I dunnot stomach the notion of having favour curried for me, by one as doesn't know the ins and outs of the quarrel.	I dunnot stomach the notion of having favour curried for me, by one as doesn't know the ins and outs of the quarrel.	true	1247.62	1253.95	14
1734_142311_000060_000002	Meddling 'twixt master and man is liker meddling 'twixt husband and wife than aught else: it takes a deal o' wisdom for to do ony good.	Meddling 'twixt master and man is liker meddling 'twixt husband and wife than aught else: it takes a deal o' wisdom for to do ony good.	false	1254.05	1262.08	15
1734_142311_000060_000003	I'll stand guard at the lodge door. I'll stand there fro' six in the morning till I get speech on him.	I'll stand guard at the lodge door. I'll stand there fro' six in the morning till I get speech on him.	false	1262.24	1267.27	14
1734_142311_000060_000004	But I'd liefer sweep th' streets, if paupers had na' got hold on that work. Dunna yo' hope, miss.	But I'd liefer sweep t h' streets, if paupers had na' got hold on that work. Dunna yo' hope, miss.	false	1267.28	1273.32	18
1734_142311_000060_000005	There'll be more chance o' getting milk out of a flint.	There'll be more chance o' getting milk out of a flint.	false	1273.32	1276.48	18
1734_142311_000060_000006	I wish yo' a very good night, and many thanks to yo'.'	I wish yo' a very good night, and many thanks to yo'.'	false	1277.15	1280.82	18
1734_142311_000061_000000	'You'll find your shoe's by the kitchen fire; I took them there to dry,' said Margaret.	'You'll find your shoe's by the kitchen fire; I took them there to dry,' said Margaret.	true	1280.82	1285.6	17.81208
1734_142311_000062_000000	He turned round and looked at her steadily, and then he brushed his lean hand across his eyes and went his way.	He turned round and looked at her steadily, and then he brushed his lean hand across his eyes and went his way.	false	1286.03	1292.61	13
1734_142311_000063_000000	'How proud that man is!' said her father, who was a little annoyed at the manner in which Higgins had declined his intercession with Mr. Thornton.	'How proud that man is!' said her father, who was a little annoyed at the manner in which Higgins had declined his intercession with mr Thornton.	false	1292.61	1301.08	15
1734_142311_000064_000000	'He is,' said Margaret; 'but what grand makings of a man there are in him, pride and all.'	'He is,' said Margaret; 'but what grand makings of a man there are in him, pride and all.'	true	1301.45	1307.5	16
1734_142311_000065_000000	'It's amusing to see how he evidently respects the part in Mr. Thornton's character which is like his own.'	'It's amusing to see how he evidently respects the part in mr Thornton's character which is like his own.'	true	1308.8	1314.34	12
1734_142311_000066_000000	'There's granite in all these northern people, papa, is there not?'	'There's granite in all these northern people, papa, is there not?'	true	1314.89	1318.69	16
1734_142311_000067_000000	'There was none in poor Boucher, I am afraid; none in his wife either.'	'There was none in poor Boucher, I am afraid; none in his wife either.'	false	1319.51	1323.07	11
1734_142311_000068_000000	'I should guess from their tones that they had Irish blood in them.	'I should guess from their tones that they had Irish blood in them.	true	1323.83	1327.03	12
1734_142311_000068_000001	I wonder what success he'll have to-morrow.	I wonder what success he'll have to morrow.	true	1327.64	1329.97	17
1734_142311_000068_000002	If he and Mr. Thornton would speak out together as man to man--if Higgins would forget that Mr. Thornton was a master, and speak to him as he does to us--and if Mr. Thornton would be patient enough to listen to him with his human heart, not with his master's ears--'	If he and mr Thornton would speak out together as man to man-if Higgins would forget that mr Thornton was a master, and speak to him as he does to us-and if mr Thornton would be patient enough to listen to him with his human heart, not with his master's ears-'	false	1330.22	1345.17	14
1734_142311_000069_000000	'You are getting to do Mr. Thornton justice at last, Margaret,' said her father, pinching her ear.	'You are getting to do mr Thornton justice at last, Margaret,' said her father, pinching her ear.	false	1345.17	1351.42	18
1734_142311_000070_000000	Margaret had a strange choking at her heart, which made her unable to answer.	Margaret had a strange choking at her heart, which made her unable to answer.	true	1352.03	1356.3	12
1734_142311_000070_000001	'Oh!' thought she, 'I wish I were a man, that I could go and force him to express his disapprobation, and tell him honestly that I knew I deserved it.	'Oh!' thought she, 'I wish I were a man, that I could go and force him to express his disapprobation, and tell him honestly that I knew I deserved it.	false	1356.3	1366.03	17.8951
1734_142311_000070_000002	It seems hard to lose him as a friend just when I had begun to feel his value.	It seems hard to lose him as a friend just when I had begun to feel his value.	true	1366.67	1372.12	15
1734_142311_000070_000003	How tender he was with dear mamma!	How tender he was with dear mamma!	true	1372.88	1374.97	12
1734_142311_000070_000004	If it were only for her sake, I wish he would come, and then at least I should know how much I was abased in his eyes.'	If it were only for her sake, I wish he would come, and then at least I should know how much I was abased in his eyes.'	false	1375.52	1392.54	16.720636
