4719_25766_000000_000000	CHAPTER II.	CHAPTER two.	false	0.27	16.275	22.572058
4719_25766_000062_000001	As they were going toward the house, Mr. Osborne remarked, carelessly, "I see you have thrown a guard around the house.	As they were going toward the house, mr Osborne remarked, carelessly, "I see you have thrown a guard around the house.	true	743.57	748.98	19.025795
4719_25766_000062_000002	Are you afraid of an attack?	Are you afraid of an attack?	true	748.98	750.48	23.221184
4719_25766_000062_000003	I know of no body of Confederates in the vicinity."	I know of no body of Confederates in the vicinity."	true	750.48	753.04	21
4719_25766_000063_000000	"The truth is," replied Haines, "we ran into a lone Confederate about a mile from here.	"The truth is," replied Haines, "we ran into a lone Confederate about a mile from here.	true	753.23	757.69	21.451345
4719_25766_000063_000001	We captured his horse, but he succeeded in escaping to the woods, after killing my horse.	We captured his horse, but he succeeded in escaping to the woods, after killing my horse.	true	757.82	762.4	20
4719_25766_000063_000002	I did not know but he might have found refuge here; and, excuse me, Mr. Osborne, but I may be under the necessity of searching your house."	I did not know but he might have found refuge here; and, excuse me, mr Osborne, but I may be under the necessity of searching your house."	false	762.53	769.63	18
4719_25766_000064_000000	"Do as you please," replied Mr. Osborne, coldly; "I have seen no such Confederate; but if I had, I should have concealed him if I could.	"Do as you please," replied mr Osborne, coldly; "I have seen no such Confederate; but if I had, I should have concealed him if I could.	true	769.91	777.225	20.884346
4719_25766_000064_000001	But do not let this circumstance spoil our good nature, or our dinner."	But do not let this circumstance spoil our good nature, or our dinner."	true	777.225	780.79	20
4719_25766_000065_000000	Just then they met Sergeant Latham returning from posting the guard. "Sergeant, you may withdraw the guard," said the Lieutenant; "Mr.	Just then they met Sergeant Latham returning from posting the guard. "Sergeant, you may withdraw the guard," said the Lieutenant; "mr	true	780.95	787.56	20.241127
4719_25766_000065_000001	Osborne informs me he has not seen our runaway Confederate."	Osborne informs me he has not seen our runaway Confederate."	false	787.56	790.57	13
4719_25766_000066_000000	The Sergeant turned back to carry out the order, muttering, "Confederate! Confederate!	The Sergeant turned back to carry out the order, muttering, "Confederate! Confederate!	true	790.7	795.06	25.00068
4719_25766_000066_000001	The Lieutenant is getting mighty nice; he generally says 'Rebel.' "	The Lieutenant is getting mighty nice; he generally says 'Rebel.' "	false	795.06	798.72	18.148039
4719_25766_000067_000000	If Lieutenant Haines was surprised at the cordial greeting he had received from Mr. Osborne, he was more than surprised at the reception he met from Mrs. Osborne, and especially the daughter, Miss Clara.	If Lieutenant Haines was surprised at the cordial greeting he had received from mr Osborne, he was more than surprised at the reception he met from mrs Osborne, and especially the daughter, Miss Clara.	false	798.72	808.185	16
4719_25766_000068_000000	Miss Osborne was a most beautiful girl, about twenty years of age.	Miss Osborne was a most beautiful girl, about twenty years of age.	true	808.185	811.5	16
4719_25766_000068_000001	No wonder Lieutenant Haines felt his heart beat faster when he looked upon her.	No wonder Lieutenant Haines felt his heart beat faster when he looked upon her.	true	811.5	815.17	20
4719_25766_000068_000002	When he met her the week before, she treated him with the utmost disdain; now she greeted him with a smile, and said, "I trust you have not come to carry papa away in captivity.	When he met her the week before, she treated him with the utmost disdain; now she greeted him with a smile, and said, "I trust you have not come to carry papa away in captivity.	true	815.33	824.13	21
4719_25766_000068_000003	If not, you are welcome."	If not, you are welcome."	true	824.13	825.76	28.962088
4719_25766_000069_000000	"Nothing of the sort this time, I am happy to say," exclaimed the Lieutenant, with a bow, "and I hope I shall never be called upon to perform that disagreeable duty."	"Nothing of the sort this time, I am happy to say," exclaimed the Lieutenant, with a bow, "and I hope I shall never be called upon to perform that disagreeable duty."	true	825.86	833.2	18
4719_25766_000070_000000	"Thank you," she answered, with a smile.	"Thank you," she answered, with a smile.	true	833.51	835.27	21
4719_25766_000070_000001	"Now, you must stay and take dinner with us while your men rest."	"Now, you must stay and take dinner with us while your men rest."	true	835.4	838.26	21
4719_25766_000071_000000	"The Lieutenant tells me he met with quite a little adventure, about a mile below here," said Mr. Osborne.	"The Lieutenant tells me he met with quite a little adventure, about a mile below here," said mr Osborne.	false	838.26	843.55	17.108347
4719_25766_000072_000000	Miss Osborne looked up inquiringly.	Miss Osborne looked up inquiringly.	false	843.83	846.21	21
4719_25766_000072_000001	Before more could be said Mrs. Osborne announced that dinner was ready, and the Lieutenant sat down to a most sumptuous repast.	Before more could be said mrs Osborne announced that dinner was ready, and the Lieutenant sat down to a most sumptuous repast.	true	846.21	852.33	18
4719_25766_000073_000000	"What was Lieutenant Haines's adventure you spoke of?" at length asked Miss Osborne of her father.	"What was Lieutenant Haines's adventure you spoke of?" at length asked Miss Osborne of her father.	true	852.33	857.82	19.833117
4719_25766_000074_000000	"Better let the Lieutenant tell the story, for I know nothing of it," answered Mr. Osborne; "but he spoke of searching the house for a supposed concealed Confederate."	"Better let the Lieutenant tell the story, for I know nothing of it," answered mr Osborne; "but he spoke of searching the house for a supposed concealed Confederate."	true	857.82	865.54	21
4719_25766_000075_000000	As Mr. Osborne said this, Miss Osborne gave a little gasp and turned pale, but quickly recovering herself, she turned a pair of inquiring eyes on the Lieutenant--eyes that emitted flames of angry light and seemed to look him through and through.	As mr Osborne said this, Miss Osborne gave a little gasp and turned pale, but quickly recovering herself, she turned a pair of inquiring eyes on the Lieutenant-eyes that emitted flames of angry light and seemed to look him through and through.	true	865.61	878.505	20.199997
4719_25766_000076_000000	Lieutenant Haines turned very red.	Lieutenant Haines turned very red.	true	878.505	880.515	20
4719_25766_000076_000001	"Forgive me if I thought of such a thing," he replied, humbly.	"Forgive me if I thought of such a thing," he replied, humbly.	true	880.515	883.32	17
4719_25766_000076_000002	"Your father has assured me he has neither seen nor concealed any Confederate officer, and his word is good with me. Make yourself easy.	"Your father has assured me he has neither seen nor concealed any Confederate officer, and his word is good with me. Make yourself easy.	true	883.32	890.625	20.203411
4719_25766_000076_000003	I shall not insult you by searching the house."	I shall not insult you by searching the house."	true	890.625	892.86	14
4719_25766_000077_000000	A look as of relief came over the face of Miss Osborne as she answered: "I thank you very much.	A look as of relief came over the face of Miss Osborne as she answered: "I thank you very much.	false	892.86	897.975	18.949335
4719_25766_000077_000001	I shall never say again there are no gentlemen among the Yankees.	I shall never say again there are no gentlemen among the Yankees.	false	897.975	901	12
4719_25766_000077_000002	But tell us of your adventure.	But tell us of your adventure.	true	901.16	902.655	17.931602
4719_25766_000077_000003	I thought I heard firing about an hour ago.	I thought I heard firing about an hour ago.	true	902.655	904.83	15
4719_25766_000077_000004	Was there any one hurt?"	Was there any one hurt?"	false	904.83	906.42	19.076359
4719_25766_000078_000000	"Only my poor horse; he was killed," answered Haines.	"Only my poor horse; he was killed," answered Haines.	true	906.42	909.3	21.606104
4719_25766_000079_000000	"Ah! in the days of knighthood to be unhorsed was to be defeated," exclaimed Miss Osborne, gayly.	"Ah! in the days of knighthood to be unhorsed was to be defeated," exclaimed Miss Osborne, gayly.	false	909.3	914.38	17.653774
4719_25766_000079_000001	"You must admit yourself vanquished!"	"You must admit yourself vanquished!"	true	914.45	916.57	20.782976
4719_25766_000080_000000	Haines laughingly replied: "I am sorry to disappoint you; but as I captured my enemy's horse and he fled on foot, I cannot admit defeat."	Haines laughingly replied: "I am sorry to disappoint you; but as I captured my enemy's horse and he fled on foot, I cannot admit defeat."	false	916.58	924.85	22.066559
4719_25766_000081_000000	"Then your enemy was a solitary knight?" queried Miss Osborne.	"Then your enemy was a solitary knight?" queried Miss Osborne.	true	924.98	928.12	19
4719_25766_000082_000000	"Yes, but to all appearances a most gallant one."	"Yes, but to all appearances a most gallant one."	true	928.61	931.12	22.26539
4719_25766_000083_000000	"Strange," she mused, "who he could be, and what he could be doing in this section.	"Strange," she mused, "who he could be, and what he could be doing in this section.	false	931.46	936	20.57856
4719_25766_000083_000001	The place for true knights, at this time, is at Corinth."	The place for true knights, at this time, is at Corinth."	true	936	938.98	22.38989
4719_25766_000084_000000	"From letters captured with his horse, I take it he was from Corinth," said Haines.	"From letters captured with his horse, I take it he was from Corinth," said Haines.	true	939.05	942.97	23
4719_25766_000084_000001	"From those letters we learned that his name was Calhoun Pennington, that he was a lieutenant in the command of Captain John H. Morgan, a gentleman who has given us considerable trouble, and may give us more, and that he was on his way back to Kentucky to recruit for Morgan's command."	"From those letters we learned that his name was Calhoun Pennington, that he was a lieutenant in the command of Captain john h Morgan, a gentleman who has given us considerable trouble, and may give us more, and that he was on his way back to Kentucky to recruit for Morgan's command."	true	943.01	956.47	21.299849
4719_25766_000085_000000	"You say you captured letters?" queried the girl.	"You say you captured letters?" queried the girl.	true	956.84	959.29	19.69873
4719_25766_000086_000000	"Yes, a whole package of them.	"Yes, a whole package of them.	true	959.33	960.9	25.914495
4719_25766_000086_000001	They were from members of Morgan's command to their friends back in Kentucky.	They were from members of Morgan's command to their friends back in Kentucky.	true	960.9	964.18	21.010353
4719_25766_000086_000002	The boys are having rare fun reading them."	The boys are having rare fun reading them."	true	964.19	966.49	18.586494
4719_25766_000087_000000	"I suppose it is according to military usages to read all communications captured from the enemy," remarked Miss Osborne with a slight tinge of sarcasm in her tone, "but it seems sacrilege that these private letters should fall into profane hands."	"I suppose it is according to military usages to read all communications captured from the enemy," remarked Miss Osborne with a slight tinge of sarcasm in her tone, "but it seems sacrilege that these private letters should fall into profane hands."	true	966.8	979.51	18
4719_25766_000088_000000	"Some of them were rich," laughed Haines; "they were written by loving swains to their girls.	"Some of them were rich," laughed Haines; "they were written by loving swains to their girls.	true	979.79	984.28	20.114798
4719_25766_000088_000001	There were others written to wives and mothers, which almost brought tears to our eyes, they were so full of yearnings for home."	There were others written to wives and mothers, which almost brought tears to our eyes, they were so full of yearnings for home."	true	984.56	990.52	19
4719_25766_000089_000000	"Lieutenant, there was nothing in those letters of value to you from a military standpoint, was there?" suddenly asked Miss Osborne.	"Lieutenant, there was nothing in those letters of value to you from a military standpoint, was there?" suddenly asked Miss Osborne.	true	990.62	997.005	20
4719_25766_000090_000000	"Nothing."	"Nothing."	true	997.005	997.69	24.501675
4719_25766_000091_000000	"Then I have a great boon to ask.	"Then I have a great boon to ask.	true	997.7	999.555	19.319616
4719_25766_000091_000001	Will you not give them to me?"	Will you not give them to me?"	true	999.555	1001.08	21.625513
4719_25766_000092_000000	"Why, Miss Osborne, what can you do with them?" asked Haines, in surprise.	"Why, Miss Osborne, what can you do with them?" asked Haines, in surprise.	true	1001.21	1004.68	20
4719_25766_000093_000000	"I can at least keep them sacred.	"I can at least keep them sacred.	true	1005.23	1007.02	24.93578
4719_25766_000093_000001	Perhaps I can find means of getting them to those for whom they are intended.	Perhaps I can find means of getting them to those for whom they are intended.	true	1007.02	1010.47	16
4719_25766_000093_000002	Think of those wives and mothers watching, waiting for letters which will never come.	Think of those wives and mothers watching, waiting for letters which will never come.	true	1010.51	1014.21	15
4719_25766_000093_000003	Oh! give them to me, Lieutenant Haines, and you will sleep the sweeter to-night."	Oh! give them to me, Lieutenant Haines, and you will sleep the sweeter to night."	true	1014.21	1017.98	22.307343
4719_25766_000094_000000	"Your request is a strange one," said the Lieutenant; "yet I can see no harm in granting it.	"Your request is a strange one," said the Lieutenant; "yet I can see no harm in granting it.	true	1017.98	1022.8	18.641926
4719_25766_000094_000001	You can have the letters, but the boys may have destroyed some of them by this time."	You can have the letters, but the boys may have destroyed some of them by this time."	true	1022.84	1026.79	17.630648
4719_25766_000095_000000	"Thank you!	"Thank you!	true	1026.86	1027.5	28.31156
4719_25766_000095_000001	Oh, thank you!	Oh, thank you!	false	1027.5	1028.22	30.166842
4719_25766_000095_000002	You will never regret your kindness.	You will never regret your kindness.	false	1028.22	1030.18	19.245443
4719_25766_000095_000003	I shall remember it."	I shall remember it."	true	1030.18	1031.38	17.679482
4719_25766_000096_000000	"I only ask you to think better of Yankees, Miss Osborne; we are not all monsters."	"I only ask you to think better of Yankees, Miss Osborne; we are not all monsters."	false	1031.54	1036.21	20.010891
4719_25766_000097_000000	Dinner was now over, and Sergeant Latham came to report that the hour for the halt was up, and to ask what were the Lieutenant's orders.	Dinner was now over, and Sergeant Latham came to report that the hour for the halt was up, and to ask what were the Lieutenant's orders.	true	1036.28	1042.71	18
4719_25766_000098_000000	"Have the troop ready, and we will return to camp.	"Have the troop ready, and we will return to camp.	false	1042.71	1045.48	22.299921
4719_25766_000098_000001	I see nothing more we can accomplish here," answered the Lieutenant.	I see nothing more we can accomplish here," answered the Lieutenant.	true	1045.48	1048.54	20.249449
4719_25766_000099_000000	The Sergeant saluted and turned to go, when the officer stopped him with, "Say, Sergeant, you can gather up all those letters we captured and send them up here with my horse."	The Sergeant saluted and turned to go, when the officer stopped him with, "Say, Sergeant, you can gather up all those letters we captured and send them up here with my horse."	true	1048.79	1057.21	21.150764
4719_25766_000100_000000	"Very well," said the Sergeant, but he muttered to himself, as he returned, "Now, I would like to know what the Lieutenant wants of those letters.	"Very well," said the Sergeant, but he muttered to himself, as he returned, "Now, I would like to know what the Lieutenant wants of those letters.	false	1057.25	1063.35	18
4719_25766_000100_000001	I bet he has let that girl pull the wool over his eyes."	I bet he has let that girl pull the wool over his eyes."	false	1063.35	1066.44	18.605053
4719_25766_000101_000000	In a few moments a soldier appeared leading the Lieutenant's horse.	In a few moments a soldier appeared leading the Lieutenant's horse.	false	1066.44	1070.29	20.2245
4719_25766_000102_000000	The family had accompanied Lieutenant Haines to the porch.	The family had accompanied Lieutenant Haines to the porch.	true	1070.54	1073.29	26.256151
4719_25766_000102_000001	Stepping down to where his horse was, he said to the soldier, "You may return and tell Sergeant Latham to move the troop.	Stepping down to where his horse was, he said to the soldier, "You may return and tell Sergeant Latham to move the troop.	false	1073.36	1079.57	20.002497
4719_25766_000102_000002	I will catch up with you in a few moments.	I will catch up with you in a few moments.	true	1079.57	1081.54	20.030636
4719_25766_000102_000003	Did you bring the letters?"	Did you bring the letters?"	true	1081.58	1082.83	15.859039
4719_25766_000103_000000	"Yes, sir," answered the soldier, saluting, and handing the package to his commander.	"Yes, sir," answered the soldier, saluting, and handing the package to his commander.	true	1083.08	1086.96	24.668854
4719_25766_000104_000000	"Very well, you may go now."	"Very well, you may go now."	true	1086.96	1088.65	24.335238
4719_25766_000105_000000	Lieutenant Haines stood and watched the soldiers while his order was being obeyed, for he did not wish to have any of his men see him give the package to Miss Osborne.	Lieutenant Haines stood and watched the soldiers while his order was being obeyed, for he did not wish to have any of his men see him give the package to Miss Osborne.	false	1088.81	1096.62	16
4719_25766_000106_000000	After his troop had moved off, Haines placed the bridle of his horse in the hands of a waiting colored boy, and returning to the porch where Mr. Osborne and the ladies still stood, said: "That is the horse I captured from my foe.	After his troop had moved off, Haines placed the bridle of his horse in the hands of a waiting colored boy, and returning to the porch where mr Osborne and the ladies still stood, said: "That is the horse I captured from my foe.	false	1096.62	1107.59	15
4719_25766_000106_000001	He is a beauty, isn't he?	He is a beauty, isn't he?	true	1107.59	1108.99	19.311522
4719_25766_000106_000002	Jupiter was a splendid horse, but I do not think I lost anything by the exchange.	Jupiter was a splendid horse, but I do not think I lost anything by the exchange.	false	1109.27	1114.12	22.949373
4719_25766_000106_000003	Here are the letters, Miss Osborne; you see I have kept my promise," and he reached out the package to her.	Here are the letters, Miss Osborne; you see I have kept my promise," and he reached out the package to her.	false	1114.25	1119.16	19.996107
4719_25766_000107_000000	But before she could take them they were snatched from Haines's hand, and a stern voice said, "I will take the letters, please."	But before she could take them they were snatched from Haines's hand, and a stern voice said, "I will take the letters, please."	false	1119.26	1125.46	18.73707
4719_25766_000108_000000	Had a bombshell exploded at Lieutenant Haines's feet he would not have been more surprised, and his surprise changed to consternation when he found himself looking into the muzzle of a revolver.	Had a bombshell exploded at Lieutenant Haines's feet he would not have been more surprised, and his surprise changed to consternation when he found himself looking into the muzzle of a revolver.	true	1125.77	1134.91	17
4719_25766_000108_000001	Lieutenant Haines was no coward, but he was unarmed save his sword, and there was no mistaking the look in Calhoun's eye.	Lieutenant Haines was no coward, but he was unarmed save his sword, and there was no mistaking the look in Calhoun's eye.	true	1134.91	1141.05	19.930084
4719_25766_000108_000002	It meant death if he attempted to draw his sword.	It meant death if he attempted to draw his sword.	false	1141.05	1143.67	23
4719_25766_000109_000000	As for Mr. Osborne, he seemed as much surprised as Lieutenant Haines.	As for mr Osborne, he seemed as much surprised as Lieutenant Haines.	true	1143.8	1147.42	18
4719_25766_000109_000001	Miss Osborne gave a little shriek, and then cried.	Miss Osborne gave a little shriek, and then cried.	true	1147.79	1150.15	19.96377
4719_25766_000109_000002	"Oh, how could you betray us!" and stood with clasped hands, and with face as pale as death.	"Oh, how could you betray us!" and stood with clasped hands, and with face as pale as death.	true	1150.15	1155.39	23.59977
4719_25766_000110_000000	Mr. Osborne was the first to recover from his surprise.	mr Osborne was the first to recover from his surprise.	true	1155.39	1158.19	19
4719_25766_000110_000001	"I know not who you are," he said, "but Lieutenant Haines is my guest, and I will have no violence.	"I know not who you are," he said, "but Lieutenant Haines is my guest, and I will have no violence.	true	1158.5	1163.2	15
4719_25766_000110_000002	Lower that weapon!"	Lower that weapon!"	true	1163.2	1164.31	22.632648
4719_25766_000111_000000	Without doing so, Calhoun answered, "If I have done anything contrary to the wishes of those who have so kindly befriended me, I am sorry; but I could not withstand the temptation to claim my own.	Without doing so, Calhoun answered, "If I have done anything contrary to the wishes of those who have so kindly befriended me, I am sorry; but I could not withstand the temptation to claim my own.	false	1164.77	1175.04	20.831593
4719_25766_000111_000001	As it is, I will bid you good day."	As it is, I will bid you good day."	true	1175.04	1177.06	19.813726
4719_25766_000112_000000	Thus saying, he dashed past them, and snatching the bridle of his horse from the negro boy, he vaulted into the saddle and was away at full speed.	Thus saying, he dashed past them, and snatching the bridle of his horse from the negro boy, he vaulted into the saddle and was away at full speed.	true	1177.07	1183.93	17.038212
4719_25766_000113_000000	For a moment not a word was spoken, and then Lieutenant Haines turned on Mr. Osborne and said, bitterly, "I congratulate you on the success of your plot.	For a moment not a word was spoken, and then Lieutenant Haines turned on mr Osborne and said, bitterly, "I congratulate you on the success of your plot.	true	1184.36	1192.04	17
4719_25766_000113_000001	I will not be fool enough again to take the word of a Southern gentleman."	I will not be fool enough again to take the word of a Southern gentleman."	true	1192.04	1195.27	15
4719_25766_000114_000000	Mr. Osborne flushed deeply, but before he could reply, his daughter sprang in front of him, and faced Lieutenant Haines with flashing eye.	mr Osborne flushed deeply, but before he could reply, his daughter sprang in front of him, and faced Lieutenant Haines with flashing eye.	true	1195.73	1202.59	22
4719_25766_000115_000000	"I will not have my father accused of deception and falsehood," she cried. "He knew nothing of that Confederate being concealed in the house.	"I will not have my father accused of deception and falsehood," she cried. "He knew nothing of that Confederate being concealed in the house.	true	1202.72	1208.92	19
4719_25766_000115_000001	I alone am to blame, and I told you nothing.	I alone am to blame, and I told you nothing.	true	1209.02	1211.44	20.590418
4719_25766_000115_000002	I strove to entertain you and keep you from searching the house, and I accomplished my purpose."	I strove to entertain you and keep you from searching the house, and I accomplished my purpose."	true	1211.45	1215.94	24.631071
4719_25766_000116_000000	"And you got those letters from me to give to him?"	"And you got those letters from me to give to him?"	true	1216.16	1218.43	17.064322
4719_25766_000117_000000	"Yes."	"Yes."	true	1218.77	1219.42	30.825968
4719_25766_000118_000000	Lieutenant Haines groaned.	Lieutenant Haines groaned.	true	1219.55	1221.09	22.590366
4719_25766_000118_000001	"It may be some satisfaction to you," he said, "to know that this may mean my undoing, disgrace, a dishonorable dismissal from the service."	"It may be some satisfaction to you," he said, "to know that this may mean my undoing, disgrace, a dishonorable dismissal from the service."	false	1221.09	1229.29	18.796768
4719_25766_000119_000000	"I shall take no pleasure in your dishonor," she exclaimed, the color slowly mounting to her cheeks.	"I shall take no pleasure in your dishonor," she exclaimed, the color slowly mounting to her cheeks.	true	1229.3	1233.97	18
4719_25766_000119_000001	"I did not intend that Lieutenant Pennington should show himself.	"I did not intend that Lieutenant Pennington should show himself.	true	1234.22	1237.24	21
4719_25766_000119_000002	It was his rashness that has brought all this trouble."	It was his rashness that has brought all this trouble."	true	1237.24	1240.09	17
4719_25766_000120_000000	"How can I return to camp without arms, without a horse?	"How can I return to camp without arms, without a horse?	false	1240.1	1243.41	19.940744
4719_25766_000120_000001	It would have been a kindness to me if your friend Lieutenant Pennington had put a bullet through my brain."	It would have been a kindness to me if your friend Lieutenant Pennington had put a bullet through my brain."	false	1243.41	1247.92	22
4719_25766_000121_000000	Mr. Osborne now spoke.	mr Osborne now spoke.	true	1248.23	1249.76	27
4719_25766_000121_000001	"Lieutenant Haines," he said, "my daughter speaks the truth when she says I knew nothing of the Confederate officer being in my house.	"Lieutenant Haines," he said, "my daughter speaks the truth when she says I knew nothing of the Confederate officer being in my house.	false	1249.76	1255.72	11
4719_25766_000121_000002	Had I known it, I should have tried to conceal him, to protect him; but I should not have invited you to be my guest.	Had I known it, I should have tried to conceal him, to protect him; but I should not have invited you to be my guest.	true	1255.85	1261.68	18.845448
4719_25766_000121_000003	As my guest, you are entitled to my protection, and I shall make what reparation is in my power." Then turning to the colored boy who had stood by with mouth and eyes wide open, he said, "Tom, go and saddle and bridle Starlight, and bring him around for this gentleman."	As my guest, you are entitled to my protection, and I shall make what reparation is in my power." Then turning to the colored boy who had stood by with mouth and eyes wide open, he said, "Tom, go and saddle and bridle Starlight, and bring him around for this gentleman."	true	1261.68	1275.7	21.65864
4719_25766_000122_000000	"Surely you do not intend to give me a horse, Mr. Osborne," said Haines.	"Surely you do not intend to give me a horse, mr Osborne," said Haines.	true	1275.83	1279.3	15
4719_25766_000123_000000	"As my guest, I can do no less," replied Mr. Osborne.	"As my guest, I can do no less," replied mr Osborne.	true	1279.31	1282.23	17
4719_25766_000123_000001	"If Lieutenant Pennington had not taken his, I should have let him have one to continue on his way to Kentucky.	"If Lieutenant Pennington had not taken his, I should have let him have one to continue on his way to Kentucky.	false	1282.23	1287.82	21
4719_25766_000123_000002	So you see, after all, I am out nothing."	So you see, after all, I am out nothing."	true	1287.95	1290.76	24.390371
4719_25766_000124_000000	Just then they were aroused by the sound of horses' feet, and looking up they saw Sergeant Latham accompanied by two soldiers coming on a gallop. Riding up, the Sergeant saluted, and casting his sharp eyes around, said, "Lieutenant, excuse me, but you were so long in joining us that I feared something--an accident--had befallen you, so I came back to see.	Just then they were aroused by the sound of horses' feet, and looking up they saw Sergeant Latham accompanied by two soldiers coming on a gallop. Riding up, the Sergeant saluted, and casting his sharp eyes around, said, "Lieutenant, excuse me, but you were so long in joining us that I feared something-an accident-had befallen you, so I came back to see.	false	1290.83	1307.79	17
4719_25766_000124_000001	Where in the world is your horse, Lieutenant?"	Where in the world is your horse, Lieutenant?"	false	1307.79	1310.11	21.267859
4719_25766_000125_000000	"Coming," answered his superior, briskly, for he had no notion of explaining just then what had happened.	"Coming," answered his superior, briskly, for he had no notion of explaining just then what had happened.	false	1310.21	1316.09	22.070791
4719_25766_000126_000000	When the colored boy came leading an entirely strange horse with citizen saddle and bridle on, the Sergeant exchanged meaning glances with his companions, but said nothing.	When the colored boy came leading an entirely strange horse with citizen saddle and bridle on, the Sergeant exchanged meaning glances with his companions, but said nothing.	true	1316.09	1324.76	14
4719_25766_000127_000000	Mounting, Lieutenant Haines bade the family good day, and rode moodily away.	Mounting, Lieutenant Haines bade the family good day, and rode moodily away.	true	1324.76	1328.4	13
4719_25766_000127_000001	No sooner were they out of hearing than the Sergeant, forgetting military discipline, exclaimed, "What in blazes is up, Lieutenant?	No sooner were they out of hearing than the Sergeant, forgetting military discipline, exclaimed, "What in blazes is up, Lieutenant?	true	1328.4	1335.02	19.81012
4719_25766_000127_000002	I suspected something was wrong all the time."	I suspected something was wrong all the time."	true	1335.02	1337.3	20
4719_25766_000128_000000	"That is what made you come back, is it?" asked the Lieutenant.	"That is what made you come back, is it?" asked the Lieutenant.	false	1337.3	1340.02	26
4719_25766_000129_000000	"Yes; I did not march the command far before I halted and waited for you. Pretty soon we heard the sound of a galloping horse, and thought you were coming.	"Yes; I did not march the command far before I halted and waited for you. Pretty soon we heard the sound of a galloping horse, and thought you were coming.	false	1340.39	1347.46	18.852638
4719_25766_000129_000001	But when you didn't appear, I became alarmed and concluded to ride back and see what was the matter."	But when you didn't appear, I became alarmed and concluded to ride back and see what was the matter."	false	1347.53	1351.32	14
4719_25766_000130_000000	"Thank you, Sergeant, for your watchfulness.	"Thank you, Sergeant, for your watchfulness.	true	1351.32	1353.18	20.773085
4719_25766_000130_000001	I shall remember it."	I shall remember it."	true	1353.18	1354.31	22.219263
4719_25766_000131_000000	Then as they rode along, the Lieutenant told Latham his story.	Then as they rode along, the Lieutenant told Latham his story.	true	1354.31	1357.37	19
4719_25766_000132_000000	"And that pesky Reb was concealed in the house all the time, was he?" asked Latham.	"And that pesky Reb was concealed in the house all the time, was he?" asked Latham.	false	1357.37	1361.32	19
4719_25766_000133_000000	"Yes; the girl worked it fine."	"Yes; the girl worked it fine."	true	1361.72	1363.8	27.59917
4719_25766_000134_000000	The Sergeant laughed long and loud.	The Sergeant laughed long and loud.	true	1363.8	1365.73	19.68235
4719_25766_000134_000001	"And she coaxed the letters from you too.	"And she coaxed the letters from you too.	false	1365.77	1367.4	18
4719_25766_000134_000002	Oh, my!	Oh, my!	false	1367.4	1368.09	5
4719_25766_000134_000003	Oh, my!" And he nearly bent double.	Oh, my!" And he nearly bent double.	false	1368.09	1370.2	20.254696
4719_25766_000135_000000	"Shut up, you fool you!" growled Haines.	"Shut up, you fool you!" growled Haines.	true	1370.2	1372.68	19.190054
4719_25766_000135_000001	"Say, you must help me out of this scrape."	"Say, you must help me out of this scrape."	true	1372.68	1374.88	19.21206
4719_25766_000136_000000	"Trust me, Lieutenant; I will tell how brave you were, and how you run the Rebel down, and how you would have captured him if he hadn't shot your horse.	"Trust me, Lieutenant; I will tell how brave you were, and how you run the Rebel down, and how you would have captured him if he hadn't shot your horse.	true	1374.95	1381.83	17
4719_25766_000136_000001	But look out after this how you let Southern girls fool you."	But look out after this how you let Southern girls fool you."	true	1381.83	1384.55	15
4719_25766_000137_000000	The Lieutenant sighed.	The Lieutenant sighed.	true	1384.55	1385.78	21.320974
4719_25766_000137_000001	"She is the most beautiful creature I ever saw," he murmured.	"She is the most beautiful creature I ever saw," he murmured.	true	1385.78	1388.78	10
4719_25766_000137_000002	"Gods!	"Gods!	true	1388.78	1389.43	23.18302
4719_25766_000137_000003	I shall never forget how she looked when she sprang in between me and that Pennington when he had his revolver levelled at my head."	I shall never forget how she looked when she sprang in between me and that Pennington when he had his revolver levelled at my head."	true	1389.43	1395.29	9
4719_25766_000138_000000	"Forget her," was the sage advice of the Sergeant; but the Lieutenant did not take it.	"Forget her," was the sage advice of the Sergeant; but the Lieutenant did not take it.	false	1395.29	1407	17.788452
