497_125118_000000_000000	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	false	0	3.42	6
497_125118_000065_000000	'"A literary man--WITH a wooden leg--and all Print is open to him!" That's what I thought to myself, that morning,' pursued Mr Boffin, leaning forward to describe, uncramped by the clotheshorse, as large an arc as his right arm could make; '"all Print is open to him!" And it is, ain't it?'	'"A literary man-WITH a wooden leg-and all Print is open to him!" That's what I thought to myself, that morning,' pursued Mr Boffin, leaning forward to describe, uncramped by the clotheshorse, as large an arc as his right arm could make; '"all Print is open to him!" And it is, ain't it?'	true	1012.37	1031.47	18.668583
497_125118_000066_000000	'Why, truly, sir,' Mr Wegg admitted, with modesty; 'I believe you couldn't show me the piece of English print, that I wouldn't be equal to collaring and throwing.'	'Why, truly, sir,' Mr Wegg admitted, with modesty; 'I believe you couldn't show me the piece of English print, that I wouldn't be equal to collaring and throwing.'	true	1032.71	1043.11	16
497_125118_000067_000000	'On the spot?' said Mr Boffin.	'On the spot?' said Mr Boffin.	true	1043.54	1045.93	18.020836
497_125118_000068_000000	'On the spot.'	'On the spot.'	true	1046.06	1047.19	19.21377
497_125118_000069_000000	'I know'd it!	'I know'd it!	true	1047.92	1048.78	19.195759
497_125118_000069_000001	Then consider this.	Then consider this.	true	1049.45	1050.85	20.991127
497_125118_000069_000002	Here am I, a man without a wooden leg, and yet all print is shut to me.'	Here am I, a man without a wooden leg, and yet all print is shut to me.'	true	1051.49	1056.55	18.8223
497_125118_000070_000000	'Indeed, sir?' Mr Wegg returned with increasing self-complacency. 'Education neglected?'	'Indeed, sir?' Mr Wegg returned with increasing self complacency. 'Education neglected?'	true	1058.15	1064.79	16
497_125118_000071_000000	'Neg--lected!' repeated Boffin, with emphasis.	'Neg-lected!' repeated Boffin, with emphasis.	false	1064.79	1068.4	20.685486
497_125118_000071_000001	'That ain't no word for it.	'That ain't no word for it.	true	1068.95	1070.53	20.548891
497_125118_000071_000002	I don't mean to say but what if you showed me a B, I could so far give you change for it, as to answer Boffin.'	I don't mean to say but what if you showed me a B, I could so far give you change for it, as to answer Boffin.'	true	1071.17	1077.34	18.355047
497_125118_000072_000000	'Come, come, sir,' said Mr Wegg, throwing in a little encouragement, 'that's something, too.'	'Come, come, sir,' said Mr Wegg, throwing in a little encouragement, 'that's something, too.'	false	1078.37	1084.24	17.399387
497_125118_000073_000000	'It's something,' answered Mr Boffin, 'but I'll take my oath it ain't much.'	'It's something,' answered Mr Boffin, 'but I'll take my oath it ain't much.'	true	1085.15	1092.11	17.754816
497_125118_000074_000000	'Perhaps it's not as much as could be wished by an inquiring mind, sir,' Mr Wegg admitted.	'Perhaps it's not as much as could be wished by an inquiring mind, sir,' Mr Wegg admitted.	true	1092.11	1098.37	17
497_125118_000075_000000	'Now, look here.	'Now, look here.	true	1099.82	1100.65	20.992636
497_125118_000075_000001	I'm retired from business.	I'm retired from business.	true	1101.23	1102.63	18
497_125118_000075_000002	Me and Mrs Boffin--Henerietty Boffin--which her father's name was Henery, and her mother's name was Hetty, and so you get it--we live on a compittance, under the will of a diseased governor.'	Me and Mrs Boffin-Henerietty Boffin-which her father's name was Henery, and her mother's name was Hetty, and so you get it-we live on a compittance, under the will of a diseased governor.'	false	1102.85	1116.37	18.889965
497_125118_000076_000000	'Gentleman dead, sir?'	'Gentleman dead, sir?'	true	1118	1119.61	12
497_125118_000077_000000	'Man alive, don't I tell you?	'Man alive, don't I tell you?	true	1120.52	1122.36	21
497_125118_000077_000001	A diseased governor?	A diseased governor?	true	1122.36	1123.72	23.068975
497_125118_000077_000002	Now, it's too late for me to begin shovelling and sifting at alphabeds and grammar-books. I'm getting to be a old bird, and I want to take it easy.	Now, it's too late for me to begin shovelling and sifting at alphabeds and grammar books. I'm getting to be a old bird, and I want to take it easy.	true	1123.73	1131.64	18.596554
497_125118_000077_000003	But I want some reading--some fine bold reading, some splendid book in a gorging Lord-Mayor's-Show of wollumes' (probably meaning gorgeous, but misled by association of ideas); 'as'll reach right down your pint of view, and take time to go by you.	But I want some reading-some fine bold reading, some splendid book in a gorging Lord Mayor's Show of wollumes' (probably meaning gorgeous, but misled by association of ideas); 'as'll reach right down your pint of view, and take time to go by you.	false	1132.7	1151.11	18.172276
497_125118_000077_000004	How can I get that reading, Wegg?	How can I get that reading, Wegg?	true	1152.08	1153.75	19.929697
497_125118_000077_000005	By,' tapping him on the breast with the head of his thick stick, 'paying a man truly qualified to do it, so much an hour (say twopence) to come and do it.'	By,' tapping him on the breast with the head of his thick stick, 'paying a man truly qualified to do it, so much an hour (say twopence) to come and do it.'	true	1154.27	1165.05	18.135649
497_125118_000078_000000	'Hem!	'Hem!	false	1165.05	1166.67	15.9948435
497_125118_000078_000001	Flattered, sir, I am sure,' said Wegg, beginning to regard himself in quite a new light.	Flattered, sir, I am sure,' said Wegg, beginning to regard himself in quite a new light.	true	1166.67	1173.06	16
497_125118_000078_000002	'Hew!	'Hew!	false	1173.06	1174.5	12.296731
497_125118_000078_000003	This is the offer you mentioned, sir?'	This is the offer you mentioned, sir?'	true	1174.5	1177.18	16
497_125118_000079_000000	'Yes.	'Yes.	true	1178.93	1179.61	21.015476
497_125118_000079_000001	Do you like it?'	Do you like it?'	true	1179.8	1181.92	19.616438
497_125118_000080_000000	'I am considering of it, Mr Boffin.'	'I am considering of it, Mr Boffin.'	true	1182.02	1185.01	15.9059725
497_125118_000081_000000	'I don't,' said Boffin, in a free-handed manner, 'want to tie a literary man--WITH a wooden leg--down too tight.	'I don't,' said Boffin, in a free handed manner, 'want to tie a literary man-WITH a wooden leg-down too tight.	true	1186.1	1194.58	17
497_125118_000081_000001	A halfpenny an hour shan't part us.	A halfpenny an hour shan't part us.	true	1195.22	1197.1	18
497_125118_000081_000002	The hours are your own to choose, after you've done for the day with your house here.	The hours are your own to choose, after you've done for the day with your house here.	true	1198.07	1201.93	18.06004
497_125118_000081_000003	I live over Maiden-Lane way--out Holloway direction--and you've only got to go East-and-by-North when you've finished here, and you're there.	I live over Maiden Lane way-out Holloway direction-and you've only got to go East and by North when you've finished here, and you're there.	true	1202.81	1210.99	18.92762
497_125118_000081_000004	Twopence halfpenny an hour,' said Boffin, taking a piece of chalk from his pocket and getting off the stool to work the sum on the top of it in his own way; 'two long'uns and a short'un--twopence halfpenny; two short'uns is a long'un and two two long'uns is four long'uns--making five long'uns; six nights a week at five long'uns a night,' scoring them all down separately, 'and you mount up to thirty long'uns.	Twopence halfpenny an hour,' said Boffin, taking a piece of chalk from his pocket and getting off the stool to work the sum on the top of it in his own way; 'two long'uns and a short'un-twopence halfpenny; two short'uns is a long'un and two two long'uns is four long'uns-making five long'uns; six nights a week at five long'uns a night,' scoring them all down separately, 'and you mount up to thirty long'uns.	false	1212.32	1237.23	16.8742
497_125118_000081_000005	A round'un!	A round'un!	false	1237.23	1238.16	17.85862
497_125118_000081_000006	Half a crown!'	Half a crown!'	true	1238.16	1238.98	18.742481
497_125118_000082_000000	Pointing to this result as a large and satisfactory one, Mr Boffin smeared it out with his moistened glove, and sat down on the remains.	Pointing to this result as a large and satisfactory one, Mr Boffin smeared it out with his moistened glove, and sat down on the remains.	true	1240.79	1248.94	13
497_125118_000083_000000	'Half a crown,' said Wegg, meditating.	'Half a crown,' said Wegg, meditating.	true	1250.69	1253.5	17
497_125118_000083_000001	'Yes. (It ain't much, sir.) Half a crown.'	'Yes. (It ain't much, sir.) Half a crown.'	true	1254.17	1258.45	16.187168
497_125118_000084_000000	'Per week, you know.'	'Per week, you know.'	true	1259.96	1262.8	14.377628
497_125118_000085_000000	'Per week.	'Per week.	true	1263.38	1264.42	11
497_125118_000085_000001	Yes.	Yes.	true	1264.42	1265.2	12
497_125118_000085_000002	As to the amount of strain upon the intellect now.	As to the amount of strain upon the intellect now.	true	1265.39	1268.17	12
497_125118_000085_000003	Was you thinking at all of poetry?' Mr Wegg inquired, musing.	Was you thinking at all of poetry?' Mr Wegg inquired, musing.	true	1268.57	1273.6	13
497_125118_000086_000000	'Would it come dearer?' Mr Boffin asked.	'Would it come dearer?' Mr Boffin asked.	true	1274.03	1276.72	20
497_125118_000087_000000	'It would come dearer,' Mr Wegg returned.	'It would come dearer,' Mr Wegg returned.	true	1277.39	1279.99	16
497_125118_000087_000001	'For when a person comes to grind off poetry night after night, it is but right he should expect to be paid for its weakening effect on his mind.'	'For when a person comes to grind off poetry night after night, it is but right he should expect to be paid for its weakening effect on his mind.'	false	1280.48	1290.22	15
497_125118_000088_000000	'To tell you the truth Wegg,' said Boffin, 'I wasn't thinking of poetry, except in so fur as this:--If you was to happen now and then to feel yourself in the mind to tip me and Mrs Boffin one of your ballads, why then we should drop into poetry.'	'To tell you the truth Wegg,' said Boffin, 'I wasn't thinking of poetry, except in so fur as this:--If you was to happen now and then to feel yourself in the mind to tip me and Mrs Boffin one of your ballads, why then we should drop into poetry.'	false	1291.04	1305.16	18.880844
497_125118_000089_000000	'I follow you, sir,' said Wegg.	'I follow you, sir,' said Wegg.	true	1306.64	1309.24	17.235512
497_125118_000089_000001	'But not being a regular musical professional, I should be loath to engage myself for that; and therefore when I dropped into poetry, I should ask to be considered so fur, in the light of a friend.'	'But not being a regular musical professional, I should be loath to engage myself for that; and therefore when I dropped into poetry, I should ask to be considered so fur, in the light of a friend.'	true	1309.64	1322.17	15
497_125118_000090_000000	At this, Mr Boffin's eyes sparkled, and he shook Silas earnestly by the hand: protesting that it was more than he could have asked, and that he took it very kindly indeed.	At this, Mr Boffin's eyes sparkled, and he shook Silas earnestly by the hand: protesting that it was more than he could have asked, and that he took it very kindly indeed.	true	1323.08	1333.54	14
497_125118_000091_000000	'What do you think of the terms, Wegg?' Mr Boffin then demanded, with unconcealed anxiety.	'What do you think of the terms, Wegg?' Mr Boffin then demanded, with unconcealed anxiety.	true	1334.42	1340.11	15
497_125118_000092_000000	Silas, who had stimulated this anxiety by his hard reserve of manner, and who had begun to understand his man very well, replied with an air; as if he were saying something extraordinarily generous and great:	Silas, who had stimulated this anxiety by his hard reserve of manner, and who had begun to understand his man very well, replied with an air; as if he were saying something extraordinarily generous and great:	false	1340.93	1353.82	12
497_125118_000093_000000	'Mr Boffin, I never bargain.'	'Mr Boffin, I never bargain.'	true	1354.52	1357.24	17
497_125118_000094_000000	'So I should have thought of you!' said Mr Boffin, admiringly.	'So I should have thought of you!' said Mr Boffin, admiringly.	true	1358.06	1361.35	17.15176
497_125118_000094_000001	'No, sir. I never did 'aggle and I never will 'aggle.	'No, sir. I never did 'aggle and I never will 'aggle.	true	1361.42	1365.63	16
497_125118_000094_000002	Consequently I meet you at once, free and fair, with--Done, for double the money!'	Consequently I meet you at once, free and fair, with-Done, for double the money!'	true	1365.63	1372.69	15
497_125118_000095_000000	Mr Boffin seemed a little unprepared for this conclusion, but assented, with the remark, 'You know better what it ought to be than I do, Wegg,' and again shook hands with him upon it.	Mr Boffin seemed a little unprepared for this conclusion, but assented, with the remark, 'You know better what it ought to be than I do, Wegg,' and again shook hands with him upon it.	false	1372.76	1384.71	15
497_125118_000096_000000	'Could you begin to night, Wegg?' he then demanded.	'Could you begin to night, Wegg?' he then demanded.	true	1384.71	1387.27	19.30781
497_125118_000097_000000	'Yes, sir,' said Mr Wegg, careful to leave all the eagerness to him. 'I see no difficulty if you wish it.	'Yes, sir,' said Mr Wegg, careful to leave all the eagerness to him. 'I see no difficulty if you wish it.	true	1388.06	1395.94	14
497_125118_000097_000001	You are provided with the needful implement--a book, sir?'	You are provided with the needful implement-a book, sir?'	true	1396.31	1399.54	14
497_125118_000098_000000	'Bought him at a sale,' said Mr Boffin. 'Eight wollumes.	'Bought him at a sale,' said Mr Boffin. 'Eight wollumes.	false	1400.48	1404.3	19.384632
497_125118_000098_000001	Red and gold. Purple ribbon in every wollume, to keep the place where you leave off. Do you know him?'	Red and gold. Purple ribbon in every wollume, to keep the place where you leave off. Do you know him?'	true	1404.3	1409.98	16.412338
497_125118_000099_000000	'The book's name, sir?' inquired Silas.	'The book's name, sir?' inquired Silas.	true	1411.97	1414.93	12
497_125118_000100_000000	'I thought you might have know'd him without it,' said Mr Boffin slightly disappointed.	'I thought you might have know'd him without it,' said Mr Boffin slightly disappointed.	true	1415.72	1420.39	18.539854
497_125118_000100_000001	'His name is Decline-And-Fall-Off-The-Rooshan-Empire.' (Mr Boffin went over these stones slowly and with much caution.)	'His name is Decline And Fall Off The Rooshan Empire.' (Mr Boffin went over these stones slowly and with much caution.)	true	1420.7	1432.89	17.280922
497_125118_000101_000000	'Ay indeed!' said Mr Wegg, nodding his head with an air of friendly recognition.	'Ay indeed!' said Mr Wegg, nodding his head with an air of friendly recognition.	false	1432.89	1439.26	15.784606
497_125118_000102_000000	'You know him, Wegg?'	'You know him, Wegg?'	true	1439.63	1440.67	19.383419
497_125118_000103_000000	'I haven't been not to say right slap through him, very lately,' Mr Wegg made answer, 'having been otherways employed, Mr Boffin.	'I haven't been not to say right slap through him, very lately,' Mr Wegg made answer, 'having been otherways employed, Mr Boffin.	false	1442.45	1451.44	18.912523
497_125118_000103_000001	But know him? Old familiar declining and falling off the Rooshan?	But know him? Old familiar declining and falling off the Rooshan?	false	1451.84	1456.56	15.951119
497_125118_000103_000002	Rather, sir!	Rather, sir!	true	1456.56	1457.56	19.700441
497_125118_000103_000003	Ever since I was not so high as your stick.	Ever since I was not so high as your stick.	true	1458.02	1460.86	13
497_125118_000103_000004	Ever since my eldest brother left our cottage to enlist into the army.	Ever since my eldest brother left our cottage to enlist into the army.	false	1460.9	1464.94	16
497_125118_000103_000005	On which occasion, as the ballad that was made about it describes:	On which occasion, as the ballad that was made about it describes:	false	1465.28	1469.65	17
497_125118_000104_000000	'Beside that cottage door, Mr Boffin, A girl was on her knees; She held aloft a snowy scarf, Sir, Which (my eldest brother noticed) fluttered in the breeze. She breathed a prayer for him, Mr Boffin; A prayer he coold not hear. And my eldest brother lean'd upon his sword, Mr Boffin, And wiped away a tear.'	'Beside that cottage door, Mr Boffin, A girl was on her knees; She held aloft a snowy scarf, Sir, Which (my eldest brother noticed) fluttered in the breeze. She breathed a prayer for him, Mr Boffin; A prayer he coold not hear. And my eldest brother lean'd upon his sword, Mr Boffin, And wiped away a tear.'	false	1470.53	1492.75	16
497_125118_000105_000000	Much impressed by this family circumstance, and also by the friendly disposition of Mr Wegg, as exemplified in his so soon dropping into poetry, Mr Boffin again shook hands with that ligneous sharper, and besought him to name his hour.	Much impressed by this family circumstance, and also by the friendly disposition of Mr Wegg, as exemplified in his so soon dropping into poetry, Mr Boffin again shook hands with that ligneous sharper, and besought him to name his hour.	true	1495.04	1508.95	14
497_125118_000105_000001	Mr Wegg named eight.	Mr Wegg named eight.	true	1509.32	1511.62	15
497_125118_000106_000000	'Where I live,' said Mr Boffin, 'is called The Bower.	'Where I live,' said Mr Boffin, 'is called The Bower.	true	1511.63	1515.4	16.915684
497_125118_000106_000001	Boffin's Bower is the name Mrs Boffin christened it when we come into it as a property. If you should meet with anybody that don't know it by that name (which hardly anybody does), when you've got nigh upon about a odd mile, or say and a quarter if you like, up Maiden Lane, Battle Bridge, ask for Harmony Jail, and you'll be put right.	Boffin's Bower is the name Mrs Boffin christened it when we come into it as a property. If you should meet with anybody that don't know it by that name (which hardly anybody does), when you've got nigh upon about a odd mile, or say and a quarter if you like, up Maiden Lane, Battle Bridge, ask for Harmony Jail, and you'll be put right.	false	1515.68	1534.42	18.657032
497_125118_000106_000002	I shall expect you, Wegg,' said Mr Boffin, clapping him on the shoulder with the greatest enthusiasm, 'most joyfully.	I shall expect you, Wegg,' said Mr Boffin, clapping him on the shoulder with the greatest enthusiasm, 'most joyfully.	true	1535.39	1543.24	17.472635
497_125118_000106_000003	I shall have no peace or patience till you come.	I shall have no peace or patience till you come.	true	1543.31	1545.61	20
497_125118_000106_000004	Print is now opening ahead of me.	Print is now opening ahead of me.	true	1545.83	1547.89	18.476387
497_125118_000106_000005	This night, a literary man--WITH a wooden leg--' he bestowed an admiring look upon that decoration, as if it greatly enhanced the relish of Mr Wegg's attainments--'will begin to lead me a new life!	This night, a literary man-WITH a wooden leg-' he bestowed an admiring look upon that decoration, as if it greatly enhanced the relish of Mr Wegg's attainments-'will begin to lead me a new life!	true	1548.5	1561.78	15
497_125118_000106_000006	My fist again, Wegg.	My fist again, Wegg.	true	1562	1563.58	18.884932
497_125118_000106_000007	Morning, morning, morning!'	Morning, morning, morning!'	true	1563.77	1565.35	17.820969
497_125118_000107_000000	Left alone at his stall as the other ambled off, Mr Wegg subsided into his screen, produced a small pocket-handkerchief of a penitentially-scrubbing character, and took himself by the nose with a thoughtful aspect.	Left alone at his stall as the other ambled off, Mr Wegg subsided into his screen, produced a small pocket handkerchief of a penitentially scrubbing character, and took himself by the nose with a thoughtful aspect.	true	1568.69	1582.9	14
497_125118_000107_000001	Also, while he still grasped that feature, he directed several thoughtful looks down the street, after the retiring figure of Mr Boffin.	Also, while he still grasped that feature, he directed several thoughtful looks down the street, after the retiring figure of Mr Boffin.	true	1583.45	1591.63	14
497_125118_000107_000002	But, profound gravity sat enthroned on Wegg's countenance.	But, profound gravity sat enthroned on Wegg's countenance.	true	1592.27	1596.11	11
497_125118_000107_000003	For, while he considered within himself that this was an old fellow of rare simplicity, that this was an opportunity to be improved, and that here might be money to be got beyond present calculation, still he compromised himself by no admission that his new engagement was at all out of his way, or involved the least element of the ridiculous.	For, while he considered within himself that this was an old fellow of rare simplicity, that this was an opportunity to be improved, and that here might be money to be got beyond present calculation, still he compromised himself by no admission that his new engagement was at all out of his way, or involved the least element of the ridiculous.	true	1596.11	1618.63	12
497_125118_000107_000004	Mr Wegg would even have picked a handsome quarrel with any one who should have challenged his deep acquaintance with those aforesaid eight volumes of Decline and Fall.	Mr Wegg would even have picked a handsome quarrel with any one who should have challenged his deep acquaintance with those aforesaid eight volumes of Decline and Fall.	true	1619.51	1627.99	11
497_125118_000107_000005	His gravity was unusual, portentous, and immeasurable, not because he admitted any doubt of himself but because he perceived it necessary to forestall any doubt of himself in others.	His gravity was unusual, portentous, and immeasurable, not because he admitted any doubt of himself but because he perceived it necessary to forestall any doubt of himself in others.	true	1628.72	1641.34	13
497_125118_000107_000006	And herein he ranged with that very numerous class of impostors, who are quite as determined to keep up appearances to themselves, as to their neighbours.	And herein he ranged with that very numerous class of impostors, who are quite as determined to keep up appearances to themselves, as to their neighbours.	true	1641.95	1650.43	12
497_125118_000108_000000	A certain loftiness, likewise, took possession of Mr Wegg; a condescending sense of being in request as an official expounder of mysteries.	A certain loftiness, likewise, took possession of Mr Wegg; a condescending sense of being in request as an official expounder of mysteries.	true	1652.36	1662.34	12
497_125118_000108_000001	It did not move him to commercial greatness, but rather to littleness, insomuch that if it had been within the possibilities of things for the wooden measure to hold fewer nuts than usual, it would have done so that day.	It did not move him to commercial greatness, but rather to littleness, insomuch that if it had been within the possibilities of things for the wooden measure to hold fewer nuts than usual, it would have done so that day.	false	1662.77	1675.9	11
497_125118_000108_000002	But, when night came, and with her veiled eyes beheld him stumping towards Boffin's Bower, he was elated too.	But, when night came, and with her veiled eyes beheld him stumping towards Boffin's Bower, he was elated too.	false	1676.12	1684	14
497_125118_000109_000000	The Bower was as difficult to find, as Fair Rosamond's without the clue. Mr Wegg, having reached the quarter indicated, inquired for the Bower half a dozen times without the least success, until he remembered to ask for Harmony Jail.	The Bower was as difficult to find, as Fair Rosamond's without the clue. Mr Wegg, having reached the quarter indicated, inquired for the Bower half a dozen times without the least success, until he remembered to ask for Harmony Jail.	false	1685.66	1700.8	11
497_125118_000109_000001	This occasioned a quick change in the spirits of a hoarse gentleman and a donkey, whom he had much perplexed.	This occasioned a quick change in the spirits of a hoarse gentleman and a donkey, whom he had much perplexed.	true	1701.44	1708.06	13
497_125118_000110_000000	'Why, yer mean Old Harmon's, do yer?' said the hoarse gentleman, who was driving his donkey in a truck, with a carrot for a whip.	'Why, yer mean Old Harmon's, do yer?' said the hoarse gentleman, who was driving his donkey in a truck, with a carrot for a whip.	true	1708.4	1715.83	10
497_125118_000110_000001	'Why didn't yer niver say so?	'Why didn't yer niver say so?	true	1716.2	1717.89	10
497_125118_000110_000002	Eddard and me is a goin' by HIM!	Eddard and me is a goin' by HIM!	false	1717.89	1720.24	14.090725
497_125118_000110_000003	Jump in.'	Jump in.'	true	1720.24	1721.05	18.393942
497_125118_000111_000000	Mr Wegg complied, and the hoarse gentleman invited his attention to the third person in company, thus;	Mr Wegg complied, and the hoarse gentleman invited his attention to the third person in company, thus;	true	1722.95	1728.97	9
497_125118_000112_000000	'Now, you look at Eddard's ears.	'Now, you look at Eddard's ears.	true	1729.34	1731.76	13
497_125118_000112_000001	What was it as you named, agin? Whisper.'	What was it as you named, agin? Whisper.'	false	1732.52	1735.27	12
497_125118_000113_000000	Mr Wegg whispered, 'Boffin's Bower.'	Mr Wegg whispered, 'Boffin's Bower.'	true	1736.9	1740.4	11
497_125118_000114_000000	'Eddard! (keep yer hi on his ears) cut away to Boffin's Bower!'	'Eddard! (keep yer hi on his ears) cut away to Boffin's Bower!'	false	1741.34	1748.73	14.072333
497_125118_000115_000000	Edward, with his ears lying back, remained immoveable.	Edward, with his ears lying back, remained immoveable.	true	1748.73	1751.86	10
497_125118_000116_000000	'Eddard! (keep yer hi on his ears) cut away to Old Harmon's.' Edward instantly pricked up his ears to their utmost, and rattled off at such a pace that Mr Wegg's conversation was jolted out of him in a most dislocated state.	'Eddard! (keep yer hi on his ears) cut away to Old Harmon's.' Edward instantly pricked up his ears to their utmost, and rattled off at such a pace that Mr Wegg's conversation was jolted out of him in a most dislocated state.	true	1752.44	1768.63	12
497_125118_000117_000000	'Was-it-Ev-verajail?' asked Mr Wegg, holding on.	'Was it Ev verajail?' asked Mr Wegg, holding on.	false	1768.97	1775.11	14.690875
497_125118_000118_000000	'Not a proper jail, wot you and me would get committed to,' returned his escort; 'they giv' it the name, on accounts of Old Harmon living solitary there.'	'Not a proper jail, wot you and me would get committed to,' returned his escort; 'they g i v' it the name, on accounts of Old Harmon living solitary there.'	false	1776.62	1786.12	12
497_125118_000119_000000	'And-why-did-they-callitharm-Ony?' asked Wegg.	'And why did they callitharm Ony?' asked Wegg.	false	1789.16	1797.03	16.036407
497_125118_000120_000000	'On accounts of his never agreeing with nobody.	'On accounts of his never agreeing with nobody.	true	1797.03	1799.74	7
497_125118_000120_000001	Like a speeches of chaff.	Like a speeches of chaff.	true	1800.08	1802.05	15
497_125118_000120_000002	Harmon's Jail; Harmony Jail.	Harmon's Jail; Harmony Jail.	true	1802.39	1804.66	12
497_125118_000120_000003	Working it round like.'	Working it round like.'	true	1805.06	1806.55	13
497_125118_000121_000000	'Doyouknow-Mist-Erboff-in?' asked Wegg.	'Doyouknow Mist Erboff in?' asked Wegg.	false	1809.29	1814.44	14.898782
497_125118_000122_000000	'I should think so!	'I should think so!	true	1815.29	1816.87	13
497_125118_000122_000001	Everybody do about here.	Everybody do about here.	true	1817.84	1819.44	13
497_125118_000122_000002	Eddard knows him. (Keep yer hi on his ears.) Noddy Boffin, Eddard!'	Eddard knows him. (Keep yer hi on his ears.) Noddy Boffin, Eddard!'	false	1819.44	1824.01	14.95074
497_125118_000123_000000	The effect of the name was so very alarming, in respect of causing a temporary disappearance of Edward's head, casting his hind hoofs in the air, greatly accelerating the pace and increasing the jolting, that Mr Wegg was fain to devote his attention exclusively to holding on, and to relinquish his desire of ascertaining whether this homage to Boffin was to be considered complimentary or the reverse.	The effect of the name was so very alarming, in respect of causing a temporary disappearance of Edward's head, casting his hind hoofs in the air, greatly accelerating the pace and increasing the jolting, that Mr Wegg was fain to devote his attention exclusively to holding on, and to relinquish his desire of ascertaining whether this homage to Boffin was to be considered complimentary or the reverse.	true	1824.29	1847.71	10
497_125118_000124_000000	Presently, Edward stopped at a gateway, and Wegg discreetly lost no time in slipping out at the back of the truck.	Presently, Edward stopped at a gateway, and Wegg discreetly lost no time in slipping out at the back of the truck.	false	1849.76	1856.02	11
497_125118_000124_000001	The moment he was landed, his late driver with a wave of the carrot, said 'Supper, Eddard!' and he, the hind hoofs, the truck, and Edward, all seemed to fly into the air together, in a kind of apotheosis.	The moment he was landed, his late driver with a wave of the carrot, said 'Supper, Eddard!' and he, the hind hoofs, the truck, and Edward, all seemed to fly into the air together, in a kind of apotheosis.	true	1856.27	1872.37	13
497_125118_000125_000000	Pushing the gate, which stood ajar, Wegg looked into an enclosed space where certain tall dark mounds rose high against the sky, and where the pathway to the Bower was indicated, as the moonlight showed, between two lines of broken crockery set in ashes.	Pushing the gate, which stood ajar, Wegg looked into an enclosed space where certain tall dark mounds rose high against the sky, and where the pathway to the Bower was indicated, as the moonlight showed, between two lines of broken crockery set in ashes.	false	1872.65	1888.03	11
497_125118_000125_000001	A white figure advancing along this path, proved to be nothing more ghostly than Mr Boffin, easily attired for the pursuit of knowledge, in an undress garment of short white smock-frock.	A white figure advancing along this path, proved to be nothing more ghostly than Mr Boffin, easily attired for the pursuit of knowledge, in an undress garment of short white smock frock.	true	1888.97	1899.46	10
497_125118_000125_000002	Having received his literary friend with great cordiality, he conducted him to the interior of the Bower and there presented him to Mrs Boffin:--a stout lady of a rubicund and cheerful aspect, dressed (to Mr Wegg's consternation) in a low evening-dress of sable satin, and a large black velvet hat and feathers.	Having received his literary friend with great cordiality, he conducted him to the interior of the Bower and there presented him to Mrs Boffin:--a stout lady of a rubicund and cheerful aspect, dressed (to Mr Wegg's consternation) in a low evening dress of sable satin, and a large black velvet hat and feathers.	false	1900.7	1920.34	11
497_125118_000126_000000	'Mrs Boffin, Wegg,' said Boffin, 'is a highflyer at Fashion.	'Mrs Boffin, Wegg,' said Boffin, 'is a highflyer at Fashion.	true	1921.52	1925.83	17.676594
497_125118_000126_000001	And her make is such, that she does it credit.	And her make is such, that she does it credit.	true	1926.59	1928.74	16
497_125118_000126_000002	As to myself I ain't yet as Fash'nable as I may come to be.	As to myself I ain't yet as Fash'nable as I may come to be.	false	1928.99	1932.61	13
497_125118_000126_000003	Henerietty, old lady, this is the gentleman that's a going to decline and fall off the Rooshan Empire.'	Henerietty, old lady, this is the gentleman that's a going to decline and fall off the Rooshan Empire.'	false	1933.1	1938.25	13
497_125118_000127_000000	'And I am sure I hope it'll do you both good,' said Mrs Boffin.	'And I am sure I hope it'll do you both good,' said Mrs Boffin.	true	1939.13	1943.67	13.735994
497_125118_000128_000000	It was the queerest of rooms, fitted and furnished more like a luxurious amateur tap-room than anything else within the ken of Silas Wegg.	It was the queerest of rooms, fitted and furnished more like a luxurious amateur tap room than anything else within the ken of Silas Wegg.	false	1943.67	1952.56	12
497_125118_000128_000001	There were two wooden settles by the fire, one on either side of it, with a corresponding table before each.	There were two wooden settles by the fire, one on either side of it, with a corresponding table before each.	true	1953.23	1959.58	10
497_125118_000128_000002	On one of these tables, the eight volumes were ranged flat, in a row, like a galvanic battery; on the other, certain squat case-bottles of inviting appearance seemed to stand on tiptoe to exchange glances with Mr Wegg over a front row of tumblers and a basin of white sugar.	On one of these tables, the eight volumes were ranged flat, in a row, like a galvanic battery; on the other, certain squat case bottles of inviting appearance seemed to stand on tiptoe to exchange glances with Mr Wegg over a front row of tumblers and a basin of white sugar.	false	1960.31	1979.79	12
497_125118_000128_000003	On the hob, a kettle steamed; on the hearth, a cat reposed.	On the hob, a kettle steamed; on the hearth, a cat reposed.	true	1979.79	1984.51	12
