576_129623_000000_000000	"I will, thank you.	"I will, thank you.	false	0	0.3	3
576_129623_000051_000000	"Bring the tray with the cards, Joe.	"Bring the tray with the cards, Joe.	true	864.68	866.34	18.378632
576_129623_000051_000001	I don't remember who was here."	I don't remember who was here."	true	866.34	867.85	21
576_129623_000052_000000	The boy retired and returned after a moment, bringing the tiny silver tray, which was covered with ladies' visiting cards.	The boy retired and returned after a moment, bringing the tiny silver tray, which was covered with ladies' visiting cards.	false	868.07	874.62	20
576_129623_000052_000001	He handed it to Mrs. Pontellier.	He handed it to mrs Pontellier.	true	874.62	876.4	23.004503
576_129623_000053_000000	"Give it to Mr. Pontellier," she said.	"Give it to mr Pontellier," she said.	false	876.89	879.54	25.03817
576_129623_000054_000000	Joe offered the tray to Mr. Pontellier, and removed the soup.	Joe offered the tray to mr Pontellier, and removed the soup.	true	879.54	882.6	20.84641
576_129623_000055_000000	Mr. Pontellier scanned the names of his wife's callers, reading some of them aloud, with comments as he read.	mr Pontellier scanned the names of his wife's callers, reading some of them aloud, with comments as he read.	false	882.6	888.93	21.608192
576_129623_000056_000000	"'The Misses Delasidas.' I worked a big deal in futures for their father this morning; nice girls; it's time they were getting married.	"'The Misses Delasidas.' I worked a big deal in futures for their father this morning; nice girls; it's time they were getting married.	false	888.93	897.88	22.545519
576_129623_000056_000001	'Mrs. Belthrop.' I tell you what it is, Edna; you can't afford to snub Mrs. Belthrop.	'mrs Belthrop.' I tell you what it is, Edna; you can't afford to snub mrs Belthrop.	true	898.34	903.72	26.308435
576_129623_000056_000002	Why, Belthrop could buy and sell us ten times over.	Why, Belthrop could buy and sell us ten times over.	false	903.72	907.72	23.984749
576_129623_000056_000003	His business is worth a good, round sum to me.	His business is worth a good, round sum to me.	true	907.76	910.63	22.87012
576_129623_000056_000004	You'd better write her a note.	You'd better write her a note.	true	910.64	913	16.766655
576_129623_000056_000005	'Mrs.	'mrs	true	913.07	913.77	29
576_129623_000056_000006	James Highcamp.' Hugh! the less you have to do with Mrs. Highcamp, the better.	james Highcamp.' Hugh! the less you have to do with mrs Highcamp, the better.	false	913.77	918.37	25.80594
576_129623_000056_000007	'Madame Laforce.' Came all the way from Carrolton, too, poor old soul.	'Madame Laforce.' Came all the way from Carrolton, too, poor old soul.	false	918.98	924	22.84769
576_129623_000056_000008	'Miss Wiggs,' 'Mrs.	'Miss Wiggs,' 'mrs	false	924	926.01	25.230562
576_129623_000056_000009	Eleanor Boltons.'" He pushed the cards aside.	Eleanor Boltons.'" He pushed the cards aside.	false	926.01	929.55	19.69849
576_129623_000057_000000	"Mercy!" exclaimed Edna, who had been fuming.	"Mercy!" exclaimed Edna, who had been fuming.	false	929.55	932.38	18.496569
576_129623_000057_000001	"Why are you taking the thing so seriously and making such a fuss over it?"	"Why are you taking the thing so seriously and making such a fuss over it?"	true	932.45	936.1	23.618183
576_129623_000058_000000	"I'm not making any fuss over it.	"I'm not making any fuss over it.	true	936.35	938.22	24
576_129623_000058_000001	But it's just such seeming trifles that we've got to take seriously; such things count."	But it's just such seeming trifles that we've got to take seriously; such things count."	true	938.22	944.32	21.862356
576_129623_000059_000000	The fish was scorched.	The fish was scorched.	true	944.87	946.275	27
576_129623_000059_000001	Mr. Pontellier would not touch it.	mr Pontellier would not touch it.	false	946.275	948.64	26.26433
576_129623_000059_000002	Edna said she did not mind a little scorched taste.	Edna said she did not mind a little scorched taste.	false	948.83	951.81	18.757618
576_129623_000059_000003	The roast was in some way not to his fancy, and he did not like the manner in which the vegetables were served.	The roast was in some way not to his fancy, and he did not like the manner in which the vegetables were served.	false	951.81	957.91	19.513355
576_129623_000060_000000	"It seems to me," he said, "we spend money enough in this house to procure at least one meal a day which a man could eat and retain his self-respect."	"It seems to me," he said, "we spend money enough in this house to procure at least one meal a day which a man could eat and retain his self respect."	false	958.55	965.98	20.973562
576_129623_000061_000000	"You used to think the cook was a treasure," returned Edna, indifferently.	"You used to think the cook was a treasure," returned Edna, indifferently.	true	966.29	970.42	17
576_129623_000062_000000	"Perhaps she was when she first came; but cooks are only human.	"Perhaps she was when she first came; but cooks are only human.	false	970.79	974.71	23.675573
576_129623_000062_000001	They need looking after, like any other class of persons that you employ. Suppose I didn't look after the clerks in my office, just let them run things their own way; they'd soon make a nice mess of me and my business."	They need looking after, like any other class of persons that you employ. Suppose I didn't look after the clerks in my office, just let them run things their own way; they'd soon make a nice mess of me and my business."	false	974.87	986.73	21
576_129623_000063_000000	"Where are you going?" asked Edna, seeing that her husband arose from table without having eaten a morsel except a taste of the highly-seasoned soup.	"Where are you going?" asked Edna, seeing that her husband arose from table without having eaten a morsel except a taste of the highly seasoned soup.	false	986.73	994.84	20.33173
576_129623_000064_000000	"I'm going to get my dinner at the club.	"I'm going to get my dinner at the club.	true	995.09	997.125	25.345524
576_129623_000064_000001	Good night." He went into the hall, took his hat and stick from the stand, and left the house.	Good night." He went into the hall, took his hat and stick from the stand, and left the house.	true	997.125	1002.34	25.695065
576_129623_000065_000000	She was somewhat familiar with such scenes.	She was somewhat familiar with such scenes.	true	1002.68	1005.22	17.938417
576_129623_000065_000001	They had often made her very unhappy.	They had often made her very unhappy.	true	1005.23	1007.5	20.553799
576_129623_000065_000002	On a few previous occasions she had been completely deprived of any desire to finish her dinner.	On a few previous occasions she had been completely deprived of any desire to finish her dinner.	false	1007.75	1013.26	19
576_129623_000065_000003	Sometimes she had gone into the kitchen to administer a tardy rebuke to the cook.	Sometimes she had gone into the kitchen to administer a tardy rebuke to the cook.	false	1013.36	1017.48	23
576_129623_000065_000004	Once she went to her room and studied the cookbook during an entire evening, finally writing out a menu for the week, which left her harassed with a feeling that, after all, she had accomplished no good that was worth the name.	Once she went to her room and studied the cookbook during an entire evening, finally writing out a menu for the week, which left her harassed with a feeling that, after all, she had accomplished no good that was worth the name.	false	1017.48	1029.88	20
576_129623_000066_000000	But that evening Edna finished her dinner alone, with forced deliberation.	But that evening Edna finished her dinner alone, with forced deliberation.	true	1030.31	1034.71	15
576_129623_000066_000001	Her face was flushed and her eyes flamed with some inward fire that lighted them.	Her face was flushed and her eyes flamed with some inward fire that lighted them.	true	1034.87	1039.81	22
576_129623_000066_000002	After finishing her dinner she went to her room, having instructed the boy to tell any other callers that she was indisposed.	After finishing her dinner she went to her room, having instructed the boy to tell any other callers that she was indisposed.	true	1040.21	1046.86	18
576_129623_000067_000000	It was a large, beautiful room, rich and picturesque in the soft, dim light which the maid had turned low.	It was a large, beautiful room, rich and picturesque in the soft, dim light which the maid had turned low.	false	1047.41	1054.12	21.62108
576_129623_000067_000001	She went and stood at an open window and looked out upon the deep tangle of the garden below.	She went and stood at an open window and looked out upon the deep tangle of the garden below.	false	1054.4	1060.33	21
576_129623_000067_000002	All the mystery and witchery of the night seemed to have gathered there amid the perfumes and the dusky and tortuous outlines of flowers and foliage. She was seeking herself and finding herself in just such sweet, half-darkness which met her moods.	All the mystery and witchery of the night seemed to have gathered there amid the perfumes and the dusky and tortuous outlines of flowers and foliage. She was seeking herself and finding herself in just such sweet, half darkness which met her moods.	false	1060.76	1075.39	22
576_129623_000067_000003	But the voices were not soothing that came to her from the darkness and the sky above and the stars.	But the voices were not soothing that came to her from the darkness and the sky above and the stars.	true	1075.76	1081.45	18
576_129623_000067_000004	They jeered and sounded mournful notes without promise, devoid even of hope. She turned back into the room and began to walk to and fro down its whole length without stopping, without resting.	They jeered and sounded mournful notes without promise, devoid even of hope. She turned back into the room and began to walk to and fro down its whole length without stopping, without resting.	false	1081.79	1096.42	22.038792
576_129623_000067_000005	She carried in her hands a thin handkerchief, which she tore into ribbons, rolled into a ball, and flung from her.	She carried in her hands a thin handkerchief, which she tore into ribbons, rolled into a ball, and flung from her.	true	1096.7	1103.35	23
576_129623_000067_000006	Once she stopped, and taking off her wedding ring, flung it upon the carpet.	Once she stopped, and taking off her wedding ring, flung it upon the carpet.	true	1103.63	1107.94	24
576_129623_000067_000007	When she saw it lying there, she stamped her heel upon it, striving to crush it.	When she saw it lying there, she stamped her heel upon it, striving to crush it.	true	1108.16	1112.8	25
576_129623_000067_000008	But her small boot heel did not make an indenture, not a mark upon the little glittering circlet.	But her small boot heel did not make an indenture, not a mark upon the little glittering circlet.	true	1112.93	1118.58	25
576_129623_000068_000000	In a sweeping passion she seized a glass vase from the table and flung it upon the tiles of the hearth.	In a sweeping passion she seized a glass vase from the table and flung it upon the tiles of the hearth.	false	1118.58	1125.27	24.65363
576_129623_000068_000001	She wanted to destroy something.	She wanted to destroy something.	true	1125.27	1127.17	23
576_129623_000068_000002	The crash and clatter were what she wanted to hear.	The crash and clatter were what she wanted to hear.	true	1127.3	1130.95	25.480885
576_129623_000069_000000	A maid, alarmed at the din of breaking glass, entered the room to discover what was the matter.	A maid, alarmed at the din of breaking glass, entered the room to discover what was the matter.	false	1131.26	1137.99	24.981247
576_129623_000070_000000	"A vase fell upon the hearth," said Edna.	"A vase fell upon the hearth," said Edna.	false	1137.99	1140.12	22
576_129623_000070_000001	"Never mind; leave it till morning."	"Never mind; leave it till morning."	true	1140.12	1141.92	15
576_129623_000071_000000	"Oh! you might get some of the glass in your feet, ma'am," insisted the young woman, picking up bits of the broken vase that were scattered upon the carpet.	"Oh! you might get some of the glass in your feet, ma'am," insisted the young woman, picking up bits of the broken vase that were scattered upon the carpet.	false	1141.92	1150.77	24.234224
576_129623_000071_000001	"And here's your ring, ma'am, under the chair."	"And here's your ring, ma'am, under the chair."	true	1150.77	1152.97	19.788773
576_129623_000072_000000	Edna held out her hand, and taking the ring, slipped it upon her finger.	Edna held out her hand, and taking the ring, slipped it upon her finger.	false	1153.61	1159.8	22.199495
576_129623_000073_000000	XVIII	eighteen	true	1159.8	1160.68	20.522413
576_129623_000074_000000	The following morning Mr. Pontellier, upon leaving for his office, asked Edna if she would not meet him in town in order to look at some new fixtures for the library.	The following morning mr Pontellier, upon leaving for his office, asked Edna if she would not meet him in town in order to look at some new fixtures for the library.	false	1160.84	1170.19	20
576_129623_000075_000000	"I hardly think we need new fixtures, Leonce.	"I hardly think we need new fixtures, Leonce.	false	1170.56	1173.69	20.758043
576_129623_000075_000001	Don't let us get anything new; you are too extravagant.	Don't let us get anything new; you are too extravagant.	false	1173.69	1176.43	22
576_129623_000075_000002	I don't believe you ever think of saving or putting by."	I don't believe you ever think of saving or putting by."	false	1176.53	1179.34	18
576_129623_000076_000000	"The way to become rich is to make money, my dear Edna, not to save it," he said.	"The way to become rich is to make money, my dear Edna, not to save it," he said.	false	1179.95	1184.77	24.733925
576_129623_000076_000001	He regretted that she did not feel inclined to go with him and select new fixtures.	He regretted that she did not feel inclined to go with him and select new fixtures.	false	1185.35	1189.81	18
576_129623_000076_000002	He kissed her good-by, and told her she was not looking well and must take care of herself.	He kissed her good by, and told her she was not looking well and must take care of herself.	false	1190.15	1194.79	20.980883
576_129623_000076_000003	She was unusually pale and very quiet.	She was unusually pale and very quiet.	true	1194.92	1197.64	26
576_129623_000077_000000	She stood on the front veranda as he quitted the house, and absently picked a few sprays of jessamine that grew upon a trellis near by.	She stood on the front veranda as he quitted the house, and absently picked a few sprays of jessamine that grew upon a trellis near by.	true	1197.74	1204.96	19
576_129623_000077_000001	She inhaled the odor of the blossoms and thrust them into the bosom of her white morning gown.	She inhaled the odor of the blossoms and thrust them into the bosom of her white morning gown.	false	1205.39	1210.51	16
576_129623_000077_000002	The boys were dragging along the banquette a small "express wagon," which they had filled with blocks and sticks.	The boys were dragging along the banquette a small "express wagon," which they had filled with blocks and sticks.	true	1210.73	1217.32	21.565472
576_129623_000077_000003	The quadroon was following them with little quick steps, having assumed a fictitious animation and alacrity for the occasion.	The quadroon was following them with little quick steps, having assumed a fictitious animation and alacrity for the occasion.	false	1217.51	1228.09	23.10078
576_129623_000077_000004	A fruit vender was crying his wares in the street.	A fruit vender was crying his wares in the street.	true	1228.25	1231.09	19.368826
576_129623_000078_000000	Edna looked straight before her with a self-absorbed expression upon her face.	Edna looked straight before her with a self absorbed expression upon her face.	false	1231.25	1235.38	18
576_129623_000078_000001	She felt no interest in anything about her.	She felt no interest in anything about her.	true	1235.45	1237.99	25.436413
576_129623_000078_000002	The street, the children, the fruit vender, the flowers growing there under her eyes, were all part and parcel of an alien world which had suddenly become antagonistic.	The street, the children, the fruit vender, the flowers growing there under her eyes, were all part and parcel of an alien world which had suddenly become antagonistic.	false	1238.24	1249.42	19.979486
576_129623_000079_000000	She went back into the house.	She went back into the house.	true	1249.85	1251.58	24.082542
576_129623_000079_000001	She had thought of speaking to the cook concerning her blunders of the previous night; but Mr. Pontellier had saved her that disagreeable mission, for which she was so poorly fitted. Mr. Pontellier's arguments were usually convincing with those whom he employed.	She had thought of speaking to the cook concerning her blunders of the previous night; but mr Pontellier had saved her that disagreeable mission, for which she was so poorly fitted. mr Pontellier's arguments were usually convincing with those whom he employed.	false	1251.77	1266.56	21.064087
576_129623_000079_000002	He left home feeling quite sure that he and Edna would sit down that evening, and possibly a few subsequent evenings, to a dinner deserving of the name.	He left home feeling quite sure that he and Edna would sit down that evening, and possibly a few subsequent evenings, to a dinner deserving of the name.	false	1266.56	1275.18	17
576_129623_000080_000000	Edna spent an hour or two in looking over some of her old sketches. She could see their shortcomings and defects, which were glaring in her eyes.	Edna spent an hour or two in looking over some of her old sketches. She could see their shortcomings and defects, which were glaring in her eyes.	false	1275.18	1283.71	22.572924
576_129623_000080_000001	She tried to work a little, but found she was not in the humor. Finally she gathered together a few of the sketches--those which she considered the least discreditable; and she carried them with her when, a little later, she dressed and left the house.	She tried to work a little, but found she was not in the humor. Finally she gathered together a few of the sketches-those which she considered the least discreditable; and she carried them with her when, a little later, she dressed and left the house.	false	1283.81	1297.51	21.725355
576_129623_000080_000002	She looked handsome and distinguished in her street gown.	She looked handsome and distinguished in her street gown.	true	1297.64	1300.69	19.956709
576_129623_000080_000003	The tan of the seashore had left her face, and her forehead was smooth, white, and polished beneath her heavy, yellow-brown hair.	The tan of the seashore had left her face, and her forehead was smooth, white, and polished beneath her heavy, yellow brown hair.	false	1301.12	1308.33	19
576_129623_000080_000004	There were a few freckles on her face, and a small, dark mole near the under lip and one on the temple, half-hidden in her hair.	There were a few freckles on her face, and a small, dark mole near the under lip and one on the temple, half hidden in her hair.	false	1308.33	1315.87	20
576_129623_000081_000000	As Edna walked along the street she was thinking of Robert.	As Edna walked along the street she was thinking of Robert.	false	1316.36	1319.94	21
576_129623_000081_000001	She was still under the spell of her infatuation.	She was still under the spell of her infatuation.	true	1319.94	1322.65	18.025625
576_129623_000081_000002	She had tried to forget him, realizing the inutility of remembering.	She had tried to forget him, realizing the inutility of remembering.	true	1322.96	1327.03	19
576_129623_000081_000003	But the thought of him was like an obsession, ever pressing itself upon her.	But the thought of him was like an obsession, ever pressing itself upon her.	true	1327.19	1331.41	18.32877
576_129623_000081_000004	It was not that she dwelt upon details of their acquaintance, or recalled in any special or peculiar way his personality; it was his being, his existence, which dominated her thought, fading sometimes as if it would melt into the mist of the forgotten, reviving again with an intensity which filled her with an incomprehensible longing.	It was not that she dwelt upon details of their acquaintance, or recalled in any special or peculiar way his personality; it was his being, his existence, which dominated her thought, fading sometimes as if it would melt into the mist of the forgotten, reviving again with an intensity which filled her with an incomprehensible longing.	false	1331.78	1353.45	23.121958
576_129623_000082_000000	Edna was on her way to Madame Ratignolle's.	Edna was on her way to Madame Ratignolle's.	false	1353.45	1356.83	25.368652
576_129623_000082_000001	Their intimacy, begun at Grand Isle, had not declined, and they had seen each other with some frequency since their return to the city.	Their intimacy, begun at Grand Isle, had not declined, and they had seen each other with some frequency since their return to the city.	false	1356.83	1364.07	20.274342
576_129623_000082_000002	The Ratignolles lived at no great distance from Edna's home, on the corner of a side street, where Monsieur Ratignolle owned and conducted a drug store which enjoyed a steady and prosperous trade.	The Ratignolles lived at no great distance from Edna's home, on the corner of a side street, where Monsieur Ratignolle owned and conducted a drug store which enjoyed a steady and prosperous trade.	false	1364.07	1375.18	21.554245
576_129623_000082_000003	His father had been in the business before him, and Monsieur Ratignolle stood well in the community and bore an enviable reputation for integrity and clearheadedness.	His father had been in the business before him, and Monsieur Ratignolle stood well in the community and bore an enviable reputation for integrity and clearheadedness.	false	1375.43	1384.51	20
576_129623_000082_000004	His family lived in commodious apartments over the store, having an entrance on the side within the porte cochere.	His family lived in commodious apartments over the store, having an entrance on the side within the porte cochere.	true	1385.03	1390.99	17
576_129623_000082_000005	There was something which Edna thought very French, very foreign, about their whole manner of living.	There was something which Edna thought very French, very foreign, about their whole manner of living.	false	1391.33	1396.42	20.910067
576_129623_000082_000006	In the large and pleasant salon which extended across the width of the house, the Ratignolles entertained their friends once a fortnight with a soiree musicale, sometimes diversified by card-playing.	In the large and pleasant salon which extended across the width of the house, the Ratignolles entertained their friends once a fortnight with a soiree musicale, sometimes diversified by card playing.	true	1396.67	1409.38	24.178759
576_129623_000082_000007	There was a friend who played upon the 'cello.	There was a friend who played upon the 'cello.	true	1409.66	1412.05	20.910233
576_129623_000082_000008	One brought his flute and another his violin, while there were some who sang and a number who performed upon the piano with various degrees of taste and agility.	One brought his flute and another his violin, while there were some who sang and a number who performed upon the piano with various degrees of taste and agility.	true	1412.21	1420.66	17
576_129623_000082_000009	The Ratignolles' soirees musicales were widely known, and it was considered a privilege to be invited to them.	The Ratignolles' soirees musicales were widely known, and it was considered a privilege to be invited to them.	true	1421	1426.81	19
576_129623_000083_000000	Edna found her friend engaged in assorting the clothes which had returned that morning from the laundry.	Edna found her friend engaged in assorting the clothes which had returned that morning from the laundry.	true	1427.39	1432.69	15
576_129623_000083_000001	She at once abandoned her occupation upon seeing Edna, who had been ushered without ceremony into her presence.	She at once abandoned her occupation upon seeing Edna, who had been ushered without ceremony into her presence.	false	1432.88	1439.91	20.086857
576_129623_000084_000000	"'Cite can do it as well as I; it is really her business," she explained to Edna, who apologized for interrupting her.	"'Cite can do it as well as I; it is really her business," she explained to Edna, who apologized for interrupting her.	false	1439.91	1446.45	21
576_129623_000084_000001	And she summoned a young black woman, whom she instructed, in French, to be very careful in checking off the list which she handed her.	And she summoned a young black woman, whom she instructed, in French, to be very careful in checking off the list which she handed her.	false	1446.45	1455.25	21.911585
576_129623_000084_000002	She told her to notice particularly if a fine linen handkerchief of Monsieur Ratignolle's, which was missing last week, had been returned; and to be sure to set to one side such pieces as required mending and darning.	She told her to notice particularly if a fine linen handkerchief of Monsieur Ratignolle's, which was missing last week, had been returned; and to be sure to set to one side such pieces as required mending and darning.	false	1455.65	1467.34	21
576_129623_000085_000000	Then placing an arm around Edna's waist, she led her to the front of the house, to the salon, where it was cool and sweet with the odor of great roses that stood upon the hearth in jars.	Then placing an arm around Edna's waist, she led her to the front of the house, to the salon, where it was cool and sweet with the odor of great roses that stood upon the hearth in jars.	false	1467.83	1477.83	18
576_129623_000086_000000	Madame Ratignolle looked more beautiful than ever there at home, in a neglige which left her arms almost wholly bare and exposed the rich, melting curves of her white throat.	Madame Ratignolle looked more beautiful than ever there at home, in a neglige which left her arms almost wholly bare and exposed the rich, melting curves of her white throat.	false	1477.83	1488.58	22.76136
576_129623_000087_000000	"Perhaps I shall be able to paint your picture some day," said Edna with a smile when they were seated.	"Perhaps I shall be able to paint your picture some day," said Edna with a smile when they were seated.	false	1488.95	1495.2	24.51089
576_129623_000087_000001	She produced the roll of sketches and started to unfold them.	She produced the roll of sketches and started to unfold them.	true	1495.2	1498.66	19
576_129623_000087_000002	"I believe I ought to work again.	"I believe I ought to work again.	true	1499.12	1501.01	17
576_129623_000087_000003	I feel as if I wanted to be doing something.	I feel as if I wanted to be doing something.	true	1501.01	1503.84	20
576_129623_000087_000004	What do you think of them?	What do you think of them?	true	1503.84	1505.08	24.854527
576_129623_000087_000005	Do you think it worth while to take it up again and study some more?	Do you think it worth while to take it up again and study some more?	true	1505.45	1509.04	21
576_129623_000087_000006	I might study for a while with Laidpore."	I might study for a while with Laidpore."	true	1509.05	1511.44	22.582218
576_129623_000088_000000	She knew that Madame Ratignolle's opinion in such a matter would be next to valueless, that she herself had not alone decided, but determined; but she sought the words of praise and encouragement that would help her to put heart into her venture.	She knew that Madame Ratignolle's opinion in such a matter would be next to valueless, that she herself had not alone decided, but determined; but she sought the words of praise and encouragement that would help her to put heart into her venture.	true	1511.93	1527.01	25.269001
576_129623_000089_000000	"Your talent is immense, dear!"	"Your talent is immense, dear!"	true	1527.71	1529.8	22
576_129623_000090_000000	"Nonsense!" protested Edna, well pleased.	"Nonsense!" protested Edna, well pleased.	true	1530.02	1532.89	23.086016
576_129623_000091_000000	"Immense, I tell you," persisted Madame Ratignolle, surveying the sketches one by one, at close range, then holding them at arm's length, narrowing her eyes, and dropping her head on one side.	"Immense, I tell you," persisted Madame Ratignolle, surveying the sketches one by one, at close range, then holding them at arm's length, narrowing her eyes, and dropping her head on one side.	false	1532.96	1544.2	22
576_129623_000091_000001	"Surely, this Bavarian peasant is worthy of framing; and this basket of apples!	"Surely, this Bavarian peasant is worthy of framing; and this basket of apples!	true	1544.33	1549.5	18
576_129623_000091_000002	never have I seen anything more lifelike.	never have I seen anything more lifelike.	false	1549.5	1552.56	19.644312
576_129623_000091_000003	One might almost be tempted to reach out a hand and take one."	One might almost be tempted to reach out a hand and take one."	true	1552.56	1556.23	25
576_129623_000092_000000	Edna could not control a feeling which bordered upon complacency at her friend's praise, even realizing, as she did, its true worth. She retained a few of the sketches, and gave all the rest to Madame Ratignolle, who appreciated the gift far beyond its value and proudly exhibited the pictures to her husband when he came up from the store a little later for his midday dinner.	Edna could not control a feeling which bordered upon complacency at her friend's praise, even realizing, as she did, its true worth. She retained a few of the sketches, and gave all the rest to Madame Ratignolle, who appreciated the gift far beyond its value and proudly exhibited the pictures to her husband when he came up from the store a little later for his midday dinner.	false	1556.6	1577.77	19
576_129623_000093_000000	Mr. Ratignolle was one of those men who are called the salt of the earth.	mr Ratignolle was one of those men who are called the salt of the earth.	false	1578.17	1582.3	20.835293
576_129623_000093_000001	His cheerfulness was unbounded, and it was matched by his goodness of heart, his broad charity, and common sense.	His cheerfulness was unbounded, and it was matched by his goodness of heart, his broad charity, and common sense.	true	1582.31	1589.19	22
576_129623_000093_000002	He and his wife spoke English with an accent which was only discernible through its un-English emphasis and a certain carefulness and deliberation. Edna's husband spoke English with no accent whatever.	He and his wife spoke English with an accent which was only discernible through its un English emphasis and a certain carefulness and deliberation. Edna's husband spoke English with no accent whatever.	false	1589.19	1602.42	24.492702
576_129623_000093_000003	The Ratignolles understood each other perfectly.	The Ratignolles understood each other perfectly.	false	1602.42	1605.88	20.203247
576_129623_000093_000004	If ever the fusion of two human beings into one has been accomplished on this sphere it was surely in their union.	If ever the fusion of two human beings into one has been accomplished on this sphere it was surely in their union.	false	1605.95	1613.23	20
576_129623_000094_000000	As Edna seated herself at table with them she thought, "Better a dinner of herbs," though it did not take her long to discover that it was no dinner of herbs, but a delicious repast, simple, choice, and in every way satisfying.	As Edna seated herself at table with them she thought, "Better a dinner of herbs," though it did not take her long to discover that it was no dinner of herbs, but a delicious repast, simple, choice, and in every way satisfying.	false	1613.87	1627.24	23
576_129623_000095_000000	Monsieur Ratignolle was delighted to see her, though he found her looking not so well as at Grand Isle, and he advised a tonic.	Monsieur Ratignolle was delighted to see her, though he found her looking not so well as at Grand Isle, and he advised a tonic.	false	1627.67	1635.64	20
576_129623_000095_000001	He talked a good deal on various topics, a little politics, some city news and neighborhood gossip.	He talked a good deal on various topics, a little politics, some city news and neighborhood gossip.	false	1636.04	1642.3	21
576_129623_000095_000002	He spoke with an animation and earnestness that gave an exaggerated importance to every syllable he uttered.	He spoke with an animation and earnestness that gave an exaggerated importance to every syllable he uttered.	false	1642.73	1649.46	21.881874
576_129623_000095_000003	His wife was keenly interested in everything he said, laying down her fork the better to listen, chiming in, taking the words out of his mouth.	His wife was keenly interested in everything he said, laying down her fork the better to listen, chiming in, taking the words out of his mouth.	true	1649.46	1657.83	22
576_129623_000096_000000	Edna felt depressed rather than soothed after leaving them.	Edna felt depressed rather than soothed after leaving them.	false	1657.83	1661.14	18.650434
576_129623_000096_000001	The little glimpse of domestic harmony which had been offered her, gave her no regret, no longing.	The little glimpse of domestic harmony which had been offered her, gave her no regret, no longing.	false	1661.36	1667.58	20.268995
576_129623_000096_000002	It was not a condition of life which fitted her, and she could see in it but an appalling and hopeless ennui.	It was not a condition of life which fitted her, and she could see in it but an appalling and hopeless ennui.	true	1667.58	1673.59	20
576_129623_000096_000003	She was moved by a kind of commiseration for Madame Ratignolle,--a pity for that colorless existence which never uplifted its possessor beyond the region of blind contentment, in which no moment of anguish ever visited her soul, in which she would never have the taste of life's delirium.	She was moved by a kind of commiseration for Madame Ratignolle,--a pity for that colorless existence which never uplifted its possessor beyond the region of blind contentment, in which no moment of anguish ever visited her soul, in which she would never have the taste of life's delirium.	false	1673.9	1691.89	21.599823
576_129623_000096_000004	Edna vaguely wondered what she meant by "life's delirium."	Edna vaguely wondered what she meant by "life's delirium."	true	1692.17	1695.54	14
576_129623_000096_000005	It had crossed her thought like some unsought, extraneous impression.	It had crossed her thought like some unsought, extraneous impression.	false	1695.54	1701.63	26.565083
576_129623_000097_000000	XIX	nineteen	true	1701.63	1702.57	16
576_129623_000098_000000	Edna could not help but think that it was very foolish, very childish, to have stamped upon her wedding ring and smashed the crystal vase upon the tiles.	Edna could not help but think that it was very foolish, very childish, to have stamped upon her wedding ring and smashed the crystal vase upon the tiles.	true	1703.03	1711.51	19
576_129623_000098_000001	She was visited by no more outbursts, moving her to such futile expedients.	She was visited by no more outbursts, moving her to such futile expedients.	false	1711.7	1717.56	20.64526
576_129623_000098_000002	She began to do as she liked and to feel as she liked.	She began to do as she liked and to feel as she liked.	true	1717.56	1720.72	18
576_129623_000098_000003	She completely abandoned her Tuesdays at home, and did not return the visits of those who had called upon her.	She completely abandoned her Tuesdays at home, and did not return the visits of those who had called upon her.	true	1720.76	1726.72	20
576_129623_000098_000004	She made no ineffectual efforts to conduct her household en bonne menagere, going and coming as it suited her fancy, and, so far as she was able, lending herself to any passing caprice.	She made no ineffectual efforts to conduct her household en bonne menagere, going and coming as it suited her fancy, and, so far as she was able, lending herself to any passing caprice.	false	1726.73	1738.12	19
576_129623_000099_000000	Mr. Pontellier had been a rather courteous husband so long as he met a certain tacit submissiveness in his wife.	mr Pontellier had been a rather courteous husband so long as he met a certain tacit submissiveness in his wife.	false	1738.43	1745.74	22
576_129623_000099_000001	But her new and unexpected line of conduct completely bewildered him.	But her new and unexpected line of conduct completely bewildered him.	false	1745.84	1750.24	24.295017
576_129623_000099_000002	It shocked him.	It shocked him.	true	1750.34	1751.41	32.797005
576_129623_000099_000003	Then her absolute disregard for her duties as a wife angered him.	Then her absolute disregard for her duties as a wife angered him.	true	1751.63	1755.64	23
576_129623_000099_000004	When Mr. Pontellier became rude, Edna grew insolent.	When mr Pontellier became rude, Edna grew insolent.	false	1755.89	1759.71	22.806
576_129623_000099_000005	She had resolved never to take another step backward.	She had resolved never to take another step backward.	true	1759.71	1762.72	20.360886
576_129623_000100_000000	"It seems to me the utmost folly for a woman at the head of a household, and the mother of children, to spend in an atelier days which would be better employed contriving for the comfort of her family."	"It seems to me the utmost folly for a woman at the head of a household, and the mother of children, to spend in an atelier days which would be better employed contriving for the comfort of her family."	false	1763	1773.9	17
576_129623_000101_000000	"I feel like painting," answered Edna.	"I feel like painting," answered Edna.	false	1773.9	1776.49	26.236984
576_129623_000101_000001	"Perhaps I shan't always feel like it."	"Perhaps I shan't always feel like it."	false	1776.49	1778.74	28
