7416_103126_000002_000000	CORNY'S CATAMOUNT	CORNY'S CATAMOUNT
7416_103126_000079_000001	Don't care who shot her, I'll kill her, and have her too, if I pay my last dollar," thought Corny; and catching up a stout bit of timber fallen from the old roof, he struck one quick blow, which finished poor puss, who gave up the ghost with a savage snarl, and a vain effort to pounce on him.	Don't care who shot her, I'll kill her, and have her too, if I pay my last dollar," thought Corny; and catching up a stout bit of timber fallen from the old roof, he struck one quick blow, which finished poor puss, who gave up the ghost with a savage snarl, and a vain effort to pounce on him.
7416_103126_000081_000000	"Wish I didn't look so like a scare-crow; but perhaps my rags will add to the effect.	"Wish I didn't look so like a scare crow; but perhaps my rags will add to the effect.
7416_103126_000081_000001	Won't the girls laugh at my swelled face, and scream at the cat.	Won't the girls laugh at my swelled face, and scream at the cat.
7416_103126_000081_000002	Poor mammy will mourn over me and coddle me up as if I'd been to the wars.	Poor mammy will mourn over me and coddle me up as if I'd been to the wars.
7416_103126_000081_000003	Hope some house isn't very far off, for I don't believe I can lug this brute much farther, I'm so starved and shaky."	Hope some house isn't very far off, for I don't believe I can lug this brute much farther, I'm so starved and shaky."
7416_103126_000082_000000	Just as he paused to take breath and shift his burden from one shoulder to the other, a loud shout startled him, and a moment after, several men came bursting through the wood, cheering like lunatics as they approached.	Just as he paused to take breath and shift his burden from one shoulder to the other, a loud shout startled him, and a moment after, several men came bursting through the wood, cheering like lunatics as they approached.
7416_103126_000083_000000	It was Abner, Chris, and some of the neighbors, setting out again on their search, after a night of vain wandering.	It was Abner, Chris, and some of the neighbors, setting out again on their search, after a night of vain wandering.
7416_103126_000083_000001	Corny could have hugged them all and cried like a girl; but pride kept him steady, though his face showed his joy as he nodded his hatless head with a cool--	Corny could have hugged them all and cried like a girl; but pride kept him steady, though his face showed his joy as he nodded his hatless head with a cool-
7416_103126_000086_000000	The tale was soon told, and received with the most flattering signs of interest, wonder, sympathy, and admiration.	The tale was soon told, and received with the most flattering signs of interest, wonder, sympathy, and admiration.
7416_103126_000088_000000	"That isn't a wild goose, is it?" proudly demanded Corny, pointing to the cat, which now lay on the ground, while he leaned against a tree to hide his weariness; for he felt ready to drop, now all the excitement was over.	"That isn't a wild goose, is it?" proudly demanded Corny, pointing to the cat, which now lay on the ground, while he leaned against a tree to hide his weariness; for he felt ready to drop, now all the excitement was over.
7416_103126_000089_000001	Where did you shoot her?" asked Abner, stooping to examine the creature.	Where did you shoot her?" asked Abner, stooping to examine the creature.
7416_103126_000090_000000	"Didn't shoot her; broke my gun when I took that header down the mountain.	"Didn't shoot her; broke my gun when I took that header down the mountain.
7416_103126_000090_000001	I hit her a rap with a club, in the cabin where I found her," answered Corny, heartily wishing he need not share the prize with any one.	I hit her a rap with a club, in the cabin where I found her," answered Corny, heartily wishing he need not share the prize with any one.
7416_103126_000090_000002	But he was honest, and added at once, "Some one else had put a bullet into her; I only finished her off."	But he was honest, and added at once, "Some one else had put a bullet into her; I only finished her off."
7416_103126_000091_000000	"Chris did it; he fired a spell back and see the critter run, but we was too keen after you to stop for any other game.	"Chris did it; he fired a spell back and see the critter run, but we was too keen after you to stop for any other game.
7416_103126_000091_000001	Guess you've had enough of catamounts for one spell, hey?" and Abner laughed as he looked at poor Corny, who was a more sorry spectacle than he knew,--ragged and rough, hatless and shoeless, his face red and swelled with the poisoning and bites, his eyes heavy with weariness, and in his mouth a bit of wild-cherry bark which he chewed ravenously.	Guess you've had enough of catamounts for one spell, hey?" and Abner laughed as he looked at poor Corny, who was a more sorry spectacle than he knew,--ragged and rough, hatless and shoeless, his face red and swelled with the poisoning and bites, his eyes heavy with weariness, and in his mouth a bit of wild cherry bark which he chewed ravenously.
7416_103126_000092_000000	"No, I haven't!	"No, I haven't!
7416_103126_000092_000002	I said I'd kill one, and I did, and want to keep the skin; for I ought to have something to show after all this knocking about and turning somersaults half a mile long," answered Corny stoutly, as he tried to shoulder his load again.	I said I'd kill one, and I did, and want to keep the skin; for I ought to have something to show after all this knocking about and turning somersaults half a mile long," answered Corny stoutly, as he tried to shoulder his load again.
7416_103126_000093_000000	"Here, give me the varmint, and you hang on to Chris, my boy, or we'll have to cart you home.	"Here, give me the varmint, and you hang on to Chris, my boy, or we'll have to cart you home.
7416_103126_000093_000002	Right about face, neighbors, and home we go, to the tune of Hail Columby."	Right about face, neighbors, and home we go, to the tune of Hail Columby."
7416_103126_000094_000000	As Abner spoke, the procession set forth.	As Abner spoke, the procession set forth.
7416_103126_000095_000000	In this order they reached home, and Corny tumbled into his mother's arms, to be no more seen for some hours.	In this order they reached home, and Corny tumbled into his mother's arms, to be no more seen for some hours.
7416_103126_000095_000002	He made no more boasts of skill and courage that summer, set out on no more wild hunts, and gave up his own wishes so cheerfully that it was evident something had worked a helpful change in wilful Corny.	He made no more boasts of skill and courage that summer, set out on no more wild hunts, and gave up his own wishes so cheerfully that it was evident something had worked a helpful change in wilful Corny.
7416_103126_000096_000000	He liked to tell the story of that day and night when his friends were recounting adventures by sea and land; but he never said much about the hours on the ledge, always owned that Chris shot the beast, and usually ended by sagely advising his hearers to let their mothers know, when they went off on a lark of that kind.	He liked to tell the story of that day and night when his friends were recounting adventures by sea and land; but he never said much about the hours on the ledge, always owned that Chris shot the beast, and usually ended by sagely advising his hearers to let their mothers know, when they went off on a lark of that kind.
