5684_46240_000000_000000	CHAPTER IX.	CHAPTER nine.	false	0	0.63	1
5684_46240_000019_000008	In another family the inferior or posterior antennae are "curiously zigzagged" in the males alone.	In another family the inferior or posterior antennae are "curiously zigzagged" in the males alone.	true	900.62	906.27	15
5684_46240_000020_000000	[Fig. 5.	[Fig. five.	false	906.27	906.33	-2
5684_46240_000020_000001	Anterior part of body of Callianassa (from Milne-Edwards), showing the unequal and differently-constructed right and left-hand chelae of the male.	Anterior part of body of Callianassa (from Milne Edwards), showing the unequal and differently constructed right and left hand chelae of the male.	false	906.33	907.02	-20
5684_46240_000020_000002	N.B.--The artist by mistake has reversed the drawing, and made the left-hand chela the largest.	n b--The artist by mistake has reversed the drawing, and made the left hand chela the largest.	false	907.02	907.59	-20
5684_46240_000021_000000	Fig. 6.	Fig. six.	false	907.59	907.65	-9
5684_46240_000021_000001	Second leg of male Orchestia Tucuratinga (from Fritz Mueller).	Second leg of male Orchestia Tucuratinga (from Fritz Mueller).	false	907.65	907.92	-20
5684_46240_000022_000000	Fig. 7.	Fig. seven.	false	907.92	907.98	-4
5684_46240_000022_000001	Ditto of female.]	Ditto of female.]	false	907.98	908.085	-20
5684_46240_000023_000000	In the higher crustaceans the anterior legs are developed into chelae or pincers; and these are generally larger in the male than in the female,--so much so that the market value of the male edible crab (Cancer pagurus), according to Mr. C. Spence Bate, is five times as great as that of the female.	In the higher crustaceans the anterior legs are developed into chelae or pincers; and these are generally larger in the male than in the female,--so much so that the market value of the male edible crab (Cancer pagurus), according to mr c Spence Bate, is five times as great as that of the female.	false	908.085	925.66	20
5684_46240_000023_000001	In many species the chelae are of unequal size on the opposite side of the body, the right-hand one being, as I am informed by Mr. Bate, generally, though not invariably, the largest.	In many species the chelae are of unequal size on the opposite side of the body, the right-hand one being, as I am informed by mr Bate, generally, though not invariably, the largest.	false	926.03	936.19	19.447077
5684_46240_000023_000002	This inequality is also often much greater in the male than in the female.	This inequality is also often much greater in the male than in the female.	true	936.62	940.9	18
5684_46240_000023_000003	The two chelae of the male often differ in structure (Figs. 5, 6, and 7), the smaller one resembling that of the female.	The two chelae of the male often differ in structure (Figs. five, six, and seven), the smaller one resembling that of the female.	false	941.15	946.15	19.93991
5684_46240_000023_000004	What advantage is gained by their inequality in size on the opposite sides of the body, and by the inequality being much greater in the male than in the female; and why, when they are of equal size, both are often much larger in the male than in the female, is not known.	What advantage is gained by their inequality in size on the opposite sides of the body, and by the inequality being much greater in the male than in the female; and why, when they are of equal size, both are often much larger in the male than in the female, is not known.	false	946.43	961.18	17
5684_46240_000023_000005	As I hear from Mr. Bate, the chelae are sometimes of such length and size that they cannot possibly be used for carrying food to the mouth.	As I hear from mr Bate, the chelae are sometimes of such length and size that they cannot possibly be used for carrying food to the mouth.	false	961.7	969.67	23
5684_46240_000023_000006	In the males of certain fresh-water prawns (Palaemon) the right leg is actually longer than the whole body. (10.	In the males of certain fresh water prawns (Palaemon) the right leg is actually longer than the whole body. (ten.	false	969.8	974.64	17
5684_46240_000023_000007	See a paper by Mr. C. Spence Bate, with figures, in 'Proceedings, Zoological Society,' 1868, p. 363; and on the nomenclature of the genus, ibid.	See a paper by mr c Spence Bate, with figures, in 'Proceedings, Zoological Society,' eighteen sixty eight, p. three hundred sixty three; and on the nomenclature of the genus, ibid.	false	974.64	975.21	100
5684_46240_000023_000008	p. 585.	p. five hundred eighty five.	false	975.21	975.21	
5684_46240_000023_000009	I am greatly indebted to Mr. Spence Bate for nearly all the above statements with respect to the chelae of the higher crustaceans.) The great size of the one leg with its chelae may aid the male in fighting with his rivals; but this will not account for their inequality in the female on the opposite sides of the body.	I am greatly indebted to mr Spence Bate for nearly all the above statements with respect to the chelae of the higher crustaceans.) The great size of the one leg with its chelae may aid the male in fighting with his rivals; but this will not account for their inequality in the female on the opposite sides of the body.	false	975.21	984.94	19
5684_46240_000023_000010	In Gelasimus, according to a statement quoted by Milne Edwards (11. 'Hist.	In Gelasimus, according to a statement quoted by Milne Edwards (eleven. 'Hist.	false	985.13	988.5	16
5684_46240_000023_000011	Nat. des Crust.' tom.	Nat. des Crust.' tom.	false	988.5	988.56	-20
5684_46240_000023_000012	ii. 1837, p. 50.), the male and the female live in the same burrow, and this shews that they pair; the male closes the mouth of the burrow with one of its chelae, which is enormously developed; so that here it indirectly serves as a means of defence.	ii. eighteen thirty seven, p. fifty.), the male and the female live in the same burrow, and this shews that they pair; the male closes the mouth of the burrow with one of its chelae, which is enormously developed; so that here it indirectly serves as a means of defence.	false	988.56	1000.6	22.247316
5684_46240_000023_000013	Their main use, however, is probably to seize and to secure the female, and this in some instances, as with Gammarus, is known to be the case.	Their main use, however, is probably to seize and to secure the female, and this in some instances, as with Gammarus, is known to be the case.	true	1000.97	1008.61	18.46235
5684_46240_000023_000014	The male of the hermit or soldier crab (Pagurus) for weeks together, carries about the shell inhabited by the female. (12.	The male of the hermit or soldier crab (Pagurus) for weeks together, carries about the shell inhabited by the female. (twelve.	false	1009.46	1015.44	17
5684_46240_000023_000015	Mr. C. Spence Bate, 'British Association, Fourth Report on the Fauna of S. Devon.') The sexes, however, of the common shore-crab (Carcinus maenas), as Mr. Bate informs me, unite directly after the female has moulted her hard shell, when she is so soft that she would be injured if seized by the strong pincers of the male; but as she is caught and carried about by the male before moulting, she could then be seized with impunity.	mr c Spence Bate, 'British Association, Fourth Report on the Fauna of s Devon.') The sexes, however, of the common shore crab (Carcinus maenas), as mr Bate informs me, unite directly after the female has moulted her hard shell, when she is so soft that she would be injured if seized by the strong pincers of the male; but as she is caught and carried about by the male before moulting, she could then be seized with impunity.	false	1015.44	1033.47	20
5684_46240_000024_000000	[Fig.8.	[Fig point eight.	false	1033.47	1034.1	0
5684_46240_000024_000001	Orchestia Darwinii (from Fritz Mueller), showing the differently- constructed chelae of the two male forms.]	Orchestia Darwinii (from Fritz Mueller), showing the differently constructed chelae of the two male forms.]	false	1034.1	1035.45	31.981222
5684_46240_000025_000000	Fritz Mueller states that certain species of Melita are distinguished from all other amphipods by the females having "the coxal lamellae of the penultimate pair of feet produced into hook-like processes, of which the males lay hold with the hands of the first pair." The development of these hook-like processes has probably followed from those females which were the most securely held during the act of reproduction, having left the largest number of offspring.	Fritz Mueller states that certain species of Melita are distinguished from all other amphipods by the females having "the coxal lamellae of the penultimate pair of feet produced into hook like processes, of which the males lay hold with the hands of the first pair." The development of these hook like processes has probably followed from those females which were the most securely held during the act of reproduction, having left the largest number of offspring.	false	1035.45	1059.61	22.848602
5684_46240_000025_000001	Another Brazilian amphipod (see Orchestia darwinii, Fig. 8) presents a case of dimorphism, like that of Tanais; for there are two male forms, which differ in the structure of their chelae. (13.	Another Brazilian amphipod (see Orchestia darwinii, Fig. eight) presents a case of dimorphism, like that of Tanais; for there are two male forms, which differ in the structure of their chelae. (thirteen.	false	1059.92	1068.39	23.020853
5684_46240_000025_000002	Fritz Mueller, 'Facts and Arguments for Darwin,' 1869, pp. 25-28.) As either chela would certainly suffice to hold the female,--for both are now used for this purpose,--the two male forms probably originated by some having varied in one manner and some in another; both forms having derived certain special, but nearly equal advantages, from their differently shaped organs.	Fritz Mueller, 'Facts and Arguments for Darwin,' eighteen sixty nine, p p. twenty five to twenty eight.) As either chela would certainly suffice to hold the female,--for both are now used for this purpose,--the two male forms probably originated by some having varied in one manner and some in another; both forms having derived certain special, but nearly equal advantages, from their differently shaped organs.	false	1068.39	1085.59	23.581244
5684_46240_000026_000000	It is not known that male crustaceans fight together for the possession of the females, but it is probably the case; for with most animals when the male is larger than the female, he seems to owe his greater size to his ancestors having fought with other males during many generations.	It is not known that male crustaceans fight together for the possession of the females, but it is probably the case; for with most animals when the male is larger than the female, he seems to owe his greater size to his ancestors having fought with other males during many generations.	true	1086.86	1101.97	19
5684_46240_000026_000001	In most of the orders, especially in the highest or the Brachyura, the male is larger than the female; the parasitic genera, however, in which the sexes follow different habits of life, and most of the Entomostraca must be excepted.	In most of the orders, especially in the highest or the Brachyura, the male is larger than the female; the parasitic genera, however, in which the sexes follow different habits of life, and most of the Entomostraca must be excepted.	false	1102.43	1115.43	20.887772
5684_46240_000026_000002	The chelae of many crustaceans are weapons well adapted for fighting.	The chelae of many crustaceans are weapons well adapted for fighting.	false	1115.43	1119.94	18.781925
5684_46240_000026_000003	Thus when a Devil-crab (Portunus puber) was seen by a son of Mr. Bate fighting with a Carcinus maenas, the latter was soon thrown on its back, and had every limb torn from its body.	Thus when a Devil crab (Portunus puber) was seen by a son of mr Bate fighting with a Carcinus maenas, the latter was soon thrown on its back, and had every limb torn from its body.	false	1120.13	1130.47	21
5684_46240_000026_000004	When several males of a Brazilian Gelasimus, a species furnished with immense pincers, were placed together in a glass vessel by Fritz Mueller, they mutilated and killed one another.	When several males of a Brazilian Gelasimus, a species furnished with immense pincers, were placed together in a glass vessel by Fritz Mueller, they mutilated and killed one another.	true	1130.87	1141.18	19.367022
5684_46240_000026_000005	Mr. Bate put a large male Carcinus maenas into a pan of water, inhabited by a female which was paired with a smaller male; but the latter was soon dispossessed.	mr Bate put a large male Carcinus maenas into a pan of water, inhabited by a female which was paired with a smaller male; but the latter was soon dispossessed.	true	1141.34	1150.39	20
5684_46240_000026_000006	Mr. Bate adds, "if they fought, the victory was a bloodless one, for I saw no wounds." This same naturalist separated a male sand-skipper (so common on our sea-shores), Gammarus marinus, from its female, both of whom were imprisoned in the same vessel with many individuals of the same species.	mr Bate adds, "if they fought, the victory was a bloodless one, for I saw no wounds." This same naturalist separated a male sand skipper (so common on our sea shores), Gammarus marinus, from its female, both of whom were imprisoned in the same vessel with many individuals of the same species.	true	1150.43	1167.97	19.320187
5684_46240_000026_000007	The female, when thus divorced, soon joined the others.	The female, when thus divorced, soon joined the others.	true	1168.13	1171	17.589655
5684_46240_000026_000008	After a time the male was put again into the same vessel; and he then, after swimming about for a time, dashed into the crowd, and without any fighting at once took away his wife.	After a time the male was put again into the same vessel; and he then, after swimming about for a time, dashed into the crowd, and without any fighting at once took away his wife.	true	1171.1	1180.84	21
5684_46240_000026_000009	This fact shews that in the Amphipoda, an order low in the scale, the males and females recognise each other, and are mutually attached.	This fact shews that in the Amphipoda, an order low in the scale, the males and females recognise each other, and are mutually attached.	true	1180.85	1189.87	20.818823
5684_46240_000027_000000	The mental powers of the Crustacea are probably higher than at first sight appears probable.	The mental powers of the Crustacea are probably higher than at first sight appears probable.	true	1190	1195.12	21.29408
5684_46240_000027_000001	Any one who tries to catch one of the shore-crabs, so common on tropical coasts, will perceive how wary and alert they are. There is a large crab (Birgus latro), found on coral islands, which makes a thick bed of the picked fibres of the cocoa-nut, at the bottom of a deep burrow.	Any one who tries to catch one of the shore crabs, so common on tropical coasts, will perceive how wary and alert they are. There is a large crab (Birgus latro), found on coral islands, which makes a thick bed of the picked fibres of the cocoa nut, at the bottom of a deep burrow.	true	1195.61	1211.02	23.28534
5684_46240_000027_000002	It feeds on the fallen fruit of this tree by tearing off the husk, fibre by fibre; and it always begins at that end where the three eye-like depressions are situated.	It feeds on the fallen fruit of this tree by tearing off the husk, fibre by fibre; and it always begins at that end where the three eye like depressions are situated.	true	1211.15	1220.26	23
5684_46240_000027_000003	It then breaks through one of these eyes by hammering with its heavy front pincers, and turning round, extracts the albuminous core with its narrow posterior pincers.	It then breaks through one of these eyes by hammering with its heavy front pincers, and turning round, extracts the albuminous core with its narrow posterior pincers.	true	1220.54	1229.71	22.345848
5684_46240_000027_000004	But these actions are probably instinctive, so that they would be performed as well by a young animal as by an old one.	But these actions are probably instinctive, so that they would be performed as well by a young animal as by an old one.	true	1230.2	1236.28	20.457933
5684_46240_000027_000005	The following case, however, can hardly be so considered: a trustworthy naturalist, Mr. Gardner (14. 'Travels in the Interior of Brazil,' 1846, p. 111.	The following case, however, can hardly be so considered: a trustworthy naturalist, mr Gardner (fourteen. 'Travels in the Interior of Brazil,' eighteen forty six, p. one hundred eleven.	false	1236.62	1241.88	20.17548
5684_46240_000027_000006	I have given, in my 'Journal of Researches,' p. 463, an account of the habits of the Birgus.), whilst watching a shore-crab (Gelasimus) making its burrow, threw some shells towards the hole.	I have given, in my 'Journal of Researches,' p. four hundred sixty three, an account of the habits of the Birgus.), whilst watching a shore crab (Gelasimus) making its burrow, threw some shells towards the hole.	false	1241.88	1246.77	21
5684_46240_000027_000007	One rolled in, and three other shells remained within a few inches of the mouth.	One rolled in, and three other shells remained within a few inches of the mouth.	false	1246.77	1250.74	16.83445
5684_46240_000027_000008	In about five minutes the crab brought out the shell which had fallen in, and carried it away to a distance of a foot; it then saw the three other shells lying near, and evidently thinking that they might likewise roll in, carried them to the spot where it had laid the first.	In about five minutes the crab brought out the shell which had fallen in, and carried it away to a distance of a foot; it then saw the three other shells lying near, and evidently thinking that they might likewise roll in, carried them to the spot where it had laid the first.	true	1250.78	1265.2	22.92083
5684_46240_000027_000009	It would, I think, be difficult to distinguish this act from one performed by man by the aid of reason.	It would, I think, be difficult to distinguish this act from one performed by man by the aid of reason.	false	1265.36	1270.93	18
5684_46240_000028_000000	Mr. Bate does not know of any well-marked case of difference of colour in the two sexes of our British crustaceans, in which respect the sexes of the higher animals so often differ.	mr Bate does not know of any well marked case of difference of colour in the two sexes of our British crustaceans, in which respect the sexes of the higher animals so often differ.	false	1271.57	1281.55	21.741438
5684_46240_000028_000001	In some cases, however, the males and females differ slightly in tint, but Mr. Bate thinks not more than may be accounted for by their different habits of life, such as by the male wandering more about, and being thus more exposed to the light.	In some cases, however, the males and females differ slightly in tint, but mr Bate thinks not more than may be accounted for by their different habits of life, such as by the male wandering more about, and being thus more exposed to the light.	true	1281.83	1294.54	19
5684_46240_000028_000002	Dr. Power tried to distinguish by colour the sexes of the several species which inhabit the Mauritius, but failed, except with one species of Squilla, probably S. stylifera, the male of which is described as being "of a beautiful bluish-green," with some of the appendages cherry-red, whilst the female is clouded with brown and grey, "with the red about her much less vivid than in the male." (15.	dr Power tried to distinguish by colour the sexes of the several species which inhabit the Mauritius, but failed, except with one species of Squilla, probably s stylifera, the male of which is described as being "of a beautiful bluish green," with some of the appendages cherry red, whilst the female is clouded with brown and grey, "with the red about her much less vivid than in the male." (fifteen.	false	1295.24	1316.82	22
5684_46240_000028_000003	Mr. Ch.	mr c h.	false	1316.82	1317.18	-20
5684_46240_000028_000004	Fraser, in 'Proc.	Fraser, in 'Proc.	false	1317.18	1317.45	100
5684_46240_000028_000005	Zoolog.	Zoolog.	false	1317.45	1317.45	
5684_46240_000028_000006	Soc.' 1869, p. 3.	s o c.' eighteen sixty nine, p. three.	false	1317.45	1317.45	
5684_46240_000028_000007	I am indebted to Mr. Bate for Dr. Power's statement.) In this case, we may suspect the agency of sexual selection.	I am indebted to mr Bate for dr Power's statement.) In this case, we may suspect the agency of sexual selection.	false	1317.45	1320.73	21.768675
5684_46240_000028_000008	From M. Bert's observations on Daphnia, when placed in a vessel illuminated by a prism, we have reason to believe that even the lowest crustaceans can distinguish colours.	From m Bert's observations on Daphnia, when placed in a vessel illuminated by a prism, we have reason to believe that even the lowest crustaceans can distinguish colours.	false	1320.77	1330.72	19.033215
5684_46240_000028_000009	With Saphirina (an oceanic genus of Entomostraca), the males are furnished with minute shields or cell-like bodies, which exhibit beautiful changing colours; these are absent in the females, and in both sexes of one species. (16.	With Saphirina (an oceanic genus of Entomostraca), the males are furnished with minute shields or cell like bodies, which exhibit beautiful changing colours; these are absent in the females, and in both sexes of one species. (sixteen.	false	1331.03	1344.15	21.49861
5684_46240_000028_000010	Claus, 'Die freilebenden Copepoden,' 1863, s.	Claus, 'Die freilebenden Copepoden,' eighteen sixty three, s.	false	1344.15	1344.75	-3
5684_46240_000028_000011	35.) It would, however, be extremely rash to conclude that these curious organs serve to attract the females.	thirty five.) It would, however, be extremely rash to conclude that these curious organs serve to attract the females.	false	1344.75	1350.16	18.46185
5684_46240_000028_000012	I am informed by Fritz Mueller, that in the female of a Brazilian species of Gelasimus, the whole body is of a nearly uniform greyish-brown.	I am informed by Fritz Mueller, that in the female of a Brazilian species of Gelasimus, the whole body is of a nearly uniform greyish brown.	true	1350.44	1358.56	18
5684_46240_000028_000013	In the male the posterior part of the cephalo- thorax is pure white, with the anterior part of a rich green, shading into dark brown; and it is remarkable that these colours are liable to change in the course of a few minutes--the white becoming dirty grey or even black, the green "losing much of its brilliancy." It deserves especial notice that the males do not acquire their bright colours until they become mature.	In the male the posterior part of the cephalo thorax is pure white, with the anterior part of a rich green, shading into dark brown; and it is remarkable that these colours are liable to change in the course of a few minutes-the white becoming dirty grey or even black, the green "losing much of its brilliancy." It deserves especial notice that the males do not acquire their bright colours until they become mature.	false	1358.81	1381.33	21.99626
5684_46240_000028_000014	They appear to be much more numerous than the females; they differ also in the larger size of their chelae.	They appear to be much more numerous than the females; they differ also in the larger size of their chelae.	false	1381.52	1387.41	22.462784
5684_46240_000028_000015	In some species of the genus, probably in all, the sexes pair and inhabit the same burrow.	In some species of the genus, probably in all, the sexes pair and inhabit the same burrow.	true	1387.41	1393.18	21.916225
5684_46240_000028_000016	They are also, as we have seen, highly intelligent animals.	They are also, as we have seen, highly intelligent animals.	true	1393.34	1396.66	20.64999
5684_46240_000028_000017	From these various considerations it seems probable that the male in this species has become gaily ornamented in order to attract or excite the female.	From these various considerations it seems probable that the male in this species has become gaily ornamented in order to attract or excite the female.	true	1396.76	1404.73	21.331602
5684_46240_000029_000000	It has just been stated that the male Gelasimus does not acquire his conspicuous colours until mature and nearly ready to breed.	It has just been stated that the male Gelasimus does not acquire his conspicuous colours until mature and nearly ready to breed.	true	1405.79	1412.86	22
5684_46240_000029_000001	This seems a general rule in the whole class in respect to the many remarkable structural differences between the sexes.	This seems a general rule in the whole class in respect to the many remarkable structural differences between the sexes.	true	1412.99	1418.86	20.50386
5684_46240_000029_000002	We shall hereafter find the same law prevailing throughout the great sub-kingdom of the Vertebrata; and in all cases it is eminently distinctive of characters which have been acquired through sexual selection.	We shall hereafter find the same law prevailing throughout the great sub kingdom of the Vertebrata; and in all cases it is eminently distinctive of characters which have been acquired through sexual selection.	true	1418.96	1429.15	21
5684_46240_000029_000003	Fritz Mueller (17. 'Facts and Arguments,' etc., p. 79.) gives some striking instances of this law; thus the male sand-hopper (Orchestia) does not, until nearly full grown, acquire his large claspers, which are very differently constructed from those of the female; whilst young, his claspers resemble those of the female.	Fritz Mueller (seventeen. 'Facts and Arguments,' etc, p. seventy nine.) gives some striking instances of this law; thus the male sand hopper (Orchestia) does not, until nearly full grown, acquire his large claspers, which are very differently constructed from those of the female; whilst young, his claspers resemble those of the female.	false	1429.37	1444.27	21.628147
5684_46240_000030_000000	CLASS, ARACHNIDA (SPIDERS).	CLASS, a r a c h n i d a (SPIDERS).	false	1444.67	1447.12	24.229025
5684_46240_000031_000000	The sexes do not generally differ much in colour, but the males are often darker than the females, as may be seen in Mr. Blackwall's magnificent work. (18. 'A History of the Spiders of Great Britain,' 1861-64.	The sexes do not generally differ much in colour, but the males are often darker than the females, as may be seen in mr Blackwall's magnificent work. (eighteen. 'A History of the Spiders of Great Britain,' eighteen sixty one to sixty four.	false	1448.03	1455.72	20.495007
5684_46240_000031_000001	For the following facts, see pp. 77, 88, 102.) In some species, however, the difference is conspicuous: thus the female of Sparassus smaragdulus is dullish green, whilst the adult male has the abdomen of a fine yellow, with three longitudinal stripes of rich red.	For the following facts, see p p. seventy seven, eighty eight, one hundred two.) In some species, however, the difference is conspicuous: thus the female of Sparassus smaragdulus is dullish green, whilst the adult male has the abdomen of a fine yellow, with three longitudinal stripes of rich red.	false	1455.72	1468.45	21.512844
5684_46240_000031_000002	In certain species of Thomisus the sexes closely resemble each other, in others they differ much; and analogous cases occur in many other genera.	In certain species of Thomisus the sexes closely resemble each other, in others they differ much; and analogous cases occur in many other genera.	false	1468.79	1477.14	22.90253
5684_46240_000031_000003	It is often difficult to say which of the two sexes departs most from the ordinary coloration of the genus to which the species belong; but Mr. Blackwall thinks that, as a general rule, it is the male; and Canestrini (19.	It is often difficult to say which of the two sexes departs most from the ordinary coloration of the genus to which the species belong; but mr Blackwall thinks that, as a general rule, it is the male; and Canestrini (nineteen.	false	1477.14	1488.87	24.232475
5684_46240_000031_000004	This author has recently published a valuable essay on the 'Caratteri sessuali secondarii degli Arachnidi,' in the 'Atti della Soc.	This author has recently published a valuable essay on the 'Caratteri sessuali secondarii degli Arachnidi,' in the 'Atti della s o c.	false	1488.87	1488.87	
5684_46240_000031_000005	Veneto-Trentina di Sc.	Veneto Trentina di s c.	false	1488.87	1488.87	
5684_46240_000031_000006	Nat. Padova,' vol. i.	Nat. Padova,' vol i.	false	1488.87	1488.87	
5684_46240_000031_000007	Fasc. 3, 1873.) remarks that in certain genera the males can be specifically distinguished with ease, but the females with great difficulty.	f a s c. three, eighteen seventy three.) remarks that in certain genera the males can be specifically distinguished with ease, but the females with great difficulty.	false	1488.87	1494.85	21.736193
5684_46240_000031_000008	I am informed by Mr. Blackwall that the sexes whilst young usually resemble each other; and both often undergo great changes in colour during their successive moults, before arriving at maturity.	I am informed by mr Blackwall that the sexes whilst young usually resemble each other; and both often undergo great changes in colour during their successive moults, before arriving at maturity.	true	1495.13	1504.99	21
5684_46240_000031_000009	In other cases the male alone appears to change colour.	In other cases the male alone appears to change colour.	true	1505.75	1508.67	22
5684_46240_000031_000010	Thus the male of the above bright-coloured Sparassus at first resembles the female, and acquires his peculiar tints only when nearly adult.	Thus the male of the above bright coloured Sparassus at first resembles the female, and acquires his peculiar tints only when nearly adult.	false	1508.67	1516.48	21.543983
5684_46240_000031_000011	Spiders are possessed of acute senses, and exhibit much intelligence; as is well known, the females often shew the strongest affection for their eggs, which they carry about enveloped in a silken web.	Spiders are possessed of acute senses, and exhibit much intelligence; as is well known, the females often shew the strongest affection for their eggs, which they carry about enveloped in a silken web.	true	1516.64	1527.07	23.349758
5684_46240_000031_000012	The males search eagerly for the females, and have been seen by Canestrini and others to fight for possession of them. This same author says that the union of the two sexes has been observed in about twenty species; and he asserts positively that the female rejects some of the males who court her, threatens them with open mandibles, and at last after long hesitation accepts the chosen one.	The males search eagerly for the females, and have been seen by Canestrini and others to fight for possession of them. This same author says that the union of the two sexes has been observed in about twenty species; and he asserts positively that the female rejects some of the males who court her, threatens them with open mandibles, and at last after long hesitation accepts the chosen one.	true	1527.14	1548.25	23
5684_46240_000031_000013	From these several considerations, we may admit with some confidence that the well-marked differences in colour between the sexes of certain species are the results of sexual selection; though we have not here the best kind of evidence,-- the display by the male of his ornaments.	From these several considerations, we may admit with some confidence that the well marked differences in colour between the sexes of certain species are the results of sexual selection; though we have not here the best kind of evidence,-- the display by the male of his ornaments.	true	1548.74	1562.68	20.744894
5684_46240_000031_000014	From the extreme variability of colour in the male of some species, for instance of Theridion lineatum, it would appear that these sexual characters of the males have not as yet become well fixed.	From the extreme variability of colour in the male of some species, for instance of Theridion lineatum, it would appear that these sexual characters of the males have not as yet become well fixed.	false	1563.14	1574.13	22.617002
5684_46240_000031_000015	Canestrini draws the same conclusion from the fact that the males of certain species present two forms, differing from each other in the size and length of their jaws; and this reminds us of the above cases of dimorphic crustaceans.	Canestrini draws the same conclusion from the fact that the males of certain species present two forms, differing from each other in the size and length of their jaws; and this reminds us of the above cases of dimorphic crustaceans.	false	1574.13	1586.32	21.926056
5684_46240_000032_000000	The male is generally much smaller than the female, sometimes to an extraordinary degree (20.	The male is generally much smaller than the female, sometimes to an extraordinary degree (twenty.	false	1586.81	1591.53	15
5684_46240_000032_000001	Aug. Vinson ('Araneides des Iles de la Reunion,' pl.	august. Vinson ('Araneides des Iles de la Reunion,' pl	false	1591.53	1592.16	18.1568
5684_46240_000032_000002	vi. figs.	vi. figs.	false	1592.16	1592.16	
5684_46240_000032_000003	1 and 2) gives a good instance of the small size of the male, in Epeira nigra.	one and two) gives a good instance of the small size of the male, in Epeira nigra.	false	1592.16	1595.73	11
5684_46240_000032_000004	In this species, as I may add, the male is testaceous and the female black with legs banded with red.	In this species, as I may add, the male is testaceous and the female black with legs banded with red.	true	1595.73	1601.8	21.41614
5684_46240_000032_000005	Other even more striking cases of inequality in size between the sexes have been recorded ('Quarterly Journal of Science,' July 1868, p. 429); but I have not seen the original accounts.), and he is forced to be extremely cautious in making his advances, as the female often carries her coyness to a dangerous pitch.	Other even more striking cases of inequality in size between the sexes have been recorded ('Quarterly Journal of Science,' july eighteen sixty eight, p. four hundred twenty nine); but I have not seen the original accounts.), and he is forced to be extremely cautious in making his advances, as the female often carries her coyness to a dangerous pitch.	false	1601.99	1615.54	21
5684_46240_000032_000006	De Geer saw a male that "in the midst of his preparatory caresses was seized by the object of his attentions, enveloped by her in a web and then devoured, a sight which, as he adds, filled him with horror and indignation." (21.	De Geer saw a male that "in the midst of his preparatory caresses was seized by the object of his attentions, enveloped by her in a web and then devoured, a sight which, as he adds, filled him with horror and indignation." (twenty one.	false	1616.3	1628.91	20
5684_46240_000032_000007	Kirby and Spence, 'Introduction to Entomology,' vol. i.	Kirby and Spence, 'Introduction to Entomology,' vol i.	false	1628.91	1629.27	1
5684_46240_000032_000008	1818, p. 280.) The Rev.	eighteen eighteen, p. two hundred eighty.) The Rev.	false	1629.27	1630.04	23.298319
5684_46240_000032_000009	O.P. Cambridge (22. 'Proceedings, Zoological Society,' 1871, p. 621.) accounts in the following manner for the extreme smallness of the male in the genus Nephila.	o p Cambridge (twenty two. 'Proceedings, Zoological Society,' eighteen seventy one, p. six hundred twenty one.) accounts in the following manner for the extreme smallness of the male in the genus Nephila.	false	1630.04	1635.57	15
5684_46240_000032_000010	"M.	"M.	false	1635.57	1636.38	-1
5684_46240_000032_000011	Vinson gives a graphic account of the agile way in which the diminutive male escapes from the ferocity of the female, by gliding about and playing hide and seek over her body and along her gigantic limbs: in such a pursuit it is evident that the chances of escape would be in favour of the smallest males, while the larger ones would fall early victims; thus gradually a diminutive race of males would be selected, until at last they would dwindle to the smallest possible size compatible with the exercise of their generative functions,-- in fact, probably to the size we now see them, i.e., so small as to be a sort of parasite upon the female, and either beneath her notice, or too agile and too small for her to catch without great difficulty."	Vinson gives a graphic account of the agile way in which the diminutive male escapes from the ferocity of the female, by gliding about and playing hide and seek over her body and along her gigantic limbs: in such a pursuit it is evident that the chances of escape would be in favour of the smallest males, while the larger ones would fall early victims; thus gradually a diminutive race of males would be selected, until at last they would dwindle to the smallest possible size compatible with the exercise of their generative functions,-- in fact, probably to the size we now see them, i e, so small as to be a sort of parasite upon the female, and either beneath her notice, or too agile and too small for her to catch without great difficulty."	false	1636.38	1790.82	21.031048
