8771_294523_000000_000000	He went to Paris, was loaded with honors, and given post after post in the service of his country.	He went to Paris, was loaded with honors, and given post after post in the service of his country.	false	0	3	25.324392
8771_294523_000043_000001	He became eager to visit the then wild and inaccessible region of Liddesdale, so that he might see the ruins of the famous castle of the Hermitage, and try to pick up some of the ancient "riding ballads" as they were called, songs which were said to be still preserved among the descendants of the old moss-troopers, who had followed the banners of the House of Douglass, when they were lords of that remote castle.	He became eager to visit the then wild and inaccessible region of Liddesdale, so that he might see the ruins of the famous castle of the Hermitage, and try to pick up some of the ancient "riding ballads" as they were called, songs which were said to be still preserved among the descendants of the old moss troopers, who had followed the banners of the House of Douglass, when they were lords of that remote castle.	false	1035.16	1058.53	19
8771_294523_000044_000000	He found a man who knew that rugged country well, and for seven successive years Walter Scott made a "raid," as he called it, into that country, following each stream to its source, and studying every ruined tower or castle from foundation stone to topmost battlement.	He found a man who knew that rugged country well, and for seven successive years Walter Scott made a "raid," as he called it, into that country, following each stream to its source, and studying every ruined tower or castle from foundation stone to topmost battlement.	true	1058.84	1075.3	20
8771_294523_000045_000000	There were no inns in the whole district.	There were no inns in the whole district.	true	1075.73	1078.05	19
8771_294523_000045_000001	The explorers had to stop over night at any chance shepherd's hut or farmer's cottage, but everywhere they met with open welcome, and from each home they gathered songs and stories, and sometimes relics of border wars to take back with them to Edinburgh.	The explorers had to stop over night at any chance shepherd's hut or farmer's cottage, but everywhere they met with open welcome, and from each home they gathered songs and stories, and sometimes relics of border wars to take back with them to Edinburgh.	false	1078.05	1093.3	21
8771_294523_000045_000002	Even then the youth had little notion of what he should do with all the facts he was gathering.	Even then the youth had little notion of what he should do with all the facts he was gathering.	false	1093.67	1099.09	18
8771_294523_000045_000003	The friend he traveled with said later, "Walter was makin' himself a' the time, but he didna ken maybe what he was about till years had passed.	The friend he traveled with said later, "Walter was makin' himself a' the time, but he didna ken maybe what he was about till years had passed.	false	1099.37	1108.24	23.572838
8771_294523_000045_000004	At first he thought o' little, I dare say, but the queerness and the fun."	At first he thought o' little, I dare say, but the queerness and the fun."	false	1108.55	1113.37	20.244406
8771_294523_000046_000000	In course of time Scott was called to the bar as a lawyer, and took his place with the dozens of young men who hung about the Parliament House in Edinburgh waiting for briefs of cases to be argued.	In course of time Scott was called to the bar as a lawyer, and took his place with the dozens of young men who hung about the Parliament House in Edinburgh waiting for briefs of cases to be argued.	true	1114.16	1126.06	20.999714
8771_294523_000046_000001	There were lots of debating clubs in the Scotch capital at that time, and Scott was a member of several.	There were lots of debating clubs in the Scotch capital at that time, and Scott was a member of several.	true	1126.28	1132.06	24.810654
8771_294523_000046_000002	Some time was spent in argument, but more in telling stories and in singing songs.	Some time was spent in argument, but more in telling stories and in singing songs.	true	1132.28	1137.43	18.524244
8771_294523_000047_000000	Here the young lawyer ruled supreme.	Here the young lawyer ruled supreme.	true	1137.62	1140.46	20.49827
8771_294523_000047_000001	No other man could tell such tales as he, and none knew so many and such curious songs.	No other man could tell such tales as he, and none knew so many and such curious songs.	false	1140.5	1146.4	19
8771_294523_000047_000002	The stories were not all his own; frequently he retold old ones that he had heard, dressing them up to suit his taste.	The stories were not all his own; frequently he retold old ones that he had heard, dressing them up to suit his taste.	false	1146.86	1153.72	20.64377
8771_294523_000047_000003	Once a friend complained that he had changed a story told him the day before.	Once a friend complained that he had changed a story told him the day before.	false	1153.85	1158.13	20
8771_294523_000048_000000	"Why," said Scott, with twinkling eyes, "I don't change stories.	"Why," said Scott, with twinkling eyes, "I don't change stories.	true	1158.32	1162.93	21.190235
8771_294523_000048_000001	I only put a cocked hat on their heads, and stick a cane into their hands--to make them fit for going into company."	I only put a cocked hat on their heads, and stick a cane into their hands-to make them fit for going into company."	true	1162.97	1169.05	22
8771_294523_000049_000000	Fifteen years passed and all England was reading eagerly the wonderful historical poems and romances written by a man who called himself the "Wizard of the North."	Fifteen years passed and all England was reading eagerly the wonderful historical poems and romances written by a man who called himself the "Wizard of the North."	true	1169.36	1179.4	20.077093
8771_294523_000050_000000	Scotland had always been a desolate barren country in the eyes of the rest of the world, its history unknown, its people cold and uninviting. Suddenly all that was changed: Scotland sprang into being as a land of romance, filled with poetry, a country full of glorious scenery, a people descended from a line of kings.	Scotland had always been a desolate barren country in the eyes of the rest of the world, its history unknown, its people cold and uninviting. Suddenly all that was changed: Scotland sprang into being as a land of romance, filled with poetry, a country full of glorious scenery, a people descended from a line of kings.	false	1179.4	1199.77	21.224419
8771_294523_000050_000001	Even the narrow streets of Edinburgh and the old Canongate itself became historic ground under the Wizard's spell.	Even the narrow streets of Edinburgh and the old Canongate itself became historic ground under the Wizard's spell.	true	1200.02	1206.43	20
8771_294523_000050_000002	The Wizard was Walter Scott, and now he found the whole world as eager to hear the stories and poems he had to tell about his country as his boy friends had been years before.	The Wizard was Walter Scott, and now he found the whole world as eager to hear the stories and poems he had to tell about his country as his boy friends had been years before.	true	1206.77	1217.38	21
8771_294523_000050_000003	He had not changed much as he grew up.	He had not changed much as he grew up.	true	1217.54	1220.3	22.638811
8771_294523_000050_000004	At the height of his fame Walter Scott was still in spirit the eager boy of the old city, finding romance everywhere about him because he looked for it with the eyes of youth.	At the height of his fame Walter Scott was still in spirit the eager boy of the old city, finding romance everywhere about him because he looked for it with the eyes of youth.	false	1220.3	1240.14	22.135365
