6981_70843_000000_000000	Counter-revolution had begun...	Counter revolution had begun...	false	3.78	22.68	21.184944
6981_70843_000040_000000	"All power to the Soviets!" he cried, pounding on the table. "The _oborontsi_ in the Central Committee are playing Kornilov's game.	"All power to the Soviets!" he cried, pounding on the table. "The underscore oborontsi underscore in the Central Committee are playing Kornilov's game.	false	890.69	897.88	20.066713
6981_70843_000040_000001	They tried to send a mission to the Stavka, but we arrested them at Minsk....	They tried to send a mission to the Stavka, but we arrested them at Minsk....	true	897.92	901.87	22.990597
6981_70843_000040_000002	Our branch has demanded an All-Russian Convention, and they refuse to call it...."	Our branch has demanded an All Russian Convention, and they refuse to call it...."	true	902	905.98	20
6981_70843_000041_000000	The same situation as in the Soviets, the Army Committees.	The same situation as in the Soviets, the Army Committees.	true	906.68	909.97	18
6981_70843_000041_000001	One after another the various democratic organisations, all over Russia, were cracking and changing.	One after another the various democratic organisations, all over Russia, were cracking and changing.	true	911.33	917.74	21.893242
6981_70843_000041_000002	The Cooperatives were torn by internal struggles; the meetings of the Peasants' Executive broke up in stormy wrangling; even among the Cossacks there was trouble....	The Cooperatives were torn by internal struggles; the meetings of the Peasants' Executive broke up in stormy wrangling; even among the Cossacks there was trouble....	false	918.14	927.97	22.161783
6981_70843_000042_000000	On the top floor the Military Revolutionary Committee was in full blast, striking and slacking not.	On the top floor the Military Revolutionary Committee was in full blast, striking and slacking not.	true	928.4	934.36	20
6981_70843_000042_000001	Men went in, fresh and vigorous; night and day and night and day they threw themselves into the terrible machine; and came out limp, blind with fatigue, hoarse and filthy, to fall on the floor and sleep....	Men went in, fresh and vigorous; night and day and night and day they threw themselves into the terrible machine; and came out limp, blind with fatigue, hoarse and filthy, to fall on the floor and sleep....	true	934.7	948.04	21.147446
6981_70843_000042_000002	The Committee for Salvation had been outlawed.	The Committee for Salvation had been outlawed.	true	948.11	950.74	19.405018
6981_70843_000042_000003	Great piles of new proclamations (See App.	Great piles of new proclamations (See App.	false	950.93	954.36	21.243607
6981_70843_000042_000004	VIII, Sect. 2) littered the floor:	eight, Sect. two) littered the floor:	false	954.36	957.3	21.684156
6981_70843_000043_000000	...	dot dot dot	false	957.3	958.155	1
6981_70843_000043_000001	The conspirators, who have no support among the garrison or the working-class, above all counted on the suddenness of their attack. Their plan was discovered in time by Sub-Lieutenant Blagonravov, thanks to the revolutionary vigilance of a soldier of the Red Guard, whose name shall be made public.	The conspirators, who have no support among the garrison or the working class, above all counted on the suddenness of their attack. Their plan was discovered in time by Sub Lieutenant Blagonravov, thanks to the revolutionary vigilance of a soldier of the Red Guard, whose name shall be made public.	false	958.155	973.89	19
6981_70843_000043_000002	At the centre of the plot was the Committee for Salvation.	At the centre of the plot was the Committee for Salvation.	true	973.89	976.75	19.95431
6981_70843_000043_000003	Colonel Polkovnikov was in command of their forces, and the orders were signed by Gotz, former member of the Provisional Government, allowed at liberty on his word of honour....	Colonel Polkovnikov was in command of their forces, and the orders were signed by Gotz, former member of the Provisional Government, allowed at liberty on his word of honour....	true	976.85	986.02	20.743393
6981_70843_000044_000000	Bringing these facts to the attention of the Petrograd population, the Military Revolutionary Committee orders the arrest of all concerned in the conspiracy, who shall be tried before the Revolutionary Tribunal....	Bringing these facts to the attention of the Petrograd population, the Military Revolutionary Committee orders the arrest of all concerned in the conspiracy, who shall be tried before the Revolutionary Tribunal....	false	986.27	997.72	21.761194
6981_70843_000045_000000	From Moscow, word that the _yunkers_ and Cossacks had surrounded the Kremlin and ordered the Soviet troops to lay down their arms.	From Moscow, word that the underscore yunkers underscore and Cossacks had surrounded the Kremlin and ordered the Soviet troops to lay down their arms.	false	998.72	1005.88	22
6981_70843_000045_000001	The Soviet forces complied, and as they were leaving the Kremlin, were set upon and shot down.	The Soviet forces complied, and as they were leaving the Kremlin, were set upon and shot down.	true	1006.7	1012.18	21.99614
6981_70843_000045_000002	Small forces of Bolsheviki had been driven from the Telephone and Telegraph offices; the _yunkers_ now held the centre of the city. ...	Small forces of Bolsheviki had been driven from the Telephone and Telegraph offices; the underscore yunkers underscore now held the centre of the city. ...	false	1012.7	1019.98	20.693176
6981_70843_000045_000003	But all around them the Soviet troops were mustering.	But all around them the Soviet troops were mustering.	true	1020.05	1022.83	15
6981_70843_000045_000004	Street-fighting was slowly gathering way; all attempts at compromise had failed....	Street fighting was slowly gathering way; all attempts at compromise had failed....	true	1023.17	1028.2	21.254866
6981_70843_000045_000005	On the side of the Soviet, ten thousand garrison soldiers and a few Red Guards; on the side of the Government, six thousand _yunkers,_ twenty-five hundred Cossacks and two thousand White Guards.	On the side of the Soviet, ten thousand garrison soldiers and a few Red Guards; on the side of the Government, six thousand underscore yunkers,underscore twenty five hundred Cossacks and two thousand White Guards.	false	1028.39	1040.4	21.206116
6981_70843_000046_000000	The Petrograd Soviet was meeting, and next door the new _Tsay-ee-kah,_ acting on the decrees and orders (See App.	The Petrograd Soviet was meeting, and next door the new underscore Tsay ee kah,underscore acting on the decrees and orders (See App.	false	1040.4	1047.15	22.860176
6981_70843_000046_000001	VIII, Sect. 3) which came down in a steady stream from the Council of People's Commissars in session upstairs; on the Order in Which Laws Are to be Ratified and Published, Establishing an Eight hour Days for Workers, and Lunatcharsky's "Basis for a System of Popular Education." Only a few hundred people were present at the two meetings, most of them armed.	eight, Sect. three) which came down in a steady stream from the Council of People's Commissars in session upstairs; on the Order in Which Laws Are to be Ratified and Published, Establishing an Eight hour Days for Workers, and Lunatcharsky's "Basis for a System of Popular Education." Only a few hundred people were present at the two meetings, most of them armed.	false	1047.15	1069.75	22.644644
6981_70843_000046_000002	Smolny was almost deserted, except for the guards, who were busy at the hall windows, setting up machine-guns to command the flanks of the building.	Smolny was almost deserted, except for the guards, who were busy at the hall windows, setting up machine guns to command the flanks of the building.	true	1069.97	1077.37	20
6981_70843_000047_000000	In the _Tsay-ee-kah_ a delegate of the _Vikzhel_ was speaking: "We refuse to transport the troops of either party....	In the underscore Tsay ee kah underscore a delegate of the underscore Vikzhel underscore was speaking: "We refuse to transport the troops of either party....	false	1078.52	1085.5	22.612333
6981_70843_000047_000001	We have sent a committee to Kerensky to say that if he continues to march on Petrograd we will break his lines of communication...."	We have sent a committee to Kerensky to say that if he continues to march on Petrograd we will break his lines of communication...."	true	1085.57	1092.82	20
6981_70843_000048_000000	He made the usual plea for a conference of all the Socialist parties to form a new Government....	He made the usual plea for a conference of all the Socialist parties to form a new Government....	true	1093.07	1097.68	17
6981_70843_000049_000000	Kameniev answered discreetly.	Kameniev answered discreetly.	true	1098.2	1100.2	26.36935
6981_70843_000049_000001	The Bolsheviki would be very glad to attend the conference.	The Bolsheviki would be very glad to attend the conference.	false	1100.48	1103.38	20
6981_70843_000049_000002	The centre of gravity, however, lay not in composition of such a Government, but in its acceptance of the programme of the Congress of Soviets.	The centre of gravity, however, lay not in composition of such a Government, but in its acceptance of the programme of the Congress of Soviets.	true	1103.66	1110.93	20
6981_70843_000050_000000	...	dot dot dot	false	1110.93	1111.66	10
6981_70843_000050_000001	The _Tsay-ee-kah_ had deliberated on the declaration made by the Left Socialist Revolutionaries and the Social Democrats Internationalists, and had accepted the proposition of proportional representation at the conference, even including delegates from the Army Committees and the Peasants' Soviets....	The underscore Tsay ee kah underscore had deliberated on the declaration made by the Left Socialist Revolutionaries and the Social Democrats Internationalists, and had accepted the proposition of proportional representation at the conference, even including delegates from the Army Committees and the Peasants' Soviets....	false	1111.66	1127.89	20
6981_70843_000051_000000	In the great hall, Trotzky recounted the events of the day.	In the great hall, Trotzky recounted the events of the day.	true	1128.38	1131.76	16
6981_70843_000052_000000	"We offered the Vladimir _yunkers_ a chance to surrender," he said. "We wanted to settle matters without bloodshed.	"We offered the Vladimir underscore yunkers underscore a chance to surrender," he said. "We wanted to settle matters without bloodshed.	false	1132.91	1139.16	21.705353
6981_70843_000052_000001	But now that blood has been spilled there is only one way--pitiless struggle.	But now that blood has been spilled there is only one way-pitiless struggle.	true	1139.16	1143.35	21
6981_70843_000052_000002	It would be childish to think we can win by any other means....	It would be childish to think we can win by any other means....	false	1143.35	1146.31	18
6981_70843_000052_000003	The moment is decisive.	The moment is decisive.	true	1146.35	1148.1	23.74486
6981_70843_000052_000004	Everybody must cooperate with the Military Revolutionary Committee, report where there are stores of barbed wire, benzine, guns....	Everybody must cooperate with the Military Revolutionary Committee, report where there are stores of barbed wire, benzine, guns....	true	1148.1	1155.31	20
6981_70843_000052_000005	We've won the power; now we must keep it!"	We've won the power; now we must keep it!"	true	1155.35	1157.74	24.629631
6981_70843_000053_000000	The Menshevik Yoffe tried to read his party's declaration, but Trotzky refused to allow "a debate about principle."	The Menshevik Yoffe tried to read his party's declaration, but Trotzky refused to allow "a debate about principle."	true	1158.47	1165.57	22.285095
6981_70843_000054_000000	"Our debates are now in the streets," he cried.	"Our debates are now in the streets," he cried.	true	1166.12	1168.45	22.037079
6981_70843_000054_000001	"The decisive step has been taken.	"The decisive step has been taken.	true	1168.76	1170.8	24.090828
6981_70843_000054_000002	We all, and I in particular, take the responsibility for what is happening...."	We all, and I in particular, take the responsibility for what is happening...."	true	1170.8	1174.78	18
6981_70843_000055_000000	Soldiers from the front, from Gatchina, told their stories.	Soldiers from the front, from Gatchina, told their stories.	false	1175.63	1177.99	22.607616
6981_70843_000055_000001	One from the Death Battalion, Four Hundred Eighty-first Artillery: "When the trenches hear of this, they will cry, 'This is _our_ Government!'" A _yunker_ from Peterhof said that he and two others had refused to march against the Soviets; and when his comrades had returned from the defence of the Winter Palace they appointed him their Commissar, to go to Smolny and offer their services to the _real_ Revolution....	One from the Death Battalion, Four Hundred Eighty first Artillery: "When the trenches hear of this, they will cry, 'This is underscore our underscore Government!'" A underscore yunker underscore from Peterhof said that he and two others had refused to march against the Soviets; and when his comrades had returned from the defence of the Winter Palace they appointed him their Commissar, to go to Smolny and offer their services to the underscore real underscore Revolution....	false	1178.42	1200.25	21.494747
6981_70843_000056_000000	Then Trotzky again, fiery, indefatigable, giving orders, answering questions.	Then Trotzky again, fiery, indefatigable, giving orders, answering questions.	true	1200.62	1205.92	21.48376
6981_70843_000057_000000	"The petty bourgeoisie, in order to defeat the workers, soldiers and peasants, would combine with the devil himself!" he said once.	"The petty bourgeoisie, in order to defeat the workers, soldiers and peasants, would combine with the devil himself!" he said once.	true	1206.35	1213.57	20
6981_70843_000057_000001	Many cases of drunkenness had been remarked the last two days.	Many cases of drunkenness had been remarked the last two days.	true	1214.6	1217.74	21
6981_70843_000057_000002	"No drinking, comrades!	"No drinking, comrades!	true	1218.5	1220.05	21.581661
6981_70843_000057_000003	No one must be on the streets after eight in the evening, except the regular guards.	No one must be on the streets after eight in the evening, except the regular guards.	true	1220.21	1224.19	22.798801
6981_70843_000057_000004	All places suspected of having stores of liquor should be searched, and the liquor destroyed. (See App.	All places suspected of having stores of liquor should be searched, and the liquor destroyed. (See App.	false	1224.2	1230.09	23.990969
6981_70843_000057_000005	VIII, Sect. 4) No mercy to the sellers of liquor...."	eight, Sect. four) No mercy to the sellers of liquor...."	false	1230.09	1233.88	22.7772
6981_70843_000058_000000	The Military Revolutionary Committee sent for the delegation from the Viborg section; then for the members from Putilov.	The Military Revolutionary Committee sent for the delegation from the Viborg section; then for the members from Putilov.	false	1234.76	1242.12	20.54534
6981_70843_000058_000001	They clumped out hurriedly.	They clumped out hurriedly.	false	1242.12	1243.6	23.305454
6981_70843_000059_000000	"For each revolutionist killed," said Trotzky, "we shall kill five counter-revolutionists!"	"For each revolutionist killed," said Trotzky, "we shall kill five counter revolutionists!"	true	1244.33	1249.54	24.062368
6981_70843_000060_000000	Down-town again.	Down town again.	true	1250.12	1251.43	18.542686
6981_70843_000060_000001	The Duma brilliantly illuminated and great crowds pouring in.	The Duma brilliantly illuminated and great crowds pouring in.	true	1251.68	1255.75	21.212845
6981_70843_000060_000002	In the lower hall wailing and cries of grief; the throng surged back and forth before the bulletin board, where was posted a list of _yunkers_ killed in the day's fighting--or supposed to be killed, for most of the dead afterward turned up safe and sound....	In the lower hall wailing and cries of grief; the throng surged back and forth before the bulletin board, where was posted a list of underscore yunkers underscore killed in the day's fighting-or supposed to be killed, for most of the dead afterward turned up safe and sound....	false	1256.12	1270.9	21.652893
6981_70843_000060_000003	Up in the Alexander Hall the Committee for Salvation held forth.	Up in the Alexander Hall the Committee for Salvation held forth.	true	1271.78	1275.34	19.299795
6981_70843_000060_000004	The gold and red epaulettes of officers were conspicuous, the familiar faces of the Menshevik and Socialist Revolutionary intellectuals, the hard eyes and bulky magnificence of bankers and diplomats, officials of the old regime, and well-dressed women....	The gold and red epaulettes of officers were conspicuous, the familiar faces of the Menshevik and Socialist Revolutionary intellectuals, the hard eyes and bulky magnificence of bankers and diplomats, officials of the old regime, and well dressed women....	true	1275.8	1292.44	20.586723
6981_70843_000061_000000	The telephone girls were testifying.	The telephone girls were testifying.	true	1293.62	1295.6	23
6981_70843_000061_000001	Girl after girl came to the tribune--over-dressed, fashion-aping little girls, with pinched faces and leaky shoes.	Girl after girl came to the tribune-over dressed, fashion aping little girls, with pinched faces and leaky shoes.	true	1295.6	1302.94	22.616226
6981_70843_000061_000002	Girl after girl, flushing with pleasure at the applause of the "nice" people of Petrograd, of the officers, the rich, the great names of politics--girl after girl, to narrate her sufferings at the hands of the proletariat, and proclaim her loyalty to all that was old, established and powerful....	Girl after girl, flushing with pleasure at the applause of the "nice" people of Petrograd, of the officers, the rich, the great names of politics-girl after girl, to narrate her sufferings at the hands of the proletariat, and proclaim her loyalty to all that was old, established and powerful....	false	1303.28	1321.75	22.601473
6981_70843_000062_000000	The Duma was again in session in the Nicolai Hall.	The Duma was again in session in the Nicolai Hall.	true	1323.29	1326.04	18
6981_70843_000062_000001	The Mayor said hopefully that the Petrograd regiments were ashamed of their actions; propaganda was making headway.	The Mayor said hopefully that the Petrograd regiments were ashamed of their actions; propaganda was making headway.	true	1326.47	1332.43	20.751875
6981_70843_000063_000000	[Graphic, page 205: Proclamation for "wine pogroms"]	[Graphic, page two hundred five: Proclamation for "wine pogroms"]	false	1333.25	1336.48	22.699598
6981_70843_000064_000000	Revolutionary law and order.	Revolutionary law and order.	true	1336.64	1338.64	23.05609
6981_70843_000064_000001	A proclamation of the Finland Regiment, in December, 1917, announcing desperate remedies for "wine pogroms." For translation see Appendix 5.	A proclamation of the Finland Regiment, in December, nineteen seventeen, announcing desperate remedies for "wine pogroms." For translation see Appendix five.	true	1338.98	1348.84	21.203379
6981_70843_000065_000000	... Emissaries came and went, reporting horrible deeds by the Bolsheviki, interceding to save the _yunkers,_ busily investigating....	... Emissaries came and went, reporting horrible deeds by the Bolsheviki, interceding to save the underscore yunkers,underscore busily investigating....	false	1349.57	1357.21	21.811216
6981_70843_000066_000000	"The Bolsheviki," said Trupp, "will be conquered by moral force, and not by bayonets....."	"The Bolsheviki," said Trupp, "will be conquered by moral force, and not by bayonets....."	true	1357.61	1363.03	23.05
6981_70843_000067_000000	Meanwhile all was not well on the revolutionary front.	Meanwhile all was not well on the revolutionary front.	true	1363.94	1367.26	23
6981_70843_000067_000001	The enemy had brought up armoured trains, mounted with cannon.	The enemy had brought up armoured trains, mounted with cannon.	true	1367.84	1370.83	19
6981_70843_000067_000002	The Soviet forces, mostly raw Red Guards, were without officers and without a definite plan.	The Soviet forces, mostly raw Red Guards, were without officers and without a definite plan.	true	1371.44	1376.74	19
6981_70843_000067_000003	Only five thousand regular soldiers had joined them; the rest of the garrison was either busy suppressing the _yunker_ revolt, guarding the city, or undecided what to do.	Only five thousand regular soldiers had joined them; the rest of the garrison was either busy suppressing the underscore yunker underscore revolt, guarding the city, or undecided what to do.	false	1377.32	1386.48	19.288586
6981_70843_000067_000004	At ten in the evening Lenin addressed a meeting of delegates from the city regiments, who voted overwhelmingly to fight.	At ten in the evening Lenin addressed a meeting of delegates from the city regiments, who voted overwhelmingly to fight.	false	1386.48	1393.57	21.63008
6981_70843_000067_000005	A Committee of five soldiers was elected to serve as General Staff, and in the small hours of the morning the regiments left their barracks in full battle array.... Going home I saw them pass, swinging along with the regular tread of veterans, bayonets in perfect alignment, through the deserted streets of the conquered city....	A Committee of five soldiers was elected to serve as General Staff, and in the small hours of the morning the regiments left their barracks in full battle array.... Going home I saw them pass, swinging along with the regular tread of veterans, bayonets in perfect alignment, through the deserted streets of the conquered city....	true	1394.18	1412.77	20.49964
6981_70843_000068_000000	At the same time, in the headquarters of the _Vikzhel_ down on the Sadovaya, the conference of all the Socialist parties to form a new Government was under way.	At the same time, in the headquarters of the underscore Vikzhel underscore down on the Sadovaya, the conference of all the Socialist parties to form a new Government was under way.	false	1413.86	1422.01	21.19078
6981_70843_000068_000001	Abramovitch, for the centre Mensheviki, said that there should be neither conquerors nor conquered--that bygones should be bygones. ...In this were agreed all the left wing parties.	Abramovitch, for the centre Mensheviki, said that there should be neither conquerors nor conquered-that bygones should be bygones. ...In this were agreed all the left wing parties.	true	1422.47	1432.3	21.724163
6981_70843_000068_000002	Dan, speaking in the name of the right Mensheviki, proposed to the Bolsheviki the following conditions for a truce: The Red Guard to be disarmed, and the Petrograd garrison to be placed at the orders of the Duma; the troops of Kerensky not to fire a single shot or arrest a single man; a Ministry of all the Socialist parties _except the Bolsheviki._ For Smolny Riazanov and Kameniev declared that a coalition ministry of all parties was acceptable, but protested at Dan's proposals.	Dan, speaking in the name of the right Mensheviki, proposed to the Bolsheviki the following conditions for a truce: The Red Guard to be disarmed, and the Petrograd garrison to be placed at the orders of the Duma; the troops of Kerensky not to fire a single shot or arrest a single man; a Ministry of all the Socialist parties underscore except the Bolsheviki.underscore For Smolny Riazanov and Kameniev declared that a coalition ministry of all parties was acceptable, but protested at Dan's proposals.	false	1432.49	1461.94	21.142836
6981_70843_000068_000003	The Socialist Revolutionaries were divided; but the Executive Committee of the Peasants's Soviets and the Populist Socialists flatly refused to admit the Bolsheviki.... After bitter quarrelling a commission was elected to draw up a workable plan....	The Socialist Revolutionaries were divided; but the Executive Committee of the Peasants's Soviets and the Populist Socialists flatly refused to admit the Bolsheviki.... After bitter quarrelling a commission was elected to draw up a workable plan....	false	1462.61	1475.35	21.244667
6981_70843_000069_000000	All that night the commission wrangled, and all the next day, and the next night.	All that night the commission wrangled, and all the next day, and the next night.	true	1475.78	1480.66	22.052368
6981_70843_000069_000001	Once before, on the 9th of November, there had been a similar effort at conciliation, led by Martov and Gorky; but at the approach of Kerensky and the activity of the Committee for Salvation, the right wing of the Mensheviki, Socialist Revolutionaries and Populist Socialists suddenly withdrew.	Once before, on the ninth of November, there had been a similar effort at conciliation, led by Martov and Gorky; but at the approach of Kerensky and the activity of the Committee for Salvation, the right wing of the Mensheviki, Socialist Revolutionaries and Populist Socialists suddenly withdrew.	false	1481.18	1498.18	21.253216
6981_70843_000069_000002	Now they were awed by the crushing of the _yunker_ rebellion...	Now they were awed by the crushing of the underscore yunker underscore rebellion...	false	1498.64	1501.93	17
6981_70843_000070_000000	Monday the 12th was a day of suspense.	Monday the twelfth was a day of suspense.	true	1502.63	1504.9	19
6981_70843_000070_000001	The eyes of all Russia were fixed on the grey plain beyond the gates of Petrograd, where all the available strength of the old order faced the unorganised power of the new, the unknown.	The eyes of all Russia were fixed on the grey plain beyond the gates of Petrograd, where all the available strength of the old order faced the unorganised power of the new, the unknown.	false	1505.18	1515.52	17
6981_70843_000070_000002	In Moscow a truce had been declared; both sides parleyed, awaiting the result in the capital.	In Moscow a truce had been declared; both sides parleyed, awaiting the result in the capital.	true	1516.28	1521.79	24
6981_70843_000070_000003	Now the delegates to the Congress of Soviets, hurrying on speeding trains to the farthest reaches of Asia, were coming to their homes, carrying the fiery cross.	Now the delegates to the Congress of Soviets, hurrying on speeding trains to the farthest reaches of Asia, were coming to their homes, carrying the fiery cross.	false	1522.28	1530.88	21.525402
6981_70843_000070_000004	In wide-spreading ripples news of the miracle spread over the face of the land, and in its wake towns, cities and far villages stirred and broke, Soviets and Military Revolutionary Committees against Dumas, Zemstvos and Government Commissars--Red Guards against White--street fighting and passionate speech....	In wide spreading ripples news of the miracle spread over the face of the land, and in its wake towns, cities and far villages stirred and broke, Soviets and Military Revolutionary Committees against Dumas, Zemstvos and Government Commissars-Red Guards against White-street fighting and passionate speech....	false	1531.55	1551.01	21.851639
6981_70843_000070_000005	The result waited on the word from Petrograd....	The result waited on the word from Petrograd....	true	1551.59	1554.13	23
6981_70843_000071_000000	Smolny was almost empty, but the Duma was thronged and noisy.	Smolny was almost empty, but the Duma was thronged and noisy.	true	1554.5	1558.42	20.59128
6981_70843_000071_000001	The old Mayor, in his dignified way, was protesting against the Appeal of the Bolshevik Councillors.	The old Mayor, in his dignified way, was protesting against the Appeal of the Bolshevik Councillors.	false	1558.94	1563.85	14
6981_70843_000072_000000	"The Duma is not a centre of counter-revolution," he said, warmly. "The Duma takes no part in the present struggle between the parties. But at a time when there is no legal power in the land, the only centre of order is the Municipal Self-Government.	"The Duma is not a centre of counter revolution," he said, warmly. "The Duma takes no part in the present struggle between the parties. But at a time when there is no legal power in the land, the only centre of order is the Municipal Self Government.	false	1564.34	1578.07	21.689898
6981_70843_000072_000001	The peaceful population recognises this fact; the foreign Embassies recognise only such documents as are signed by the Mayor of the town.	The peaceful population recognises this fact; the foreign Embassies recognise only such documents as are signed by the Mayor of the town.	true	1578.08	1585.96	20.637634
6981_70843_000072_000002	The mind of a European does not admit of any other situation, as the Municipal self-government is the only organ which is capable of protecting the interests of the citizens.	The mind of a European does not admit of any other situation, as the Municipal self government is the only organ which is capable of protecting the interests of the citizens.	true	1585.96	1595.23	16
6981_70843_000072_000003	The City is bound to show hospitality, to all organisations which desire to profit by such hospitality, and therefore the Duma cannot prevent the distribution of any newspapers whatever within the Duma building.	The City is bound to show hospitality, to all organisations which desire to profit by such hospitality, and therefore the Duma cannot prevent the distribution of any newspapers whatever within the Duma building.	false	1595.6	1607.38	17
6981_70843_000072_000004	The sphere of our work is increasing, and we must be given full liberty of action, and our rights must be respected by both parties....	The sphere of our work is increasing, and we must be given full liberty of action, and our rights must be respected by both parties....	true	1607.87	1614.43	17
6981_70843_000073_000000	"We are perfectly neutral.	"We are perfectly neutral.	true	1614.47	1616.02	22.879063
6981_70843_000073_000001	When the Telephone Exchange was occupied by the _yunkers_ Colonel Polkovnikov ordered the telephones to Smolny disconnected, but I protested, and the telephones were kept going...."	When the Telephone Exchange was occupied by the underscore yunkers underscore Colonel Polkovnikov ordered the telephones to Smolny disconnected, but I protested, and the telephones were kept going...."	false	1616.27	1626.13	22.120123
6981_70843_000074_000000	At this there was ironic laughter from the Bolshevik benches, and imprecations from the right.	At this there was ironic laughter from the Bolshevik benches, and imprecations from the right.	true	1627.37	1632.34	23
6981_70843_000075_000000	"And yet," went on Schreider, "they look upon us as counter-revolutionaries and report us to the population.	"And yet," went on Schreider, "they look upon us as counter revolutionaries and report us to the population.	false	1632.98	1639.69	21.544802
6981_70843_000075_000001	They deprive us of our means of transport by taking away our last motor-cars.	They deprive us of our means of transport by taking away our last motor cars.	true	1639.88	1644	13
6981_70843_000075_000002	It will not be our fault if there is famine in the town. Protests are of no use...."	It will not be our fault if there is famine in the town. Protests are of no use...."	false	1644	1649.34	21.773167
6981_70843_000076_000000	Kobozev, Bolshevik member of the Town Board, was doubtful whether the Military Revolutionary Committee had requisitioned the Municipal automobiles.	Kobozev, Bolshevik member of the Town Board, was doubtful whether the Military Revolutionary Committee had requisitioned the Municipal automobiles.	false	1649.34	1657.3	18
6981_70843_000076_000001	Even granting the fact, it was probably done by some unauthorised individual, in the emergency.	Even granting the fact, it was probably done by some unauthorised individual, in the emergency.	true	1657.4	1663.06	15
6981_70843_000077_000000	"The Mayor," he continued, "tells us that we must not make political meetings out of the Duma.	"The Mayor," he continued, "tells us that we must not make political meetings out of the Duma.	true	1664	1669.51	21.43626
6981_70843_000077_000001	But every Menshevik and Socialist Revolutionary here talks nothing but party propaganda, and at the door they distribute their illegal newspapers, _Iskri_ (Sparks), _Soldatski Golos_ and _Rabotchaya Gazeta,_ inciting to insurrection. What if we Bolsheviki should also begin to distribute our papers here?	But every Menshevik and Socialist Revolutionary here talks nothing but party propaganda, and at the door they distribute their illegal newspapers, underscore Iskri underscore (Sparks), underscore Soldatski Golos underscore and underscore Rabotchaya Gazeta,underscore inciting to insurrection. What if we Bolsheviki should also begin to distribute our papers here?	false	1669.61	1688.5	21.412992
6981_70843_000077_000002	But this shall not be, for we respect the Duma.	But this shall not be, for we respect the Duma.	true	1688.69	1691.32	22.158138
6981_70843_000077_000003	We have not attacked the Municipal Self-Government, and we shall not do so.	We have not attacked the Municipal Self Government, and we shall not do so.	true	1691.48	1695.3	18
6981_70843_000077_000004	But you have addressed an Appeal to the population, and we are entitled also to do so...."	But you have addressed an Appeal to the population, and we are entitled also to do so...."	false	1695.3	1700.77	20.21155
6981_70843_000078_000000	Followed him Shingariov, Cadet, who said that there could be no common language with those who were liable to be brought before the Attorney General for indictment, and who must be tried on the charge of treason....	Followed him Shingariov, Cadet, who said that there could be no common language with those who were liable to be brought before the Attorney General for indictment, and who must be tried on the charge of treason....	true	1701.32	1712.86	20.356913
6981_70843_000078_000001	He proposed again that all Bolshevik members should be expelled from the Duma.	He proposed again that all Bolshevik members should be expelled from the Duma.	true	1713.17	1717.23	21.077442
6981_70843_000078_000002	This was tabled, however, for there were no personal charges against the members, and they were active in the Municipal administration.	This was tabled, however, for there were no personal charges against the members, and they were active in the Municipal administration.	true	1717.23	1723.9	21.458025
6981_70843_000079_000000	Then two Mensheviki Internationalists, declaring that the Appeal of the Bolshevik Councillors was a direct incitement to massacre.	Then two Mensheviki Internationalists, declaring that the Appeal of the Bolshevik Councillors was a direct incitement to massacre.	true	1724.24	1731.94	21.311222
6981_70843_000079_000001	"If everything that is against the Bolsheviki is counter-revolutionary," said Pinkevitch, "then I do not know the difference between revolution and anarchy....	"If everything that is against the Bolsheviki is counter revolutionary," said Pinkevitch, "then I do not know the difference between revolution and anarchy....	true	1732.37	1740.97	20.701513
6981_70843_000079_000002	The Bolsheviki are depending upon the passions of the unbridled masses; we have nothing but moral force. We will protest against massacres and violence from both sides, as our task is to find a peaceful issue."	The Bolsheviki are depending upon the passions of the unbridled masses; we have nothing but moral force. We will protest against massacres and violence from both sides, as our task is to find a peaceful issue."	true	1741.34	1753.09	20.050545
6981_70843_000080_000000	"The notice posted in the streets under the heading 'To the Pillory,' which calls upon the people to destroy the Mensheviki and Socialist Revolutionaries," said Nazariev, "is a crime which you, Bolsheviki, will not be able to wash away.	"The notice posted in the streets under the heading 'To the Pillory,' which calls upon the people to destroy the Mensheviki and Socialist Revolutionaries," said Nazariev, "is a crime which you, Bolsheviki, will not be able to wash away.	true	1753.88	1766.74	20.464525
6981_70843_000080_000001	Yesterday's horrors are but a preface to what you are preparing by such a proclamation....	Yesterday's horrors are but a preface to what you are preparing by such a proclamation....	false	1766.75	1770.91	19
6981_70843_000080_000002	I have always tried to reconcile you with the other parties, but at present I feel for you nothing but contempt!"	I have always tried to reconcile you with the other parties, but at present I feel for you nothing but contempt!"	true	1770.98	1777.21	21.278748
6981_70843_000081_000000	The Bolshevik Councillors were on their feet, shouting angrily, assailed by hoarse, hateful voices and waving arms....	The Bolshevik Councillors were on their feet, shouting angrily, assailed by hoarse, hateful voices and waving arms....	true	1778.03	1784.65	19.716425
6981_70843_000082_000000	Outside the hall I ran into the City Engineer, the Menshevik Gomberg and three or four reporters.	Outside the hall I ran into the City Engineer, the Menshevik Gomberg and three or four reporters.	true	1785.11	1790.25	17
6981_70843_000082_000001	They were all in high spirits.	They were all in high spirits.	false	1790.25	1792.12	23.122911
6981_70843_000083_000000	"See!" they said.	"See!" they said.	true	1792.85	1794.25	23.052267
6981_70843_000083_000001	"The cowards are afraid of us.	"The cowards are afraid of us.	true	1794.59	1796.38	18.286749
