1222_133834_000000_000000	CHAPTER VI THE STARLIGHT	CHAPTER six THE STARLIGHT	false	25.14	29.65	21.52492
1222_133834_000046_000000	‘I ha’ fell into th’ pit, my dear, as have cost wi’in the knowledge o’ old fok now livin, hundreds and hundreds o’ men’s lives—fathers, sons, brothers, dear to thousands an’ thousands, an’ keeping ’em fro’ want and hunger.	'I ha' fell into t h' pit, my dear, as have cost wi'in the knowledge o' old f o k now livin, hundreds and hundreds o' men's lives—fathers, sons, brothers, dear to thousands an' thousands, an' keeping 'em fro' want and hunger.	false	928.22	944.8	19.46975
1222_133834_000046_000001	I ha’ fell into a pit that ha’ been wi’ th’ Firedamp crueller than battle.	I ha' fell into a pit that ha' been wi' t h' Firedamp crueller than battle.	false	945.08	949.5	23
1222_133834_000046_000002	I ha’ read on ’t in the public petition, as onny one may read, fro’ the men that works in pits, in which they ha’ pray’n and pray’n the lawmakers for Christ’s sake not to let their work be murder to ’em, but to spare ’em for th’ wives and children that they loves as well as gentlefok loves theirs.	I ha' read on 't in the public petition, as onny one may read, fro' the men that works in pits, in which they ha' pray'n and pray'n the lawmakers for Christ's sake not to let their work be murder to 'em, but to spare 'em for t h' wives and children that they loves as well as gentlefok loves theirs.	false	949.5	968.355	20.681372
1222_133834_000046_000003	When it were in work, it killed wi’out need; when ’tis let alone, it kills wi’out need.	When it were in work, it killed wi'out need; when 'tis let alone, it kills wi'out need.	false	968.355	975.34	18.742935
1222_133834_000046_000004	See how we die an’ no need, one way an’ another—in a muddle—every day!’	See how we die an' no need, one way an' another—in a muddle—every day!'	false	975.56	980.83	19.084524
1222_133834_000047_000000	He faintly said it, without any anger against any one.	He faintly said it, without any anger against any one.	true	981.86	985.29	18.831274
1222_133834_000047_000001	Merely as the truth.	Merely as the truth.	true	985.29	986.7	17.719185
1222_133834_000048_000000	‘Thy little sister, Rachael, thou hast not forgot her.	'Thy little sister, Rachael, thou hast not forgot her.	false	986.7	991.56	18.677645
1222_133834_000048_000001	Thou’rt not like to forget her now, and me so nigh her.	Thou'rt not like to forget her now, and me so nigh her.	false	991.56	994.78	18
1222_133834_000048_000002	Thou know’st—poor, patient, suff’rin, dear—how thou didst work for her, seet’n all day long in her little chair at thy winder, and how she died, young and misshapen, awlung o’ sickly air as had’n no need to be, an’ awlung o’ working people’s miserable homes.	Thou know'st—poor, patient, suff'rin, dear—how thou didst work for her, seet'n all day long in her little chair at thy winder, and how she died, young and misshapen, awlung o' sickly air as had'n no need to be, an' awlung o' working people's miserable homes.	false	995.27	1014.43	19.31466
1222_133834_000048_000003	A muddle!	A muddle!	true	1014.65	1015.44	21.314484
1222_133834_000048_000004	Aw a muddle!’	Aw a muddle!'	false	1015.44	1017.16	17.217663
1222_133834_000049_000000	Louisa approached him; but he could not see her, lying with his face turned up to the night sky.	Louisa approached him; but he could not see her, lying with his face turned up to the night sky.	true	1017.89	1022.44	18
1222_133834_000050_000000	‘If aw th’ things that tooches us, my dear, was not so muddled, I should’n ha’ had’n need to coom heer.	'If aw t h' things that tooches us, my dear, was not so muddled, I should'n ha' had'n need to coom heer.	false	1023.26	1031.23	19.459278
1222_133834_000050_000001	If we was not in a muddle among ourseln, I should’n ha’ been, by my own fellow weavers and workin’ brothers, so mistook.	If we was not in a muddle among ourseln, I should'n ha' been, by my own fellow weavers and workin' brothers, so mistook.	false	1031.75	1039.39	16.572397
1222_133834_000050_000002	If Mr. Bounderby had ever know’d me right—if he’d ever know’d me at aw—he would’n ha’ took’n offence wi’ me.	If mr Bounderby had ever know'd me right—if he'd ever know'd me at aw—he would'n ha' took'n offence wi' me.	false	1039.88	1046.71	18.727629
1222_133834_000050_000003	He would’n ha’ suspect’n me.	He would'n ha' suspect'n me.	true	1047.02	1048.9	22.73792
1222_133834_000050_000004	But look up yonder, Rachael!	But look up yonder, Rachael!	true	1049.99	1051.75	22.638197
1222_133834_000050_000005	Look aboove!’	Look aboove!'	true	1051.79	1052.89	21.281096
1222_133834_000051_000000	Following his eyes, she saw that he was gazing at a star.	Following his eyes, she saw that he was gazing at a star.	true	1053.5	1056.87	18
1222_133834_000052_000000	[Picture: Stephen Blackpool recovered from the Old Hell Shaft]	[Picture: Stephen Blackpool recovered from the Old Hell Shaft]	false	1056.87	1058.19	-20
1222_133834_000053_000000	‘It ha’ shined upon me,’ he said reverently, ‘in my pain and trouble down below.	'It ha' shined upon me,' he said reverently, 'in my pain and trouble down below.	true	1058.19	1063.82	20.324362
1222_133834_000053_000001	It ha’ shined into my mind.	It ha' shined into my mind.	true	1063.82	1066.09	14
1222_133834_000053_000002	I ha’ look’n at ’t and thowt o’ thee, Rachael, till the muddle in my mind have cleared awa, above a bit, I hope.	I ha' look'n at 't and thowt o' thee, Rachael, till the muddle in my mind have cleared awa, above a bit, I hope.	false	1066.46	1074.31	20.404053
1222_133834_000053_000003	If soom ha’ been wantin’ in unnerstan’in me better, I, too, ha’ been wantin’ in unnerstan’in them better.	If soom ha' been wantin' in unnerstan'in me better, I, too, ha' been wantin' in unnerstan'in them better.	false	1074.5	1081.27	18
1222_133834_000053_000004	When I got thy letter, I easily believen that what the yoong ledy sen and done to me, and what her brother sen and done to me, was one, and that there were a wicked plot betwixt ’em.	When I got thy letter, I easily believen that what the yoong ledy sen and done to me, and what her brother sen and done to me, was one, and that there were a wicked plot betwixt 'em.	false	1081.91	1093.74	20.08475
1222_133834_000053_000005	When I fell, I were in anger wi’ her, an’ hurryin on t’ be as onjust t’ her as oothers was t’ me.	When I fell, I were in anger wi' her, an' hurryin on t' be as onjust t' her as oothers was t' me.	false	1093.74	1101.1	19.47206
1222_133834_000053_000006	But in our judgments, like as in our doins, we mun bear and forbear.	But in our judgments, like as in our doins, we mun bear and forbear.	true	1101.74	1106.89	21.667803
1222_133834_000053_000007	In my pain an’ trouble, lookin up yonder,—wi’ it shinin on me—I ha’ seen more clear, and ha’ made it my dyin prayer that aw th’ world may on’y coom toogether more, an’ get a better unnerstan’in o’ one another, than when I were in ’t my own weak seln.’	In my pain an' trouble, lookin up yonder,—wi' it shinin on me—I ha' seen more clear, and ha' made it my dyin prayer that aw t h' world may on'y coom toogether more, an' get a better unnerstan'in o' one another, than when I were in 't my own weak s e l n.'	false	1107.53	1128.38	19.528923
1222_133834_000054_000000	Louisa hearing what he said, bent over him on the opposite side to Rachael, so that he could see her.	Louisa hearing what he said, bent over him on the opposite side to Rachael, so that he could see her.	true	1128.38	1133.44	17
1222_133834_000055_000000	‘You ha’ heard?’ he said, after a few moments’ silence.	'You ha' heard?' he said, after a few moments' silence.	false	1134.59	1137.49	24.525187
1222_133834_000055_000001	‘I ha’ not forgot you, ledy.’	'I ha' not forgot you, ledy.'	false	1138.1	1139.83	22.959297
1222_133834_000056_000000	‘Yes, Stephen, I have heard you.	'Yes, Stephen, I have heard you.	true	1140.5	1142.59	18.948551
1222_133834_000056_000001	And your prayer is mine.’	And your prayer is mine.'	true	1142.81	1144.39	18.36146
1222_133834_000057_000000	‘You ha’ a father.	'You ha' a father.	false	1145.15	1146.43	20.926119
1222_133834_000057_000001	Will yo tak’ a message to him?’	Will yo tak' a message to him?'	false	1146.65	1149.4	18.267387
1222_133834_000058_000000	‘He is here,’ said Louisa, with dread.	'He is here,' said Louisa, with dread.	true	1150.4	1152.55	19.19822
1222_133834_000058_000001	‘Shall I bring him to you?’	'Shall I bring him to you?'	true	1152.59	1153.84	20.957344
1222_133834_000059_000000	‘If yo please.’	'If yo please.'	false	1154.33	1155.55	21.397795
1222_133834_000060_000000	Louisa returned with her father.	Louisa returned with her father.	true	1156.31	1158.13	20.996323
1222_133834_000060_000001	Standing hand-in-hand, they both looked down upon the solemn countenance.	Standing hand in hand, they both looked down upon the solemn countenance.	true	1158.38	1162.24	17
1222_133834_000061_000000	‘Sir, yo will clear me an’ mak my name good wi’ aw men.	'Sir, yo will clear me an' mak my name good wi' aw men.	false	1162.64	1168.09	20.025543
1222_133834_000061_000001	This I leave to yo.’	This I leave to yo.'	true	1168.22	1169.62	20.456553
1222_133834_000062_000000	Mr. Gradgrind was troubled and asked how?	mr Gradgrind was troubled and asked how?	true	1170.32	1173.7	21.206285
1222_133834_000063_000000	‘Sir,’ was the reply: ‘yor son will tell yo how.	'Sir,' was the reply: 'yor son will tell yo how.	true	1174.31	1178.85	19.74227
1222_133834_000063_000001	Ask him.	Ask him.	true	1178.85	1179.7	18.965061
1222_133834_000063_000002	I mak no charges: I leave none ahint me: not a single word.	I mak no charges: I leave none ahint me: not a single word.	false	1179.71	1184.4	21.995846
1222_133834_000063_000003	I ha’ seen an’ spok’n wi’ yor son, one night.	I ha' seen an' spok'n wi' yor son, one night.	false	1184.4	1187.58	14.673346
1222_133834_000063_000004	I ask no more o’ yo than that yo clear me—an’ I trust to yo to do ’t.’	I ask no more o' yo than that yo clear me—an' I trust to yo to do 't.'	false	1187.58	1194.51	18.030901
1222_133834_000064_000000	The bearers being now ready to carry him away, and the surgeon being anxious for his removal, those who had torches or lanterns, prepared to go in front of the litter.	The bearers being now ready to carry him away, and the surgeon being anxious for his removal, those who had torches or lanterns, prepared to go in front of the litter.	false	1194.51	1202.89	17
1222_133834_000064_000001	Before it was raised, and while they were arranging how to go, he said to Rachael, looking upward at the star:	Before it was raised, and while they were arranging how to go, he said to Rachael, looking upward at the star:	false	1203.44	1208.98	17.962711
1222_133834_000065_000000	‘Often as I coom to myseln, and found it shinin’ on me down there in my trouble, I thowt it were the star as guided to Our Saviour’s home.	'Often as I coom to myseln, and found it shinin' on me down there in my trouble, I thowt it were the star as guided to Our Saviour's home.	false	1210.34	1220.2	17
1222_133834_000065_000001	I awmust think it be the very star!’	I awmust think it be the very star!'	false	1220.9	1223.2	18
1222_133834_000066_000000	They lifted him up, and he was overjoyed to find that they were about to take him in the direction whither the star seemed to him to lead.	They lifted him up, and he was overjoyed to find that they were about to take him in the direction whither the star seemed to him to lead.	false	1224.23	1231.33	19
1222_133834_000067_000000	‘Rachael, beloved lass!	'Rachael, beloved lass!	true	1232	1233.21	18
1222_133834_000067_000001	Don’t let go my hand.	Don't let go my hand.	true	1233.21	1234.63	19
1222_133834_000067_000002	We may walk toogether t’night, my dear!’	We may walk toogether t'night, my dear!'	true	1234.79	1237	24
1222_133834_000068_000000	‘I will hold thy hand, and keep beside thee, Stephen, all the way.’	'I will hold thy hand, and keep beside thee, Stephen, all the way.'	true	1238.09	1241.77	20.310715
1222_133834_000069_000000	‘Bless thee!	'Bless thee!	true	1242.41	1243.27	22.334646
1222_133834_000069_000001	Will soombody be pleased to coover my face!’	Will soombody be pleased to coover my face!'	true	1244.27	1247.59	20.918997
1222_133834_000070_000000	They carried him very gently along the fields, and down the lanes, and over the wide landscape; Rachael always holding the hand in hers.	They carried him very gently along the fields, and down the lanes, and over the wide landscape; Rachael always holding the hand in hers.	true	1249.52	1257.16	17.962145
1222_133834_000070_000001	Very few whispers broke the mournful silence.	Very few whispers broke the mournful silence.	true	1257.83	1260.52	18.55539
1222_133834_000070_000002	It was soon a funeral procession.	It was soon a funeral procession.	true	1261.1	1263.13	15
1222_133834_000070_000003	The star had shown him where to find the God of the poor; and through humility, and sorrow, and forgiveness, he had gone to his Redeemer’s rest.	The star had shown him where to find the God of the poor; and through humility, and sorrow, and forgiveness, he had gone to his Redeemer's rest.	false	1264.04	1276.5	19.020744
1222_133834_000071_000000	CHAPTER VII WHELP-HUNTING	CHAPTER seven WHELP HUNTING	false	1276.5	1277.22	11
1222_133834_000072_000000	BEFORE the ring formed round the Old Hell Shaft was broken, one figure had disappeared from within it.	BEFORE the ring formed round the Old Hell Shaft was broken, one figure had disappeared from within it.	false	1277.22	1279.17	13.262853
1222_133834_000072_000001	Mr. Bounderby and his shadow had not stood near Louisa, who held her father’s arm, but in a retired place by themselves.	mr Bounderby and his shadow had not stood near Louisa, who held her father's arm, but in a retired place by themselves.	false	1279.17	1281.6	19.99325
1222_133834_000072_000002	When Mr. Gradgrind was summoned to the couch, Sissy, attentive to all that happened, slipped behind that wicked shadow—a sight in the horror of his face, if there had been eyes there for any sight but one—and whispered in his ear.	When mr Gradgrind was summoned to the couch, Sissy, attentive to all that happened, slipped behind that wicked shadow—a sight in the horror of his face, if there had been eyes there for any sight but one—and whispered in his ear.	false	1281.6	1287.51	20.483114
1222_133834_000072_000003	Without turning his head, he conferred with her a few moments, and vanished.	Without turning his head, he conferred with her a few moments, and vanished.	false	1287.51	1289.31	15.565888
1222_133834_000072_000004	Thus the whelp had gone out of the circle before the people moved.	Thus the whelp had gone out of the circle before the people moved.	false	1289.31	1291.11	-5
