4926_23281_000000_000000	CHAPTER III.	CHAPTER three.	true	19.26	20.38	10
4926_23281_000078_000000	"And yet there are persons, of whom it is presumption to entertain hopes." And he looked again at Miss Milner.	"And yet there are persons, of whom it is presumption to entertain hopes." And he looked again at Miss Milner.	false	1104.8	1111.9	9
4926_23281_000079_000000	"Does your head ache, Miss Milner?" asked her friend, seeing her hold it with her hand.	"Does your head ache, Miss Milner?" asked her friend, seeing her hold it with her hand.	true	1112.21	1116.82	8
4926_23281_000080_000000	"Very much," returned she.	"Very much," returned she.	true	1117.34	1119.16	14
4926_23281_000081_000000	"Mr. Sandford," said Miss Woodley, "did you use all those drops Miss Milner gave you for a pain in the head?"	"mr Sandford," said Miss Woodley, "did you use all those drops Miss Milner gave you for a pain in the head?"	true	1119.38	1125.58	14
4926_23281_000082_000000	"Yes:" answered he, "I did." But the question at that moment somewhat embarrassed him.	"Yes:" answered he, "I did." But the question at that moment somewhat embarrassed him.	true	1125.95	1131.49	17.336008
4926_23281_000083_000000	"And I hope you found benefit from them:" said Miss Milner, with great kindness, as she rose from her seat, and walked slowly out of the room.	"And I hope you found benefit from them:" said Miss Milner, with great kindness, as she rose from her seat, and walked slowly out of the room.	true	1132.01	1139.17	13
4926_23281_000084_000000	Though Miss Woodley followed her, so that Mr. Sandford was left alone with Lord Elmwood, and might have continued his unkind insinuations without one restraint, yet his lips were closed for the present.	Though Miss Woodley followed her, so that mr Sandford was left alone with Lord Elmwood, and might have continued his unkind insinuations without one restraint, yet his lips were closed for the present.	true	1139.63	1151.41	15
4926_23281_000084_000001	He looked down on the carpet--twitched himself upon his chair--and began to talk of the weather.	He looked down on the carpet-twitched himself upon his chair-and began to talk of the weather.	true	1151.48	1157.55	14
4926_23281_000085_000000	CHAPTER IV.	CHAPTER four.	false	1157.55	1157.58	-2
4926_23281_000086_000000	When the first transports of despair were past, Miss Milner suffered herself to be once more in hope.	When the first transports of despair were past, Miss Milner suffered herself to be once more in hope.	false	1157.58	1158.09	-1
4926_23281_000086_000001	She found there were no other means to support her life; and to her comfort, her friend was much less severe on the present occasion than she expected.	She found there were no other means to support her life; and to her comfort, her friend was much less severe on the present occasion than she expected.	false	1158.09	1158.72	20.169697
4926_23281_000086_000002	No engagement between mortals was, in Miss Woodley's opinion, binding like that entered into with heaven; and whatever vows Lord Elmwood had possibly made to another, she justly supposed that no woman's love for him equalled Miss Milner's--it was prior to all others too; that established her claim to contend at least for success; and in a contention, what rival would not fall before her?	No engagement between mortals was, in Miss Woodley's opinion, binding like that entered into with heaven; and whatever vows Lord Elmwood had possibly made to another, she justly supposed that no woman's love for him equalled Miss Milner's-it was prior to all others too; that established her claim to contend at least for success; and in a contention, what rival would not fall before her?	false	1158.72	1162.83	14.984925
