1264_129805_000000_000000	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	false	0	0.3	-20
1264_129805_000050_000002	If there's no other expedition'll tempt you, why not Port Royal?	If there's no other expedition'll tempt you, why not Port Royal?	true	868.16	871.48	24.068176
1264_129805_000050_000003	What a plague do it matter if it is an English settlement?	What a plague do it matter if it is an English settlement?	true	871.7	874.45	21.150394
1264_129805_000050_000004	It's commanded by Colonel Bishop, and there's no lack of rascals in your company'd follow you to hell if it meant getting Colonel Bishop by the throat.	It's commanded by Colonel Bishop, and there's no lack of rascals in your company'd follow you to hell if it meant getting Colonel Bishop by the throat.	true	874.58	882.49	21.71089
1264_129805_000050_000005	It could be done, I tell you.	It could be done, I tell you.	true	882.8	884.4	22.87207
1264_129805_000050_000006	We've but to spy the chance when the Jamaica fleet is away.	We've but to spy the chance when the Jamaica fleet is away.	false	884.4	887.98	21.97042
1264_129805_000050_000007	There's enough plunder in the town to tempt the lads, and there's the wench for you.	There's enough plunder in the town to tempt the lads, and there's the wench for you.	true	888.14	892.54	22.239782
1264_129805_000050_000008	Shall I sound them on 't?"	Shall I sound them on 't?"	false	892.76	895.71	18.600552
1264_129805_000051_000000	Blood was on his feet, his eyes blazing, his livid face distorted. "Ye'll leave my cabin this minute, so ye will, or, by Heaven, it's your corpse'll be carried out of it.	Blood was on his feet, his eyes blazing, his livid face distorted. "Ye'll leave my cabin this minute, so ye will, or, by Heaven, it's your corpse'll be carried out of it.	false	895.71	906.72	20.585077
1264_129805_000051_000001	Ye mangy hound, d'ye dare come to me with such proposals?"	Ye mangy hound, d'ye dare come to me with such proposals?"	false	906.72	910.57	20.243614
1264_129805_000052_000000	He fell to cursing his faithful officer with a virulence the like of which he had never yet been known to use.	He fell to cursing his faithful officer with a virulence the like of which he had never yet been known to use.	false	911.54	918.04	20.212477
1264_129805_000052_000001	And Wolverstone, in terror before that fury, went out without another word.	And Wolverstone, in terror before that fury, went out without another word.	true	918.23	923.44	20.576437
1264_129805_000052_000002	The subject was not raised again, and Captain Blood was left to his idle abstraction.	The subject was not raised again, and Captain Blood was left to his idle abstraction.	true	923.63	928.57	20.530771
1264_129805_000053_000000	But at last, as his buccaneers were growing desperate, something happened, brought about by the Captain's friend M. d'Ogeron.	But at last, as his buccaneers were growing desperate, something happened, brought about by the Captain's friend m d'Ogeron.	false	929.69	937.98	19.74474
1264_129805_000053_000001	One sunny morning the Governor of Tortuga came aboard the Arabella, accompanied by a chubby little gentleman, amiable of countenance, amiable and self-sufficient of manner.	One sunny morning the Governor of Tortuga came aboard the Arabella, accompanied by a chubby little gentleman, amiable of countenance, amiable and self-sufficient of manner.	false	937.98	948.16	19.854496
1264_129805_000054_000000	"My Captain," M. d'Ogeron delivered himself, "I bring you M. de Cussy, the Governor of French Hispaniola, who desires a word with you."	"My Captain," m d'Ogeron delivered himself, "I bring you m de Cussy, the Governor of French Hispaniola, who desires a word with you."	false	948.71	959.02	20.492056
1264_129805_000055_000000	Out of consideration for his friend, Captain Blood pulled the pipe from his mouth, shook some of the rum out of his wits, and rose and made a leg to M. de Cussy.	Out of consideration for his friend, Captain Blood pulled the pipe from his mouth, shook some of the rum out of his wits, and rose and made a leg to m de Cussy.	false	959.9	968.85	19.596176
1264_129805_000056_000000	"Serviteur!" said he.	"Serviteur!" said he.	false	968.85	970.98	23.733517
1264_129805_000057_000000	M. de Cussy returned the bow and accepted a seat on the locker under the stem windows.	M. de Cussy returned the bow and accepted a seat on the locker under the stem windows.	false	970.98	976.99	22.331451
1264_129805_000058_000000	"You have a good force here under your command, my Captain," said he.	"You have a good force here under your command, my Captain," said he.	true	977.63	981.13	22
1264_129805_000059_000000	"Some eight hundred men."	"Some eight hundred men."	true	981.92	983.38	18.220041
1264_129805_000060_000000	"And I understand they grow restive in idleness."	"And I understand they grow restive in idleness."	true	983.99	986.56	19.99534
1264_129805_000061_000000	"They may go to the devil when they please."	"They may go to the devil when they please."	true	987.35	989.46	18.493006
1264_129805_000062_000000	M. de Cussy took snuff delicately.	M. de Cussy took snuff delicately.	false	989.46	993.22	21.185997
1264_129805_000062_000001	"I have something better than that to propose," said he.	"I have something better than that to propose," said he.	false	993.5	996.46	24.469172
1264_129805_000063_000000	"Propose it, then," said Blood, without interest.	"Propose it, then," said Blood, without interest.	true	997.01	999.75	18.565327
1264_129805_000064_000000	M. de Cussy looked at M. d'Ogeron, and raised his eyebrows a little. He did not find Captain Blood encouraging.	M. de Cussy looked at m d'Ogeron, and raised his eyebrows a little. He did not find Captain Blood encouraging.	false	999.75	1007.82	21.177532
1264_129805_000064_000001	But M. d'Ogeron nodded vigorously with pursed lips, and the Governor of Hispaniola propounded his business.	But m d'Ogeron nodded vigorously with pursed lips, and the Governor of Hispaniola propounded his business.	false	1007.82	1014.82	19.573576
1264_129805_000065_000000	"News has reached us from France that there is war with Spain."	"News has reached us from France that there is war with Spain."	true	1015.76	1019.32	21.85903
1264_129805_000066_000000	"That is news, is it?" growled Blood.	"That is news, is it?" growled Blood.	true	1020.02	1022.71	18.095945
1264_129805_000067_000000	"I am speaking officially, my Captain.	"I am speaking officially, my Captain.	true	1023.62	1025.92	23.4579
1264_129805_000067_000001	I am not alluding to unofficial skirmishes, and unofficial predatory measures which we have condoned out here.	I am not alluding to unofficial skirmishes, and unofficial predatory measures which we have condoned out here.	true	1026.17	1032.64	20.801212
1264_129805_000067_000002	There is war--formally war--between France and Spain in Europe.	There is war-formally war-between France and Spain in Europe.	true	1033.07	1038.22	20.246372
1264_129805_000067_000003	It is the intention of France that this war shall be carried into the New World.	It is the intention of France that this war shall be carried into the New World.	false	1038.68	1043.35	19.859133
1264_129805_000067_000004	A fleet is coming out from Brest under the command of M. le Baron de Rivarol for that purpose.	A fleet is coming out from Brest under the command of m le Baron de Rivarol for that purpose.	false	1043.6	1049.86	20.118643
1264_129805_000067_000005	I have letters from him desiring me to equip a supplementary squadron and raise a body of not less than a thousand men to reenforce him on his arrival.	I have letters from him desiring me to equip a supplementary squadron and raise a body of not less than a thousand men to reenforce him on his arrival.	true	1050.38	1058.77	20.443226
1264_129805_000067_000006	What I have come to propose to you, my Captain, at the suggestion of our good friend M. d'Ogeron, is, in brief, that you enroll your ships and your force under M. de Rivarol's flag."	What I have come to propose to you, my Captain, at the suggestion of our good friend m d'Ogeron, is, in brief, that you enroll your ships and your force under m de Rivarol's flag."	false	1059.26	1073.14	18.52513
1264_129805_000068_000000	Blood looked at him with a faint kindling of interest.	Blood looked at him with a faint kindling of interest.	true	1073.81	1076.38	23.389187
1264_129805_000068_000001	"You are offering to take us into the French service?" he asked.	"You are offering to take us into the French service?" he asked.	true	1076.78	1080.94	21.14546
1264_129805_000068_000002	"On what terms, monsieur?"	"On what terms, monsieur?"	true	1081.04	1083.04	23.717398
1264_129805_000069_000000	"With the rank of Capitaine de Vaisseau for yourself, and suitable ranks for the officers serving under you.	"With the rank of Capitaine de Vaisseau for yourself, and suitable ranks for the officers serving under you.	true	1085.24	1091.29	21.04412
1264_129805_000069_000001	You will enjoy the pay of that rank, and you will be entitled, together with your men, to one-tenth share in all prizes taken."	You will enjoy the pay of that rank, and you will be entitled, together with your men, to one tenth share in all prizes taken."	true	1091.48	1097.98	21.310938
1264_129805_000070_000000	"My men will hardly account it generous.	"My men will hardly account it generous.	true	1099.04	1101.64	20.325764
1264_129805_000070_000001	They will tell you that they can sail out of here to-morrow, disembowel a Spanish settlement, and keep the whole of the plunder."	They will tell you that they can sail out of here to morrow, disembowel a Spanish settlement, and keep the whole of the plunder."	true	1101.92	1108.47	21.22287
1264_129805_000071_000000	"Ah, yes, but with the risks attaching to acts of piracy.	"Ah, yes, but with the risks attaching to acts of piracy.	false	1108.47	1113.37	20.805386
1264_129805_000071_000001	With us your position will be regular and official, and considering the powerful fleet by which M. de Rivarol is backed, the enterprises to be undertaken will be on a much vaster scale than anything you could attempt on your own account.	With us your position will be regular and official, and considering the powerful fleet by which m de Rivarol is backed, the enterprises to be undertaken will be on a much vaster scale than anything you could attempt on your own account.	false	1113.62	1127.92	20.669262
1264_129805_000071_000002	So that the one tenth in this case may be equal to more than the whole in the other."	So that the one tenth in this case may be equal to more than the whole in the other."	true	1128.44	1134.64	22.379942
1264_129805_000072_000000	Captain Blood considered.	Captain Blood considered.	true	1135.85	1137.52	21.832317
1264_129805_000072_000001	This, after all, was not piracy that was being proposed.	This, after all, was not piracy that was being proposed.	true	1137.74	1141	19.549788
1264_129805_000072_000002	It was honourable employment in the service of the King of France.	It was honourable employment in the service of the King of France.	false	1141.01	1144.33	19.775942
1264_129805_000073_000000	"I will consult my officers," he said; and he sent for them.	"I will consult my officers," he said; and he sent for them.	true	1145.39	1149.94	22.789536
1264_129805_000074_000000	They came and the matter was laid before them by M. de Cussy himself. Hagthorpe announced at once that the proposal was opportune.	They came and the matter was laid before them by m de Cussy himself. Hagthorpe announced at once that the proposal was opportune.	false	1150.49	1158.37	19.180576
1264_129805_000074_000001	The men were grumbling at their protracted inaction, and would no doubt be ready to accept the service which M. de Cussy offered on behalf of France. Hagthorpe looked at Blood as he spoke.	The men were grumbling at their protracted inaction, and would no doubt be ready to accept the service which m de Cussy offered on behalf of France. Hagthorpe looked at Blood as he spoke.	false	1158.38	1168.86	21.111855
1264_129805_000074_000002	Blood nodded gloomy agreement. Emboldened by this, they went on to discuss the terms.	Blood nodded gloomy agreement. Emboldened by this, they went on to discuss the terms.	true	1168.86	1174.03	18.758299
1264_129805_000074_000003	Yberville, the young French filibuster, had the honour to point out to M. de Cussy that the share offered was too small.	Yberville, the young French filibuster, had the honour to point out to m de Cussy that the share offered was too small.	false	1174.34	1181.59	19.822632
1264_129805_000074_000004	For one fifth of the prizes, the officers would answer for their men; not for less.	For one fifth of the prizes, the officers would answer for their men; not for less.	true	1181.93	1187.34	22.58817
1264_129805_000075_000000	M. de Cussy was distressed.	M. de Cussy was distressed.	false	1187.34	1190.59	22.231518
1264_129805_000075_000001	He had his instructions.	He had his instructions.	true	1190.78	1192.39	20.794413
1264_129805_000075_000002	It was taking a deal upon himself to exceed them.	It was taking a deal upon himself to exceed them.	true	1192.61	1195.54	22.719076
1264_129805_000075_000003	The buccaneers were firm.	The buccaneers were firm.	true	1195.76	1197.33	21.355824
1264_129805_000075_000004	Unless M. de Cussy could make it one fifth there was no more to be said.	Unless m de Cussy could make it one fifth there was no more to be said.	false	1197.33	1201.86	20.763735
1264_129805_000075_000005	M. de Cussy finally consenting to exceed his instructions, the articles were drawn up and signed that very day.	M. de Cussy finally consenting to exceed his instructions, the articles were drawn up and signed that very day.	false	1201.86	1209.04	20.807905
1264_129805_000075_000006	The buccaneers were to be at Petit Goave by the end of January, when M. de Rivarol had announced that he might be expected.	The buccaneers were to be at Petit Goave by the end of January, when m de Rivarol had announced that he might be expected.	false	1209.56	1217.56	20.196602
1264_129805_000076_000000	After that followed days of activity in Tortuga, refitting the ships, boucanning meat, laying in stores.	After that followed days of activity in Tortuga, refitting the ships, boucanning meat, laying in stores.	true	1218.56	1225.24	21.590246
1264_129805_000076_000001	In these matters which once would have engaged all Captain Blood's attention, he now took no part. He continued listless and aloof.	In these matters which once would have engaged all Captain Blood's attention, he now took no part. He continued listless and aloof.	true	1225.58	1234.01	20.419884
1264_129805_000076_000002	If he had given his consent to the undertaking, or, rather, allowed himself to be swept into it by the wishes of his officers--it was only because the service offered was of a regular and honourable kind, nowise connected with piracy, with which he swore in his heart that he had done for ever.	If he had given his consent to the undertaking, or, rather, allowed himself to be swept into it by the wishes of his officers-it was only because the service offered was of a regular and honourable kind, nowise connected with piracy, with which he swore in his heart that he had done for ever.	false	1234.01	1250.68	20.047655
1264_129805_000076_000003	But his consent remained passive.	But his consent remained passive.	true	1251.29	1253.41	21.848248
1264_129805_000076_000004	The service entered awoke no zeal in him.	The service entered awoke no zeal in him.	true	1254.02	1256.53	19.690155
1264_129805_000076_000005	He was perfectly indifferent--as he told Hagthorpe, who ventured once to offer a remonstrance--whether they went to Petit Goave or to Hades, and whether they entered the service of Louis XIV or of Satan.	He was perfectly indifferent-as he told Hagthorpe, who ventured once to offer a remonstrance-whether they went to Petit Goave or to Hades, and whether they entered the service of Louis the fourteenth or of Satan.	false	1256.96	1274.88	21.737577
