159_135897_000000_000000	Zobeide, after the caliph by his address had encouraged her, began thus:	Zobeide, after the caliph by his address had encouraged her, began thus:	false	10.53	29.655	22.977219
159_135897_000033_000000	I had just laid myself down to rest in a shade, when I perceived a very large winged serpent coming towards me, with an irregular waving movement, and hanging out its tongue, which induced me to conclude it had received some injury.	I had just laid myself down to rest in a shade, when I perceived a very large winged serpent coming towards me, with an irregular waving movement, and hanging out its tongue, which induced me to conclude it had received some injury.	false	1305.74	1321.3	24.114523
159_135897_000033_000001	I instantly arose, and perceived that it was pursued by a larger serpent which had hold of its tail, and was endeavouring to devour it.	I instantly arose, and perceived that it was pursued by a larger serpent which had hold of its tail, and was endeavouring to devour it.	true	1321.34	1329.85	23.71723
159_135897_000033_000002	This perilous situation of the first serpent excited my pity, and instead of retreating I assumed courage to take up a stone that lay near me, and to throw it with all my strength at the other, which I hit upon the head and killed.	This perilous situation of the first serpent excited my pity, and instead of retreating I assumed courage to take up a stone that lay near me, and to throw it with all my strength at the other, which I hit upon the head and killed.	false	1330.07	1345	23.550507
159_135897_000033_000003	The other, finding itself at liberty, took wing and flew away.	The other, finding itself at liberty, took wing and flew away.	true	1345.01	1349.47	21.654802
159_135897_000033_000004	I looked after it for some time till it disappeared.	I looked after it for some time till it disappeared.	true	1349.96	1353.61	24.537909
159_135897_000033_000005	I then sought another shady spot for repose, and fell asleep.	I then sought another shady spot for repose, and fell asleep.	true	1353.62	1357.75	24.508204
159_135897_000034_000000	Judge what was my surprise when I awoke, to see standing by me a black woman of lively and agreeable features, who held in her hand two bitches of the same colour, fastened together.	Judge what was my surprise when I awoke, to see standing by me a black woman of lively and agreeable features, who held in her hand two bitches of the same colour, fastened together.	true	1358	1370.84	20.409428
159_135897_000034_000001	I sat up, and asked her who she was?	I sat up, and asked her who she was?	true	1370.84	1373.53	23.148155
159_135897_000034_000002	"I am," said she, "the serpent whom you lately delivered from my mortal enemy.	"I am," said she, "the serpent whom you lately delivered from my mortal enemy.	false	1373.81	1379.02	25.653835
159_135897_000034_000003	I did not know in what way I could better requite the important services you have rendered me than by what I have just done.	I did not know in what way I could better requite the important services you have rendered me than by what I have just done.	false	1379.66	1388.74	22.933832
159_135897_000034_000004	The treachery of your sisters was well known to me, and to avenge your wrongs, as soon as I was liberated by your generous assistance, I called together several of my companions, fairies like myself, conveyed into your storehouses at Bagdad all the lading of your vessel, and afterwards sunk it.	The treachery of your sisters was well known to me, and to avenge your wrongs, as soon as I was liberated by your generous assistance, I called together several of my companions, fairies like myself, conveyed into your storehouses at Bagdad all the lading of your vessel, and afterwards sunk it.	true	1388.75	1408.75	22.446442
159_135897_000035_000000	"These two black bitches are your sisters, whom I have transformed into this shape.	"These two black bitches are your sisters, whom I have transformed into this shape.	true	1409.63	1415.26	24.973473
159_135897_000035_000001	But this punishment will not suffice; and my will is that you treat them hereafter in the way I shall direst."	But this punishment will not suffice; and my will is that you treat them hereafter in the way I shall direst."	false	1415.42	1423.95	21.518007
159_135897_000036_000000	As soon as she had thus spoken the fairy took me under one of her arms, and the two bitches under the other, and conveyed us to my house in Bagdad; where I found in my storehouses all the riches with which my vessel had been laden.	As soon as she had thus spoken the fairy took me under one of her arms, and the two bitches under the other, and conveyed us to my house in Bagdad; where I found in my storehouses all the riches with which my vessel had been laden.	false	1423.95	1439.76	22.804573
159_135897_000036_000001	Before she left me, she delivered to me the two bitches, and said, "If you would not be changed into a similar form, I command you, in the name of him that governs the sea, to give each of your sisters every night one hundred lashes with a rod, as the punishment of the crime they have committed against yourself, and the young prince, whom they have drowned." I was forced to promise obedience.	Before she left me, she delivered to me the two bitches, and said, "If you would not be changed into a similar form, I command you, in the name of him that governs the sea, to give each of your sisters every night one hundred lashes with a rod, as the punishment of the crime they have committed against yourself, and the young prince, whom they have drowned." I was forced to promise obedience.	false	1439.76	1465.63	20.839977
159_135897_000036_000002	Since that time I have whipped them every night, though with regret, whereof your majesty has been a witness.	Since that time I have whipped them every night, though with regret, whereof your majesty has been a witness.	true	1465.76	1473.1	23.62984
159_135897_000036_000003	My tears testify with how much sorrow and reluctance I perform this painful duty; and in this your majesty may see I am more to be pitied than blamed.	My tears testify with how much sorrow and reluctance I perform this painful duty; and in this your majesty may see I am more to be pitied than blamed.	false	1473.86	1484.77	23.232357
159_135897_000036_000004	If there be any thing else relating to myself that you desire to know, my sister Amene will give you full information in the relation of her story.	If there be any thing else relating to myself that you desire to know, my sister Amene will give you full information in the relation of her story.	false	1484.99	1494.85	22.20224
159_135897_000037_000000	After the caliph had heard Zobeide with much astonishment, he desired his grand vizier to request Amene to acquaint him wherefore her breast was disfigured with so many scars.	After the caliph had heard Zobeide with much astonishment, he desired his grand vizier to request Amene to acquaint him wherefore her breast was disfigured with so many scars.	true	1495.07	1506.72	23.037647
159_135897_000038_000000	Amene addressed herself to the caliph, and began her story after this manner:	Amene addressed herself to the caliph, and began her story after this manner:	false	1506.72	1513.65	19.224277
159_135897_000039_000000	The Story of Amene.	The Story of Amene.	false	1513.65	1517.46	18.762257
159_135897_000040_000000	Commander of the faithful, to avoid repeating what your majesty has already heard in my sister's story, I shall only add, that after my mother had taken a house for herself to live in, during her widowhood, she gave me in marriage, with the portion my father left me, to a gentleman who had one of the best estates in the city.	Commander of the faithful, to avoid repeating what your majesty has already heard in my sister's story, I shall only add, that after my mother had taken a house for herself to live in, during her widowhood, she gave me in marriage, with the portion my father left me, to a gentleman who had one of the best estates in the city.	false	1517.46	1518.81	21.21147
