711_187466_000000_000000	CHAP.	CHAP.	false	1.11	3.66	18
711_187466_000033_000004	When an edilleer, or one of the supreme council, meets a carriage, the gentleman who meets him must alight, and make him a perfect bow in spirit; not one of Bunburry's long bows, but that bow which carries humility and submission in it, that sort of bow which every vertebrae in an English back is anchylosed against.	When an edilleer, or one of the supreme council, meets a carriage, the gentleman who meets him must alight, and make him a perfect bow in spirit; not one of Bunburry's long bows, but that bow which carries humility and submission in it, that sort of bow which every vertebrae in an English back is anchylosed against.	false	1255.79	1281.19	21.333332
711_187466_000034_000000	In our passage from this to the Cape, before we left Java, one of the convicts had jumped over board in the night, and swam to the Dutch arsenal at Honroost.	In our passage from this to the Cape, before we left Java, one of the convicts had jumped over board in the night, and swam to the Dutch arsenal at Honroost.	true	1281.83	1294.39	21.280382
711_187466_000034_000001	In passing Bantan, we viewed the relics of Lord Cathcart.	In passing Bantan, we viewed the relics of Lord Cathcart.	false	1294.88	1298.83	18.947853
711_187466_000034_000002	We met nothing particular in passing the island of Sumatra, but experienced great death and sickness in going through the Straits of Sunda; and after a tedious passage, arrived at the Cape of Good Hope.	We met nothing particular in passing the island of Sumatra, but experienced great death and sickness in going through the Straits of Sunda; and after a tedious passage, arrived at the Cape of Good Hope.	true	1299.2	1312.75	22.777431
711_187466_000035_000000	Here we met with many civilities from Colonel Gordon; a gentleman no less eminent for his private virtues than his extraordinary military and literary accomplishments.	Here we met with many civilities from Colonel Gordon; a gentleman no less eminent for his private virtues than his extraordinary military and literary accomplishments.	true	1313	1323.22	18
711_187466_000035_000001	From his labours, all the host of voyagers and historians of that part of the globe have been purloining; but it is to be hoped the world will, at some future period, be favoured with his works unmutilated.	From his labours, all the host of voyagers and historians of that part of the globe have been purloining; but it is to be hoped the world will, at some future period, be favoured with his works unmutilated.	false	1323.62	1339.12	20.862583
711_187466_000036_000000	The town is gay, and from length of habit, the inhabitants partake much of the manners of Bath; and, for a short season, behave with the utmost attention and tenderness.	The town is gay, and from length of habit, the inhabitants partake much of the manners of Bath; and, for a short season, behave with the utmost attention and tenderness.	false	1339.64	1353.4	21.117413
711_187466_000036_000001	Their dress and customs are more characteristic of the English than Dutch.	Their dress and customs are more characteristic of the English than Dutch.	false	1353.95	1358.35	18
711_187466_000036_000002	An uncommon rage for building has lately prevailed; and although they cannot boast of that chastity of style in which Samarang is built it is gaudy, and calculated to please the generality of observers.	An uncommon rage for building has lately prevailed; and although they cannot boast of that chastity of style in which Samarang is built it is gaudy, and calculated to please the generality of observers.	false	1358.96	1374.13	21
711_187466_000037_000000	Allow me to mention the singular manner in which the monkeys make depredations on the gardens here.	Allow me to mention the singular manner in which the monkeys make depredations on the gardens here.	false	1375.1	1383.13	20.817787
711_187466_000037_000001	They place a proper piquet, or advanced guard, as sentinels, when a party is drawn up in a line, who hand the fruit from one to another; and when the alarm is given by the piquet-guard, they all take flight, making sure that by that time the booty is conveyed to a considerable distance.	They place a proper piquet, or advanced guard, as sentinels, when a party is drawn up in a line, who hand the fruit from one to another; and when the alarm is given by the piquet guard, they all take flight, making sure that by that time the booty is conveyed to a considerable distance.	false	1383.47	1403.5	20.909973
711_187466_000037_000002	But should the piquet be negligent in their duty, and suffer the main body to be surprised, the delinquents are severely punished.	But should the piquet be negligent in their duty, and suffer the main body to be surprised, the delinquents are severely punished.	true	1403.87	1412.77	21.984669
711_187466_000038_000000	The same ill-fated rage for canalling-murder prevails here.	The same ill fated rage for canalling murder prevails here.	false	1414.22	1418.68	13
711_187466_000038_000001	They have even contrived to carry canals to the top of a mountain.	They have even contrived to carry canals to the top of a mountain.	true	1419.2	1423.66	21
711_187466_000038_000002	The boors, or country-farmers, are a species of the human race, so gigantic and superior to the rest of mankind, in point of size and constitution, that they may be called nondescripts.	The boors, or country farmers, are a species of the human race, so gigantic and superior to the rest of mankind, in point of size and constitution, that they may be called nondescripts.	true	1424.48	1439.59	22.070494
711_187466_000039_000000	Their hospital, as to scite, surpasses any in the world.	Their hospital, as to scite, surpasses any in the world.	false	1440.92	1444.87	19
711_187466_000039_000001	It may be observed, however, that the architect, by the smallness of the windows, which only serve to exclude the light and air, seems to have studied, with much ingenuity, to render it a cadaverous stinking prison.	It may be observed, however, that the architect, by the smallness of the windows, which only serve to exclude the light and air, seems to have studied, with much ingenuity, to render it a cadaverous stinking prison.	false	1445.12	1460.11	20.178637
711_187466_000040_000000	After being refreshed at the Cape, we passed St. Helena, the island of Ascension, and arrived at Holland; and had the happiness, through the interposition of divine Providence, to be again landed on our native shore.	After being refreshed at the Cape, we passed saint Helena, the island of Ascension, and arrived at Holland; and had the happiness, through the interposition of divine Providence, to be again landed on our native shore.	false	1461.02	1479.67	18.926672
711_187466_000041_000000	The Latitudes and Longitudes of the different places touched at or discovered by his Majesty's ship _Pandora_, taken with the greatest accuracy from the centre of the islands.	The Latitudes and Longitudes of the different places touched at or discovered by his Majesty's ship underscore Pandora underscore, taken with the greatest accuracy from the centre of the islands.	false	1480.55	1493.64	18.23823
