2652_157644_000000_000000	XIII	thirteen	false	1.32	22.56	20.03991
2652_157644_000030_000006	The "Women's Chest," we are told, contained, among a host of other good and useful things, "Balm, sage, summer Savoury, horehound, Tobacco, and Oranges; two bottles of Brandy, two bottles of Jamaica Spirrit, A Canister of green tea, a Jar of Almond paste, Ginger bread." Samuel Fothergill's "new chest" contained tobacco among many other things; and a box of pipes was among the miscellaneous stores.	The "Women's Chest," we are told, contained, among a host of other good and useful things, "Balm, sage, summer Savoury, horehound, Tobacco, and Oranges; two bottles of Brandy, two bottles of Jamaica Spirrit, A Canister of green tea, a Jar of Almond paste, Ginger bread." Samuel Fothergill's "new chest" contained tobacco among many other things; and a box of pipes was among the miscellaneous stores.	false	972.44	995.89	21.794989
2652_157644_000031_000000	The history of smoking by women through Victorian days need not detain us long.	The history of smoking by women through Victorian days need not detain us long.	false	996.8	1001.02	19
2652_157644_000031_000001	There have always been pipe-smokers among the women of the poorer classes.	There have always been pipe smokers among the women of the poorer classes.	true	1001.02	1004.74	19.551367
2652_157644_000031_000002	Up to the middle of the last century smoking was very common among the hard-working women of Northumberland and the Scottish border.	Up to the middle of the last century smoking was very common among the hard-working women of Northumberland and the Scottish border.	false	1004.9	1011.49	16
2652_157644_000031_000003	Nor has the practice by any means yet died out.	Nor has the practice by any means yet died out.	true	1011.77	1014.49	22.518122
2652_157644_000031_000004	In May 1913, a woman, who was charged with drunkenness at the West Ham police court, laid the blame for her condition on her pipe.	In may nineteen thirteen, a woman, who was charged with drunkenness at the West Ham police court, laid the blame for her condition on her pipe.	false	1014.56	1021.48	20
2652_157644_000031_000005	She said she had smoked it for twenty years, and "it always makes me giddy!" The writer, in August 1913, saw a woman seated by the roadside in County Down, Ireland, calmly smoking a large briar pipe.	She said she had smoked it for twenty years, and "it always makes me giddy!" The writer, in august nineteen thirteen, saw a woman seated by the roadside in County Down, Ireland, calmly smoking a large briar pipe.	true	1021.52	1033.3	21.53491
2652_157644_000032_000000	It is not so very long ago that an English traveller heard a working-man courteously ask a Scottish fish-wife, who had entered a smoking-compartment of the train, whether she objected to smoking.	It is not so very long ago that an English traveller heard a working man courteously ask a Scottish fish wife, who had entered a smoking compartment of the train, whether she objected to smoking.	false	1034.42	1044.55	21.033451
2652_157644_000032_000001	The good woman slowly produced a well-seasoned "cutty" pipe, and as she began to cut up a "fill" from a rank-smelling tobacco, replied: "Na, na, laddie, I've come in here for a smoke ma'sel."	The good woman slowly produced a well seasoned "cutty" pipe, and as she began to cut up a "fill" from a rank smelling tobacco, replied: "Na, na, laddie, I've come in here for a smoke ma'sel."	false	1045.46	1057.29	22.321629
2652_157644_000033_000000	The _Darlington and Stockton Times_ in 1856 recorded the death on December 10, at Wallbury, in the North Riding of Yorkshire, in the 110th year of her age, of Jane Garbutt, widow.	The underscore Darlington and Stockton Times underscore in eighteen fifty six recorded the death on december tenth, at Wallbury, in the North Riding of Yorkshire, in the one hundred tenth year of her age, of Jane Garbutt, widow.	false	1057.29	1068.04	19
2652_157644_000033_000001	Mrs. Garbutt had been twice married, her husbands having been sailors during the Napoleonic wars.	mrs Garbutt had been twice married, her husbands having been sailors during the Napoleonic wars.	true	1068.35	1073.77	20
2652_157644_000033_000002	The old woman, said the journal, "had dwindled into a small compass, but she was free from pain, retaining all her faculties to the last, and enjoying her pipe.	The old woman, said the journal, "had dwindled into a small compass, but she was free from pain, retaining all her faculties to the last, and enjoying her pipe.	true	1074.26	1083.22	19
2652_157644_000033_000003	About a year ago the writer of this notice paid her a visit, and took her, as a 'brother-piper,' a present of tobacco, which ingredient of bliss was always acceptable from her visitors.	About a year ago the writer of this notice paid her a visit, and took her, as a 'brother piper,' a present of tobacco, which ingredient of bliss was always acceptable from her visitors.	false	1083.35	1092.67	22
2652_157644_000033_000004	Asking of her the question how long she had smoked, her reply was 'Vary nigh a hundred years'!" In 1845 there died at Buxton, at the age of ninety-six, a woman named Pheasy Molly, who had been for many years an inveterate smoker.	Asking of her the question how long she had smoked, her reply was 'Vary nigh a hundred years'!" In eighteen forty five there died at Buxton, at the age of ninety six, a woman named Pheasy Molly, who had been for many years an inveterate smoker.	false	1092.98	1106.98	18
2652_157644_000033_000005	Her death was caused by the accidental ignition of her clothes as she was lighting her pipe at the fire.	Her death was caused by the accidental ignition of her clothes as she was lighting her pipe at the fire.	true	1107.26	1112.38	21.483692
2652_157644_000033_000006	She had burned herself more than once before in performing the same operation; but her pipe she was bound to have, and so met her end.	She had burned herself more than once before in performing the same operation; but her pipe she was bound to have, and so met her end.	true	1112.66	1119.46	21.256706
2652_157644_000034_000000	The old Irishwomen who were once a familiar feature of London street-life as sellers of apples and other small wares at street corners, were often hardened smokers; and so were, and doubtless still are, many of the gipsy women who tramp the country.	The old Irishwomen who were once a familiar feature of London street life as sellers of apples and other small wares at street corners, were often hardened smokers; and so were, and doubtless still are, many of the gipsy women who tramp the country.	true	1120.07	1132.66	18.458298
2652_157644_000034_000001	An old Seven Dials ballad has the following choice stanza--	An old Seven Dials ballad has the following choice stanza-	true	1132.97	1136.37	19.439928
2652_157644_000035_000000	_When first I saw Miss Bailey, 'Twas on a Saturday, At the Corner Pin she was drinking gin, And smoking a yard of clay._	underscore When first I saw Miss Bailey, 'twas on a Saturday, At the Corner Pin she was drinking gin, And smoking a yard of clay.underscore	false	1136.37	1144.14	21.961578
2652_157644_000036_000000	Up to about the middle of Queen Victoria's reign female smoking in the nineteenth century in England may be said to have been pretty well confined to women of the classes and type already mentioned. Respectable folk in the middle and upper classes would have been horrified at the idea of a pipe or a cigar between feminine lips; and cigarettes had been used by men for a long time before it began to be whispered that here and there a lady--who was usually considered dreadfully "fast" for her pains--was accustomed to venture upon a cigarette.	Up to about the middle of Queen Victoria's reign female smoking in the nineteenth century in England may be said to have been pretty well confined to women of the classes and type already mentioned. Respectable folk in the middle and upper classes would have been horrified at the idea of a pipe or a cigar between feminine lips; and cigarettes had been used by men for a long time before it began to be whispered that here and there a lady-who was usually considered dreadfully "fast" for her pains-was accustomed to venture upon a cigarette.	false	1144.14	1171.81	20
2652_157644_000037_000000	In "Puck," 1870, Ouida represented one of her beautiful young men, Vy Bruce, as "murmuring idlest nonsense to Lilian Lee, as he lighted one of his cigarettes for her use"--but Lilian Lee was a _cocotte_.	In "Puck," eighteen seventy, Ouida represented one of her beautiful young men, v y Bruce, as "murmuring idlest nonsense to Lilian Lee, as he lighted one of his cigarettes for her use"--but Lilian Lee was a underscore cocotte underscore.	false	1172.36	1186.65	20.612787
2652_157644_000038_000000	An amusing incident is related in Forster's "Life of Dickens," which shows how entirely unknown was smoking among women of the middle and upper classes in England some ten years after Queen Victoria came to the throne.	An amusing incident is related in Forster's "Life of Dickens," which shows how entirely unknown was smoking among women of the middle and upper classes in England some ten years after Queen Victoria came to the throne.	false	1186.65	1198.51	16
2652_157644_000038_000001	Dickens was at Lausanne and Geneva in the autumn of 1846. At his hotel in Geneva he met a remarkable mother and daughter, both English, who admired him greatly, and whom he had previously known at Genoa.	Dickens was at Lausanne and Geneva in the autumn of eighteen forty six. At his hotel in Geneva he met a remarkable mother and daughter, both English, who admired him greatly, and whom he had previously known at Genoa.	false	1198.79	1211.98	19.91275
2652_157644_000038_000002	The younger lady's conversation would have shocked the prim maids and matrons of that day.	The younger lady's conversation would have shocked the prim maids and matrons of that day.	true	1212.38	1216.69	20
2652_157644_000038_000003	She asked Dickens if he had ever "read such infernal trash" as Mrs. Gore's; and exclaimed "Oh God! what a sermon we had here, last Sunday." Dickens and his two daughters--"who were decidedly in the way, as we agreed afterwards"--dined by invitation with the mother and daughter.	She asked Dickens if he had ever "read such infernal trash" as mrs Gore's; and exclaimed "Oh God! what a sermon we had here, last Sunday." Dickens and his two daughters-"who were decidedly in the way, as we agreed afterwards"--dined by invitation with the mother and daughter.	true	1216.79	1232.86	20.299154
2652_157644_000038_000004	The daughter asked him if he smoked.	The daughter asked him if he smoked.	true	1232.9	1235.04	19.009192
2652_157644_000038_000005	"Yes," said Dickens, "I generally take a cigar after dinner when I'm alone." Thereupon said the young lady, "I'll give you a good 'un when we go upstairs." But the sequel must be told in the novelist's own inimitable style.	"Yes," said Dickens, "I generally take a cigar after dinner when I'm alone." Thereupon said the young lady, "I'll give you a good 'un when we go upstairs." But the sequel must be told in the novelist's own inimitable style.	false	1235.04	1246.51	20.536919
2652_157644_000038_000006	"Well, sir," he wrote, "in due course we went upstairs, and there we were joined by an American lady residing in the same hotel ... also a daughter ...	"Well, sir," he wrote, "in due course we went upstairs, and there we were joined by an American lady residing in the same hotel ... also a daughter ...	true	1247.63	1255.93	19
2652_157644_000038_000007	American lady married at sixteen; American daughter sixteen now, often mistaken for sisters, &c. &c. &c.	American lady married at sixteen; American daughter sixteen now, often mistaken for sisters, and c. and c. and c.	false	1255.94	1263.33	20.083094
2652_157644_000038_000008	When that was over, the younger of our entertainers brought out a cigar-box, and gave me a cigar, made of negrohead she said, which would quell an elephant in six whiffs.	When that was over, the younger of our entertainers brought out a cigar box, and gave me a cigar, made of negrohead she said, which would quell an elephant in six whiffs.	false	1263.33	1271.65	18
2652_157644_000038_000009	The box was full of cigarettes--good large ones, made of pretty strong tobacco; I always smoke them here, and used to smoke them at Genoa, and I knew them well.	The box was full of cigarettes-good large ones, made of pretty strong tobacco; I always smoke them here, and used to smoke them at Genoa, and I knew them well.	false	1271.75	1279.9	22.490799
2652_157644_000038_000010	When I lighted my cigar, daughter lighted hers, at mine; leaned against the mantelpiece, in conversation with me; put out her stomach, folded her arms, and with her pretty face cocked up sideways and her cigarette smoking away like a Manchester cotton mill, laughed, and talked, and smoked, in the most gentlemanly manner I ever beheld.	When I lighted my cigar, daughter lighted hers, at mine; leaned against the mantelpiece, in conversation with me; put out her stomach, folded her arms, and with her pretty face cocked up sideways and her cigarette smoking away like a Manchester cotton mill, laughed, and talked, and smoked, in the most gentlemanly manner I ever beheld.	false	1280.03	1297.21	20
2652_157644_000038_000011	Mother immediately lighted her cigar; American lady immediately lighted hers; and in five minutes the room was a cloud of smoke, with us four in the centre pulling away bravely, while American lady related stories of her 'Hookah' upstairs, and described different kinds of pipes.	Mother immediately lighted her cigar; American lady immediately lighted hers; and in five minutes the room was a cloud of smoke, with us four in the centre pulling away bravely, while American lady related stories of her 'Hookah' upstairs, and described different kinds of pipes.	true	1297.37	1312.26	19
2652_157644_000038_000012	But even this was not all.	But even this was not all.	true	1312.26	1313.92	20.425735
2652_157644_000038_000013	For presently two Frenchmen came in, with whom, and the American lady, daughter sat down to whist. The Frenchmen smoked of course (they were really modest gentlemen and seemed dismayed), and daughter played for the next hour or two with a cigar continually in her mouth--never out of it.	For presently two Frenchmen came in, with whom, and the American lady, daughter sat down to whist. The Frenchmen smoked of course (they were really modest gentlemen and seemed dismayed), and daughter played for the next hour or two with a cigar continually in her mouth-never out of it.	false	1314.08	1329.27	20.761904
2652_157644_000038_000014	She certainly smoked six or eight.	She certainly smoked six or eight.	true	1329.27	1331.23	24.404663
2652_157644_000038_000015	Mother gave in soon--I think she only did it out of vanity.	Mother gave in soon-I think she only did it out of vanity.	true	1331.33	1334.47	22
2652_157644_000038_000016	American lady had been smoking all the morning.	American lady had been smoking all the morning.	true	1334.87	1337.41	18
2652_157644_000038_000017	I took no more; and daughter and the Frenchmen had it all to themselves. Conceive this in a great hotel, with not only their own servants, but half a dozen waiters coming constantly in and out!	I took no more; and daughter and the Frenchmen had it all to themselves. Conceive this in a great hotel, with not only their own servants, but half a dozen waiters coming constantly in and out!	false	1337.41	1347.55	21.526337
2652_157644_000038_000018	I showed no atom of surprise, but I never _was_ so surprised, so ridiculously taken aback, in my life; for in all my experience of 'ladies' of one kind and another, I never saw a woman--not a basket woman or a gipsy--smoke before!"	I showed no atom of surprise, but I never underscore was underscore so surprised, so ridiculously taken aback, in my life; for in all my experience of 'ladies' of one kind and another, I never saw a woman-not a basket woman or a gipsy-smoke before!"	false	1347.8	1362.01	19
2652_157644_000038_000019	This last remark is highly significant.	This last remark is highly significant.	true	1362.29	1364.57	19.258148
2652_157644_000038_000020	Forster says that Dickens "lived to have larger and wider experience, but there was enough to startle as well as amuse him in the scene described." The words "cigar" and "cigarette" are used indifferently by the novelist, but it seems clear from the description and from the number smoked by the lady in an hour or two, that it was a cigarette and not a cigar, properly so called, which was never out of her mouth.	Forster says that Dickens "lived to have larger and wider experience, but there was enough to startle as well as amuse him in the scene described." The words "cigar" and "cigarette" are used indifferently by the novelist, but it seems clear from the description and from the number smoked by the lady in an hour or two, that it was a cigarette and not a cigar, properly so called, which was never out of her mouth.	false	1364.57	1385.59	20.956413
2652_157644_000039_000000	The ladies who so surprised Dickens were English and American, but at the period in question--the early 'forties of the last century--one of the freaks of fashion at Paris was the giving of luncheon parties for ladies only, at which cigars were handed round.	The ladies who so surprised Dickens were English and American, but at the period in question-the early 'forties of the last century-one of the freaks of fashion at Paris was the giving of luncheon parties for ladies only, at which cigars were handed round.	false	1386.11	1399	19.906326
2652_157644_000040_000000	The first hints of feminine smoking in England may be traced, like so many other changes in fashion, in the pages of _Punch_.	The first hints of feminine smoking in England may be traced, like so many other changes in fashion, in the pages of underscore Punch underscore.	false	1400.15	1407.03	19
2652_157644_000040_000001	In 1851, steady-going folk were alarmed and shocked at a sudden and short-lived outburst of "bloomerism," imported from the United States.	In eighteen fifty one, steady going folk were alarmed and shocked at a sudden and short-lived outburst of "bloomerism," imported from the United States.	true	1407.03	1414.69	20
2652_157644_000040_000002	Of course it was at once suggested that women who would go so far as to imitate masculine attire and to emancipate themselves from the usual conventions of feminine dress, would naturally seek to imitate men in other ways also.	Of course it was at once suggested that women who would go so far as to imitate masculine attire and to emancipate themselves from the usual conventions of feminine dress, would naturally seek to imitate men in other ways also.	false	1414.94	1427.25	18
2652_157644_000040_000003	Leech had a picture of "A Quiet Smoke" in _Punch_, which depicted five ladies in short wide skirts and "bloomers" in a tobacconist's shop, two smoking cigars and one a pipe, while "one of the inferior animals" behind the counter was selling tobacco.	Leech had a picture of "A Quiet Smoke" in underscore Punch underscore, which depicted five ladies in short wide skirts and "bloomers" in a tobacconist's shop, two smoking cigars and one a pipe, while "one of the inferior animals" behind the counter was selling tobacco.	false	1427.25	1440.76	21.350643
2652_157644_000040_000004	But this was satire and hardly had much relation to fact.	But this was satire and hardly had much relation to fact.	true	1440.89	1444.27	20.253857
2652_157644_000041_000000	It was not until the 'sixties of the last century that cigarette-smoking by women began to creep in.	It was not until the 'sixties of the last century that cigarette smoking by women began to creep in.	false	1444.55	1450.03	17
2652_157644_000041_000001	Mortimer Collins, writing in 1869, in a curious outburst against the use of tobacco by young men, said, "When one hears of sly cigarettes between feminine lips at croquet parties, there is no more to be said." Since that date cigarette-smoking has become increasingly popular among women, and the term "sly" has long ceased to be applicable.	Mortimer Collins, writing in eighteen sixty nine, in a curious outburst against the use of tobacco by young men, said, "When one hears of sly cigarettes between feminine lips at croquet parties, there is no more to be said." Since that date cigarette smoking has become increasingly popular among women, and the term "sly" has long ceased to be applicable.	false	1450.31	1470.22	19
2652_157644_000041_000002	"Punch's Pocket-Book" for 1878 had an amusing skit on a ladies' reading-party, to which Mr. Punch acted as "coach." After breakfast the reading ladies lounged on the lawn with cigarettes.	"Punch's Pocket Book" for eighteen seventy eight had an amusing skit on a ladies' reading party, to which mr Punch acted as "coach." After breakfast the reading ladies lounged on the lawn with cigarettes.	false	1470.38	1481.85	20
2652_157644_000042_000000	What Queen Victoria, who hated tobacco and banished it from her presence and from her abodes as far as she could, would have thought and said of the extent to which cigarette-smoking is indulged in now by women, is a question quite unanswerable.	What Queen Victoria, who hated tobacco and banished it from her presence and from her abodes as far as she could, would have thought and said of the extent to which cigarette smoking is indulged in now by women, is a question quite unanswerable.	false	1481.85	1494.81	19.671152
2652_157644_000042_000001	Yet Queen Victoria once received a present of pipes and tobacco.	Yet Queen Victoria once received a present of pipes and tobacco.	false	1494.81	1498.54	22.27705
2652_157644_000042_000002	By the hands of Sir Richard Burton the Queen had sent a damask tent, a silver pipe, and two silver trays to the King of Dahomey.	By the hands of Sir Richard Burton the Queen had sent a damask tent, a silver pipe, and two silver trays to the King of Dahomey.	false	1498.76	1505.47	19.04685
2652_157644_000042_000003	That potentate told Sir Richard that the tent was very handsome, but too small; that the silver pipe did not smoke so well as his old red clay with a wooden stem; and that though he liked the trays very much, he thought them hardly large enough to serve as shields.	That potentate told Sir Richard that the tent was very handsome, but too small; that the silver pipe did not smoke so well as his old red clay with a wooden stem; and that though he liked the trays very much, he thought them hardly large enough to serve as shields.	false	1505.69	1519.63	22.39601
2652_157644_000042_000004	He hoped that the next gifts would include a carriage and pair, and a white woman, both of which he would appreciate very much.	He hoped that the next gifts would include a carriage and pair, and a white woman, both of which he would appreciate very much.	false	1519.64	1526.08	22
2652_157644_000042_000005	However, he sent gifts in return to her Britannic Majesty, and among them were a West African state umbrella, a selection of highly coloured clothing materials, and some native pipes and tobacco for the Queen to smoke.	However, he sent gifts in return to her Britannic Majesty, and among them were a West African state umbrella, a selection of highly coloured clothing materials, and some native pipes and tobacco for the Queen to smoke.	true	1526.24	1538.32	20.31788
2652_157644_000043_000000	Many royal ladies of Europe, contemporaries of Queen Victoria and her son, have had the reputation of being confirmed smokers.	Many royal ladies of Europe, contemporaries of Queen Victoria and her son, have had the reputation of being confirmed smokers.	true	1538.54	1545.43	21.919239
2652_157644_000043_000001	Among them may be named Carmen Sylva, the poetess--Queen of Roumania, the Dowager Tsaritsa of Russia, the late Empress of Austria, King Alfonso's mother, formerly Queen-Regent of Spain, the Dowager Queen Margherita of Italy and ex-Queen Amelie of Portugal.	Among them may be named Carmen Sylva, the poetess-Queen of Roumania, the Dowager Tsaritsa of Russia, the late Empress of Austria, King Alfonso's mother, formerly Queen Regent of Spain, the Dowager Queen Margherita of Italy and ex Queen Amelie of Portugal.	true	1545.74	1561.5	16
2652_157644_000043_000002	It is, of course, well known that Austrian and Russian ladies generally are fond of cigarette-smoking.	It is, of course, well known that Austrian and Russian ladies generally are fond of cigarette smoking.	false	1561.5	1566.55	20.050962
2652_157644_000043_000003	On Russian railways it is not unusual to find a compartment labelled "For ladies who do not smoke."	On Russian railways it is not unusual to find a compartment labelled "For ladies who do not smoke."	true	1566.68	1572.55	19.472727
2652_157644_000044_000000	The newspapers reported not long ago from the other side of the Atlantic that the "smart" women of Chicago had substituted cigars for cigarettes.	The newspapers reported not long ago from the other side of the Atlantic that the "smart" women of Chicago had substituted cigars for cigarettes.	true	1572.95	1580.38	19
2652_157644_000044_000001	According to an interview with a Chicago hotel proprietor, the fair smokers "select their cigars as men do, either black and strong, or light, according to taste." How in the world else could they select them?	According to an interview with a Chicago hotel proprietor, the fair smokers "select their cigars as men do, either black and strong, or light, according to taste." How in the world else could they select them?	false	1580.63	1592.94	21.491434
2652_157644_000044_000002	It is not likely, however, that cigar-smoking will become popular among women.	It is not likely, however, that cigar smoking will become popular among women.	true	1592.94	1596.97	18
2652_157644_000044_000003	For one thing, it leaves too strong and too clinging an odour on the clothes.	For one thing, it leaves too strong and too clinging an odour on the clothes.	false	1597.22	1600.93	18
2652_157644_000045_000000	One of the latest announcements, however, in the fashion pages of the newspapers is the advent of "Smoking Jackets" for ladies!	One of the latest announcements, however, in the fashion pages of the newspapers is the advent of "Smoking Jackets" for ladies!	true	1601.96	1608.61	19
2652_157644_000045_000001	We are informed in the usual style of such pages, that "the well-dressed woman has begun to consider the little smoking-jacket indispensable." This jacket, we are told "is a very different matter to the braided velvet coats which were donned by our masculine forbears in the days of long drooping cavalry moustaches, tightly buttoned frock-coats, and flexible canes.	We are informed in the usual style of such pages, that "the well dressed woman has begun to consider the little smoking jacket indispensable." This jacket, we are told "is a very different matter to the braided velvet coats which were donned by our masculine forbears in the days of long drooping cavalry moustaches, tightly buttoned frock coats, and flexible canes.	true	1608.95	1629.42	22.034784
2652_157644_000045_000002	The feminine smoking-jacket of to-day is worn with entrancing little evening or semi-evening frocks, and represents a compromise between a cloak and a coat, being exquisitely draped and fashioned of the softest and most attractive of the season's beautiful fabrics."	The feminine smoking jacket of to day is worn with entrancing little evening or semi evening frocks, and represents a compromise between a cloak and a coat, being exquisitely draped and fashioned of the softest and most attractive of the season's beautiful fabrics."	false	1629.42	1644.1	20.901363
2652_157644_000046_000000	There are still many good people nowadays who are shocked at the idea of women smoking; and to them may be commended the common-sense words of Bishop Boyd-Carpenter, formerly of Ripon, who arrived in New York early in 1913 to deliver a series of lectures at Harvard University. The American newspapers reported him as saying, with reference to this subject: "Many women in England who are well thought of, smoke.	There are still many good people nowadays who are shocked at the idea of women smoking; and to them may be commended the common sense words of Bishop Boyd Carpenter, formerly of Ripon, who arrived in New York early in nineteen thirteen to deliver a series of lectures at Harvard University. The American newspapers reported him as saying, with reference to this subject: "Many women in England who are well thought of, smoke.	false	1645.07	1668.94	20.825546
2652_157644_000046_000001	I do not attempt to enter into the ethical part of this matter, but this much I say: if men find it such a pleasure to smoke, why shouldn't women?	I do not attempt to enter into the ethical part of this matter, but this much I say: if men find it such a pleasure to smoke, why shouldn't women?	true	1668.94	1676.5	19
2652_157644_000046_000002	There are many colours in the rainbow; so there are many tastes in people.	There are many colours in the rainbow; so there are many tastes in people.	true	1676.75	1680.46	20
2652_157644_000046_000003	What may be a pleasure to men may be given to women.	What may be a pleasure to men may be given to women.	true	1680.5	1683.4	17
2652_157644_000046_000004	When we find women smoking, as they do in some branches of society to-day, the mere pleasure of that habit must be accepted as belonging to both sexes."	When we find women smoking, as they do in some branches of society to day, the mere pleasure of that habit must be accepted as belonging to both sexes."	false	1683.56	1698.99	19.999168
