5261_19373_000000_000000	LECTURE XV	LECTURE fifteen	true	19.53	20.8	25.50369
5261_19373_000035_000001	In 1822 the planets were in conjunction, and the force would then perturb the radius vector (or distance from the sun), but not the longitude (or place in orbit).	In eighteen twenty two the planets were in conjunction, and the force would then perturb the radius vector (or distance from the sun), but not the longitude (or place in orbit).	false	1008.15	1008.63	100
5261_19373_000035_000002	Before that date Uranus had been hurried along, and after that date it had been retarded, by the pull of Neptune, and thus the observed discrepancies from its computed place were produced.	Before that date Uranus had been hurried along, and after that date it had been retarded, by the pull of Neptune, and thus the observed discrepancies from its computed place were produced.	false	1008.63	1008.63	
5261_19373_000035_000003	The problem was first to disentangle the outstanding perturbations from those which would be caused by Jupiter and Saturn and all other known causes, and then to assign the place of an outer planet able to produce precisely those perturbations in Uranus.]	The problem was first to disentangle the outstanding perturbations from those which would be caused by Jupiter and Saturn and all other known causes, and then to assign the place of an outer planet able to produce precisely those perturbations in Uranus.]	false	1008.63	1008.63	
5261_19373_000036_000000	Not without failures and disheartening complications was this part of the process completed.	Not without failures and disheartening complications was this part of the process completed.	false	1008.63	1013.14	21.415901
5261_19373_000036_000001	This was, after all, the real tug of war.	This was, after all, the real tug of war.	true	1013.3	1015.96	21.571898
5261_19373_000036_000002	So many unknown quantities: its mass, its distance, its excentricity, the obliquity of its orbit, its position at any time--nothing known, in fact, about the planet except the microscopic disturbance it caused in Uranus, some thousand million miles away from it.	So many unknown quantities: its mass, its distance, its excentricity, the obliquity of its orbit, its position at any time-nothing known, in fact, about the planet except the microscopic disturbance it caused in Uranus, some thousand million miles away from it.	true	1016.24	1033	22.595297
5261_19373_000037_000000	Without going into further detail, suffice it to say that in June, 1846, he published his last paper, and in it announced to the world his theoretical position for the planet.	Without going into further detail, suffice it to say that in June, eighteen forty six, he published his last paper, and in it announced to the world his theoretical position for the planet.	true	1033.67	1043.65	25.679893
5261_19373_000038_000000	Professor Airy received a copy of this paper before the end of the month, and was astonished to find that Leverrier's theoretical place for the planet was within 1 deg. of the place Mr. Adams had assigned to it eight months before.	Professor Airy received a copy of this paper before the end of the month, and was astonished to find that Leverrier's theoretical place for the planet was within one d e g. of the place mr Adams had assigned to it eight months before.	false	1044.29	1056.01	25.065903
5261_19373_000038_000001	So striking a coincidence seemed sufficient to justify a Herschelian "sweep" for a week or two.	So striking a coincidence seemed sufficient to justify a Herschelian "sweep" for a week or two.	true	1056.29	1061.38	24.144947
5261_19373_000039_000000	But a sweep for so distant a planet would be no easy matter.	But a sweep for so distant a planet would be no easy matter.	true	1062.05	1065.28	25.365393
5261_19373_000039_000001	When seen in a large telescope it would still only look like a star, and it would require considerable labour and watching to sift it out from the other stars surrounding it.	When seen in a large telescope it would still only look like a star, and it would require considerable labour and watching to sift it out from the other stars surrounding it.	true	1065.44	1074.19	24.425919
5261_19373_000039_000002	We know that Uranus had been seen twenty times, and thought to be a star, before its true nature was by Herschel discovered; and Uranus is only about half as far away as Neptune is.	We know that Uranus had been seen twenty times, and thought to be a star, before its true nature was by Herschel discovered; and Uranus is only about half as far away as Neptune is.	true	1074.5	1084.57	23.367521
5261_19373_000040_000000	Neither in Paris nor yet at Greenwich was any optical search undertaken; but Professor Airy wrote to ask M. Leverrier the same old question as he had fruitlessly put to Mr. Adams: Did the new theory explain the errors of the radius vector or not?	Neither in Paris nor yet at Greenwich was any optical search undertaken; but Professor Airy wrote to ask m Leverrier the same old question as he had fruitlessly put to mr Adams: Did the new theory explain the errors of the radius vector or not?	false	1085.33	1099.66	23.233814
5261_19373_000040_000001	The reply of Leverrier was both prompt and satisfactory--these errors were explained, as well as all the others. The existence of the object was then for the first time officially believed in.	The reply of Leverrier was both prompt and satisfactory-these errors were explained, as well as all the others. The existence of the object was then for the first time officially believed in.	false	1100	1110.85	23.410917
5261_19373_000041_000000	The British Association met that year at Southampton, and Sir John Herschel was one of its Sectional Presidents.	The British Association met that year at Southampton, and Sir john Herschel was one of its Sectional Presidents.	true	1111.58	1117.24	19.416634
5261_19373_000041_000001	In his inaugural address, on September 10th, 1846, he called attention to the researches of Leverrier and Adams in these memorable words:--	In his inaugural address, on september tenth eighteen forty six, he called attention to the researches of Leverrier and Adams in these memorable words:--	false	1117.58	1126.42	24.890858
5261_19373_000042_000000	"The past year has given to us the new [minor] planet Astraea; it has done more--it has given us the probable prospect of another. We see it as Columbus saw America from the shores of Spain.	"The past year has given to us the new [minor] planet Astraea; it has done more-it has given us the probable prospect of another. We see it as Columbus saw America from the shores of Spain.	true	1127	1138.36	23.045809
5261_19373_000042_000001	Its movements have been felt trembling along the far-reaching line of our analysis with a certainty hardly inferior to ocular demonstration."	Its movements have been felt trembling along the far reaching line of our analysis with a certainty hardly inferior to ocular demonstration."	true	1138.58	1146.28	22.138308
5261_19373_000043_000000	It was about time to begin to look for it.	It was about time to begin to look for it.	true	1146.92	1149.4	27.158806
5261_19373_000043_000001	So the Astronomer-Royal thought on reading Leverrier's paper.	So the Astronomer Royal thought on reading Leverrier's paper.	true	1149.77	1153.21	22.623379
5261_19373_000043_000002	But as the national telescope at Greenwich was otherwise occupied, he wrote to Professor Challis, at Cambridge, to know if he would permit a search to be made for it with the Northumberland Equatoreal, the large telescope of Cambridge University, presented to it by one of the Dukes of Northumberland.	But as the national telescope at Greenwich was otherwise occupied, he wrote to Professor Challis, at Cambridge, to know if he would permit a search to be made for it with the Northumberland Equatoreal, the large telescope of Cambridge University, presented to it by one of the Dukes of Northumberland.	false	1153.55	1168.09	24.434381
5261_19373_000044_000000	Professor Challis said he would conduct the search himself; and shortly commenced a leisurely and dignified series of sweeps round about the place assigned by theory, cataloguing all the stars which he observed, intending afterwards to sort out his observations, compare one with another, and find out whether any one star had changed its position; because if it had it must be the planet.	Professor Challis said he would conduct the search himself; and shortly commenced a leisurely and dignified series of sweeps round about the place assigned by theory, cataloguing all the stars which he observed, intending afterwards to sort out his observations, compare one with another, and find out whether any one star had changed its position; because if it had it must be the planet.	false	1168.88	1189.99	23.289145
5261_19373_000044_000001	He thus, without giving an excessive time to the business, accumulated a host of observations, which he intended afterwards to reduce and sift at his leisure.	He thus, without giving an excessive time to the business, accumulated a host of observations, which he intended afterwards to reduce and sift at his leisure.	true	1190.3	1198.93	22.883589
5261_19373_000045_000000	The wretched man thus actually saw the planet twice--on August 4th and August 12th, 1846--without knowing it.	The wretched man thus actually saw the planet twice-on august fourth and august twelfth eighteen forty six--without knowing it.	true	1199.39	1206.34	23.385828
5261_19373_000045_000001	If only he had had a map of the heavens containing telescopic stars down to the tenth magnitude, and if he had compared his observations with this map as they were made, the process would have been easy, and the discovery quick.	If only he had had a map of the heavens containing telescopic stars down to the tenth magnitude, and if he had compared his observations with this map as they were made, the process would have been easy, and the discovery quick.	true	1206.62	1218.25	24.060646
5261_19373_000045_000002	But he had no such map.	But he had no such map.	true	1218.47	1220.14	24.637592
5261_19373_000045_000003	Nevertheless one was in existence: it had just been completed in that country of enlightened method and industry--Germany.	Nevertheless one was in existence: it had just been completed in that country of enlightened method and industry-Germany.	true	1220.36	1227.82	24.880663
5261_19373_000045_000004	Dr. Bremiker had not, indeed, completed his great work--a chart of the whole zodiac down to stars of the tenth magnitude--but portions of it were completed, and the special region where the new planet was expected happened to be among the portions already just done.	dr Bremiker had not, indeed, completed his great work-a chart of the whole zodiac down to stars of the tenth magnitude-but portions of it were completed, and the special region where the new planet was expected happened to be among the portions already just done.	true	1228.04	1241.89	24.811586
5261_19373_000045_000005	But in England this was not known.	But in England this was not known.	true	1242.2	1244.44	21.40839
5261_19373_000046_000000	Meanwhile, Mr. Adams wrote to the Astronomer-Royal several additional communications, making improvements in his theory, and giving what he considered nearer and nearer approximations for the place of the planet. He also now answered quite satisfactorily, but too late, the question about the radius vector sent to him months before.	Meanwhile, mr Adams wrote to the Astronomer Royal several additional communications, making improvements in his theory, and giving what he considered nearer and nearer approximations for the place of the planet. He also now answered quite satisfactorily, but too late, the question about the radius vector sent to him months before.	true	1245.11	1263.1	25.237373
5261_19373_000047_000000	Let us return to Leverrier.	Let us return to Leverrier.	false	1263.77	1265.85	21.7915
5261_19373_000047_000001	This great man was likewise engaged in improving his theory and in considering how best the optical search could be conducted.	This great man was likewise engaged in improving his theory and in considering how best the optical search could be conducted.	true	1265.85	1272.34	24.878563
5261_19373_000047_000002	Actuated, probably, by the knowledge that in such matters as cataloguing and mapping Germany was then, as now, far ahead of all the other nations of the world, he wrote in September (the same September as Sir John Herschel delivered his eloquent address at Southampton) to Berlin.	Actuated, probably, by the knowledge that in such matters as cataloguing and mapping Germany was then, as now, far ahead of all the other nations of the world, he wrote in September (the same September as Sir john Herschel delivered his eloquent address at Southampton) to Berlin.	false	1272.62	1289.28	23.666594
5261_19373_000047_000003	Leverrier wrote, I say, to Dr. Galle, head of the Observatory at Berlin, saying to him, clearly and decidedly, that the new planet was now in or close to such and such a position, and that if he would point his telescope to that part of the heavens he would see it; and, moreover, that he would be able to tell it from a star by its having a sensible magnitude, or disk, instead of being a mere point.	Leverrier wrote, I say, to dr Galle, head of the Observatory at Berlin, saying to him, clearly and decidedly, that the new planet was now in or close to such and such a position, and that if he would point his telescope to that part of the heavens he would see it; and, moreover, that he would be able to tell it from a star by its having a sensible magnitude, or disk, instead of being a mere point.	false	1289.28	1407.54	23.936235
