6458_61323_000000_000000	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	true	24.27	28.725	16
6458_61323_000021_000003	It is possible, therefore, that an ancient myth of Eridu forms the basis of the narrative.	It is possible, therefore, that an ancient myth of Eridu forms the basis of the narrative.	true	875.84	880.29	17
6458_61323_000022_000000	Ea-bani is depicted on the cylinder seals as a hairy man-monster resembling the god Pan.	Ea bani is depicted on the cylinder seals as a hairy man monster resembling the god Pan.	false	880.29	885.7	19.909973
6458_61323_000022_000001	He ate grass with the gazelles and drank water with wild beasts, and he is compared to the corn god, which suggests that he was an early form of Tammuz, and of character somewhat resembling the Egyptian Bast, the half-bestial god of fertility.	He ate grass with the gazelles and drank water with wild beasts, and he is compared to the corn god, which suggests that he was an early form of Tammuz, and of character somewhat resembling the Egyptian Bast, the half bestial god of fertility.	false	885.95	897.94	20
6458_61323_000022_000002	A hunter was sent out from Erech to search for the man-monster, and found him beside a stream in a savage place drinking with his associates, the wild animals.	A hunter was sent out from Erech to search for the man monster, and found him beside a stream in a savage place drinking with his associates, the wild animals.	true	898.4	905.56	16
6458_61323_000022_000003	The description of Ea-bani recalls that of Nebuchadnezzar when he was stricken with madness.	The description of Ea bani recalls that of Nebuchadnezzar when he was stricken with madness.	true	905.99	910.56	19
6458_61323_000022_000004	"He was driven from men, and did eat grass as oxen, and his body was wet with the dew of heaven, till his hairs were grown like eagles' feathers, and his nails like birds' claws."[207]	"He was driven from men, and did eat grass as oxen, and his body was wet with the dew of heaven, till his hairs were grown like eagles' feathers, and his nails like birds' claws."[two hundred seven]	false	910.56	920.295	19.996206
6458_61323_000023_000000	The hunter had no desire to combat with Ea-bani, so he had him lured from the wilds by a beautiful woman.	The hunter had no desire to combat with Ea bani, so he had him lured from the wilds by a beautiful woman.	false	920.295	925.66	19
6458_61323_000023_000001	Love broke the spell which kept Ea-bani in his savage state, and the wild beasts fled from him.	Love broke the spell which kept Ea bani in his savage state, and the wild beasts fled from him.	false	926	931.38	19.645605
6458_61323_000023_000002	Then the temptress pleaded with him to go with her to Erech, where Anu and Ishtar had their temples, and the mighty Gilgamesh lived in his palace.	Then the temptress pleaded with him to go with her to Erech, where Anu and Ishtar had their temples, and the mighty Gilgamesh lived in his palace.	true	931.38	938.2	20
6458_61323_000023_000003	Ea-bani, deserted by his bestial companions, felt lonely and desired human friendship.	Ea bani, deserted by his bestial companions, felt lonely and desired human friendship.	false	938.45	943.305	20.104378
6458_61323_000023_000004	So he consented to accompany his bride. Having heard of Gilgamesh from the hunter, he proposed to test his strength in single combat, but Shamash, god of the sun, warned Ea-bani that he was the protector of Gilgamesh, who had been endowed with great knowledge by Bel and Anu and Ea.	So he consented to accompany his bride. Having heard of Gilgamesh from the hunter, he proposed to test his strength in single combat, but Shamash, god of the sun, warned Ea bani that he was the protector of Gilgamesh, who had been endowed with great knowledge by Bel and Anu and Ea.	false	943.305	958.11	19.70228
6458_61323_000023_000005	Gilgamesh was also counselled in a vision of night to receive Ea-bani as an ally.	Gilgamesh was also counselled in a vision of night to receive Ea bani as an ally.	true	958.11	962.2	14
6458_61323_000024_000000	Ea-bani was not attracted by city life and desired to return to the wilds, but Shamash prevailed upon him to remain as the friend of Gilgamesh, promising that he would be greatly honoured and exalted to high rank.	Ea bani was not attracted by city life and desired to return to the wilds, but Shamash prevailed upon him to remain as the friend of Gilgamesh, promising that he would be greatly honoured and exalted to high rank.	true	962.57	972.55	19
6458_61323_000025_000000	The two heroes became close friends, and when the narrative becomes clear again, they are found to be setting forth to wage war against Chumbaba,[208] the King of Elam.	The two heroes became close friends, and when the narrative becomes clear again, they are found to be setting forth to wage war against Chumbaba,[two hundred eight] the King of Elam.	false	972.68	980.77	19
6458_61323_000025_000001	Their journey was long and perilous. In time they entered a thick forest, and wondered greatly at the numerous and lofty cedars.	Their journey was long and perilous. In time they entered a thick forest, and wondered greatly at the numerous and lofty cedars.	true	981.11	988.57	19.78051
6458_61323_000025_000002	They saw the great road which the king had caused to be made, the high mountain, and the temple of the god. Beautiful were the trees about the mountain, and there were many shady retreats that were fragrant and alluring.	They saw the great road which the king had caused to be made, the high mountain, and the temple of the god. Beautiful were the trees about the mountain, and there were many shady retreats that were fragrant and alluring.	false	989	999.34	20.757793
6458_61323_000026_000000	At this point the narrative breaks off, for the tablet is mutilated. When it is resumed a reference is made to "the head of Chumbaba", who has apparently been slain by the heroes.	At this point the narrative breaks off, for the tablet is mutilated. When it is resumed a reference is made to "the head of Chumbaba", who has apparently been slain by the heroes.	false	999.56	1009.48	20.94167
6458_61323_000026_000001	Erech was thus freed from the oppression of its fierce enemy.	Erech was thus freed from the oppression of its fierce enemy.	true	1009.94	1012.96	21.496195
6458_61323_000027_000000	Gilgamesh and Ea-bani appear to have become prosperous and happy.	Gilgamesh and Ea bani appear to have become prosperous and happy.	true	1013.45	1017.22	19.526361
6458_61323_000027_000001	But in the hour of triumph a shadow falls.	But in the hour of triumph a shadow falls.	true	1017.44	1020.16	25.108063
6458_61323_000027_000002	Gilgamesh is robed in royal splendour and wears his dazzling crown.	Gilgamesh is robed in royal splendour and wears his dazzling crown.	true	1020.35	1024.21	17.901222
6458_61323_000027_000003	He is admired by all men, but suddenly it becomes known that the goddess Ishtar has been stricken with love for him.	He is admired by all men, but suddenly it becomes known that the goddess Ishtar has been stricken with love for him.	true	1024.34	1030	19
6458_61323_000027_000004	She "loved him with that love which was his doom". Those who are loved by celestials or demons become, in folk tales, melancholy wanderers and "night wailers".	She "loved him with that love which was his doom". Those who are loved by celestials or demons become, in folk tales, melancholy wanderers and "night wailers".	false	1030.4	1041.25	19.351349
6458_61323_000027_000005	The "wretched wight" in Keats' "La Belle Dame Sans Merci" is a typical example.	The "wretched wight" in Keats' "La Belle Dame Sans Merci" is a typical example.	true	1041.8	1046.8	19.946539
6458_61323_000028_000000	O what can ail thee, knight-at-arms, Alone and palely loitering? The sedge is withered from the lake And no birds sing.	O what can ail thee, knight at arms, Alone and palely loitering? The sedge is withered from the lake And no birds sing.	true	1047.23	1055.62	19.106297
6458_61323_000029_000000	I met a lady in the meads, Full beautiful--a faery's child; Her hair was long, her foot was light, And her eyes were wild.	I met a lady in the meads, Full beautiful-a faery's child; Her hair was long, her foot was light, And her eyes were wild.	false	1056.29	1064.77	20.226631
6458_61323_000030_000000	She found me roots of relish sweet, And honey wild and manna dew; And sure in language strange she said, "I love thee true".	She found me roots of relish sweet, And honey wild and manna dew; And sure in language strange she said, "I love thee true".	false	1065.35	1074.58	20.53369
6458_61323_000031_000000	Having kissed her lover to sleep, the fairy woman vanished.	Having kissed her lover to sleep, the fairy woman vanished.	true	1075.25	1078.28	19.12191
6458_61323_000031_000001	The "knight" then saw in a dream the ghosts of knights and warriors, her previous victims, who warned him of his fate.	The "knight" then saw in a dream the ghosts of knights and warriors, her previous victims, who warned him of his fate.	true	1078.28	1083.94	18
6458_61323_000032_000000	I saw their starved lips in the gloam, With horrid warning gaped wide; And I awoke and found me here On the cold hill's side.	I saw their starved lips in the gloam, With horrid warning gaped wide; And I awoke and found me here On the cold hill's side.	true	1084.13	1091.68	23
6458_61323_000033_000000	The goddess Ishtar appeared as "La Belle Dame Sans Merci" before Gilgamesh and addressed him tenderly, saying: "Come, O Gilgamesh, and be my consort.	The goddess Ishtar appeared as "La Belle Dame Sans Merci" before Gilgamesh and addressed him tenderly, saying: "Come, O Gilgamesh, and be my consort.	true	1091.96	1101.9	20.021408
6458_61323_000033_000001	Gift thy strength unto me.	Gift thy strength unto me.	true	1101.9	1103.68	24.485445
6458_61323_000033_000002	Be thou my husband and I will be thy bride.	Be thou my husband and I will be thy bride.	true	1103.81	1106.8	18.938425
6458_61323_000033_000003	Thou shalt have a chariot of gold and lapis lazuli with golden wheels and gem-adorned.	Thou shalt have a chariot of gold and lapis lazuli with golden wheels and gem adorned.	true	1106.93	1112.05	17
6458_61323_000033_000004	Thy steeds shall be fair and white and powerful.	Thy steeds shall be fair and white and powerful.	true	1112.3	1115.23	18.957747
6458_61323_000033_000005	Into my dwelling thou shalt come amidst the fragrant cedars.	Into my dwelling thou shalt come amidst the fragrant cedars.	false	1115.48	1119.19	18.466784
6458_61323_000033_000006	Every king and every prince will bow down before thee, O Gilgamesh, to kiss thy feet, and all people will become subject unto thee."	Every king and every prince will bow down before thee, O Gilgamesh, to kiss thy feet, and all people will become subject unto thee."	false	1119.44	1126	19
6458_61323_000034_000000	Gilgamesh feared the fate which would attend him as the lover of Ishtar, and made answer saying: "To what husband hast thou ever remained faithful?	Gilgamesh feared the fate which would attend him as the lover of Ishtar, and made answer saying: "To what husband hast thou ever remained faithful?	false	1126.61	1134.25	20.227486
6458_61323_000034_000001	Each year Tammuz, the lover of thy youth, is caused by thee to weep.	Each year Tammuz, the lover of thy youth, is caused by thee to weep.	false	1134.41	1139.08	17.769463
6458_61323_000034_000002	Thou didst love the Allala bird and then broke his wings, and he moans in the woods crying, 'O my wings!' Thou didst love the lion and then snared him.	Thou didst love the Allala bird and then broke his wings, and he moans in the woods crying, 'O my wings!' Thou didst love the lion and then snared him.	true	1139.21	1148.71	18.711214
6458_61323_000034_000003	Thou didst love the horse, and then laid harness on him and made him gallop half a hundred miles so that he suffered great distress, and thou didst oppress his mother Silili. Thou didst love a shepherd who sacrificed kids unto thee, and then thou didst smite him so that he became a jackal (or leopard); his own herd boy drove him away and his dogs rent him in pieces.	Thou didst love the horse, and then laid harness on him and made him gallop half a hundred miles so that he suffered great distress, and thou didst oppress his mother Silili. Thou didst love a shepherd who sacrificed kids unto thee, and then thou didst smite him so that he became a jackal (or leopard); his own herd boy drove him away and his dogs rent him in pieces.	false	1148.72	1167.97	18.772738
6458_61323_000034_000004	Thou didst love Ishullanu, the gardener of Anu, who made offerings unto thee, and then smote him so that he was unable to move.	Thou didst love Ishullanu, the gardener of Anu, who made offerings unto thee, and then smote him so that he was unable to move.	false	1168.4	1175.56	19.173832
6458_61323_000034_000005	Alas! if thou wouldst love me, my fate would be like unto the fates of those on whom thou hast laid affliction."	Alas! if thou wouldst love me, my fate would be like unto the fates of those on whom thou hast laid affliction."	false	1175.78	1182.4	20.017466
6458_61323_000035_000000	Ishtar's heart was filled with wrath when she heard the words which Gilgamesh had spoken, and she prevailed upon her father Anu to create a fierce bull which she sent against the lord of Erech.	Ishtar's heart was filled with wrath when she heard the words which Gilgamesh had spoken, and she prevailed upon her father Anu to create a fierce bull which she sent against the lord of Erech.	true	1182.86	1192.45	21
6458_61323_000036_000000	This monster, however, was slain by Gilgamesh[209] and Ea-bani, but their triumph was shortlived.	This monster, however, was slain by Gilgamesh[two hundred nine] and Ea bani, but their triumph was shortlived.	false	1192.73	1197.91	17.988478
6458_61323_000036_000001	Ishtar cursed Gilgamesh.	Ishtar cursed Gilgamesh.	true	1198.04	1199.92	22.819649
6458_61323_000036_000002	Ea-bani then defied her and threatened to deal with her as he had dealt with the bull, with the result that he was cursed by the goddess also.	Ea bani then defied her and threatened to deal with her as he had dealt with the bull, with the result that he was cursed by the goddess also.	true	1200.02	1206.37	21.094774
6458_61323_000037_000000	Gilgamesh dedicated the horns of the bull to Shamash and returned with his friend to Erech, where they were received with great rejoicings.	Gilgamesh dedicated the horns of the bull to Shamash and returned with his friend to Erech, where they were received with great rejoicings.	true	1206.71	1213.24	21
6458_61323_000037_000001	A festival was held, and afterwards the heroes lay down to sleep.	A festival was held, and afterwards the heroes lay down to sleep.	true	1213.4	1216.96	18.251183
6458_61323_000037_000002	Then Ea-bani dreamt a dream of ill omen.	Then Ea bani dreamt a dream of ill omen.	false	1217.24	1219.99	20
6458_61323_000037_000003	He met his death soon afterwards, apparently in a battle, and Gilgamesh lamented over him.	He met his death soon afterwards, apparently in a battle, and Gilgamesh lamented over him.	true	1220.24	1224.85	18
6458_61323_000037_000004	From the surviving fragments of the narrative it would appear that Gilgamesh resolved to undertake a journey, for he had been stricken by disease. He wept and cried out, "Oh! let me not die like Ea-bani, for death is fearful.	From the surviving fragments of the narrative it would appear that Gilgamesh resolved to undertake a journey, for he had been stricken by disease. He wept and cried out, "Oh! let me not die like Ea bani, for death is fearful.	false	1225.1	1236.7	20.713722
6458_61323_000037_000005	I will seek the aid of mine ancestor, Pir-napishtim"--the Babylonian Noah, who was believed to be dwelling on an island which corresponds to the Greek "Island of the Blessed".	I will seek the aid of mine ancestor, p i r napishtim"--the Babylonian Noah, who was believed to be dwelling on an island which corresponds to the Greek "Island of the Blessed".	false	1236.74	1245.28	19
6458_61323_000037_000006	The Babylonian island lay in the ocean of the Nether World.	The Babylonian island lay in the ocean of the Nether World.	true	1245.47	1248.34	17.197412
6458_61323_000038_000000	It seems that Gilgamesh not only hoped to obtain the Water of Life and the Plant of Life to cure his own disease, but also to restore to life his dead friend, Ea-bani, whom he loved.	It seems that Gilgamesh not only hoped to obtain the Water of Life and the Plant of Life to cure his own disease, but also to restore to life his dead friend, Ea bani, whom he loved.	false	1248.5	1257.49	21.857962
6458_61323_000039_000000	Gilgamesh set out on his journey and in time reached a mountain chasm. Gazing on the rugged heights, he beheld fierce lions and his heart trembled.	Gilgamesh set out on his journey and in time reached a mountain chasm. Gazing on the rugged heights, he beheld fierce lions and his heart trembled.	true	1257.59	1264.93	19.400295
6458_61323_000039_000001	Then he cried upon the moon god, who took pity upon him, and under divine protection the hero pressed onward.	Then he cried upon the moon god, who took pity upon him, and under divine protection the hero pressed onward.	true	1265.09	1270.45	22.957197
6458_61323_000039_000002	He crossed the rocky range and then found himself confronted by the tremendous mountain of Mashi--"Sunset hill", which divided the land of the living from the western land of the dead.	He crossed the rocky range and then found himself confronted by the tremendous mountain of Mashi-"Sunset hill", which divided the land of the living from the western land of the dead.	false	1270.7	1279.63	20.898716
6458_61323_000039_000003	The mountain peak rose to heaven, and its foundations were in Aralu, the Underworld.[210] A dark tunnel pierced it and could be entered through a door, but the door was shut and on either side were two monsters of horrible aspect--the gigantic "scorpion man" and his wife, whose heads reached to the clouds.	The mountain peak rose to heaven, and its foundations were in Aralu, the Underworld.[two hundred ten] A dark tunnel pierced it and could be entered through a door, but the door was shut and on either side were two monsters of horrible aspect-the gigantic "scorpion man" and his wife, whose heads reached to the clouds.	false	1279.94	1294.63	21.592192
6458_61323_000039_000004	When Gilgamesh beheld them he swooned with terror.	When Gilgamesh beheld them he swooned with terror.	true	1295.06	1297.57	22.788324
6458_61323_000039_000005	But they did him no harm, perceiving that he was a son of a god and had a body like a god.	But they did him no harm, perceiving that he was a son of a god and had a body like a god.	false	1297.7	1302.28	19.303286
6458_61323_000040_000000	When Gilgamesh revived, he realized that the monsters regarded him with eyes of sympathy.	When Gilgamesh revived, he realized that the monsters regarded him with eyes of sympathy.	true	1302.47	1306.93	20.32671
6458_61323_000040_000001	Addressing the scorpion giant, he told that he desired to visit his ancestor, Pir-napishtim, who sat in the council of the gods and had divine attributes.	Addressing the scorpion giant, he told that he desired to visit his ancestor, p i r napishtim, who sat in the council of the gods and had divine attributes.	false	1307.09	1315.12	20.332047
6458_61323_000040_000002	The giant warned him of the dangers which he would encounter, saying that the mountain passage was twelve miles long and beamless and black.	The giant warned him of the dangers which he would encounter, saying that the mountain passage was twelve miles long and beamless and black.	true	1315.28	1321.87	17.701174
6458_61323_000040_000003	Gilgamesh, however, resolved to encounter any peril, for he was no longer afraid, and he was allowed to go forward.	Gilgamesh, however, resolved to encounter any peril, for he was no longer afraid, and he was allowed to go forward.	true	1322.21	1328.08	21.186699
6458_61323_000040_000004	So he entered through the monster-guarded mountain door and plunged into thick unbroken darkness.	So he entered through the monster guarded mountain door and plunged into thick unbroken darkness.	false	1328.18	1332.58	22.912292
6458_61323_000040_000005	For twice twelve hours he groped blindly onward, until he saw a ray of light. Quickening his steps, he then escaped from the dreadful tunnel and once more rejoiced in the rays of the sun.	For twice twelve hours he groped blindly onward, until he saw a ray of light. Quickening his steps, he then escaped from the dreadful tunnel and once more rejoiced in the rays of the sun	false	1332.77	1342.06	20.360453
6458_61323_000040_000006	He found himself in an enchanted garden, and in the midst of it he saw a divine and beautiful tree towards which he hastened.	He found himself in an enchanted garden, and in the midst of it he saw a divine and beautiful tree towards which he hastened.	false	1342.31	1348.54	20.36546
6458_61323_000040_000007	On its gleaming branches hung clusters of precious stones and its leaves were of lapis lazuli.	On its gleaming branches hung clusters of precious stones and its leaves were of lapis lazuli.	true	1348.58	1353.28	18.676247
6458_61323_000040_000008	His eyes were dazzled, but he did not linger there.	His eyes were dazzled, but he did not linger there.	true	1353.56	1355.95	17.963839
6458_61323_000040_000009	Passing many other wonderful trees, he came to a shoreland, and he knew that he was drawing nigh to the Sea of Death.	Passing many other wonderful trees, he came to a shoreland, and he knew that he was drawing nigh to the Sea of Death.	true	1356.26	1362.28	20
6458_61323_000040_000010	The country which he entered was ruled over by the sea lady whose name was Sabitu.	The country which he entered was ruled over by the sea lady whose name was Sabitu.	false	1362.47	1365.87	12
6458_61323_000040_000011	When she saw the pilgrim drawing nigh, she entered her palace and shut the door.	When she saw the pilgrim drawing nigh, she entered her palace and shut the door.	false	1365.87	1370.32	19.435322
6458_61323_000041_000000	Gilgamesh called out requesting that he should be allowed to enter, and mingled his entreaties with threats to break open the door.	Gilgamesh called out requesting that he should be allowed to enter, and mingled his entreaties with threats to break open the door.	false	1370.66	1376.53	21.943245
6458_61323_000041_000001	In the end Sabitu appeared and spoke, saying:	In the end Sabitu appeared and spoke, saying:	false	1376.84	1379.5	19.37421
6458_61323_000042_000000	Gilgamesh, whither hurriest thou? The life that thou seekest thou wilt not find. When the gods created man They fixed death for mankind. Life they took in their own hand. Thou, O Gilgamesh, let thy belly be filled! Day and night be merry, Daily celebrate a feast, Day and night dance and make merry! Clean be thy clothes, Thy head be washed, bathe in water! Look joyfully on the child that grasps thy hand, Be happy with the wife in thine arms![211]	Gilgamesh, whither hurriest thou? The life that thou seekest thou wilt not find. When the gods created man They fixed death for mankind. Life they took in their own hand. Thou, O Gilgamesh, let thy belly be filled! Day and night be merry, Daily celebrate a feast, Day and night dance and make merry! Clean be thy clothes, Thy head be washed, bathe in water! Look joyfully on the child that grasps thy hand, Be happy with the wife in thine arms![two hundred eleven]	false	1379.75	1406.79	20.682638
6458_61323_000043_000000	This is the philosophy of the Egyptian "Lay of the Harper".	This is the philosophy of the Egyptian "Lay of the Harper".	true	1406.79	1409.89	21.495777
6458_61323_000043_000001	The following quotations are from two separate versions:--	The following quotations are from two separate versions:--	true	1409.99	1412.83	20.576443
6458_61323_000044_000000	How rests this just prince! The goodly destiny befalls, The bodies pass away Since the time of the god, And generations come into their places.	How rests this just prince! The goodly destiny befalls, The bodies pass away Since the time of the god, And generations come into their places.	false	1413.2	1422.04	20.334772
6458_61323_000045_000000	(Make) it pleasant for thee to follow thy desire While thou livest. Put myrrh upon thy head, And garments on thee of fine linen.... Celebrate the glad day, Be not weary therein.... Thy sister (wife) who dwells in thy heart. She sits at thy side. Put song and music before thee, Behind thee all evil things, And remember thou (only) joy.[212]	(Make) it pleasant for thee to follow thy desire While thou livest. Put myrrh upon thy head, And garments on thee of fine linen.... Celebrate the glad day, Be not weary therein.... Thy sister (wife) who dwells in thy heart. She sits at thy side. Put song and music before thee, Behind thee all evil things, And remember thou (only) joy.[two hundred twelve]	false	1422.47	1442.78	19.787996
6458_61323_000046_000000	Jastrow contrasts the Babylonian poem with the following quotation from Ecclesiastes:--	Jastrow contrasts the Babylonian poem with the following quotation from ecclesiastes:--	true	1442.78	1447.33	22
6458_61323_000047_000000	Go thy way, eat thy bread with joy, and drink thy wine with a merry heart....	Go thy way, eat thy bread with joy, and drink thy wine with a merry heart....	true	1448.12	1452.21	23.038578
6458_61323_000047_000001	Let thy garments be always white; and let thy head lack no ointment.	Let thy garments be always white; and let thy head lack no ointment.	false	1452.21	1455.76	22.938076
6458_61323_000047_000002	Live joyfully with the wife whom thou lovest all the days of the life of thy vanity, which he [God] hath given thee under the sun, all the days of thy vanity: for that is thy portion in this life, and in thy labour which thou takest under the sun.[213]	Live joyfully with the wife whom thou lovest all the days of the life of thy vanity, which he [God] hath given thee under the sun, all the days of thy vanity: for that is thy portion in this life, and in thy labour which thou takest under the sun[two hundred thirteen]	false	1455.98	1470.06	19.543564
6458_61323_000048_000000	"The pious Hebrew mind", Jastrow adds, "found the corrective to this view of life in the conception of a stern but just God, acting according to self-imposed standards of right and wrong, whose rule extends beyond the grave." The final words of the Preacher are, "Fear God and keep his commandments".[214]	"The pious Hebrew mind", Jastrow adds, "found the corrective to this view of life in the conception of a stern but just God, acting according to self imposed standards of right and wrong, whose rule extends beyond the grave." The final words of the Preacher are, "Fear God and keep his commandments".[two hundred fourteen]	false	1470.06	1486.5	21.582346
6458_61323_000049_000000	Gilgamesh did not accept the counsel of the fatalistic sea lady.	Gilgamesh did not accept the counsel of the fatalistic sea lady.	false	1486.5	1489.51	17
6458_61323_000049_000001	He asked her how he could reach Pir-napishtim, his ancestor, saying he was prepared to cross the Sea of Death: if he could not cross it he would die of grief.	He asked her how he could reach p i r napishtim, his ancestor, saying he was prepared to cross the Sea of Death: if he could not cross it he would die of grief.	true	1489.58	1497.29	21.520689
6458_61323_000050_000000	Sabitu answered him, saying: "O Gilgamesh, no mortal is ferried over this great sea.	Sabitu answered him, saying: "O Gilgamesh, no mortal is ferried over this great sea.	true	1497.29	1502.38	19.704622
6458_61323_000050_000001	Who can pass over it save Shamash alone?	Who can pass over it save Shamash alone?	true	1502.51	1505.23	18.911844
6458_61323_000050_000002	The way is full of peril.	The way is full of peril.	true	1505.36	1506.91	21.408594
6458_61323_000050_000003	O Gilgamesh, how canst thou battle against the billows of death?"	O Gilgamesh, how canst thou battle against the billows of death?"	true	1507.1	1510.51	19.82463
6458_61323_000051_000000	At length, however, the sea lady revealed to the pilgrim that he might obtain the aid of the sailor, Arad Ea, who served his ancestor Pir-napishtim.	At length, however, the sea lady revealed to the pilgrim that he might obtain the aid of the sailor, Arad Ea, who served his ancestor p i r napishtim.	false	1511.03	1518.85	20.527884
6458_61323_000052_000000	Gilgamesh soon found where Arad Ea dwelt, and after a time prevailed upon him to act as ferryman.	Gilgamesh soon found where Arad Ea dwelt, and after a time prevailed upon him to act as ferryman.	false	1519.31	1524.6	19
6458_61323_000052_000001	Arad Ea required a helm for his boat, and Gilgamesh hastened to fashion one from a tree.	Arad Ea required a helm for his boat, and Gilgamesh hastened to fashion one from a tree.	false	1524.6	1529.38	21.598461
6458_61323_000052_000002	When it was fixed on, the boat was launched and the voyage began.	When it was fixed on, the boat was launched and the voyage began.	true	1529.57	1532.77	22.490963
6458_61323_000052_000003	Terrible experiences were passed through as they crossed the Sea of Death, but at length they drew nigh to the "Island of the Blessed" on which dwelt Pir-napishtim and his wife.	Terrible experiences were passed through as they crossed the Sea of Death, but at length they drew nigh to the "Island of the Blessed" on which dwelt p i r napishtim and his wife.	false	1533.2	1542.45	21.628992
6458_61323_000052_000004	Wearied by his exertions and wasted by disease, Gilgamesh sat resting in the boat.	Wearied by his exertions and wasted by disease, Gilgamesh sat resting in the boat.	false	1542.45	1546.87	17.077389
6458_61323_000052_000005	He did not go ashore.	He did not go ashore.	true	1546.91	1548.19	19.886164
6458_61323_000053_000000	Pir-napishtim had perceived the vessel crossing the Sea of Death and marvelled greatly.	p i r napishtim had perceived the vessel crossing the Sea of Death and marvelled greatly.	true	1548.53	1552.9	20.5164
6458_61323_000054_000000	The story is unfortunately interrupted again, but it appears that Gilgamesh poured into the ears of his ancestor the tale of his sufferings, adding that he feared death and desired to escape his fate.	The story is unfortunately interrupted again, but it appears that Gilgamesh poured into the ears of his ancestor the tale of his sufferings, adding that he feared death and desired to escape his fate.	false	1552.97	1563.34	19.616617
6458_61323_000055_000000	Pir-napishtim made answer, reminding the pilgrim that all men must die.	p i r napishtim made answer, reminding the pilgrim that all men must die.	true	1563.5	1566.97	18
6458_61323_000055_000001	Men built houses, sealed contracts, disputed one with another, and sowed seeds in the earth, but as long as they did so and the rivers rose in flood, so long would their fate endure.	Men built houses, sealed contracts, disputed one with another, and sowed seeds in the earth, but as long as they did so and the rivers rose in flood, so long would their fate endure.	true	1567.31	1576.78	18.81829
6458_61323_000055_000002	Nor could any man tell when his hour would come.	Nor could any man tell when his hour would come.	true	1577.03	1579.45	21.224817
6458_61323_000055_000003	The god of destiny measured out the span of life: he fixed the day of death, but never revealed his secrets.	The god of destiny measured out the span of life: he fixed the day of death, but never revealed his secrets.	true	1579.49	1584.76	20.542126
6458_61323_000056_000000	Gilgamesh then asked Pir-napishtim how it chanced that he was still alive.	Gilgamesh then asked p i r napishtim how it chanced that he was still alive.	true	1585.19	1589.02	20.645918
6458_61323_000056_000001	"Thou hast suffered no change," he said, "thou art even as I am.	"Thou hast suffered no change," he said, "thou art even as I am.	false	1589.12	1592.83	18.385683
6458_61323_000056_000002	Harden not thy heart against me, but reveal how thou hast obtained divine life in the company of the gods."	Harden not thy heart against me, but reveal how thou hast obtained divine life in the company of the gods."	true	1593.08	1598.46	18
6458_61323_000057_000000	Pir-napishtim thereupon related to his descendant the story of the deluge, which is dealt with fully in the next chapter.	p i r napishtim thereupon related to his descendant the story of the deluge, which is dealt with fully in the next chapter.	false	1598.46	1604.98	21.607958
6458_61323_000057_000001	The gods had resolved to destroy the world, and Ea in a dream revealed unto Pir-napishtim how he could escape.	The gods had resolved to destroy the world, and Ea in a dream revealed unto p i r napishtim how he could escape.	false	1605.17	1610.8	20.987892
6458_61323_000057_000002	He built a ship which was tossed about on the waters, and when the world had been destroyed, Bel discovered him and transported him to that island in the midst of the Sea of Death.	He built a ship which was tossed about on the waters, and when the world had been destroyed, Bel discovered him and transported him to that island in the midst of the Sea of Death.	false	1610.87	1618.51	20.713814
6458_61323_000058_000000	Gilgamesh sat in the boat listening to the words of his ancestor.	Gilgamesh sat in the boat listening to the words of his ancestor.	true	1618.79	1621.99	18.56671
6458_61323_000058_000001	When the narrative was ended, Pir-napishtim spoke sympathetically and said: "Who among the gods will restore thee to health, O Gilgamesh?	When the narrative was ended, p i r napishtim spoke sympathetically and said: "Who among the gods will restore thee to health, O Gilgamesh?	true	1622.09	1629.1	20.171103
6458_61323_000058_000002	Thou hast knowledge of my life, and thou shalt be given the life thou dost strive after.	Thou hast knowledge of my life, and thou shalt be given the life thou dost strive after.	false	1629.53	1633.84	21
6458_61323_000058_000003	Take heed, therefore, to what I say unto thee.	Take heed, therefore, to what I say unto thee.	false	1633.94	1636.68	19.727978
6458_61323_000058_000004	For six days and seven nights thou shalt not lie down, but remain sitting like one in the midst of grief."[215]	For six days and seven nights thou shalt not lie down, but remain sitting like one in the midst of grief."[two hundred fifteen]	false	1636.68	1642.14	19
6458_61323_000059_000000	Gilgamesh sat in the ship, and sleep enveloped him like to a black storm cloud.	Gilgamesh sat in the ship, and sleep enveloped him like to a black storm cloud.	true	1642.14	1646.49	22.39993
6458_61323_000060_000000	Pir-napishtim spoke to his wife and said: "Behold the hero who desireth to have life.	p i r napishtim spoke to his wife and said: "Behold the hero who desireth to have life.	false	1646.49	1651.66	21.616339
6458_61323_000060_000001	Sleep envelops him like to a black storm cloud."	Sleep envelops him like to a black storm cloud."	true	1651.66	1654.27	22.653898
6458_61323_000061_000000	To that lone man his wife made answer: "Lay thine hand upon him so that he may have perfect health and be enabled to return to his own land.	To that lone man his wife made answer: "Lay thine hand upon him so that he may have perfect health and be enabled to return to his own land.	false	1654.43	1661.59	20.197433
6458_61323_000061_000001	Give him power to pass through the mighty door by which he entered."	Give him power to pass through the mighty door by which he entered."	true	1661.75	1665.07	21.392069
6458_61323_000062_000000	Then Pir-napishtim addressed his wife, saying: "His sufferings make me sad.	Then p i r napishtim addressed his wife, saying: "His sufferings make me sad.	true	1665.14	1669.66	21.32184
