4629_19366_000000_000000	LECTURE VIII	LECTURE eight	false	0.96	20.59	20.924397
4629_19366_000039_000002	How far did it fall?	How far did it fall?	true	1047.21	1048.63	21.681034
4629_19366_000039_000003	The newly known size of the earth would modify the figures: with intense excitement he runs through the working, his mind leaps before his hand, and as he perceives the answer to be coming out right, all the infinite meaning and scope of his mighty discovery flashes upon him, and he can no longer see the paper.	The newly known size of the earth would modify the figures: with intense excitement he runs through the working, his mind leaps before his hand, and as he perceives the answer to be coming out right, all the infinite meaning and scope of his mighty discovery flashes upon him, and he can no longer see the paper.	false	1049.03	1065.04	17
4629_19366_000039_000004	He throws down the pen; and the secret of the universe is, to one man, known.	He throws down the pen; and the secret of the universe is, to one man, known.	true	1065.05	1069.96	25.441673
4629_19366_000040_000000	But of course it had to be worked out.	But of course it had to be worked out.	true	1070.9	1073.05	22.402094
4629_19366_000040_000001	The meaning might flash upon him, but its full detail required years of elaboration; and deeper and deeper consequences revealed themselves to him as he proceeded.	The meaning might flash upon him, but its full detail required years of elaboration; and deeper and deeper consequences revealed themselves to him as he proceeded.	false	1073.78	1082.95	21
4629_19366_000041_000000	For two years he devoted himself solely to this one object.	For two years he devoted himself solely to this one object.	true	1083.62	1086.88	18
4629_19366_000041_000001	During those years he lived but to calculate and think, and the most ludicrous stories are told concerning his entire absorption and inattention to ordinary affairs of life.	During those years he lived but to calculate and think, and the most ludicrous stories are told concerning his entire absorption and inattention to ordinary affairs of life.	true	1087.04	1097.05	21.013477
4629_19366_000041_000002	Thus, for instance, when getting up in a morning he would sit on the side of the bed half-dressed, and remain like that till dinner time.	Thus, for instance, when getting up in a morning he would sit on the side of the bed half dressed, and remain like that till dinner time.	true	1097.15	1104.61	20.646402
4629_19366_000041_000003	Often he would stay at home for days together, eating what was taken to him, but without apparently noticing what he was doing.	Often he would stay at home for days together, eating what was taken to him, but without apparently noticing what he was doing.	true	1104.8	1111.24	19
4629_19366_000042_000000	One day an intimate friend, Dr. Stukely, called on him and found on the table a cover laid for his solitary dinner.	One day an intimate friend, dr Stukely, called on him and found on the table a cover laid for his solitary dinner.	true	1111.94	1118.95	17.880682
4629_19366_000042_000001	After waiting a long time, Dr. Stukely removed the cover and ate the chicken underneath it, replacing and covering up the bones again.	After waiting a long time, dr Stukely removed the cover and ate the chicken underneath it, replacing and covering up the bones again.	true	1119.98	1126.93	20
4629_19366_000042_000002	At length Newton appeared, and after greeting his friend, sat down to dinner, but on lifting the cover he said in surprise, "Dear me, I thought I had not dined, but I see I have."	At length Newton appeared, and after greeting his friend, sat down to dinner, but on lifting the cover he said in surprise, "Dear me, I thought I had not dined, but I see I have."	false	1127.03	1137.01	20
4629_19366_000043_000000	It was by this continuous application that the _Principia_ was accomplished.	It was by this continuous application that the underscore Principia underscore was accomplished.	false	1137.41	1141.72	24.74062
4629_19366_000043_000001	Probably nothing of the first magnitude can be accomplished without something of the same absorbed unconsciousness and freedom from interruption.	Probably nothing of the first magnitude can be accomplished without something of the same absorbed unconsciousness and freedom from interruption.	true	1142	1149.04	16
4629_19366_000043_000002	But though desirable and essential for the _work_, it was a severe tax upon the powers of the _man_.	But though desirable and essential for the underscore work underscore, it was a severe tax upon the powers of the underscore man underscore.	false	1149.32	1155.15	18.888348
4629_19366_000043_000003	There is, in fact, no doubt that Newton's brain suffered temporary aberration after this effort for a short time.	There is, in fact, no doubt that Newton's brain suffered temporary aberration after this effort for a short time.	true	1155.15	1161.04	18
4629_19366_000043_000004	The attack was slight, and it has been denied; but there are letters extant which are inexplicable otherwise, and moreover after a year or two he writes to his friends apologizing for strange and disjointed epistles, which he believed he had written without understanding clearly what he wrote.	The attack was slight, and it has been denied; but there are letters extant which are inexplicable otherwise, and moreover after a year or two he writes to his friends apologizing for strange and disjointed epistles, which he believed he had written without understanding clearly what he wrote.	false	1161.32	1176.19	18
4629_19366_000043_000005	The derangement was, however, both slight and temporary: and it is only instructive to us as showing at what cost such a work as the _Principia_ must be produced, even by so mighty a mind as that of Newton.	The derangement was, however, both slight and temporary: and it is only instructive to us as showing at what cost such a work as the underscore Principia underscore must be produced, even by so mighty a mind as that of Newton.	false	1176.32	1187.91	19.398369
4629_19366_000044_000000	The first part of the work having been done, any ordinary mortal would have proceeded to publish it; but the fact is that after he had sent to the Royal Society his papers on optics, there had arisen controversies and objections; most of them rather paltry, to which he felt compelled to find answers.	The first part of the work having been done, any ordinary mortal would have proceeded to publish it; but the fact is that after he had sent to the Royal Society his papers on optics, there had arisen controversies and objections; most of them rather paltry, to which he felt compelled to find answers.	true	1187.91	1204.51	21.298561
4629_19366_000044_000001	Many men would have enjoyed this part of the work, and taken it as evidence of interest and success.	Many men would have enjoyed this part of the work, and taken it as evidence of interest and success.	true	1204.61	1209.79	17.406078
4629_19366_000044_000002	But to Newton's shy and retiring disposition these discussions were merely painful.	But to Newton's shy and retiring disposition these discussions were merely painful.	true	1209.98	1214.26	19
4629_19366_000044_000003	He writes, indeed, his answers with great patience and ability, and ultimately converts the more reasonable of his opponents, but he relieves his mind in the following letter to the secretary of the Royal Society: "I see I have made myself a slave to philosophy, but if I get free of this present business I will resolutely bid adieu to it eternally, except what I do for my private satisfaction or leave to come out after me; for I see a man must either resolve to put out nothing new, or to become a slave to defend it." And again in a letter to Leibnitz: "I have been so persecuted with discussions arising out of my theory of light that I blamed my own imprudence for parting with so substantial a blessing as my quiet to run after a shadow."	He writes, indeed, his answers with great patience and ability, and ultimately converts the more reasonable of his opponents, but he relieves his mind in the following letter to the secretary of the Royal Society: "I see I have made myself a slave to philosophy, but if I get free of this present business I will resolutely bid adieu to it eternally, except what I do for my private satisfaction or leave to come out after me; for I see a man must either resolve to put out nothing new, or to become a slave to defend it." And again in a letter to Leibnitz: "I have been so persecuted with discussions arising out of my theory of light that I blamed my own imprudence for parting with so substantial a blessing as my quiet to run after a shadow."	false	1214.45	1264.5	19.947939
4629_19366_000044_000004	This shows how much he cared for contemporary fame.	This shows how much he cared for contemporary fame.	true	1264.5	1267.54	21.062542
4629_19366_000045_000000	So he locked up the first part of the _Principia_ in his desk, doubtless intending it to be published after his death.	So he locked up the first part of the underscore Principia underscore in his desk, doubtless intending it to be published after his death.	false	1268.96	1275.52	24.91303
4629_19366_000045_000001	But fortunately this was not so to be.	But fortunately this was not so to be.	false	1275.62	1278.54	19.754686
4629_19366_000046_000000	In 1683, among the leading lights of the Royal Society, the same sort of notions about gravity and the solar system began independently to be bruited.	In sixteen eighty three, among the leading lights of the Royal Society, the same sort of notions about gravity and the solar system began independently to be bruited.	true	1278.54	1287.76	18.804716
4629_19366_000046_000001	The theory of gravitation seemed to be in the air, and Wren, Hooke, and Halley had many a talk about it.	The theory of gravitation seemed to be in the air, and Wren, Hooke, and Halley had many a talk about it.	true	1288.7	1294.9	20.252567
4629_19366_000047_000000	Hooke showed an experiment with a pendulum, which he likened to a planet going round the sun.	Hooke showed an experiment with a pendulum, which he likened to a planet going round the sun	false	1294.9	1299.52	20
4629_19366_000047_000001	The analogy is more superficial than real.	The analogy is more superficial than real.	true	1299.92	1302.4	16
4629_19366_000047_000002	It does not obey Kepler's laws; still it was a striking experiment.	It does not obey Kepler's laws; still it was a striking experiment.	true	1302.4	1306.69	21.447203
4629_19366_000047_000003	They had guessed at a law of inverse squares, and their difficulty was to prove what curve a body subject to it would describe.	They had guessed at a law of inverse squares, and their difficulty was to prove what curve a body subject to it would describe.	true	1307	1314.76	20
4629_19366_000047_000004	They knew it ought to be an ellipse if it was to serve to explain the planetary motion, and Hooke said he could prove that an ellipse it was; but he was nothing of a mathematician, and the others scarcely believed him.	They knew it ought to be an ellipse if it was to serve to explain the planetary motion, and Hooke said he could prove that an ellipse it was; but he was nothing of a mathematician, and the others scarcely believed him.	true	1315.01	1327.45	20
4629_19366_000047_000005	Undoubtedly he had shrewd inklings of the truth, though his guesses were based on little else than a most sagacious intuition.	Undoubtedly he had shrewd inklings of the truth, though his guesses were based on little else than a most sagacious intuition.	true	1327.94	1335.46	18
4629_19366_000047_000006	He surmised also that gravity was the force concerned, and asserted that the path of an ordinary projectile was an ellipse, like the path of a planet--which is quite right.	He surmised also that gravity was the force concerned, and asserted that the path of an ordinary projectile was an ellipse, like the path of a planet-which is quite right.	true	1335.68	1345.42	20.47315
4629_19366_000047_000007	In fact the beginnings of the discovery were beginning to dawn upon him in the well-known way in which things do dawn upon ordinary men of genius: and had Newton not lived we should doubtless, by the labours of a long chain of distinguished men, beginning with Hooke, Wren, and Halley, have been now in possession of all the truths revealed by the _Principia_.	In fact the beginnings of the discovery were beginning to dawn upon him in the well-known way in which things do dawn upon ordinary men of genius: and had Newton not lived we should doubtless, by the labours of a long chain of distinguished men, beginning with Hooke, Wren, and Halley, have been now in possession of all the truths revealed by the underscore Principia underscore.	false	1345.82	1366.86	18
4629_19366_000047_000008	We should never have had them stated in the same form, nor proved with the same marvellous lucidity and simplicity, but the facts themselves we should by this time have arrived at.	We should never have had them stated in the same form, nor proved with the same marvellous lucidity and simplicity, but the facts themselves we should by this time have arrived at.	true	1366.86	1377.07	21
4629_19366_000047_000009	Their developments and completions, due to such men as Clairaut, Euler, D'Alembert, Lagrange, Laplace, Airy, Leverrier, Adams, we should of course not have had to the same extent; because the lives and energies of these great men would have been partially consumed in obtaining the main facts themselves.	Their developments and completions, due to such men as Clairaut, Euler, D'Alembert, Lagrange, Laplace, Airy, Leverrier, Adams, we should of course not have had to the same extent; because the lives and energies of these great men would have been partially consumed in obtaining the main facts themselves.	true	1377.8	1399.12	20.566494
4629_19366_000048_000000	The youngest of the three questioners at the time we are speaking of was Edmund Halley, an able and remarkable man.	The youngest of the three questioners at the time we are speaking of was Edmund Halley, an able and remarkable man.	false	1399.76	1406.8	19
4629_19366_000048_000001	He had been at Cambridge, doubtless had heard Newton lecture, and had acquired a great veneration for him.	He had been at Cambridge, doubtless had heard Newton lecture, and had acquired a great veneration for him.	true	1407.32	1414.04	21.780922
4629_19366_000049_000000	In January, 1684, we find Wren offering Hooke and Halley a prize, in the shape of a book worth forty shillings, if they would either of them bring him within two months a demonstration that the path of a planet subject to an inverse square law would be an ellipse.	In January, sixteen eighty four, we find Wren offering Hooke and Halley a prize, in the shape of a book worth forty shillings, if they would either of them bring him within two months a demonstration that the path of a planet subject to an inverse square law would be an ellipse.	true	1414.04	1429.51	19
4629_19366_000049_000001	Not in two months, nor yet in seven, was there any proof forthcoming.	Not in two months, nor yet in seven, was there any proof forthcoming.	true	1430.84	1435.24	19.80924
4629_19366_000049_000002	So at last, in August, Halley went over to Cambridge to speak to Newton about the difficult problem and secure his aid.	So at last, in August, Halley went over to Cambridge to speak to Newton about the difficult problem and secure his aid.	true	1435.25	1441.6	20.812386
4629_19366_000049_000003	Arriving at his rooms he went straight to the point.	Arriving at his rooms he went straight to the point.	true	1441.73	1444.42	19.298489
4629_19366_000049_000004	He said, "What path will a body describe if it be attracted by a centre with a force varying as the inverse square of the distance." To which Newton at once replied, "An ellipse." "How on earth do you know?" said Halley in amazement.	He said, "What path will a body describe if it be attracted by a centre with a force varying as the inverse square of the distance." To which Newton at once replied, "An ellipse." "How on earth do you know?" said Halley in amazement.	true	1444.55	1458.91	21.320559
4629_19366_000049_000005	"Why, I have calculated it," and began hunting about for the paper.	"Why, I have calculated it," and began hunting about for the paper.	true	1459.1	1462.93	22.182821
4629_19366_000049_000006	He actually couldn't find it just then, but sent it him shortly by post, and with it much more--in fact, what appeared to be a complete treatise on motion in general.	He actually couldn't find it just then, but sent it him shortly by post, and with it much more-in fact, what appeared to be a complete treatise on motion in general.	true	1463.06	1472.32	21.262848
4629_19366_000050_000000	With his valuable burden Halley hastened to the Royal Society and told them what he had discovered.	With his valuable burden Halley hastened to the Royal Society and told them what he had discovered.	true	1473.26	1478.8	16.626616
4629_19366_000050_000001	The Society at his representation wrote to Mr. Newton asking leave that it might be printed.	The Society at his representation wrote to mr Newton asking leave that it might be printed.	true	1479.02	1484.86	21.415123
4629_19366_000050_000002	To this he consented; but the Royal Society wisely appointed Mr. Halley to see after him and jog his memory, in case he forgot about it.	To this he consented; but the Royal Society wisely appointed mr Halley to see after him and jog his memory, in case he forgot about it.	true	1485.17	1494.28	20.715214
4629_19366_000050_000003	However, he set to work to polish it up and finish it, and added to it a great number of later developments and embellishments, especially the part concerning the lunar theory, which gave him a deal of trouble--and no wonder; for in the way he has put it there never was a man yet living who could have done the same thing.	However, he set to work to polish it up and finish it, and added to it a great number of later developments and embellishments, especially the part concerning the lunar theory, which gave him a deal of trouble-and no wonder; for in the way he has put it there never was a man yet living who could have done the same thing.	true	1494.59	1511.35	21.310074
4629_19366_000050_000004	Mathematicians regard the achievement now as men might stare at the work of some demigod of a bygone age, wondering what manner of man this was, able to wield such ponderous implements with such apparent ease.	Mathematicians regard the achievement now as men might stare at the work of some demigod of a bygone age, wondering what manner of man this was, able to wield such ponderous implements with such apparent ease.	true	1511.75	1524.97	20
4629_19366_000051_000000	To Halley the world owes a great debt of gratitude--first, for discovering the _Principia_; second, for seeing it through the press; and third, for defraying the cost of its publication out of his own scanty purse.	To Halley the world owes a great debt of gratitude-first, for discovering the underscore Principia underscore; second, for seeing it through the press; and third, for defraying the cost of its publication out of his own scanty purse.	false	1525.58	1537.66	21
4629_19366_000051_000001	For though he ultimately suffered no pecuniary loss, rather the contrary, yet there was considerable risk in bringing out a book which not a dozen men living could at the time comprehend.	For though he ultimately suffered no pecuniary loss, rather the contrary, yet there was considerable risk in bringing out a book which not a dozen men living could at the time comprehend.	true	1538.18	1549.45	20.308844
4629_19366_000051_000002	It is no small part of the merit of Halley that he recognized the transcendent value of the yet unfinished work, that he brought it to light, and assisted in its becoming understood to the best of his ability.	It is no small part of the merit of Halley that he recognized the transcendent value of the yet unfinished work, that he brought it to light, and assisted in its becoming understood to the best of his ability.	true	1549.76	1561.57	20.092884
4629_19366_000052_000000	Though Halley afterwards became Astronomer-Royal, lived to the ripe old age of eighty-six, and made many striking observations, yet he would be the first to admit that nothing he ever did was at all comparable in importance with his discovery of the _Principia_; and he always used to regard his part in it with peculiar pride and pleasure.	Though Halley afterwards became Astronomer Royal, lived to the ripe old age of eighty six, and made many striking observations, yet he would be the first to admit that nothing he ever did was at all comparable in importance with his discovery of the underscore Principia underscore; and he always used to regard his part in it with peculiar pride and pleasure.	false	1562.18	1583.29	21.654718
4629_19366_000053_000000	And how was the _Principia_ received?	And how was the underscore Principia underscore received?	false	1584.05	1586.32	22.042671
4629_19366_000053_000001	Considering the abstruse nature of its subject, it was received with great interest and enthusiasm.	Considering the abstruse nature of its subject, it was received with great interest and enthusiasm.	false	1586.84	1591.93	19
4629_19366_000053_000002	In less than twenty years the edition was sold out, and copies fetched large sums.	In less than twenty years the edition was sold out, and copies fetched large sums.	true	1592.12	1596.79	20.529774
4629_19366_000053_000003	We hear of poor students copying out the whole in manuscript in order to possess a copy--not by any means a bad thing to do, however many copies one may possess.	We hear of poor students copying out the whole in manuscript in order to possess a copy-not by any means a bad thing to do, however many copies one may possess.	true	1597.1	1606.44	17
4629_19366_000053_000004	The only useful way really to read a book like that is to pore over every sentence: it is no book to be skimmed.	The only useful way really to read a book like that is to pore over every sentence: it is no book to be skimmed.	true	1606.44	1613.5	20.20934
4629_19366_000054_000000	While the _Principia_ was preparing for the press a curious incident of contact between English history and the University occurred.	While the underscore Principia underscore was preparing for the press a curious incident of contact between English history and the University occurred.	false	1613.87	1621.42	18
4629_19366_000054_000001	It seems that James II., in his policy of Catholicising the country, ordered both Universities to elect certain priests to degrees without the ordinary oaths.	It seems that james the second., in his policy of Catholicising the country, ordered both Universities to elect certain priests to degrees without the ordinary oaths.	false	1621.97	1632.19	20
4629_19366_000054_000002	Oxford had given way, and the Dean of Christ Church was a creature of James's choosing.	Oxford had given way, and the Dean of Christ Church was a creature of James's choosing.	true	1633.13	1638.88	22.69669
4629_19366_000054_000003	Cambridge rebelled, and sent eight of its members, among them Mr. Newton, to plead their cause before the Court of High Commission.	Cambridge rebelled, and sent eight of its members, among them mr Newton, to plead their cause before the Court of High Commission.	true	1639.28	1645.84	19
4629_19366_000054_000004	Judge Jeffreys presided over the Court, and threatened and bullied with his usual insolence.	Judge Jeffreys presided over the Court, and threatened and bullied with his usual insolence.	true	1646.69	1651.9	16
4629_19366_000054_000005	The Vice-Chancellor of Cambridge was deprived of office, the other deputies were silenced and ordered away.	The Vice Chancellor of Cambridge was deprived of office, the other deputies were silenced and ordered away.	true	1652.63	1659.29	19.581018
4629_19366_000054_000006	From the precincts of this court of justice Newton returned to Trinity College to complete the _Principia_.	From the precincts of this court of justice Newton returned to Trinity College to complete the underscore Principia underscore.	false	1659.29	1666.77	22.512627
4629_19366_000055_000000	By this time Newton was only forty-five years old, but his main work was done.	By this time Newton was only forty five years old, but his main work was done.	true	1666.77	1671.67	20
4629_19366_000055_000001	His method of fluxions was still unpublished; his optics was published only imperfectly; a second edition of the _Principia_, with additions and improvements, had yet to appear; but fame had now come upon him, and with fame worries of all kinds.	His method of fluxions was still unpublished; his optics was published only imperfectly; a second edition of the underscore Principia underscore, with additions and improvements, had yet to appear; but fame had now come upon him, and with fame worries of all kinds.	false	1672.01	1688.04	21.970133
4629_19366_000056_000000	By some fatality, principally no doubt because of the interest they excited, every discovery he published was the signal for an outburst of criticism and sometimes of attack.	By some fatality, principally no doubt because of the interest they excited, every discovery he published was the signal for an outburst of criticism and sometimes of attack.	true	1688.04	1698.76	21.479992
4629_19366_000056_000001	I shall not go into these matters: they are now trivial enough, but it is necessary to mention them, because to Newton they evidently loomed large and terrible, and occasioned him acute torment.	I shall not go into these matters: they are now trivial enough, but it is necessary to mention them, because to Newton they evidently loomed large and terrible, and occasioned him acute torment.	true	1699.13	1709.97	19
4629_19366_000057_000000	[Illustration: FIG.	[Illustration: FIG.	false	1709.97	1709.97	
4629_19366_000057_000001	68.--Newton when young. (_From an engraving by B. Reading after Sir Peter Lely._)]	sixty eight.--Newton when young. (underscore From an engraving by b Reading after Sir peter Lely.underscore)]	false	1709.97	1709.98	-20
4629_19366_000058_000000	No sooner was the _Principia_ put than Hooke put in his claims for priority.	No sooner was the underscore Principia underscore put than Hooke put in his claims for priority.	false	1709.98	1714	21
4629_19366_000058_000001	And indeed his claims were not altogether negligible; for vague ideas of the same sort had been floating in his comprehensive mind, and he doubtless felt indistinctly conscious of a great deal more than he could really state or prove.	And indeed his claims were not altogether negligible; for vague ideas of the same sort had been floating in his comprehensive mind, and he doubtless felt indistinctly conscious of a great deal more than he could really state or prove.	true	1714.16	1727.59	18.351046
4629_19366_000059_000000	By indiscreet friends these two great men were set somewhat at loggerheads, and worse might have happened had they not managed to come to close quarters, and correspond privately in a quite friendly manner, instead of acting through the mischievous medium of third parties.	By indiscreet friends these two great men were set somewhat at loggerheads, and worse might have happened had they not managed to come to close quarters, and correspond privately in a quite friendly manner, instead of acting through the mischievous medium of third parties.	true	1727.81	1743.01	21
4629_19366_000059_000001	In the next edition Newton liberally recognizes the claims of both Hooke and Wren.	In the next edition Newton liberally recognizes the claims of both Hooke and Wren.	true	1743.11	1748.35	20.107897
4629_19366_000059_000002	However, he takes warning betimes of what he has to expect, and writes to Halley that he will only publish the first two books, those containing general theorems on motion.	However, he takes warning betimes of what he has to expect, and writes to Halley that he will only publish the first two books, those containing general theorems on motion.	true	1748.51	1758.01	19.885138
4629_19366_000059_000003	The third book--concerning the system of the world, _i.e._ the application to the solar system--he says "I now design to suppress.	The third book-concerning the system of the world, underscore i e underscore the application to the solar system-he says "I now design to suppress.	false	1758.32	1768.6	22.634329
4629_19366_000059_000004	Philosophy is such an impertinently litigious lady that a man had as good be engaged in law-suits as have to do with her.	Philosophy is such an impertinently litigious lady that a man had as good be engaged in law suits as have to do with her.	true	1769.24	1776.13	16
4629_19366_000059_000005	I found it so formerly, and now I am no sooner come near her again but she gives me warning.	I found it so formerly, and now I am no sooner come near her again but she gives me warning.	true	1776.29	1781.65	19.500164
4629_19366_000059_000006	The two books without the third will not so well bear the title 'Mathematical Principles of Natural Philosophy,' and therefore I had altered it to this, 'On the Free Motion of Two Bodies'; but on second thoughts I retain the former title: 'twill help the sale of the book--which I ought not to diminish now 'tis yours."	The two books without the third will not so well bear the title 'Mathematical Principles of Natural Philosophy,' and therefore I had altered it to this, 'On the Free Motion of Two Bodies'; but on second thoughts I retain the former title: 'twill help the sale of the book-which I ought not to diminish now 'tis yours."	false	1781.84	1800.39	20.902798
4629_19366_000060_000000	However, fortunately, Halley was able to prevail upon him to publish the third book also.	However, fortunately, Halley was able to prevail upon him to publish the third book also.	true	1800.39	1805.83	21.154722
4629_19366_000060_000001	It is, indeed, the most interesting and popular of the three, as it contains all the direct applications to astronomy of the truths established in the other two.	It is, indeed, the most interesting and popular of the three, as it contains all the direct applications to astronomy of the truths established in the other two.	true	1806.14	1814.35	16.352924
4629_19366_000061_000000	Some years later, when his method of fluxions was published, another and a worse controversy arose--this time with Leibnitz, who had also independently invented the differential calculus.	Some years later, when his method of fluxions was published, another and a worse controversy arose-this time with Leibnitz, who had also independently invented the differential calculus.	true	1815.26	1826.53	21.115292
4629_19366_000061_000001	It was not so well recognized then how frequently it happens that two men independently and unknowingly work at the very same thing at the same time.	It was not so well recognized then how frequently it happens that two men independently and unknowingly work at the very same thing at the same time.	true	1827.2	1835.44	14
4629_19366_000061_000002	The history of science is now full of such instances; but then the friends of each accused the other of plagiarism.	The history of science is now full of such instances; but then the friends of each accused the other of plagiarism.	true	1835.54	1841.38	19.14439
4629_19366_000062_000000	I will not go into the controversy: it is painful and useless.	I will not go into the controversy: it is painful and useless.	true	1841.9	1845.04	18
4629_19366_000062_000001	It only served to embitter the later years of two great men, and it continued long after Newton's death--long after both their deaths.	It only served to embitter the later years of two great men, and it continued long after Newton's death-long after both their deaths.	true	1845.26	1852.65	19
4629_19366_000062_000002	It can hardly be called ancient history even now.	It can hardly be called ancient history even now.	false	1852.65	1855.81	20.797316
4629_19366_000063_000000	But fame brought other and less unpleasant distractions than controversies.	But fame brought other and less unpleasant distractions than controversies.	true	1856.48	1860.76	19
4629_19366_000063_000001	We are a curious, practical, and rather stupid people, and our one idea of honouring a man is to _vote_ for him in some way or other; so they sent Newton to Parliament.	We are a curious, practical, and rather stupid people, and our one idea of honouring a man is to underscore vote underscore for him in some way or other; so they sent Newton to Parliament.	false	1861.01	1870.81	19.267282
4629_19366_000063_000002	He went, I believe, as a Whig, but it is not recorded that he spoke.	He went, I believe, as a Whig, but it is not recorded that he spoke.	true	1870.94	1875.3	22
4629_19366_000063_000003	It is, in fact, recorded that he was once expected to speak when on a Royal Commission about some question of chronometers, but that he would not.	It is, in fact, recorded that he was once expected to speak when on a Royal Commission about some question of chronometers, but that he would not.	true	1875.3	1882.96	21
4629_19366_000063_000004	However, I dare say he made a good average member.	However, I dare say he made a good average member.	true	1882.96	1886.05	20.279669
4629_19366_000064_000000	Then a little later it was realized that Newton was poor, that he still had to teach for his livelihood, and that though the Crown had continued his fellowship to him as Lucasian Professor without the necessity of taking orders, yet it was rather disgraceful that he should not be better off.	Then a little later it was realized that Newton was poor, that he still had to teach for his livelihood, and that though the Crown had continued his fellowship to him as Lucasian Professor without the necessity of taking orders, yet it was rather disgraceful that he should not be better off.	true	1887.68	1903.12	20.458721
4629_19366_000064_000001	So an appeal was made to the Government on his behalf, and Lord Halifax, who exerted himself strongly in the matter, succeeding to office on the accession of William III., was able to make him ultimately Master of the Mint, with a salary of some L1,200 a year.	So an appeal was made to the Government on his behalf, and Lord Halifax, who exerted himself strongly in the matter, succeeding to office on the accession of William the third., was able to make him ultimately Master of the Mint, with a salary of some L one thousand two hundred a year.	false	1903.37	1918.18	16
4629_19366_000064_000002	I believe he made rather a good Master, and turned out excellent coins: certainly he devoted his attention to his work there in a most exemplary manner.	I believe he made rather a good Master, and turned out excellent coins: certainly he devoted his attention to his work there in a most exemplary manner.	true	1918.67	1927	17.145138
4629_19366_000065_000000	But what a pitiful business it all is!	But what a pitiful business it all is!	true	1927.7	1929.73	20
4629_19366_000065_000001	Here is a man sent by Heaven to do certain things which no man else could do, and so long as he is comparatively unknown he does them; but so soon as he is found out, he is clapped into a routine office with a big salary: and there is, comparatively speaking, an end of him.	Here is a man sent by Heaven to do certain things which no man else could do, and so long as he is comparatively unknown he does them; but so soon as he is found out, he is clapped into a routine office with a big salary: and there is, comparatively speaking, an end of him.	true	1929.74	1946.32	19.322784
4629_19366_000065_000002	It is not to be supposed that he had lost his power, for he frequently solved problems very quickly which had been given out by great Continental mathematicians as a challenge to the world.	It is not to be supposed that he had lost his power, for he frequently solved problems very quickly which had been given out by great Continental mathematicians as a challenge to the world.	true	1947.41	1957.18	20
4629_19366_000066_000000	We may ask why Newton allowed himself to be thus bandied about instead of settling himself down to the work in which he was so pre-eminently great.	We may ask why Newton allowed himself to be thus bandied about instead of settling himself down to the work in which he was so pre eminently great.	true	1957.18	1965.34	14
4629_19366_000066_000001	Well, I expect your truly great man never realizes how great he is, and seldom knows where his real strength lies.	Well, I expect your truly great man never realizes how great he is, and seldom knows where his real strength lies.	true	1965.56	1972.3	19
4629_19366_000066_000002	Certainly Newton did not know it.	Certainly Newton did not know it.	true	1972.34	1974.49	20.549297
4629_19366_000066_000003	He several times talks of giving up philosophy altogether; and though he never really does it, and perhaps the feeling is one only born of some temporary overwork, yet he does not sacrifice everything else to it as he surely must had he been conscious of his own greatness. No; self-consciousness was the last thing that affected him.	He several times talks of giving up philosophy altogether; and though he never really does it, and perhaps the feeling is one only born of some temporary overwork, yet he does not sacrifice everything else to it as he surely must had he been conscious of his own greatness. No; self consciousness was the last thing that affected him.	true	1975.4	1995.01	20.802023
4629_19366_000066_000004	It is for a great man's contemporaries to discover him, to make much of him, and to put him in surroundings where he may flourish luxuriantly in his own heaven-intended way.	It is for a great man's contemporaries to discover him, to make much of him, and to put him in surroundings where he may flourish luxuriantly in his own heaven intended way.	true	1995.26	2005.66	21
4629_19366_000067_000000	However, it is difficult for us to judge of these things.	However, it is difficult for us to judge of these things.	true	2006.3	2009.95	22.11929
4629_19366_000067_000001	Perhaps if he had been maintained at the national expense to do that for which he was preternaturally fitted, he might have worn himself out prematurely; whereas by giving him routine work the scientific world got the benefit of his matured wisdom and experience.	Perhaps if he had been maintained at the national expense to do that for which he was preternaturally fitted, he might have worn himself out prematurely; whereas by giving him routine work the scientific world got the benefit of his matured wisdom and experience.	true	2010.08	2025.25	20
4629_19366_000067_000002	It was no small matter to the young Royal Society to be able to have him as their President for twenty-four years.	It was no small matter to the young Royal Society to be able to have him as their President for twenty four years.	true	2025.56	2031.31	16
4629_19366_000067_000003	His portrait has hung over the President's chair ever since, and there I suppose it will continue to hang until the Royal Society becomes extinct.	His portrait has hung over the President's chair ever since, and there I suppose it will continue to hang until the Royal Society becomes extinct.	true	2031.47	2039.08	19
4629_19366_000068_000000	The events of his later life I shall pass over lightly.	The events of his later life I shall pass over lightly.	true	2039.72	2042.7	21
4629_19366_000068_000001	He lived a calm, benevolent life, universally respected and beloved.	He lived a calm, benevolent life, universally respected and beloved.	true	2042.7	2047.21	19.813374
4629_19366_000068_000002	His silver-white hair when he removed his peruke was a venerable spectacle.	His silver white hair when he removed his peruke was a venerable spectacle.	true	2047.49	2052.69	20.59568
4629_19366_000068_000003	A lock of it is still preserved, with many other relics, in the library of Trinity College.	A lock of it is still preserved, with many other relics, in the library of Trinity College.	true	2052.69	2057.86	19
4629_19366_000068_000004	He died quietly, after a painful illness, at the ripe age of eighty-five.	He died quietly, after a painful illness, at the ripe age of eighty five.	true	2057.86	2062.48	20.640661
4629_19366_000068_000005	His body lay in state in the Jerusalem Chamber, and he was buried in Westminster Abbey, six peers bearing the pall.	His body lay in state in the Jerusalem Chamber, and he was buried in Westminster Abbey, six peers bearing the pall.	true	2062.55	2070.31	20.87561
