7245_104890_000000_000000	TIME AND ETERNITY.	TIME AND ETERNITY.	true	12.51	13.83	17
7245_104890_000149_000000	It was not frost, for on my flesh I felt siroccos crawl, -- Nor fire, for just my marble feet Could keep a chancel cool.	It was not frost, for on my flesh I felt siroccos crawl, -- Nor fire, for just my marble feet Could keep a chancel cool.	true	1140.35	1149.04	22.369146
7245_104890_000150_000000	And yet it tasted like them all; The figures I have seen Set orderly, for burial, Reminded me of mine,	And yet it tasted like them all; The figures I have seen Set orderly, for burial, Reminded me of mine,	true	1149.71	1156.57	21
7245_104890_000151_000000	As if my life were shaven And fitted to a frame, And could not breathe without a key; And 't was like midnight, some,	As if my life were shaven And fitted to a frame, And could not breathe without a key; And 't was like midnight, some,	true	1157	1164.91	23.796583
7245_104890_000152_000000	When everything that ticked has stopped, And space stares, all around, Or grisly frosts, first autumn morns, Repeal the beating ground.	When everything that ticked has stopped, And space stares, all around, Or grisly frosts, first autumn morns, Repeal the beating ground.	true	1165.52	1173.97	22.243748
7245_104890_000153_000000	But most like chaos, -- stopless, cool, -- Without a chance or spar, Or even a report of land To justify despair.	But most like chaos, -- stopless, cool, -- Without a chance or spar, Or even a report of land To justify despair.	true	1174.34	1182.7	25.236933
7245_104890_000154_000000	XXXVI.	thirty six.	true	1186.88	1188.07	21.450191
7245_104890_000155_000000	TILL THE END.	TILL THE END.	true	1188.26	1189.36	22.120914
7245_104890_000156_000000	I should not dare to leave my friend, Because -- because if he should die While I was gone, and I -- too late -- Should reach the heart that wanted me;	I should not dare to leave my friend, Because -- because if he should die While I was gone, and I -- too late -- Should reach the heart that wanted me;	false	1190	1198.15	23
7245_104890_000157_000000	If I should disappoint the eyes That hunted, hunted so, to see, And could not bear to shut until They "noticed" me -- they noticed me;	If I should disappoint the eyes That hunted, hunted so, to see, And could not bear to shut until They "noticed" me -- they noticed me;	true	1198.7	1207.72	22.700432
7245_104890_000158_000000	If I should stab the patient faith So sure I 'd come -- so sure I 'd come, It listening, listening, went to sleep Telling my tardy name, --	If I should stab the patient faith So sure I 'd come -- so sure I 'd come, It listening, listening, went to sleep Telling my tardy name, --	false	1208.42	1217.8	23.156815
7245_104890_000159_000000	My heart would wish it broke before, Since breaking then, since breaking then, Were useless as next morning's sun, Where midnight frosts had lain!	My heart would wish it broke before, Since breaking then, since breaking then, Were useless as next morning's sun, Where midnight frosts had lain!	true	1218.26	1231.03	21.7227
7245_104890_000160_000000	XXXVII.	thirty seven.	true	1231.52	1232.65	19.2549
7245_104890_000161_000000	VOID.	VOID.	true	1232.81	1233.76	24.218477
7245_104890_000162_000000	Great streets of silence led away To neighborhoods of pause; Here was no notice, no dissent, No universe, no laws.	Great streets of silence led away To neighborhoods of pause; Here was no notice, no dissent, No universe, no laws.	true	1234.52	1242.82	20.118792
7245_104890_000163_000000	By clocks 't was morning, and for night The bells at distance called; But epoch had no basis here, For period exhaled.	By clocks 't was morning, and for night The bells at distance called; But epoch had no basis here, For period exhaled.	true	1243.16	1251.64	23.795073
7245_104890_000164_000000	XXXVIII.	thirty eight.	true	1257.47	1258.51	22.977537
7245_104890_000165_000000	A throe upon the features A hurry in the breath, An ecstasy of parting Denominated "Death," --	A throe upon the features A hurry in the breath, An ecstasy of parting Denominated "Death," --	true	1258.82	1265.95	22.733435
7245_104890_000166_000000	An anguish at the mention, Which, when to patience grown, I 've known permission given To rejoin its own.	An anguish at the mention, Which, when to patience grown, I 've known permission given To rejoin its own.	false	1266.32	1279.18	21.535103
7245_104890_000167_000000	XXXIX.	thirty nine.	true	1279.88	1281.07	21.526608
7245_104890_000168_000000	SAVED!	SAVED!	true	1281.41	1282.57	22.858507
7245_104890_000169_000000	Of tribulation these are they Denoted by the white; The spangled gowns, a lesser rank Of victors designate.	Of tribulation these are they Denoted by the white; The spangled gowns, a lesser rank Of victors designate.	true	1283.03	1291.42	22.13175
7245_104890_000170_000000	All these did conquer; but the ones Who overcame most times Wear nothing commoner than snow, No ornament but palms.	All these did conquer; but the ones Who overcame most times Wear nothing commoner than snow, No ornament but palms.	true	1292	1300.54	22.77579
7245_104890_000171_000000	Surrender is a sort unknown On this superior soil; Defeat, an outgrown anguish, Remembered as the mile	Surrender is a sort unknown On this superior soil; Defeat, an outgrown anguish, Remembered as the mile	true	1301.3	1309.39	20.751026
7245_104890_000172_000000	Our panting ankle barely gained When night devoured the road; But we stood whispering in the house, And all we said was "Saved"!	Our panting ankle barely gained When night devoured the road; But we stood whispering in the house, And all we said was "Saved"!	true	1309.76	1318.95	21.81994
7245_104890_000173_000000	XL.	x l.	false	1318.95	1324.83	11.901961
7245_104890_000174_000000	I think just how my shape will rise When I shall be forgiven, Till hair and eyes and timid head Are out of sight, in heaven.	I think just how my shape will rise When I shall be forgiven, Till hair and eyes and timid head Are out of sight, in heaven.	true	1324.83	1332.91	21.65245
7245_104890_000175_000000	I think just how my lips will weigh With shapeless, quivering prayer That you, so late, consider me, The sparrow of your care.	I think just how my lips will weigh With shapeless, quivering prayer That you, so late, consider me, The sparrow of your care.	true	1333.79	1341.88	23.89816
7245_104890_000176_000000	I mind me that of anguish sent, Some drifts were moved away Before my simple bosom broke, -- And why not this, if they?	I mind me that of anguish sent, Some drifts were moved away Before my simple bosom broke, -- And why not this, if they?	true	1342.7	1351.27	21.5827
7245_104890_000177_000000	And so, until delirious borne I con that thing, -- "forgiven," -- Till with long fright and longer trust I drop my heart, unshriven!	And so, until delirious borne I con that thing, -- "forgiven," -- Till with long fright and longer trust I drop my heart, unshriven!	true	1351.94	1362.15	23.666765
7245_104890_000178_000000	XLI.	x l i.	false	1362.15	1367.38	12.673669
7245_104890_000179_000000	THE FORGOTTEN GRAVE.	THE FORGOTTEN GRAVE.	true	1367.38	1368.94	22.204304
7245_104890_000180_000000	After a hundred years Nobody knows the place, -- Agony, that enacted there, Motionless as peace.	After a hundred years Nobody knows the place, -- Agony, that enacted there, Motionless as peace.	true	1369.52	1376.62	21.187918
7245_104890_000181_000000	Weeds triumphant ranged, Strangers strolled and spelled At the lone orthography Of the elder dead.	Weeds triumphant ranged, Strangers strolled and spelled At the lone orthography Of the elder dead.	true	1377.11	1384.27	22.57318
7245_104890_000182_000000	Winds of summer fields Recollect the way, -- Instinct picking up the key Dropped by memory.	Winds of summer fields Recollect the way, -- Instinct picking up the key Dropped by memory.	false	1384.88	1421.25	21.140179
