1289_288043_000000_000000	APPENDIX	APPENDIX	true	25.65	26.68	29.315954
1289_288043_000055_000003	But, and this I told the reporter also, this does not prove that the Jesus of the Gospels is historical." Rabbi Hirsch writes in this same letter that he did not say Jesus was mentioned in the Rabbinical Books.	But, and this I told the reporter also, this does not prove that the Jesus of the Gospels is historical." Rabbi Hirsch writes in this same letter that he did not say Jesus was mentioned in the Rabbinical Books.	false	1001.45	1014.49	23.239702
1289_288043_000055_000004	The News reports the Rabbi as saying, "But we know through the Rabbinical Books that Jesus lived."	The News reports the Rabbi as saying, "But we know through the Rabbinical Books that Jesus lived."	true	1014.59	1020.1	22.54727
1289_288043_000056_000000	A committee from our Society waited on the editor of the _Daily News_ for an explanation.	A committee from our Society waited on the editor of the underscore Daily News underscore for an explanation.	false	1020.98	1026.01	19
1289_288043_000056_000001	The editor promised to locate the responsibility for the contradiction.	The editor promised to locate the responsibility for the contradiction.	true	1026.05	1030.03	24.551344
1289_288043_000057_000000	As the report in the _News_ was allowed to stand for four days without correction, and as Rabbi Hirsch did not even privately, by letter or by phone, disclaim responsibility for the article, to Mr. Mangasarian, the latter claims he was justified in assuming that the published report was reliable.	As the report in the underscore News underscore was allowed to stand for four days without correction, and as Rabbi Hirsch did not even privately, by letter or by phone, disclaim responsibility for the article, to mr Mangasarian, the latter claims he was justified in assuming that the published report was reliable.	false	1030.31	1046.86	19
1289_288043_000057_000001	But it is with pleasure that the Independent Religious Society gives Rabbi Hirsch this opportunity to explain his position.	But it is with pleasure that the Independent Religious Society gives Rabbi Hirsch this opportunity to explain his position.	true	1046.99	1053.64	21
1289_288043_000057_000002	We hope he will also let us know whether he said to the reporter: "I do not believe in Mr. Mangasarian's argument that Christianity has inspired massacres, wars and inquisitions.	We hope he will also let us know whether he said to the reporter: "I do not believe in mr Mangasarian's argument that Christianity has inspired massacres, wars and inquisitions.	false	1053.65	1063.93	16
1289_288043_000057_000003	It is a stock argument and not to the point."	It is a stock argument and not to the point."	true	1063.94	1066.6	26.47767
1289_288043_000057_000004	This is extraordinary; and as the Rabbi does not question the statement, we infer that it is a correct report of what he said.	This is extraordinary; and as the Rabbi does not question the statement, we infer that it is a correct report of what he said.	true	1067	1074.42	21.671673
1289_288043_000057_000005	Though we have room for only one quotation from the Jewish-Christian Scriptures, it will be enough to show the relation of religion to persecution:	Though we have room for only one quotation from the Jewish Christian Scriptures, it will be enough to show the relation of religion to persecution:	false	1074.42	1082.38	20.480143
1289_288043_000058_000000	"And thou shalt consume all the people which the Lord, thy God, shall deliver thee; thine eye shall have no pity upon them."	"And thou shalt consume all the people which the Lord, thy God, shall deliver thee; thine eye shall have no pity upon them."	false	1083.53	1116.9	22.628017
