2696_157636_000000_000000	V	V	false	1.8	2.52	5
2696_157636_000026_000003	During the latter half of the seventeenth century English pipes were presented by colonists in America to the Indians; they subsequently became valuable as objects of barter or part purchase value in exchange for land.	During the latter half of the seventeenth century English pipes were presented by colonists in America to the Indians; they subsequently became valuable as objects of barter or part purchase value in exchange for land.	true	1099.07	1111	14
2696_157636_000026_000004	In 1677 one hundred and twenty pipes and one hundred Jew's harps were given for a strip of country near Timber Creek, in New Jersey.	In sixteen seventy seven one hundred and twenty pipes and one hundred Jew's harps were given for a strip of country near Timber Creek, in New Jersey.	true	1111.34	1120.15	18
2696_157636_000026_000005	William Penn, the founder of Pennsylvania, purchased a tract of land, and 300 pipes were included in the articles given in the exchange."	William Penn, the founder of Pennsylvania, purchased a tract of land, and three hundred pipes were included in the articles given in the exchange."	true	1120.25	1127.89	17
2696_157636_000027_000000	The French traveller, Sorbiere, who visited London in 1663, declared that the English were naturally lazy and spent half their time in taking tobacco.	The French traveller, Sorbiere, who visited London in sixteen sixty three, declared that the English were naturally lazy and spent half their time in taking tobacco.	true	1129.25	1138.75	12
2696_157636_000027_000001	They smoked after meals, he observed, and conversed for a long time.	They smoked after meals, he observed, and conversed for a long time.	true	1138.88	1142.64	16
2696_157636_000027_000002	"There is scarce a day passes," he wrote, "but a Tradesman goes to the Ale-house or Tavern to smoke with some of his Friends, and therefore Public Houses are numerous here, and Business goes on but slowly in the Shops"; but, curiously enough, he makes no mention of coffee-houses.	"There is scarce a day passes," he wrote, "but a Tradesman goes to the Ale house or Tavern to smoke with some of his Friends, and therefore Public Houses are numerous here, and Business goes on but slowly in the Shops"; but, curiously enough, he makes no mention of coffee houses.	false	1142.64	1158.72	19.170527
2696_157636_000027_000003	A little later they were too common and too much frequented to be overlooked.	A little later they were too common and too much frequented to be overlooked.	false	1158.72	1162.86	16
2696_157636_000027_000004	An English writer on thrift in 1676 said that it was customary for a "mechanic tradesman" to go to the coffee-house or ale-house in the morning to drink his morning's draught, and there he would spend twopence and consume an hour in smoking and talking, spending several hours of the evening in similar fashion.	An English writer on thrift in sixteen seventy six said that it was customary for a "mechanic tradesman" to go to the coffee house or ale house in the morning to drink his morning's draught, and there he would spend twopence and consume an hour in smoking and talking, spending several hours of the evening in similar fashion.	false	1162.86	1182.52	17.75276
2696_157636_000028_000000	Country gentlemen smoked just as much as town mechanics and tradesmen. In 1688 Hervey, afterwards Earl of Bristol, wrote to Mr. Thomas Cullum, of Hawsted Place, desiring "to be remembered by the witty smoakers of Hawsted." A later Cullum, Sir John, published in 1784 a "History and Antiquities of Hawsted," and in describing Hawsted Place, which was rebuilt about 1570, says that there was a small apartment called the smoking-room--"a name," he says, "it acquired probably soon after it was built; and which it retained with good reason, as long as it stood." I should like to know on what authority Sir John Cullum could have made the assertion that the room was called the smoking-room from so early a date as the end of the sixteenth century. No mention in print of a smoking-room has been found for the purposes of the Oxford Dictionary earlier than 1689.	Country gentlemen smoked just as much as town mechanics and tradesmen. In sixteen eighty eight Hervey, afterwards Earl of Bristol, wrote to mr Thomas Cullum, of Hawsted Place, desiring "to be remembered by the witty smoakers of Hawsted." A later Cullum, Sir john, published in seventeen eighty four a "History and Antiquities of Hawsted," and in describing Hawsted Place, which was rebuilt about fifteen seventy, says that there was a small apartment called the smoking room-"a name," he says, "it acquired probably soon after it was built; and which it retained with good reason, as long as it stood." I should like to know on what authority Sir john Cullum could have made the assertion that the room was called the smoking room from so early a date as the end of the sixteenth century. No mention in print of a smoking room has been found for the purposes of the Oxford Dictionary earlier than sixteen eighty nine.	false	1182.8	1235.62	18
2696_157636_000028_000001	In Shadwell's "Bury Fair" of that date Lady Fantast says to her husband, Mr. Oldwit, who loves to tell of his early meetings with Ben Jonson and other literary heroes of a bygone day, "While all the Beau Monde, as my daughter says, are with us in the drawing-room, you have none but ill-bred, witless drunkards with you in your smoking-room." As Mr. Oldwit himself, in another scene of the same play, says to his friends, "We'll into my smoking-room and sport about a brimmer," there was probably some excuse for his wife's remark.	In Shadwell's "Bury Fair" of that date Lady Fantast says to her husband, mr Oldwit, who loves to tell of his early meetings with Ben Jonson and other literary heroes of a bygone day, "While all the Beau Monde, as my daughter says, are with us in the drawing room, you have none but ill bred, witless drunkards with you in your smoking room." As mr Oldwit himself, in another scene of the same play, says to his friends, "We'll into my smoking room and sport about a brimmer," there was probably some excuse for his wife's remark.	false	1236.05	1268.89	18.224033
2696_157636_000028_000002	These country smoking-rooms were known in later days as stone-parlours, the floor being flagged for safety's sake; and the "stone-parlour" in many a squire's house was the scene of much conviviality, including, no doubt, abundant smoking.	These country smoking rooms were known in later days as stone parlours, the floor being flagged for safety's sake; and the "stone parlour" in many a squire's house was the scene of much conviviality, including, no doubt, abundant smoking.	false	1269.32	1284.82	18.799463
2696_157636_000029_000000	The arrival of coffee and the establishment of coffee-houses opened a new field for the victories of tobacco.	The arrival of coffee and the establishment of coffee houses opened a new field for the victories of tobacco.	true	1284.89	1290.64	19
2696_157636_000029_000001	The first house was opened in St. Michael's Alley, Cornhill, in 1652.	The first house was opened in saint Michael's Alley, Cornhill, in sixteen fifty two.	true	1290.8	1295.77	15
2696_157636_000029_000002	Others soon followed, and in a short time the new beverage had captured the town, and coffee-houses had been opened in every direction.	Others soon followed, and in a short time the new beverage had captured the town, and coffee houses had been opened in every direction.	true	1296.05	1303.42	16
2696_157636_000029_000003	They sold many things besides coffee, and served a variety of purposes, but primarily they were temples of talk and good-fellowship.	They sold many things besides coffee, and served a variety of purposes, but primarily they were temples of talk and good fellowship.	true	1303.7	1311.3	20.562872
2696_157636_000029_000004	The buzz of conversation and the smoke of tobacco alike filled the rooms which were the forerunners of the club-houses of a much later day.	The buzz of conversation and the smoke of tobacco alike filled the rooms which were the forerunners of the club houses of a much later day.	false	1311.3	1328.16	16.327557
