8592_285135_000000_000000	"Ah, ha!" said at length the infuriated jester.	"Ah, ha!" said at length the infuriated jester.	false	0	0.39	-20
8592_285135_000025_000002	He hurried into the street, looked anxiously around him for an instant, and then ran with incredible swiftness through many crooked and people-less lanes, until we emerged once more upon the great thoroughfare whence we had started--the street of the D---- Hotel.	He hurried into the street, looked anxiously around him for an instant, and then ran with incredible swiftness through many crooked and people less lanes, until we emerged once more upon the great thoroughfare whence we had started-the street of the D---- Hotel.	true	985.85	999.46	17
8592_285135_000025_000003	It no longer wore, however, the same aspect.	It no longer wore, however, the same aspect.	true	999.83	1003.18	19.244972
8592_285135_000025_000004	It was still brilliant with gas; but the rain fell fiercely, and there were few persons to be seen.	It was still brilliant with gas; but the rain fell fiercely, and there were few persons to be seen.	true	1003.28	1009.09	17
8592_285135_000025_000005	The stranger grew pale. He walked moodily some paces up the once populous avenue, then, with a heavy sigh, turned in the direction of the river, and, plunging through a great variety of devious ways, came out, at length, in view of one of the principal theatres.	The stranger grew pale. He walked moodily some paces up the once populous avenue, then, with a heavy sigh, turned in the direction of the river, and, plunging through a great variety of devious ways, came out, at length, in view of one of the principal theatres.	true	1009.49	1024.33	18
8592_285135_000025_000006	It was about being closed, and the audience were thronging from the doors.	It was about being closed, and the audience were thronging from the doors.	true	1025.21	1028.89	15
8592_285135_000025_000007	I saw the old man gasp as if for breath while he threw himself amid the crowd; but I thought that the intense agony of his countenance had, in some measure, abated.	I saw the old man gasp as if for breath while he threw himself amid the crowd; but I thought that the intense agony of his countenance had, in some measure, abated.	true	1029.41	1038.43	19.248234
8592_285135_000025_000008	His head again fell upon his breast; he appeared as I had seen him at first.	His head again fell upon his breast; he appeared as I had seen him at first.	true	1038.56	1042.81	19.67492
8592_285135_000025_000009	I observed that he now took the course in which had gone the greater number of the audience--but, upon the whole, I was at a loss to comprehend the waywardness of his actions.	I observed that he now took the course in which had gone the greater number of the audience-but, upon the whole, I was at a loss to comprehend the waywardness of his actions.	true	1043.15	1051.24	15
8592_285135_000026_000000	As he proceeded, the company grew more scattered, and his old uneasiness and vacillation were resumed.	As he proceeded, the company grew more scattered, and his old uneasiness and vacillation were resumed.	true	1053.5	1059.22	16
8592_285135_000026_000001	For some time he followed closely a party of some ten or twelve roisterers; but from this number one by one dropped off, until three only remained together, in a narrow and gloomy lane little frequented.	For some time he followed closely a party of some ten or twelve roisterers; but from this number one by one dropped off, until three only remained together, in a narrow and gloomy lane little frequented.	false	1059.38	1071.45	20.243652
8592_285135_000026_000002	The stranger paused, and, for a moment, seemed lost in thought; then, with every mark of agitation, pursued rapidly a route which brought us to the verge of the city, amid regions very different from those we had hitherto traversed.	The stranger paused, and, for a moment, seemed lost in thought; then, with every mark of agitation, pursued rapidly a route which brought us to the verge of the city, amid regions very different from those we had hitherto traversed.	false	1071.45	1083.37	15
8592_285135_000026_000003	It was the most noisome quarter of London, where every thing wore the worst impress of the most deplorable poverty, and of the most desperate crime.	It was the most noisome quarter of London, where every thing wore the worst impress of the most deplorable poverty, and of the most desperate crime.	true	1083.74	1091.5	20
8592_285135_000026_000004	By the dim light of an accidental lamp, tall, antique, worm-eaten, wooden tenements were seen tottering to their fall, in directions so many and capricious that scarce the semblance of a passage was discernible between them. The paving-stones lay at random, displaced from their beds by the rankly-growing grass.	By the dim light of an accidental lamp, tall, antique, worm eaten, wooden tenements were seen tottering to their fall, in directions so many and capricious that scarce the semblance of a passage was discernible between them. The paving stones lay at random, displaced from their beds by the rankly growing grass.	true	1091.87	1110.59	21
8592_285135_000026_000005	Horrible filth festered in the dammed-up gutters. The whole atmosphere teemed with desolation.	Horrible filth festered in the dammed up gutters. The whole atmosphere teemed with desolation.	true	1110.59	1116.67	22.70525
8592_285135_000026_000006	Yet, as we proceeded, the sounds of human life revived by sure degrees, and at length large bands of the most abandoned of a London populace were seen reeling to and fro. The spirits of the old man again flickered up, as a lamp which is near its death hour.	Yet, as we proceeded, the sounds of human life revived by sure degrees, and at length large bands of the most abandoned of a London populace were seen reeling to and fro. The spirits of the old man again flickered up, as a lamp which is near its death hour.	true	1116.77	1133.2	20.706228
8592_285135_000026_000007	Once more he strode onward with elastic tread.	Once more he strode onward with elastic tread.	true	1133.39	1136.59	20
8592_285135_000026_000008	Suddenly a corner was turned, a blaze of light burst upon our sight, and we stood before one of the huge suburban temples of Intemperance--one of the palaces of the fiend, Gin.	Suddenly a corner was turned, a blaze of light burst upon our sight, and we stood before one of the huge suburban temples of Intemperance-one of the palaces of the fiend, Gin.	true	1137.32	1147.72	18
8592_285135_000027_000000	It was now nearly day-break; but a number of wretched inebriates still pressed in and out of the flaunting entrance.	It was now nearly day break; but a number of wretched inebriates still pressed in and out of the flaunting entrance.	true	1148.21	1154.38	18
8592_285135_000027_000001	With a half shriek of joy the old man forced a passage within, resumed at once his original bearing, and stalked backward and forward, without apparent object, among the throng.	With a half shriek of joy the old man forced a passage within, resumed at once his original bearing, and stalked backward and forward, without apparent object, among the throng.	false	1154.72	1166.46	20.015913
8592_285135_000027_000002	He had not been thus long occupied, however, before a rush to the doors gave token that the host was closing them for the night.	He had not been thus long occupied, however, before a rush to the doors gave token that the host was closing them for the night.	true	1166.46	1173.04	16
8592_285135_000027_000003	It was something even more intense than despair that I then observed upon the countenance of the singular being whom I had watched so pertinaciously.	It was something even more intense than despair that I then observed upon the countenance of the singular being whom I had watched so pertinaciously.	true	1173.11	1180.81	15
8592_285135_000027_000004	Yet he did not hesitate in his career, but, with a mad energy, retraced his steps at once, to the heart of the mighty London.	Yet he did not hesitate in his career, but, with a mad energy, retraced his steps at once, to the heart of the mighty London.	true	1181.27	1187.89	13
8592_285135_000027_000005	Long and swiftly he fled, while I followed him in the wildest amazement, resolute not to abandon a scrutiny in which I now felt an interest all-absorbing.	Long and swiftly he fled, while I followed him in the wildest amazement, resolute not to abandon a scrutiny in which I now felt an interest all absorbing.	true	1188.14	1197.34	22.169006
8592_285135_000027_000006	The sun arose while we proceeded, and, when we had once again reached that most thronged mart of the populous town, the street of the D----- Hotel, it presented an appearance of human bustle and activity scarcely inferior to what I had seen on the evening before. And here, long, amid the momently increasing confusion, did I persist in my pursuit of the stranger.	The sun arose while we proceeded, and, when we had once again reached that most thronged mart of the populous town, the street of the D----- Hotel, it presented an appearance of human bustle and activity scarcely inferior to what I had seen on the evening before. And here, long, amid the momently increasing confusion, did I persist in my pursuit of the stranger.	true	1197.83	1217.86	19
8592_285135_000027_000007	But, as usual, he walked to and fro, and during the day did not pass from out the turmoil of that street.	But, as usual, he walked to and fro, and during the day did not pass from out the turmoil of that street.	true	1218.11	1223.38	19.333706
8592_285135_000027_000008	And, as the shades of the second evening came on, I grew wearied unto death, and, stopping fully in front of the wanderer, gazed at him steadfastly in the face.	And, as the shades of the second evening came on, I grew wearied unto death, and, stopping fully in front of the wanderer, gazed at him steadfastly in the face.	true	1223.54	1232.29	19
8592_285135_000027_000009	He noticed me not, but resumed his solemn walk, while I, ceasing to follow, remained absorbed in contemplation.	He noticed me not, but resumed his solemn walk, while I, ceasing to follow, remained absorbed in contemplation.	true	1232.63	1239.61	18
8592_285135_000027_000010	"This old man," I said at length, "is the type and the genius of deep crime.	"This old man," I said at length, "is the type and the genius of deep crime.	true	1240.1	1244.83	19.584274
8592_285135_000027_000011	He refuses to be alone.	He refuses to be alone.	true	1245.02	1246.98	21.034576
8592_285135_000027_000012	[page 228:] He is the man of the crowd.	[page two hundred twenty eight:] He is the man of the crowd.	false	1246.98	1249.66	20.06334
8592_285135_000027_000013	It will be in vain to follow; for I shall learn no more of him, nor of his deeds.	It will be in vain to follow; for I shall learn no more of him, nor of his deeds.	true	1249.73	1254.52	18.03384
8592_285135_000027_000014	The worst heart of the world is a grosser book than the 'Hortulus Animae,' {*1} and perhaps it is but one of the great mercies of God that 'er lasst sich nicht lesen.'"	The worst heart of the world is a grosser book than the 'Hortulus Animae,' {asterisk one} and perhaps it is but one of the great mercies of God that 'er lasst sich nicht lesen.'"	false	1254.86	1275.06	19.63834
