5914_52088_000000_000000	HINTS ON SHOOTING.	HINTS ON SHOOTING.	true	21.585	23.08	21.247175
5914_52088_000029_000004	It is evident that when a beast breasts this string, the trigger of the gun will be pulled.	It is evident that when a beast breasts this string, the trigger of the gun will be pulled.	true	1108.07	1113.3	22.4053
5914_52088_000030_000000	[Sketch of man setting up gun to be fired as above].	[Sketch of man setting up gun to be fired as above].	false	1113.3	1114.29	43.75789
5914_52088_000031_000000	1nd Method.--I have, however, been subsequently informed of a better plan of adapting the "lever-stick." It is shown in the accompanying diagram (below).	one n d Method.--I have, however, been subsequently informed of a better plan of adapting the "lever stick." It is shown in the accompanying diagram (below).	false	1114.29	1123.35	23.45203
5914_52088_000031_000001	The fault of the previous plan, is the trouble of tying the string to the trigger; since the curvature is usually such as to make it a matter of some painstaking to fix it securely.	The fault of the previous plan, is the trouble of tying the string to the trigger; since the curvature is usually such as to make it a matter of some painstaking to fix it securely.	true	1123.35	1134.37	21.954481
5914_52088_000031_000002	A, B, C, is the "lever-stick." Notch it deeply at A, where it is to receive the trigger; notch it also at B, half an inch from A; and at C, 5 inches or so from B. In lashing B to the grip of the stock at D, the firmer you make the lashing, the better.	A, B, C, is the "lever stick." Notch it deeply at A, where it is to receive the trigger; notch it also at B, half an inch from A; and at C, five inches or so from b In lashing B to the grip of the stock at D, the firmer you make the lashing, the better.	true	1134.44	1153.15	22.799852
5914_52088_000031_000003	If D admit of any yielding movement, on C being pulled, the gun will not go off, either readily or surely; as will easily be seen, on making experiment.	If D admit of any yielding movement, on C being pulled, the gun will not go off, either readily or surely; as will easily be seen, on making experiment.	true	1153.28	1163.85	20.00699
5914_52088_000032_000000	[Sketch of rifle with stick rigged as above].	[Sketch of rifle with stick rigged as above].	false	1163.85	1164.51	-20
5914_52088_000033_000000	3rd Method.--I am indebted to Captain J. Meaden for the following account of the plan used in Ceylon for setting a spring gun for leopards:--	third Method.--I am indebted to Captain j Meaden for the following account of the plan used in Ceylon for setting a spring gun for leopards:--	true	1164.51	1173.58	21.96816
5914_52088_000034_000000	"Remove the sear, or tie up the trigger.	"Remove the sear, or tie up the trigger.	true	1173.68	1176.19	20.457745
5914_52088_000034_000001	Load the gun, and secure it at the proper height from the ground.	Load the gun, and secure it at the proper height from the ground.	true	1176.19	1179.85	22.827057
5914_52088_000034_000002	Opposite the muzzle of the gun, or at such distance to the right, or left, as may be required, fasted the end of a black string, or line made of horsehair or fibre, and pass it across the path to the gun.	Opposite the muzzle of the gun, or at such distance to the right, or left, as may be required, fasted the end of a black string, or line made of horsehair or fibre, and pass it across the path to the gun.	true	1179.89	1193.17	23.316343
5914_52088_000034_000003	Fasten the other end to a stake, long enough to stand higher than the hammer.	Fasten the other end to a stake, long enough to stand higher than the hammer.	true	1193.45	1198.12	20.754791
5914_52088_000034_000004	Stick the end of the stake slightly in the ground, and let it rest upright against the lock projection, the black line being fastened nearly at that height.	Stick the end of the stake slightly in the ground, and let it rest upright against the lock projection, the black line being fastened nearly at that height.	true	1198.22	1207.69	24.09044
5914_52088_000034_000005	Pass round the small of the stock a loop of single or double string.	Pass round the small of the stock a loop of single or double string.	true	1207.85	1212.1	22.133877
5914_52088_000034_000006	Take a piece of stick 6 or 8 inches long, pass through the loop, and twist tourniquet fashion until the loop is reduced to the required length.	Take a piece of stick six or eight inches long, pass through the loop, and twist tourniquet fashion until the loop is reduced to the required length.	true	1212.17	1221.62	21.995535
5914_52088_000034_000007	Raise the hammer carefully, and pass the short end of the lever-stick, from the inner to the outer side, over the comb, and let the long end of the lever rest against the stake: the pressure of the hammer will keep the lever steady against the stake.	Raise the hammer carefully, and pass the short end of the lever stick, from the inner to the outer side, over the comb, and let the long end of the lever rest against the stake: the pressure of the hammer will keep the lever steady against the stake.	true	1221.62	1236.75	22.973272
5914_52088_000034_000008	To prevent the lower end of the stake flying out, from the pressure of the lever on the upper part, place a log or stone against the foot.	To prevent the lower end of the stake flying out, from the pressure of the lever on the upper part, place a log or stone against the foot.	true	1236.75	1245.61	23.838675
5914_52088_000035_000000	"An animal pushing against the black string, draws the upper end of the stake towards the muzzle, until the lever is disengaged and releases the hammer.	"An animal pushing against the black string, draws the upper end of the stake towards the muzzle, until the lever is disengaged and releases the hammer.	true	1246.04	1255.35	21.082325
5914_52088_000036_000000	"In laying the long arm of the lever against the stake sufficient play must be allowed for the contraction of the black string, when wet by dew or rain.	"In laying the long arm of the lever against the stake sufficient play must be allowed for the contraction of the black string, when wet by dew or rain.	false	1255.35	1265.2	24.315353
5914_52088_000037_000000	"If a double gun is set, two stakes and two levers will be required.	"If a double gun is set, two stakes and two levers will be required.	true	1265.48	1269.97	19.232084
5914_52088_000037_000001	The stakes to be connected above and below the gun, by cross sticks.	The stakes to be connected above and below the gun, by cross sticks.	true	1269.97	1274.05	22.147701
5914_52088_000037_000002	The levers must be passed round the combs the opposite way, to allow of the long arms pressing outwards from the gun, and enable the levers to disengage without entangling.	The levers must be passed round the combs the opposite way, to allow of the long arms pressing outwards from the gun, and enable the levers to disengage without entangling.	false	1274.24	1285.12	20.883385
5914_52088_000038_000000	"The carcase or live bait must be hedged round, and means adopted to guide the leopard across the string, by running out a short hedge on one side.	"The carcase or live bait must be hedged round, and means adopted to guide the leopard across the string, by running out a short hedge on one side.	true	1285.91	1295.17	20.963423
5914_52088_000038_000001	In this case the black line to be set taut, and some 4 inches from the line of fire.	In this case the black line to be set taut, and some four inches from the line of fire.	false	1295.17	1301.56	25.125826
5914_52088_000038_000002	The breast than catches the string, and the push releases the hammer when the muzzle is in line with the chest.	The breast than catches the string, and the push releases the hammer when the muzzle is in line with the chest.	true	1301.6	1307.56	20.528496
5914_52088_000039_000000	"On this principle, two or more guns can be set, slightly varying in elevation, to allow of one barrel at least being effective."	"On this principle, two or more guns can be set, slightly varying in elevation, to allow of one barrel at least being effective."	true	1307.72	1316.68	19.939306
5914_52088_000040_000000	Bow and Arrow set for Beasts.--The Chinese have some equivalent contrivance with bows and arrows.	Bow and Arrow set for Beasts.--The Chinese have some equivalent contrivance with bows and arrows.	true	1317.08	1323.61	21.736609
5914_52088_000040_000001	M. Huc tells us that a simply constructed machine is sold in the shops, by which, when sprung, a number of poisoned arrows are fired off in succession.	M. h u c tells us that a simply constructed machine is sold in the shops, by which, when sprung, a number of poisoned arrows are fired off in succession.	false	1323.86	1333.42	20.951633
5914_52088_000040_000002	These machines are planted in caves of sepulture, to guard them from pillage.	These machines are planted in caves of sepulture, to guard them from pillage.	true	1333.58	1337.94	21.72633
5914_52088_000040_000003	They use spring-guns, and used to have spring-bows in Sweden, and in many other countries.	They use spring guns, and used to have spring bows in Sweden, and in many other countries.	true	1337.94	1343.35	21
5914_52088_000041_000000	Knives.--Hunting-knife.--A great hunting-knife is a useless encumbrance: no old sportsman or traveller cares to encumber himself with one; but a butcher's knife, carried in a sheath, is excellent, both from its efficient shape, the soft quality of The steel, its lightness, and the strong way in which the blade is set in the haft.	Knives.--Hunting knife.--A great hunting knife is a useless encumbrance: no old sportsman or traveller cares to encumber himself with one; but a butcher's knife, carried in a sheath, is excellent, both from its efficient shape, the soft quality of The steel, its lightness, and the strong way in which the blade is set in the haft.	true	1343.69	1364.89	22.224453
5914_52088_000042_000000	Pocket-knife.--If a traveller wants a pocket-knife full of all kinds of tools, he had best order a very light one of 2 3/4 inches long, in a tortoise-shell handle, without the usual turnscrew at the end.	Pocket knife.--If a traveller wants a pocket knife full of all kinds of tools, he had best order a very light one of two and three quarters inches long, in a tortoise shell handle, without the usual turnscrew at the end.	true	1365.29	1378.86	23.179989
5914_52088_000042_000001	It should have a light "picker" to shut over its back; this will act as a strike-light, and a file also, if its under surface be properly roughened.	It should have a light "picker" to shut over its back; this will act as a strike light, and a file also, if its under surface be properly roughened.	true	1378.86	1387.84	23.899038
5914_52088_000042_000002	Underneath the picker, there should be a small triangular borer, for making holes in leather, and a gimlet.	Underneath the picker, there should be a small triangular borer, for making holes in leather, and a gimlet.	true	1387.91	1394.14	22.235878
5914_52088_000042_000003	The front of the knife should contain a long, narrow pen-blade of soft steel; a cobbler's awl, slightly bent; and a packing-needle with a large eye, to push thongs and twine through holes in leather.	The front of the knife should contain a long, narrow pen blade of soft steel; a cobbler's awl, slightly bent; and a packing needle with a large eye, to push thongs and twine through holes in leather.	true	1394.21	1406.5	23.301018
5914_52088_000042_000004	Between the tortoise-shell part of the handle and the metal frame of the knife, should be a space to contain three flat thin pieces of steel, turning on the same pivot.	Between the tortoise shell part of the handle and the metal frame of the knife, should be a space to contain three flat thin pieces of steel, turning on the same pivot.	true	1406.54	1417	23.080584
5914_52088_000042_000005	The ends of these are to be ground to form turnscrews of brass instruments: when this excellent contrivance is used, it must be opened out like the letter T, the foot of which represents the turnscrew in use and the horizontal part represents the other two turnscrews, which serve as the handle.	The ends of these are to be ground to form turnscrews of brass instruments: when this excellent contrivance is used, it must be opened out like the letter T, the foot of which represents the turnscrew in use and the horizontal part represents the other two turnscrews, which serve as the handle.	true	1417.1	1435.52	22.236397
5914_52088_000042_000006	It may be thought advisable to add a button-hook, a corkscrew, and a large blade; but that is not my recommendation, because it increases the size of the knife and makes it heavy; now a heavy knife is apt to be laid by, and not to be at hand when wanted, while a light knife is a constant pocket companion.	It may be thought advisable to add a button hook, a corkscrew, and a large blade; but that is not my recommendation, because it increases the size of the knife and makes it heavy; now a heavy knife is apt to be laid by, and not to be at hand when wanted, while a light knife is a constant pocket companion.	true	1435.52	1454.76	22.955093
5914_52088_000043_000000	Sheath Knives, to carry.--They are easily carried by half-naked, pocketless savages, by attaching the sheaths to a leather-loop, through which the left forearm and elbow are to be passed.	Sheath Knives, to carry.--They are easily carried by half naked, pocketless savages, by attaching the sheaths to a leather loop, through which the left forearm and elbow are to be passed.	true	1454.76	1466.03	22.333162
5914_52088_000043_000001	A swimmer can easily carry a knife in this way; otherwise he holds it between his teeth.	A swimmer can easily carry a knife in this way; otherwise he holds it between his teeth.	true	1466.03	1471.27	22.428383
5914_52088_000044_000000	Substitutes for Knives.--Steel is no doubt vastly better than iron, but it is not essential for the ordinary purposes of life; indeed, most ancient civilized nations had nothing better than iron.	Substitutes for Knives.--Steel is no doubt vastly better than iron, but it is not essential for the ordinary purposes of life; indeed, most ancient civilized nations had nothing better than iron.	true	1471.91	1485.13	21.565178
5914_52088_000044_000001	Any bit of good iron may be heated as hot as the camp-fire admits; hammered flat, lashed into a handle, and sharpened on a stone.	Any bit of good iron may be heated as hot as the camp fire admits; hammered flat, lashed into a handle, and sharpened on a stone.	false	1485.26	1493.47	20.709145
5914_52088_000044_000002	A fragment of flint or obsidian may be made fast to a handle, to be used as a carpenter cuts paper With a chisel; namely, by holding it dagger-fashion, and drawing it over the skin or flesh which he wishes to cut.	A fragment of flint or obsidian may be made fast to a handle, to be used as a carpenter cuts paper With a chisel; namely, by holding it dagger fashion, and drawing it over the skin or flesh which he wishes to cut.	true	1493.6	1507.18	21.46912
5914_52088_000044_000003	Shells are sometimes employed as substitutes for knives, also thin strips of bamboo, the sharp edges of which cut meat easily. (See "Sharpening Tools.")	Shells are sometimes employed as substitutes for knives, also thin strips of bamboo, the sharp edges of which cut meat easily. (See "Sharpening Tools.")	false	1507.19	1516.68	20.583944
5914_52088_000045_000000	Night-glass.--Opera-glasses are invaluable as night-glasses, for, by their aid, the sight of man is raised nearly to a par with that of night-roving animals; therefore, a sportsman would find them of great service when watching for game at night.	Night glass.--Opera glasses are invaluable as night glasses, for, by their aid, the sight of man is raised nearly to a par with that of night roving animals; therefore, a sportsman would find them of great service when watching for game at night.	true	1516.68	1531.96	20.267237
5914_52088_000045_000001	A small and inexpensive glass is as useful for this purpose as a large one; but there is a considerable difference between the clearness of different opera-glasses.	A small and inexpensive glass is as useful for this purpose as a large one; but there is a considerable difference between the clearness of different opera glasses.	false	1532.09	1557.06	20.78056
