1513_140222_000000_000000	ION	ION	false	0.63	17.535	19.287653
1513_140222_000081_000000	ION: That is good, Socrates; and yet I doubt whether you will ever have eloquence enough to persuade me that I praise Homer only when I am mad and possessed; and if you could hear me speak of him I am sure you would never think this to be the case.	ION: That is good, Socrates; and yet I doubt whether you will ever have eloquence enough to persuade me that I praise Homer only when I am mad and possessed; and if you could hear me speak of him I am sure you would never think this to be the case.	true	1384.55	1400.8	14.349158
1513_140222_000082_000000	SOCRATES: I should like very much to hear you, but not until you have answered a question which I have to ask.	SOCRATES: I should like very much to hear you, but not until you have answered a question which I have to ask.	true	1402.07	1410.1	16.439928
1513_140222_000082_000001	On what part of Homer do you speak well?--not surely about every part.	On what part of Homer do you speak well?--not surely about every part.	true	1410.56	1416.46	16.05975
1513_140222_000083_000000	ION: There is no part, Socrates, about which I do not speak well: of that I can assure you.	ION: There is no part, Socrates, about which I do not speak well: of that I can assure you.	true	1416.77	1424.62	17.106361
1513_140222_000084_000000	SOCRATES: Surely not about things in Homer of which you have no knowledge?	SOCRATES: Surely not about things in Homer of which you have no knowledge?	true	1425.11	1430.74	16.202326
1513_140222_000085_000000	ION: And what is there in Homer of which I have no knowledge?	ION: And what is there in Homer of which I have no knowledge?	true	1431.26	1436.05	15.889517
1513_140222_000086_000000	SOCRATES: Why, does not Homer speak in many passages about arts?	SOCRATES: Why, does not Homer speak in many passages about arts?	true	1436.66	1442.59	16.002094
1513_140222_000086_000001	For example, about driving; if I can only remember the lines I will repeat them.	For example, about driving; if I can only remember the lines I will repeat them.	true	1443.11	1448.35	14.067619
1513_140222_000087_000000	ION: I remember, and will repeat them.	ION: I remember, and will repeat them.	true	1448.66	1451.83	13.64604
1513_140222_000088_000000	SOCRATES: Tell me then, what Nestor says to Antilochus, his son, where he bids him be careful of the turn at the horserace in honour of Patroclus.	SOCRATES: Tell me then, what Nestor says to Antilochus, his son, where he bids him be careful of the turn at the horserace in honour of Patroclus.	false	1452.14	1464.94	16.615278
1513_140222_000089_000000	ION: 'Bend gently,' he says, 'in the polished chariot to the left of them, and urge the horse on the right hand with whip and voice; and slacken the rein.	ION: 'Bend gently,' he says, 'in the polished chariot to the left of them, and urge the horse on the right hand with whip and voice; and slacken the rein.	true	1465.49	1479.1	21.132975
1513_140222_000089_000001	And when you are at the goal, let the left horse draw near, yet so that the nave of the well-wrought wheel may not even seem to touch the extremity; and avoid catching the stone (Il.).'	And when you are at the goal, let the left horse draw near, yet so that the nave of the well wrought wheel may not even seem to touch the extremity; and avoid catching the stone (Il.).'	false	1479.41	1494.42	21.112474
1513_140222_000090_000000	SOCRATES: Enough.	SOCRATES: Enough.	true	1494.42	1496.17	21.916655
1513_140222_000090_000001	Now, Ion, will the charioteer or the physician be the better judge of the propriety of these lines?	Now, Ion, will the charioteer or the physician be the better judge of the propriety of these lines?	false	1496.78	1505.17	20.761673
1513_140222_000091_000000	ION: The charioteer, clearly.	ION: The charioteer, clearly.	true	1505.69	1508.5	18.467623
1513_140222_000092_000000	SOCRATES: And will the reason be that this is his art, or will there be any other reason?	SOCRATES: And will the reason be that this is his art, or will there be any other reason?	true	1509.32	1516.99	20.570284
1513_140222_000093_000000	ION: No, that will be the reason.	ION: No, that will be the reason.	true	1517.45	1519.93	19.736572
1513_140222_000094_000000	SOCRATES: And every art is appointed by God to have knowledge of a certain work; for that which we know by the art of the pilot we do not know by the art of medicine?	SOCRATES: And every art is appointed by God to have knowledge of a certain work; for that which we know by the art of the pilot we do not know by the art of medicine?	true	1520.33	1534.81	20.719015
1513_140222_000095_000000	ION: Certainly not.	ION: Certainly not.	true	1535.27	1537.21	21.459078
1513_140222_000096_000000	SOCRATES: Nor do we know by the art of the carpenter that which we know by the art of medicine?	SOCRATES: Nor do we know by the art of the carpenter that which we know by the art of medicine?	true	1538.03	1546.06	20.796871
1513_140222_000097_000000	ION: Certainly not.	ION: Certainly not.	true	1546.31	1548.37	21.0413
1513_140222_000098_000000	SOCRATES: And this is true of all the arts;--that which we know with one art we do not know with the other?	SOCRATES: And this is true of all the arts;--that which we know with one art we do not know with the other?	true	1549.49	1558.45	20.592045
1513_140222_000098_000001	But let me ask a prior question: You admit that there are differences of arts?	But let me ask a prior question: You admit that there are differences of arts?	true	1559.36	1565.86	21.308886
1513_140222_000099_000000	ION: Yes.	ION: Yes.	true	1566.29	1567.84	21.378603
1513_140222_000100_000000	SOCRATES: You would argue, as I should, that when one art is of one kind of knowledge and another of another, they are different?	SOCRATES: You would argue, as I should, that when one art is of one kind of knowledge and another of another, they are different?	true	1568.36	1578.49	19.363005
1513_140222_000101_000000	ION: Yes.	ION: Yes.	true	1578.8	1580.29	22.553402
1513_140222_000102_000000	SOCRATES: Yes, surely; for if the subject of knowledge were the same, there would be no meaning in saying that the arts were different,--if they both gave the same knowledge.	SOCRATES: Yes, surely; for if the subject of knowledge were the same, there would be no meaning in saying that the arts were different,--if they both gave the same knowledge.	true	1581.23	1594.45	21.032618
1513_140222_000102_000001	For example, I know that here are five fingers, and you know the same.	For example, I know that here are five fingers, and you know the same.	true	1595	1600.27	21.2455
1513_140222_000102_000002	And if I were to ask whether I and you became acquainted with this fact by the help of the same art of arithmetic, you would acknowledge that we did?	And if I were to ask whether I and you became acquainted with this fact by the help of the same art of arithmetic, you would acknowledge that we did?	true	1600.64	1611.07	20.214712
1513_140222_000103_000000	ION: Yes.	ION: Yes.	true	1611.74	1613.5	19.932093
1513_140222_000104_000000	SOCRATES: Tell me, then, what I was intending to ask you,--whether this holds universally?	SOCRATES: Tell me, then, what I was intending to ask you,--whether this holds universally?	true	1614.29	1621.06	18.373308
1513_140222_000104_000001	Must the same art have the same subject of knowledge, and different arts other subjects of knowledge?	Must the same art have the same subject of knowledge, and different arts other subjects of knowledge?	false	1621.7	1630.3	21.49444
1513_140222_000105_000000	ION: That is my opinion, Socrates.	ION: That is my opinion, Socrates.	true	1631	1634.74	20.969193
1513_140222_000106_000000	SOCRATES: Then he who has no knowledge of a particular art will have no right judgment of the sayings and doings of that art?	SOCRATES: Then he who has no knowledge of a particular art will have no right judgment of the sayings and doings of that art?	true	1635.47	1648.75	19.77657
1513_140222_000107_000000	ION: Very true.	ION: Very true.	true	1649.33	1651.33	20.56292
1513_140222_000108_000000	SOCRATES: Then which will be a better judge of the lines which you were reciting from Homer, you or the charioteer?	SOCRATES: Then which will be a better judge of the lines which you were reciting from Homer, you or the charioteer?	true	1652.57	1662.22	20.891954
1513_140222_000109_000000	ION: The charioteer.	ION: The charioteer.	true	1662.74	1665.52	21.399357
1513_140222_000110_000000	SOCRATES: Why, yes, because you are a rhapsode and not a charioteer.	SOCRATES: Why, yes, because you are a rhapsode and not a charioteer.	false	1666.01	1671.91	21.82352
1513_140222_000111_000000	ION: Yes.	ION: Yes.	true	1672.31	1673.95	20.302412
1513_140222_000112_000000	SOCRATES: And the art of the rhapsode is different from that of the charioteer?	SOCRATES: And the art of the rhapsode is different from that of the charioteer?	false	1674.65	1681.45	21.22104
1513_140222_000113_000000	ION: Yes.	ION: Yes.	true	1681.97	1683.61	20.059223
1513_140222_000114_000000	SOCRATES: And if a different knowledge, then a knowledge of different matters?	SOCRATES: And if a different knowledge, then a knowledge of different matters?	true	1684.61	1690.96	20.108444
1513_140222_000115_000000	ION: True.	ION: True.	true	1691.42	1693.27	21.523043
1513_140222_000116_000000	SOCRATES: You know the passage in which Hecamede, the concubine of Nestor, is described as giving to the wounded Machaon a posset, as he says,	SOCRATES: You know the passage in which Hecamede, the concubine of Nestor, is described as giving to the wounded Machaon a posset, as he says,	true	1694.09	1708	20.183344
1513_140222_000117_000000	'Made with Pramnian wine; and she grated cheese of goat's milk with a grater of bronze, and at his side placed an onion which gives a relish to drink (Il.).'	'Made with Pramnian wine; and she grated cheese of goat's milk with a grater of bronze, and at his side placed an onion which gives a relish to drink (Il.).'	false	1708.4	1723.08	19.500692
1513_140222_000118_000000	Now would you say that the art of the rhapsode or the art of medicine was better able to judge of the propriety of these lines?	Now would you say that the art of the rhapsode or the art of medicine was better able to judge of the propriety of these lines?	false	1723.08	1732.81	21.064253
1513_140222_000119_000000	ION: The art of medicine.	ION: The art of medicine.	true	1733.27	1736.14	21.628767
1513_140222_000120_000000	SOCRATES: And when Homer says,	SOCRATES: And when Homer says,	true	1736.6	1739.74	21.518312
1513_140222_000121_000000	'And she descended into the deep like a leaden plummet, which, set in the horn of ox that ranges in the fields, rushes along carrying death among the ravenous fishes (Il.),'--	'And she descended into the deep like a leaden plummet, which, set in the horn of ox that ranges in the fields, rushes along carrying death among the ravenous fishes (Il.),'--	false	1740.23	1755.75	20.738846
1513_140222_000122_000000	will the art of the fisherman or of the rhapsode be better able to judge whether these lines are rightly expressed or not?	will the art of the fisherman or of the rhapsode be better able to judge whether these lines are rightly expressed or not?	true	1755.75	1765.42	21.260885
1513_140222_000123_000000	ION: Clearly, Socrates, the art of the fisherman.	ION: Clearly, Socrates, the art of the fisherman.	true	1766	1770.58	21.453178
1513_140222_000124_000000	SOCRATES: Come now, suppose that you were to say to me: 'Since you, Socrates, are able to assign different passages in Homer to their corresponding arts, I wish that you would tell me what are the passages of which the excellence ought to be judged by the prophet and prophetic art'; and you will see how readily and truly I shall answer you.	SOCRATES: Come now, suppose that you were to say to me: 'Since you, Socrates, are able to assign different passages in Homer to their corresponding arts, I wish that you would tell me what are the passages of which the excellence ought to be judged by the prophet and prophetic art'; and you will see how readily and truly I shall answer you.	false	1771.22	1799.71	20.66558
1513_140222_000124_000001	For there are many such passages, particularly in the Odyssee; as, for example, the passage in which Theoclymenus the prophet of the house of Melampus says to the suitors:--	For there are many such passages, particularly in the Odyssee; as, for example, the passage in which Theoclymenus the prophet of the house of Melampus says to the suitors:--	true	1800.29	1814.56	21.628004
1513_140222_000125_000000	'Wretched men! what is happening to you?	'Wretched men! what is happening to you?	true	1815.8	1819.27	21.223852
1513_140222_000125_000001	Your heads and your faces and your limbs underneath are shrouded in night; and the voice of lamentation bursts forth, and your cheeks are wet with tears.	Your heads and your faces and your limbs underneath are shrouded in night; and the voice of lamentation bursts forth, and your cheeks are wet with tears.	true	1819.88	1832.89	19.952942
1513_140222_000125_000002	And the vestibule is full, and the court is full, of ghosts descending into the darkness of Erebus, and the sun has perished out of heaven, and an evil mist is spread abroad (Od.).'	And the vestibule is full, and the court is full, of ghosts descending into the darkness of Erebus, and the sun has perished out of heaven, and an evil mist is spread abroad (Od.).'	false	1834.04	1851.75	20.924517
1513_140222_000126_000000	And there are many such passages in the Iliad also; as for example in the description of the battle near the rampart, where he says:--	And there are many such passages in the Iliad also; as for example in the description of the battle near the rampart, where he says:--	true	1851.75	1861.24	19.812246
1513_140222_000127_000000	'As they were eager to pass the ditch, there came to them an omen: a soaring eagle, holding back the people on the left, bore a huge bloody dragon in his talons, still living and panting; nor had he yet resigned the strife, for he bent back and smote the bird which carried him on the breast by the neck, and he in pain let him fall from him to the ground into the midst of the multitude.	'As they were eager to pass the ditch, there came to them an omen: a soaring eagle, holding back the people on the left, bore a huge bloody dragon in his talons, still living and panting; nor had he yet resigned the strife, for he bent back and smote the bird which carried him on the breast by the neck, and he in pain let him fall from him to the ground into the midst of the multitude.	true	1861.34	1893.28	20.206873
1513_140222_000127_000001	And the eagle, with a cry, was borne afar on the wings of the wind (Il.).'	And the eagle, with a cry, was borne afar on the wings of the wind (Il.).'	false	1894.13	1901.07	19.918404
1513_140222_000128_000000	These are the sort of things which I should say that the prophet ought to consider and determine.	These are the sort of things which I should say that the prophet ought to consider and determine.	true	1901.07	1907.44	20.656326
1513_140222_000129_000000	ION: And you are quite right, Socrates, in saying so.	ION: And you are quite right, Socrates, in saying so.	true	1908.44	1913.05	21.868862
1513_140222_000130_000000	SOCRATES: Yes, Ion, and you are right also.	SOCRATES: Yes, Ion, and you are right also.	true	1913.36	1917.97	19.979275
1513_140222_000130_000001	And as I have selected from the Iliad and Odyssee for you passages which describe the office of the prophet and the physician and the fisherman, do you, who know Homer so much better than I do, Ion, select for me passages which relate to the rhapsode and the rhapsode's art, and which the rhapsode ought to examine and judge of better than other men.	And as I have selected from the Iliad and Odyssee for you passages which describe the office of the prophet and the physician and the fisherman, do you, who know Homer so much better than I do, Ion, select for me passages which relate to the rhapsode and the rhapsode's art, and which the rhapsode ought to examine and judge of better than other men.	false	1918.91	1950.07	21.46312
1513_140222_000131_000000	ION: All passages, I should say, Socrates.	ION: All passages, I should say, Socrates.	true	1950.77	1955.08	19.884836
1513_140222_000132_000000	SOCRATES: Not all, Ion, surely.	SOCRATES: Not all, Ion, surely.	true	1955.66	1959.31	20.299215
1513_140222_000132_000001	Have you already forgotten what you were saying?	Have you already forgotten what you were saying?	true	1959.83	1962.52	19
1513_140222_000132_000002	A rhapsode ought to have a better memory.	A rhapsode ought to have a better memory.	true	1963.31	1965.73	18.739782
1513_140222_000133_000000	ION: Why, what am I forgetting?	ION: Why, what am I forgetting?	true	1966.28	1969.12	21.860985
1513_140222_000134_000000	SOCRATES: Do you not remember that you declared the art of the rhapsode to be different from the art of the charioteer?	SOCRATES: Do you not remember that you declared the art of the rhapsode to be different from the art of the charioteer?	false	1970.09	1980.01	20.552288
1513_140222_000135_000000	ION: Yes, I remember.	ION: Yes, I remember.	true	1980.44	1983.01	21.067297
1513_140222_000136_000000	SOCRATES: And you admitted that being different they would have different subjects of knowledge?	SOCRATES: And you admitted that being different they would have different subjects of knowledge?	true	1983.23	1991.08	20.48544
1513_140222_000137_000000	ION: Yes.	ION: Yes.	true	1992.11	1993.63	20.827757
1513_140222_000138_000000	SOCRATES: Then upon your own showing the rhapsode, and the art of the rhapsode, will not know everything?	SOCRATES: Then upon your own showing the rhapsode, and the art of the rhapsode, will not know everything?	false	1994.03	2002.6	20.162275
1513_140222_000139_000000	ION: I should exclude certain things, Socrates.	ION: I should exclude certain things, Socrates.	true	2004.08	2007.85	22.125643
1513_140222_000140_000000	SOCRATES: You mean to say that you would exclude pretty much the subjects of the other arts.	SOCRATES: You mean to say that you would exclude pretty much the subjects of the other arts.	false	2008.43	2015.29	20.420906
1513_140222_000140_000001	As he does not know all of them, which of them will he know?	As he does not know all of them, which of them will he know?	true	2016.5	2020.72	19.571365
1513_140222_000141_000000	ION: He will know what a man and what a woman ought to say, and what a freeman and what a slave ought to say, and what a ruler and what a subject.	ION: He will know what a man and what a woman ought to say, and what a freeman and what a slave ought to say, and what a ruler and what a subject.	true	2021.78	2036.08	18.554766
1513_140222_000142_000000	SOCRATES: Do you mean that a rhapsode will know better than the pilot what the ruler of a sea-tossed vessel ought to say?	SOCRATES: Do you mean that a rhapsode will know better than the pilot what the ruler of a sea tossed vessel ought to say?	false	2037.26	2050.33	20.018326
1513_140222_000143_000000	ION: No; the pilot will know best.	ION: No; the pilot will know best.	true	2050.91	2054.83	19.629581
1513_140222_000144_000000	SOCRATES: Or will the rhapsode know better than the physician what the ruler of a sick man ought to say?	SOCRATES: Or will the rhapsode know better than the physician what the ruler of a sick man ought to say?	false	2055.14	2064.43	20.477488
1513_140222_000145_000000	ION: He will not.	ION: He will not.	true	2065.19	2067.64	18.790789
1513_140222_000146_000000	SOCRATES: But he will know what a slave ought to say?	SOCRATES: But he will know what a slave ought to say?	false	2068.22	2073.16	21.142694
1513_140222_000147_000000	ION: Yes.	ION: Yes.	true	2073.53	2075.11	21.035727
1513_140222_000148_000000	SOCRATES: Suppose the slave to be a cowherd; the rhapsode will know better than the cowherd what he ought to say in order to soothe the infuriated cows?	SOCRATES: Suppose the slave to be a cowherd; the rhapsode will know better than the cowherd what he ought to say in order to soothe the infuriated cows?	true	2075.99	2090.5	20.696177
1513_140222_000149_000000	ION: No, he will not.	ION: No, he will not.	true	2091.23	2094.52	20.623552
1513_140222_000150_000000	SOCRATES: But he will know what a spinning-woman ought to say about the working of wool?	SOCRATES: But he will know what a spinning woman ought to say about the working of wool?	true	2095.13	2102.83	19.902475
1513_140222_000151_000000	ION: No.	ION: no	true	2103.65	2105.29	20.66027
1513_140222_000152_000000	SOCRATES: At any rate he will know what a general ought to say when exhorting his soldiers?	SOCRATES: At any rate he will know what a general ought to say when exhorting his soldiers?	true	2106.68	2114.46	19.355848
1513_140222_000153_000000	ION: Yes, that is the sort of thing which the rhapsode will be sure to know.	ION: Yes, that is the sort of thing which the rhapsode will be sure to know.	false	2114.46	2120.86	20.726059
1513_140222_000154_000000	SOCRATES: Well, but is the art of the rhapsode the art of the general?	SOCRATES: Well, but is the art of the rhapsode the art of the general?	true	2121.38	2127.43	21.336712
1513_140222_000155_000000	ION: I am sure that I should know what a general ought to say.	ION: I am sure that I should know what a general ought to say.	true	2127.74	2133.37	21.040068
1513_140222_000156_000000	SOCRATES: Why, yes, Ion, because you may possibly have a knowledge of the art of the general as well as of the rhapsode; and you may also have a knowledge of horsemanship as well as of the lyre: and then you would know when horses were well or ill managed.	SOCRATES: Why, yes, Ion, because you may possibly have a knowledge of the art of the general as well as of the rhapsode; and you may also have a knowledge of horsemanship as well as of the lyre: and then you would know when horses were well or ill managed.	true	2134.01	2155.3	19.822542
1513_140222_000156_000001	But suppose I were to ask you: By the help of which art, Ion, do you know whether horses are well managed, by your skill as a horseman or as a performer on the lyre--what would you answer?	But suppose I were to ask you: By the help of which art, Ion, do you know whether horses are well managed, by your skill as a horseman or as a performer on the lyre-what would you answer?	true	2155.85	2171.2	20.210203
1513_140222_000157_000000	ION: I should reply, by my skill as a horseman.	ION: I should reply, by my skill as a horseman.	true	2171.99	2176.48	19.830154
1513_140222_000158_000000	SOCRATES: And if you judged of performers on the lyre, you would admit that you judged of them as a performer on the lyre, and not as a horseman?	SOCRATES: And if you judged of performers on the lyre, you would admit that you judged of them as a performer on the lyre, and not as a horseman?	false	2177.03	2189.38	20.332792
1513_140222_000159_000000	ION: Yes.	ION: Yes.	true	2189.75	2191.42	21.995455
1513_140222_000160_000000	SOCRATES: And in judging of the general's art, do you judge of it as a general or a rhapsode?	SOCRATES: And in judging of the general's art, do you judge of it as a general or a rhapsode?	false	2192.06	2202.48	21.449108
1513_140222_000161_000000	ION: To me there appears to be no difference between them.	ION: To me there appears to be no difference between them.	true	2202.48	2207.92	20.685463
1513_140222_000162_000000	SOCRATES: What do you mean?	SOCRATES: What do you mean?	true	2208.29	2211.1	20.863758
1513_140222_000162_000001	Do you mean to say that the art of the rhapsode and of the general is the same?	Do you mean to say that the art of the rhapsode and of the general is the same?	true	2211.26	2217.34	20.180468
1513_140222_000163_000000	ION: Yes, one and the same.	ION: Yes, one and the same.	false	2217.77	2221.39	18.503464
1513_140222_000164_000000	SOCRATES: Then he who is a good rhapsode is also a good general?	SOCRATES: Then he who is a good rhapsode is also a good general?	true	2222.18	2228.86	20.451641
1513_140222_000165_000000	ION: Certainly, Socrates.	ION: Certainly, Socrates.	true	2229.2	2232.04	19.236752
1513_140222_000166_000000	SOCRATES: And he who is a good general is also a good rhapsode?	SOCRATES: And he who is a good general is also a good rhapsode?	false	2232.71	2238.24	20.484552
1513_140222_000167_000000	ION: No; I do not say that.	ION: No; I do not say that.	true	2238.24	2241.4	23.10419
1513_140222_000168_000000	SOCRATES: But you do say that he who is a good rhapsode is also a good general.	SOCRATES: But you do say that he who is a good rhapsode is also a good general.	true	2241.83	2247.79	20.213238
1513_140222_000169_000000	ION: Certainly.	ION: Certainly.	true	2248.16	2250.01	18.941721
1513_140222_000170_000000	SOCRATES: And you are the best of Hellenic rhapsodes?	SOCRATES: And you are the best of Hellenic rhapsodes?	false	2250.65	2255.7	20.597937
1513_140222_000171_000000	ION: Far the best, Socrates.	ION: Far the best, Socrates.	true	2255.7	2258.77	21.727077
1513_140222_000172_000000	SOCRATES: And are you the best general, Ion?	SOCRATES: And are you the best general, Ion?	true	2259.29	2263.42	19.095942
1513_140222_000173_000000	ION: To be sure, Socrates; and Homer was my master.	ION: To be sure, Socrates; and Homer was my master.	true	2263.97	2269.18	20.134306
1513_140222_000174_000000	SOCRATES: But then, Ion, what in the name of goodness can be the reason why you, who are the best of generals as well as the best of rhapsodes in all Hellas, go about as a rhapsode when you might be a general?	SOCRATES: But then, Ion, what in the name of goodness can be the reason why you, who are the best of generals as well as the best of rhapsodes in all Hellas, go about as a rhapsode when you might be a general?	false	2269.91	2288.5	21.407104
1513_140222_000174_000001	Do you think that the Hellenes want a rhapsode with his golden crown, and do not want a general?	Do you think that the Hellenes want a rhapsode with his golden crown, and do not want a general?	false	2289.29	2296.99	19.863106
1513_140222_000175_000000	ION: Why, Socrates, the reason is, that my countrymen, the Ephesians, are the servants and soldiers of Athens, and do not need a general; and you and Sparta are not likely to have me, for you think that you have enough generals of your own.	ION: Why, Socrates, the reason is, that my countrymen, the ephesians, are the servants and soldiers of Athens, and do not need a general; and you and Sparta are not likely to have me, for you think that you have enough generals of your own.	true	2298.11	2316.46	19.63462
1513_140222_000176_000000	SOCRATES: My good Ion, did you never hear of Apollodorus of Cyzicus?	SOCRATES: My good Ion, did you never hear of Apollodorus of Cyzicus?	true	2317.37	2324.83	20.458204
1513_140222_000177_000000	ION: Who may he be?	ION: Who may he be?	true	2325.41	2328.04	18.515387
1513_140222_000178_000000	SOCRATES: One who, though a foreigner, has often been chosen their general by the Athenians: and there is Phanosthenes of Andros, and Heraclides of Clazomenae, whom they have also appointed to the command of their armies and to other offices, although aliens, after they had shown their merit.	SOCRATES: One who, though a foreigner, has often been chosen their general by the Athenians: and there is Phanosthenes of Andros, and Heraclides of Clazomenae, whom they have also appointed to the command of their armies and to other offices, although aliens, after they had shown their merit.	false	2328.74	2354.26	20.078999
1513_140222_000178_000001	And will they not choose Ion the Ephesian to be their general, and honour him, if he prove himself worthy?	And will they not choose Ion the Ephesian to be their general, and honour him, if he prove himself worthy?	true	2355.71	2364.13	21.351536
1513_140222_000178_000002	Were not the Ephesians originally Athenians, and Ephesus is no mean city?	Were not the ephesians originally Athenians, and Ephesus is no mean city?	true	2365.37	2371.51	20.702847
1513_140222_000178_000003	But, indeed, Ion, if you are correct in saying that by art and knowledge you are able to praise Homer, you do not deal fairly with me, and after all your professions of knowing many glorious things about Homer, and promises that you would exhibit them, you are only a deceiver, and so far from exhibiting the art of which you are a master, will not, even after my repeated entreaties, explain to me the nature of it.	But, indeed, Ion, if you are correct in saying that by art and knowledge you are able to praise Homer, you do not deal fairly with me, and after all your professions of knowing many glorious things about Homer, and promises that you would exhibit them, you are only a deceiver, and so far from exhibiting the art of which you are a master, will not, even after my repeated entreaties, explain to me the nature of it.	true	2372.54	2410.84	20.472628
1513_140222_000178_000004	You have literally as many forms as Proteus; and now you go all manner of ways, twisting and turning, and, like Proteus, become all manner of people at once, and at last slip away from me in the disguise of a general, in order that you may escape exhibiting your Homeric lore.	You have literally as many forms as Proteus; and now you go all manner of ways, twisting and turning, and, like Proteus, become all manner of people at once, and at last slip away from me in the disguise of a general, in order that you may escape exhibiting your Homeric lore.	true	2411.87	2437.21	20.185253
1513_140222_000178_000005	And if you have art, then, as I was saying, in falsifying your promise that you would exhibit Homer, you are not dealing fairly with me.	And if you have art, then, as I was saying, in falsifying your promise that you would exhibit Homer, you are not dealing fairly with me.	true	2438.45	2449.36	20.560425
1513_140222_000178_000006	But if, as I believe, you have no art, but speak all these beautiful words about Homer unconsciously under his inspiring influence, then I acquit you of dishonesty, and shall only say that you are inspired.	But if, as I believe, you have no art, but speak all these beautiful words about Homer unconsciously under his inspiring influence, then I acquit you of dishonesty, and shall only say that you are inspired.	true	2450.3	2470.27	20.358896
1513_140222_000178_000007	Which do you prefer to be thought, dishonest or inspired?	Which do you prefer to be thought, dishonest or inspired?	true	2470.97	2475.7	22.140284
1513_140222_000179_000000	ION: There is a great difference, Socrates, between the two alternatives; and inspiration is by far the nobler.	ION: There is a great difference, Socrates, between the two alternatives; and inspiration is by far the nobler.	true	2477.45	2488.3	20.617865
1513_140222_000180_000000	SOCRATES: Then, Ion, I shall assume the nobler alternative; and attribute to you in your praises of Homer inspiration, and not art.	SOCRATES: Then, Ion, I shall assume the nobler alternative; and attribute to you in your praises of Homer inspiration, and not art.	true	2489.3	2502.91	20.44163
1513_140222_000181_000000	End of the Project Gutenberg EBook of Ion, by Plato	End of the Project Gutenberg EBook of Ion, by Plato	false	2507.18	2516.79	19.29697
