6371_63713_000001_000000	CHAPTER II	CHAPTER two
6371_63713_000137_000000	"Shouldn't wonder but it was done with this!" and Thong held out, on the palm of his large hand, a slender dagger, on the otherwise bright blade of which were some dark stains.	"Shouldn't wonder but it was done with this!" and Thong held out, on the palm of his large hand, a slender dagger, on the otherwise bright blade of which were some dark stains.
6371_63713_000138_000000	"Where'd you get it?" demanded Carroll.	"Where'd you get it?" demanded Carroll.
6371_63713_000139_000000	"Over on the watch repair table."	"Over on the watch repair table."
6371_63713_000140_000000	Darcy gasped.	Darcy gasped.
6371_63713_000141_000000	"Is that your dagger?" snapped Carroll at the jewelry worker.	"Is that your dagger?" snapped Carroll at the jewelry worker.
6371_63713_000142_000000	"It isn't a dagger--it's a paper-cutter--a magazine knife."	"It isn't a dagger-it's a paper cutter-a magazine knife."
6371_63713_000143_000000	"Well, whatever it is, who owns it?"	"Well, whatever it is, who owns it?"
6371_63713_000143_000001	The words were as crisp as the steel of the stained blade.	The words were as crisp as the steel of the stained blade.
6371_63713_000144_000000	Darcy stared at the keen knife, and then at the dead woman.	Darcy stared at the keen knife, and then at the dead woman.
6371_63713_000146_000000	"I don't!	"I don't!
6371_63713_000146_000001	It was left here by--"	It was left here by-"
6371_63713_000148_000001	Place on fire?	Place on fire?
6371_63713_000148_000003	Let me in.	Let me in.
6371_63713_000148_000006	I got something here.	I got something here.
6371_63713_000148_000007	'Svaluable, too!	'Svaluable, too!
6371_63713_000149_000000	"'Lo, Darcy!" went on a young man, who walked unsteadily into the jewelry store.	"'Lo, Darcy!" went on a young man, who walked unsteadily into the jewelry store.
6371_63713_000149_000001	"Wheresh tha' paper cutter I left for you t' 'grave Pearl's name on?	"Wheresh tha' paper cutter I left for you t' 'grave Pearl's name on?
6371_63713_000149_000002	Got take it home now.	Got take it home now.
6371_63713_000149_000005	Take wifely home li'l preshent--you know how 'tish.	Take wifely home li'l preshent-you know how 'tish.
6371_63713_000149_000007	Wheresh my gold-mounted paper cutter, Darcy?"	Wheresh my gold mounted paper cutter, Darcy?"
6371_63713_000150_000000	"Harry King, and stewed to the gills again!" murmured Pete Daley. "Wow! he has some bun on!"	"Harry King, and stewed to the gills again!" murmured Pete Daley. "Wow! he has some bun on!"
6371_63713_000151_000000	"Wheresh my paper cutter, Darcy?" went on King, smiling in a fashion meant to be merry, but which was fixed and glassy as to his eyes. "Wheresh my li'l preshent for wifely?	"Wheresh my paper cutter, Darcy?" went on King, smiling in a fashion meant to be merry, but which was fixed and glassy as to his eyes. "Wheresh my li'l preshent for wifely?
6371_63713_000152_000001	The detective held it out, and the red spots on it seemed to show brighter in the gleam of the electric lights.	The detective held it out, and the red spots on it seemed to show brighter in the gleam of the electric lights.
6371_63713_000153_000000	"Is that your knife, Harry King?" demanded Thong.	"Is that your knife, Harry King?" demanded Thong.
6371_63713_000154_000000	"Sure thash mine!	"Sure thash mine!
6371_63713_000154_000002	Didn't have no name on it--brought it here for my ole fren', Darcy, t' engrave.	Didn't have no name on it-brought it here for my ole fren', Darcy, t' engrave.
6371_63713_000155_000000	"My wife--she likes them things.	"My wife-she likes them things.
6371_63713_000155_000003	But gotta square wife somehow.	But gotta square wife somehow.
6371_63713_000155_000004	Take her home nice preshent.	Take her home nice preshent.
6371_63713_000155_000005	Thatsh me--sure thash mine!" and carefully trying to balance himself, he reached forward as though to take the stained dagger from the hand of the detective.	Thatsh me-sure thash mine!" and carefully trying to balance himself, he reached forward as though to take the stained dagger from the hand of the detective.
6371_63713_000156_000000	"You got Pearl's name 'graved on it, Darcy, ole man?" asked King, thickly, licking his hot and feverish lips.	"You got Pearl's name 'graved on it, Darcy, ole man?" asked King, thickly, licking his hot and feverish lips.
6371_63713_000157_000000	"No," answered the jewelry worker, hollowly.	"No," answered the jewelry worker, hollowly.
