2204_131732_000000_000000	THE title of this chapter might imply that there is an unsocial side to Edison.	THE title of this chapter might imply that there is an unsocial side to Edison.	true	33.24	38.14	17
2204_131732_000013_000000	Then came the trip from the Continent to England, of which this will certainly pass as a graphic picture: "When I crossed over to England I had heard a good deal about the terrors of the English Channel as regards seasickness.	Then came the trip from the Continent to England, of which this will certainly pass as a graphic picture: "When I crossed over to England I had heard a good deal about the terrors of the English Channel as regards seasickness.	false	1054.55	1067.47	21.756044
2204_131732_000013_000001	I had been over the ocean three times and did not know what seasickness was, so far as I was concerned myself.	I had been over the ocean three times and did not know what seasickness was, so far as I was concerned myself.	true	1067.87	1074.46	20.972366
2204_131732_000013_000002	I was told that while a man might not get seasick on the ocean, if he met a good storm on the Channel it would do for him.	I was told that while a man might not get seasick on the ocean, if he met a good storm on the Channel it would do for him.	true	1075.01	1081.74	22.243399
2204_131732_000013_000003	When we arrived at Calais to cross over, everybody made for the restaurant.	When we arrived at Calais to cross over, everybody made for the restaurant.	false	1081.74	1087.09	23.934532
2204_131732_000013_000004	I did not care about eating, and did not go to the restaurant, but my family did.	I did not care about eating, and did not go to the restaurant, but my family did.	true	1087.76	1092.07	24.11896
2204_131732_000013_000005	I walked out and tried to find the boat.	I walked out and tried to find the boat.	true	1092.47	1094.98	27.87758
2204_131732_000013_000006	Going along the dock I saw two small smokestacks sticking up, and looking down saw a little boat.	Going along the dock I saw two small smokestacks sticking up, and looking down saw a little boat.	true	1095.65	1101.55	24.030315
2204_131732_000013_000007	'Where is the steamer that goes across the Channel?' 'This is the boat.' There had been a storm in the North Sea that had carried away some of the boats on the German steamer, and it certainly looked awful tough outside.	'Where is the steamer that goes across the Channel?' 'This is the boat.' There had been a storm in the North Sea that had carried away some of the boats on the German steamer, and it certainly looked awful tough outside.	true	1102.31	1114.33	20.381351
2204_131732_000013_000008	I said to the man: 'Will that boat live in that sea?' 'Oh yes,' he said, 'but we've had a bad storm.' So I made up my mind that perhaps I would get sick this time.	I said to the man: 'Will that boat live in that sea?' 'Oh yes,' he said, 'but we've had a bad storm.' So I made up my mind that perhaps I would get sick this time.	false	1114.91	1125.34	23.641855
2204_131732_000013_000009	The managing director of the English railroad owning this line was Forbes, who heard I was coming over, and placed the private saloon at my disposal.	The managing director of the English railroad owning this line was Forbes, who heard I was coming over, and placed the private saloon at my disposal.	true	1125.92	1133.8	21.994078
2204_131732_000013_000010	The moment my family got in the room with the French lady's maid and the rest, they commenced to get sick, so I felt pretty sure I was in for it.	The moment my family got in the room with the French lady's maid and the rest, they commenced to get sick, so I felt pretty sure I was in for it.	true	1134.35	1141.84	22.468834
2204_131732_000013_000011	We started out of the little inlet and got into the Channel, and that boat went in seventeen directions simultaneously.	We started out of the little inlet and got into the Channel, and that boat went in seventeen directions simultaneously.	true	1142.27	1148.92	23
2204_131732_000013_000012	I waited awhile to see what was going to occur, and then went into the smoking-compartment.	I waited awhile to see what was going to occur, and then went into the smoking compartment.	true	1149.44	1153.72	20.532726
2204_131732_000013_000013	Nobody was there.	Nobody was there.	true	1153.91	1155.1	21.797253
2204_131732_000013_000014	By-and-by the fun began.	By and by the fun began.	true	1155.62	1157.35	21.818024
2204_131732_000013_000015	Sounds of all kinds and varieties were heard in every direction. They were all sick.	Sounds of all kinds and varieties were heard in every direction. They were all sick.	true	1157.54	1162.72	24.494665
2204_131732_000013_000016	There must have been 100 people aboard.	There must have been one hundred people aboard.	true	1163.09	1165.27	21.918777
2204_131732_000013_000017	I didn't see a single exception except the waiters and myself.	I didn't see a single exception except the waiters and myself.	true	1165.52	1168.87	22.645916
2204_131732_000013_000018	I asked one of the waiters concerning the boat itself, and was taken to see the engineer, and went down to look at the engines, and saw the captain.	I asked one of the waiters concerning the boat itself, and was taken to see the engineer, and went down to look at the engines, and saw the captain.	true	1169.15	1175.98	20
2204_131732_000013_000019	But I kept mostly in the smoking-room.	But I kept mostly in the smoking room.	true	1176.62	1178.71	22.91042
2204_131732_000013_000020	I was smoking a big cigar, and when a man looked in I would give a big puff, and every time they saw that they would go away and begin again.	I was smoking a big cigar, and when a man looked in I would give a big puff, and every time they saw that they would go away and begin again.	false	1178.87	1186.45	22.76963
2204_131732_000013_000021	The English Channel is a holy terror, all right, but it didn't affect me.	The English Channel is a holy terror, all right, but it didn't affect me.	true	1186.7	1190.62	26.683231
2204_131732_000013_000022	I must be out of balance."	I must be out of balance."	true	1190.84	1192.54	19.968014
2204_131732_000014_000000	While in Paris, Edison had met Sir John Pender, the English "cable king," and had received an invitation from him to make a visit to his country residence: "Sir John Pender, the master of the cable system of the world at that time, I met in Paris.	While in Paris, Edison had met Sir john Pender, the English "cable king," and had received an invitation from him to make a visit to his country residence: "Sir john Pender, the master of the cable system of the world at that time, I met in Paris.	true	1192.73	1207.6	22.284801
2204_131732_000014_000001	I think he must have lived among a lot of people who were very solemn, because I went out riding with him in the Bois de Boulogne and started in to tell him American stories. Although he was a Scotchman he laughed immoderately.	I think he must have lived among a lot of people who were very solemn, because I went out riding with him in the Bois de Boulogne and started in to tell him American stories. Although he was a Scotchman he laughed immoderately.	false	1207.88	1220.95	21.400288
2204_131732_000014_000002	He had the faculty of understanding and quickly seeing the point of the stories; and for three days after I could not get rid of him.	He had the faculty of understanding and quickly seeing the point of the stories; and for three days after I could not get rid of him.	true	1221.26	1227.94	24.912653
2204_131732_000014_000003	Finally I made him a promise that I would go to his country house at Foot's Cray, near London.	Finally I made him a promise that I would go to his country house at Foot's Cray, near London.	true	1228.52	1233.25	20.227207
2204_131732_000014_000004	So I went there, and spent two or three days telling him stories.	So I went there, and spent two or three days telling him stories.	true	1233.26	1236.82	20
2204_131732_000015_000000	"While at Foot's Cray, I met some of the backers of Ferranti, then putting up a gigantic alternating-current dynamo near London to send ten or fifteen thousand volts up into the main district of the city for electric lighting.	"While at Foot's Cray, I met some of the backers of Ferranti, then putting up a gigantic alternating current dynamo near London to send ten or fifteen thousand volts up into the main district of the city for electric lighting.	true	1237.67	1250.26	20.672367
2204_131732_000015_000001	I think Pender was interested.	I think Pender was interested.	true	1250.72	1252.54	19.168951
2204_131732_000015_000002	At any rate the people invited to dinner were very much interested, and they questioned me as to what I thought of the proposition.	At any rate the people invited to dinner were very much interested, and they questioned me as to what I thought of the proposition.	true	1252.73	1259.05	24.851904
2204_131732_000015_000003	I said I hadn't any thought about it, and could not give any opinion until I saw it.	I said I hadn't any thought about it, and could not give any opinion until I saw it.	false	1259.45	1264.41	21.30218
2204_131732_000015_000004	So I was taken up to London to see the dynamo in course of construction and the methods employed; and they insisted I should give them some expression of my views.	So I was taken up to London to see the dynamo in course of construction and the methods employed; and they insisted I should give them some expression of my views.	true	1264.41	1272.91	19
2204_131732_000015_000005	While I gave them my opinion, it was reluctantly; I did not want to do so.	While I gave them my opinion, it was reluctantly; I did not want to do so.	true	1273.19	1277.77	18.31384
2204_131732_000015_000006	I thought that commercially the thing was too ambitious, that Ferranti's ideas were too big, just then; that he ought to have started a little smaller until he was sure.	I thought that commercially the thing was too ambitious, that Ferranti's ideas were too big, just then; that he ought to have started a little smaller until he was sure.	true	1278.2	1287.91	23.905434
2204_131732_000015_000007	I understand that this installation was not commercially successful, as there were a great many troubles. But Ferranti had good ideas, and he was no small man."	I understand that this installation was not commercially successful, as there were a great many troubles. But Ferranti had good ideas, and he was no small man."	false	1288.31	1297.81	21.937595
2204_131732_000016_000000	Incidentally it may be noted here that during the same year (1889) the various manufacturing Edison lighting interests in America were brought together, under the leadership of Mr. Henry Villard, and consolidated in the Edison General Electric Company with a capital of no less than $12,000,000 on an eight-per-cent.-dividend basis.	Incidentally it may be noted here that during the same year (eighteen eighty nine) the various manufacturing Edison lighting interests in America were brought together, under the leadership of mr Henry Villard, and consolidated in the Edison General Electric Company with a capital of no less than twelve million dollars on an eight per cent.-dividend basis.	true	1298.96	1319.08	21.09267
2204_131732_000016_000001	The numerous Edison central stations all over the country represented much more than that sum, and made a splendid outlet for the product of the factories.	The numerous Edison central stations all over the country represented much more than that sum, and made a splendid outlet for the product of the factories.	false	1319.81	1328.17	25.695503
2204_131732_000016_000002	A few years later came the consolidation with the Thomson-Houston interests in the General Electric Company, which under the brilliant and vigorous management of President C. A. Coffin has become one of the greatest manufacturing institutions of the country, with an output of apparatus reaching toward $75,000,000 annually.	A few years later came the consolidation with the Thomson Houston interests in the General Electric Company, which under the brilliant and vigorous management of President c a Coffin has become one of the greatest manufacturing institutions of the country, with an output of apparatus reaching toward seventy five million dollars annually.	true	1328.45	1347.16	22
2204_131732_000016_000003	The net result of both financial operations was, however, to detach Edison from the special field of invention to which he had given so many of his most fruitful years; and to close very definitely that chapter of his life, leaving him free to develop other ideas and interests as set forth in these volumes.	The net result of both financial operations was, however, to detach Edison from the special field of invention to which he had given so many of his most fruitful years; and to close very definitely that chapter of his life, leaving him free to develop other ideas and interests as set forth in these volumes.	true	1347.77	1365.31	21.84011
2204_131732_000017_000000	It might appear strange on the surface, but one of the reasons that most influenced Edison to regrets in connection with the "big trade" of 1889 was that it separated him from his old friend and ally, Bergmann, who, on selling out, saw a great future for himself in Germany, went there, and realized it.	It might appear strange on the surface, but one of the reasons that most influenced Edison to regrets in connection with the "big trade" of eighteen eighty nine was that it separated him from his old friend and ally, Bergmann, who, on selling out, saw a great future for himself in Germany, went there, and realized it.	true	1365.92	1383.52	21.876366
2204_131732_000017_000001	Edison has always had an amused admiration for Bergmann, and his "social side" is often made evident by his love of telling stories about those days of struggle.	Edison has always had an amused admiration for Bergmann, and his "social side" is often made evident by his love of telling stories about those days of struggle.	true	1384.28	1393.09	19
2204_131732_000017_000002	Some of the stories were told for this volume.	Some of the stories were told for this volume.	true	1393.82	1396.3	24.23158
2204_131732_000017_000003	"Bergmann came to work for me as a boy," says Edison.	"Bergmann came to work for me as a boy," says Edison.	true	1397.09	1399.9	21.123137
2204_131732_000017_000004	"He started in on stock-quotation printers.	"He started in on stock quotation printers.	true	1399.97	1402.84	27.419703
2204_131732_000017_000005	As he was a rapid workman and paid no attention to the clock, I took a fancy to him, and gave him piece-work.	As he was a rapid workman and paid no attention to the clock, I took a fancy to him, and gave him piece work.	true	1403.36	1409.44	24.804743
2204_131732_000017_000006	He contrived so many little tools to cheapen the work that he made lots of money.	He contrived so many little tools to cheapen the work that he made lots of money.	true	1410.08	1414.18	21.613697
2204_131732_000017_000007	I even helped him get up tools until it occurred to me that this was too rapid a process of getting rid of my money, as I hadn't the heart to cut the price when it was originally fair.	I even helped him get up tools until it occurred to me that this was too rapid a process of getting rid of my money, as I hadn't the heart to cut the price when it was originally fair.	true	1414.82	1424.02	24
2204_131732_000017_000008	After a year or so, Bergmann got enough money to start a small shop in Wooster Street, New York, and it was at this shop that the first phonographs were made for sale.	After a year or so, Bergmann got enough money to start a small shop in Wooster Street, New York, and it was at this shop that the first phonographs were made for sale.	true	1424.84	1433.89	22
2204_131732_000017_000009	Then came the carbon telephone transmitter, a large number of which were made by Bergmann for the Western Union.	Then came the carbon telephone transmitter, a large number of which were made by Bergmann for the Western Union.	false	1434.5	1440.43	22.25975
2204_131732_000017_000010	Finally came the electric light.	Finally came the electric light.	true	1440.95	1442.92	28.939423
2204_131732_000017_000011	A dynamo was installed in Bergmann's shop to permit him to test the various small devices which he was then making for the system.	A dynamo was installed in Bergmann's shop to permit him to test the various small devices which he was then making for the system.	true	1443.47	1450.24	18
2204_131732_000017_000012	He rented power from a Jew who owned the building.	He rented power from a Jew who owned the building.	true	1450.43	1453.24	24
2204_131732_000017_000013	Power was supplied from a fifty-horse-power engine to other tenants on the several floors.	Power was supplied from a fifty horse power engine to other tenants on the several floors.	true	1453.88	1458.76	21.945145
2204_131732_000017_000014	Soon after the introduction of the big dynamo machine, the landlord appeared in the shop and insisted that Bergmann was using more power than he was paying for, and said that lately the belt on the engine was slipping and squealing.	Soon after the introduction of the big dynamo machine, the landlord appeared in the shop and insisted that Bergmann was using more power than he was paying for, and said that lately the belt on the engine was slipping and squealing.	true	1459.1	1471.12	19
2204_131732_000017_000015	Bergmann maintained that he must be mistaken.	Bergmann maintained that he must be mistaken.	true	1472.09	1474.57	18
2204_131732_000017_000016	The landlord kept going among his tenants and finally discovered the dynamo.	The landlord kept going among his tenants and finally discovered the dynamo.	true	1475.18	1479.16	22
2204_131732_000017_000017	'Oh!	'Oh!	true	1479.44	1479.96	22
2204_131732_000017_000018	Mr. Bergmann, now I know where my power goes to,' pointing to the dynamo.	mr Bergmann, now I know where my power goes to,' pointing to the dynamo.	true	1479.96	1483.87	20
2204_131732_000017_000019	Bergmann gave him a withering look of scorn, and said, 'Come here and I will show you.' Throwing off the belt and disconnecting the wires, he spun the armature around by hand.	Bergmann gave him a withering look of scorn, and said, 'Come here and I will show you.' Throwing off the belt and disconnecting the wires, he spun the armature around by hand.	true	1484.66	1495.06	22.214445
2204_131732_000017_000020	'There,' said Bergmann, 'you see it's not here that you must look for your loss.' This satisfied the landlord, and he started off to his other tenants.	'There,' said Bergmann, 'you see it's not here that you must look for your loss.' This satisfied the landlord, and he started off to his other tenants.	true	1495.37	1503.55	21.642586
2204_131732_000017_000021	He did not know that that machine, when the wires were connected, could stop his engine.	He did not know that that machine, when the wires were connected, could stop his engine.	true	1503.86	1508.95	23.672773
2204_131732_000018_000000	"Soon after, the business had grown so large that E. H. Johnson and I went in as partners, and Bergmann rented an immense factory building at the corner of Avenue B and East Seventeenth Street, New York, six stories high and covering a quarter of a block.	"Soon after, the business had grown so large that e h Johnson and I went in as partners, and Bergmann rented an immense factory building at the corner of Avenue B and East Seventeenth Street, New York, six stories high and covering a quarter of a block.	true	1510.4	1525.66	23.873337
2204_131732_000018_000001	Here were made all the small things used on the electric-lighting system, such as sockets, chandeliers, switches, meters, etc.	Here were made all the small things used on the electric lighting system, such as sockets, chandeliers, switches, meters, etc	true	1526.36	1534.24	21
2204_131732_000018_000002	In addition, stock tickers, telephones, telephone switchboards, and typewriters were made the Hammond typewriters were perfected and made there.	In addition, stock tickers, telephones, telephone switchboards, and typewriters were made the Hammond typewriters were perfected and made there.	false	1534.76	1543.48	21
2204_131732_000018_000003	Over 1500 men were finally employed.	Over fifteen hundred men were finally employed.	true	1544.69	1547.47	21.267834
2204_131732_000018_000004	This shop was very successful both scientifically and financially.	This shop was very successful both scientifically and financially.	true	1547.93	1551.91	21
2204_131732_000018_000005	Bergmann was a man of great executive ability and carried economy of manufacture to the limit.	Bergmann was a man of great executive ability and carried economy of manufacture to the limit.	true	1552.34	1557.58	23.262358
2204_131732_000018_000006	Among all the men I have had associated with me, he had the commercial instinct most highly developed."	Among all the men I have had associated with me, he had the commercial instinct most highly developed."	true	1557.77	1563.79	21
2204_131732_000019_000000	One need not wonder at Edison's reminiscent remark that, "In any trade any of my 'boys' made with Bergmann he always got the best of them, no matter what it was.	One need not wonder at Edison's reminiscent remark that, "In any trade any of my 'boys' made with Bergmann he always got the best of them, no matter what it was.	true	1564.79	1574.41	20.91154
2204_131732_000019_000001	One time there was to be a convention of the managers of Edison illuminating companies at Chicago.	One time there was to be a convention of the managers of Edison illuminating companies at Chicago.	true	1574.99	1580.2	16
2204_131732_000019_000002	There were a lot of representatives from the East, and a private car was hired.	There were a lot of representatives from the East, and a private car was hired.	true	1580.87	1585.55	20.647182
2204_131732_000019_000003	At Jersey City a poker game was started by one of the delegates.	At Jersey City a poker game was started by one of the delegates.	true	1585.55	1588.84	21.73778
2204_131732_000019_000004	Bergmann was induced to enter the game.	Bergmann was induced to enter the game.	true	1589.12	1591.48	23.183308
2204_131732_000019_000005	This was played right through to Chicago without any sleep, but the boys didn't mind that.	This was played right through to Chicago without any sleep, but the boys didn't mind that.	true	1591.82	1595.86	24
2204_131732_000019_000006	I had gotten them immune to it.	I had gotten them immune to it.	true	1596.29	1598.08	22.506836
2204_131732_000019_000007	Bergmann had won all the money, and when the porter came in and said 'Chicago,' Bergmann jumped up and said: 'What!	Bergmann had won all the money, and when the porter came in and said 'Chicago,' Bergmann jumped up and said: 'What!	true	1598.39	1605.02	20.27834
2204_131732_000019_000008	Chicago!	Chicago!	true	1605.02	1605.72	25
2204_131732_000019_000009	I thought it was only Philadelphia!'"	I thought it was only Philadelphia!'"	true	1605.72	1607.23	25.544075
2204_131732_000020_000000	But perhaps this further story is a better indication of developed humor and shrewdness: "A man by the name of Epstein had been in the habit of buying brass chips and trimmings from the lathes, and in some way Bergmann found out that he had been cheated.	But perhaps this further story is a better indication of developed humor and shrewdness: "A man by the name of Epstein had been in the habit of buying brass chips and trimmings from the lathes, and in some way Bergmann found out that he had been cheated.	true	1608.56	1622.14	21.730572
2204_131732_000020_000001	This hurt his pride, and he determined to get even.	This hurt his pride, and he determined to get even.	true	1622.54	1625.32	21.375994
2204_131732_000020_000002	One day Epstein appeared and said: 'Good-morning, Mr. Bergmann, have you any chips to-day?' 'No,' said Bergmann, 'I have none.' 'That's strange, Mr. Bergmann; won't you look?' No, he wouldn't look; he knew he had none.	One day Epstein appeared and said: 'Good morning, mr Bergmann, have you any chips to day?' 'No,' said Bergmann, 'I have none.' 'That's strange, mr Bergmann; won't you look?' No, he wouldn't look; he knew he had none.	true	1626.05	1638.94	23.48682
2204_131732_000020_000003	Finally Epstein was so persistent that Bergmann called an assistant and told him to go and see if he had any chips.	Finally Epstein was so persistent that Bergmann called an assistant and told him to go and see if he had any chips.	true	1639.94	1645.81	19
2204_131732_000020_000004	He returned and said they had the largest and finest lot they ever had.	He returned and said they had the largest and finest lot they ever had.	false	1646.42	1651.32	22.22228
2204_131732_000020_000005	Epstein went up to several boxes piled full of chips, and so heavy that he could not lift even one end of a box.	Epstein went up to several boxes piled full of chips, and so heavy that he could not lift even one end of a box.	false	1651.32	1657.47	21
2204_131732_000020_000006	'Now, Mr. Bergmann,' said Epstein, 'how much for the lot?' 'Epstein,' said Bergmann, 'you have cheated me, and I will no longer sell by the lot, but will sell only by the pound.' No amount of argument would apparently change Bergmann's determination to sell by the pound, but finally Epstein got up to $250 for the lot, and Bergmann, appearing as if disgusted, accepted and made him count out the money.	'Now, mr Bergmann,' said Epstein, 'how much for the lot?' 'Epstein,' said Bergmann, 'you have cheated me, and I will no longer sell by the lot, but will sell only by the pound.' No amount of argument would apparently change Bergmann's determination to sell by the pound, but finally Epstein got up to two hundred fifty dollars for the lot, and Bergmann, appearing as if disgusted, accepted and made him count out the money.	false	1657.47	1680.07	22.14964
2204_131732_000020_000007	Then he said: 'Well, Epstein, good-bye, I've got to go down to Wall Street.' Epstein and his assistant then attempted to lift the boxes to carry them out, but couldn't; and then discovered that calculations as to quantity had been thrown out because the boxes had all been screwed down to the floor and mostly filled with boards with a veneer of brass chips.	Then he said: 'Well, Epstein, good bye, I've got to go down to Wall Street.' Epstein and his assistant then attempted to lift the boxes to carry them out, but couldn't; and then discovered that calculations as to quantity had been thrown out because the boxes had all been screwed down to the floor and mostly filled with boards with a veneer of brass chips.	true	1680.86	1699.9	23.643076
2204_131732_000020_000008	He made such a scene that he had to be removed by the police.	He made such a scene that he had to be removed by the police.	true	1700.24	1703.53	19
2204_131732_000020_000009	I met him several days afterward and he said he had forgiven Mr. Bergmann, as he was such a smart business man, and the scheme was so ingenious.	I met him several days afterward and he said he had forgiven mr Bergmann, as he was such a smart business man, and the scheme was so ingenious.	false	1703.87	1711.84	19
2204_131732_000021_000000	"One day as a joke I filled three or four sheets of foolscap paper with a jumble of figures and told Bergmann they were calculations showing the great loss of power from blowing the factory whistle.	"One day as a joke I filled three or four sheets of foolscap paper with a jumble of figures and told Bergmann they were calculations showing the great loss of power from blowing the factory whistle.	false	1713.38	1723.12	20
2204_131732_000021_000001	Bergmann thought it real, and never after that would he permit the whistle to blow."	Bergmann thought it real, and never after that would he permit the whistle to blow."	true	1723.43	1727.41	24.543673
2204_131732_000022_000000	Another glimpse of the "social side" is afforded in the following little series of pen-pictures of the same place and time: "I had my laboratory at the top of the Bergmann works, after moving from Menlo Park.	Another glimpse of the "social side" is afforded in the following little series of pen pictures of the same place and time: "I had my laboratory at the top of the Bergmann works, after moving from Menlo Park.	true	1728.89	1740.52	24.38073
2204_131732_000022_000001	The building was six stories high.	The building was six stories high.	true	1741.31	1743.22	19.578377
2204_131732_000022_000002	My father came there when he was eighty years of age.	My father came there when he was eighty years of age.	true	1743.65	1746.67	22.117126
2204_131732_000022_000003	The old man had powerful lungs.	The old man had powerful lungs.	true	1746.77	1749.04	18.372864
2204_131732_000022_000004	In fact, when I was examined by the Mutual Life Insurance Company, in 1873, my lung expansion was taken by the doctor, and the old gentleman was there at the time.	In fact, when I was examined by the Mutual Life Insurance Company, in eighteen seventy three, my lung expansion was taken by the doctor, and the old gentleman was there at the time.	true	1749.23	1758.55	23.441
2204_131732_000022_000005	He said to the doctor: 'I wish you would take my lung expansion, too.' The doctor took it, and his surprise was very great, as it was one of the largest on record.	He said to the doctor: 'I wish you would take my lung expansion, too.' The doctor took it, and his surprise was very great, as it was one of the largest on record.	false	1759.34	1768.78	22.448952
2204_131732_000022_000006	I think it was five and one-half inches.	I think it was five and one half inches.	true	1768.91	1771.33	23.822664
2204_131732_000022_000007	There were only three or four could beat it.	There were only three or four could beat it.	true	1771.88	1773.94	23.916523
2204_131732_000022_000008	Little Bergmann hadn't much lung power.	Little Bergmann hadn't much lung power.	true	1774.34	1776.52	21.641335
2204_131732_000022_000009	The old man said to him, one day: 'Let's run up-stairs.' Bergmann agreed and ran up.	The old man said to him, one day: 'Let's run up stairs.' Bergmann agreed and ran up.	true	1776.68	1782.22	20.448618
2204_131732_000022_000010	When they got there Bergmann was all done up, but my father never showed a sign of it.	When they got there Bergmann was all done up, but my father never showed a sign of it.	true	1782.38	1786.69	21.786259
2204_131732_000022_000011	There was an elevator there, and each day while it was travelling up I held the stem of my Waterbury watch up against the column in the elevator shaft and it finished the winding by the time I got up the six stories." This original method of reducing the amount of physical labor involved in watch-winding brings to mind another instance of shrewdness mentioned by Edison, with regard to his newsboy days.	There was an elevator there, and each day while it was travelling up I held the stem of my Waterbury watch up against the column in the elevator shaft and it finished the winding by the time I got up the six stories." This original method of reducing the amount of physical labor involved in watch winding brings to mind another instance of shrewdness mentioned by Edison, with regard to his newsboy days.	false	1787.15	1809.1	24.094238
2204_131732_000022_000012	Being asked whether he did not get imposed upon with bad bank-bills, he replied that he subscribed to a bank-note detector and consulted it closely whenever a note of any size fell into his hands.	Being asked whether he did not get imposed upon with bad bank bills, he replied that he subscribed to a bank note detector and consulted it closely whenever a note of any size fell into his hands.	true	1809.71	1820.71	25.986012
2204_131732_000022_000013	He was then less than fourteen years old.	He was then less than fourteen years old.	true	1820.99	1823.68	21.824709
2204_131732_000023_000000	The conversations with Edison that elicited these stories brought out some details as to peril that attends experimentation.	The conversations with Edison that elicited these stories brought out some details as to peril that attends experimentation.	true	1824.44	1831.51	19
2204_131732_000023_000001	He has confronted many a serious physical risk, and counts himself lucky to have come through without a scratch or scar.	He has confronted many a serious physical risk, and counts himself lucky to have come through without a scratch or scar.	true	1832.03	1838.38	23.042662
2204_131732_000023_000002	Four instances of personal danger may be noted in his own language: "When I started at Menlo, I had an electric furnace for welding rare metals that I did not know about very clearly.	Four instances of personal danger may be noted in his own language: "When I started at Menlo, I had an electric furnace for welding rare metals that I did not know about very clearly.	true	1839.14	1849.96	21.493551
2204_131732_000023_000003	I was in the dark-room, where I had a lot of chloride of sulphur, a very corrosive liquid.	I was in the dark room, where I had a lot of chloride of sulphur, a very corrosive liquid.	true	1850.33	1855.84	23.547758
2204_131732_000023_000004	I did not know that it would decompose by water.	I did not know that it would decompose by water.	true	1856.12	1858.9	21.48754
2204_131732_000023_000005	I poured in a beakerful of water, and the whole thing exploded and threw a lot of it into my eyes.	I poured in a beakerful of water, and the whole thing exploded and threw a lot of it into my eyes.	true	1859.48	1865.05	25.688147
2204_131732_000023_000006	I ran to the hydrant, leaned over backward, opened my eyes, and ran the hydrant water right into them.	I ran to the hydrant, leaned over backward, opened my eyes, and ran the hydrant water right into them.	false	1865.06	1871.35	21.979876
2204_131732_000023_000007	But it was two weeks before I could see.	But it was two weeks before I could see.	true	1871.39	1873.45	27.745798
2204_131732_000024_000000	"The next time we just saved ourselves.	"The next time we just saved ourselves.	true	1874.21	1876.66	19
2204_131732_000024_000001	I was making some stuff to squirt into filaments for the incandescent lamp.	I was making some stuff to squirt into filaments for the incandescent lamp.	true	1877.06	1881.04	26.161142
2204_131732_000024_000002	I made about a pound of it.	I made about a pound of it.	true	1881.32	1882.9	22.026573
2204_131732_000024_000003	I had used ammonia and bromine.	I had used ammonia and bromine.	true	1883.18	1885.54	20.240225
2204_131732_000024_000004	I did not know it at the time, but I had made bromide of nitrogen.	I did not know it at the time, but I had made bromide of nitrogen.	true	1885.85	1889.68	21
2204_131732_000024_000005	I put the large bulk of it in three filters, and after it had been washed and all the water had come through the filter, I opened the three filters and laid them on a hot steam plate to dry with the stuff.	I put the large bulk of it in three filters, and after it had been washed and all the water had come through the filter, I opened the three filters and laid them on a hot steam plate to dry with the stuff.	true	1890.23	1900.44	24.609013
2204_131732_000024_000006	While I and Mr. Sadler, one of my assistants, were working near it, there was a sudden flash of light, and a very smart explosion.	While I and mr Sadler, one of my assistants, were working near it, there was a sudden flash of light, and a very smart explosion.	false	1900.44	1908.37	24.768873
2204_131732_000024_000007	I said to Sadler: 'What is that?' 'I don't know,' he said, and we paid no attention.	I said to Sadler: 'What is that?' 'I don't know,' he said, and we paid no attention.	true	1908.47	1913.46	22.185629
2204_131732_000024_000008	In about half a minute there was a sharp concussion, and Sadler said: 'See, it is that stuff on the steam plate.' I grabbed the whole thing and threw it in the sink, and poured water on it.	In about half a minute there was a sharp concussion, and Sadler said: 'See, it is that stuff on the steam plate.' I grabbed the whole thing and threw it in the sink, and poured water on it.	false	1913.46	1924.18	23.47535
2204_131732_000024_000009	I saved a little of it and found it was a terrific explosive.	I saved a little of it and found it was a terrific explosive.	false	1924.28	1927.54	22.426071
2204_131732_000024_000010	The reason why those little preliminary explosions took place was that a little had spattered out on the edge of the filter paper, and had dried first and exploded.	The reason why those little preliminary explosions took place was that a little had spattered out on the edge of the filter paper, and had dried first and exploded.	true	1927.94	1936.51	23.163004
2204_131732_000024_000011	Had the main body exploded there would have been nothing left of the laboratory I was working in.	Had the main body exploded there would have been nothing left of the laboratory I was working in.	true	1936.73	1941.1	21
2204_131732_000025_000000	"At another time, I had a briquetting machine for briquetting iron ore. I had a lever held down by a powerful spring, and a rod one inch in diameter and four feet long.	"At another time, I had a briquetting machine for briquetting iron ore. I had a lever held down by a powerful spring, and a rod one inch in diameter and four feet long.	true	1942.37	1954	23.489386
2204_131732_000025_000001	While I was experimenting with it, and standing beside it, a washer broke, and that spring threw the rod right up to the ceiling with a blast; and it came down again just within an inch of my nose, and went clear through a two-inch plank.	While I was experimenting with it, and standing beside it, a washer broke, and that spring threw the rod right up to the ceiling with a blast; and it came down again just within an inch of my nose, and went clear through a two inch plank.	false	1954.37	1967.34	24.283678
2204_131732_000025_000002	That was 'within an inch of your life,' as they say.	That was 'within an inch of your life,' as they say.	true	1967.34	1970.26	22.339882
2204_131732_000026_000000	"In my experimental plant for concentrating iron ore in the northern part of New Jersey, we had a vertical drier, a column about nine feet square and eighty feet high.	"In my experimental plant for concentrating iron ore in the northern part of New Jersey, we had a vertical drier, a column about nine feet square and eighty feet high.	true	1971.68	1981.45	22.80436
2204_131732_000026_000001	At the bottom there was a space where two men could go through a hole; and then all the rest of the column was filled with baffle plates.	At the bottom there was a space where two men could go through a hole; and then all the rest of the column was filled with baffle plates.	true	1982.09	1988.47	22.674726
2204_131732_000026_000002	One day this drier got blocked, and the ore would not run down.	One day this drier got blocked, and the ore would not run down.	true	1988.75	1991.92	22.029835
