5883_59268_000000_000000	THE SHOOTING-MATCH	THE SHOOTING MATCH	false	8.595	19.21	22.450588
5883_59268_000070_000001	My powder are not good powder, gentlemen; I bought it _thum_ (from) Zeb Daggett, and gin him three-quarters of a dollar a pound for it; but it are not what I call good powder, gentlemen; but if old Buck-killer burns it clear, the boy you call Hiram Baugh eat's paper, or comes mighty near it."	My powder are not good powder, gentlemen; I bought it underscore thum underscore (from) Zeb Daggett, and gin him three quarters of a dollar a pound for it; but it are not what I call good powder, gentlemen; but if old Buck killer burns it clear, the boy you call Hiram Baugh eat's paper, or comes mighty near it."	false	946.37	964.09	22
5883_59268_000071_000000	"Well, blaze away," said Mealy, "and be d----d to you, and Zeb Daggett, and your powder, and Buck-killer, and your powder-horn and shot-pouch to boot!	"Well, blaze away," said Mealy, "and be d----d to you, and Zeb Daggett, and your powder, and Buck killer, and your powder horn and shot pouch to boot!	false	964.79	975.04	23.128979
5883_59268_000071_000001	How long you gwine stand thar talking 'fore you shoot?"	How long you gwine stand thar talking 'fore you shoot?"	false	975.29	978.43	20.871874
5883_59268_000072_000000	"Never mind," said Hiram, "I can talk a little and shoot a little, too, but that's nothin'.	"Never mind," said Hiram, "I can talk a little and shoot a little, too, but that's nothin'.	false	979.01	984.72	22
5883_59268_000072_000001	Here goes!"	Here goes!"	true	984.72	985.75	23.24825
5883_59268_000073_000000	Hiram assumed the figure of a note of interrogation, took a long sight, and fired.	Hiram assumed the figure of a note of interrogation, took a long sight, and fired.	true	986.18	991.57	19.955801
5883_59268_000074_000000	"I've eat paper," said he, at the crack of the gun, without looking, or seeming to look, toward the target.	"I've eat paper," said he, at the crack of the gun, without looking, or seeming to look, toward the target.	true	992.15	998.23	25
5883_59268_000074_000001	"Buck-killer made a clear racket. Where am I, gentlemen?"	"Buck killer made a clear racket. Where am I, gentlemen?"	true	998.66	1002.19	23
5883_59268_000075_000000	"You're just between Mealy and the diamond," was the reply.	"You're just between Mealy and the diamond," was the reply.	true	1002.92	1005.97	14
5883_59268_000076_000000	"I said I'd eat paper, and I've done it; haven't I, gentlemen?"	"I said I'd eat paper, and I've done it; haven't I, gentlemen?"	true	1006.46	1010.08	23.626677
5883_59268_000077_000000	"And 'spose you have!" said Mealy, "what do that 'mount to?	"And 'spose you have!" said Mealy, "what do that 'mount to?	false	1010.72	1014.57	20.991812
5883_59268_000077_000001	You'll not win beef, and never did."	You'll not win beef, and never did."	false	1014.57	1016.94	20.144884
5883_59268_000078_000000	"Be that as it mout be, I've beat Meal 'Cotton mighty easy; and the boy you call Hiram Baugh are able to do it."	"Be that as it mout be, I've beat Meal 'Cotton mighty easy; and the boy you call Hiram Baugh are able to do it."	false	1016.94	1025.11	25.30579
5883_59268_000079_000000	"And what do that 'mount to?	"And what do that 'mount to?	false	1026.02	1028.34	21.71711
5883_59268_000079_000001	Who the devil an't able to beat Meal 'Cotton!	Who the devil an't able to beat Meal 'Cotton!	false	1028.34	1031.44	18
5883_59268_000079_000002	I don't make no pretense of bein' nothin' great, no how; but you always makes out as if you were gwine to keep 'em makin' crosses for you constant, and then do nothin' but '_eat paper_' at last; and that's a long way from _eatin' beef_, 'cordin' to Meal 'Cotton's notions, as you call him."	I don't make no pretense of bein' nothin' great, no how; but you always makes out as if you were gwine to keep 'em makin' crosses for you constant, and then do nothin' but 'underscore eat paper underscore' at last; and that's a long way from underscore eatin' beef underscore, 'cordin' to Meal 'Cotton's notions, as you call him."	false	1031.63	1046.83	18
5883_59268_000080_000000	Simon Stow was now called on.	Simon Stow was now called on.	true	1046.99	1049.08	24
5883_59268_000081_000000	"Oh, Lord!" exclaimed two or three: "now we have it.	"Oh, Lord!" exclaimed two or three: "now we have it.	true	1049.42	1053.21	24.321537
5883_59268_000081_000001	It'll take him as long to shoot as it would take 'Squire Dobbins to run round a _track_ o' land."	It'll take him as long to shoot as it would take 'Squire Dobbins to run round a underscore track underscore o' land."	false	1053.21	1058.32	12
5883_59268_000082_000000	"Good-by, boys," said Bob Martin.	"Good by, boys," said Bob Martin.	true	1059.02	1061.56	17.965784
5883_59268_000083_000000	"Where are you going, Bob?"	"Where are you going, Bob?"	true	1062.17	1063.78	20
5883_59268_000084_000000	"Going to gather in my crop; I'll be back again though by the time Sime Stow shoots."	"Going to gather in my crop; I'll be back again though by the time Sime Stow shoots."	false	1063.94	1069.18	22
5883_59268_000085_000000	Simon was used to all this, and therefore it did not disconcert him in the least.	Simon was used to all this, and therefore it did not disconcert him in the least.	false	1069.76	1073.98	16
5883_59268_000085_000001	He went off and brought his own target, and set it up with his own hand.	He went off and brought his own target, and set it up with his own hand.	true	1074.02	1077.7	17
5883_59268_000086_000000	He then wiped out his rifle, rubbed the pan with his hat, drew a piece of tow through the touch-hole with his wiper, filled his charger with great care, poured the powder into the rifle with equal caution, shoved in with his finger the two or three vagrant grains that lodged round the mouth of his piece, took out a handful of bullets, looked them all over carefully, selected one without flaw or wrinkle, drew out his patching, found the most even part of it, sprung open the grease-box in the breech of his rifle; took up just so much grease, distributed it with great equality over the chosen part of his patching, laid it over the muzzle of his rifle, grease side down, placed his ball upon it, pressed it a little, then took it up and turned the neck a little more perpendicularly downward, placed his knife handle on it, just buried it in the mouth of the rifle, cut off the redundant patching just above the bullet, looked at it, and shook his head in token that he had cut off too much or too little, no one knew which, sent down the ball, measured the contents of his gun with his first and second fingers on the protruding part of the ramrod, shook his head again, to signify there was too much or too little powder, primed carefully, placed an arched piece of tin over the hind sight to shade it, took his place, got a friend to hold his hat over the foresight to shade it, took a very long sight, fired, and didn't even eat the paper.	He then wiped out his rifle, rubbed the pan with his hat, drew a piece of tow through the touch hole with his wiper, filled his charger with great care, poured the powder into the rifle with equal caution, shoved in with his finger the two or three vagrant grains that lodged round the mouth of his piece, took out a handful of bullets, looked them all over carefully, selected one without flaw or wrinkle, drew out his patching, found the most even part of it, sprung open the grease box in the breech of his rifle; took up just so much grease, distributed it with great equality over the chosen part of his patching, laid it over the muzzle of his rifle, grease side down, placed his ball upon it, pressed it a little, then took it up and turned the neck a little more perpendicularly downward, placed his knife handle on it, just buried it in the mouth of the rifle, cut off the redundant patching just above the bullet, looked at it, and shook his head in token that he had cut off too much or too little, no one knew which, sent down the ball, measured the contents of his gun with his first and second fingers on the protruding part of the ramrod, shook his head again, to signify there was too much or too little powder, primed carefully, placed an arched piece of tin over the hind sight to shade it, took his place, got a friend to hold his hat over the foresight to shade it, took a very long sight, fired, and didn't even eat the paper.	false	1077.98	1156.51	23.158207
5883_59268_000087_000000	"My piece was badly _loadned_," said Simon, when he learned the place of his ball.	"My piece was badly underscore loadned underscore," said Simon, when he learned the place of his ball.	false	1157.48	1162.45	15
5883_59268_000088_000000	"Oh, you didn't take time," said Mealy.	"Oh, you didn't take time," said Mealy.	true	1162.73	1165.21	19
5883_59268_000088_000001	"No man can shoot that's in such a hurry as you is.	"No man can shoot that's in such a hurry as you is.	true	1165.49	1168.78	17
5883_59268_000088_000002	I'd hardly got to sleep 'fore I heard the crack o' the gun."	I'd hardly got to sleep 'fore I heard the crack o' the gun."	false	1168.91	1171.93	15
5883_59268_000089_000000	The next was Moses Firmby.	The next was Moses Firmby.	true	1172.54	1174.27	21.83514
5883_59268_000089_000001	He was a tall, slim man, of rather sallow complexion; and it is a singular fact, that though probably no part of the world is more healthy than the mountainous parts of Georgia, the mountaineers have not generally robust frames or fine complexions: they are, however, almost inexhaustible by toil.	He was a tall, slim man, of rather sallow complexion; and it is a singular fact, that though probably no part of the world is more healthy than the mountainous parts of Georgia, the mountaineers have not generally robust frames or fine complexions: they are, however, almost inexhaustible by toil.	false	1174.64	1190.74	17
5883_59268_000090_000000	Moses kept us not long in suspense.	Moses kept us not long in suspense.	true	1191.26	1193.8	23.947163
5883_59268_000090_000001	His rifle was already charged, and he fixed it upon the target with a steadiness of nerve and aim that was astonishing to me and alarming to all the rest.	His rifle was already charged, and he fixed it upon the target with a steadiness of nerve and aim that was astonishing to me and alarming to all the rest.	true	1193.96	1202.14	12
5883_59268_000090_000002	A few seconds, and the report of his rifle broke the deathlike silence which prevailed.	A few seconds, and the report of his rifle broke the deathlike silence which prevailed.	true	1202.36	1206.91	19
5883_59268_000091_000000	"No great harm done yet," said Spivey, manifestly relieved from anxiety by an event which seemed to me better calculated to produce despair. Firmby's ball had cut out the lower angle of the diamond, directly on a right line with the cross.	"No great harm done yet," said Spivey, manifestly relieved from anxiety by an event which seemed to me better calculated to produce despair. Firmby's ball had cut out the lower angle of the diamond, directly on a right line with the cross.	true	1207.4	1221.43	21
5883_59268_000092_000000	Three or four followed him without bettering his shot; all of whom, however, with one exception, "eat the paper."	Three or four followed him without bettering his shot; all of whom, however, with one exception, "eat the paper."	true	1221.8	1227.94	22.31755
5883_59268_000093_000000	It now came to Spivey's turn.	It now came to Spivey's turn.	true	1228.22	1230.07	22
5883_59268_000093_000001	There was nothing remarkable in his person or manner.	There was nothing remarkable in his person or manner.	true	1230.17	1232.98	20
5883_59268_000093_000002	He took his place, lowered his rifle slowly from a perpendicular until it came on a line with the mark, held it there like a vice for a moment and fired.	He took his place, lowered his rifle slowly from a perpendicular until it came on a line with the mark, held it there like a vice for a moment and fired.	true	1233.14	1241.5	24.691006
5883_59268_000094_000000	"Pretty _sevigrous_, but nothing killing yet," said Billy Curlew, as he learned the place of Spivey's ball.	"Pretty underscore sevigrous underscore, but nothing killing yet," said Billy Curlew, as he learned the place of Spivey's ball.	false	1241.75	1247.62	20.363596
5883_59268_000095_000000	Spivey's ball had just broken the upper angle of the diamond; beating Firmby about half its width.	Spivey's ball had just broken the upper angle of the diamond; beating Firmby about half its width.	false	1247.9	1253.61	24.591482
5883_59268_000096_000000	A few more shots, in which there was nothing remarkable, brought us to Billy Curlew. Billy stepped out with much confidence, and brought the Soap-stick to an order, while he deliberately rolled up his shirt sleeves.	A few more shots, in which there was nothing remarkable, brought us to Billy Curlew. Billy stepped out with much confidence, and brought the Soap stick to an order, while he deliberately rolled up his shirt sleeves.	false	1253.61	1265.02	24.172585
5883_59268_000096_000001	Had I judged Billy's chance of success from the looks of his gun, I should have said it was hopeless.	Had I judged Billy's chance of success from the looks of his gun, I should have said it was hopeless.	true	1265.24	1270.09	21
5883_59268_000096_000002	The stock of Soap-stick seemed to have been made with a case-knife; and had it been, the tool would have been but a poor apology for its clumsy appearance.	The stock of Soap stick seemed to have been made with a case knife; and had it been, the tool would have been but a poor apology for its clumsy appearance.	false	1270.34	1278.82	19
5883_59268_000096_000003	An auger-hole in the breech served for a grease-box; a cotton string assisted a single screw in holding on the lock; and the thimbles were made, one of brass, one of iron, and one of tin.	An auger hole in the breech served for a grease box; a cotton string assisted a single screw in holding on the lock; and the thimbles were made, one of brass, one of iron, and one of tin.	true	1279.07	1289.62	20
5883_59268_000097_000000	"Where's Lark Spivey's bullet?" called out Billy to the judges, as he finished rolling up his sleeves.	"Where's Lark Spivey's bullet?" called out Billy to the judges, as he finished rolling up his sleeves.	true	1290.11	1295.65	20.267576
5883_59268_000098_000000	"About three-quarters of an inch from the cross," was the reply.	"About three quarters of an inch from the cross," was the reply.	true	1296.2	1299.49	20.434238
5883_59268_000099_000000	"Well, clear the way! the Soap-stick's coming, and she'll be along in there among 'em presently."	"Well, clear the way! the Soap stick's coming, and she'll be along in there among 'em presently."	true	1300.04	1307.11	20.405313
5883_59268_000100_000000	Billy now planted himself astraddle, like an inverted V; shot forward his left hip, drew his body back to an angle of about forty-five degrees with the plane of the horizon, brought his cheek down close to the breech of old Soap-stick, and fixed her upon the mark with untrembling hand.	Billy now planted himself astraddle, like an inverted V; shot forward his left hip, drew his body back to an angle of about forty five degrees with the plane of the horizon, brought his cheek down close to the breech of old Soap stick, and fixed her upon the mark with untrembling hand.	false	1307.66	1322.89	18
5883_59268_000100_000001	His sight was long, and the swelling muscles of his left arm led me to believe that he was lessening his chance of success with every half second that he kept it burdened with his ponderous rifle; but it neither flagged nor wavered until Soap-stick made her report.	His sight was long, and the swelling muscles of his left arm led me to believe that he was lessening his chance of success with every half second that he kept it burdened with his ponderous rifle; but it neither flagged nor wavered until Soap stick made her report.	true	1323.05	1336.27	14
5883_59268_000101_000000	"Where am I?" said Billy, as the smoke rose from before his eye.	"Where am I?" said Billy, as the smoke rose from before his eye.	true	1336.82	1341.12	20.312344
5883_59268_000102_000000	"You've jist touched the cross on the lower side," was the reply of one of the judges.	"You've jist touched the cross on the lower side," was the reply of one of the judges.	false	1341.12	1345.84	19.644617
5883_59268_000103_000000	"I was afraid I was drawing my bead a _leetle_ too fine," said Billy. "Now, Lyman, you see what the Soap-stick can do.	"I was afraid I was drawing my bead a underscore leetle underscore too fine," said Billy. "Now, Lyman, you see what the Soap stick can do.	false	1346.03	1354.27	21.515207
5883_59268_000103_000001	Take her, and show the boys how you used to do when you was a baby."	Take her, and show the boys how you used to do when you was a baby."	true	1354.37	1358.55	20.828588
5883_59268_000104_000000	I begged to reserve my shot to the last; pleading, rather sophistically, that it was, in point of fact, one of the Billy's shots. My plea was rather indulged than sustained, and the marksmen who had taken more than one shot commenced the second round.	I begged to reserve my shot to the last; pleading, rather sophistically, that it was, in point of fact, one of the Billy's shots. My plea was rather indulged than sustained, and the marksmen who had taken more than one shot commenced the second round.	false	1358.55	1372.45	19.761055
5883_59268_000104_000001	This round was a manifest improvement upon the first.	This round was a manifest improvement upon the first.	true	1372.94	1375.87	20
5883_59268_000104_000002	The cross was driven three times: once by Spivey, once by Firmby, and once by no less a personage than Mealy Whitecotton, whom chance seemed to favor for this time, merely that he might retaliate upon Hiram Baugh; and the bull's-eye was disfigured out of all shape.	The cross was driven three times: once by Spivey, once by Firmby, and once by no less a personage than Mealy Whitecotton, whom chance seemed to favor for this time, merely that he might retaliate upon Hiram Baugh; and the bull's eye was disfigured out of all shape.	true	1376.03	1392.01	18
5883_59268_000105_000000	The third and fourth rounds were shot.	The third and fourth rounds were shot.	true	1392.65	1394.71	21.795624
5883_59268_000105_000001	Billy discharged his last shot, which left the rights of parties thus: Billy Curlew first and fourth choice, Spivey second, Firmby third and Whitecotton fifth.	Billy discharged his last shot, which left the rights of parties thus: Billy Curlew first and fourth choice, Spivey second, Firmby third and Whitecotton fifth.	true	1394.99	1404.82	23.17096
5883_59268_000105_000002	Some of my readers may perhaps be curious to learn how a distinction comes to be made between several, all of whom drive the cross.	Some of my readers may perhaps be curious to learn how a distinction comes to be made between several, all of whom drive the cross.	true	1405.1	1412.02	18
5883_59268_000105_000003	The distinction is perfectly natural and equitable.	The distinction is perfectly natural and equitable.	true	1412.3	1414.87	21
5883_59268_000105_000004	Threads are stretched from the uneffaced parts of the once intersecting lines, by means of which the original position of the cross is precisely ascertained.	Threads are stretched from the uneffaced parts of the once intersecting lines, by means of which the original position of the cross is precisely ascertained.	true	1415.18	1423.21	14
5883_59268_000105_000005	Each bullet-hole being nicely pegged up as it is made, it is easy to ascertain its circumference.	Each bullet hole being nicely pegged up as it is made, it is easy to ascertain its circumference.	false	1423.58	1429.03	19
5883_59268_000105_000006	To this I believe they usually, if not invariably, measure, where none of the balls touch the cross; but if the cross be driven, they measure from it to the center of the bullet-hole. To make a draw shot, therefore, between two who drive the cross, it is necessary that the center of both balls should pass directly through the cross; a thing that very rarely happens.	To this I believe they usually, if not invariably, measure, where none of the balls touch the cross; but if the cross be driven, they measure from it to the center of the bullet hole. To make a draw shot, therefore, between two who drive the cross, it is necessary that the center of both balls should pass directly through the cross; a thing that very rarely happens.	true	1429.28	1448.7	16
5883_59268_000106_000000	_The Bite_ alone remained to shoot.	underscore The Bite underscore alone remained to shoot.	false	1448.7	1451.68	18.753586
5883_59268_000106_000001	Billy wiped out his rifle carefully, loaded her to the top of his skill, and handed her to me.	Billy wiped out his rifle carefully, loaded her to the top of his skill, and handed her to me.	true	1451.72	1457.11	22
5883_59268_000106_000002	"Now," said he, "Lyman, draw a fine bead, but not too fine; for Soap-stick bears up her ball well.	"Now," said he, "Lyman, draw a fine bead, but not too fine; for Soap stick bears up her ball well.	true	1457.42	1465.93	21.10338
5883_59268_000106_000003	Take care and don't touch the trigger until you've got your bead; for she's spring-trigger'd and goes mighty easy: but you hold her to the place you want her, and if she don't go there, dang old Roper."	Take care and don't touch the trigger until you've got your bead; for she's spring trigger'd and goes mighty easy: but you hold her to the place you want her, and if she don't go there, dang old Roper."	true	1466.12	1478.56	20
5883_59268_000107_000000	I took hold of Soap-stick, and lapsed immediately into the most hopeless despair.	I took hold of Soap stick, and lapsed immediately into the most hopeless despair.	true	1479.02	1483.21	20
5883_59268_000107_000001	I am sure I never handled as heavy a gun in all my life.	I am sure I never handled as heavy a gun in all my life.	true	1483.34	1486.78	18
5883_59268_000107_000002	"Why, Billy," said I, "you little mortal, you! what do you use such a gun as this for?"	"Why, Billy," said I, "you little mortal, you! what do you use such a gun as this for?"	true	1487	1493.35	20.336344
5883_59268_000108_000000	"Look at the bull's-eye yonder!" said he.	"Look at the bull's eye yonder!" said he.	true	1493.78	1496.65	19.145878
5883_59268_000109_000000	"True," said I, "but _I_ can't shoot her; it is impossible."	"True," said I, "but underscore I underscore can't shoot her; it is impossible."	false	1496.9	1501.3	25.126213
5883_59268_000110_000000	"Go 'long, you old coon!" said Billy; "I see what you're at;" intimating that all this was merely to make the coming shot the more remarkable. "Daddy's little boy don't shoot anything but the old Soap-stick here to-day, I know."	"Go 'long, you old coon!" said Billy; "I see what you're at;" intimating that all this was merely to make the coming shot the more remarkable. "Daddy's little boy don't shoot anything but the old Soap stick here to day, I know."	true	1501.73	1516.57	21.602331
5883_59268_000111_000000	The judges, I knew, were becoming impatient, and, withal, my situation was growing more embarrassing every second; so I e'en resolved to try the Soap-stick without further parley.	The judges, I knew, were becoming impatient, and, withal, my situation was growing more embarrassing every second; so I e'en resolved to try the Soap stick without further parley.	true	1517.21	1526.8	19.902086
5883_59268_000112_000000	I stepped out, and the most intense interest was excited all around me, and it flashed like electricity around the target, as I judged from the anxious gaze of all in that direction.	I stepped out, and the most intense interest was excited all around me, and it flashed like electricity around the target, as I judged from the anxious gaze of all in that direction.	true	1527.38	1536.73	19
5883_59268_000113_000000	Policy dictated that I should fire with a falling rifle, and I adopted this mode; determining to fire as soon as the sights came on a line with the diamond, _bead_ or no _bead_.	Policy dictated that I should fire with a falling rifle, and I adopted this mode; determining to fire as soon as the sights came on a line with the diamond, underscore bead underscore or no underscore bead underscore.	false	1537.28	1547.49	20
5883_59268_000113_000001	Accordingly, I commenced lowering old Soap-stick; but, in spite of all my muscular powers, she was strictly obedient to the laws of gravitation, and came down with a uniformly accelerated velocity.	Accordingly, I commenced lowering old Soap stick; but, in spite of all my muscular powers, she was strictly obedient to the laws of gravitation, and came down with a uniformly accelerated velocity.	true	1547.49	1557.73	15
5883_59268_000113_000002	Before I could arrest her downward flight, she had not only passed the target, but was making rapid encroachments on my own toes.	Before I could arrest her downward flight, she had not only passed the target, but was making rapid encroachments on my own toes.	true	1558.01	1564.84	16
5883_59268_000114_000000	"Why, he's the weakest man in the arms I ever seed," said one, in a half whisper.	"Why, he's the weakest man in the arms I ever seed," said one, in a half whisper.	false	1565.57	1570.39	18
5883_59268_000115_000000	"It's only his fun," said Billy; "I know him."	"It's only his fun," said Billy; "I know him."	true	1570.94	1574.35	19.710112
5883_59268_000116_000000	"It may be fun," said the other, "but it looks mightily like yearnest to a man up a tree."	"It may be fun," said the other, "but it looks mightily like yearnest to a man up a tree."	true	1574.63	1580.14	20
5883_59268_000117_000000	I now, of course, determined to reverse the mode of firing, and put forth all my physical energies to raise Soap-stick to the mark.	I now, of course, determined to reverse the mode of firing, and put forth all my physical energies to raise Soap stick to the mark.	true	1580.75	1587.25	19
5883_59268_000117_000001	The effort silenced Billy, and gave tongue to all his companions.	The effort silenced Billy, and gave tongue to all his companions.	true	1587.44	1591	17
5883_59268_000117_000002	I had just strength enough to master Soap-stick's obstinate proclivity, and, consequently, my nerves began to exhibit palpable signs of distress with her first imperceptible movement upward.	I had just strength enough to master Soap stick's obstinate proclivity, and, consequently, my nerves began to exhibit palpable signs of distress with her first imperceptible movement upward.	true	1591.16	1601.71	21
5883_59268_000117_000003	A trembling commenced in my arms; increased, and extended rapidly to my body and lower extremities; so that, by the time that I had brought Soap-stick up to the mark, I was shaking from head to foot, exactly like a man under the continued action of a strong galvanic battery.	A trembling commenced in my arms; increased, and extended rapidly to my body and lower extremities; so that, by the time that I had brought Soap stick up to the mark, I was shaking from head to foot, exactly like a man under the continued action of a strong galvanic battery.	false	1601.96	1616.98	21
5883_59268_000117_000004	In the meantime my friends gave vent to their feelings freely.	In the meantime my friends gave vent to their feelings freely.	true	1617.2	1620.49	19
5883_59268_000118_000000	"I swear poin' blank," said one, "that man can't shoot."	"I swear poin' blank," said one, "that man can't shoot."	true	1620.95	1625.29	25.294727
5883_59268_000119_000000	"He used to shoot well," said another; "but can't now, nor never could."	"He used to shoot well," said another; "but can't now, nor never could."	true	1625.99	1630.66	24.29861
5883_59268_000120_000000	"You better git away from 'bout that mark!" bawled a third, "for I'll be dod darned if Broadcloth don't give some of you the dry gripes if you stand too close thare."	"You better git away from 'bout that mark!" bawled a third, "for I'll be d o d darned if Broadcloth don't give some of you the dry gripes if you stand too close thare."	false	1631.15	1640.62	17
5883_59268_000121_000000	"The stranger's got the peedoddles," said a fourth, with humorous gravity.	"The stranger's got the peedoddles," said a fourth, with humorous gravity.	true	1641.26	1645.75	20.58655
5883_59268_000122_000000	"If he had bullets enough in his gun, he'd shoot a ring round the bull's-eye big as a spinning wheel," said a fifth.	"If he had bullets enough in his gun, he'd shoot a ring round the bull's eye big as a spinning wheel," said a fifth.	false	1645.88	1652.56	19
5883_59268_000123_000000	As soon as I found that Soap-stick was high enough (for I made no farther use of the sights than to ascertain this fact), I pulled trigger, and off she went.	As soon as I found that Soap stick was high enough (for I made no farther use of the sights than to ascertain this fact), I pulled trigger, and off she went.	true	1653.2	1661.61	20
5883_59268_000123_000001	I have always found that the most creditable way of relieving myself of derision was to heighten it myself as much as possible.	I have always found that the most creditable way of relieving myself of derision was to heighten it myself as much as possible.	false	1661.61	1669.02	20.243158
5883_59268_000123_000002	It is a good plan in all circles, but by far the best which can be adopted among the plain, rough farmers of the country. Accordingly, I brought old Soap-stick to an order with an air of triumph; tipped Billy a wink, and observed, "Now, Billy, 's your time to make your fortune.	It is a good plan in all circles, but by far the best which can be adopted among the plain, rough farmers of the country. Accordingly, I brought old Soap stick to an order with an air of triumph; tipped Billy a wink, and observed, "Now, Billy, 's your time to make your fortune.	false	1669.02	1684.69	21.899372
5883_59268_000123_000003	Bet 'em two to one that I've knocked out the cross."	Bet 'em two to one that I've knocked out the cross."	true	1684.94	1688.35	27.708776
5883_59268_000124_000000	"No, I'll be dod blamed if I do," said Billy; "but I'll bet you two to one that you hain't hit the plank."	"No, I'll be d o d blamed if I do," said Billy; "but I'll bet you two to one that you hain't hit the plank."	false	1688.57	1696.42	22.881523
5883_59268_000125_000000	"Ah, Billy," said I, "I was joking about _betting_, for I never bet; nor would I have you to bet: indeed, I do not feel exactly right in shooting for beef; for it is a species of gaming at last: but I'll say this much: if that cross isn't knocked out, I'll never shoot for beef again as long as I live."	"Ah, Billy," said I, "I was joking about underscore betting underscore, for I never bet; nor would I have you to bet: indeed, I do not feel exactly right in shooting for beef; for it is a species of gaming at last: but I'll say this much: if that cross isn't knocked out, I'll never shoot for beef again as long as I live."	false	1696.46	1715.08	21.78811
5883_59268_000126_000000	"By dod," said Mealy Whitecotton, "you'll lose no great things at that."	"By d o d," said Mealy Whitecotton, "you'll lose no great things at that."	false	1715.6	1720	19.327642
5883_59268_000127_000000	"Well," said I, "I reckon I know a little about wabbling.	"Well," said I, "I reckon I know a little about wabbling.	true	1720.16	1723.75	18.53389
5883_59268_000127_000001	Is it possible, Billy, a man who shoots as well as you do, never practiced shooting with the double wabble?	Is it possible, Billy, a man who shoots as well as you do, never practiced shooting with the double wabble?	true	1723.91	1729.71	14
5883_59268_000127_000002	It's the greatest take in the world when you learn to drive the cross with it.	It's the greatest take in the world when you learn to drive the cross with it.	false	1729.71	1733.35	22.399248
5883_59268_000127_000003	Another sort for getting bets upon, to the drop-sight, with a single wabble!	Another sort for getting bets upon, to the drop sight, with a single wabble!	true	1733.57	1738.09	22.649544
5883_59268_000127_000004	And the Soap-stick's the very yarn for it."	And the Soap stick's the very yarn for it."	true	1738.22	1740.58	25
5883_59268_000128_000000	"Tell you what, stranger," said one, "you're too hard for us all here. We never _hearn_ o' that sort o' shoot'n' in these parts."	"Tell you what, stranger," said one, "you're too hard for us all here. We never underscore hearn underscore o' that sort o' shoot'n' in these parts."	false	1741.31	1748.41	21.04183
5883_59268_000129_000000	"Well," returned I, "you've seen it now, and I'm the boy that can do it."	"Well," returned I, "you've seen it now, and I'm the boy that can do it."	true	1748.99	1753.69	23.344704
5883_59268_000130_000000	The judges were now approaching with the target, and a singular combination of circumstances had kept all my party in utter ignorance of the result of my shot.	The judges were now approaching with the target, and a singular combination of circumstances had kept all my party in utter ignorance of the result of my shot.	true	1754.15	1762.09	17
5883_59268_000130_000001	Those about the target had been prepared by Billy Curlew for a great shot from me; their expectations had received assurance from the courtesy which had been extended to me; and nothing had happened to disappoint them but the single caution to them against the "dry gripes," which was as likely to have been given in irony as in earnest; for my agonies under the weight of the Soap-stick were either imperceptible to them at the distance of sixty yards, or, being visible, were taken as the flourishes of an expert who wished to "astonish the natives." The other party did not think the direction of my ball worth the trouble of a question; or if they did, my airs and harangue had put the thought to flight before it was delivered.	Those about the target had been prepared by Billy Curlew for a great shot from me; their expectations had received assurance from the courtesy which had been extended to me; and nothing had happened to disappoint them but the single caution to them against the "dry gripes," which was as likely to have been given in irony as in earnest; for my agonies under the weight of the Soap stick were either imperceptible to them at the distance of sixty yards, or, being visible, were taken as the flourishes of an expert who wished to "astonish the natives." The other party did not think the direction of my ball worth the trouble of a question; or if they did, my airs and harangue had put the thought to flight before it was delivered.	true	1762.43	1800.73	20
5883_59268_000130_000002	Consequently, they were all transfixed with astonishment when the judges presented the target to them, and gravely observed, "It's only second best, after all the fuss."	Consequently, they were all transfixed with astonishment when the judges presented the target to them, and gravely observed, "It's only second best, after all the fuss."	true	1800.83	1810.93	22.035088
5883_59268_000131_000000	"Second best!" exclaimed I, with uncontrollable transports.	"Second best!" exclaimed I, with uncontrollable transports.	false	1811.6	1815.46	21
5883_59268_000132_000000	The whole of my party rushed to the target to have the evidence of their senses before they would believe the report; but most marvelous fortune decreed that it should be true.	The whole of my party rushed to the target to have the evidence of their senses before they would believe the report; but most marvelous fortune decreed that it should be true.	true	1815.83	1824.58	16
5883_59268_000132_000001	Their incredulity and astonishment were most fortunate for me; for they blinded my hearers to the real feelings with which the exclamation was uttered, and allowed me sufficient time to prepare myself for making the best use of what I had said before with a very different object.	Their incredulity and astonishment were most fortunate for me; for they blinded my hearers to the real feelings with which the exclamation was uttered, and allowed me sufficient time to prepare myself for making the best use of what I had said before with a very different object.	true	1824.74	1839.96	17
5883_59268_000133_000000	"Second best!" reiterated I, with an air of despondency, as the company turned from the target to me.	"Second best!" reiterated I, with an air of despondency, as the company turned from the target to me.	true	1839.96	1845.79	22
5883_59268_000133_000001	"Second best, only?	"Second best, only?	true	1846.19	1847.89	30.629444
5883_59268_000133_000002	Here, Billy, my son, take the old Soap-stick; she's a good piece, but I'm getting too old and dim-sighted to shoot a rifle, especially with the drop-sight and double wabbles."	Here, Billy, my son, take the old Soap stick; she's a good piece, but I'm getting too old and dim sighted to shoot a rifle, especially with the drop sight and double wabbles."	true	1848.35	1857.97	23.985485
