8152_258974_000000_000000	[Sidenote: Conclusion]	[Sidenote: Conclusion]	false	0	0.63	-20
8152_258974_000035_000006	Specialization _saves time_ by making unnecessary the physical change of place for the worker, the frequent shifting of tools, and the mental readjustment required for the undertaking of a new task.	Specialization underscore saves time underscore by making unnecessary the physical change of place for the worker, the frequent shifting of tools, and the mental readjustment required for the undertaking of a new task.	false	1030.05	1041.1	20.83845
8152_258974_000035_000007	Specialization _saves tools_ for, either each kind of work must be most ineffectively done, or there must be provided for each worker a complete set of tools which thus will be used rarely and will rust out rather than wear out.	Specialization underscore saves tools underscore for, either each kind of work must be most ineffectively done, or there must be provided for each worker a complete set of tools which thus will be used rarely and will rust out rather than wear out.	false	1041.68	1055.68	22.350063
8152_258974_000035_000008	If a few tools are thoroughly used, they yield a larger income on the investment, and require less care and repairs in proportion to their uses.	If a few tools are thoroughly used, they yield a larger income on the investment, and require less care and repairs in proportion to their uses.	false	1055.96	1064.65	19.904518
8152_258974_000035_000009	In fact this fuller economic use of machinery and plant where a large product is turned out at one place, is a prime factor in the advantages of large production, a subject to be treated elsewhere much more fully than is here possible.	In fact this fuller economic use of machinery and plant where a large product is turned out at one place, is a prime factor in the advantages of large production, a subject to be treated elsewhere much more fully than is here possible.	true	1064.65	1078.78	21.782675
8152_258974_000035_000010	By specialization is made possible a _quality_ of goods never to be secured by the less skilled efforts of the Jack-of-all trades.	By specialization is made possible a underscore quality underscore of goods never to be secured by the less skilled efforts of the Jack of all trades.	false	1079.15	1087.98	19.93622
8152_258974_000035_000011	The specialist steadily grows in _knowledge_ of his materials and of the best processes, and he gains a power of delicate observation and facility in meeting new difficulties that are impossible when attention is divided among a number of tasks. By dividing and simplifying processes, specialization _stimulates invention_.	The specialist steadily grows in underscore knowledge underscore of his materials and of the best processes, and he gains a power of delicate observation and facility in meeting new difficulties that are impossible when attention is divided among a number of tasks. By dividing and simplifying processes, specialization underscore stimulates invention underscore.	false	1087.98	1107.3	19.74775
8152_258974_000035_000012	The most complex machines have been developed gradually by combinations and adaptations of simple tools, and the more a process is subdivided, the greater is the chance of hitting upon a device to repeat mechanically the few simple movements.	The most complex machines have been developed gradually by combinations and adaptations of simple tools, and the more a process is subdivided, the greater is the chance of hitting upon a device to repeat mechanically the few simple movements.	true	1107.3	1121.41	21.080791
8152_258974_000035_000013	Division of labor increases the motives of emulation and _enterprise_, by making possible the more exact comparison of results.	Division of labor increases the motives of emulation and underscore enterprise underscore, by making possible the more exact comparison of results.	false	1121.87	1129.23	17
8152_258974_000035_000014	It _economizes talent_ by giving to each the highest task of which he is capable, while fitting the less efficient workers into the minor places made possible by subdivision.	It underscore economizes talent underscore by giving to each the highest task of which he is capable, while fitting the less efficient workers into the minor places made possible by subdivision.	false	1129.23	1139.71	20.615396
8152_258974_000035_000015	In an American wagon-factory, a one-armed man operating a machine is turning out as large a product and earning as high wages as any other employee. The same advantages of specialization are found with modifying conditions in educational and professional lines.	In an American wagon factory, a one armed man operating a machine is turning out as large a product and earning as high wages as any other employee. The same advantages of specialization are found with modifying conditions in educational and professional lines.	true	1140.59	1156.75	19.379059
8152_258974_000035_000016	The marvelous progress of science in recent years has been made possible by each worker's doing a few things and doing them well.	The marvelous progress of science in recent years has been made possible by each worker's doing a few things and doing them well.	true	1157.36	1164.24	18
8152_258974_000036_000000	[Sidenote: Best adjustment of talent and occupation]	[Sidenote: Best adjustment of talent and occupation]	false	1164.24	1165.44	-20
8152_258974_000037_000000	[Sidenote: Choice of a life career]	[Sidenote: Choice of a life career]	false	1165.44	1166.49	23.602777
8152_258974_000038_000000	4.	four.	false	1166.49	1166.67	-20
8152_258974_000038_000001	_The individual worker, to attain his highest economic efficiency, must select from the occupations made possible by division of labor the one for which his talents are best fitted._ It seems unnecessary to state this almost axiomatic truth, yet the slight reflection given to the choice of an occupation by most young people gives to this statement a very practical bearing.	underscore The individual worker, to attain his highest economic efficiency, must select from the occupations made possible by division of labor the one for which his talents are best fitted.underscore It seems unnecessary to state this almost axiomatic truth, yet the slight reflection given to the choice of an occupation by most young people gives to this statement a very practical bearing.	false	1166.67	1189.36	20.340897
8152_258974_000038_000002	The world is filled with industrial misfits, "round men in square holes," good carpenters spoiled to make poor doctors.	The world is filled with industrial misfits, "round men in square holes," good carpenters spoiled to make poor doctors.	true	1189.73	1197.97	22.897392
8152_258974_000038_000003	It so often happens that the natural aptitude of the youth is the thing last or, in any event, least considered.	It so often happens that the natural aptitude of the youth is the thing last or, in any event, least considered.	false	1198.7	1205.83	22.835232
8152_258974_000038_000004	Unreasoning imitation, family traditions, parental wishes, class pride, social prejudice, childish whim, are often decisive of the life career.	Unreasoning imitation, family traditions, parental wishes, class pride, social prejudice, childish whim, are often decisive of the life career.	true	1206.44	1216.99	22.210571
8152_258974_000038_000005	Happily in some cases, before too late, the man "finds himself," but too often the poverty of the family and the obstacles to education preclude the exercise of intelligent choice.	Happily in some cases, before too late, the man "finds himself," but too often the poverty of the family and the obstacles to education preclude the exercise of intelligent choice.	true	1217.42	1228.45	20.691912
8152_258974_000038_000006	It is of importance to society as well as to the individual that talent should be discovered in time, that tasks should be fitted to aptitudes, that each member of society should attain to his highest efficiency.	It is of importance to society as well as to the individual that talent should be discovered in time, that tasks should be fitted to aptitudes, that each member of society should attain to his highest efficiency.	true	1229.21	1241.29	20.804134
8152_258974_000038_000007	The approach to this ideal, made possible by popular education, the decline of caste, the spread of genuine democracy, the progress of social justice, will increase not only the workers' efficiency, but society's abiding welfare.	The approach to this ideal, made possible by popular education, the decline of caste, the spread of genuine democracy, the progress of social justice, will increase not only the workers' efficiency, but society's abiding welfare.	false	1241.42	1258.92	21.478514
