8050_110238_000000_000000	"You think that he was waiting for someone?"	"You think that he was waiting for someone?"	false	0	1.83	23.830511
8050_110238_000083_000000	"Well, of course, that is possible also.	"Well, of course, that is possible also.	true	1014.02	1017.13	22.122406
8050_110238_000083_000001	I am very much indebted to you, Dr. Mortimer, for introducing me to a problem which presents several interesting alternatives.	I am very much indebted to you, dr Mortimer, for introducing me to a problem which presents several interesting alternatives.	true	1017.35	1025.4	25.343248
8050_110238_000083_000002	But the practical point which we now have to decide, Sir Henry, is whether it is or is not advisable for you to go to Baskerville Hall."	But the practical point which we now have to decide, Sir Henry, is whether it is or is not advisable for you to go to Baskerville Hall."	true	1025.4	1034.59	22.927309
8050_110238_000084_000000	"Why should I not go?"	"Why should I not go?"	true	1035.23	1037.5	20.791239
8050_110238_000085_000000	"There seems to be danger."	"There seems to be danger."	true	1038.05	1039.93	23.225016
8050_110238_000086_000000	"Do you mean danger from this family fiend or do you mean danger from human beings?"	"Do you mean danger from this family fiend or do you mean danger from human beings?"	true	1040.75	1048.18	20
8050_110238_000087_000000	"Well, that is what we have to find out."	"Well, that is what we have to find out."	true	1048.64	1052.8	25.805077
8050_110238_000088_000000	"Whichever it is, my answer is fixed.	"Whichever it is, my answer is fixed.	true	1053.83	1057.06	25.37619
8050_110238_000088_000001	There is no devil in hell, Mr. Holmes, and there is no man upon earth who can prevent me from going to the home of my own people, and you may take that to be my final answer." His dark brows knitted and his face flushed to a dusky red as he spoke. It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative.	There is no devil in hell, mr Holmes, and there is no man upon earth who can prevent me from going to the home of my own people, and you may take that to be my final answer." His dark brows knitted and his face flushed to a dusky red as he spoke. It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative.	true	1057.43	1083.91	22.730776
8050_110238_000088_000002	"Meanwhile," said he, "I have hardly had time to think over all that you have told me.	"Meanwhile," said he, "I have hardly had time to think over all that you have told me.	true	1084.04	1090.93	22.492243
8050_110238_000088_000003	It's a big thing for a man to have to understand and to decide at one sitting.	It's a big thing for a man to have to understand and to decide at one sitting.	true	1091.09	1096.3	20
8050_110238_000088_000004	I should like to have a quiet hour by myself to make up my mind.	I should like to have a quiet hour by myself to make up my mind.	true	1096.52	1100.77	24.354332
8050_110238_000088_000005	Now, look here, Mr. Holmes, it's half-past eleven now and I am going back right away to my hotel.	Now, look here, mr Holmes, it's half past eleven now and I am going back right away to my hotel.	true	1101.02	1108.3	21.568514
8050_110238_000088_000006	Suppose you and your friend, Dr. Watson, come round and lunch with us at two.	Suppose you and your friend, dr Watson, come round and lunch with us at two.	false	1108.55	1114.56	20.38123
8050_110238_000088_000007	I'll be able to tell you more clearly then how this thing strikes me."	I'll be able to tell you more clearly then how this thing strikes me."	true	1114.56	1119.09	22.08125
8050_110238_000089_000000	"Is that convenient to you, Watson?"	"Is that convenient to you, Watson?"	false	1119.09	1122.13	29.056078
8050_110238_000090_000000	"Perfectly."	"Perfectly."	true	1123.1	1124.2	29.955755
8050_110238_000091_000000	"Then you may expect us.	"Then you may expect us.	true	1125.17	1127.36	29.014565
8050_110238_000091_000001	Shall I have a cab called?"	Shall I have a cab called?"	true	1127.36	1128.96	26.40902
8050_110238_000092_000000	"I'd prefer to walk, for this affair has flurried me rather."	"I'd prefer to walk, for this affair has flurried me rather."	false	1128.96	1133.77	23.96918
8050_110238_000093_000000	"I'll join you in a walk, with pleasure," said his companion.	"I'll join you in a walk, with pleasure," said his companion.	false	1135.13	1139.68	22.11188
8050_110238_000094_000000	"Then we meet again at two o'clock.	"Then we meet again at two o'clock.	true	1140.83	1143	24.186707
8050_110238_000094_000001	Au revoir, and good-morning!"	Au revoir, and good morning!"	false	1143	1145.56	24.28905
8050_110238_000095_000000	We heard the steps of our visitors descend the stair and the bang of the front door.	We heard the steps of our visitors descend the stair and the bang of the front door.	false	1146.83	1152.46	27.041502
8050_110238_000095_000001	In an instant Holmes had changed from the languid dreamer to the man of action.	In an instant Holmes had changed from the languid dreamer to the man of action.	true	1152.46	1156.54	17
8050_110238_000096_000000	"Your hat and boots, Watson, quick!	"Your hat and boots, Watson, quick!	true	1156.61	1158.32	28
8050_110238_000096_000001	Not a moment to lose!"	Not a moment to lose!"	true	1158.32	1159.6	22.765352
8050_110238_000096_000002	He rushed into his room in his dressing-gown and was back again in a few seconds in a frock-coat.	He rushed into his room in his dressing gown and was back again in a few seconds in a frock coat.	true	1160.21	1166.14	21.91615
8050_110238_000096_000003	We hurried together down the stairs and into the street.	We hurried together down the stairs and into the street.	true	1166.99	1170.29	23.343037
8050_110238_000096_000004	Dr. Mortimer and Baskerville were still visible about two hundred yards ahead of us in the direction of Oxford Street.	dr Mortimer and Baskerville were still visible about two hundred yards ahead of us in the direction of Oxford Street.	true	1170.29	1176.79	23.937515
8050_110238_000097_000000	"Shall I run on and stop them?"	"Shall I run on and stop them?"	true	1176.86	1179.01	23.088219
8050_110238_000098_000000	"Not for the world, my dear Watson.	"Not for the world, my dear Watson.	true	1179.11	1181.6	21.54458
8050_110238_000098_000001	I am perfectly satisfied with your company if you will tolerate mine.	I am perfectly satisfied with your company if you will tolerate mine.	true	1181.6	1185.73	21.656725
8050_110238_000098_000002	Our friends are wise, for it is certainly a very fine morning for a walk."	Our friends are wise, for it is certainly a very fine morning for a walk."	true	1186.01	1190.77	21.08622
8050_110238_000099_000000	He quickened his pace until we had decreased the distance which divided us by about half.	He quickened his pace until we had decreased the distance which divided us by about half.	true	1192.46	1197.91	24.835484
8050_110238_000099_000001	Then, still keeping a hundred yards behind, we followed into Oxford Street and so down Regent Street.	Then, still keeping a hundred yards behind, we followed into Oxford Street and so down Regent Street.	false	1198.19	1205.62	22.842741
8050_110238_000099_000002	Once our friends stopped and stared into a shop window, upon which Holmes did the same.	Once our friends stopped and stared into a shop window, upon which Holmes did the same.	true	1205.87	1211.17	23.088984
8050_110238_000099_000003	An instant afterwards he gave a little cry of satisfaction, and, following the direction of his eager eyes, I saw that a hansom cab with a man inside which had halted on the other side of the street was now proceeding slowly onward again.	An instant afterwards he gave a little cry of satisfaction, and, following the direction of his eager eyes, I saw that a hansom cab with a man inside which had halted on the other side of the street was now proceeding slowly onward again.	true	1211.57	1227.31	22.112064
8050_110238_000100_000000	"There's our man, Watson!	"There's our man, Watson!	true	1227.71	1229.5	21.208048
8050_110238_000100_000001	Come along!	Come along!	true	1229.72	1230.63	18.614582
8050_110238_000100_000002	We'll have a good look at him, if we can do no more."	We'll have a good look at him, if we can do no more."	true	1230.63	1233.58	25.794655
8050_110238_000101_000000	At that instant I was aware of a bushy black beard and a pair of piercing eyes turned upon us through the side window of the cab. Instantly the trapdoor at the top flew up, something was screamed to the driver, and the cab flew madly off down Regent Street.	At that instant I was aware of a bushy black beard and a pair of piercing eyes turned upon us through the side window of the cab. Instantly the trapdoor at the top flew up, something was screamed to the driver, and the cab flew madly off down Regent Street.	false	1234.34	1250.85	25.900251
8050_110238_000101_000001	Holmes looked eagerly round for another, but no empty one was in sight.	Holmes looked eagerly round for another, but no empty one was in sight.	true	1250.85	1255.84	20.400995
8050_110238_000101_000002	Then he dashed in wild pursuit amid the stream of the traffic, but the start was too great, and already the cab was out of sight.	Then he dashed in wild pursuit amid the stream of the traffic, but the start was too great, and already the cab was out of sight.	false	1255.94	1264.15	25.48989
8050_110238_000102_000000	"There now!" said Holmes bitterly as he emerged panting and white with vexation from the tide of vehicles.	"There now!" said Holmes bitterly as he emerged panting and white with vexation from the tide of vehicles.	true	1264.55	1272.13	20.10712
8050_110238_000102_000001	"Was ever such bad luck and such bad management, too?	"Was ever such bad luck and such bad management, too?	true	1272.14	1276.3	27.584684
8050_110238_000102_000002	Watson, Watson, if you are an honest man you will record this also and set it against my successes!"	Watson, Watson, if you are an honest man you will record this also and set it against my successes!"	true	1276.52	1282.81	23.26401
8050_110238_000103_000000	"Who was the man?"	"Who was the man?"	true	1283.78	1285.87	20.339857
8050_110238_000104_000000	"I have not an idea."	"I have not an idea."	true	1286.42	1288.6	22.115124
8050_110238_000105_000000	"A spy?"	"A spy?"	true	1288.76	1290.01	34.00992
8050_110238_000106_000000	"Well, it was evident from what we have heard that Baskerville has been very closely shadowed by someone since he has been in town.	"Well, it was evident from what we have heard that Baskerville has been very closely shadowed by someone since he has been in town.	true	1290.68	1299.88	22.939941
8050_110238_000106_000001	How else could it be known so quickly that it was the Northumberland Hotel which he had chosen?	How else could it be known so quickly that it was the Northumberland Hotel which he had chosen?	true	1300.19	1305.19	23.492937
8050_110238_000106_000002	If they had followed him the first day I argued that they would follow him also the second.	If they had followed him the first day I argued that they would follow him also the second.	false	1305.71	1311.49	22.79307
8050_110238_000106_000003	You may have observed that I twice strolled over to the window while Dr. Mortimer was reading his legend."	You may have observed that I twice strolled over to the window while dr Mortimer was reading his legend."	true	1312.13	1319.32	24.52555
8050_110238_000107_000000	"Yes, I remember."	"Yes, I remember."	true	1319.84	1321.72	21.5095
8050_110238_000108_000000	"I was looking out for loiterers in the street, but I saw none.	"I was looking out for loiterers in the street, but I saw none.	true	1322.36	1326.76	20.772638
8050_110238_000108_000001	We are dealing with a clever man, Watson.	We are dealing with a clever man, Watson.	true	1326.92	1329.64	26.397541
8050_110238_000108_000002	This matter cuts very deep, and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us, I am conscious always of power and design.	This matter cuts very deep, and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us, I am conscious always of power and design.	true	1329.83	1342.81	23.8998
8050_110238_000108_000003	When our friends left I at once followed them in the hopes of marking down their invisible attendant.	When our friends left I at once followed them in the hopes of marking down their invisible attendant.	false	1343.36	1349.47	22.347435
8050_110238_000108_000004	So wily was he that he had not trusted himself upon foot, but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice.	So wily was he that he had not trusted himself upon foot, but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice.	false	1349.57	1360.75	21.42656
8050_110238_000108_000005	His method had the additional advantage that if they were to take a cab he was all ready to follow them.	His method had the additional advantage that if they were to take a cab he was all ready to follow them.	true	1361.39	1367.23	25.735779
8050_110238_000108_000006	It has, however, one obvious disadvantage."	It has, however, one obvious disadvantage."	true	1367.69	1371.34	21.92938
8050_110238_000109_000000	"It puts him in the power of the cabman."	"It puts him in the power of the cabman."	false	1372.4	1375.65	22.993578
8050_110238_000110_000000	"Exactly."	"Exactly."	true	1375.65	1377.04	23.683247
8050_110238_000111_000000	"What a pity we did not get the number!"	"What a pity we did not get the number!"	true	1377.71	1379.92	26.167309
8050_110238_000112_000000	"My dear Watson, clumsy as I have been, you surely do not seriously imagine that I neglected to get the number?	"My dear Watson, clumsy as I have been, you surely do not seriously imagine that I neglected to get the number?	true	1380.68	1387.62	23.063269
8050_110238_000112_000001	No. 2704 is our man.	no two thousand seven hundred four is our man.	false	1387.62	1391.17	20.822271
8050_110238_000112_000002	But that is no use to us for the moment."	But that is no use to us for the moment."	true	1391.36	1394.08	24.937483
8050_110238_000113_000000	"I fail to see how you could have done more."	"I fail to see how you could have done more."	true	1396.04	1399.3	21.686567
8050_110238_000114_000000	"On observing the cab I should have instantly turned and walked in the other direction.	"On observing the cab I should have instantly turned and walked in the other direction.	true	1399.94	1405.33	19.527779
8050_110238_000114_000001	I should then at my leisure have hired a second cab and followed the first at a respectful distance, or, better still, have driven to the Northumberland Hotel and waited there.	I should then at my leisure have hired a second cab and followed the first at a respectful distance, or, better still, have driven to the Northumberland Hotel and waited there.	true	1405.49	1415.8	24.292229
8050_110238_000114_000002	When our unknown had followed Baskerville home we should have had the opportunity of playing his own game upon himself and seeing where he made for.	When our unknown had followed Baskerville home we should have had the opportunity of playing his own game upon himself and seeing where he made for.	true	1416.29	1425.88	21.127186
8050_110238_000114_000003	As it is, by an indiscreet eagerness, which was taken advantage of with extraordinary quickness and energy by our opponent, we have betrayed ourselves and lost our man."	As it is, by an indiscreet eagerness, which was taken advantage of with extraordinary quickness and energy by our opponent, we have betrayed ourselves and lost our man."	true	1426.31	1438.24	23.763323
8050_110238_000115_000000	We had been sauntering slowly down Regent Street during this conversation, and Dr. Mortimer, with his companion, had long vanished in front of us.	We had been sauntering slowly down Regent Street during this conversation, and dr Mortimer, with his companion, had long vanished in front of us.	false	1439.81	1448.71	21.69877
8050_110238_000116_000000	"There is no object in our following them," said Holmes.	"There is no object in our following them," said Holmes.	true	1449.56	1453.36	20.930325
8050_110238_000116_000001	"The shadow has departed and will not return.	"The shadow has departed and will not return.	true	1453.52	1456.81	19.965052
8050_110238_000116_000002	We must see what further cards we have in our hands and play them with decision.	We must see what further cards we have in our hands and play them with decision.	true	1457.21	1462.12	24.778608
8050_110238_000116_000003	Could you swear to that man's face within the cab?"	Could you swear to that man's face within the cab?"	true	1462.4	1465.75	23.629038
8050_110238_000117_000000	"I could swear only to the beard."	"I could swear only to the beard."	true	1466.6	1469.2	27.917612
8050_110238_000118_000000	"And so could I--from which I gather that in all probability it was a false one.	"And so could I-from which I gather that in all probability it was a false one.	true	1469.87	1475.56	24.645206
8050_110238_000118_000001	A clever man upon so delicate an errand has no use for a beard save to conceal his features.	A clever man upon so delicate an errand has no use for a beard save to conceal his features.	true	1475.87	1482.13	24.460197
8050_110238_000118_000002	Come in here, Watson!"	Come in here, Watson!"	true	1482.62	1484.11	25.13213
8050_110238_000119_000000	He turned into one of the district messenger offices, where he was warmly greeted by the manager.	He turned into one of the district messenger offices, where he was warmly greeted by the manager.	true	1485.5	1492.02	24.740423
8050_110238_000120_000000	"Ah, Wilson, I see you have not forgotten the little case in which I had the good fortune to help you?"	"Ah, Wilson, I see you have not forgotten the little case in which I had the good fortune to help you?"	true	1492.02	1497.58	22
8050_110238_000121_000000	"No, sir, indeed I have not.	"No, sir, indeed I have not.	true	1497.95	1500.81	21.759972
8050_110238_000121_000001	You saved my good name, and perhaps my life."	You saved my good name, and perhaps my life."	true	1500.81	1504	20
8050_110238_000122_000000	"My dear fellow, you exaggerate.	"My dear fellow, you exaggerate.	true	1504.4	1506.91	23.137577
8050_110238_000122_000001	I have some recollection, Wilson, that you had among your boys a lad named Cartwright, who showed some ability during the investigation."	I have some recollection, Wilson, that you had among your boys a lad named Cartwright, who showed some ability during the investigation."	true	1507.19	1515.55	22.888765
8050_110238_000123_000000	"Yes, sir, he is still with us."	"Yes, sir, he is still with us."	true	1515.92	1518.31	20.14348
8050_110238_000124_000000	"Could you ring him up?--thank you!	"Could you ring him up?--thank you!	true	1518.98	1521.38	24.645401
8050_110238_000124_000001	And I should be glad to have change of this five-pound note."	And I should be glad to have change of this five pound note."	true	1521.38	1525.03	22.27928
8050_110238_000125_000000	A lad of fourteen, with a bright, keen face, had obeyed the summons of the manager.	A lad of fourteen, with a bright, keen face, had obeyed the summons of the manager.	true	1526.6	1533.1	24.774961
8050_110238_000125_000001	He stood now gazing with great reverence at the famous detective.	He stood now gazing with great reverence at the famous detective.	true	1533.17	1537.33	25.091238
8050_110238_000126_000000	"Let me have the Hotel Directory," said Holmes.	"Let me have the Hotel Directory," said Holmes.	true	1538.24	1542.08	23.737844
8050_110238_000126_000001	"Thank you!	"Thank you!	true	1542.08	1542.91	27.959002
8050_110238_000126_000002	Now, Cartwright, there are the names of twenty-three hotels here, all in the immediate neighbourhood of Charing Cross.	Now, Cartwright, there are the names of twenty three hotels here, all in the immediate neighbourhood of Charing Cross.	true	1543.19	1550.87	20.245186
8050_110238_000126_000003	Do you see?"	Do you see?"	true	1550.87	1551.7	36.056156
8050_110238_000127_000000	"Yes, sir."	"Yes, sir."	true	1551.89	1553.05	24.850933
8050_110238_000128_000000	"You will visit each of these in turn."	"You will visit each of these in turn."	true	1553.81	1556.2	22.005733
8050_110238_000129_000000	"Yes, sir."	"Yes, sir."	true	1556.54	1557.73	21.7871
8050_110238_000130_000000	"You will begin in each case by giving the outside porter one shilling. Here are twenty-three shillings."	"You will begin in each case by giving the outside porter one shilling. Here are twenty three shillings."	true	1558.34	1564.87	22.769028
8050_110238_000131_000000	"Yes, sir."	"Yes, sir."	true	1565.21	1566.37	21.282402
8050_110238_000132_000000	"You will tell him that you want to see the waste-paper of yesterday. You will say that an important telegram has miscarried and that you are looking for it.	"You will tell him that you want to see the waste paper of yesterday. You will say that an important telegram has miscarried and that you are looking for it.	true	1566.89	1576.82	23.362696
8050_110238_000132_000001	You understand?"	You understand?"	true	1576.82	1578.1	35.045433
8050_110238_000133_000000	"Yes, sir."	"Yes, sir."	true	1578.29	1579.51	26.758816
8050_110238_000134_000000	"But what you are really looking for is the centre page of the Times with some holes cut in it with scissors.	"But what you are really looking for is the centre page of the Times with some holes cut in it with scissors.	true	1579.88	1585.96	21.462675
8050_110238_000134_000001	Here is a copy of the Times.	Here is a copy of the Times.	true	1586.18	1587.83	31.84112
8050_110238_000134_000002	It is this page.	It is this page.	true	1587.83	1589.29	30.775116
8050_110238_000134_000003	You could easily recognize it, could you not?"	You could easily recognize it, could you not?"	true	1589.39	1592.02	27.323267
8050_110238_000135_000000	"Yes, sir."	"Yes, sir."	true	1592.15	1593.31	27.69221
8050_110238_000136_000000	"In each case the outside porter will send for the hall porter, to whom also you will give a shilling.	"In each case the outside porter will send for the hall porter, to whom also you will give a shilling.	false	1594.13	1599.7	23.834896
8050_110238_000136_000001	Here are twenty-three shillings.	Here are twenty three shillings.	true	1600.01	1602.01	26.069492
8050_110238_000136_000002	You will then learn in possibly twenty cases out of the twenty-three that the waste of the day before has been burned or removed.	You will then learn in possibly twenty cases out of the twenty three that the waste of the day before has been burned or removed.	false	1602.5	1610.65	20.785944
8050_110238_000136_000003	In the three other cases you will be shown a heap of paper and you will look for this page of the Times among it.	In the three other cases you will be shown a heap of paper and you will look for this page of the Times among it.	false	1610.72	1616.83	22.718552
8050_110238_000136_000004	The odds are enormously against your finding it.	The odds are enormously against your finding it.	false	1617.11	1619.8	20.57842
8050_110238_000136_000005	There are ten shillings over in case of emergencies.	There are ten shillings over in case of emergencies.	true	1619.84	1623.28	22.760876
8050_110238_000136_000006	Let me have a report by wire at Baker Street before evening.	Let me have a report by wire at Baker Street before evening.	true	1623.5	1627.51	24.618628
8050_110238_000136_000007	And now, Watson, it only remains for us to find out by wire the identity of the cabman, No. 2704, and then we will drop into one of the Bond Street picture galleries and fill in the time until we are due at the hotel."	And now, Watson, it only remains for us to find out by wire the identity of the cabman, no two thousand seven hundred four, and then we will drop into one of the Bond Street picture galleries and fill in the time until we are due at the hotel."	false	1628.39	1657.23	23.428925
