6458_232057_000000_000000	I--THE CURE FOR LOVE	I-THE CURE FOR LOVE	false	21.69	24.16	21.87817
6458_232057_000042_000000	The hypnotist raised his eyebrows.	The hypnotist raised his eyebrows.	true	899.42	901.18	20.993868
6458_232057_000042_000001	"How did she meet him?"	"How did she meet him?"	true	901.34	902.59	16.913176
6458_232057_000043_000000	"Tripped coming down from the flying-machine from Paris--and fell into his arms.	"Tripped coming down from the flying machine from Paris-and fell into his arms.	true	902.72	906.79	21.665092
6458_232057_000043_000001	The mischief was done in a moment!"	The mischief was done in a moment!"	true	906.89	908.68	22.764606
6458_232057_000044_000000	"Yes?"	"Yes?"	true	908.9	909.76	23.315296
6458_232057_000045_000000	"Well--that's all.	"Well-that's all.	true	910.1	911.59	29.314377
6458_232057_000045_000001	Things must be stopped.	Things must be stopped.	true	911.69	913.35	23.263325
6458_232057_000045_000002	That is what I want to consult you about.	That is what I want to consult you about.	true	913.35	915.34	20.335684
6458_232057_000045_000003	What must be done?	What must be done?	true	915.35	916.575	19.127428
6458_232057_000045_000004	What _can_ be done?	What underscore can underscore be done?	false	916.575	918.19	26.6251
6458_232057_000045_000005	Of course I'm not a hypnotist; my knowledge is limited.	Of course I'm not a hypnotist; my knowledge is limited.	true	918.86	921.91	21.141453
6458_232057_000045_000006	But you--?"	But you-?"	true	922.04	922.84	22.612217
6458_232057_000046_000000	"Hypnotism is not magic," said the man in green, putting both arms on the table.	"Hypnotism is not magic," said the man in green, putting both arms on the table.	true	923.21	927.85	22.719936
6458_232057_000047_000000	"Oh, precisely!	"Oh, precisely!	true	928.04	929.16	23.581793
6458_232057_000047_000001	But still--!"	But still-!"	false	929.16	930.25	29.992983
6458_232057_000048_000000	"People cannot be hypnotised without their consent.	"People cannot be hypnotised without their consent.	true	930.53	933.34	22.827515
6458_232057_000048_000001	If she is able to stand out against marrying Bindon, she will probably stand out against being hypnotised.	If she is able to stand out against marrying Bindon, she will probably stand out against being hypnotised.	true	933.44	938.23	19.326939
6458_232057_000048_000002	But if once she can be hypnotised--even by somebody else--the thing is done."	But if once she can be hypnotised-even by somebody else-the thing is done."	true	938.45	942.67	20.300467
6458_232057_000049_000000	"You can--?"	"You can-?"	true	942.89	943.87	31.837101
6458_232057_000050_000000	"Oh, certainly!	"Oh, certainly!	true	944.15	945.165	21.315475
6458_232057_000050_000001	Once we get her amenable, then we can suggest that she _must_ marry Bindon--that that is her fate; or that the young man is repulsive, and that when she sees him she will be giddy and faint, or any little thing of that sort.	Once we get her amenable, then we can suggest that she underscore must underscore marry Bindon-that that is her fate; or that the young man is repulsive, and that when she sees him she will be giddy and faint, or any little thing of that sort.	false	945.165	956.415	20.87079
6458_232057_000050_000002	Or if we can get her into a sufficiently profound trance we can suggest that she should forget him altogether--"	Or if we can get her into a sufficiently profound trance we can suggest that she should forget him altogether-"	false	956.415	961.24	22.82384
6458_232057_000051_000000	"Precisely."	"Precisely."	true	961.31	962.26	21.517048
6458_232057_000052_000000	"But the problem is to get her hypnotised.	"But the problem is to get her hypnotised.	true	962.45	964.725	22.781572
6458_232057_000052_000001	Of course no sort of proposal or suggestion must come from you--because no doubt she already distrusts you in the matter."	Of course no sort of proposal or suggestion must come from you-because no doubt she already distrusts you in the matter."	true	964.725	970.83	20
6458_232057_000053_000000	The hypnotist leant his head upon his arm and thought.	The hypnotist leant his head upon his arm and thought.	false	970.83	973.9	21.469225
6458_232057_000054_000000	"It's hard a man cannot dispose of his own daughter," said Mwres irrelevantly.	"It's hard a man cannot dispose of his own daughter," said m w r e's irrelevantly.	false	974	977.95	20.642393
6458_232057_000055_000000	"You must give me the name and address of the young lady," said the hypnotist, "and any information bearing upon the matter.	"You must give me the name and address of the young lady," said the hypnotist, "and any information bearing upon the matter.	false	978.26	983.41	19
6458_232057_000055_000001	And, by the bye, is there any money in the affair?"	And, by the bye, is there any money in the affair?"	true	983.9	987.3	23.522081
6458_232057_000056_000000	Mwres hesitated.	m w r e's hesitated.	false	987.3	989.2	17.975864
6458_232057_000057_000000	"There's a sum--in fact, a considerable sum--invested in the Patent Road Company.	"There's a sum-in fact, a considerable sum-invested in the Patent Road Company.	true	989.48	994.63	21.322363
6458_232057_000057_000001	From her mother.	From her mother.	true	994.94	996.04	26.039726
6458_232057_000057_000002	That's what makes the thing so exasperating."	That's what makes the thing so exasperating."	true	996.62	999.13	22.748596
6458_232057_000058_000000	"Exactly," said the hypnotist.	"Exactly," said the hypnotist.	true	999.71	1001.26	20.400795
6458_232057_000058_000001	And he proceeded to cross-examine Mwres on the entire affair.	And he proceeded to cross examine m w r e's on the entire affair.	false	1001.26	1004.44	19
6458_232057_000059_000000	It was a lengthy interview.	It was a lengthy interview.	true	1004.96	1006.69	20.848358
6458_232057_000060_000000	And meanwhile "Elizebe{th} Mwres," as she spelt her name, or "Elizabeth Morris" as a nineteenth-century person would have put it, was sitting in a quiet waiting-place beneath the great stage upon which the flying-machine from Paris descended.	And meanwhile "Elizebe{t h} m w r e's," as she spelt her name, or "Elizabeth Morris" as a nineteenth century person would have put it, was sitting in a quiet waiting place beneath the great stage upon which the flying machine from Paris descended.	false	1007.39	1023.1	20.16163
6458_232057_000060_000001	And beside her sat her slender, handsome lover reading her the poem he had written that morning while on duty upon the stage.	And beside her sat her slender, handsome lover reading her the poem he had written that morning while on duty upon the stage.	false	1023.32	1029.61	18
6458_232057_000060_000002	When he had finished they sat for a time in silence; and then, as if for their special entertainment, the great machine that had come flying through the air from America that morning rushed down out of the sky.	When he had finished they sat for a time in silence; and then, as if for their special entertainment, the great machine that had come flying through the air from America that morning rushed down out of the sky.	false	1029.89	1040.14	21
6458_232057_000061_000000	At first it was a little oblong, faint and blue amidst the distant fleecy clouds; and then it grew swiftly large and white, and larger and whiter, until they could see the separate tiers of sails, each hundreds of feet wide, and the lank body they supported, and at last even the swinging seats of the passengers in a dotted row.	At first it was a little oblong, faint and blue amidst the distant fleecy clouds; and then it grew swiftly large and white, and larger and whiter, until they could see the separate tiers of sails, each hundreds of feet wide, and the lank body they supported, and at last even the swinging seats of the passengers in a dotted row.	false	1040.39	1057.51	19.819912
6458_232057_000061_000001	Although it was falling it seemed to them to be rushing up the sky, and over the roof-spaces of the city below its shadow leapt towards them.	Although it was falling it seemed to them to be rushing up the sky, and over the roof spaces of the city below its shadow leapt towards them.	false	1057.7	1065.55	18.8098
6458_232057_000061_000002	They heard the whistling rush of the air about it and its yelling siren, shrill and swelling, to warn those who were on its landing-stage of its arrival. And abruptly the note fell down a couple of octaves, and it had passed, and the sky was clear and void, and she could turn her sweet eyes again to Denton at her side.	They heard the whistling rush of the air about it and its yelling siren, shrill and swelling, to warn those who were on its landing stage of its arrival. And abruptly the note fell down a couple of octaves, and it had passed, and the sky was clear and void, and she could turn her sweet eyes again to Denton at her side.	false	1065.83	1082.02	20.5442
6458_232057_000062_000000	Their silence ended; and Denton, speaking in a little language of broken English that was, they fancied, their private possession--though lovers have used such little languages since the world began--told her how they too would leap into the air one morning out of all the obstacles and difficulties about them, and fly to a sunlit city of delight he knew of in Japan, half-way about the world.	Their silence ended; and Denton, speaking in a little language of broken English that was, they fancied, their private possession-though lovers have used such little languages since the world began-told her how they too would leap into the air one morning out of all the obstacles and difficulties about them, and fly to a sunlit city of delight he knew of in Japan, half-way about the world.	false	1082.36	1103.29	20.649649
6458_232057_000063_000000	She loved the dream, but she feared the leap; and she put him off with "Some day, dearest one, some day," to all his pleading that it might be soon; and at last came a shrilling of whistles, and it was time for him to go back to his duties on the stage.	She loved the dream, but she feared the leap; and she put him off with "Some day, dearest one, some day," to all his pleading that it might be soon; and at last came a shrilling of whistles, and it was time for him to go back to his duties on the stage.	true	1103.75	1117.06	21.566793
6458_232057_000063_000001	They parted--as lovers have been wont to part for thousands of years.	They parted-as lovers have been wont to part for thousands of years.	false	1117.64	1121.74	20.598114
6458_232057_000063_000002	She walked down a passage to a lift, and so came to one of the streets of that latter-day London, all glazed in with glass from the weather, and with incessant moving platforms that went to all parts of the city.	She walked down a passage to a lift, and so came to one of the streets of that latter day London, all glazed in with glass from the weather, and with incessant moving platforms that went to all parts of the city.	true	1122.35	1132.56	19
6458_232057_000063_000003	And by one of these she returned to her apartments in the Hotel for Women where she lived, the apartments that were in telephonic communication with all the best lecturers in the world.	And by one of these she returned to her apartments in the Hotel for Women where she lived, the apartments that were in telephonic communication with all the best lecturers in the world.	false	1132.56	1141.05	19.419643
6458_232057_000063_000004	But the sunlight of the flying stage was in her heart, and the wisdom of all the best lecturers in the world seemed folly in that light.	But the sunlight of the flying stage was in her heart, and the wisdom of all the best lecturers in the world seemed folly in that light.	true	1141.05	1148.5	20.021975
6458_232057_000064_000000	She spent the middle part of the day in the gymnasium, and took her midday meal with two other girls and their common chaperone--for it was still the custom to have a chaperone in the case of motherless girls of the more prosperous classes.	She spent the middle part of the day in the gymnasium, and took her midday meal with two other girls and their common chaperone-for it was still the custom to have a chaperone in the case of motherless girls of the more prosperous classes.	false	1149.05	1159.63	21
6458_232057_000064_000001	The chaperone had a visitor that day, a man in green and yellow, with a white face and vivid eyes, who talked amazingly.	The chaperone had a visitor that day, a man in green and yellow, with a white face and vivid eyes, who talked amazingly.	true	1160.03	1166.65	22.49131
6458_232057_000064_000002	Among other things, he fell to praising a new historical romance that one of the great popular story-tellers of the day had just put forth.	Among other things, he fell to praising a new historical romance that one of the great popular story tellers of the day had just put forth.	true	1166.87	1174.3	22.369267
6458_232057_000064_000003	It was, of course, about the spacious times of Queen Victoria; and the author, among other pleasing novelties, made a little argument before each section of the story, in imitation of the chapter headings of the old-fashioned books: as for example, "How the Cabmen of Pimlico stopped the Victoria Omnibuses, and of the Great Fight in Palace Yard," and "How the Piccadilly Policeman was slain in the midst of his Duty." The man in green and yellow praised this innovation.	It was, of course, about the spacious times of Queen Victoria; and the author, among other pleasing novelties, made a little argument before each section of the story, in imitation of the chapter headings of the old-fashioned books: as for example, "How the Cabmen of Pimlico stopped the Victoria Omnibuses, and of the Great Fight in Palace Yard," and "How the Piccadilly Policeman was slain in the midst of his Duty." The man in green and yellow praised this innovation.	true	1174.61	1202.83	22.384033
6458_232057_000064_000004	"These pithy sentences," he said, "are admirable.	"These pithy sentences," he said, "are admirable.	true	1203.32	1206.34	24.00599
6458_232057_000064_000005	They show at a glance those headlong, tumultuous times, when men and animals jostled in the filthy streets, and death might wait for one at every corner.	They show at a glance those headlong, tumultuous times, when men and animals jostled in the filthy streets, and death might wait for one at every corner.	true	1206.53	1216.63	21.750607
6458_232057_000064_000006	Life was life then!	Life was life then!	true	1216.88	1218.34	27.458693
6458_232057_000064_000007	How great the world must have seemed then!	How great the world must have seemed then!	false	1218.62	1220.58	16
6458_232057_000064_000008	How marvellous!	How marvellous!	true	1220.58	1221.93	15
6458_232057_000064_000009	They were still parts of the world absolutely unexplored.	They were still parts of the world absolutely unexplored.	false	1221.93	1225.72	24.927351
6458_232057_000064_000010	Nowadays we have almost abolished wonder, we lead lives so trim and orderly that courage, endurance, faith, all the noble virtues seem fading from mankind."	Nowadays we have almost abolished wonder, we lead lives so trim and orderly that courage, endurance, faith, all the noble virtues seem fading from mankind."	true	1225.97	1236.28	20.639118
6458_232057_000065_000000	And so on, taking the girls' thoughts with him, until the life they led, life in the vast and intricate London of the twenty-second century, a life interspersed with soaring excursions to every part of the globe, seemed to them a monotonous misery compared with the daedal past.	And so on, taking the girls' thoughts with him, until the life they led, life in the vast and intricate London of the twenty second century, a life interspersed with soaring excursions to every part of the globe, seemed to them a monotonous misery compared with the daedal past.	false	1236.86	1251.67	22
6458_232057_000066_000000	At first Elizabeth did not join in the conversation, but after a time the subject became so interesting that she made a few shy interpolations.	At first Elizabeth did not join in the conversation, but after a time the subject became so interesting that she made a few shy interpolations.	true	1252.25	1260.04	20
6458_232057_000066_000001	But he scarcely seemed to notice her as he talked.	But he scarcely seemed to notice her as he talked.	false	1260.2	1262.89	20.490217
6458_232057_000066_000002	He went on to describe a new method of entertaining people.	He went on to describe a new method of entertaining people.	true	1263.02	1265.92	23.049452
6458_232057_000066_000003	They were hypnotised, and then suggestions were made to them so skilfully that they seemed to be living in ancient times again.	They were hypnotised, and then suggestions were made to them so skilfully that they seemed to be living in ancient times again.	true	1266.08	1271.8	16
6458_232057_000066_000004	They played out a little romance in the past as vivid as reality, and when at last they awakened they remembered all they had been through as though it were a real thing.	They played out a little romance in the past as vivid as reality, and when at last they awakened they remembered all they had been through as though it were a real thing.	false	1272.05	1279.96	19
6458_232057_000067_000000	"It is a thing we have sought to do for years and years," said the hypnotist.	"It is a thing we have sought to do for years and years," said the hypnotist.	true	1280.36	1283.88	17.890303
6458_232057_000067_000001	"It is practically an artificial dream.	"It is practically an artificial dream.	true	1283.88	1286.23	22.840912
6458_232057_000067_000002	And we know the way at last.	And we know the way at last.	true	1286.27	1288.3	19.274063
6458_232057_000067_000003	Think of all it opens out to us--the enrichment of our experience, the recovery of adventure, the refuge it offers from this sordid, competitive life in which we live!	Think of all it opens out to us-the enrichment of our experience, the recovery of adventure, the refuge it offers from this sordid, competitive life in which we live!	false	1288.61	1297.68	21.725508
6458_232057_000067_000004	Think!"	Think!"	true	1297.68	1298.47	30.881304
6458_232057_000068_000000	"And you can do that!" said the chaperone eagerly.	"And you can do that!" said the chaperone eagerly.	false	1298.9	1301.32	26.588385
6458_232057_000069_000000	"The thing is possible at last," the hypnotist said.	"The thing is possible at last," the hypnotist said.	false	1301.57	1303.96	21.024738
6458_232057_000069_000001	"You may order a dream as you wish."	"You may order a dream as you wish."	true	1303.97	1305.82	15.953616
6458_232057_000070_000000	The chaperone was the first to be hypnotised, and the dream, she said, was wonderful, when she came to again.	The chaperone was the first to be hypnotised, and the dream, she said, was wonderful, when she came to again.	true	1306.34	1311.28	20
6458_232057_000071_000000	The other two girls, encouraged by her enthusiasm, also placed themselves in the hands of the hypnotist and had plunges into the romantic past.	The other two girls, encouraged by her enthusiasm, also placed themselves in the hands of the hypnotist and had plunges into the romantic past.	true	1311.86	1318.84	20
6458_232057_000071_000001	No one suggested that Elizabeth should try this novel entertainment; it was at her own request at last that she was taken into that land of dreams where there is neither any freedom of choice nor will....	No one suggested that Elizabeth should try this novel entertainment; it was at her own request at last that she was taken into that land of dreams where there is neither any freedom of choice nor will....	true	1319.36	1329.43	18
6458_232057_000072_000000	And so the mischief was done.	And so the mischief was done.	true	1329.86	1332.25	23.571707
6458_232057_000073_000000	One day, when Denton went down to that quiet seat beneath the flying stage, Elizabeth was not in her wonted place.	One day, when Denton went down to that quiet seat beneath the flying stage, Elizabeth was not in her wonted place.	true	1332.86	1339.03	23.524538
6458_232057_000073_000001	He was disappointed, and a little angry.	He was disappointed, and a little angry.	true	1339.49	1342.12	21.350836
6458_232057_000073_000002	The next day she did not come, and the next also.	The next day she did not come, and the next also.	true	1342.76	1345.72	24.229254
6458_232057_000073_000003	He was afraid.	He was afraid.	true	1346.27	1347.76	22.460674
6458_232057_000073_000004	To hide his fear from himself, he set to work to write sonnets for her when she should come again....	To hide his fear from himself, he set to work to write sonnets for her when she should come again....	true	1348.4	1352.86	20
6458_232057_000074_000000	For three days he fought against his dread by such distraction, and then the truth was before him clear and cold, and would not be denied.	For three days he fought against his dread by such distraction, and then the truth was before him clear and cold, and would not be denied.	true	1353.44	1359.85	19.31155
6458_232057_000074_000001	She might be ill, she might be dead; but he would not believe that he had been betrayed.	She might be ill, she might be dead; but he would not believe that he had been betrayed.	true	1360.1	1365.19	19.940226
6458_232057_000074_000002	There followed a week of misery.	There followed a week of misery.	true	1366.19	1367.92	23.637346
6458_232057_000074_000003	And then he knew she was the only thing on earth worth having, and that he must seek her, however hopeless the search, until she was found once more.	And then he knew she was the only thing on earth worth having, and that he must seek her, however hopeless the search, until she was found once more.	true	1368.2	1375.75	21.870686
6458_232057_000075_000000	He had some small private means of his own, and so he threw over his appointment on the flying stage, and set himself to find this girl who had become at last all the world to him.	He had some small private means of his own, and so he threw over his appointment on the flying stage, and set himself to find this girl who had become at last all the world to him.	true	1376.36	1385.56	21.121536
6458_232057_000075_000001	He did not know where she lived, and little of her circumstances; for it had been part of the delight of her girlish romance that he should know nothing of her, nothing of the difference of their station.	He did not know where she lived, and little of her circumstances; for it had been part of the delight of her girlish romance that he should know nothing of her, nothing of the difference of their station.	false	1385.81	1395.79	21.086405
6458_232057_000075_000002	The ways of the city opened before him east and west, north and south.	The ways of the city opened before him east and west, north and south.	false	1396.01	1400.32	23.716522
6458_232057_000075_000003	Even in Victorian days London was a maze, that little London with its poor four millions of people; but the London he explored, the London of the twenty-second century, was a London of thirty million souls.	Even in Victorian days London was a maze, that little London with its poor four millions of people; but the London he explored, the London of the twenty second century, was a London of thirty million souls.	true	1400.57	1411.36	22
6458_232057_000075_000004	At first he was energetic and headlong, taking time neither to eat nor sleep.	At first he was energetic and headlong, taking time neither to eat nor sleep.	true	1411.73	1416.51	21.619898
6458_232057_000075_000005	He sought for weeks and months, he went through every imaginable phase of fatigue and despair, over-excitement and anger.	He sought for weeks and months, he went through every imaginable phase of fatigue and despair, over excitement and anger.	true	1416.51	1424.32	22.689037
6458_232057_000075_000006	Long after hope was dead, by the sheer inertia of his desire he still went to and fro, peering into faces and looking this way and that, in the incessant ways and lifts and passages of that interminable hive of men.	Long after hope was dead, by the sheer inertia of his desire he still went to and fro, peering into faces and looking this way and that, in the incessant ways and lifts and passages of that interminable hive of men.	false	1424.6	1437.25	19
6458_232057_000076_000000	At last chance was kind to him, and he saw her.	At last chance was kind to him, and he saw her.	false	1437.74	1441.3	22.576084
6458_232057_000077_000000	It was in a time of festivity.	It was in a time of festivity.	false	1442.24	1444.06	31.452204
6458_232057_000077_000001	He was hungry; he had paid the inclusive fee and had gone into one of the gigantic dining-places of the city; he was pushing his way among the tables and scrutinising by mere force of habit every group he passed.	He was hungry; he had paid the inclusive fee and had gone into one of the gigantic dining places of the city; he was pushing his way among the tables and scrutinising by mere force of habit every group he passed.	true	1444.43	1455.79	23.312963
6458_232057_000078_000000	He stood still, robbed of all power of motion, his eyes wide, his lips apart.	He stood still, robbed of all power of motion, his eyes wide, his lips apart.	true	1456.28	1462.12	21.507458
6458_232057_000078_000001	Elizabeth sat scarcely twenty yards away from him, looking straight at him.	Elizabeth sat scarcely twenty yards away from him, looking straight at him.	true	1462.46	1467.46	21.787088
6458_232057_000078_000002	Her eyes were as hard to him, as hard and expressionless and void of recognition, as the eyes of a statue.	Her eyes were as hard to him, as hard and expressionless and void of recognition, as the eyes of a statue.	true	1467.56	1474.75	19.594227
6458_232057_000079_000000	She looked at him for a moment, and then her gaze passed beyond him.	She looked at him for a moment, and then her gaze passed beyond him.	true	1475.69	1479.34	21.27852
6458_232057_000080_000000	Had he had only her eyes to judge by he might have doubted if it was indeed Elizabeth, but he knew her by the gesture of her hand, by the grace of a wanton little curl that floated over her ear as she moved her head.	Had he had only her eyes to judge by he might have doubted if it was indeed Elizabeth, but he knew her by the gesture of her hand, by the grace of a wanton little curl that floated over her ear as she moved her head.	true	1479.74	1491.55	19.967487
6458_232057_000080_000001	Something was said to her, and she turned smiling tolerantly to the man beside her, a little man in foolish raiment knobbed and spiked like some odd reptile with pneumatic horns--the Bindon of her father's choice.	Something was said to her, and she turned smiling tolerantly to the man beside her, a little man in foolish raiment knobbed and spiked like some odd reptile with pneumatic horns-the Bindon of her father's choice.	false	1492.04	1503.76	20.724663
6458_232057_000081_000000	For a moment Denton stood white and wild-eyed; then came a terrible faintness, and he sat before one of the little tables.	For a moment Denton stood white and wild eyed; then came a terrible faintness, and he sat before one of the little tables.	true	1504.28	1511.2	23.71123
6458_232057_000081_000001	He sat down with his back to her, and for a time he did not dare to look at her again. When at last he did, she and Bindon and two other people were standing up to go.	He sat down with his back to her, and for a time he did not dare to look at her again. When at last he did, she and Bindon and two other people were standing up to go.	true	1511.99	1522.45	24.31721
6458_232057_000081_000002	The others were her father and her chaperone.	The others were her father and her chaperone.	true	1522.79	1525.27	21.176228
6458_232057_000082_000000	He sat as if incapable of action until the four figures were remote and small, and then he rose up possessed with the one idea of pursuit.	He sat as if incapable of action until the four figures were remote and small, and then he rose up possessed with the one idea of pursuit.	true	1525.73	1535.08	22.654665
6458_232057_000082_000001	For a space he feared he had lost them, and then he came upon Elizabeth and her chaperone again in one of the streets of moving platforms that intersected the city.	For a space he feared he had lost them, and then he came upon Elizabeth and her chaperone again in one of the streets of moving platforms that intersected the city.	true	1535.24	1542.31	21.131588
6458_232057_000082_000002	Bindon and Mwres had disappeared.	Bindon and m w r e's had disappeared.	false	1542.74	1544.8	19.353643
6458_232057_000083_000000	He could not control himself to patience.	He could not control himself to patience.	true	1545.02	1547.05	24.032454
6458_232057_000083_000001	He felt he must speak to her forthwith, or die.	He felt he must speak to her forthwith, or die.	true	1547.39	1550.11	23.641602
6458_232057_000083_000002	He pushed forward to where they were seated, and sat down beside them.	He pushed forward to where they were seated, and sat down beside them.	false	1550.45	1553.68	20.524279
6458_232057_000083_000003	His white face was convulsed with half-hysterical excitement.	His white face was convulsed with half hysterical excitement.	true	1553.78	1557.13	22.18616
6458_232057_000084_000000	He laid his hand on her wrist.	He laid his hand on her wrist.	true	1557.5	1559.32	20.311892
6458_232057_000084_000001	"Elizabeth?" he said.	"Elizabeth?" he said.	true	1559.72	1561.48	26.479507
6458_232057_000085_000000	She turned in unfeigned astonishment.	She turned in unfeigned astonishment.	true	1561.97	1564.42	21.841352
6458_232057_000085_000001	Nothing but the fear of a strange man showed in her face.	Nothing but the fear of a strange man showed in her face.	true	1564.58	1567.45	22
6458_232057_000086_000000	"Elizabeth," he cried, and his voice was strange to him: "dearest--you _know_ me?"	"Elizabeth," he cried, and his voice was strange to him: "dearest-you underscore know underscore me?"	false	1568	1574.77	20.921778
6458_232057_000087_000000	Elizabeth's face showed nothing but alarm and perplexity.	Elizabeth's face showed nothing but alarm and perplexity.	true	1575.32	1578.94	19.741215
6458_232057_000087_000001	She drew herself away from him.	She drew herself away from him.	true	1579.34	1581.61	21.708323
6458_232057_000087_000002	The chaperone, a little grey-headed woman with mobile features, leant forward to intervene.	The chaperone, a little grey headed woman with mobile features, leant forward to intervene.	false	1582.07	1587.43	21.548399
6458_232057_000087_000003	Her resolute bright eyes examined Denton.	Her resolute bright eyes examined Denton.	true	1588.07	1590.24	18.22288
6458_232057_000087_000004	"_What_ do you say?" she asked.	"underscore What underscore do you say?" she asked.	false	1590.24	1593.19	22.143625
6458_232057_000088_000000	"This young lady," said Denton,--"she knows me."	"This young lady," said Denton,--"she knows me."	true	1594.07	1597.45	19.882196
6458_232057_000089_000000	"Do you know him, dear?"	"Do you know him, dear?"	true	1597.97	1599.16	23.59876
6458_232057_000090_000000	"No," said Elizabeth in a strange voice, and with a hand to her forehead, speaking almost as one who repeats a lesson.	"No," said Elizabeth in a strange voice, and with a hand to her forehead, speaking almost as one who repeats a lesson.	true	1599.92	1606.18	18
6458_232057_000090_000001	"No, I do not know him.	"No, I do not know him.	true	1606.37	1608.39	21.61473
6458_232057_000090_000002	I _know_--I do not know him."	I underscore know underscore--I do not know him."	false	1608.39	1611.4	20.714615
6458_232057_000091_000000	"But--but ...	"But-but ...	true	1612.1	1613.13	34.585052
6458_232057_000091_000001	Not know me!	Not know me!	true	1613.13	1614.22	28.889288
6458_232057_000091_000002	It is I--Denton.	It is I-Denton.	true	1614.22	1615.99	22.109402
6458_232057_000091_000003	Denton!	Denton!	true	1616.3	1617.22	24.051338
6458_232057_000091_000004	To whom you used to talk.	To whom you used to talk.	false	1617.8	1619.59	21.728937
6458_232057_000091_000005	Don't you remember the flying stages?	Don't you remember the flying stages?	true	1620.08	1622.26	18.49095
6458_232057_000091_000006	The little seat in the open air?	The little seat in the open air?	true	1622.69	1624.61	23
6458_232057_000091_000007	The verses--"	The verses-"	true	1624.61	1625.62	21.447002
6458_232057_000092_000000	"No," cried Elizabeth,--"no.	"No," cried Elizabeth,--"no	true	1626.41	1628.47	24.973755
6458_232057_000092_000001	I do not know him.	I do not know him.	true	1628.48	1629.77	19.638386
6458_232057_000092_000002	I do not know him.	I do not know him.	true	1629.77	1630.96	18.29533
6458_232057_000092_000003	There is something....	There is something....	true	1631.39	1632.53	24.583231
6458_232057_000092_000004	But I don't know.	But I don't know.	true	1632.53	1633.57	19.598412
6458_232057_000092_000005	All I know is that I do not know him." Her face was a face of infinite distress.	All I know is that I do not know him." Her face was a face of infinite distress.	true	1633.97	1639.72	22.68282
6458_232057_000093_000000	The sharp eyes of the chaperone flitted to and fro from the girl to the man.	The sharp eyes of the chaperone flitted to and fro from the girl to the man.	false	1640.45	1644.13	23.051268
6458_232057_000093_000001	"You see?" she said, with the faint shadow of a smile.	"You see?" she said, with the faint shadow of a smile.	true	1644.65	1647.67	24
6458_232057_000093_000002	"She does not know you."	"She does not know you."	true	1648.01	1649.44	19.105345
6458_232057_000094_000000	"I do not know you," said Elizabeth.	"I do not know you," said Elizabeth.	true	1649.84	1651.23	17.680347
6458_232057_000094_000001	"Of that I am sure."	"Of that I am sure."	true	1651.23	1652.56	25.915392
6458_232057_000095_000000	"But, dear--the songs--the little verses--"	"But, dear-the songs-the little verses-"	true	1652.96	1656.28	21.86049
6458_232057_000096_000000	"She does not know you," said the chaperone.	"She does not know you," said the chaperone.	true	1656.8	1659.88	25.23093
6458_232057_000096_000001	"You must not....	"You must not....	true	1659.98	1661.05	30.829376
6458_232057_000096_000002	You have made a mistake.	You have made a mistake.	true	1661.3	1662.67	21.847256
6458_232057_000096_000003	You must not go on talking to us after that.	You must not go on talking to us after that.	true	1662.8	1665.19	23.707457
6458_232057_000096_000004	You must not annoy us on the public ways."	You must not annoy us on the public ways."	true	1665.23	1667.44	23.04115
6458_232057_000097_000000	"But--" said Denton, and for a moment his miserably haggard face appealed against fate.	"But-" said Denton, and for a moment his miserably haggard face appealed against fate.	true	1667.99	1673.05	23.3208
6458_232057_000098_000000	"You must not persist, young man," protested the chaperone.	"You must not persist, young man," protested the chaperone.	true	1673.24	1676.04	22
6458_232057_000099_000000	"_Elizabeth!_" he cried.	"underscore Elizabeth!underscore" he cried.	false	1676.04	1678.48	25.577435
6458_232057_000100_000000	Her face was the face of one who is tormented.	Her face was the face of one who is tormented.	true	1679.09	1681.99	21.009087
6458_232057_000100_000001	"I do not know you," she cried, hand to brow.	"I do not know you," she cried, hand to brow.	true	1682.45	1685.49	20.916746
6458_232057_000100_000002	"Oh, I do not know you!"	"Oh, I do not know you!"	true	1685.49	1687.36	20.762644
6458_232057_000101_000000	For an instant Denton sat stunned.	For an instant Denton sat stunned.	true	1688.69	1691.32	21.170607
6458_232057_000101_000001	Then he stood up and groaned aloud.	Then he stood up and groaned aloud.	true	1691.51	1693.84	24.774296
6458_232057_000102_000000	He made a strange gesture of appeal towards the remote glass roof of the public way, then turned and went plunging recklessly from one moving platform to another, and vanished amidst the swarms of people going to and fro thereon.	He made a strange gesture of appeal towards the remote glass roof of the public way, then turned and went plunging recklessly from one moving platform to another, and vanished amidst the swarms of people going to and fro thereon.	true	1694.15	1708.06	22.204908
6458_232057_000102_000001	The chaperone's eyes followed him, and then she looked at the curious faces about her.	The chaperone's eyes followed him, and then she looked at the curious faces about her.	true	1708.58	1712.53	21.831074
6458_232057_000103_000000	"Dear," asked Elizabeth, clasping her hand, and too deeply moved to heed observation, "who was that man?	"Dear," asked Elizabeth, clasping her hand, and too deeply moved to heed observation, "who was that man?	true	1713.11	1719.13	24.358553
6458_232057_000103_000001	Who _was_ that man?"	Who underscore was underscore that man?"	false	1719.47	1721.23	18.510212
6458_232057_000104_000000	The chaperone raised her eyebrows.	The chaperone raised her eyebrows.	true	1721.6	1723.39	22.280584
