1603_140931_000000_000000	CHAPTER SEVEN.	CHAPTER SEVEN.	false	5.46	27.01	18.759708
1603_140931_000055_000002	Accordingly when he reached the cave and saw Zeppa busy beside his fire with a cocoa-nut, he assumed a stooping attitude of profound respect, and drew near.	Accordingly when he reached the cave and saw Zeppa busy beside his fire with a cocoa nut, he assumed a stooping attitude of profound respect, and drew near.	false	907.34	915.58	21
1603_140931_000056_000000	Zeppa looked up with a frown, as if annoyed at the intrusion.	Zeppa looked up with a frown, as if annoyed at the intrusion.	true	916.22	919.45	22.687054
1603_140931_000057_000000	"Your unworthy son," began Wapoota, "comes to--"	"Your unworthy son," began Wapoota, "comes to-"	true	919.91	922.9	16.565697
1603_140931_000058_000000	But he got no further.	But he got no further.	true	923.06	924.34	22.257057
1603_140931_000058_000001	He could not well have hit upon a more unfortunate phrase.	He could not well have hit upon a more unfortunate phrase.	true	924.38	927.7	21.702616
1603_140931_000059_000000	"My unworthy _son_!" shouted Zeppa, leaping up, while unearthly fires seemed to shoot from his distended eyes.	"My unworthy underscore son underscore!" shouted Zeppa, leaping up, while unearthly fires seemed to shoot from his distended eyes.	false	928.19	934.87	19.277895
1603_140931_000059_000001	"My son!	"My son!	true	934.97	935.82	20.830996
1603_140931_000059_000002	_son_!	underscore son underscore!	false	935.82	937.32	19.594534
1603_140931_000059_000003	Ha! ha-a-a-a!"	Ha! ha a a a!"	false	937.32	940.365	30.823673
1603_140931_000060_000000	The horrified intruder heard the terminal yell, and saw the maniac bound over the fire towards him, but he saw and heard no more, for his limbs became suddenly endued with something like electric vitality.	The horrified intruder heard the terminal yell, and saw the maniac bound over the fire towards him, but he saw and heard no more, for his limbs became suddenly endued with something like electric vitality.	true	940.365	951.22	20.367863
1603_140931_000060_000001	He turned and shot over a small precipice, as if flung from an ancient catapult. What he alighted on he did not know, still less did he care.	He turned and shot over a small precipice, as if flung from an ancient catapult. What he alighted on he did not know, still less did he care.	true	951.47	959.44	19.63043
1603_140931_000060_000002	It was sufficiently soft to prevent death.	It was sufficiently soft to prevent death.	true	959.6	961.78	20
1603_140931_000061_000000	Another awful cry echoed and re-echoed from the heights above, and intensified the electric battery within him.	Another awful cry echoed and re echoed from the heights above, and intensified the electric battery within him.	false	962.48	968.59	22.837488
1603_140931_000061_000001	He went down the slopes regardless of gradient at a pace that might have left even Zeppa behind if he had followed; but Zeppa did not follow.	He went down the slopes regardless of gradient at a pace that might have left even Zeppa behind if he had followed; but Zeppa did not follow.	true	968.9	975.91	19.98339
1603_140931_000062_000000	When Wapoota went over the precipice and disappeared, Zeppa halted and stood erect, gazing with a questioning aspect at the sky, and drawing his hand slowly across his brows with that wearied and puzzled aspect which had become characteristic.	When Wapoota went over the precipice and disappeared, Zeppa halted and stood erect, gazing with a questioning aspect at the sky, and drawing his hand slowly across his brows with that wearied and puzzled aspect which had become characteristic.	true	976.58	989.26	20.17336
1603_140931_000063_000000	Returning after a few minutes to his cave, he reseated himself quietly beside his fire, and, with his usual placid expression, devoted himself earnestly to his cocoa-nut.	Returning after a few minutes to his cave, he reseated himself quietly beside his fire, and, with his usual placid expression, devoted himself earnestly to his cocoa nut.	false	989.81	1014.36	18.863197
