176_122025_000000_000000	VI.	VI.	false	34.14	34.5	13.778715
176_122025_000058_000004	Never mind--forget that I asked.'	Never mind-forget that I asked.'	false	942.26	945.96	20.093115
176_122025_000059_000000	'Look here, old man,' said the Rat, beginning to get rather alarmed, 'of course I'll fetch a doctor to you, if you really think you want him.	'Look here, old man,' said the Rat, beginning to get rather alarmed, 'of course I'll fetch a doctor to you, if you really think you want him.	false	945.96	955.45	22.516619
176_122025_000059_000001	But you can hardly be bad enough for that yet.	But you can hardly be bad enough for that yet.	true	955.58	958.39	23.349865
176_122025_000059_000002	Let's talk about something else.'	Let's talk about something else.'	true	958.49	960.55	24.003748
176_122025_000060_000000	'I fear, dear friend,' said Toad, with a sad smile, 'that "talk" can do little in a case like this--or doctors either, for that matter; still, one must grasp at the slightest straw.	'I fear, dear friend,' said Toad, with a sad smile, 'that "talk" can do little in a case like this-or doctors either, for that matter; still, one must grasp at the slightest straw.	true	960.92	976.51	21.443624
176_122025_000060_000001	And, by the way--while you are about it--I HATE to give you additional trouble, but I happen to remember that you will pass the door--would you mind at the same time asking the lawyer to step up?	And, by the way-while you are about it-I HATE to give you additional trouble, but I happen to remember that you will pass the door-would you mind at the same time asking the lawyer to step up?	true	977.18	993.07	21.791286
176_122025_000060_000002	It would be a convenience to me, and there are moments--perhaps I should say there is A moment--when one must face disagreeable tasks, at whatever cost to exhausted nature!'	It would be a convenience to me, and there are moments-perhaps I should say there is A moment-when one must face disagreeable tasks, at whatever cost to exhausted nature!'	true	993.44	1009.71	21.274355
176_122025_000061_000000	'A lawyer!	'A lawyer!	false	1009.71	1011.84	18.184525
176_122025_000061_000001	O, he must be really bad!' the affrighted Rat said to himself, as he hurried from the room, not forgetting, however, to lock the door carefully behind him.	O, he must be really bad!' the affrighted Rat said to himself, as he hurried from the room, not forgetting, however, to lock the door carefully behind him.	true	1011.84	1021.63	17.843102
176_122025_000062_000000	Outside, he stopped to consider.	Outside, he stopped to consider.	true	1021.94	1024.12	23.209852
176_122025_000062_000001	The other two were far away, and he had no one to consult.	The other two were far away, and he had no one to consult.	true	1024.34	1028.26	19.765915
176_122025_000063_000000	'It's best to be on the safe side,' he said, on reflection.	'It's best to be on the safe side,' he said, on reflection.	true	1028.69	1032.46	21.418001
176_122025_000063_000001	'I've known Toad fancy himself frightfully bad before, without the slightest reason; but I've never heard him ask for a lawyer!	'I've known Toad fancy himself frightfully bad before, without the slightest reason; but I've never heard him ask for a lawyer!	true	1032.65	1040.95	20.354893
176_122025_000063_000002	If there's nothing really the matter, the doctor will tell him he's an old ass, and cheer him up; and that will be something gained.	If there's nothing really the matter, the doctor will tell him he's an old ass, and cheer him up; and that will be something gained.	true	1041.2	1048.32	22.581299
176_122025_000063_000003	I'd better humour him and go; it won't take very long.' So he ran off to the village on his errand of mercy.	I'd better humour him and go; it won't take very long.' So he ran off to the village on his errand of mercy.	false	1048.32	1055.26	22.166883
176_122025_000064_000000	The Toad, who had hopped lightly out of bed as soon as he heard the key turned in the lock, watched him eagerly from the window till he disappeared down the carriage-drive.	The Toad, who had hopped lightly out of bed as soon as he heard the key turned in the lock, watched him eagerly from the window till he disappeared down the carriage drive.	true	1055.9	1064.98	22.119156
176_122025_000064_000001	Then, laughing heartily, he dressed as quickly as possible in the smartest suit he could lay hands on at the moment, filled his pockets with cash which he took from a small drawer in the dressing-table, and next, knotting the sheets from his bed together and tying one end of the improvised rope round the central mullion of the handsome Tudor window which formed such a feature of his bedroom, he scrambled out, slid lightly to the ground, and, taking the opposite direction to the Rat, marched off lightheartedly, whistling a merry tune.	Then, laughing heartily, he dressed as quickly as possible in the smartest suit he could lay hands on at the moment, filled his pockets with cash which he took from a small drawer in the dressing table, and next, knotting the sheets from his bed together and tying one end of the improvised rope round the central mullion of the handsome Tudor window which formed such a feature of his bedroom, he scrambled out, slid lightly to the ground, and, taking the opposite direction to the Rat, marched off lightheartedly, whistling a merry tune.	true	1064.99	1096.15	21.717884
176_122025_000065_000000	It was a gloomy luncheon for Rat when the Badger and the Mole at length returned, and he had to face them at table with his pitiful and unconvincing story.	It was a gloomy luncheon for Rat when the Badger and the Mole at length returned, and he had to face them at table with his pitiful and unconvincing story.	false	1096.76	1106.14	22.484787
176_122025_000065_000001	The Badger's caustic, not to say brutal, remarks may be imagined, and therefore passed over; but it was painful to the Rat that even the Mole, though he took his friend's side as far as possible, could not help saying, 'You've been a bit of a duffer this time, Ratty! Toad, too, of all animals!'	The Badger's caustic, not to say brutal, remarks may be imagined, and therefore passed over; but it was painful to the Rat that even the Mole, though he took his friend's side as far as possible, could not help saying, 'You've been a bit of a duffer this time, Ratty! Toad, too, of all animals!'	false	1106.33	1124.17	23.571733
176_122025_000066_000000	'He did it awfully well,' said the crestfallen Rat.	'He did it awfully well,' said the crestfallen Rat.	true	1124.33	1127.71	24.288244
176_122025_000067_000000	'He did YOU awfully well!' rejoined the Badger hotly.	'He did YOU awfully well!' rejoined the Badger hotly.	true	1127.99	1131.64	19.210327
176_122025_000067_000001	'However, talking won't mend matters.	'However, talking won't mend matters.	true	1131.74	1134.1	23.423605
176_122025_000067_000002	He's got clear away for the time, that's certain; and the worst of it is, he'll be so conceited with what he'll think is his cleverness that he may commit any folly.	He's got clear away for the time, that's certain; and the worst of it is, he'll be so conceited with what he'll think is his cleverness that he may commit any folly.	false	1134.17	1144.65	22.199581
176_122025_000067_000003	One comfort is, we're free now, and needn't waste any more of our precious time doing sentry-go. But we'd better continue to sleep at Toad Hall for a while longer. Toad may be brought back at any moment--on a stretcher, or between two policemen.'	One comfort is, we're free now, and needn't waste any more of our precious time doing sentry go. But we'd better continue to sleep at Toad Hall for a while longer. Toad may be brought back at any moment-on a stretcher, or between two policemen.'	false	1144.65	1160.71	22.182493
176_122025_000068_000000	So spoke the Badger, not knowing what the future held in store, or how much water, and of how turbid a character, was to run under bridges before Toad should sit at ease again in his ancestral Hall.	So spoke the Badger, not knowing what the future held in store, or how much water, and of how turbid a character, was to run under bridges before Toad should sit at ease again in his ancestral Hall.	false	1161.05	1174.09	22.520626
176_122025_000069_000000	Meanwhile, Toad, gay and irresponsible, was walking briskly along the high road, some miles from home.	Meanwhile, Toad, gay and irresponsible, was walking briskly along the high road, some miles from home.	true	1175.21	1182.37	20.998062
176_122025_000069_000001	At first he had taken by-paths, and crossed many fields, and changed his course several times, in case of pursuit; but now, feeling by this time safe from recapture, and the sun smiling brightly on him, and all Nature joining in a chorus of approval to the song of self-praise that his own heart was singing to him, he almost danced along the road in his satisfaction and conceit.	At first he had taken by paths, and crossed many fields, and changed his course several times, in case of pursuit; but now, feeling by this time safe from recapture, and the sun smiling brightly on him, and all Nature joining in a chorus of approval to the song of self praise that his own heart was singing to him, he almost danced along the road in his satisfaction and conceit.	true	1182.44	1206.94	22.761381
176_122025_000070_000000	'Smart piece of work that!' he remarked to himself chuckling.	'Smart piece of work that!' he remarked to himself chuckling.	true	1207.16	1211.26	27.89865
176_122025_000070_000001	'Brain against brute force--and brain came out on the top--as it's bound to do.	'Brain against brute force-and brain came out on the top-as it's bound to do.	true	1211.42	1216.62	23.112453
176_122025_000070_000002	Poor old Ratty!	Poor old Ratty!	false	1216.62	1219.2	21.668991
176_122025_000070_000003	My! won't he catch it when the Badger gets back! A worthy fellow, Ratty, with many good qualities, but very little intelligence and absolutely no education.	My! won't he catch it when the Badger gets back! A worthy fellow, Ratty, with many good qualities, but very little intelligence and absolutely no education.	true	1219.2	1230.58	20.790522
176_122025_000070_000004	I must take him in hand some day, and see if I can make something of him.'	I must take him in hand some day, and see if I can make something of him.'	false	1230.8	1235.86	20.290579
176_122025_000071_000000	Filled full of conceited thoughts such as these he strode along, his head in the air, till he reached a little town, where the sign of 'The Red Lion,' swinging across the road halfway down the main street, reminded him that he had not breakfasted that day, and that he was exceedingly hungry after his long walk.	Filled full of conceited thoughts such as these he strode along, his head in the air, till he reached a little town, where the sign of 'The Red Lion,' swinging across the road halfway down the main street, reminded him that he had not breakfasted that day, and that he was exceedingly hungry after his long walk.	true	1236.35	1254.64	21.085615
176_122025_000071_000001	He marched into the Inn, ordered the best luncheon that could be provided at so short a notice, and sat down to eat it in the coffee-room.	He marched into the Inn, ordered the best luncheon that could be provided at so short a notice, and sat down to eat it in the coffee room.	true	1254.71	1262.89	23.136166
176_122025_000072_000000	He was about half-way through his meal when an only too familiar sound, approaching down the street, made him start and fall a-trembling all over.	He was about half-way through his meal when an only too familiar sound, approaching down the street, made him start and fall a trembling all over.	true	1263.53	1272.31	23
176_122025_000072_000001	The poop-poop! drew nearer and nearer, the car could be heard to turn into the inn-yard and come to a stop, and Toad had to hold on to the leg of the table to conceal his over-mastering emotion.	The poop poop! drew nearer and nearer, the car could be heard to turn into the inn yard and come to a stop, and Toad had to hold on to the leg of the table to conceal his over mastering emotion.	false	1272.38	1283.47	20.43366
176_122025_000072_000002	Presently the party entered the coffee-room, hungry, talkative, and gay, voluble on their experiences of the morning and the merits of the chariot that had brought them along so well.	Presently the party entered the coffee room, hungry, talkative, and gay, voluble on their experiences of the morning and the merits of the chariot that had brought them along so well.	false	1283.81	1293.88	22.083832
176_122025_000072_000003	Toad listened eagerly, all ears, for a time; at last he could stand it no longer.	Toad listened eagerly, all ears, for a time; at last he could stand it no longer.	true	1294.16	1299.61	20.437689
176_122025_000072_000004	He slipped out of the room quietly, paid his bill at the bar, and as soon as he got outside sauntered round quietly to the inn-yard. 'There cannot be any harm,' he said to himself, 'in my only just LOOKING at it!'	He slipped out of the room quietly, paid his bill at the bar, and as soon as he got outside sauntered round quietly to the inn yard. 'There cannot be any harm,' he said to himself, 'in my only just LOOKING at it!'	false	1300.01	1314.19	22.635225
176_122025_000073_000000	The car stood in the middle of the yard, quite unattended, the stable-helps and other hangers-on being all at their dinner.	The car stood in the middle of the yard, quite unattended, the stable helps and other hangers on being all at their dinner.	true	1314.71	1321.78	22.939297
176_122025_000073_000001	Toad walked slowly round it, inspecting, criticising, musing deeply.	Toad walked slowly round it, inspecting, criticising, musing deeply.	true	1321.97	1327.72	22.607157
176_122025_000074_000000	'I wonder,' he said to himself presently, 'I wonder if this sort of car STARTS easily?'	'I wonder,' he said to himself presently, 'I wonder if this sort of car STARTS easily?'	true	1328.12	1335.28	20.797483
176_122025_000075_000000	Next moment, hardly knowing how it came about, he found he had hold of the handle and was turning it.	Next moment, hardly knowing how it came about, he found he had hold of the handle and was turning it.	true	1335.44	1341.37	22.386251
176_122025_000075_000001	As the familiar sound broke forth, the old passion seized on Toad and completely mastered him, body and soul. As if in a dream he found himself, somehow, seated in the driver's seat; as if in a dream, he pulled the lever and swung the car round the yard and out through the archway; and, as if in a dream, all sense of right and wrong, all fear of obvious consequences, seemed temporarily suspended.	As the familiar sound broke forth, the old passion seized on Toad and completely mastered him, body and soul. As if in a dream he found himself, somehow, seated in the driver's seat; as if in a dream, he pulled the lever and swung the car round the yard and out through the archway; and, as if in a dream, all sense of right and wrong, all fear of obvious consequences, seemed temporarily suspended.	true	1341.44	1369.33	21.55041
176_122025_000075_000002	He increased his pace, and as the car devoured the street and leapt forth on the high road through the open country, he was only conscious that he was Toad once more, Toad at his best and highest, Toad the terror, the traffic-queller, the Lord of the lone trail, before whom all must give way or be smitten into nothingness and everlasting night. He chanted as he flew, and the car responded with sonorous drone; the miles were eaten up under him as he sped he knew not whither, fulfilling his instincts, living his hour, reckless of what might come to him.	He increased his pace, and as the car devoured the street and leapt forth on the high road through the open country, he was only conscious that he was Toad once more, Toad at his best and highest, Toad the terror, the traffic queller, the Lord of the lone trail, before whom all must give way or be smitten into nothingness and everlasting night. He chanted as he flew, and the car responded with sonorous drone; the miles were eaten up under him as he sped he knew not whither, fulfilling his instincts, living his hour, reckless of what might come to him.	false	1369.4	1406.49	23.928381
176_122025_000076_000000	'To my mind,' observed the Chairman of the Bench of Magistrates cheerfully, 'the ONLY difficulty that presents itself in this otherwise very clear case is, how we can possibly make it sufficiently hot for the incorrigible rogue and hardened ruffian whom we see cowering in the dock before us.	'To my mind,' observed the Chairman of the Bench of Magistrates cheerfully, 'the ONLY difficulty that presents itself in this otherwise very clear case is, how we can possibly make it sufficiently hot for the incorrigible rogue and hardened ruffian whom we see cowering in the dock before us.	false	1406.49	1426.3	21.839912
176_122025_000076_000001	Let me see: he has been found guilty, on the clearest evidence, first, of stealing a valuable motor-car; secondly, of driving to the public danger; and, thirdly, of gross impertinence to the rural police.	Let me see: he has been found guilty, on the clearest evidence, first, of stealing a valuable motor car; secondly, of driving to the public danger; and, thirdly, of gross impertinence to the rural police.	true	1426.85	1442.98	22.45193
176_122025_000076_000002	Mr. Clerk, will you tell us, please, what is the very stiffest penalty we can impose for each of these offences?	mr Clerk, will you tell us, please, what is the very stiffest penalty we can impose for each of these offences?	true	1443.26	1450.66	20
176_122025_000076_000003	Without, of course, giving the prisoner the benefit of any doubt, because there isn't any.'	Without, of course, giving the prisoner the benefit of any doubt, because there isn't any.'	true	1450.94	1457.62	21.217617
176_122025_000077_000000	The Clerk scratched his nose with his pen.	The Clerk scratched his nose with his pen.	true	1458.05	1460.5	26.406866
176_122025_000077_000001	'Some people would consider,' he observed, 'that stealing the motor-car was the worst offence; and so it is.	'Some people would consider,' he observed, 'that stealing the motor car was the worst offence; and so it is.	true	1460.66	1467.61	23.049366
176_122025_000077_000002	But cheeking the police undoubtedly carries the severest penalty; and so it ought.	But cheeking the police undoubtedly carries the severest penalty; and so it ought.	true	1467.89	1472.92	22.779842
176_122025_000077_000003	Supposing you were to say twelve months for the theft, which is mild; and three years for the furious driving, which is lenient; and fifteen years for the cheek, which was pretty bad sort of cheek, judging by what we've heard from the witness-box, even if you only believe one-tenth part of what you heard, and I never believe more myself--those figures, if added together correctly, tot up to nineteen years----'	Supposing you were to say twelve months for the theft, which is mild; and three years for the furious driving, which is lenient; and fifteen years for the cheek, which was pretty bad sort of cheek, judging by what we've heard from the witness box, even if you only believe one tenth part of what you heard, and I never believe more myself-those figures, if added together correctly, tot up to nineteen years----'	false	1473.14	1499.77	22.839254
176_122025_000078_000000	'First-rate!' said the Chairman.	'First rate!' said the Chairman.	true	1499.99	1502.17	27.91319
176_122025_000079_000000	'--So you had better make it a round twenty years and be on the safe side,' concluded the Clerk.	'--So you had better make it a round twenty years and be on the safe side,' concluded the Clerk.	false	1502.39	1507.39	21.92837
176_122025_000080_000000	'An excellent suggestion!' said the Chairman approvingly.	'An excellent suggestion!' said the Chairman approvingly.	true	1507.39	1510.62	19.216335
176_122025_000080_000001	'Prisoner! Pull yourself together and try and stand up straight.	'Prisoner! Pull yourself together and try and stand up straight.	false	1510.62	1514.73	22.19368
176_122025_000080_000002	It's going to be twenty years for you this time.	It's going to be twenty years for you this time.	true	1514.73	1517.59	20
176_122025_000080_000003	And mind, if you appear before us again, upon any charge whatever, we shall have to deal with you very seriously!'	And mind, if you appear before us again, upon any charge whatever, we shall have to deal with you very seriously!'	true	1517.69	1524.97	20.061646
176_122025_000081_000000	Then the brutal minions of the law fell upon the hapless Toad; loaded him with chains, and dragged him from the Court House, shrieking, praying, protesting; across the marketplace, where the playful populace, always as severe upon detected crime as they are sympathetic and helpful when one is merely 'wanted,' assailed him with jeers, carrots, and popular catch-words; past hooting school children, their innocent faces lit up with the pleasure they ever derive from the sight of a gentleman in difficulties; across the hollow-sounding drawbridge, below the spiky portcullis, under the frowning archway of the grim old castle, whose ancient towers soared high overhead; past guardrooms full of grinning soldiery off duty, past sentries who coughed in a horrid, sarcastic way, because that is as much as a sentry on his post dare do to show his contempt and abhorrence of crime; up time-worn winding stairs, past men-at-arms in casquet and corselet of steel, darting threatening looks through their vizards; across courtyards, where mastiffs strained at their leash and pawed the air to get at him; past ancient warders, their halberds leant against the wall, dozing over a pasty and a flagon of brown ale; on and on, past the rack-chamber and the thumbscrew-room, past the turning that led to the private scaffold, till they reached the door of the grimmest dungeon that lay in the heart of the innermost keep.	Then the brutal minions of the law fell upon the hapless Toad; loaded him with chains, and dragged him from the Court House, shrieking, praying, protesting; across the marketplace, where the playful populace, always as severe upon detected crime as they are sympathetic and helpful when one is merely 'wanted,' assailed him with jeers, carrots, and popular catch words; past hooting school children, their innocent faces lit up with the pleasure they ever derive from the sight of a gentleman in difficulties; across the hollow sounding drawbridge, below the spiky portcullis, under the frowning archway of the grim old castle, whose ancient towers soared high overhead; past guardrooms full of grinning soldiery off duty, past sentries who coughed in a horrid, sarcastic way, because that is as much as a sentry on his post dare do to show his contempt and abhorrence of crime; up time worn winding stairs, past men at arms in casquet and corselet of steel, darting threatening looks through their vizards; across courtyards, where mastiffs strained at their leash and pawed the air to get at him; past ancient warders, their halberds leant against the wall, dozing over a pasty and a flagon of brown ale; on and on, past the rack chamber and the thumbscrew room, past the turning that led to the private scaffold, till they reached the door of the grimmest dungeon that lay in the heart of the innermost keep.	true	1525.61	1616.2	22.506546
176_122025_000081_000001	There at last they paused, where an ancient gaoler sat fingering a bunch of mighty keys.	There at last they paused, where an ancient gaoler sat fingering a bunch of mighty keys.	true	1616.24	1622.53	20.979515
176_122025_000082_000000	'Oddsbodikins!' said the sergeant of police, taking off his helmet and wiping his forehead.	'Oddsbodikins!' said the sergeant of police, taking off his helmet and wiping his forehead.	true	1623.05	1628.26	23.536531
176_122025_000082_000001	'Rouse thee, old loon, and take over from us this vile Toad, a criminal of deepest guilt and matchless artfulness and resource.	'Rouse thee, old loon, and take over from us this vile Toad, a criminal of deepest guilt and matchless artfulness and resource.	false	1628.39	1637.29	21
176_122025_000082_000002	Watch and ward him with all thy skill; and mark thee well, greybeard, should aught untoward befall, thy old head shall answer for his--and a murrain on both of them!'	Watch and ward him with all thy skill; and mark thee well, greybeard, should aught untoward befall, thy old head shall answer for his-and a murrain on both of them!'	false	1637.36	1648.5	19.631153
176_122025_000083_000000	The gaoler nodded grimly, laying his withered hand on the shoulder of the miserable Toad.	The gaoler nodded grimly, laying his withered hand on the shoulder of the miserable Toad.	false	1648.5	1654.09	17.839136
176_122025_000083_000001	The rusty key creaked in the lock, the great door clanged behind them; and Toad was a helpless prisoner in the remotest dungeon of the best-guarded keep of the stoutest castle in all the length and breadth of Merry England.	The rusty key creaked in the lock, the great door clanged behind them; and Toad was a helpless prisoner in the remotest dungeon of the best guarded keep of the stoutest castle in all the length and breadth of Merry England.	false	1654.16	1674.84	22.975286
