6918_61317_000000_000000	CHAPTER III.	CHAPTER three.	false	0	0.21	-20
6918_61317_000038_000000	In addition to water and atmospheric deities Babylonia had also its fire gods, Girru, Gish Bar, Gibil, and Nusku.	In addition to water and atmospheric deities Babylonia had also its fire gods, Girru, Gish Bar, Gibil, and Nusku.	false	1094.72	1104.16	23.172503
6918_61317_000038_000001	Their origin is obscure. It is doubtful if their worshippers, like those of the Indian Agni, believed that fire, the "vital spark", was the principle of life which was manifested by bodily heat.	Their origin is obscure. It is doubtful if their worshippers, like those of the Indian Agni, believed that fire, the "vital spark", was the principle of life which was manifested by bodily heat.	true	1104.86	1117.9	21.955925
6918_61317_000038_000002	The Aryan fire worshippers cremated their dead so that the spirits might be transferred by fire to Paradise.	The Aryan fire worshippers cremated their dead so that the spirits might be transferred by fire to Paradise.	false	1119.11	1125.52	19
6918_61317_000038_000003	This practice, however, did not obtain among the fire worshippers of Persia, nor, as was once believed, in Sumer or Akkad either.	This practice, however, did not obtain among the fire worshippers of Persia, nor, as was once believed, in Sumer or Akkad either.	true	1126.22	1135.24	22
6918_61317_000038_000004	Fire was, however, used in Babylonia for magical purposes.	Fire was, however, used in Babylonia for magical purposes.	true	1135.94	1140.07	19.042755
6918_61317_000038_000005	It destroyed demons, and put to flight the spirits of disease.	It destroyed demons, and put to flight the spirits of disease.	true	1140.53	1144.06	21
6918_61317_000038_000006	Possibly the fire-purification ceremonies resembled those which were practised by the Canaanites, and are referred to in the Bible.	Possibly the fire purification ceremonies resembled those which were practised by the Canaanites, and are referred to in the Bible.	true	1144.94	1152.37	19
6918_61317_000038_000007	Ahaz "made his son to pass through the fire, according to the abominations of the heathen".[61] Ezekiel declared that "when ye offer your gifts, when ye make your sons to pass through the fire, ye pollute yourselves with all your idols".[62] In _Leviticus_ it is laid down: "Thou shalt not let any of thy seed pass through the fire to Moloch".[63] It may be that in Babylonia the fire-cleansing ceremony resembled that which obtained at Beltane (May Day) in Scotland, Germany, and other countries.	Ahaz "made his son to pass through the fire, according to the abominations of the heathen".[sixty one] ezekiel declared that "when ye offer your gifts, when ye make your sons to pass through the fire, ye pollute yourselves with all your idols".[sixty two] In underscore leviticus underscore it is laid down: "Thou shalt not let any of thy seed pass through the fire to Moloch".[sixty three] It may be that in Babylonia the fire cleansing ceremony resembled that which obtained at Beltane (May Day) in Scotland, Germany, and other countries.	false	1153.49	1195.3	22.819567
6918_61317_000038_000008	Human sacrifices might also have been offered up as burnt offerings.	Human sacrifices might also have been offered up as burnt offerings.	true	1195.7	1199.68	23.54407
6918_61317_000038_000009	Abraham, who came from the Sumerian city of Ur, was prepared to sacrifice Isaac, Sarah's first-born.	Abraham, who came from the Sumerian city of Ur, was prepared to sacrifice Isaac, Sarah's first born.	true	1200.14	1207.39	22.177258
6918_61317_000038_000010	The fire gods of Babylonia never achieved the ascendancy of the Indian Agni; they appear to have resembled him mainly in so far as he was connected with the sun.	The fire gods of Babylonia never achieved the ascendancy of the Indian Agni; they appear to have resembled him mainly in so far as he was connected with the sun	true	1208.03	1218.61	20.283136
6918_61317_000038_000011	Nusku, like Agni, was also the "messenger of the gods".	Nusku, like Agni, was also the "messenger of the gods".	true	1219.25	1224.25	24.934845
6918_61317_000038_000012	When Merodach or Babylon was exalted as chief god of the pantheon his messages were carried to Ea by Nusku.	When Merodach or Babylon was exalted as chief god of the pantheon his messages were carried to Ea by Nusku.	true	1224.92	1233.25	20
6918_61317_000038_000013	He may have therefore symbolized the sun rays, for Merodach had solar attributes.	He may have therefore symbolized the sun rays, for Merodach had solar attributes.	true	1233.98	1239.61	21.440796
6918_61317_000038_000014	It is possible that the belief obtained among even the water worshippers of Eridu that the sun and moon, which rose from the primordial deep, had their origin in the everlasting fire in Ea's domain at the bottom of the sea.	It is possible that the belief obtained among even the water worshippers of Eridu that the sun and moon, which rose from the primordial deep, had their origin in the everlasting fire in Ea's domain at the bottom of the sea.	true	1240.79	1254.94	20
6918_61317_000038_000015	In the Indian god Varuna's ocean home an "Asura fire" (demon fire) burned constantly; it was "bound and confined", but could not be extinguished.	In the Indian god Varuna's ocean home an "Asura fire" (demon fire) burned constantly; it was "bound and confined", but could not be extinguished.	true	1255.61	1267.36	21.77465
6918_61317_000038_000016	Fed by water, this fire, it was believed, would burst forth at the last day and consume the universe.[64] A similar belief can be traced in Teutonic mythology.	Fed by water, this fire, it was believed, would burst forth at the last day and consume the universe.[sixty four] A similar belief can be traced in Teutonic mythology.	false	1267.55	1278.82	20.572847
6918_61317_000038_000017	The Babylonian incantation cult appealed to many gods, but "the most important share in the rites", says Jastrow, "are taken by fire and water--suggesting, therefore, that the god of water--more particularly Ea--and the god of fire ... are the chief deities on which the ritual itself hinges".	The Babylonian incantation cult appealed to many gods, but "the most important share in the rites", says Jastrow, "are taken by fire and water-suggesting, therefore, that the god of water-more particularly Ea-and the god of fire ... are the chief deities on which the ritual itself hinges".	false	1279.16	1302.84	24.381943
6918_61317_000038_000018	In some temples there was a _bit rimki_, a "house of washing", and a _bit nuri_, a "house of light".[65]	In some temples there was a underscore bit rimki underscore, a "house of washing", and a underscore bit nuri underscore, a "house of light".[sixty five]	false	1302.84	1312.77	20.86612
6918_61317_000039_000000	It is possible, of course, that fire was regarded as the vital principle by some city cults, which were influenced by imported ideas. If so, the belief never became prevalent.	It is possible, of course, that fire was regarded as the vital principle by some city cults, which were influenced by imported ideas. If so, the belief never became prevalent.	true	1312.77	1323.46	22.943192
6918_61317_000039_000001	The most enduring influence in Babylonian religion was the early Sumerian; and as Sumerian modes of thought were the outcome of habits of life necessitated by the character of the country, they were bound, sooner or later, to leave a deep impress on the minds of foreign peoples who settled in the Garden of Western Asia.	The most enduring influence in Babylonian religion was the early Sumerian; and as Sumerian modes of thought were the outcome of habits of life necessitated by the character of the country, they were bound, sooner or later, to leave a deep impress on the minds of foreign peoples who settled in the Garden of Western Asia.	true	1323.92	1342.12	19.43888
6918_61317_000039_000002	It is not surprising, therefore, to find that imported deities assumed Babylonian characteristics, and were identified or associated with Babylonian gods in the later imperial pantheon.	It is not surprising, therefore, to find that imported deities assumed Babylonian characteristics, and were identified or associated with Babylonian gods in the later imperial pantheon.	true	1342.94	1353.61	17
6918_61317_000040_000000	Moon worship appears to have been as ancient as water worship, with which, as we have seen, it was closely associated.	Moon worship appears to have been as ancient as water worship, with which, as we have seen, it was closely associated.	true	1354.97	1362.16	22.76321
6918_61317_000040_000001	It was widely prevalent throughout Babylonia.	It was widely prevalent throughout Babylonia.	true	1362.62	1365.01	23.734394
6918_61317_000040_000002	The chief seat of the lunar deity, Nannar or Sin, was the ancient city of Ur, from which Abraham migrated to Harran, where the "Baal" (the lord) was also a moon god.	The chief seat of the lunar deity, Nannar or Sin, was the ancient city of Ur, from which Abraham migrated to Harran, where the "Baal" (the lord) was also a moon god.	true	1365.41	1378.15	22.686438
6918_61317_000040_000003	Ur was situated in Sumer, in the south, between the west bank of the Euphrates and the low hills bordering the Arabian desert, and not far distant from sea-washed Eridu.	Ur was situated in Sumer, in the south, between the west bank of the Euphrates and the low hills bordering the Arabian desert, and not far distant from sea washed Eridu.	false	1379.15	1390.03	21.022705
6918_61317_000040_000004	No doubt, like that city, it had its origin at an exceedingly remote period.	No doubt, like that city, it had its origin at an exceedingly remote period.	true	1390.55	1395.52	25.131578
6918_61317_000040_000005	At any rate, the excavations conducted there have afforded proof that it flourished in the prehistoric period.	At any rate, the excavations conducted there have afforded proof that it flourished in the prehistoric period.	true	1395.68	1401.91	25.06423
6918_61317_000041_000000	As in Arabia, Egypt, and throughout ancient Europe and elsewhere, the moon god of Sumeria was regarded as the "friend of man".	As in Arabia, Egypt, and throughout ancient Europe and elsewhere, the moon god of Sumeria was regarded as the "friend of man".	true	1403.12	1411.27	21.676897
6918_61317_000041_000001	He controlled nature as a fertilizing agency; he caused grass, trees, and crops to grow; he increased flocks and herds, and gave human offspring.	He controlled nature as a fertilizing agency; he caused grass, trees, and crops to grow; he increased flocks and herds, and gave human offspring.	true	1411.91	1421.83	20.888317
6918_61317_000041_000002	At Ur he was exalted above Ea as "the lord and prince of the gods, supreme in heaven, the Father of all"; he was also called "great Anu", an indication that Anu, the sky god, had at one time a lunar character. The moon god was believed to be the father of the sun god: he was the "great steer with mighty horns and perfect limbs".	At Ur he was exalted above Ea as "the lord and prince of the gods, supreme in heaven, the Father of all"; he was also called "great Anu", an indication that Anu, the sky god, had at one time a lunar character. The moon god was believed to be the father of the sun god: he was the "great steer with mighty horns and perfect limbs".	false	1422.14	1452.3	22.980322
6918_61317_000042_000000	His name Sin is believed to be a corruption of "Zu-ena", which signifies "knowledge lord".[66] Like the lunar Osiris of Egypt, he was apparently an instructor of mankind; the moon measured time and controlled the seasons; seeds were sown at a certain phase of the moon, and crops were ripened by the harvest moon.	His name Sin is believed to be a corruption of "Zu ena", which signifies "knowledge lord".[sixty six] Like the lunar Osiris of Egypt, he was apparently an instructor of mankind; the moon measured time and controlled the seasons; seeds were sown at a certain phase of the moon, and crops were ripened by the harvest moon.	false	1452.3	1474.03	20.604895
6918_61317_000042_000001	The mountains of Sinai and the desert of Sin are called after this deity.	The mountains of Sinai and the desert of Sin are called after this deity.	true	1474.13	1478.89	20.324457
6918_61317_000043_000000	As Nannar, which Jastrow considers to be a variation of "Narnar", the "light producer", the moon god scattered darkness and reduced the terrors of night.	As Nannar, which Jastrow considers to be a variation of "Narnar", the "light producer", the moon god scattered darkness and reduced the terrors of night.	true	1480.19	1490.92	21.687885
6918_61317_000043_000001	His spirit inhabited the lunar stone, so that moon and stone worship were closely associated; it also entered trees and crops, so that moon worship linked with earth worship, as both linked with water worship.	His spirit inhabited the lunar stone, so that moon and stone worship were closely associated; it also entered trees and crops, so that moon worship linked with earth worship, as both linked with water worship.	true	1491.26	1504.9	20.960453
6918_61317_000044_000000	The consort of Nannar was Nin-Uruwa, "the lady of Ur", who was also called Nin-gala.	The consort of Nannar was Nin Uruwa, "the lady of Ur", who was also called Nin gala.	false	1505.57	1513.06	22.281416
6918_61317_000044_000001	She links with Ishtar as Nin, as Isis of Egypt linked with other mother deities.	She links with Ishtar as Nin, as Isis of Egypt linked with other mother deities.	true	1513.55	1519.21	24
6918_61317_000044_000002	The twin children of the moon were Mashu and Mashtu, a brother and sister, like the lunar girl and boy of Teutonic mythology immortalized in nursery rhymes as Jack and Jill.	The twin children of the moon were Mashu and Mashtu, a brother and sister, like the lunar girl and boy of Teutonic mythology immortalized in nursery rhymes as Jack and Jill.	true	1519.55	1531.87	21.763107
6918_61317_000045_000000	Sun worship was of great antiquity in Babylonia, but appears to have been seasonal in its earliest phases.	Sun worship was of great antiquity in Babylonia, but appears to have been seasonal in its earliest phases.	true	1533.2	1540.33	22.493147
6918_61317_000045_000001	No doubt the sky god Anu had his solar as well as his lunar attributes, which he shared with Ea.	No doubt the sky god Anu had his solar as well as his lunar attributes, which he shared with Ea.	true	1541.03	1546.78	18
6918_61317_000045_000002	The spring sun was personified as Tammuz, the youthful shepherd, who was loved by the earth goddess Ishtar and her rival Eresh-ki-gal, goddess of death, the Babylonian Persephone.	The spring sun was personified as Tammuz, the youthful shepherd, who was loved by the earth goddess Ishtar and her rival Eresh ki gal, goddess of death, the Babylonian Persephone.	true	1547.27	1559.56	23.524565
6918_61317_000045_000003	During the winter Tammuz dwelt in Hades, and at the beginning of spring Ishtar descended to search for him among the shades.[67] But the burning summer sun was symbolized as a destroyer, a slayer of men, and therefore a war god.	During the winter Tammuz dwelt in Hades, and at the beginning of spring Ishtar descended to search for him among the shades.[sixty seven] But the burning summer sun was symbolized as a destroyer, a slayer of men, and therefore a war god.	false	1560.41	1575.61	21.75147
6918_61317_000045_000004	As Ninip or Nirig, the son of Enlil, who was made in the likeness of Anu, he waged war against the earth spirits, and was furiously hostile towards the deities of alien peoples, as befitted a god of battle.	As Ninip or Nirig, the son of Enlil, who was made in the likeness of Anu, he waged war against the earth spirits, and was furiously hostile towards the deities of alien peoples, as befitted a god of battle.	false	1576.91	1590.22	22.249214
6918_61317_000045_000005	Even his father feared him, and when he was advancing towards Nippur, sent out Nusku, messenger of the gods, to soothe the raging deity with soft words. Ninip was symbolized as a wild bull, was connected with stone worship, like the Indian destroying god Shiva, and was similarly a deity of Fate.	Even his father feared him, and when he was advancing towards Nippur, sent out Nusku, messenger of the gods, to soothe the raging deity with soft words. Ninip was symbolized as a wild bull, was connected with stone worship, like the Indian destroying god Shiva, and was similarly a deity of Fate.	false	1590.32	1610.95	21.72201
6918_61317_000045_000006	He had much in common with Nin-Girsu, a god of Lagash, who was in turn regarded as a form of Tammuz.	He had much in common with Nin Girsu, a god of Lagash, who was in turn regarded as a form of Tammuz.	true	1611.65	1618.53	22.66383
6918_61317_000046_000000	Nergal, another solar deity, brought disease and pestilence, and, according to Jensen, all misfortunes due to excessive heat.	Nergal, another solar deity, brought disease and pestilence, and, according to Jensen, all misfortunes due to excessive heat.	false	1618.53	1629.25	19.522638
6918_61317_000046_000001	He was the king of death, husband of Eresh-ki-gal, queen of Hades.	He was the king of death, husband of Eresh ki gal, queen of Hades.	true	1629.77	1635.25	23.122438
6918_61317_000046_000002	As a war god he thirsted for human blood, and was depicted as a mighty lion.	As a war god he thirsted for human blood, and was depicted as a mighty lion.	true	1635.89	1640.59	17
6918_61317_000046_000003	He was the chief deity of the city of Cuthah, which, Jastrow suggests, was situated beside a burial place of great repute, like the Egyptian Abydos.	He was the chief deity of the city of Cuthah, which, Jastrow suggests, was situated beside a burial place of great repute, like the Egyptian Abydos.	true	1641.05	1651.57	22.074453
6918_61317_000047_000000	The two great cities of the sun in ancient Babylonia were the Akkadian Sippar and the Sumerian Larsa.	The two great cities of the sun in ancient Babylonia were the Akkadian Sippar and the Sumerian Larsa.	false	1652.96	1660.27	17
6918_61317_000047_000001	In these the sun god, Shamash or Babbar, was the patron deity.	In these the sun god, Shamash or Babbar, was the patron deity.	false	1660.61	1665.16	18.076586
6918_61317_000047_000002	He was a god of Destiny, the lord of the living and the dead, and was exalted as the great Judge, the lawgiver, who upheld justice; he was the enemy of wrong, he loved righteousness and hated sin, he inspired his worshippers with rectitude and punished evildoers.	He was a god of Destiny, the lord of the living and the dead, and was exalted as the great Judge, the lawgiver, who upheld justice; he was the enemy of wrong, he loved righteousness and hated sin, he inspired his worshippers with rectitude and punished evildoers.	true	1665.71	1683.94	21.33494
6918_61317_000047_000003	The sun god also illumined the world, and his rays penetrated every quarter: he saw all things, and read the thoughts of men; nothing could be concealed from Shamash.	The sun god also illumined the world, and his rays penetrated every quarter: he saw all things, and read the thoughts of men; nothing could be concealed from Shamash.	true	1684.91	1695.94	21.866636
6918_61317_000047_000004	One of his names was Mitra, like the god who was linked with Varuna in the Indian _Rigveda_.	One of his names was Mitra, like the god who was linked with Varuna in the Indian underscore Rigveda underscore.	false	1696.82	1703.04	21.52071
6918_61317_000047_000005	These twin deities, Mitra and Varuna, measured out the span of human life.	These twin deities, Mitra and Varuna, measured out the span of human life.	true	1703.04	1708.87	23.22295
6918_61317_000047_000006	They were the source of all heavenly gifts: they regulated sun and moon, the winds and waters, and the seasons.[68]	They were the source of all heavenly gifts: they regulated sun and moon, the winds and waters, and the seasons.[sixty eight]	false	1708.97	1718.13	21.934204
6918_61317_000048_000000	These did the gods establish in royal power over themselves, because they were wise and the children of wisdom, and because they excelled in power.--_Prof.	These did the gods establish in royal power over themselves, because they were wise and the children of wisdom, and because they excelled in power.--underscore prof	false	1718.13	1729.56	20.494968
6918_61317_000048_000001	Arnold's trans. of Rigvedic Hymn_.	Arnold's trans. of Rigvedic Hymn underscore.	false	1729.56	1733.91	23.626234
6918_61317_000049_000000	Mitra and Varuna were protectors of hearth and home, and they chastised sinners.	Mitra and Varuna were protectors of hearth and home, and they chastised sinners.	false	1733.91	1740.96	22.255798
6918_61317_000049_000001	"In a striking passage of the _Mahabharata_" says Professor Moulton, "one in which Indian thought comes nearest to the conception of conscience, a kingly wrongdoer is reminded that the sun sees secret sin."[69]	"In a striking passage of the underscore Mahabharata underscore" says Professor Moulton, "one in which Indian thought comes nearest to the conception of conscience, a kingly wrongdoer is reminded that the sun sees secret sin."[sixty nine]	false	1740.96	1760.01	20.781624
6918_61317_000050_000000	In Persian mythology Mitra, as Mithra, is the patron of Truth, and "the Mediator" between heaven and earth[70].	In Persian mythology Mitra, as Mithra, is the patron of Truth, and "the Mediator" between heaven and earth[seventy].	false	1760.01	1768.44	22.867416
6918_61317_000050_000001	This god was also worshipped by the military aristocracy of Mitanni, which held sway for a period over Assyria.	This god was also worshipped by the military aristocracy of Mitanni, which held sway for a period over Assyria.	true	1768.44	1776.04	22
6918_61317_000050_000002	In Roman times the worship of Mithra spread into Europe from Persia.	In Roman times the worship of Mithra spread into Europe from Persia.	true	1776.56	1780.81	22
6918_61317_000050_000003	Mithraic sculptures depict the deity as a corn god slaying the harvest bull; on one of the monuments "cornstalks instead of blood are seen issuing from the wound inflicted with the knife[71]".	Mithraic sculptures depict the deity as a corn god slaying the harvest bull; on one of the monuments "cornstalks instead of blood are seen issuing from the wound inflicted with the knife[seventy one]".	false	1781.33	1796.34	20.950386
6918_61317_000050_000004	The Assyrian word "metru" signifies rain.[70] As a sky god Mitra may have been associated, like Varuna, with the waters above the firmament.	The Assyrian word "metru" signifies rain.[seventy] As a sky god Mitra may have been associated, like Varuna, with the waters above the firmament.	false	1796.34	1807.51	23.867773
6918_61317_000050_000005	Rain would therefore be gifted by him as a fertilizing deity.	Rain would therefore be gifted by him as a fertilizing deity.	true	1807.97	1811.98	21.268538
6918_61317_000050_000006	In the Babylonian Flood legend it is the sun god Shamash who "appointed the time" when the heavens were to "rain destruction" in the night, and commanded Pir-napishtim, "Enter into the midst of thy ship and shut thy door".	In the Babylonian Flood legend it is the sun god Shamash who "appointed the time" when the heavens were to "rain destruction" in the night, and commanded p i r napishtim, "Enter into the midst of thy ship and shut thy door".	false	1812.68	1829.88	23.766228
6918_61317_000050_000007	The solar deity thus appears as a form of Anu, god of the sky and upper atmosphere, who controls the seasons and the various forces of nature.	The solar deity thus appears as a form of Anu, god of the sky and upper atmosphere, who controls the seasons and the various forces of nature.	true	1829.88	1838.89	21.086245
6918_61317_000050_000008	Other rival chiefs of city pantheons, whether lunar, atmospheric, earth, or water deities, were similarly regarded as the supreme deities who ruled the Universe, and decreed when man should receive benefits or suffer from their acts of vengeance.	Other rival chiefs of city pantheons, whether lunar, atmospheric, earth, or water deities, were similarly regarded as the supreme deities who ruled the Universe, and decreed when man should receive benefits or suffer from their acts of vengeance.	true	1839.71	1855.9	22.007463
6918_61317_000051_000000	It is possible that the close resemblances between Mithra and Mitra of the Aryan-speaking peoples of India and the Iranian plateau, and the sun god of the Babylonians--the Semitic Shamash, the Sumerian Utu--were due to early contact and cultural influence through the medium of Elam.	It is possible that the close resemblances between Mithra and Mitra of the Aryan speaking peoples of India and the Iranian plateau, and the sun god of the Babylonians-the Semitic Shamash, the Sumerian u t u-were due to early contact and cultural influence through the medium of Elam.	false	1857.47	1876.33	24
6918_61317_000051_000001	As a solar and corn god, the Persian Mithra links with Tammuz, as a sky and atmospheric deity with Anu, and as a god of truth, righteousness, and law with Shamash.	As a solar and corn god, the Persian Mithra links with Tammuz, as a sky and atmospheric deity with Anu, and as a god of truth, righteousness, and law with Shamash.	false	1877.15	1889.86	23.216347
6918_61317_000051_000002	We seem to trace in the sublime Vedic hymns addressed by the Indian Aryans to Mitra and Varuna the impress of Babylonian religious thought:	We seem to trace in the sublime Vedic hymns addressed by the Indian Aryans to Mitra and Varuna the impress of Babylonian religious thought:	false	1890.53	1902.21	22.25473
6918_61317_000052_000000	Whate'er exists within this earth, and all within the sky, Yea, all that is beyond, King Varuna perceives....	Whate'er exists within this earth, and all within the sky, Yea, all that is beyond, King Varuna perceives....	false	1902.21	1911.06	21.502886
6918_61317_000053_000000	_Rigveda_, iv, 16.[72]	underscore Rigveda underscore, i v, sixteen.[seventy two]	false	1911.06	1917.84	23.79794
6918_61317_000054_000000	O Varuna, whatever the offence may be That we as men commit against the heavenly folk, When through our want of thought we violate thy laws, Chastise us not, O god, for that iniquity.	O Varuna, whatever the offence may be That we as men commit against the heavenly folk, When through our want of thought we violate thy laws, Chastise us not, O god, for that iniquity.	true	1917.84	1929.99	21.856728
6918_61317_000055_000000	_Rigveda_, vii, 89.[73]	underscore Rigveda underscore, vii, eighty nine.[seventy three]	false	1929.99	1936.74	24.32921
6918_61317_000056_000000	Shamash was similarly exalted in Babylonian hymns:	Shamash was similarly exalted in Babylonian hymns:	false	1936.74	1942.14	21.530186
6918_61317_000057_000000	The progeny of those who deal unjustly will not prosper. What their mouth utters in thy presence Thou wilt destroy, what issues from their mouth thou wilt dissipate. Thou knowest their transgressions, the plan of the wicked thou rejectest. All, whoever they be, are in thy care.... He who takes no bribe, who cares for the oppressed, Is favoured by Shamash,--his life shall be prolonged.[74]	The progeny of those who deal unjustly will not prosper. What their mouth utters in thy presence Thou wilt destroy, what issues from their mouth thou wilt dissipate. Thou knowest their transgressions, the plan of the wicked thou rejectest. All, whoever they be, are in thy care.... He who takes no bribe, who cares for the oppressed, Is favoured by Shamash,--his life shall be prolonged.[seventy four]	false	1942.14	1967.79	22.20215
6918_61317_000058_000000	The worshippers of Varuna and Mitra in the Punjab did not cremate their dead like those who exalted the rival fire god Agni.	The worshippers of Varuna and Mitra in the Punjab did not cremate their dead like those who exalted the rival fire god Agni.	true	1967.79	1975.51	17
6918_61317_000058_000001	The grave was the "house of clay", as in Babylonia.	The grave was the "house of clay", as in Babylonia.	true	1976.12	1980.16	21.161512
6918_61317_000058_000002	Mitra, who was identical with Yama, ruled over departed souls in the "Land of the Pitris" (Fathers), which was reached by crossing the mountains and the rushing stream of death.[75] As we have seen, the Babylonian solar god Nergal was also the lord of the dead.	Mitra, who was identical with Yama, ruled over departed souls in the "Land of the Pitris" (Fathers), which was reached by crossing the mountains and the rushing stream of death.[seventy five] As we have seen, the Babylonian solar god Nergal was also the lord of the dead.	false	1980.92	1999.6	22.314587
6918_61317_000059_000000	As Ma-banda-anna, "the boat of the sky", Shamash links with the Egyptian sun god Ra, whose barque sailed over the heavens by day and through the underworld of darkness and death during the night.	As Ma banda anna, "the boat of the sky", Shamash links with the Egyptian sun god Ra, whose barque sailed over the heavens by day and through the underworld of darkness and death during the night.	true	2000.9	2014.63	20.547638
6918_61317_000059_000001	The consort of Shamash was Aa, and his attendants were Kittu and Mesharu, "Truth" and "Righteousness".	The consort of Shamash was Aa, and his attendants were Kittu and Mesharu, "Truth" and "Righteousness".	true	2015	2022.88	24.68419
6918_61317_000060_000000	Like the Hittites, the Babylonians had also a sun goddess: her name was Nin-sun, which Jastrow renders "the annihilating lady".	Like the Hittites, the Babylonians had also a sun goddess: her name was Nin sun, which Jastrow renders "the annihilating lady".	false	2024.21	2035.59	22.072159
6918_61317_000060_000001	At Erech she had a shrine in the temple of the sky god Anu.	At Erech she had a shrine in the temple of the sky god Anu.	true	2035.59	2039.68	21.92946
6918_61317_000061_000000	We can trace in Babylonia, as in Egypt, the early belief that life in the Universe had a female origin.	We can trace in Babylonia, as in Egypt, the early belief that life in the Universe had a female origin.	true	2040.77	2047.12	21.036148
6918_61317_000061_000001	Nin-sun links with Ishtar, whose Sumerian name is Nana.	Nin sun links with Ishtar, whose Sumerian name is Nana.	true	2047.46	2051.92	21.127892
6918_61317_000061_000002	Ishtar appears to be identical with the Egyptian Hathor, who, as Sekhet, slaughtered the enemies of the sun god Ra.	Ishtar appears to be identical with the Egyptian Hathor, who, as Sekhet, slaughtered the enemies of the sun god Ra.	true	2052.29	2060.26	23.236986
6918_61317_000061_000003	She was similarly the goddess of maternity, and is depicted in this character, like Isis and other goddesses of similar character, suckling a babe.	She was similarly the goddess of maternity, and is depicted in this character, like Isis and other goddesses of similar character, suckling a babe.	true	2060.45	2070.4	24.356737
6918_61317_000061_000004	Another Babylonian lady of the gods was Ama, Mama, or Mami, "the creatress of the seed of mankind", and was "probably so called as the 'mother' of all things".[76]	Another Babylonian lady of the gods was Ama, Mama, or Mami, "the creatress of the seed of mankind", and was "probably so called as the 'mother' of all things".[seventy six]	false	2070.92	2087.34	22.670204
6918_61317_000062_000000	A characteristic atmospheric deity was Ramman, the Rimmon of the Bible, the Semitic Addu, Adad, Hadad, or Dadu.	A characteristic atmospheric deity was Ramman, the Rimmon of the Bible, the Semitic Addu, Adad, Hadad, or Dadu.	false	2087.34	2098.06	26.821383
6918_61317_000062_000001	He was not a presiding deity in any pantheon, but was identified with Enlil at Nippur.	He was not a presiding deity in any pantheon, but was identified with Enlil at Nippur.	false	2099.15	2106.27	22.978838
6918_61317_000062_000002	As a hammer god, he was imported by the Semites from the hills.	As a hammer god, he was imported by the Semites from the hills.	true	2106.27	2110.6	21.8589
6918_61317_000062_000003	He was a wind and thunder deity, a rain bringer, a corn god, and a god of battle like Thor, Jupiter, Tarku, Indra, and others, who were all sons of the sky.	He was a wind and thunder deity, a rain bringer, a corn god, and a god of battle like Thor, Jupiter, Tarku, Indra, and others, who were all sons of the sky.	true	2110.94	2123.92	21.332962
6918_61317_000063_000000	In this brief review of the representative deities of early Babylonia, it will be seen that most gods link with Anu, Ea, and Enlil, whose attributes they symbolized in various forms.	In this brief review of the representative deities of early Babylonia, it will be seen that most gods link with Anu, Ea, and Enlil, whose attributes they symbolized in various forms.	false	2125.16	2137.9	22
6918_61317_000063_000001	The prominence accorded to an individual deity depended on local conditions, experiences, and influences.	The prominence accorded to an individual deity depended on local conditions, experiences, and influences.	true	2138.33	2145.16	20
6918_61317_000063_000002	Ceremonial practices no doubt varied here and there, but although one section might exalt Ea and another Shamash, the religious faith of the people as a whole did not differ to any marked extent; they served the gods according to their lights, so that life might be prolonged and made prosperous, for the land of death and "no return" was regarded as a place of gloom and misery.	Ceremonial practices no doubt varied here and there, but although one section might exalt Ea and another Shamash, the religious faith of the people as a whole did not differ to any marked extent; they served the gods according to their lights, so that life might be prolonged and made prosperous, for the land of death and "no return" was regarded as a place of gloom and misery.	false	2145.59	2170.63	20.628117
6918_61317_000064_000000	When the Babylonians appear before us in the early stages of the historical period they had reached that stage of development set forth so vividly in the _Orations_ of Isocrates: "Those of the gods who are the source to us of good things have the title of Olympians; those whose department is that of calamities and punishments have harsher titles: to the first class both private persons and states erect altars and temples; the second is not worshipped either with prayers or burnt sacrifices, but in their case we perform ceremonies of riddance".[77]	When the Babylonians appear before us in the early stages of the historical period they had reached that stage of development set forth so vividly in the underscore Orations underscore of Isocrates: "Those of the gods who are the source to us of good things have the title of Olympians; those whose department is that of calamities and punishments have harsher titles: to the first class both private persons and states erect altars and temples; the second is not worshipped either with prayers or burnt sacrifices, but in their case we perform ceremonies of riddance".[seventy seven]	false	2171.87	2211.51	20.962711
6918_61317_000065_000000	The Sumerians, like the Ancient Egyptians, developed their deities, who reflected the growth of culture, from vague spirit groups, which, like ghosts, were hostile to mankind.	The Sumerians, like the Ancient Egyptians, developed their deities, who reflected the growth of culture, from vague spirit groups, which, like ghosts, were hostile to mankind.	true	2211.51	2223.25	24.102339
6918_61317_000065_000001	Those spirits who could be propitiated were exalted as benevolent deities; those who could not be bargained with were regarded as evil gods and goddesses.	Those spirits who could be propitiated were exalted as benevolent deities; those who could not be bargained with were regarded as evil gods and goddesses.	true	2223.8	2233.18	18
6918_61317_000065_000002	A better understanding of the character of Babylonian deities will therefore be obtained by passing the demons and evil spirits under review.	A better understanding of the character of Babylonian deities will therefore be obtained by passing the demons and evil spirits under review.	false	2233.67	2248.59	20.972654
