4425_14497_000000_000000	'I said she was not immoral.	'I said she was not immoral.	false	0	1.98	25.03429
4425_14497_000059_000000	Again he set to work, and his eyes troubled him with spots and dashes and blurs till he had taken counsel with the sideboard, and the Melancolia both on the canvas and in his own mind appeared lovelier than ever.	Again he set to work, and his eyes troubled him with spots and dashes and blurs till he had taken counsel with the sideboard, and the Melancolia both on the canvas and in his own mind appeared lovelier than ever.	false	867.95	880.63	24.45438
4425_14497_000059_000001	There was a delightful sense of irresponsibility upon him, such as they feel who walking among their fellow-men know that the death-sentence of disease is upon them, and, seeing that fear is but waste of the little time left, are riotously happy.	There was a delightful sense of irresponsibility upon him, such as they feel who walking among their fellow men know that the death sentence of disease is upon them, and, seeing that fear is but waste of the little time left, are riotously happy.	true	880.85	896.02	28.262085
4425_14497_000059_000002	The days passed without event.	The days passed without event.	true	896.06	898.39	24.344606
4425_14497_000060_000000	Bessie arrived punctually always, and, though her voice seemed to Dick to come from a distance, her face was always very near.	Bessie arrived punctually always, and, though her voice seemed to Dick to come from a distance, her face was always very near.	true	899.03	906.64	19.540022
4425_14497_000060_000001	The Melancolia began to flame on the canvas, in the likeness of a woman who had known all the sorrow in the world and was laughing at it.	The Melancolia began to flame on the canvas, in the likeness of a woman who had known all the sorrow in the world and was laughing at it.	true	907.04	915.46	21.39828
4425_14497_000060_000002	It was true that the corners of the studio draped themselves in gray film and retired into the darkness, that the spots in his eyes and the pains across his head were very troublesome, and that Maisie's letters were hard to read and harder still to answer.	It was true that the corners of the studio draped themselves in gray film and retired into the darkness, that the spots in his eyes and the pains across his head were very troublesome, and that Maisie's letters were hard to read and harder still to answer.	true	915.77	931.24	21.952374
4425_14497_000060_000003	He could not tell her of his trouble, and he could not laugh at her accounts of her own Melancolia which was always going to be finished.	He could not tell her of his trouble, and he could not laugh at her accounts of her own Melancolia which was always going to be finished.	true	931.4	939.13	21.8816
4425_14497_000060_000004	But the furious days of toil and the nights of wild dreams made amends for all, and the sideboard was his best friend on earth.	But the furious days of toil and the nights of wild dreams made amends for all, and the sideboard was his best friend on earth.	true	939.23	947.14	21.578232
4425_14497_000061_000000	Bessie was singularly dull.	Bessie was singularly dull.	true	947.72	949.63	18.477852
4425_14497_000061_000001	She used to shriek with rage when Dick stared at her between half-closed eyes.	She used to shriek with rage when Dick stared at her between half closed eyes.	true	949.64	954.28	25.184673
4425_14497_000061_000002	Now she sulked, or watched him with disgust, saying very little.	Now she sulked, or watched him with disgust, saying very little.	false	954.35	958.9	18.841457
4425_14497_000062_000000	Torpenhow had been absent for six weeks.	Torpenhow had been absent for six weeks.	true	959.15	961.72	25.417665
4425_14497_000062_000001	An incoherent note heralded his return.	An incoherent note heralded his return.	true	961.94	964.81	21.727858
4425_14497_000062_000002	'News! great news!' he wrote.	'News! great news!' he wrote.	true	965.12	967.69	21.17908
4425_14497_000062_000003	'The Nilghai knows, and so does the Keneu.	'The Nilghai knows, and so does the Keneu.	true	967.85	970.69	20.346405
4425_14497_000062_000004	We're all back on Thursday.	We're all back on Thursday.	true	970.82	972.36	29.125622
4425_14497_000062_000005	Get lunch and clean your accoutrements.'	Get lunch and clean your accoutrements.'	true	972.36	974.89	24.343494
4425_14497_000063_000000	Dick showed Bessie the letter, and she abused him for that he had ever sent Torpenhow away and ruined her life.	Dick showed Bessie the letter, and she abused him for that he had ever sent Torpenhow away and ruined her life.	true	975.38	981.52	21.005358
4425_14497_000064_000000	'Well,' said Dick, brutally, 'you're better as you are, instead of making love to some drunken beast in the street.' He felt that he had rescued Torpenhow from great temptation.	'Well,' said Dick, brutally, 'you're better as you are, instead of making love to some drunken beast in the street.' He felt that he had rescued Torpenhow from great temptation.	true	981.83	992.17	23.308453
4425_14497_000065_000000	'I don't know if that's any worse than sitting to a drunken beast in a studio.	'I don't know if that's any worse than sitting to a drunken beast in a studio.	true	992.39	996.19	21
4425_14497_000065_000001	You haven't been sober for three weeks.	You haven't been sober for three weeks.	true	996.32	998.35	22.583374
4425_14497_000065_000002	You've been soaking the whole time; and yet you pretend you're better than me!'	You've been soaking the whole time; and yet you pretend you're better than me!'	true	998.72	1002.07	19
4425_14497_000066_000000	'What d'you mean?' said Dick.	'What d'you mean?' said Dick.	true	1002.86	1004.47	21.217794
4425_14497_000067_000000	'Mean!	'Mean!	true	1004.54	1005.31	38.48414
4425_14497_000067_000001	You'll see when Mr. Torpenhow comes back.'	You'll see when mr Torpenhow comes back.'	true	1005.59	1008.13	22.028831
4425_14497_000068_000000	It was not long to wait.	It was not long to wait.	true	1008.41	1010.05	21.033772
4425_14497_000068_000001	Torpenhow met Bessie on the staircase without a sign of feeling.	Torpenhow met Bessie on the staircase without a sign of feeling.	true	1010.24	1014.34	23.73539
4425_14497_000068_000002	He had news that was more to him than many Bessies, and the Keneu and the Nilghai were trampling behind him, calling for Dick.	He had news that was more to him than many Bessies, and the Keneu and the Nilghai were trampling behind him, calling for Dick.	false	1014.44	1021.63	19.898783
4425_14497_000069_000000	'Drinking like a fish,' Bessie whispered.	'Drinking like a fish,' Bessie whispered.	true	1021.82	1024.26	29.58779
4425_14497_000069_000001	'He's been at it for nearly a month.' She followed the men stealthily to hear judgment done.	'He's been at it for nearly a month.' She followed the men stealthily to hear judgment done.	true	1024.26	1029.43	22.206987
4425_14497_000070_000000	They came into the studio, rejoicing, to be welcomed over effusively by a drawn, lined, shrunken, haggard wreck,--unshaven, blue-white about the nostrils, stooping in the shoulders, and peering under his eyebrows nervously.	They came into the studio, rejoicing, to be welcomed over effusively by a drawn, lined, shrunken, haggard wreck,--unshaven, blue white about the nostrils, stooping in the shoulders, and peering under his eyebrows nervously.	true	1029.92	1045.03	21.927202
4425_14497_000070_000001	The drink had been at work as steadily as Dick.	The drink had been at work as steadily as Dick.	true	1045.49	1048.81	32.873604
4425_14497_000071_000000	'Is this you?' said Torpenhow.	'Is this you?' said Torpenhow.	true	1049.24	1051.6	22.02749
4425_14497_000072_000000	'All that's left of me.	'All that's left of me.	true	1051.7	1053.08	23.648024
4425_14497_000072_000001	Sit down.	Sit down.	true	1053.08	1054.18	23.489199
4425_14497_000072_000002	Binkie's quite well, and I've been doing some good work.' He reeled where he stood.	Binkie's quite well, and I've been doing some good work.' He reeled where he stood.	true	1054.34	1059.13	20.506052
4425_14497_000073_000000	'You've done some of the worst work you've ever done in your life.	'You've done some of the worst work you've ever done in your life.	true	1059.32	1062.43	18
4425_14497_000073_000001	Man alive, you're----'	Man alive, you're----'	true	1062.43	1063.57	19
4425_14497_000074_000000	Torpenhow turned to his companions appealingly, and they left the room to find lunch elsewhere.	Torpenhow turned to his companions appealingly, and they left the room to find lunch elsewhere.	true	1063.85	1069.57	24.88702
4425_14497_000074_000001	Then he spoke; but, since the reproof of a friend is much too sacred and intimate a thing to be printed, and since Torpenhow used figures and metaphors which were unseemly, and contempt untranslatable, it will never be known what was actually said to Dick, who blinked and winked and picked at his hands.	Then he spoke; but, since the reproof of a friend is much too sacred and intimate a thing to be printed, and since Torpenhow used figures and metaphors which were unseemly, and contempt untranslatable, it will never be known what was actually said to Dick, who blinked and winked and picked at his hands.	false	1069.79	1088.56	23.930832
4425_14497_000074_000002	After a time the culprit began to feel the need of a little self-respect.	After a time the culprit began to feel the need of a little self respect.	true	1089.02	1093.27	22.864412
4425_14497_000074_000003	He was quite sure that he had not in any way departed from virtue, and there were reasons, too, of which Torpenhow knew nothing.	He was quite sure that he had not in any way departed from virtue, and there were reasons, too, of which Torpenhow knew nothing.	true	1093.4	1100.56	22.897718
4425_14497_000074_000004	He would explain.	He would explain.	true	1101.08	1102.66	29.504154
4425_14497_000075_000000	He rose, tried to straighten his shoulders, and spoke to the face he could hardly see.	He rose, tried to straighten his shoulders, and spoke to the face he could hardly see.	true	1102.94	1109.2	21.926842
4425_14497_000076_000000	'You are right,' he said.	'You are right,' he said.	false	1109.6	1111.27	20.193138
4425_14497_000076_000001	'But I am right, too.	'But I am right, too.	true	1111.64	1113.49	33.267548
4425_14497_000076_000002	After you went away I had some trouble with my eyes.	After you went away I had some trouble with my eyes.	true	1113.65	1116.79	25.401257
4425_14497_000076_000003	So I went to an oculist, and he turned a gasogene--I mean a gas-engine--into my eye.	So I went to an oculist, and he turned a gasogene-I mean a gas engine-into my eye.	true	1117.13	1124.31	25.656744
4425_14497_000076_000004	That was very long ago.	That was very long ago.	false	1124.31	1126.12	26.864782
4425_14497_000076_000005	He said, "Scar on the head,--sword-cut and optic nerve." Make a note of that.	He said, "Scar on the head,--sword cut and optic nerve." Make a note of that.	true	1126.25	1132.09	22.644243
4425_14497_000076_000006	So I am going blind.	So I am going blind.	true	1132.55	1134.55	24.95802
4425_14497_000076_000007	I have some work to do before I go blind, and I suppose that I must do it.	I have some work to do before I go blind, and I suppose that I must do it.	true	1135.04	1139.56	23.167494
4425_14497_000076_000008	I cannot see much now, but I can see best when I am drunk.	I cannot see much now, but I can see best when I am drunk.	true	1139.78	1143.67	23.9727
4425_14497_000076_000009	I did not know I was drunk till I was told, but I must go on with my work.	I did not know I was drunk till I was told, but I must go on with my work.	true	1143.77	1148.38	25.296753
4425_14497_000076_000010	If you want to see it, there it is.' He pointed to the all but finished Melancolia and looked for applause.	If you want to see it, there it is.' He pointed to the all but finished Melancolia and looked for applause.	false	1148.39	1155.46	25.875727
4425_14497_000077_000000	Torpenhow said nothing, and Dick began to whimper feebly, for joy at seeing Torpenhow again, for grief at misdeeds--if indeed they were misdeeds--that made Torpenhow remote and unsympathetic, and for childish vanity hurt, since Torpenhow had not given a word of praise to his wonderful picture.	Torpenhow said nothing, and Dick began to whimper feebly, for joy at seeing Torpenhow again, for grief at misdeeds-if indeed they were misdeeds-that made Torpenhow remote and unsympathetic, and for childish vanity hurt, since Torpenhow had not given a word of praise to his wonderful picture.	true	1155.62	1176.31	24.051647
4425_14497_000078_000000	Bessie looked through the keyhole after a long pause, and saw the two walking up and down as usual, Torpenhow's hand on Dick's shoulder.	Bessie looked through the keyhole after a long pause, and saw the two walking up and down as usual, Torpenhow's hand on Dick's shoulder.	true	1176.68	1184.92	23.079557
4425_14497_000079_000000	Hereat she said something so improper that it shocked even Binkie, who was dribbling patiently on the landing with the hope of seeing his master again.	Hereat she said something so improper that it shocked even Binkie, who was dribbling patiently on the landing with the hope of seeing his master again.	false	1185.5	1207.77	21.841616
