986_129388_000000_000000	EXTINCTION, n.	EXTINCTION, n.	false	1.68	3.96	21.815376
986_129388_000056_000002	Destitute of fortune. Addicted to utterance of truth and common sense.	Destitute of fortune. Addicted to utterance of truth and common sense.	false	1223.54	1228.6	21
986_129388_000057_000000	FRIENDSHIP, n.	FRIENDSHIP, n.	false	1229.72	1231.41	20.66371
986_129388_000057_000001	A ship big enough to carry two in fair weather, but only one in foul.	A ship big enough to carry two in fair weather, but only one in foul.	false	1231.41	1238.16	18.507603
986_129388_000058_000000	The sea was calm and the sky was blue; Merrily, merrily sailed we two. (High barometer maketh glad.) On the tipsy ship, with a dreadful shout, The tempest descended and we fell out. (O the walking is nasty bad!)	The sea was calm and the sky was blue; Merrily, merrily sailed we two. (High barometer maketh glad.) On the tipsy ship, with a dreadful shout, The tempest descended and we fell out. (O the walking is nasty bad!)	false	1238.16	1257.33	17.693188
986_129388_000059_000000	Armit Huff Bettle	Armit Huff Bettle	true	1257.33	1258.93	21
986_129388_000060_000000	FROG, n.	FROG, n.	false	1261.25	1263.63	18.19612
986_129388_000060_000001	A reptile with edible legs.	A reptile with edible legs.	true	1263.63	1265.98	19.916431
986_129388_000060_000002	The first mention of frogs in profane literature is in Homer's narrative of the war between them and the mice.	The first mention of frogs in profane literature is in Homer's narrative of the war between them and the mice.	true	1266.2	1273.54	15
986_129388_000060_000003	Skeptical persons have doubted Homer's authorship of the work, but the learned, ingenious and industrious Dr. Schliemann has set the question forever at rest by uncovering the bones of the slain frogs.	Skeptical persons have doubted Homer's authorship of the work, but the learned, ingenious and industrious dr Schliemann has set the question forever at rest by uncovering the bones of the slain frogs.	false	1273.94	1287.22	16
986_129388_000060_000004	One of the forms of moral suasion by which Pharaoh was besought to favor the Israelities was a plague of frogs, but Pharaoh, who liked them _fricasees_, remarked, with truly oriental stoicism, that he could stand it as long as the frogs and the Jews could; so the programme was changed.	One of the forms of moral suasion by which Pharaoh was besought to favor the Israelities was a plague of frogs, but Pharaoh, who liked them underscore fricasees underscore, remarked, with truly oriental stoicism, that he could stand it as long as the frogs and the Jews could; so the programme was changed.	false	1287.41	1306.51	19.25397
986_129388_000060_000005	The frog is a diligent songster, having a good voice but no ear.	The frog is a diligent songster, having a good voice but no ear.	true	1306.7	1312.15	20
986_129388_000060_000006	The libretto of his favorite opera, as written by Aristophanes, is brief, simple and effective--"brekekex-koax"; the music is apparently by that eminent composer, Richard Wagner.	The libretto of his favorite opera, as written by Aristophanes, is brief, simple and effective-"brekekex koax"; the music is apparently by that eminent composer, Richard Wagner.	false	1312.49	1328.02	21.946457
986_129388_000060_000007	Horses have a frog in each hoof--a thoughtful provision of nature, enabling them to shine in a hurdle race.	Horses have a frog in each hoof-a thoughtful provision of nature, enabling them to shine in a hurdle race.	true	1328.6	1337.41	19.288715
986_129388_000061_000000	FRYING-PAN, n.	FRYING PAN, n.	false	1339.16	1341.9	19.067068
986_129388_000061_000001	One part of the penal apparatus employed in that punitive institution, a woman's kitchen.	One part of the penal apparatus employed in that punitive institution, a woman's kitchen.	false	1341.9	1348.33	19.091797
986_129388_000061_000002	The frying-pan was invented by Calvin, and by him used in cooking span-long infants that had died without baptism; and observing one day the horrible torment of a tramp who had incautiously pulled a fried babe from the waste-dump and devoured it, it occurred to the great divine to rob death of its terrors by introducing the frying-pan into every household in Geneva. Thence it spread to all corners of the world, and has been of invaluable assistance in the propagation of his sombre faith.	The frying pan was invented by Calvin, and by him used in cooking span long infants that had died without baptism; and observing one day the horrible torment of a tramp who had incautiously pulled a fried babe from the waste dump and devoured it, it occurred to the great divine to rob death of its terrors by introducing the frying pan into every household in Geneva. Thence it spread to all corners of the world, and has been of invaluable assistance in the propagation of his sombre faith.	false	1349.15	1381.03	18
986_129388_000061_000003	The following lines (said to be from the pen of his Grace Bishop Potter) seem to imply that the usefulness of this utensil is not limited to this world; but as the consequences of its employment in this life reach over into the life to come, so also itself may be found on the other side, rewarding its devotees:	The following lines (said to be from the pen of his Grace Bishop Potter) seem to imply that the usefulness of this utensil is not limited to this world; but as the consequences of its employment in this life reach over into the life to come, so also itself may be found on the other side, rewarding its devotees:	false	1381.85	1401.55	18
986_129388_000062_000000	Old Nick was summoned to the skies. Said Peter: "Your intentions Are good, but you lack enterprise Concerning new inventions.	Old Nick was summoned to the skies. Said peter: "Your intentions Are good, but you lack enterprise Concerning new inventions.	true	1402.88	1412.02	19
986_129388_000063_000000	"Now, broiling in an ancient plan Of torment, but I hear it Reported that the frying-pan Sears best the wicked spirit.	"Now, broiling in an ancient plan Of torment, but I hear it Reported that the frying pan Sears best the wicked spirit.	false	1412.36	1419.97	18.383312
986_129388_000064_000000	"Go get one--fill it up with fat-- Fry sinners brown and good in't." "I know a trick worth two o' that," Said Nick--"I'll cook their food in't."	"Go get one-fill it up with fat- Fry sinners brown and good in't." "I know a trick worth two o' that," Said Nick-"I'll cook their food in't."	false	1420.28	1432.44	18.94144
986_129388_000065_000000	FUNERAL, n.	FUNERAL, n.	false	1432.44	1434.39	18.671322
986_129388_000065_000001	A pageant whereby we attest our respect for the dead by enriching the undertaker, and strengthen our grief by an expenditure that deepens our groans and doubles our tears.	A pageant whereby we attest our respect for the dead by enriching the undertaker, and strengthen our grief by an expenditure that deepens our groans and doubles our tears.	true	1434.39	1444.75	18
986_129388_000066_000000	The savage dies--they sacrifice a horse To bear to happy hunting-grounds the corse. Our friends expire--we make the money fly In hope their souls will chase it to the sky.	The savage dies-they sacrifice a horse To bear to happy hunting grounds the corse. Our friends expire-we make the money fly In hope their souls will chase it to the sky.	false	1445.69	1460.1	19.389774
986_129388_000067_000000	Jex Wopley	Jex Wopley	true	1460.1	1461.43	20.585707
986_129388_000068_000000	FUTURE, n.	FUTURE, n.	false	1463.15	1465.32	19.882624
986_129388_000068_000001	That period of time in which our affairs prosper, our friends are true and our happiness is assured.	That period of time in which our affairs prosper, our friends are true and our happiness is assured.	false	1465.32	1472.46	20
986_129388_000069_000000	G	G	false	1472.46	1473.36	-20
986_129388_000070_000000	GALLOWS, n.	GALLOWS, n.	false	1473.36	1475.16	14.579393
986_129388_000070_000001	A stage for the performance of miracle plays, in which the leading actor is translated to heaven.	A stage for the performance of miracle plays, in which the leading actor is translated to heaven.	false	1475.16	1478.85	17.956652
986_129388_000070_000002	In this country the gallows is chiefly remarkable for the number of persons who escape it.	In this country the gallows is chiefly remarkable for the number of persons who escape it.	false	1478.85	1485.12	15.53603
