8404_282926_000000_000000	XI	XI	false	18.06	18.45	-20
8404_282926_000049_000000	It was time for the ranger to ride back to his camp on the water hole. Before he mounted his horse he raised the slight form of Tonia with one arm high from the earth for a parting salute.	It was time for the ranger to ride back to his camp on the water hole. Before he mounted his horse he raised the slight form of Tonia with one arm high from the earth for a parting salute.	false	986.27	997.54	20.573545
8404_282926_000049_000001	The drowsy stillness of the torpid summer air still lay thick upon the dreaming afternoon. The smoke from the fire in the /jacal/, where the /frijoles/ blubbered in the iron pot, rose straight as a plumb-line above the clay-daubed chimney.	The drowsy stillness of the torpid summer air still lay thick upon the dreaming afternoon. The smoke from the fire in the /jacal/, where the /frijoles/ blubbered in the iron pot, rose straight as a plumb line above the clay daubed chimney.	false	997.7	1011.7	21.316244
8404_282926_000049_000002	No sound or movement disturbed the serenity of the dense pear thicket ten yards away.	No sound or movement disturbed the serenity of the dense pear thicket ten yards away.	true	1011.92	1016.95	21
8404_282926_000050_000000	When the form of Sandridge had disappeared, loping his big dun down the steep banks of the Frio crossing, the Kid crept back to his own horse, mounted him, and rode back along the tortuous trail he had come.	When the form of Sandridge had disappeared, loping his big dun down the steep banks of the Frio crossing, the Kid crept back to his own horse, mounted him, and rode back along the tortuous trail he had come.	true	1017.5	1030.33	21.684088
8404_282926_000051_000000	But not far.	But not far.	true	1030.4	1031.59	22.696196
8404_282926_000051_000001	He stopped and waited in the silent depths of the pear until half an hour had passed.	He stopped and waited in the silent depths of the pear until half an hour had passed.	true	1031.93	1037.05	21.639175
8404_282926_000051_000002	And then Tonia heard the high, untrue notes of his unmusical singing coming nearer and nearer; and she ran to the edge of the pear to meet him.	And then Tonia heard the high, untrue notes of his unmusical singing coming nearer and nearer; and she ran to the edge of the pear to meet him.	false	1037.33	1046.05	21.227938
8404_282926_000052_000000	The Kid seldom smiled; but he smiled and waved his hat when he saw her.	The Kid seldom smiled; but he smiled and waved his hat when he saw her.	true	1046.39	1050.88	19.722195
8404_282926_000052_000001	He dismounted, and his girl sprang into his arms.	He dismounted, and his girl sprang into his arms.	true	1050.95	1054.24	22
8404_282926_000052_000002	The Kid looked at her fondly.	The Kid looked at her fondly.	true	1054.58	1056.37	20.992928
8404_282926_000052_000003	His thick, black hair clung to his head like a wrinkled mat.	His thick, black hair clung to his head like a wrinkled mat.	true	1056.65	1060.15	22
8404_282926_000052_000004	The meeting brought a slight ripple of some undercurrent of feeling to his smooth, dark face that was usually as motionless as a clay mask.	The meeting brought a slight ripple of some undercurrent of feeling to his smooth, dark face that was usually as motionless as a clay mask.	true	1060.67	1069.12	20
8404_282926_000053_000000	"How's my girl?" he asked, holding her close.	"How's my girl?" he asked, holding her close.	true	1069.34	1072.27	21.435194
8404_282926_000054_000000	"Sick of waiting so long for you, dear one," she answered.	"Sick of waiting so long for you, dear one," she answered.	true	1072.55	1076.05	18
8404_282926_000054_000001	"My eyes are dim with always gazing into that devil's pincushion through which you come.	"My eyes are dim with always gazing into that devil's pincushion through which you come.	true	1076.21	1081.21	20
8404_282926_000054_000002	And I can see into it such a little way, too.	And I can see into it such a little way, too.	true	1081.58	1084.54	18
8404_282926_000054_000003	But you are here, beloved one, and I will not scold.	But you are here, beloved one, and I will not scold.	true	1084.94	1088.76	21.92209
8404_282926_000054_000004	/Que mal muchacho/! not to come to see your /alma/ more often.	/Que mal muchacho/! not to come to see your /alma/ more often.	false	1088.76	1092.76	19
8404_282926_000054_000005	Go in and rest, and let me water your horse and stake him with the long rope.	Go in and rest, and let me water your horse and stake him with the long rope.	false	1093.07	1097.77	20.407381
8404_282926_000054_000006	There is cool water in the jar for you."	There is cool water in the jar for you."	true	1097.87	1100.17	19.762875
8404_282926_000055_000000	The Kid kissed her affectionately.	The Kid kissed her affectionately.	true	1100.42	1102.39	19.072075
8404_282926_000056_000000	"Not if the court knows itself do I let a lady stake my horse for me," said he.	"Not if the court knows itself do I let a lady stake my horse for me," said he.	true	1102.73	1107.13	20.3634
8404_282926_000056_000001	"But if you'll run in, /chica/, and throw a pot of coffee together while I attend to the /caballo/, I'll be a good deal obliged."	"But if you'll run in, /chica/, and throw a pot of coffee together while I attend to the /caballo/, I'll be a good deal obliged."	true	1107.5	1114.75	23.237925
8404_282926_000057_000000	Besides his marksmanship the Kid had another attribute for which he admired himself greatly.	Besides his marksmanship the Kid had another attribute for which he admired himself greatly.	true	1115.33	1121.08	21.331757
8404_282926_000057_000001	He was /muy caballero/, as the Mexicans express it, where the ladies were concerned.	He was /muy caballero/, as the Mexicans express it, where the ladies were concerned.	true	1121.18	1126.21	22.444147
8404_282926_000057_000002	For them he had always gentle words and consideration.	For them he had always gentle words and consideration.	true	1126.7	1129.84	19
8404_282926_000057_000003	He could not have spoken a harsh word to a woman.	He could not have spoken a harsh word to a woman.	true	1130	1132.84	20.839497
8404_282926_000057_000004	He might ruthlessly slay their husbands and brothers, but he could not have laid the weight of a finger in anger upon a woman. Wherefore many of that interesting division of humanity who had come under the spell of his politeness declared their disbelief in the stories circulated about Mr. Kid.	He might ruthlessly slay their husbands and brothers, but he could not have laid the weight of a finger in anger upon a woman. Wherefore many of that interesting division of humanity who had come under the spell of his politeness declared their disbelief in the stories circulated about mr Kid.	true	1133.12	1150.36	21.030525
8404_282926_000057_000005	One shouldn't believe everything one heard, they said.	One shouldn't believe everything one heard, they said.	true	1151.03	1153.69	21.09141
8404_282926_000057_000006	When confronted by their indignant men folk with proof of the /caballero's/ deeds of infamy, they said maybe he had been driven to it, and that he knew how to treat a lady, anyhow.	When confronted by their indignant men folk with proof of the /caballero's/ deeds of infamy, they said maybe he had been driven to it, and that he knew how to treat a lady, anyhow.	true	1153.82	1164.55	21.410042
8404_282926_000058_000000	Considering this extremely courteous idiosyncrasy of the Kid and the pride he took in it, one can perceive that the solution of the problem that was presented to him by what he saw and heard from his hiding- place in the pear that afternoon (at least as to one of the actors) must have been obscured by difficulties.	Considering this extremely courteous idiosyncrasy of the Kid and the pride he took in it, one can perceive that the solution of the problem that was presented to him by what he saw and heard from his hiding place in the pear that afternoon (at least as to one of the actors) must have been obscured by difficulties.	true	1165.01	1182.7	22.051977
8404_282926_000058_000001	And yet one could not think of the Kid overlooking little matters of that kind.	And yet one could not think of the Kid overlooking little matters of that kind.	true	1183.07	1187.23	20
8404_282926_000059_000000	At the end of the short twilight they gathered around a supper of /frijoles/, goat steaks, canned peaches, and coffee, by the light of a lantern in the /jacal/.	At the end of the short twilight they gathered around a supper of /frijoles/, goat steaks, canned peaches, and coffee, by the light of a lantern in the /jacal/.	false	1187.54	1197.84	22.103115
8404_282926_000059_000001	Afterward, the ancestor, his flock corralled, smoked a cigarette and became a mummy in a grey blanket.	Afterward, the ancestor, his flock corralled, smoked a cigarette and became a mummy in a grey blanket.	true	1197.84	1204.03	22.781366
8404_282926_000059_000002	Tonia washed the few dishes while the Kid dried them with the flour-sacking towel. Her eyes shone; she chatted volubly of the inconsequent happenings of her small world since the Kid's last visit; it was as all his other home-comings had been.	Tonia washed the few dishes while the Kid dried them with the flour sacking towel. Her eyes shone; she chatted volubly of the inconsequent happenings of her small world since the Kid's last visit; it was as all his other home comings had been.	true	1204.34	1218.52	20.185705
8404_282926_000060_000000	Then outside Tonia swung in a grass hammock with her guitar and sang sad /canciones de amor/.	Then outside Tonia swung in a grass hammock with her guitar and sang sad /canciones de amor/.	false	1218.98	1225.27	21
8404_282926_000061_000000	"Do you love me just the same, old girl?" asked the Kid, hunting for his cigarette papers.	"Do you love me just the same, old girl?" asked the Kid, hunting for his cigarette papers.	true	1225.76	1230.58	20.288385
8404_282926_000062_000000	"Always the same, little one," said Tonia, her dark eyes lingering upon him.	"Always the same, little one," said Tonia, her dark eyes lingering upon him.	true	1230.89	1235.44	20.070107
8404_282926_000063_000000	"I must go over to Fink's," said the Kid, rising, "for some tobacco.	"I must go over to Fink's," said the Kid, rising, "for some tobacco.	true	1235.72	1240.24	23.023523
8404_282926_000063_000001	I thought I had another sack in my coat.	I thought I had another sack in my coat.	true	1240.31	1242.7	20.661987
8404_282926_000063_000002	I'll be back in a quarter of an hour."	I'll be back in a quarter of an hour."	true	1243.4	1245.46	21.914856
8404_282926_000064_000000	"Hasten," said Tonia, "and tell me--how long shall I call you my own this time?	"Hasten," said Tonia, "and tell me-how long shall I call you my own this time?	true	1245.62	1250.47	20.914955
8404_282926_000064_000001	Will you be gone again to-morrow, leaving me to grieve, or will you be longer with your Tonia?"	Will you be gone again to morrow, leaving me to grieve, or will you be longer with your Tonia?"	true	1250.75	1256.56	22.258507
8404_282926_000065_000000	"Oh, I might stay two or three days this trip," said the Kid, yawning. "I've been on the dodge for a month, and I'd like to rest up."	"Oh, I might stay two or three days this trip," said the Kid, yawning. "I've been on the dodge for a month, and I'd like to rest up."	true	1257.02	1265.02	22.93723
8404_282926_000066_000000	He was gone half an hour for his tobacco.	He was gone half an hour for his tobacco.	true	1265.3	1267.96	19.966536
8404_282926_000066_000001	When he returned Tonia was still lying in the hammock.	When he returned Tonia was still lying in the hammock.	true	1268.51	1271.53	19.27151
8404_282926_000067_000000	"It's funny," said the Kid, "how I feel.	"It's funny," said the Kid, "how I feel.	true	1271.72	1274.62	20.889036
8404_282926_000067_000001	I feel like there was somebody lying behind every bush and tree waiting to shoot me.	I feel like there was somebody lying behind every bush and tree waiting to shoot me.	true	1274.75	1279.06	18.984674
8404_282926_000067_000002	I never had mullygrubs like them before.	I never had mullygrubs like them before.	true	1279.73	1282.12	21.630516
8404_282926_000067_000003	Maybe it's one of them presumptions. I've got half a notion to light out in the morning before day.	Maybe it's one of them presumptions. I've got half a notion to light out in the morning before day.	true	1282.37	1288.69	19.53441
8404_282926_000067_000004	The Guadalupe country is burning up about that old Dutchman I plugged down there."	The Guadalupe country is burning up about that old Dutchman I plugged down there."	true	1288.85	1293.13	22
8404_282926_000068_000000	"You are not afraid--no one could make my brave little one fear."	"You are not afraid-no one could make my brave little one fear."	true	1293.65	1297.69	22.81538
8404_282926_000069_000000	"Well, I haven't been usually regarded as a jack-rabbit when it comes to scrapping; but I don't want a posse smoking me out when I'm in your /jacal/.	"Well, I haven't been usually regarded as a jack rabbit when it comes to scrapping; but I don't want a posse smoking me out when I'm in your /jacal/.	false	1298.15	1306.26	22.538704
8404_282926_000069_000001	Somebody might get hurt that oughtn't to."	Somebody might get hurt that oughtn't to."	true	1306.26	1308.52	23.343185
8404_282926_000070_000000	"Remain with your Tonia; no one will find you here."	"Remain with your Tonia; no one will find you here."	true	1309.01	1312.15	22.18774
8404_282926_000071_000000	The Kid looked keenly into the shadows up and down the arroyo and toward the dim lights of the Mexican village.	The Kid looked keenly into the shadows up and down the arroyo and toward the dim lights of the Mexican village.	true	1312.46	1318.45	21
8404_282926_000072_000000	"I'll see how it looks later on," was his decision.	"I'll see how it looks later on," was his decision.	true	1318.82	1321.44	17.585209
8404_282926_000073_000000	*****	asterisk asterisk asterisk asterisk asterisk	false	1321.44	1322.06	3
8404_282926_000074_000000	At midnight a horseman rode into the rangers' camp, blazing his way by noisy "halloes" to indicate a pacific mission.	At midnight a horseman rode into the rangers' camp, blazing his way by noisy "halloes" to indicate a pacific mission.	true	1322.06	1329.22	20
8404_282926_000074_000001	Sandridge and one or two others turned out to investigate the row.	Sandridge and one or two others turned out to investigate the row.	true	1329.71	1333.66	21.730518
8404_282926_000074_000002	The rider announced himself to be Domingo Sales, from the Lone Wolf Crossing. he bore a letter for Senor Sandridge.	The rider announced himself to be Domingo Sales, from the Lone Wolf Crossing. he bore a letter for Senor Sandridge.	false	1333.91	1341.43	20.079216
8404_282926_000074_000003	Old Luisa, the /lavendera/, had persuaded him to bring it, he said, her son Gregorio being too ill of a fever to ride.	Old Luisa, the /lavendera/, had persuaded him to bring it, he said, her son Gregorio being too ill of a fever to ride.	true	1341.47	1349.23	21.580048
8404_282926_000075_000000	Sandridge lighted the camp lantern and read the letter.	Sandridge lighted the camp lantern and read the letter.	true	1349.63	1352.68	21.391153
8404_282926_000075_000001	These were its words:	These were its words:	true	1352.93	1354.42	22.774351
8404_282926_000076_000000	/Dear One/: He has come.	/Dear One/: He has come.	true	1354.73	1356.63	19.228865
8404_282926_000076_000001	Hardly had you ridden away when he came out of the pear.	Hardly had you ridden away when he came out of the pear.	true	1356.63	1359.55	20
8404_282926_000076_000002	When he first talked he said he would stay three days or more.	When he first talked he said he would stay three days or more.	true	1359.86	1363.18	20
8404_282926_000076_000003	Then as it grew later he was like a wolf or a fox, and walked about without rest, looking and listening.	Then as it grew later he was like a wolf or a fox, and walked about without rest, looking and listening.	false	1363.31	1369.9	21.231903
8404_282926_000076_000004	Soon he said he must leave before daylight when it is dark and stillest.	Soon he said he must leave before daylight when it is dark and stillest.	true	1370.12	1374.25	20
8404_282926_000076_000005	And then he seemed to suspect that I be not true to him.	And then he seemed to suspect that I be not true to him.	true	1374.71	1378.03	22
8404_282926_000076_000006	He looked at me so strange that I am frightened.	He looked at me so strange that I am frightened.	true	1378.46	1381.36	22.007496
8404_282926_000076_000007	I swear to him that I love him, his own Tonia.	I swear to him that I love him, his own Tonia.	true	1381.4	1385.29	21.67692
8404_282926_000076_000008	Last of all he said I must prove to him I am true.	Last of all he said I must prove to him I am true.	true	1385.45	1388.95	21.894524
8404_282926_000076_000009	He thinks that even now men are waiting to kill him as he rides from my house.	He thinks that even now men are waiting to kill him as he rides from my house.	true	1389.32	1394.05	18
8404_282926_000076_000010	To escape he says he will dress in my clothes, my red skirt and the blue waist I wear and the brown mantilla over the head, and thus ride away.	To escape he says he will dress in my clothes, my red skirt and the blue waist I wear and the brown mantilla over the head, and thus ride away.	true	1394.51	1403.95	22
8404_282926_000076_000011	But before that he says that I must put on his clothes, his /pantalones/ and /camisa/ and hat, and ride away on his horse from the /jacal/ as far as the big road beyond the crossing and back again.	But before that he says that I must put on his clothes, his /pantalones/ and /camisa/ and hat, and ride away on his horse from the /jacal/ as far as the big road beyond the crossing and back again.	false	1404.23	1416.13	22
8404_282926_000076_000012	This before he goes, so he can tell if I am true and if men are hidden to shoot him.	This before he goes, so he can tell if I am true and if men are hidden to shoot him.	true	1416.71	1421.74	20.117409
8404_282926_000076_000013	It is a terrible thing.	It is a terrible thing.	true	1421.93	1423.57	23.671667
8404_282926_000076_000014	An hour before daybreak this is to be.	An hour before daybreak this is to be.	true	1423.76	1426.15	23.67134
8404_282926_000076_000015	Come, my dear one, and kill this man and take me for your Tonia.	Come, my dear one, and kill this man and take me for your Tonia.	true	1426.55	1430.38	19
8404_282926_000076_000016	Do not try to take hold of him alive, but kill him quickly.	Do not try to take hold of him alive, but kill him quickly.	false	1430.72	1434.19	23.570614
8404_282926_000076_000017	Knowing all, you should do that.	Knowing all, you should do that.	true	1434.56	1436.65	21.43859
8404_282926_000076_000018	You must come long before the time and hide yourself in the little shed near the /jacal/ where the wagon and saddles are kept.	You must come long before the time and hide yourself in the little shed near the /jacal/ where the wagon and saddles are kept.	false	1436.72	1444.03	21.080036
8404_282926_000076_000019	It is dark in there.	It is dark in there.	true	1444.37	1445.8	22.674421
8404_282926_000076_000020	He will wear my red skirt and blue waist and brown mantilla.	He will wear my red skirt and blue waist and brown mantilla.	true	1445.87	1449.34	20
8404_282926_000076_000021	I send you a hundred kisses. Come surely and shoot quickly and straight.	I send you a hundred kisses. Come surely and shoot quickly and straight.	true	1449.56	1454.28	19.36569
8404_282926_000077_000000	Thine Own Tonia.	Thine Own Tonia.	false	1454.28	1455.88	22.7802
8404_282926_000078_000000	Sandridge quickly explained to his men the official part of the missive.	Sandridge quickly explained to his men the official part of the missive.	true	1456.67	1460.2	21.27054
8404_282926_000078_000001	The rangers protested against his going alone.	The rangers protested against his going alone.	true	1460.66	1463.65	20.780127
8404_282926_000079_000000	"I'll get him easy enough," said the lieutenant.	"I'll get him easy enough," said the lieutenant.	true	1463.72	1466.17	23.01829
8404_282926_000079_000001	"The girl's got him trapped.	"The girl's got him trapped.	true	1466.24	1468.02	23.903103
8404_282926_000079_000002	And don't even think he'll get the drop on me."	And don't even think he'll get the drop on me."	true	1468.02	1470.58	21.730207
8404_282926_000080_000000	Sandridge saddled his horse and rode to the Lone Wolf Crossing.	Sandridge saddled his horse and rode to the Lone Wolf Crossing.	true	1470.86	1474.9	21.885202
8404_282926_000080_000001	He tied his big dun in a clump of brush on the arroyo, took his Winchester from its scabbard, and carefully approached the Perez /jacal/.	He tied his big dun in a clump of brush on the arroyo, took his Winchester from its scabbard, and carefully approached the Perez /jacal/.	true	1475.12	1483.57	22
8404_282926_000080_000002	There was only the half of a high moon drifted over by ragged, milk-white gulf clouds.	There was only the half of a high moon drifted over by ragged, milk white gulf clouds.	true	1484.21	1489.78	21
8404_282926_000081_000000	The wagon-shed was an excellent place for ambush; and the ranger got inside it safely.	The wagon shed was an excellent place for ambush; and the ranger got inside it safely.	true	1490.18	1495.42	21.136663
8404_282926_000081_000001	In the black shadow of the brush shelter in front of the /jacal/ he could see a horse tied and hear him impatiently pawing the hard-trodden earth.	In the black shadow of the brush shelter in front of the /jacal/ he could see a horse tied and hear him impatiently pawing the hard trodden earth.	false	1495.64	1504.45	22.904316
8404_282926_000082_000000	He waited almost an hour before two figures came out of the /jacal/. One, in man's clothes, quickly mounted the horse and galloped past the wagon-shed toward the crossing and village.	He waited almost an hour before two figures came out of the /jacal/. One, in man's clothes, quickly mounted the horse and galloped past the wagon shed toward the crossing and village.	false	1504.76	1515.97	22.222399
8404_282926_000082_000001	And then the other figure, in skirt, waist, and mantilla over its head, stepped out into the faint moonlight, gazing after the rider.	And then the other figure, in skirt, waist, and mantilla over its head, stepped out into the faint moonlight, gazing after the rider.	true	1516.22	1524.25	21.875343
8404_282926_000082_000002	Sandridge thought he would take his chance then before Tonia rode back.	Sandridge thought he would take his chance then before Tonia rode back.	true	1524.5	1528.75	22.831436
8404_282926_000082_000003	He fancied she might not care to see it.	He fancied she might not care to see it.	false	1528.97	1531.33	20.858294
8404_282926_000083_000000	"Throw up your hands," he ordered loudly, stepping out of the wagon- shed with his Winchester at his shoulder.	"Throw up your hands," he ordered loudly, stepping out of the wagon shed with his Winchester at his shoulder.	true	1531.37	1536.88	20.40428
8404_282926_000084_000000	There was a quick turn of the figure, but no movement to obey, so the ranger pumped in the bullets--one--two--three--and then twice more; for you never could be too sure of bringing down the Cisco Kid.	There was a quick turn of the figure, but no movement to obey, so the ranger pumped in the bullets-one-two-three-and then twice more; for you never could be too sure of bringing down the Cisco Kid.	true	1537.13	1548.94	22.727642
8404_282926_000084_000001	There was no danger of missing at ten paces, even in that half moonlight.	There was no danger of missing at ten paces, even in that half moonlight.	true	1549.28	1553.86	21.536745
8404_282926_000085_000000	The old ancestor, asleep on his blanket, was awakened by the shots. Listening further, he heard a great cry from some man in mortal distress or anguish, and rose up grumbling at the disturbing ways of moderns.	The old ancestor, asleep on his blanket, was awakened by the shots. Listening further, he heard a great cry from some man in mortal distress or anguish, and rose up grumbling at the disturbing ways of moderns.	true	1554.11	1568.08	22.323767
8404_282926_000086_000000	The tall, red ghost of a man burst into the /jacal/, reaching one hand, shaking like a /tule/ reed, for the lantern hanging on its nail. The other spread a letter on the table.	The tall, red ghost of a man burst into the /jacal/, reaching one hand, shaking like a /tule/ reed, for the lantern hanging on its nail. The other spread a letter on the table.	false	1568.48	1579.27	20.926308
8404_282926_000087_000000	"Look at this letter, Perez," cried the man.	"Look at this letter, Perez," cried the man.	false	1579.34	1581	21.536665
8404_282926_000087_000001	"Who wrote it?"	"Who wrote it?"	true	1581	1581.84	21.188543
8404_282926_000088_000000	"/Ah, Dios/! it is Senor Sandridge," mumbled the old man, approaching. "/Pues, senor/, that letter was written by '/El Chivato/,' as he is called--by the man of Tonia.	"/Ah, Dios/! it is Senor Sandridge," mumbled the old man, approaching. "/Pues, senor/, that letter was written by '/El Chivato/,' as he is called-by the man of Tonia.	false	1581.84	1593.55	21.51001
8404_282926_000088_000001	They say he is a bad man; I do not know. While Tonia slept he wrote the letter and sent it by this old hand of mine to Domingo Sales to be brought to you.	They say he is a bad man; I do not know. While Tonia slept he wrote the letter and sent it by this old hand of mine to Domingo Sales to be brought to you.	false	1593.8	1603.03	21.277493
8404_282926_000088_000002	Is there anything wrong in the letter?	Is there anything wrong in the letter?	false	1603.58	1605.43	24.948822
8404_282926_000088_000003	I am very old; and I did not know.	I am very old; and I did not know.	false	1605.56	1608.78	23.451378
8404_282926_000088_000004	/Valgame Dios/! it is a very foolish world; and there is nothing in the house to drink-- nothing to drink."	/Valgame Dios/! it is a very foolish world; and there is nothing in the house to drink- nothing to drink."	false	1608.78	1616.02	21.684162
8404_282926_000089_000000	Just then all that Sandridge could think of to do was to go outside and throw himself face downward in the dust by the side of his humming-bird, of whom not a feather fluttered.	Just then all that Sandridge could think of to do was to go outside and throw himself face downward in the dust by the side of his humming bird, of whom not a feather fluttered.	true	1616.45	1626.76	22.770863
8404_282926_000089_000001	He was not a /caballero/ by instinct, and he could not understand the niceties of revenge.	He was not a /caballero/ by instinct, and he could not understand the niceties of revenge.	true	1627.43	1632.73	21
8404_282926_000090_000000	A mile away the rider who had ridden past the wagon-shed struck up a harsh, untuneful song, the words of which began:	A mile away the rider who had ridden past the wagon shed struck up a harsh, untuneful song, the words of which began:	true	1633.04	1640.65	21.912132
8404_282926_000091_000000	Don't you monkey with my Lulu girl Or I'll tell you what I'll do--	Don't you monkey with my Lulu girl Or I'll tell you what I'll do-	true	1640.84	1644.84	21
8404_282926_000092_000000	XII	twelve	false	1644.84	1644.93	-20
8404_282926_000093_000000	THE SPHINX APPLE	THE SPHINX APPLE	false	1644.93	1645.29	-20
8404_282926_000094_000000	Twenty miles out from Paradise, and fifteen miles short of Sunrise City, Bildad Rose, the stage-driver, stopped his team.	Twenty miles out from Paradise, and fifteen miles short of Sunrise City, Bildad Rose, the stage driver, stopped his team.	false	1645.29	1646.64	15.170484
8404_282926_000094_000001	A furious snow had been falling all day.	A furious snow had been falling all day.	false	1646.64	1646.85	14
8404_282926_000094_000002	Eight inches it measured now, on a level. The remainder of the road was not without peril in daylight, creeping along the ribs of a bijou range of ragged mountains.	Eight inches it measured now, on a level. The remainder of the road was not without peril in daylight, creeping along the ribs of a bijou range of ragged mountains.	false	1646.85	1648.56	21
8404_282926_000094_000003	Now, when both snow and night masked its dangers, further travel was not to be thought of, said Bildad Rose.	Now, when both snow and night masked its dangers, further travel was not to be thought of, said Bildad Rose.	false	1648.56	1651.2	27.528015
8404_282926_000094_000004	So he pulled up his four stout horses, and delivered to his five passengers oral deductions of his wisdom.	So he pulled up his four stout horses, and delivered to his five passengers oral deductions of his wisdom.	false	1651.2	1653.69	-20
