2230_132101_000000_000000	CHAPTER XI	CHAPTER eleven	false	0.24	19.32	18.662945
2230_132101_000061_000000	"This looks as if it were delicious, Debby, I wish you'd try it: Take a gallon of oysters, a pint of beef stock, sixteen soda crackers, the juice of two lemons, four cloves, a glass of white wine, a sprig of marjoram, a sprig of thyme, a sprig of bay, a sliced shalott--"	"This looks as if it were delicious, Debby, I wish you'd try it: Take a gallon of oysters, a pint of beef stock, sixteen soda crackers, the juice of two lemons, four cloves, a glass of white wine, a sprig of marjoram, a sprig of thyme, a sprig of bay, a sliced shalott-"	true	778.7	796.09	19.880953
2230_132101_000062_000000	"Please, Miss Katy, what's them?"	"Please, Miss Katy, what's them?"	true	796.37	798.37	21.001507
2230_132101_000063_000000	"Oh, don't you know, Debby?	"Oh, don't you know, Debby?	true	798.92	800.415	19.700922
2230_132101_000063_000001	It must be something quite common, for it's in almost all the recipes."	It must be something quite common, for it's in almost all the recipes."	true	800.415	803.74	21.533943
2230_132101_000064_000000	"No, Miss Katy, I never heard tell of it before.	"No, Miss Katy, I never heard tell of it before.	true	804.32	807.07	20.839369
2230_132101_000064_000001	Miss Carr never gave me no shell-outs at all at all!"	Miss Carr never gave me no shell outs at all at all!"	true	807.23	810.94	21
2230_132101_000065_000000	"Dear me, how provoking!" Katy would cry, flapping over the leaves of her book; "then we must try something else."	"Dear me, how provoking!" Katy would cry, flapping over the leaves of her book; "then we must try something else."	false	811.64	817.99	20.004885
2230_132101_000066_000000	Poor Debby!	Poor Debby!	true	818.06	819.04	22.432219
2230_132101_000066_000001	If she hadn't loved Katy so dearly, I think her patience must have given way.	If she hadn't loved Katy so dearly, I think her patience must have given way.	false	819.65	824.22	19.344475
2230_132101_000066_000002	But she bore her trials meekly, except for an occasional grumble when alone with Bridget.	But she bore her trials meekly, except for an occasional grumble when alone with Bridget.	true	824.22	828.91	20.591589
2230_132101_000066_000003	Dr. Carr had to eat a great many queer things in those days.	dr Carr had to eat a great many queer things in those days.	true	829.16	832.63	20.399048
2230_132101_000066_000004	But he didn't mind, and as for the children, they enjoyed it.	But he didn't mind, and as for the children, they enjoyed it.	true	832.76	835.96	19.301672
2230_132101_000066_000005	Dinner-time became quite exciting, when nobody could tell exactly what any dish on the table was made of.	Dinner time became quite exciting, when nobody could tell exactly what any dish on the table was made of.	true	836.21	841.57	20.905066
2230_132101_000066_000006	Dorry, who was a sort of Dr. Livingstone where strange articles of food were concerned, usually made the first experiment, and if he said that it was good, the rest followed suit.	Dorry, who was a sort of dr Livingstone where strange articles of food were concerned, usually made the first experiment, and if he said that it was good, the rest followed suit.	true	842.12	851.83	20.123545
2230_132101_000067_000000	After a while Katy grew wiser.	After a while Katy grew wiser.	true	852.71	854.86	20.835201
2230_132101_000067_000001	She ceased teasing Debby to try new things, and the Carr family went back to plain roast and boiled, much to the advantage of all concerned.	She ceased teasing Debby to try new things, and the Carr family went back to plain roast and boiled, much to the advantage of all concerned.	true	855.11	863.23	19.870173
2230_132101_000067_000002	But then another series of experiments began.	But then another series of experiments began.	true	863.63	866.08	18.079964
2230_132101_000067_000003	Katy got hold of a book upon "The Stomach," and was seized with a rage for wholesome food.	Katy got hold of a book upon "The Stomach," and was seized with a rage for wholesome food.	true	866.33	871.54	19.783499
2230_132101_000067_000004	She entreated Clover and the other children to give up sugar, and butter, and gravy, and pudding-sauce, and buckwheat cakes, and pies, and almost everything else that they particularly liked.	She entreated Clover and the other children to give up sugar, and butter, and gravy, and pudding sauce, and buckwheat cakes, and pies, and almost everything else that they particularly liked.	true	871.58	881.68	19
2230_132101_000067_000005	Boiled rice seemed to her the most sensible dessert, and she kept the family on it until finally John and Dorry started a rebellion, and Dr. Carr was forced to interfere.	Boiled rice seemed to her the most sensible dessert, and she kept the family on it until finally john and Dorry started a rebellion, and dr Carr was forced to interfere.	true	882.2	891.79	19.40573
2230_132101_000068_000000	"My dear, you are overdoing it sadly," he said, as Katy opened her book and prepared to explain her views; "I am glad to have the children eat simple food--but really, boiled rice five times in a week is too much."	"My dear, you are overdoing it sadly," he said, as Katy opened her book and prepared to explain her views; "I am glad to have the children eat simple food-but really, boiled rice five times in a week is too much."	true	892.76	906.31	20.787828
2230_132101_000069_000000	Katy sighed, but submitted.	Katy sighed, but submitted.	true	906.35	908.44	19.65431
2230_132101_000069_000001	Later, as the Spring came on, she had a fit of over-anxiousness, and was always sending Clover down to ask Debby if her bread was not burning, or if she was sure that the pickles were not fermenting in their jars?	Later, as the Spring came on, she had a fit of over anxiousness, and was always sending Clover down to ask Debby if her bread was not burning, or if she was sure that the pickles were not fermenting in their jars?	true	908.84	919.66	19.652357
2230_132101_000069_000002	She also fidgeted the children about wearing india-rubbers, and keeping on their coats, and behaved altogether as if the cares of the world were on her shoulders.	She also fidgeted the children about wearing india rubbers, and keeping on their coats, and behaved altogether as if the cares of the world were on her shoulders.	true	920.09	928.9	20.588276
2230_132101_000070_000000	But all these were but the natural mistakes of a beginner.	But all these were but the natural mistakes of a beginner.	false	929.57	932.32	18.90892
2230_132101_000070_000001	Katy was too much in earnest not to improve.	Katy was too much in earnest not to improve.	true	932.39	935.01	20.029373
2230_132101_000070_000002	Month by month she learned how to manage a little better, and a little better still.	Month by month she learned how to manage a little better, and a little better still.	true	935.01	939.73	20.467453
2230_132101_000070_000003	Matters went on more smoothly.	Matters went on more smoothly.	true	940.19	942.01	19.118849
2230_132101_000070_000004	Her cares ceased to fret her.	Her cares ceased to fret her.	true	942.08	943.99	21.195522
2230_132101_000070_000005	Dr. Carr watching the increasing brightness of her face and manner, felt that the experiment was a success.	dr Carr watching the increasing brightness of her face and manner, felt that the experiment was a success.	false	944.24	949.69	19.521004
2230_132101_000070_000006	Nothing more was said about "somebody else," and Katy, sitting up stairs in her big chair, held the threads of the house firmly in her hands.	Nothing more was said about "somebody else," and Katy, sitting up stairs in her big chair, held the threads of the house firmly in her hands.	false	950.09	965.61	17.367315
