5239_31629_000000_000000	"My interview with the captain brought out this account.	"My interview with the captain brought out this account.	false	0	8.37	25.556515
5239_31629_000043_000001	It had been his trick at lookout ahead during the dog watch that morning, when we were making for St. Pierre, so I supposed at first when the fire struck us that he was asleep in his bunk and safe.	It had been his trick at lookout ahead during the dog watch that morning, when we were making for st Pierre, so I supposed at first when the fire struck us that he was asleep in his bunk and safe.	false	948.38	958.455	23
5239_31629_000043_000002	But he wasn't.	But he wasn't.	true	958.455	959.41	20.937094
5239_31629_000043_000003	Nobody could tell me where he was.	Nobody could tell me where he was.	true	959.45	961.45	23.970232
5239_31629_000043_000004	I don't know whether he was burned to death or rolled overboard and drowned.	I don't know whether he was burned to death or rolled overboard and drowned.	true	961.64	965.59	19.36778
5239_31629_000043_000005	He was a likely boy.	He was a likely boy.	true	965.75	967.26	25.089312
5239_31629_000043_000006	He had been several voyages with me and would have been a master some day.	He had been several voyages with me and would have been a master some day.	false	967.26	971.23	17
5239_31629_000043_000007	He used to say he'd make me mate.	He used to say he'd make me mate.	false	971.24	973.81	23.953579
5239_31629_000044_000000	"After getting all hands that had any life left in them below and 'tended to the best we could, the four of us that were left half way ship-shape started in to fight the fire.	"After getting all hands that had any life left in them below and 'tended to the best we could, the four of us that were left half way ship shape started in to fight the fire.	false	973.97	983.65	24.95216
5239_31629_000044_000001	We had case oil stowed forward. Thanks to that tidal wave that cleared our decks there wasn't much left to burn, so we got the fire down so's we could live on board with it for several hours more and then the four turned to to knock a raft together out of what timber and truck we could find below.	We had case oil stowed forward. Thanks to that tidal wave that cleared our decks there wasn't much left to burn, so we got the fire down so's we could live on board with it for several hours more and then the four turned to to knock a raft together out of what timber and truck we could find below.	false	983.81	1001.02	23
5239_31629_000044_000002	Our boats had gone overboard with the masts and funnel.	Our boats had gone overboard with the masts and funnel.	true	1001.3	1004.55	20.877693
5239_31629_000045_000000	PREPARED TO TRUST TO LUCK	PREPARED TO TRUST TO LUCK	true	1004.55	1006.51	27.299692
5239_31629_000046_000000	"We made that raft for something over thirty that were alive.	"We made that raft for something over thirty that were alive.	true	1006.51	1009.86	22.770845
5239_31629_000046_000001	We put provisions on for two days and rigged up a make-shift mast and sail, for we intended to go to sea.	We put provisions on for two days and rigged up a make shift mast and sail, for we intended to go to sea.	true	1009.86	1017.1	22
5239_31629_000046_000002	We were only three boats' length from the shore, but the shore was hell itself.	We were only three boats' length from the shore, but the shore was hell itself.	false	1017.38	1022.05	21.701746
5239_31629_000046_000003	We intended to put straight out and trust to luck that the Korona, that was about due at St. Pierre, would pick us up.	We intended to put straight out and trust to luck that the Korona, that was about due at st Pierre, would pick us up.	false	1022.27	1028.71	25.210146
5239_31629_000046_000004	But we did not have to risk the raft, for about 3 o'clock in the afternoon, when we were almost ready to put the raft overboard, the Suchet came along and took us all off.	But we did not have to risk the raft, for about three o'clock in the afternoon, when we were almost ready to put the raft overboard, the Suchet came along and took us all off.	true	1028.71	1039.01	24
5239_31629_000046_000005	We thought for a minute just after we were wrecked that we were to get help from a ship that passed us.	We thought for a minute just after we were wrecked that we were to get help from a ship that passed us.	true	1039.01	1044.19	25
5239_31629_000046_000006	We burned blue lights, but she kept on.	We burned blue lights, but she kept on.	true	1044.35	1046.71	25.100883
5239_31629_000046_000007	We learned afterward that she was the Roddam."	We learned afterward that she was the Roddam."	true	1046.71	1049.5	23
5239_31629_000047_000000	Soundings made off Martinique after the explosion showed that earthquake effects of much importance had taken place under the sea bottom, which had been lifted in some places and had sunk in others.	Soundings made off Martinique after the explosion showed that earthquake effects of much importance had taken place under the sea bottom, which had been lifted in some places and had sunk in others.	false	1050.29	1061.05	23
5239_31629_000047_000001	While deep crevices had been formed on the land, a still greater effect had seemingly been produced beneath the water.	While deep crevices had been formed on the land, a still greater effect had seemingly been produced beneath the water.	true	1061.36	1068.22	22.773111
5239_31629_000047_000002	During the explosion the sea withdrew several hundred feet from its shore line, and then came back steaming with fury; this indicating a lift and fall of the ocean bed off the isle.	During the explosion the sea withdrew several hundred feet from its shore line, and then came back steaming with fury; this indicating a lift and fall of the ocean bed off the isle.	false	1068.59	1079.44	22
5239_31629_000047_000003	Soundings made subsequently near the island found in one place a depth of 4,000 feet where before it had been only 600 feet deep.	Soundings made subsequently near the island found in one place a depth of four thousand feet where before it had been only six hundred feet deep.	false	1079.78	1088.71	22.729443
5239_31629_000047_000004	The French Cable Company, which was at work trying to repair the cables broken by the eruption, found the bottom of the Caribbean Sea so changed as to render the old charts useless.	The French Cable Company, which was at work trying to repair the cables broken by the eruption, found the bottom of the Caribbean Sea so changed as to render the old charts useless.	true	1088.84	1099.78	21
5239_31629_000048_000000	New charts will need to be made for future navigation.	New charts will need to be made for future navigation.	false	1099.94	1103.14	22
5239_31629_000048_000001	The changes in sea levels were not confined to the immediate centre of volcanic activity, but extended as far north as Porto Rico, and it was believed that the seismic wave would be found to have altered the ocean bed round Jamaica.	The changes in sea levels were not confined to the immediate centre of volcanic activity, but extended as far north as Porto Rico, and it was believed that the seismic wave would be found to have altered the ocean bed round Jamaica.	true	1103.14	1116.83	21
5239_31629_000048_000002	Vessels plying between St. Thomas, Martinique, St. Lucia and other islands found it necessary to heave the lead while many miles at sea.	Vessels plying between saint Thomas, Martinique, st Lucia and other islands found it necessary to heave the lead while many miles at sea.	false	1116.83	1126.24	19
5239_31629_000049_000000	It is estimated that the sea had encroached from ten feet to two miles along the coast of St. Vincent near Georgetown, and that a section on the north of the island had dropped into the sea.	It is estimated that the sea had encroached from ten feet to two miles along the coast of saint Vincent near Georgetown, and that a section on the north of the island had dropped into the sea.	false	1126.24	1137.22	19
5239_31629_000049_000001	Soundings showed seven fathoms where before the eruption there were thirty-six fathoms of water.	Soundings showed seven fathoms where before the eruption there were thirty six fathoms of water.	true	1137.47	1143.22	20.570581
5239_31629_000049_000002	Vessels that endeavored to approach St. Vincent toward the north reported that it was impossible to get nearer than eight miles to the scene of the catastrophe, and that at that distance the ocean was seriously perturbed as from a submarine volcano, boiling and hissing continually.	Vessels that endeavored to approach saint Vincent toward the north reported that it was impossible to get nearer than eight miles to the scene of the catastrophe, and that at that distance the ocean was seriously perturbed as from a submarine volcano, boiling and hissing continually.	false	1143.29	1160.07	21.568428
5239_31629_000050_000000	In this connection the remarkable experience reported by the officers of the Danish steamship Nordby, on the day preceding the eruption, is of much interest, as seeming to show great convulsions of the sea bottom at a point several hundred miles from Martinique.	In this connection the remarkable experience reported by the officers of the Danish steamship Nordby, on the day preceding the eruption, is of much interest, as seeming to show great convulsions of the sea bottom at a point several hundred miles from Martinique.	false	1160.07	1175.68	22
5239_31629_000050_000001	The following is the story told by Captain Eric Lillien-skjold:	The following is the story told by Captain Eric Lillien skjold:	true	1175.9	1180.93	24.197523
5239_31629_000051_000000	THE STRANGE EXPERIENCE OF THE "NORDBY"	THE STRANGE EXPERIENCE OF THE "NORDBY"	true	1181.09	1183.51	24.249908
5239_31629_000052_000000	"On May 5th," the captain said, "we touched at St. Michael's for water. We had had an easy voyage from Girgenti, in Sicily, and we wanted to finish an easy run here.	"On may fifth," the captain said, "we touched at saint Michael's for water. We had had an easy voyage from Girgenti, in Sicily, and we wanted to finish an easy run here.	false	1183.97	1194.55	23.41807
5239_31629_000052_000001	We left St. Michael's on the same day.	We left saint Michael's on the same day.	false	1194.77	1197.21	21.075766
5239_31629_000052_000002	Nothing worth while talking about occurred until two days afterward--Wednesday, May 7th.	Nothing worth while talking about occurred until two days afterward-wednesday may seventh.	true	1197.21	1202.71	24
5239_31629_000053_000000	"We were plodding along slowly that day.	"We were plodding along slowly that day.	true	1202.9	1205.14	16
5239_31629_000053_000001	About noon I took the bridge to make an observation.	About noon I took the bridge to make an observation.	true	1205.14	1208.08	21
5239_31629_000053_000002	It seemed to be hotter than ordinary.	It seemed to be hotter than ordinary.	true	1208.15	1210.51	18
5239_31629_000053_000003	I shed my coat and vest and got into what little shade there was.	I shed my coat and vest and got into what little shade there was.	true	1210.55	1214.35	20
5239_31629_000053_000004	As I worked it grew hotter and hotter.	As I worked it grew hotter and hotter.	true	1214.54	1216.76	25.563318
5239_31629_000053_000005	I didn't know what to make of it.	I didn't know what to make of it.	true	1216.76	1218.52	28.554358
5239_31629_000053_000006	Along about 2 o'clock in the afternoon it was so hot that all hands got to talking about it.	Along about two o'clock in the afternoon it was so hot that all hands got to talking about it.	true	1218.77	1224.1	23
5239_31629_000053_000007	We reckoned that something queer was coming off, but none of us could explain what it was.	We reckoned that something queer was coming off, but none of us could explain what it was.	true	1224.23	1228.78	23
5239_31629_000053_000008	You could almost see the pitch softening in the seams.	You could almost see the pitch softening in the seams.	true	1229	1232.5	21.577335
5239_31629_000054_000000	"Then, as quick as you could toss a biscuit over its rail, the Nordby dropped--regularly dropped--three or four feet down into the sea.	"Then, as quick as you could toss a biscuit over its rail, the Nordby dropped-regularly dropped-three or four feet down into the sea.	true	1232.6	1239.79	21.145695
5239_31629_000054_000001	No sooner did it do this than big waves, that looked like they were coming from all directions at once, began to smash against our sides.	No sooner did it do this than big waves, that looked like they were coming from all directions at once, began to smash against our sides.	true	1240.28	1247.74	18
5239_31629_000054_000002	This was queerer yet, because the water a minute before was as smooth as I ever saw it.	This was queerer yet, because the water a minute before was as smooth as I ever saw it.	false	1247.9	1253.26	21
5239_31629_000054_000003	I had all hands piped on deck and we battened down everything loose to make ready for a storm.	I had all hands piped on deck and we battened down everything loose to make ready for a storm.	true	1253.78	1258.63	17
5239_31629_000054_000004	And we got it all right--the strangest storm you ever heard tell of.	And we got it all right-the strangest storm you ever heard tell of.	false	1258.79	1262.2	20
5239_31629_000055_000000	"There was something wrong with the sun that afternoon.	"There was something wrong with the sun that afternoon.	true	1262.66	1265.5	19
5239_31629_000055_000001	It grew red and then dark red and then, about a quarter after 2, it went out of sight altogether.	It grew red and then dark red and then, about a quarter after two, it went out of sight altogether.	false	1265.51	1271.05	19
5239_31629_000055_000002	The day got so dark that you couldn't see half a ship's length ahead of you.	The day got so dark that you couldn't see half a ship's length ahead of you.	false	1271.27	1275.07	21.883945
5239_31629_000055_000003	We got our lamps going, and put on our oilskins, ready for a hurricane.	We got our lamps going, and put on our oilskins, ready for a hurricane.	false	1275.11	1279.39	22.728373
5239_31629_000055_000004	All of a sudden there came a sheet of lightning that showed up the whole tumbling sea for miles and miles.	All of a sudden there came a sheet of lightning that showed up the whole tumbling sea for miles and miles.	true	1279.4	1285.06	17
5239_31629_000055_000005	We sort of ducked, expecting an awful crash of thunder, but it didn't come.	We sort of ducked, expecting an awful crash of thunder, but it didn't come.	true	1285.37	1289.68	22.551918
5239_31629_000055_000006	There was no sound except the big waves pounding against our sides.	There was no sound except the big waves pounding against our sides.	true	1289.68	1293.15	16
5239_31629_000055_000007	There wasn't a breath of wind.	There wasn't a breath of wind.	true	1293.15	1294.69	21
5239_31629_000056_000000	"Well, sir, at that minute there began the most exciting time I've ever been through, and I've been on every sea on the map for twenty-five years.	"Well, sir, at that minute there began the most exciting time I've ever been through, and I've been on every sea on the map for twenty five years.	true	1295.09	1302.94	18
5239_31629_000056_000001	Every second there'd be waves 15 or 20 feet high, belting us head-on, stern-on and broadside, all at once.	Every second there'd be waves fifteen or twenty feet high, belting us head on, stern on and broadside, all at once.	true	1303.16	1309.99	19
5239_31629_000056_000002	We could see them coming, for without any stop at all flash after flash of lightning was blazing all about us.	We could see them coming, for without any stop at all flash after flash of lightning was blazing all about us.	true	1310.09	1316.98	19
5239_31629_000057_000000	"Something else we could see, too.	"Something else we could see, too.	true	1317.29	1318.86	20
5239_31629_000057_000001	Sharks!	Sharks!	true	1318.86	1319.68	30
5239_31629_000057_000002	There were hundreds of them on all sides, jumping up and down in the water.	There were hundreds of them on all sides, jumping up and down in the water.	true	1319.75	1324.18	17
5239_31629_000057_000003	Some of them jumped clear out of it.	Some of them jumped clear out of it.	true	1324.31	1326.26	21.62735
5239_31629_000057_000004	And sea birds!	And sea birds!	true	1326.26	1327.51	20
5239_31629_000057_000005	A flock of them, squawking and crying, made for our rigging and perched there.	A flock of them, squawking and crying, made for our rigging and perched there.	true	1327.55	1332.22	23
5239_31629_000057_000006	They seemed like they were scared to death.	They seemed like they were scared to death.	true	1332.68	1334.95	26.57868
5239_31629_000057_000007	But the queerest part of it all was the water itself. It was hot--not so hot that our feet could not stand it when it washed over the deck, but hot enough to make us think that it had been heated by some kind of a fire.	But the queerest part of it all was the water itself. It was hot-not so hot that our feet could not stand it when it washed over the deck, but hot enough to make us think that it had been heated by some kind of a fire.	false	1334.95	1346.65	22.702826
5239_31629_000058_000000	"Well that sort of thing went on hour after hour.	"Well that sort of thing went on hour after hour.	true	1346.9	1349.92	19
5239_31629_000058_000001	The waves, the lightning, the hot water and the sharks, and all the rest of the odd things happening, frightened the crew out of their wits.	The waves, the lightning, the hot water and the sharks, and all the rest of the odd things happening, frightened the crew out of their wits.	false	1349.93	1356.49	19
5239_31629_000058_000002	Some of them prayed out loud--I guess the first time they ever did in their lives. Some Frenchmen aboard kept running around and yelling, 'Cest le dernier jour!' (This is the last day.) We were all worried.	Some of them prayed out loud-I guess the first time they ever did in their lives. Some Frenchmen aboard kept running around and yelling, 'Cest le dernier jour!' (This is the last day.) We were all worried.	false	1356.83	1369.63	21.256203
5239_31629_000058_000003	Even the officers began to think that the world was coming to an end.	Even the officers began to think that the world was coming to an end.	true	1369.67	1373.95	23
5239_31629_000058_000004	Mighty strange things happen on the sea, but this topped them all.	Mighty strange things happen on the sea, but this topped them all.	true	1374.2	1378.18	23.371222
5239_31629_000059_000000	"I kept to the bridge all night.	"I kept to the bridge all night.	true	1378.49	1380.34	21.502203
5239_31629_000059_000001	When the first hour of morning came the storm was still going on.	When the first hour of morning came the storm was still going on.	true	1380.41	1383.85	16
5239_31629_000059_000002	We were all pretty much tired out by that time, but there was no such thing as trying to sleep.	We were all pretty much tired out by that time, but there was no such thing as trying to sleep.	true	1383.95	1388.64	22
5239_31629_000059_000003	The waves still were batting us around and we didn't know whether we were one mile or a thousand miles from shore.	The waves still were batting us around and we didn't know whether we were one mile or a thousand miles from shore.	false	1388.64	1394.73	17
5239_31629_000059_000004	At 2 o'clock in the morning all the queer goings on stopped just the way they began--all of a sudden.	At two o'clock in the morning all the queer goings on stopped just the way they began-all of a sudden.	true	1394.73	1399.96	23.79263
5239_31629_000059_000005	We lay to until daylight; then we took our reckonings and started off again.	We lay to until daylight; then we took our reckonings and started off again.	true	1400.36	1404.76	24
5239_31629_000059_000006	We were about 700 miles off Cape Henlopen.	We were about seven hundred miles off Cape Henlopen.	true	1405.1	1408.57	22.533607
5239_31629_000060_000000	"No, sir; you couldn't get me through a thing like that again for $10,000.	"No, sir; you couldn't get me through a thing like that again for ten thousand dollars.	false	1409.03	1413.34	21
5239_31629_000060_000001	None of us was hurt, and the old Nordby herself pulled through all right, but I'd sooner stay ashore than see waves without wind and lightning without thunder."	None of us was hurt, and the old Nordby herself pulled through all right, but I'd sooner stay ashore than see waves without wind and lightning without thunder."	true	1413.8	1421.8	16
5239_31629_000061_000000	FIERY STREAM CONTAINED POISONOUS GASES	FIERY STREAM CONTAINED POISONOUS GASES	true	1422.44	1425.61	26.061975
5239_31629_000062_000000	Careful inspection showed that the fiery stream which so completely destroyed St. Pierre must have been composed of poisonous gases, which instantly suffocated every one who inhaled them, and of other gases burning furiously, for nearly all the victims had their hands covering their mouths, or were in some other attitude showing that they had perished from suffocation.	Careful inspection showed that the fiery stream which so completely destroyed st Pierre must have been composed of poisonous gases, which instantly suffocated every one who inhaled them, and of other gases burning furiously, for nearly all the victims had their hands covering their mouths, or were in some other attitude showing that they had perished from suffocation.	false	1425.74	1446.01	21
5239_31629_000063_000000	It is believed that Mont Pelee threw off a great gasp of some exceedingly heavy and noxious gas, something akin to firedamp, which settled upon the city and rendered the inhabitants insensible.	It is believed that Mont Pelee threw off a great gasp of some exceedingly heavy and noxious gas, something akin to firedamp, which settled upon the city and rendered the inhabitants insensible.	true	1446.41	1458.19	20
5239_31629_000063_000001	This was followed by the sheet of flame that swept down the side of the mountain. This theory is sustained by the experience of the survivors who were taken from the ships in the harbor, as they say that their first experience was one of faintness.	This was followed by the sheet of flame that swept down the side of the mountain. This theory is sustained by the experience of the survivors who were taken from the ships in the harbor, as they say that their first experience was one of faintness.	false	1458.62	1472.29	22.899872
5239_31629_000064_000000	The dumb animals were wiser than man, and early took warning of the storm of fire which Mont Pelee was storing up to hurl upon the island. Even before the mountain began to rumble, late in April, live stock became uneasy, and at times were almost uncontrollable.	The dumb animals were wiser than man, and early took warning of the storm of fire which Mont Pelee was storing up to hurl upon the island. Even before the mountain began to rumble, late in April, live stock became uneasy, and at times were almost uncontrollable.	true	1472.69	1487.53	19
5239_31629_000064_000001	Cattle lowed in the night.	Cattle lowed in the night.	true	1487.72	1489.58	22.935793
5239_31629_000064_000002	Dogs howled and sought the company of their masters, and when driven forth they gave every evidence of fear.	Dogs howled and sought the company of their masters, and when driven forth they gave every evidence of fear.	true	1489.58	1495.72	23.242321
5239_31629_000065_000000	Wild animals disappeared from the vicinity of Mont Pelee.	Wild animals disappeared from the vicinity of Mont Pelee.	false	1496.12	1499.34	23
5239_31629_000065_000001	Even the snakes, which at ordinary times are found in great numbers near the volcano, crawled away.	Even the snakes, which at ordinary times are found in great numbers near the volcano, crawled away.	true	1499.34	1504.81	22
5239_31629_000065_000002	Birds ceased singing and left the trees that shaded the sides of Pelee.	Birds ceased singing and left the trees that shaded the sides of Pelee.	false	1505.27	1509.39	22.323656
5239_31629_000065_000003	A great fear seemed to be upon the island, and though it was shared by the human inhabitants, they alone neglected to protect themselves.	A great fear seemed to be upon the island, and though it was shared by the human inhabitants, they alone neglected to protect themselves.	false	1509.39	1518.07	22.11144
5239_31629_000066_000000	Of the villages in the vicinity of St. Pierre only one escaped, the others suffering the fate of the city.	Of the villages in the vicinity of st Pierre only one escaped, the others suffering the fate of the city.	false	1518.29	1525.15	22
5239_31629_000066_000001	The fortunate one was Le Carbet, on the south, which escaped uninjured, the flood of lava stopping when within two hundred feet of the town.	The fortunate one was Le Carbet, on the south, which escaped uninjured, the flood of lava stopping when within two hundred feet of the town.	false	1525.64	1534.57	23.774534
5239_31629_000066_000002	Morne Rouge, a beautiful summer resort, frequented by the people of the island during the hot season as a place of recreation, also escaped.	Morne Rouge, a beautiful summer resort, frequented by the people of the island during the hot season as a place of recreation, also escaped.	true	1534.76	1543.69	21.982445
5239_31629_000066_000003	In the height of the season several thousand people gathered there, though at the time of the explosion there were but a few hundred.	In the height of the season several thousand people gathered there, though at the time of the explosion there were but a few hundred.	false	1544.18	1551.09	22.599346
5239_31629_000066_000004	Though located on an elevation between the city and the crater, it was by great good fortune saved.	Though located on an elevation between the city and the crater, it was by great good fortune saved.	false	1551.09	1583.37	24.607267
